4161-2019-06-02_Luzerner_Kant_Schwingfest-ST

1a;Heinzer Stefan;**;;;;;;;;;112.0
+;4;9.0;Schürpf Bruno;*;18;54.25;2;10.0;-2;1.0;9.75
+;6;18.75;Bernet Christoph;*;10;56.25;6;18.75;0;0.0;10.0
+;7;28.75;Steinauer Adrian;**;8;56.75;7;28.75;0;0.0;10.0
+;5;38.75;Brun Jonas;**;8;56.75;6;38.5;1;-0.25;9.75
-;4;48.5;Bieri Marcel;**;9;56.5;7;47.75;3;-0.75;8.75

6f;Fankhauser Reto;**;;;;;;;;;57.25
-;;;Arnold Raphael;**;;;;;;;9.0
+;4;9.0;Hürlimann Mathias;*;16;54.75;5;8.75;1;-0.25;9.75
-;6;18.75;Bieri Marcel;**;9;56.5;5;19.0;-1;0.25;9.0
+;11;27.75;Auf der Maur Michael;;19;54.0;8;28.5;-3;0.75;10.0
+;9;37.75;Suter Pirmin;;14;55.25;7;38.25;-2;0.5;9.75
+;8;47.5;Wandeler Roman (2002);;14;55.25;12;46.5;4;-1.0;9.75

6g;Felder Martin;*;;;;;;;;;57.25
-;;;Höﬂiger Andreas;**;;;;;;;8.75
+;5;8.75;Käslin Benno;*;29;35.5;5;8.75;0;0.0;10.0
+;6;18.75;Mehr Lars (2002);;12;55.75;3;19.75;-3;1.0;9.75
-;8;28.5;Waser Dominik;**;10;56.25;9;28.25;1;-0.25;9.0
+;10;37.5;Gwerder Fabian;;20;53.75;13;36.75;3;-0.75;10.0
+;8;47.5;Bucher André (2001);;13;55.5;10;47.0;2;-0.5;9.75

6h;Schuler Christian;***;;;;;;;;;57.25
-;;;Gloggner Philipp;***;;;;;;;9.0
+;4;9.0;Schöpfer Ronny;*;9;56.5;2;10.0;-2;1.0;9.75
+;6;18.75;Gerber Peter;*;15;55.0;3;19.75;-3;1.0;10.0
+;7;28.75;Egli Damian;**;8;56.75;8;28.5;1;-0.25;9.75
+;6;38.5;Doppmann Urs;**;8;56.75;7;38.25;1;-0.25;10.0
o;4;48.5;Wicki Joel;**;3;58.5;4;48.5;0;0.0;8.75

7a;Gloggner Reto;**;;;;;;;;;57.0
+;;;Heinzer Stefan;**;;;;;;;10.0
o;2;10.0;Wenger Kilian;***;5;57.5;6;8.5;4;-1.5;8.5
+;7;18.5;Achermann Daniel;;20;53.75;3;19.75;-4;1.25;10.0
-;8;28.5;Kessler Joel;*;10;56.25;7;28.75;-1;0.25;8.75
+;11;37.25;Doppmann Ueli;;13;55.5;12;37.0;1;-0.25;9.75
+;10;47.0;Betschart Daniel;;14;55.25;11;46.75;1;-0.25;10.0

7b;Betschart Remo;**;;;;;;;;;57.0
-;;;Fankhauser Erich;***;;;;;;;9.0
