5605-2021-08-15_Zuger_Kantonales_Schwingfest-ST

1a;Bieri Marcel;***;;;;;;;;;58.5
9g;Lüthy Ralph;;;;;;;;;;56.0
+;;;Käslin Valentin;;;;;;;;9.75
-;2;9.75;Bühlmann Daniel;;15;54.5;1;10.0;-1;0.25;8.75
-;6;18.5;Moos Christoph;*;11;55.5;7;18.25;1;-0.25;8.75
+;8;27.25;von Flüe Michael;;22;52.75;8;27.25;0;0.0;10.0
-;7;37.25;Bucher Thomas;*;11;55.5;9;36.75;2;-0.5;8.75
+;11;46.0;Ziegler Elias;;18;53.75;14;45.25;3;-0.75;10.0

10a;Bernhard Lukas;**;;;;;;;;;55.75
o;;;Egli Damian;**;;;;;;;8.5
-;5;8.5;Bachmann Roger;*;13;55.0;4;8.75;-1;0.25;9.0
+;10;17.5;Bättig Patrick (2003);;15;54.5;6;18.5;-4;1.0;9.75
+;8;27.25;Ziegler Elias;;18;53.75;4;28.25;-4;1.0;10.0
o;7;37.25;Lang Sven;**;5;57.0;7;37.25;0;0.0;8.5
+;12;45.75;Hürlimann Ueli;;15;54.5;12;45.75;0;0.0;10.0

10b;Lustenberger Marc (2003);*;;;;;;;;;55.75
-;;;Betschart Patrick;*;;;;;;;9.0
o;3;9.0;Bucher Thomas;*;11;55.5;4;8.75;1;-0.25;8.5
+;10;17.5;Forster Christian;;16;54.25;6;18.5;-4;1.0;10.0
+;7;27.5;Laimbacher Cyrill (2004);;18;53.75;4;28.25;-3;0.75;10.0
o;6;37.5;Schürpf Bruno;*;3;57.5;6;37.5;0;0.0;8.5
+;11;46.0;Bürgi Simon (2003);;16;54.25;12;45.75;1;-0.25;9.75

10c;Egli Adrian;;;;;;;;;;55.75
+;;;Hotz Quirin;;;;;;;;10.0
-;1;10.0;Barmettler Severin (2005);;13;55.0;1;10.0;0;0.0;9.0
o;4;19.0;Herger Matthias;**;7;56.5;6;18.5;2;-0.5;8.5
+;7;27.5;Zberg Peter (2004);;22;52.75;8;27.25;1;-0.25;10.0
o;6;37.5;Hegner Ueli;*;7;56.5;4;38.0;-2;0.5;8.5
+;11;46.0;Staub Ivan;;18;53.75;14;45.25;3;-0.75;9.75

10d;Gander Adrian;*;;;;;;;;;55.75
o;;;Schärli Reto;*;;;;;;;8.75
o;4;8.75;Reichmuth Roland;*;7;56.5;5;8.5;1;-0.25;8.5
+;11;17.25;Müller Philipp (2005);;18;53.75;6;18.5;-5;1.25;10.0
+;8;27.25;Duss Yvan (2003);;12;55.25;4;28.25;-4;1.0;10.0
o;7;37.25;Vogel Remo;**;6;56.75;7;37.25;0;0.0;8.5
+;12;45.75;Rüttimann Daniel;;15;54.5;11;46.0;-1;0.25;10.0

10e;Lustenberger Tim (2005);;;;;;;;;;55.75
+;;;Ulrich Damian;;;;;;;;10.0
+;1;10.0;Huwyler Sven;;17;54.0;2;9.75;1;-0.25;9.75
o;2;19.75;Omlin Toni;*;10;55.75;5;18.75;3;-1.0;8.5
-;4;28.25;Gisler Jonas;*;15;54.5;9;27.0;5;-1.25;8.75
+;8;37.0;Rogenmoser Ryan;;17;54.0;9;36.75;1;-0.25;10.0
o;7;47.0;Schürpf Bruno;*;3;57.5;5;47.5;-2;0.5;8.75

10f;Bucher André;;;;;;;;;;55.75
-;;;Christen Silvan;;;;;;;;9.0
+;3;9.0;Gwerder Fabian;;16;54.25;4;8.75;1;-0.25;10.0
o;4;19.0;Bissig Lukas (2003);*;7;56.5;7;18.25;3;-0.75;8.5
+;7;27.5;Arnold Kilian;;21;53.0;8;27.25;1;-0.25;10.0
o;6;37.5;Scherer Niklaus;**;9;56.0;7;37.25;1;-0.25;8.5
+;11;46.0;Duss Livio (2005);;18;53.75;14;45.25;3;-0.75;9.75

10g;Elmiger Matthias;;;;;;;;;;55.75
-;;;Wiget Ueli;;;;;;;;9.0
+;3;9.0;Suter Lukas;;14;54.75;3;9.0;0;0.0;10.0
o;4;19.0;von Euw Lukas;*;9;56.0;6;18.5;2;-0.5;8.5
o;7;27.5;Hürlimann Mathias;*;12;55.25;9;27.0;2;-0.5;8.5
+;12;36.0;Zimmermann Gian (2004);;13;55.0;10;36.5;-2;0.5;10.0
+;11;46.0;Rogenmoser Linus;;18;53.75;14;45.25;3;-0.75;9.75

10h;Omlin Toni;*;;;;;;;;;55.75
-;;;Schmid Simon;*;;;;;;;8.75
+;4;8.75;Elmiger Andreas;*;12;55.25;4;8.75;0;0.0;10.0
+;5;18.75;Lustenberger Tim (2005);;10;55.75;2;19.75;-3;1.0;10.0
o;2;28.75;Herger Matthias;**;7;56.5;3;28.5;1;-0.25;8.5
+;7;37.25;Von Euw Adi;;11;55.5;8;37.0;1;-0.25;10.0
o;6;47.25;Lang Sven;**;5;57.0;7;47.0;1;-0.25;8.5

10i;Kaiser Sandro;;;;;;;;;;55.75
+;;;Egli Severin (2004);;;;;;;;10.0
o;1;10.0;Staffelbach Noah (2003);;14;54.75;2;9.75;1;-0.25;8.5
o;6;18.5;Gwerder Andreas;*;13;55.0;12;17.0;6;-1.5;8.5
-;9;27.0;Forster Christian;;16;54.25;9;27.0;0;0.0;8.75
+;13;35.75;Suter Nicola (2005);;19;53.5;12;36.0;-1;0.25;10.0
+;12;45.75;Müller Roger;*;15;54.5;12;45.75;0;0.0;10.0

10j;Graber Michael;*;;;;;;;;;55.75
+;;;Odermatt Remo;*;;;;;;;9.75
o;2;9.75;Imhof Andi;***;5;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Arnold Kilian;;21;53.0;5;18.75;-2;0.5;10.0
-;4;28.25;Suter Beat;*;11;55.5;4;28.25;0;0.0;8.75
+;8;37.0;Müller Luca (2004);;10;55.75;6;37.5;-2;0.5;10.0
o;7;47.0;Betschart Patrick;*;3;57.5;5;47.5;-2;0.5;8.75

10k;Bühler Kilian;;;;;;;;;;55.75
+;;;Zberg Peter (2004);;;;;;;;10.0
+;1;10.0;Meier Daniel;;12;55.25;2;9.75;1;-0.25;9.75
-;2;19.75;Reichmuth Roland;*;7;56.5;6;18.5;4;-1.25;8.75
o;3;28.5;Waser Christoph;*;13;55.0;4;28.25;1;-0.25;8.5
-;8;37.0;Brunner Timon;;14;54.75;7;37.25;-1;0.25;9.0
+;11;46.0;Styger Alex (2003);;18;53.75;14;45.25;3;-0.75;9.75

10l;Müller Luca (2004);;;;;;;;;;55.75
+;;;Gander Sebastian (2003);;;;;;;;10.0
-;1;10.0;Ming Hannes;;16;54.25;1;10.0;0;0.0;9.0
o;4;19.0;Effinger Markus;*;12;55.25;7;18.25;3;-0.75;8.5
+;7;27.5;Arnold Lukas;;17;54.0;9;27.0;2;-0.5;10.0
o;6;37.5;Graber Michael;*;10;55.75;8;37.0;2;-0.5;8.5
+;11;46.0;Grüter Marcel;;15;54.5;12;45.75;1;-0.25;9.75

10m;Kaufmann Reto;*;;;;;;;;;55.75
o;;;Bissig Lukas (2003);*;;;;;;;8.5
-;5;8.5;Hurschler Thomas;**;6;56.75;4;8.75;-1;0.25;8.75
+;11;17.25;Ming Hannes;;16;54.25;5;18.75;-6;1.5;10.0
+;8;27.25;Rogenmoser Ryan;;17;54.0;4;28.25;-4;1.0;10.0
o;7;37.25;Bucher Roland;*;13;55.0;9;36.75;2;-0.5;8.5
+;12;45.75;Staub Ivan;;18;53.75;14;45.25;2;-0.5;10.0

10n;Scherrer Fabian;*;;;;;;;;;55.75
-;;;Bürgi Reto;*;;;;;;;8.75
o;4;8.75;Burch Jonas;**;4;57.25;4;8.75;0;0.0;8.5
+;11;17.25;Rogenmoser Luca (2003);;19;53.5;6;18.5;-5;1.25;10.0
+;8;27.25;Rogenmoser Linus;;18;53.75;4;28.25;-4;1.0;10.0
+;7;37.25;Hess Dominik;*;17;54.0;8;37.0;1;-0.25;10.0
o;6;47.25;Hurschler Thomas;**;6;56.75;7;47.0;1;-0.25;8.5

11a;Bienz Romeo;*;;;;;;;;;55.5
+;;;Wallimann Remo;*;;;;;;;10.0
o;1;10.0;Herger Matthias;**;7;56.5;5;8.5;4;-1.5;8.5
+;6;18.5;Schwyzer Sebastian (2004);;15;54.5;4;19.0;-2;0.5;10.0
o;3;28.5;Ambühl Joel;**;5;57.0;3;28.5;0;0.0;8.5
+;8;37.0;Achermann Ueli;;12;55.25;8;37.0;0;0.0;9.75
