2254-2016-07-16_65_Weissenstein-Schwinget-ST

1a;Orlik Armon;**;;;;;;;;;58.5
+;;;Erb Roger;**;;;;;;;10.0
+;1;10.0;Ulrich Andreas;***;2;58.0;2;9.75;1;-0.25;9.75
+;2;19.75;Bühler Ernst;**;7;56.25;1;20.0;-1;0.25;9.75
-;2;29.5;Schmid David;**;6;56.5;5;28.25;3;-1.25;9.0
+;2;38.5;Glaus Martin;***;12;55.0;3;38.0;1;-0.5;10.0
+;2;48.5;Wicki Joel;**;3;57.5;1;48.75;-1;0.25;10.0

2a;Ulrich Andreas;***;;;;;;;;;58.0
+;;;Thürig Mario;***;;;;;;;9.75
o;2;9.75;Orlik Armon;**;1;58.5;1;10.0;-1;0.25;8.5
+;7;18.25;Leuppi Samir;**;30;28.25;2;19.75;-5;1.5;10.0
+;5;28.25;Krähenbühl Tobias;**;11;55.25;4;28.5;-1;0.25;9.75
+;3;38.0;Zwyssig Raphael;***;9;55.75;5;37.5;2;-0.5;10.0
+;4;48.0;Bösch Daniel;***;5;56.75;3;48.25;-1;0.25;10.0

3a;Forrer Arnold;***;;;;;;;;;57.5
-;;;Alpiger Nick;**;;;;;;;8.75
+;4;8.75;Gwerder Guido;**;11;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Erb Roger;**;10;55.5;6;18.5;1;-0.25;10.0
+;3;28.75;Stalder Remo;***;7;56.25;6;28.0;3;-0.75;10.0
-;1;38.75;Kindlimann Fabian;***;4;57.0;2;38.5;1;-0.25;8.75
+;5;47.5;Räbmatter Patrick;**;6;56.5;4;48.0;-1;0.5;10.0

3b;Wicki Joel;**;;;;;;;;;57.5
+;;;Bieri Christoph;***;;;;;;;10.0
+;1;10.0;Burkhalter Stefan;***;23;35.5;2;9.75;1;-0.25;9.75
+;2;19.75;Krähenbühl Tobias;**;11;55.25;1;20.0;-1;0.25;10.0
-;1;29.75;Bösch Daniel;***;5;56.75;2;29.5;1;-0.25;9.0
+;1;38.75;Rychen Roger;**;9;55.75;1;38.75;0;0.0;10.0
o;1;48.75;Orlik Armon;**;1;58.5;2;48.5;1;-0.25;8.75

4a;Bless Michael;***;;;;;;;;;57.0
+;;;Schmid David;**;;;;;;;10.0
+;1;10.0;Schuler Christian;***;33;18.75;1;10.0;0;0.0;9.75
+;2;19.75;Studinger Stephan;**;9;55.75;4;19.0;2;-0.75;9.75
-;2;29.5;Gisler Bruno;***;5;56.75;6;28.0;4;-1.5;9.0
o;2;38.5;Räbmatter Patrick;**;6;56.5;3;38.0;1;-0.5;8.5
+;7;47.0;Waser Dominik;**;14;54.5;11;46.0;4;-1.0;10.0

4b;Kindlimann Fabian;***;;;;;;;;;57.0
+;;;Schillig Willi;**;;;;;;;10.0
+;1;10.0;Arnold Stefan;**;10;55.5;1;10.0;0;0.0;10.0
o;1;20.0;Bösch Daniel;***;5;56.75;3;19.5;2;-0.5;8.5
+;4;28.5;Zimmermann Simon;**;14;54.5;4;28.5;0;0.0;10.0
-;2;38.5;Forrer Arnold;***;3;57.5;1;38.75;-1;0.25;8.75
+;6;47.25;Erb Roger;**;10;55.5;7;47.0;1;-0.25;9.75

