3074-2021-07-11_Fete_Romande2-ST

+;5;38.0;Duplan Steve;***;6;56.75;4;38.25;-1;0.25;10.0
-;3;48.0;Schneider Domenic;***;5;57.0;3;48.0;0;0.0;8.75

7a;Staudenmann Fabian;***;;;;;;;;;56.5
+;;;Gottofrey Marc;**;;;;;;;10.0
+;1;10.0;Schuler Christian;***;3;57.75;2;9.75;1;-0.25;9.75
-;2;19.75;Strebel Joel;***;6;56.75;5;18.5;3;-1.25;8.75
o;4;28.5;Gapany Benjamin;***;6;56.75;4;28.5;0;0.0;8.5
+;7;37.0;Haenni Stéphane;**;16;54.25;7;37.0;0;0.0;9.75
+;7;46.75;Hofer Sven;*;6;56.75;2;48.25;-5;1.5;9.75

7b;Dousse Michel;**;;;;;;;;;56.5
o;;;Käser Remo;***;;;;;;;8.5
+;5;8.5;Ganière William;;20;53.25;1;10.0;-4;1.5;10.0
+;5;18.5;Berthet Luca;;18;53.75;5;18.5;0;0.0;9.75
+;5;28.25;Krebs Clemens;;22;52.75;9;27.25;4;-1.0;9.75
o;5;38.0;Kropf Marcel;**;11;55.5;7;37.0;2;-1.0;8.5
+;8;46.5;Colò Kilian;**;12;55.25;7;46.75;-1;0.25;10.0

7c;Kramer Dorian;*;;;;;;;;;56.5
+;;;Giroud Jonathan;**;;;;;;;9.75
o;2;9.75;Duplan Steve;***;6;56.75;5;8.5;3;-1.25;8.5
+;6;18.25;Monney Branighan;;13;55.0;2;19.75;-4;1.5;10.0
+;5;28.25;Rogivue Théo (2003);;12;55.25;5;28.25;0;0.0;9.75
o;5;38.0;Strebel Joel;***;6;56.75;6;37.25;1;-0.75;8.5
+;8;46.5;Cardinaux Victor;**;10;55.75;5;47.25;-3;0.75;10.0

7d;Krähenbühl Tobias;***;;;;;;;;;56.5
+;;;Duplan Steve;***;;;;;;;9.75
o;2;9.75;Collaud Romain;*;2;58.0;2;9.75;0;0.0;8.5
+;6;18.25;Cardinaux Victor;**;10;55.75;5;18.5;-1;0.25;9.75
o;6;28.0;Kramer Lario;***;5;57.0;4;28.5;-2;0.5;8.5
+;9;36.5;Sonnay Thomas;**;20;53.25;11;36.0;2;-0.5;10.0
+;8;46.5;Giroud Jonathan;**;13;55.0;8;46.5;0;0.0;10.0

8a;Borcard Johann;**;;;;;;;;;56.25
+;;;Kropf Marcel;**;;;;;;;9.75
+;2;9.75;Baeriswyl Christoph;;4;57.25;1;10.0;-1;0.25;9.75
o;3;19.5;Käser Remo;***;1;59.0;3;19.5;0;0.0;8.5
+;6;28.0;Vallotton Jason;;18;53.75;5;28.25;-1;0.25;10.0
+;5;38.0;Tschachtli Sven;;5;57.0;3;38.5;-2;0.5;9.75
o;4;47.75;Strebel Joel;***;6;56.75;6;47.0;2;-0.75;8.5

9a;Balimann Sandro;*;;;;;;;;;56.0
+;;;Crettaz Olivier;*;;;;;;;9.75
-;2;9.75;Sonnay Thomas;**;20;53.25;4;8.75;2;-1.0;9.0
+;4;18.75;Sturny Nicolas;;12;55.25;2;19.75;-2;1.0;10.0
o;3;28.75;Strebel Joel;***;6;56.75;9;27.25;6;-1.5;8.5
-;6;37.25;Zbinden Dario (2004);;13;55.0;6;37.25;0;0.0;8.75
+;10;46.0;Schläfli Hugo;;12;55.25;7;46.75;-3;0.75;10.0

10a;Mollet Ivan;**;;;;;;;;;55.75
-;;;Borcard Clovis;*;;;;;;;8.75
