4447-2019-06-10_Glarner-Buendner_Kantonalschwingfest-ST

1a;Orlik Armon;***;;;;;;;;;59.0
+;;;Schuler Christian;***;;;;;;;10.0
+;1;10.0;Roth Martin;**;6;57.0;2;9.75;1;-0.25;10.0
-;1;20.0;Bösch Daniel;***;5;57.25;2;19.75;1;-0.25;9.0
+;2;29.0;Fausch Kjetil;*;10;56.0;3;28.75;1;-0.25;10.0
+;1;39.0;Burkhalter Stefan;***;5;57.25;2;38.75;1;-0.25;10.0
+;1;49.0;Bösch Daniel;***;5;57.25;2;48.5;1;-0.5;10.0

2a;Rychen Roger;***;;;;;;;;;58.25
+;;;Schuler Alex;***;;;;;;;9.75
+;2;9.75;Fausch Kjetil;*;10;56.0;1;10.0;-1;0.25;10.0
o;2;19.75;Burkhalter Stefan;***;5;57.25;1;20.0;-1;0.25;8.5
+;5;28.25;Straub Robin;*;11;55.75;3;28.75;-2;0.5;10.0
+;4;38.25;Biäsch Christian;*;5;57.25;2;38.75;-2;0.5;10.0
+;3;48.25;Schuler Christian;***;8;56.5;4;48.0;1;-0.25;10.0

3a;Schneider Mario;**;;;;;;;;;58.0
-;;;Steinauer Adrian;**;;;;;;;8.75
+;4;8.75;Rüegg Roman;*;29;26.0;4;8.75;0;0.0;9.75
+;6;18.5;Schlegel Reto;*;17;54.25;7;18.25;1;-0.25;9.75
+;5;28.25;Schläpfer Matthias;*;12;55.5;4;28.5;-1;0.25;9.75
+;5;38.0;Giger Urs;*;14;55.0;5;38.0;0;0.0;10.0
+;4;48.0;Hess Michael;*;11;55.75;7;47.25;3;-0.75;10.0

4a;Schlegel Sandro;**;;;;;;;;;57.5
-;;;Bernold Christian;**;;;;;;;8.75
+;4;8.75;Kolb This (2003);;12;55.5;1;10.0;-3;1.25;10.0
+;5;18.75;Jöhl Christian;*;12;55.5;1;20.0;-4;1.25;10.0
-;3;28.75;Burkhalter Stefan;***;5;57.25;1;30.0;-2;1.25;8.75
+;7;37.5;Fuster Sepp;*;23;46.5;5;38.0;-2;0.5;10.0
+;6;47.5;Straub Robin;*;11;55.75;7;47.25;1;-0.25;10.0

5a;Bösch Daniel;***;;;;;;;;;57.25
+;;;Schneider Domenic;***;;;;;;;9.75
+;2;9.75;Schläpfer Matthias;*;12;55.5;1;10.0;-1;0.25;10.0
-;2;19.75;Orlik Armon;***;1;59.0;1;20.0;-1;0.25;8.75
+;4;28.5;Dumelin David;**;7;56.75;4;28.5;0;0.0;10.0
+;3;38.5;Roth Martin;**;6;57.0;4;38.25;1;-0.25;10.0
o;2;48.5;Orlik Armon;***;1;59.0;1;49.0;-1;0.5;8.75

5b;Biäsch Christian;*;;;;;;;;;57.25
+;;;Kamer Hanspeter;*;;;;;;;10.0
-;1;10.0;Notz Beni;***;7;56.75;1;10.0;0;0.0;8.75
+;5;18.75;Laager Michael (2001);;13;55.25;2;19.75;-3;1.0;10.0
