3619-2017-07-22_66_Weissenstein-Schwinget-ST

1a;Stucki Christian;***;;;;;;;;;59.5
+;;;Gisler Bruno;***;;;;;;;10.0
+;1;10.0;Dind Samuel;**;16;54.25;1;10.0;0;0.0;10.0
+;1;20.0;Henzer Andreas;**;15;54.5;4;18.75;3;-1.25;9.75
+;2;29.75;Aeschbacher Matthias;**;5;57.0;1;30.0;-1;0.25;9.75
+;1;39.5;Roschi Ruedi;**;4;57.25;2;38.75;1;-0.75;10.0
+;1;49.5;Anderegg Simon;***;3;57.5;2;48.75;1;-0.75;10.0

2a;Kämpf Bernhard;***;;;;;;;;;58.0
-;;;Alpiger Nick;***;;;;;;;8.75
+;3;8.75;Haenni Stéphane;**;12;55.25;2;9.75;-1;1.0;10.0
+;4;18.75;Dousse Michel;**;16;54.25;2;19.75;-2;1.0;10.0
+;4;28.75;Röthlisberger Simon;**;11;55.5;5;28.5;1;-0.25;9.75
+;3;38.5;Graber Willy;***;7;56.5;5;38.0;2;-0.5;9.75
+;4;48.25;Käser Remo;***;7;56.5;5;48.0;1;-0.25;9.75

3a;Anderegg Simon;***;;;;;;;;;57.5
-;;;Henzer Andreas;**;;;;;;;8.75
+;3;8.75;Döbeli Lukas (2000);*;16;54.25;4;8.5;1;-0.25;10.0
+;4;18.75;Kramer Lario;**;10;55.75;2;19.75;-2;1.0;10.0
+;4;28.75;Roth Philipp;***;12;55.25;5;28.5;1;-0.25;10.0
+;2;38.75;Alpiger Nick;***;6;56.75;4;38.25;2;-0.5;10.0
o;2;48.75;Stucki Christian;***;1;59.5;1;49.5;-1;0.75;8.75

4a;Wenger Kilian;***;;;;;;;;;57.25
-;;;Bieri Christoph;***;;;;;;;8.75
-;3;8.75;Voggensperger Janic;**;27;28.25;2;9.75;-1;1.0;9.0
+;7;17.75;Mangold Michael;*;15;54.5;5;18.5;-2;0.75;10.0
+;8;27.75;Dind Samuel;**;16;54.25;5;28.5;-3;0.75;9.75
+;7;37.5;Matthey Mickaël;**;11;55.5;4;38.25;-3;0.75;10.0
+;7;47.5;Aeschbacher Matthias;**;5;57.0;3;48.5;-4;1.0;9.75

4b;Roschi Ruedi;**;;;;;;;;;57.25
+;;;Döbeli Lukas (2000);*;;;;;;;9.75
+;2;9.75;Matthey Mickaël;**;11;55.5;2;9.75;0;0.0;10.0
-;2;19.75;Gisler Bruno;***;8;56.25;5;18.5;3;-1.25;9.0
+;4;28.75;Gottofrey Marc;**;17;54.0;6;28.25;2;-0.5;10.0
o;2;38.75;Stucki Christian;***;1;59.5;1;39.5;-1;0.75;8.5
+;8;47.25;Strebel Joel;**;13;55.0;11;46.5;3;-0.75;10.0

5a;Zenger Niklaus;***;;;;;;;;;57.0
o;;;Studinger Stephan;**;;;;;;;8.75
+;3;8.75;Scherrer Johann;**;24;34.75;3;8.75;0;0.0;9.75
+;5;18.5;Döbeli Andreas;*;20;53.25;6;18.25;1;-0.25;10.0
-;5;28.5;Thürig Mario;***;8;56.25;5;28.5;0;0.0;8.75
+;8;37.25;Brun Samuel (1999);**;17;54.0;9;37.0;1;-0.25;10.0
+;8;47.25;Kramer Lario;**;10;55.75;9;47.0;1;-0.25;9.75

5b;Aeschbacher Matthias;**;;;;;;;;;57.0
+;;;Schmid Samuel;**;;;;;;;10.0
+;1;10.0;Gottofrey Marc;**;17;54.0;1;10.0;0;0.0;10.0
+;1;20.0;Thürig Mario;***;8;56.25;1;20.0;0;0.0;10.0
o;1;30.0;Stucki Christian;***;1;59.5;2;29.75;1;-0.25;8.5
+;3;38.5;Studinger Stephan;**;7;56.5;4;38.25;1;-0.25;10.0
