2975-2015-05-10_105_Zuercher_Kantonalschwingfest-ST

1a;Orlik Armon;**;;;;;;;;;59.0
o;10;36.75;Jörger Marc;;11;55.5;9;37.0;-1;0.25;8.75
+;14;45.5;Riedi Thomas;;17;54.0;14;45.5;0;0.0;10.0

11g;Jöhl Christian;;;;;;;;;;55.5
+;;;Truniger Manuel;;;;;;;;10.0
+;1;10.0;Schuler Martin;;31;18.25;2;9.75;1;-0.25;9.75
o;2;19.75;Odermatt Christoph;*;6;56.75;6;18.5;4;-1.25;8.5
+;6;28.25;Flück Bruno;;23;45.0;7;28.0;1;-0.25;10.0
o;4;38.25;Leuppi Samir;**;3;57.5;2;38.75;-2;0.5;8.5
o;9;46.75;Schnurrenberger Roman;**;4;57.25;7;47.25;-2;0.5;8.75

11h;Kohler Fredi;**;;;;;;;;;55.5
o;;;Orlik Armon;**;;;;;;;8.5
+;5;8.5;Ammann Rico;*;8;56.25;5;8.5;0;0.0;10.0
o;6;18.5;Schwyn Adrian;;13;55.0;6;18.5;0;0.0;8.5
+;10;27.0;Schlatter Philipp;*;12;55.25;6;28.25;-4;1.25;10.0
+;9;37.0;Candrian Gian-Luca (1998);;10;55.75;4;38.25;-5;1.25;10.0
o;8;47.0;Burkhalter Stefan;***;8;56.25;11;46.25;3;-0.75;8.5

11i;Stahel Felix;*;;;;;;;;;55.5
o;;;Gmür Pirmin;*;;;;;;;8.5
+;5;8.5;Arnold Christian;;15;54.5;1;10.0;-4;1.5;9.75
+;7;18.25;Schwyn Patrick (1999);;25;35.5;7;18.25;0;0.0;10.0
-;6;28.25;Scheiwiller Andreas;*;12;55.25;7;28.0;1;-0.25;8.75
-;9;37.0;Burkhard Patrick;;5;57.0;4;38.25;-5;1.25;8.75
+;13;45.75;Baumann Rico;*;15;54.5;12;46.0;-1;0.25;9.75

11j;Furrer Damian (1998);;;;;;;;;;55.5
+;;;Scherrer Pascal;;;;;;;;10.0
-;1;10.0;Grimm Michael;;14;54.75;1;10.0;0;0.0;8.75
o;5;18.75;Orlik Armon;**;1;59.0;4;19.0;-1;0.25;8.5
+;9;27.25;Hauser Simon (1998);;24;35.75;9;27.25;0;0.0;10.0
o;8;37.25;Vestner Roman;*;10;55.75;9;37.0;1;-0.25;8.5
+;13;45.75;Bosshard Dario (1999);;16;54.25;13;45.75;0;0.0;9.75

11k;Castelberg Marius;;;;;;;;;;55.5
-;;;Morger Adrian;*;;;;;;;8.75
o;4;8.75;Schneider Domenic;**;3;57.5;3;9.0;-1;0.25;8.5
-;9;17.25;Horner Sämi;;15;54.5;9;17.25;0;0.0;9.0
+;12;26.25;Weder Claude;;26;35.25;11;26.75;-1;0.5;9.75
+;13;36.0;Frei Hanspeter (1999);;17;54.0;14;35.75;1;-0.25;9.75
+;13;45.75;Wild Thomas;;16;54.25;13;45.75;0;0.0;9.75

11l;Leuppi Karim;;;;;;;;;;55.5
-;;;Keller Dominic;;;;;;;;8.75
+;4;8.75;Riedi Thomas;;17;54.0;5;8.5;1;-0.25;10.0
o;5;18.75;Scheiwiller Andreas;*;12;55.25;7;18.25;2;-0.5;8.5
+;9;27.25;Frauchiger Remo;;10;55.75;9;27.25;0;0.0;10.0
o;8;37.25;Orlik Curdin;**;6;56.75;8;37.25;0;0.0;8.5
+;13;45.75;Ruof Christof;;16;54.25;13;45.75;0;0.0;9.75

11m;Föhn Pirmin;*;;;;;;;;;55.5
-;;;Ackermann Remo;*;;;;;;;8.75
-;4;8.75;Büsser Andy;***;5;57.0;5;8.5;1;-0.25;8.75
+;8;17.5;Keller Dominic;;10;55.75;5;18.75;-3;1.25;10.0
+;8;27.5;Reichmuth Beat (1997);;15;54.5;5;28.5;-3;1.0;9.75
o;8;37.25;Schneider Domenic;**;3;57.5;5;38.0;-3;0.75;8.5
+;13;45.75;Gubser Fabian;;14;54.75;11;46.25;-2;0.5;9.75

11n;Bleiker Reto;*;;;;;;;;;55.5
o;;;Korrodi Paul;*;;;;;;;8.5
o;5;8.5;Vögeli Sven;*;30;18.5;4;8.75;-1;0.25;8.5
+;10;17.0;Ritzmann Bernhard;;14;54.75;7;18.25;-3;1.25;10.0
+;10;27.0;Oettli Marco (1997);;10;55.75;6;28.25;-4;1.25;10.0
+;9;37.0;Bickel Stefan;*;11;55.5;9;37.0;0;0.0;10.0
o;8;47.0;Kindlimann Fabian;***;3;57.5;6;47.5;-2;0.5;8.5

11o;Wettstein Daniel;;;;;;;;;;55.5
o;;;Oettli Marco (1997);;;;;;;;8.5
+;5;8.5;Moseler Manuel (1999);;14;54.75;5;8.5;0;0.0;10.0
o;6;18.5;Elmer Daniel;*;25;35.5;9;17.25;3;-1.25;8.5
+;10;27.0;Ulmann Fabian (1999);;25;35.5;10;27.0;0;0.0;10.0
-;9;37.0;Wild Stefan;;15;54.5;14;35.75;5;-1.25;8.75
+;13;45.75;Oetiker Ronny;;15;54.5;12;46.0;-1;0.25;9.75

12a;Rüegg Fabian;;;;;;;;;;55.25
+;;;Weder Claude;;;;;;;;9.75
+;2;9.75;Buchmann Michael;;10;55.75;1;10.0;-1;0.25;10.0
o;2;19.75;Ackermann Remo;*;7;56.5;6;18.5;4;-1.25;8.5
+;6;28.25;Meier Daniel;;17;54.0;6;28.25;0;0.0;9.75
o;5;38.0;Odermatt Christoph;*;6;56.75;4;38.25;-1;0.25;8.5
-;10;46.5;Odermatt Martin;*;9;56.0;8;47.0;-2;0.5;8.75

12b;Elmer Adrian;;;;;;;;;;55.25
+;;;Biäsch Christian;;;;;;;;10.0
o;1;10.0;Schneider Mario;**;6;56.75;2;9.75;1;-0.25;8.5
+;6;18.5;Scherrer Michael;;25;35.5;6;18.5;0;0.0;9.75
-;6;28.25;Vollenweider Jeremy (1998);;5;57.0;6;28.25;0;0.0;8.75
+;9;37.0;Ott Dominik;;14;54.75;9;37.0;0;0.0;9.75
o;9;46.75;Kammermann Thomas;*;6;56.75;8;47.0;-1;0.25;8.5

12c;Junker Nik;;;;;;;;;;55.25
+;;;Schäppi Andreas;;;;;;;;10.0
o;1;10.0;Fontana Michael;;10;55.75;1;10.0;0;0.0;8.5
o;6;18.5;Rhyner Michael;**;4;57.25;5;18.75;-1;0.25;8.5
+;10;27.0;Peter Simon (1997);;25;35.5;10;27.0;0;0.0;9.75
+;10;36.75;Lanter Christian (1998);;17;54.0;10;36.75;0;0.0;10.0
o;9;46.75;Nigg Lukas;**;6;56.75;8;47.0;-1;0.25;8.5

12d;Kälin Roland;**;;;;;;;;;55.25
-;;;Schneider Domenic;**;;;;;;;8.75
o;4;8.75;Oertig Dominik;*;13;55.0;5;8.5;1;-0.25;8.5
+;9;17.25;Biäsch Christian;;17;54.0;6;18.5;-3;1.25;9.75
+;10;27.0;Wicki Cédric;;16;54.25;6;28.25;-4;1.25;9.75
+;10;36.75;Keller Dominic;;10;55.75;8;37.25;-2;0.5;10.0
o;9;46.75;Bühler Ernst;**;5;57.0;8;47.0;-1;0.25;8.5

12e;Scheiwiller Andreas;*;;;;;;;;;55.25
+;;;Odermatt Christoph;*;;;;;;;9.75
o;2;9.75;Krähenbühl Tobias;**;6;56.75;2;9.75;0;0.0;8.5
+;7;18.25;Leuppi Karim;;11;55.5;5;18.75;-2;0.5;9.75
-;7;28.0;Stahel Felix;*;11;55.5;6;28.25;-1;0.25;8.75
-;10;36.75;Danner Daniel;;10;55.75;5;38.0;-5;1.25;8.75
+;14;45.5;Schudel Simon;;14;54.75;12;46.0;-2;0.5;9.75

12f;Vollmeier Sandro;;;;;;;;;;55.25
+;;;Funk Nicola (1999);;;;;;;;9.75
o;2;9.75;Morger Adrian;*;15;54.5;4;8.75;2;-1.0;8.5
o;7;18.25;Keller Lukas;;13;55.0;7;18.25;0;0.0;8.5
+;11;26.75;Hardegger Bendi (1998);;25;35.5;10;27.0;-1;0.25;10.0
o;10;36.75;Vollenweider Jeremy (1998);;5;57.0;9;37.0;-1;0.25;8.5
+;15;45.25;Meier Daniel;;17;54.0;14;45.5;-1;0.25;10.0

12g;Rüegg Patrick (1999);;;;;;;;;;55.25
o;;;Schönenberger Björn;;;;;;;;8.5
+;5;8.5;Ulmann Fabian (1999);;25;35.5;5;8.5;0;0.0;9.75
-;7;18.25;Wagner Dario;;20;53.25;7;18.25;0;0.0;8.75
+;10;27.0;Braun Mario;;25;35.5;10;27.0;0;0.0;9.75
+;10;36.75;Mortellaro Andrea;;18;53.75;10;36.75;0;0.0;10.0
o;9;46.75;Nägeli Roman;*;5;57.0;7;47.25;-2;0.5;8.5

12h;Schlatter Philipp;*;;;;;;;;;55.25
o;;;Burkhard Patrick;;;;;;;;8.5
+;5;8.5;Meier Daniel;;17;54.0;2;9.75;-3;1.25;9.75
+;7;18.25;Frei Hanspeter (1999);;17;54.0;6;18.5;-1;0.25;10.0
o;6;28.25;Kohler Fredi;**;11;55.5;10;27.0;4;-1.25;8.5
+;10;36.75;Held Florian (1997);;17;54.0;9;37.0;-1;0.25;10.0
o;9;46.75;Wey Nicola;*;4;57.25;7;47.25;-2;0.5;8.5

13a;Bucher Roland;;;;;;;;;;55.0
+;;;Frei Hanspeter (1999);;;;;;;;9.75
+;2;9.75;Wagner Dario;;20;53.25;2;9.75;0;0.0;9.75
o;3;19.5;Oertig Dominik;*;13;55.0;7;18.25;4;-1.25;8.5
+;7;28.0;Läderach Pascal (1999);;14;54.75;7;28.0;0;0.0;9.75
o;6;37.75;Kammermann Thomas;*;6;56.75;8;37.25;2;-0.5;8.5
o;11;46.25;Hari Michi;;10;55.75;12;46.0;1;-0.25;8.75

13b;Gysel Hansruedi;;;;;;;;;;55.0
+;;;Dändliker Hansheinrich (1997);;;;;;;;9.75
o;2;9.75;Kindlimann Fabian;***;3;57.5;4;8.75;2;-1.0;8.5
o;7;18.25;Oettli Marco (1997);;10;55.75;7;18.25;0;0.0;8.5
+;11;26.75;Truniger Manuel;;26;35.25;11;26.75;0;0.0;9.75
+;11;36.5;Bollier Fabian;;19;53.5;11;36.5;0;0.0;10.0
o;10;46.5;Korrodi Paul;*;7;56.5;9;46.75;-1;0.25;8.5

13c;Feusi Cornel;;;;;;;;;;55.0
+;;;Duschen Raffi;;;;;;;;9.75
+;2;9.75;Wingeier Janik (1998);;26;35.25;2;9.75;0;0.0;9.75
o;3;19.5;Morger Adrian;*;15;54.5;6;18.5;3;-1.0;8.5
o;7;28.0;Keller Lukas;;13;55.0;7;28.0;0;0.0;8.5
+;11;36.5;Rösli Dario (1998);;18;53.75;10;36.75;-1;0.25;10.0
o;10;46.5;Eugster Ruedi;**;10;55.75;13;45.75;3;-0.75;8.5

13d;Scherrer Christian;;;;;;;;;;55.0
+;;;Pallaoro Luca (1997);;;;;;;;9.75
o;2;9.75;Schlumpf Dominik;;7;56.5;1;10.0;-1;0.25;8.5
o;7;18.25;Baumann Rico;*;15;54.5;9;17.25;2;-1.0;8.5
+;11;26.75;Schwyn Patrick (1999);;25;35.5;11;26.75;0;0.0;9.75
+;11;36.5;Funk Nicola (1999);;18;53.75;11;36.5;0;0.0;9.75
o;11;46.25;Buchmann Michael;;10;55.75;12;46.0;1;-0.25;8.75

13e;Schwyn Adrian;;;;;;;;;;55.0
+;;;Rösli Dario (1998);;;;;;;;10.0
o;1;10.0;Arztmann Beda;;11;55.5;1;10.0;0;0.0;8.5
+;6;18.5;Kohler Fredi;**;11;55.5;6;18.5;0;0.0;9.75
+;6;28.25;Lanter Christian (1998);;17;54.0;6;28.25;0;0.0;9.75
o;5;38.0;Riget Ivan;*;7;56.5;5;38.0;0;0.0;8.5
o;10;46.5;Orlik Curdin;**;6;56.75;8;47.0;-2;0.5;8.5

13f;Straub Robin;*;;;;;;;;;55.0
-;;;Kammermann Thomas;*;;;;;;;8.75
o;4;8.75;Orlik Curdin;**;6;56.75;5;8.5;1;-0.25;8.5
+;9;17.25;Held Florian (1997);;17;54.0;6;18.5;-3;1.25;10.0
-;9;27.25;Buchmann Michael;;10;55.75;5;28.5;-4;1.25;9.0
-;12;36.25;Dändliker Shane;;8;56.25;8;37.25;-4;1.0;9.0
+;15;45.25;Horner Sämi;;15;54.5;12;46.0;-3;0.75;9.75

13g;Keller Lukas;;;;;;;;;;55.0
+;;;Hardegger Bendi (1998);;;;;;;;9.75
o;2;9.75;Korrodi Paul;*;7;56.5;2;9.75;0;0.0;8.5
+;7;18.25;Vollmeier Sandro;;12;55.25;7;18.25;0;0.0;9.75
+;7;28.0;Feusi Cornel;;13;55.0;7;28.0;0;0.0;9.75
o;6;37.75;Gwerder Andreas;**;8;56.25;7;37.5;1;-0.25;8.75
o;10;46.5;Peng Mike;***;4;57.25;7;47.25;-3;0.75;8.5

13h;Oertig Dominik;*;;;;;;;;;55.0
o;;;Koller Martin;*;;;;;;;8.5
+;5;8.5;Kälin Roland;**;12;55.25;4;8.75;-1;0.25;9.75
+;7;18.25;Bucher Roland;;13;55.0;3;19.5;-4;1.25;9.75
+;7;28.0;Schlumpf Dominik;;7;56.5;5;28.5;-2;0.5;10.0
o;5;38.0;Kindlimann Fabian;***;3;57.5;7;37.5;2;-0.5;8.5
o;10;46.5;Schneider Mario;**;6;56.75;8;47.0;-2;0.5;8.5

13i;Mathis Patrick;;;;;;;;;;55.0
+;;;Albertin Thomas (1997);;;;;;;;10.0
o;1;10.0;Kammermann Thomas;*;6;56.75;4;8.75;3;-1.25;8.5
-;6;18.5;Hauser Simon (1998);;24;35.75;6;18.5;0;0.0;9.0
o;8;27.5;Krähenbühl Lukas;*;19;53.5;12;26.25;4;-1.25;8.75
-;12;36.25;Grimm Michael;;14;54.75;13;36.0;1;-0.25;8.75
+;16;45.0;Jordi Gregor Ruedi;;22;52.75;19;44.25;3;-0.75;10.0

13j;Gmür Pirmin;*;;;;;;;;;55.0
+;;;Stahel Felix;*;;;;;;;9.75
-;2;9.75;Koller Martin;*;10;55.75;2;9.75;0;0.0;9.0
+;5;18.75;Burkhard Patrick;;5;57.0;2;19.75;-3;1.0;10.0
-;4;28.75;Leuppi Samir;**;3;57.5;1;29.75;-3;1.0;9.0
-;6;37.75;Schweizer Christof;*;11;55.5;4;38.25;-2;0.5;8.75
o;10;46.5;Vollenweider Jeremy (1998);;5;57.0;8;47.0;-2;0.5;8.5

13k;Bircher Luca (1999);;;;;;;;;;55.0
-;;;Reichmuth Beat (1997);;;;;;;;8.75
+;4;8.75;Mortellaro Andrea;;18;53.75;5;8.5;1;-0.25;9.75
o;6;18.5;Eugster Ruedi;**;10;55.75;6;18.5;0;0.0;8.5
+;10;27.0;Scherrer Michael;;25;35.5;10;27.0;0;0.0;9.75
o;10;36.75;Wey Nicola;*;4;57.25;8;37.25;-2;0.5;8.5
+;15;45.25;Rösli Dario (1998);;18;53.75;15;45.25;0;0.0;9.75

13l;Schönenberger Christian;;;;;;;;;;55.0
+;;;Kiener Tobias;;;;;;;;9.75
o;2;9.75;Burkhard Patrick;;5;57.0;2;9.75;0;0.0;8.5
+;7;18.25;Marty Lukas (1999);;26;35.25;7;18.25;0;0.0;10.0
o;6;28.25;Baumann Rico;*;15;54.5;10;27.0;4;-1.25;8.5
o;10;36.75;Läderach Pascal (1999);;14;54.75;11;36.5;1;-0.25;8.5
+;15;45.25;Mortellaro Andrea;;18;53.75;15;45.25;0;0.0;9.75

13m;Bickel Roman (1998);;;;;;;;;;55.0
o;;;Flück Bruno;;;;;;;;8.5
+;5;8.5;Oetiker Ronny;;15;54.5;4;8.75;-1;0.25;9.75
+;7;18.25;Funk Nicola (1999);;18;53.75;7;18.25;0;0.0;9.75
o;7;28.0;Ammann Rico;*;8;56.25;11;26.75;4;-1.25;8.5
+;11;36.5;Moseler Manuel (1999);;14;54.75;11;36.5;0;0.0;10.0
o;10;46.5;Schlumpf Dominik;;7;56.5;9;46.75;-1;0.25;8.5

13n;Keller Janik;;;;;;;;;;55.0
+;;;Dändliker Shane;;;;;;;;9.75
-;2;9.75;Odermatt Martin;*;9;56.0;1;10.0;-1;0.25;8.75
+;6;18.5;Truniger Manuel;;26;35.25;7;18.25;1;-0.25;9.75
o;6;28.25;Rhyner Michael;**;4;57.25;5;28.5;-1;0.25;8.5
+;10;36.75;Schönenberger Björn;;18;53.75;10;36.75;0;0.0;9.75
o;10;46.5;Krähenbühl Tobias;**;6;56.75;9;46.75;-1;0.25;8.5

14a;Moseler Manuel (1999);;;;;;;;;;54.75
o;;;Arnold Christian;;;;;;;;8.5
o;5;8.5;Wettstein Daniel;;11;55.5;5;8.5;0;0.0;8.5
+;10;17.0;Kiener Tobias;;25;35.5;10;17.0;0;0.0;9.75
+;11;26.75;Schmidlin Simon (1998);;25;35.5;10;27.0;-1;0.25;9.75
o;11;36.5;Bickel Roman (1998);;13;55.0;11;36.5;0;0.0;8.5
+;16;45.0;Jordi Gregor Ruedi;;22;52.75;19;44.25;3;-0.75;9.75

14b;Ritzmann Bernhard;;;;;;;;;;54.75
o;;;Kunz Daniel;;;;;;;;8.5
+;5;8.5;Braun Mario;;25;35.5;5;8.5;0;0.0;9.75
o;7;18.25;Bleiker Reto;*;11;55.5;10;17.0;3;-1.25;8.5
+;11;26.75;Wingeier Janik (1998);;26;35.25;11;26.75;0;0.0;9.75
o;11;36.5;Horner Sämi;;15;54.5;12;36.25;1;-0.25;8.5
+;16;45.0;Schönenberger Björn;;18;53.75;15;45.25;-1;0.25;9.75

14c;Grimm Michael;;;;;;;;;;54.75
+;;;Wild Philippe (1999);;;;;;;;10.0
-;1;10.0;Furrer Damian (1998);;11;55.5;1;10.0;0;0.0;8.75
o;5;18.75;Schneider Domenic;**;3;57.5;4;19.0;-1;0.25;8.5
-;9;27.25;Berger Roman;;16;54.25;7;28.0;-2;0.75;8.75
-;13;36.0;Mathis Patrick;;13;55.0;12;36.25;-1;0.25;8.75
+;17;44.75;Bollier Fabian;;19;53.5;16;45.0;-1;0.25;10.0

14d;Schudel Simon;;;;;;;;;;54.75
+;;;Mortellaro Andrea;;;;;;;;10.0
+;1;10.0;Wild Stefan;;15;54.5;1;10.0;0;0.0;9.75
o;2;19.75;Riget Ivan;*;7;56.5;6;18.5;4;-1.25;8.5
o;6;28.25;Odermatt Martin;*;9;56.0;9;27.25;3;-1.0;8.75
-;9;37.0;Reichmuth Beat (1997);;15;54.5;9;37.0;0;0.0;9.0
o;12;46.0;Scheiwiller Andreas;*;12;55.25;14;45.5;2;-0.5;8.75

14e;Läderach Pascal (1999);;;;;;;;;;54.75
o;;;Schuler Martin;;;;;;;;8.5
+;5;8.5;Duschen Raffi;;32;17.0;5;8.5;0;0.0;9.75
+;7;18.25;Stähli Jan (1999);;25;35.5;7;18.25;0;0.0;9.75
o;7;28.0;Bucher Roland;;13;55.0;7;28.0;0;0.0;8.5
+;11;36.5;Schönenberger Christian;;13;55.0;10;36.75;-1;0.25;9.75
o;11;46.25;Inderbitzin Daniel;*;10;55.75;13;45.75;2;-0.5;8.5

14f;Braun Mathias;;;;;;;;;;54.75
-;;;Elmer Daniel;*;;;;;;;8.75
+;4;8.75;Hardegger Bendi (1998);;25;35.5;5;8.5;1;-0.25;10.0
+;5;18.75;Zehnder Mario (1999);;16;54.25;5;18.75;0;0.0;10.0
o;4;28.75;Orlik Armon;**;1;59.0;3;29.0;-1;0.25;8.5
-;8;37.25;Ruof Christof;;16;54.25;9;37.0;1;-0.25;9.0
o;11;46.25;Dändliker Shane;;8;56.25;11;46.25;0;0.0;8.5

14g;Ott Dominik;;;;;;;;;;54.75
+;;;Schnyder Christian;;;;;;;;9.75
+;2;9.75;Harder Benj;;11;55.5;1;10.0;-1;0.25;9.75
-;3;19.5;Bickel Stefan;*;11;55.5;7;18.25;4;-1.25;9.0
o;5;28.5;Ackermann Remo;*;7;56.5;5;28.5;0;0.0;8.5
o;9;37.0;Elmer Adrian;;12;55.25;9;37.0;0;0.0;8.75
-;13;45.75;Arnold Christian;;15;54.5;14;45.5;1;-0.25;9.0

14h;Gubser Fabian;;;;;;;;;;54.75
+;;;Schlüchter Tobias (1999);;;;;;;;10.0
o;1;10.0;Vollenweider Jeremy (1998);;5;57.0;2;9.75;1;-0.25;8.5
-;6;18.5;Krähenbühl Lukas;*;19;53.5;9;17.25;3;-1.25;9.0
o;8;27.5;Gartmann Mauro;;10;55.75;8;27.5;0;0.0;8.75
+;12;36.25;Flück Bruno;;23;45.0;11;36.5;-1;0.25;10.0
o;11;46.25;Föhn Pirmin;*;11;55.5;13;45.75;2;-0.5;8.5

15a;Baumann Rico;*;;;;;;;;;54.5
-;;;Nägeli Roman;*;;;;;;;8.75
o;4;8.75;Ackermann Remo;*;7;56.5;4;8.75;0;0.0;8.5
+;9;17.25;Scherrer Christian;;13;55.0;7;18.25;-2;1.0;9.75
+;10;27.0;Schönenberger Christian;;13;55.0;6;28.25;-4;1.25;10.0
-;9;37.0;Berger Roman;;16;54.25;10;36.75;1;-0.25;9.0
o;12;46.0;Stahel Felix;*;11;55.5;13;45.75;1;-0.25;8.5

15b;Morger Adrian;*;;;;;;;;;54.5
-;;;Castelberg Marius;;;;;;;;8.75
+;4;8.75;Vollmeier Sandro;;12;55.25;2;9.75;-2;1.0;9.75
+;6;18.5;Feusi Cornel;;13;55.0;3;19.5;-3;1.0;10.0
o;5;28.5;Inderbitzin Daniel;*;10;55.75;9;27.25;4;-1.25;8.5
-;9;37.0;Wicki Cédric;;16;54.25;10;36.75;1;-0.25;9.0
o;12;46.0;Ammann Rico;*;8;56.25;11;46.25;-1;0.25;8.5

15c;Wild Stefan;;;;;;;;;;54.5
+;;;Bussien Pascal;;;;;;;;10.0
o;1;10.0;Schudel Simon;;14;54.75;1;10.0;0;0.0;8.5
o;6;18.5;Inderbitzin Daniel;*;10;55.75;9;17.25;3;-1.25;8.5
-;10;27.0;Wettstein Daniel;;11;55.5;10;27.0;0;0.0;8.75
+;14;35.75;Zehnder Mario (1999);;16;54.25;14;35.75;0;0.0;10.0
-;13;45.75;Krähenbühl Lukas;*;19;53.5;17;44.75;4;-1.0;8.75

15d;Oetiker Ronny;;;;;;;;;;54.5
-;;;Danner Daniel;;;;;;;;8.75
o;4;8.75;Bickel Roman (1998);;13;55.0;5;8.5;1;-0.25;8.5
+;9;17.25;Buff Alwin;;27;34.25;9;17.25;0;0.0;10.0
o;9;27.25;Keller Dominic;;10;55.75;9;27.25;0;0.0;8.75
+;13;36.0;Frey Aaron;;21;53.0;14;35.75;1;-0.25;10.0
o;12;46.0;Wettstein Daniel;;11;55.5;13;45.75;1;-0.25;8.5

15e;Reichmuth Beat (1997);;;;;;;;;;54.5
-;;;Bircher Luca (1999);;;;;;;;8.75
+;4;8.75;Jordi Gregor Ruedi;;22;52.75;5;8.5;1;-0.25;9.75
+;6;18.5;Pallaoro Luca (1997);;25;35.5;6;18.5;0;0.0;10.0
o;5;28.5;Föhn Pirmin;*;11;55.5;8;27.5;3;-1.0;8.5
-;9;37.0;Schudel Simon;;14;54.75;9;37.0;0;0.0;9.0
o;12;46.0;Kunz Daniel;;10;55.75;13;45.75;1;-0.25;8.5

15f;Arnold Christian;;;;;;;;;;54.5
+;;;Moseler Manuel (1999);;;;;;;;10.0
o;1;10.0;Stahel Felix;*;11;55.5;5;8.5;4;-1.5;8.5
o;6;18.5;Wicki Cédric;;16;54.25;6;18.5;0;0.0;8.5
+;10;27.0;Spörri Patrick (1997);;25;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Schlumpf Dominik;;7;56.5;9;37.0;0;0.0;8.5
-;14;45.5;Ott Dominik;;14;54.75;13;45.75;-1;0.25;9.0

15g;Horner Sämi;;;;;;;;;;54.5
-;;;Frauchiger Remo;;;;;;;;8.75
o;4;8.75;Eugster Ruedi;**;10;55.75;5;8.5;1;-0.25;8.5
-;9;17.25;Castelberg Marius;;11;55.5;9;17.25;0;0.0;9.0
+;12;26.25;Thoma Nils (1999);;26;35.25;11;26.75;-1;0.5;10.0
+;12;36.25;Ritzmann Bernhard;;14;54.75;11;36.5;-1;0.25;9.75
o;12;46.0;Straub Robin;*;13;55.0;15;45.25;3;-0.75;8.5

16a;Wicki Cédric;;;;;;;;;;54.25
+;;;Scherrer Michael;;;;;;;;10.0
o;1;10.0;Riget Ivan;*;7;56.5;4;8.75;3;-1.25;8.5
+;6;18.5;Arnold Christian;;15;54.5;6;18.5;0;0.0;9.75
o;6;28.25;Kälin Roland;**;12;55.25;10;27.0;4;-1.25;8.5
-;10;36.75;Morger Adrian;*;15;54.5;9;37.0;-1;0.25;9.0
o;13;45.75;Fontana Michael;;10;55.75;13;45.75;0;0.0;8.5

16b;Schnyder Christian;;;;;;;;;;54.25
o;;;Ott Dominik;;;;;;;;8.5
+;5;8.5;Frey Aaron;;21;53.0;4;8.75;-1;0.25;10.0
o;6;18.5;Büsser Andy;***;5;57.0;9;17.25;3;-1.25;8.5
+;10;27.0;Bussien Pascal;;25;35.5;10;27.0;0;0.0;10.0
-;9;37.0;Meier Daniel;;17;54.0;10;36.75;1;-0.25;8.75
o;13;45.75;Bickel Stefan;*;11;55.5;14;45.5;1;-0.25;8.5

16c;Berger Roman;;;;;;;;;;54.25
+;;;Bürgler Patrick;;;;;;;;9.75
o;2;9.75;Bickel Stefan;*;11;55.5;5;8.5;3;-1.25;8.5
+;7;18.25;Weder Claude;;26;35.25;7;18.25;0;0.0;9.75
-;7;28.0;Grimm Michael;;14;54.75;9;27.25;2;-0.75;8.75
-;10;36.75;Baumann Rico;*;15;54.5;9;37.0;-1;0.25;9.0
o;13;45.75;Burkhard Tobias;;11;55.5;13;45.75;0;0.0;8.5

16d;Ruof Christof;;;;;;;;;;54.25
+;;;Burkhard Roger;;;;;;;;10.0
o;1;10.0;Nägeli Marco;*;4;57.25;1;10.0;0;0.0;8.75
+;5;18.75;Wild Thomas;;16;54.25;6;18.5;1;-0.25;9.75
o;5;28.5;Bickel Stefan;*;11;55.5;9;27.25;4;-1.25;8.5
-;9;37.0;Braun Mathias;;14;54.75;8;37.25;-1;0.25;8.75
o;13;45.75;Leuppi Karim;;11;55.5;13;45.75;0;0.0;8.5

16e;Bosshard Dario (1999);;;;;;;;;;54.25
-;;;Huber Adrian;;;;;;;;8.75
+;4;8.75;Glättli Benny;;27;34.25;5;8.5;1;-0.25;10.0
o;5;18.75;Wey Nicola;*;4;57.25;6;18.5;1;-0.25;8.5
+;9;27.25;Zehnder Mario (1999);;16;54.25;9;27.25;0;0.0;10.0
o;8;37.25;Nägeli Roman;*;5;57.0;8;37.25;0;0.0;8.5
o;13;45.75;Furrer Damian (1998);;11;55.5;13;45.75;0;0.0;8.5

16f;Wild Thomas;;;;;;;;;;54.25
+;;;Jordi Gregor Ruedi;;;;;;;;10.0
o;1;10.0;Nägeli Roman;*;5;57.0;4;8.75;3;-1.25;8.5
o;6;18.5;Ruof Christof;;16;54.25;5;18.75;-1;0.25;8.5
+;10;27.0;Dändliker Hansheinrich (1997);;25;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Ammann Rico;*;8;56.25;11;36.5;2;-0.5;8.75
o;13;45.75;Castelberg Marius;;11;55.5;13;45.75;0;0.0;8.5

16g;Zehnder Mario (1999);;;;;;;;;;54.25
+;;;Knabe Robert;;;;;;;;9.75
-;2;9.75;Odermatt Michi (1997);;20;53.25;1;10.0;-1;0.25;9.0
o;5;18.75;Braun Mathias;;14;54.75;5;18.75;0;0.0;8.5
o;9;27.25;Bosshard Dario (1999);;16;54.25;9;27.25;0;0.0;8.5
o;14;35.75;Wild Stefan;;15;54.5;14;35.75;0;0.0;8.5
+;19;44.25;Eisenring Daniel (1997);;22;52.75;19;44.25;0;0.0;10.0

17a;Riedi Thomas;;;;;;;;;;54.0
o;;;Vollenweider Jeremy (1998);;;;;;;;8.5
