2975-2015-05-10_105_Zuercher_Kantonalschwingfest-ST

1a;Orlik Armon;**;;;;;;;;;59.0
+;;;Schlatter Philipp;*;;;;;;;9.75
+;2;9.75;Schönenberger Christian;;13;55.0;2;9.75;0;0.0;10.0
o;2;19.75;Gmür Pirmin;*;13;55.0;5;18.75;3;-1.0;8.5
+;6;28.25;Odermatt Michi (1997);;20;53.25;8;27.5;2;-0.75;10.0
-;4;38.25;Stahel Felix;*;11;55.5;9;37.0;5;-1.25;8.75
+;8;47.0;Arztmann Beda;;11;55.5;8;47.0;0;0.0;10.0

5d;Büsser Andy;***;;;;;;;;;57.0
o;;;Schuler Christian;***;;;;;;;8.5
-;5;8.5;Föhn Pirmin;*;11;55.5;4;8.75;-1;0.25;8.75
+;9;17.25;Schnyder Christian;;16;54.25;6;18.5;-3;1.25;10.0
+;9;27.25;Kammermann Thomas;*;6;56.75;4;28.75;-5;1.5;10.0
+;8;37.25;Arztmann Beda;;11;55.5;3;38.5;-5;1.25;10.0
+;7;47.25;Ackermann Remo;*;7;56.5;4;48.0;-3;0.75;9.75

5e;Rychen Roger;**;;;;;;;;;57.0
-;;;Burkhalter Stefan;***;;;;;;;8.75
+;4;8.75;Elmer Daniel;*;25;35.5;4;8.75;0;0.0;10.0
+;5;18.75;Huber Adrian;;24;35.75;6;18.5;1;-0.25;9.75
+;5;28.5;Vestner Roman;*;10;55.75;5;28.5;0;0.0;10.0
+;3;38.5;Krähenbühl Tobias;**;6;56.75;4;38.25;1;-0.25;9.75
o;3;48.25;Schneider Domenic;**;3;57.5;5;47.75;2;-0.5;8.75

5f;Vollenweider Jeremy (1998);;;;;;;;;;57.0
+;;;Riedi Thomas;;;;;;;;9.75
+;2;9.75;Gubser Fabian;;14;54.75;1;10.0;-1;0.25;10.0
o;2;19.75;Koller Martin;*;10;55.75;5;18.75;3;-1.0;8.5
-;6;28.25;Elmer Adrian;;12;55.25;6;28.25;0;0.0;8.75
+;9;37.0;Vollmeier Sandro;;12;55.25;10;36.75;1;-0.25;10.0
+;8;47.0;Gmür Pirmin;*;13;55.0;10;46.5;2;-0.5;10.0

6a;Odermatt Christoph;*;;;;;;;;;56.75
o;;;Scheiwiller Andreas;*;;;;;;;8.5
+;5;8.5;Bürgler Patrick;;28;34.0;5;8.5;0;0.0;10.0
+;6;18.5;Jöhl Christian;;11;55.5;2;19.75;-4;1.25;9.75
+;6;28.25;Elmer Daniel;*;25;35.5;10;27.0;4;-1.25;10.0
+;4;38.25;Rüegg Fabian;;12;55.25;5;38.0;1;-0.25;10.0
o;3;48.25;Schuler Christian;***;2;58.75;2;48.75;-1;0.5;8.5

6b;Schneider Mario;**;;;;;;;;;56.75
+;;;Vögeli Sven;*;;;;;;;9.75
+;2;9.75;Elmer Adrian;;12;55.25;1;10.0;-1;0.25;10.0
