4068-2019-07-07_113_Innerschweizer_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;**;;;;;;;;;109.25
13g;Leuppi Samir;**;;;;;;;;;55.5
o;;;Schurtenberger Sven;***;;;;;;;8.5
-;6;8.5;Streiff Dominik;*;18;54.25;3;9.75;-3;1.25;8.75
o;11;17.25;Zimmermann Simon;**;13;55.5;7;18.5;-4;1.25;8.5
+;16;25.75;Bieri Christian;**;31;34.75;14;26.25;-2;0.5;10.0
+;15;35.75;Reichmuth Lukas;*;17;54.5;14;36.0;-1;0.25;10.0
+;13;45.75;Arnold Andreas;*;18;54.25;13;45.75;0;0.0;9.75

13h;Odermatt Andreas;*;;;;;;;;;55.5
+;;;Widmer Adrian;*;;;;;;;10.0
-;2;10.0;Schuler Alex;***;16;54.75;5;8.75;3;-1.25;8.75
+;6;18.75;Lustenberger Florian (2002);;19;54.0;2;20.0;-4;1.25;10.0
o;5;28.75;Wicki Joel;**;3;58.25;5;28.75;0;0.0;8.5
+;9;37.25;Bucher Thomas;*;15;55.0;11;36.75;2;-0.5;9.75
o;8;47.0;Lang Sven;*;7;57.0;7;47.25;-1;0.25;8.5

13i;Arnold Raphael;**;;;;;;;;;55.5
+;;;Grab Daniel;**;;;;;;;10.0
-;2;10.0;von Weissenﬂuh Kilian;**;8;56.75;5;8.75;3;-1.25;8.75
+;6;18.75;Bürgi Tobias;;19;54.0;3;19.75;-3;1.0;10.0
-;5;28.75;Suppiger René;***;10;56.25;6;28.5;1;-0.25;8.75
-;8;37.5;Zürcher Ueli;*;15;55.0;8;37.5;0;0.0;9.0
-;10;46.5;Weber Ivo;;14;55.25;11;46.25;1;-0.25;9.0

13j;Wallimann Remo;*;;;;;;;;;55.5
o;;;Bucher Thomas;*;;;;;;;8.5
+;6;8.5;Gisler Jonas (2001);*;29;35.25;6;8.5;0;0.0;9.75
o;8;18.25;Herger Matthias;**;9;56.5;7;18.5;-1;0.25;8.5
-;13;26.75;Lustenberger Marc (2003);;18;54.25;10;27.5;-3;0.75;9.0
+;15;35.75;Hegner Ueli;*;23;52.75;15;35.75;0;0.0;9.75
+;14;45.5;Thierstein Marco;*;18;54.25;13;45.75;-1;0.25;10.0

13k;Betschart Patrick;*;;;;;;;;;55.5
+;;;Bachmann Roger;*;;;;;;;9.75
+;3;9.75;Stöckli Damian;*;24;46.0;2;10.0;-1;0.25;10.0
o;3;19.75;Briker Michael;*;9;56.5;7;18.5;4;-1.25;8.75
-;6;28.5;Doppmann Urs;**;10;56.25;10;27.5;4;-1.0;8.75
o;9;37.25;Mathis Marcel;***;8;56.75;11;36.75;2;-0.5;8.5
+;13;45.75;Betschart Remo;**;18;54.25;13;45.75;0;0.0;9.75

13l;Zimmermann Simon;**;;;;;;;;;55.5
-;;;Fässler Dominic;**;;;;;;;8.75
+;5;8.75;Gwerder Andreas;*;29;35.25;6;8.5;1;-0.25;9.75
+;7;18.5;Leuppi Samir;**;13;55.5;11;17.25;4;-1.25;9.75
-;7;28.25;Bürgi Tobias;;19;54.0;7;28.25;0;0.0;8.75
o;10;37.0;Graber Michael;*;15;55.0;11;36.75;1;-0.25;8.5
+;14;45.5;Hess Michael;*;18;54.25;13;45.75;-1;0.25;10.0

14a;Huber Alex;*;;;;;;;;;55.25
+;;;Achermann Christoph;*;;;;;;;9.75
+;3;9.75;Schöpfer Ronny;*;12;55.75;2;10.0;-1;0.25;9.75
-;4;19.5;Piemontesi Pascal;**;13;55.5;7;18.5;3;-1.0;8.75
-;7;28.25;Felder Martin;*;18;54.25;7;28.25;0;0.0;9.0
-;9;37.25;Binggeli Stefan;**;16;54.75;9;37.25;0;0.0;9.0
-;11;46.25;Mehr Lars (2002);;14;55.25;11;46.25;0;0.0;9.0

14b;Gerber Peter;*;;;;;;;;;55.25
+;;;Matter Marco;*;;;;;;;9.75
o;3;9.75;Herger Matthias;**;9;56.5;6;8.5;3;-1.25;8.5
+;8;18.25;Herger Andreas;;17;54.5;6;18.75;-2;0.5;10.0
-;7;28.25;Lussi Marco;**;16;54.75;6;28.5;-1;0.25;8.75
o;10;37.0;Scheuber Lutz;**;11;56.0;8;37.5;-2;0.5;8.5
+;14;45.5;Durrer Fabian;*;19;54.0;14;45.5;0;0.0;9.75

14c;Weber Ivo;;;;;;;;;;55.25
o;;;Della Torre Simon;;;;;;;;8.5
+;6;8.5;Vogler Jonas;;33;34.25;5;8.75;-1;0.25;9.75
o;8;18.25;Zimmermann Martin;**;15;55.0;7;18.5;-1;0.25;8.5
+;13;26.75;Van Messel Noe (2002);**;30;35.0;14;26.25;1;-0.5;9.75
+;12;36.5;Hürlimann Mathias;*;21;53.25;14;36.0;2;-0.5;9.75
-;11;46.25;Arnold Raphael;**;13;55.5;10;46.5;-1;0.25;9.0

14d;Gwerder Dario;**;;;;;;;;;55.25
o;;;Ettlin Stefan;**;;;;;;;8.5
+;6;8.5;Scherer Niklaus;*;21;53.25;5;8.75;-1;0.25;9.75
+;8;18.25;Jund Matthias;;28;35.5;11;17.25;3;-1.0;9.75
o;8;28.0;von Weissenﬂuh Kilian;**;8;56.75;11;27.25;3;-0.75;8.5
+;12;36.5;Schmidiger Marco;*;21;53.25;14;36.0;2;-0.5;9.75
-;11;46.25;Brun Jonas;**;11;56.0;8;47.0;-3;0.75;9.0

14e;Rolli Martin;**;;;;;;;;;55.25
o;;;Bieri Marcel;**;;;;;;;8.5
+;6;8.5;Bernet Christoph;*;17;54.5;5;8.75;-1;0.25;9.75
+;8;18.25;Bucher Christian;*;13;55.5;7;18.5;-1;0.25;10.0
o;7;28.25;Schurtenberger Sven;***;5;57.5;6;28.5;-1;0.25;8.5
+;11;36.75;Höﬂiger Andreas;**;13;55.5;10;37.0;-1;0.25;9.75
o;10;46.5;Herger Matthias;**;9;56.5;10;46.5;0;0.0;8.75

14f;Gasser Stefan;**;;;;;;;;;55.25
o;;;Reichmuth Marco;**;;;;;;;8.5
+;6;8.5;Heiniger Marco;*;16;54.75;5;8.75;-1;0.25;10.0
+;7;18.5;Betschart Daniel;;17;54.5;7;18.5;0;0.0;10.0
o;6;28.5;Nötzli Reto;***;8;56.75;7;28.25;1;-0.25;8.5
+;10;37.0;Vogel Remo;**;11;56.0;9;37.25;-1;0.25;9.75
o;9;46.75;Gapany Benjamin;**;6;57.25;7;47.25;-2;0.5;8.5

14g;Mehr Lars (2002);;;;;;;;;;55.25
+;;;Auf der Maur Michael;;;;;;;;10.0
-;2;10.0;Lustenberger Marc (2003);;18;54.25;3;9.75;1;-0.25;9.0
o;5;19.0;Steinauer Adrian;**;10;56.25;8;18.25;3;-0.75;8.5
-;10;27.5;Arnold Fabian;*;18;54.25;12;27.0;2;-0.5;9.0
+;12;36.5;Kessler Joel;*;16;54.75;13;36.25;1;-0.25;9.75
-;11;46.25;Huber Alex;*;14;55.25;11;46.25;0;0.0;9.0

15a;Zimmermann Martin;**;;;;;;;;;55.0
-;;;Fankhauser Reto;**;;;;;;;8.75
+;5;8.75;Suppiger Thomas;*;16;54.75;4;9.0;-1;0.25;9.75
+;7;18.5;Weber Ivo;;14;55.25;8;18.25;1;-0.25;9.75
o;7;28.25;Gapany Benjamin;**;6;57.25;6;28.5;-1;0.25;8.5
+;11;36.75;Gwerder Christian;**;18;54.25;14;36.0;3;-0.75;9.75
o;10;46.5;Gloggner Philipp;***;7;57.0;8;47.0;-2;0.5;8.5

15b;Burch Jonas;*;;;;;;;;;55.0
-;;;Kessler Joel;*;;;;;;;9.0
+;4;9.0;Muff André;*;12;55.75;5;8.75;1;-0.25;10.0
o;5;19.0;Suppiger René;***;10;56.25;7;18.5;2;-0.5;8.5
o;10;27.5;Herger Matthias;**;9;56.5;7;28.25;-3;0.75;8.5
+;14;36.0;Eﬃnger Peter;;20;53.5;12;36.5;-2;0.5;10.0
-;12;46.0;Kennel Beat;*;15;55.0;12;46.0;0;0.0;9.0

15c;Ulrich Marco;*;;;;;;;;;55.0
+;;;Fink Bruno;*;;;;;;;10.0
-;2;10.0;Rohrer Ivan;**;9;56.5;2;10.0;0;0.0;9.0
o;5;19.0;Imhof Andi;***;6;57.25;7;18.5;2;-0.5;8.5
+;10;27.5;Waser Christoph (2002);;19;54.0;6;28.5;-4;1.0;10.0
-;8;37.5;Stöckli Damian;*;24;46.0;10;37.0;2;-0.5;9.0
o;10;46.5;Fankhauser Marco;**;8;56.75;8;47.0;-2;0.5;8.5

15d;Troxler Jonas;*;;;;;;;;;55.0
o;;;Schürpf Bruno;*;;;;;;;8.5
+;6;8.5;Betschart Silvan;*;29;35.25;6;8.5;0;0.0;9.75
o;8;18.25;Waser Christoph (2002);;19;54.0;7;18.5;-1;0.25;8.5
+;13;26.75;Käslin Benno;*;30;35.0;14;26.25;1;-0.5;10.0
o;11;36.75;Briker Michael;*;9;56.5;10;37.0;-1;0.25;8.5
+;15;45.25;Gwerder Beni;;19;54.0;14;45.5;-1;0.25;9.75

15e;Kennel Beat;*;;;;;;;;;55.0
-;;;Arnold Fabian;*;;;;;;;9.0
o;4;9.0;Odermatt Christian;**;15;55.0;6;8.5;2;-0.5;8.5
o;10;17.5;Muff André;*;12;55.75;11;17.25;1;-0.25;8.5
+;15;26.0;Ming Hannes;;23;52.75;11;27.25;-4;1.25;10.0
+;14;36.0;Fink Bruno;*;18;54.25;14;36.0;0;0.0;10.0
-;12;46.0;Burch Jonas;*;15;55.0;12;46.0;0;0.0;9.0

15f;Gander Michael;;;;;;;;;;55.0
+;;;Beffa Mario;;;;;;;;10.0
-;2;10.0;Lagler Christian;;16;54.75;3;9.75;1;-0.25;9.0
-;5;19.0;Vogel Remo;**;11;56.0;7;18.5;2;-0.5;9.0
o;8;28.0;Gwerder Michael;**;11;56.0;6;28.5;-2;0.5;8.5
+;12;36.5;Bernet Christoph;*;17;54.5;14;36.0;2;-0.5;10.0
o;10;46.5;Fankhauser Reto;**;10;56.25;11;46.25;1;-0.25;8.5

15g;Bucher Roland;*;;;;;;;;;55.0
+;;;Thalmann Thomas;*;;;;;;;9.75
o;3;9.75;Suppiger Werner;**;10;56.25;2;10.0;-1;0.25;8.5
+;8;18.25;Lustenberger Marc (2003);;18;54.25;6;18.75;-2;0.5;9.75
o;8;28.0;Ambühl Joel;**;8;56.75;6;28.5;-2;0.5;8.5
-;12;36.5;Barmettler Peter;*;18;54.25;10;37.0;-2;0.5;8.75
+;15;45.25;Felder Martin;*;18;54.25;13;45.75;-2;0.5;9.75

15h;Bucher Thomas;*;;;;;;;;;55.0
+;;;Wallimann Remo;*;;;;;;;10.0
+;2;10.0;Barmettler Peter;*;18;54.25;2;10.0;0;0.0;9.75
o;3;19.75;Rohrer Ivan;**;9;56.5;5;19.0;2;-0.75;8.5
o;7;28.25;Fankhauser Marco;**;8;56.75;7;28.25;0;0.0;8.5
o;11;36.75;Odermatt Andreas;*;13;55.5;9;37.25;-2;0.5;8.5
+;15;45.25;Kälin Roland;**;19;54.0;14;45.5;-1;0.25;9.75

15i;Graber Michael;*;;;;;;;;;55.0
o;;;Rohrer Ueli;*;;;;;;;8.5
+;6;8.5;Bürgler Lukas;*;30;35.0;5;8.75;-1;0.25;10.0
o;7;18.5;Bieri Marcel;**;7;57.0;8;18.25;1;-0.25;8.5
+;12;27.0;Kempf Damian;;17;54.5;11;27.25;-1;0.25;9.75
+;11;36.75;Zimmermann Simon;**;13;55.5;10;37.0;-1;0.25;9.75
o;10;46.5;Nötzli Reto;***;8;56.75;9;46.75;-1;0.25;8.5

15j;Zürcher Ueli;*;;;;;;;;;55.0
+;;;Kenel Franz-Toni;*;;;;;;;10.0
o;2;10.0;Gapany Benjamin;**;6;57.25;5;8.75;3;-1.25;8.5
-;7;18.5;Schürpf Bruno;*;16;54.75;6;18.75;-1;0.25;9.0
+;10;27.5;Steiner Severin (2001);;21;53.25;11;27.25;1;-0.25;10.0
-;8;37.5;Arnold Raphael;**;13;55.5;8;37.5;0;0.0;9.0
o;10;46.5;Mathis Marcel;***;8;56.75;9;46.75;-1;0.25;8.5

15k;Odermatt Christian;**;;;;;;;;;55.0
o;;;Gwerder Michael;**;;;;;;;8.5
+;6;8.5;Kennel Beat;*;15;55.0;4;9.0;-2;0.5;9.75
+;8;18.25;Kessler Joel;*;16;54.75;9;17.75;1;-0.5;9.75
o;8;28.0;Müllestein Mike;***;9;56.5;10;27.5;2;-0.5;8.5
+;12;36.5;Gwerder Beni;;19;54.0;10;37.0;-2;0.5;10.0
o;10;46.5;Zurﬂuh Roman;**;11;56.0;11;46.25;1;-0.25;8.5

15l;Rohrer Marco;**;;;;;;;;;55.0
o;;;Bürli Roger;**;;;;;;;8.5
+;6;8.5;Müller Roger;*;20;53.5;5;8.75;-1;0.25;9.75
+;8;18.25;Wicki David;;28;35.5;7;18.5;-1;0.25;9.75
-;8;28.0;Erb Roger;**;17;54.5;11;27.25;3;-0.75;8.75
+;11;36.75;Achermann Christoph;*;13;55.5;9;37.25;-2;0.5;9.75
o;10;46.5;Müllestein Mike;***;9;56.5;10;46.5;0;0.0;8.5

16a;Lussi Marco;**;;;;;;;;;54.75
-;;;Linggi Bruno;**;;;;;;;9.0
+;4;9.0;Murer Andy;**;11;56.0;5;8.75;1;-0.25;9.75
+;6;18.75;Schürpf Guido;;16;54.75;6;18.75;0;0.0;9.75
-;6;28.5;Gerber Peter;*;14;55.25;7;28.25;1;-0.25;8.75
-;9;37.25;Zurﬂuh Roman;**;11;56.0;8;37.5;-1;0.25;8.75
o;12;46.0;Muff André;*;12;55.75;12;46.0;0;0.0;8.75

16b;Schuler Alex;***;;;;;;;;;54.75
-;;;Fankhauser Erich;***;;;;;;;8.75
-;5;8.75;Odermatt Andreas;*;13;55.5;2;10.0;-3;1.25;8.75
+;10;17.5;Achermann Christoph;*;13;55.5;7;18.5;-3;1.0;9.75
-;11;27.25;Kempf Elias;**;26;37.0;8;28.0;-3;0.75;9.0
+;13;36.25;Hess Dominik;*;25;45.75;9;37.25;-4;1.0;10.0
o;11;46.25;von Weissenﬂuh Kilian;**;8;56.75;8;47.0;-3;0.75;8.5

16c;Lemmenmeier Lukas;*;;;;;;;;;54.75
o;;;Streiff Dominik;*;;;;;;;8.75
-;5;8.75;Schuler Daniel;*;18;54.25;6;8.5;1;-0.25;8.75
-;10;17.5;Bieri Christian;**;31;34.75;10;17.5;0;0.0;8.75
+;14;26.25;Herger Andreas;;17;54.5;11;27.25;-3;1.0;10.0
+;13;36.25;Langensand Stefan;*;20;53.5;14;36.0;1;-0.25;10.0
o;11;46.25;Rohrer Ivan;**;9;56.5;10;46.5;-1;0.25;8.5

16d;Schürpf Bruno;*;;;;;;;;;54.75
+;;;Troxler Jonas;*;;;;;;;9.75
-;3;9.75;Zürcher Ueli;*;15;55.0;2;10.0;-1;0.25;9.0
-;6;18.75;Hurschler Thomas;**;12;55.75;6;18.75;0;0.0;8.75
o;10;27.5;Betschart Remo;**;18;54.25;12;27.0;2;-0.5;8.5
+;14;36.0;Lustenberger Marc (2003);;18;54.25;12;36.5;-2;0.5;9.75
-;13;45.75;Heiniger Marco;*;16;54.75;13;45.75;0;0.0;9.0

16e;Lagler Christian;;;;;;;;;;54.75
+;;;Kempf Damian;;;;;;;;9.75
-;3;9.75;Gander Michael;;15;55.0;2;10.0;-1;0.25;9.0
+;6;18.75;Bättig Martin;*;18;54.25;7;18.5;1;-0.25;10.0
o;5;28.75;Binggeli Stefan;**;16;54.75;10;27.5;5;-1.25;8.5
-;9;37.25;Rohrer Ivan;**;9;56.5;8;37.5;-1;0.25;9.0
o;11;46.25;Reichmuth Marco;**;10;56.25;10;46.5;-1;0.25;8.5

16f;Kaufmann Reto (2002);*;;;;;;;;;54.75
o;;;Hess Michael;*;;;;;;;8.5
o;6;8.5;Eﬃnger Markus;*;28;35.5;6;8.5;0;0.0;8.5
+;12;17.0;Hegner Ueli;*;23;52.75;12;17.0;0;0.0;10.0
-;12;27.0;Reichmuth Armin;*;16;54.75;11;27.25;-1;0.25;9.0
o;14;36.0;Schürpf Guido;;16;54.75;13;36.25;-1;0.25;8.75
+;17;44.75;Waser Christoph (2002);;19;54.0;14;45.5;-3;0.75;10.0

16g;Wyss Sven (2001);*;;;;;;;;;54.75
+;;;Hürlimann Mathias;*;;;;;;;10.0
-;2;10.0;Langensand Stefan;*;20;53.5;3;9.75;1;-0.25;8.75
o;6;18.75;Schuler Philipp;**;16;54.75;5;19.0;-1;0.25;8.5
o;11;27.25;Bucher Christian;*;13;55.5;11;27.25;0;0.0;8.75
-;14;36.0;Hurschler Adrian;;19;54.0;12;36.5;-2;0.5;8.75
+;17;44.75;Zumstein Patrick;;19;54.0;14;45.5;-3;0.75;10.0

16h;Kessler Joel;*;;;;;;;;;54.75
-;;;Burch Jonas;*;;;;;;;9.0
-;4;9.0;Elsener Adrian;**;37;17.5;5;8.75;1;-0.25;8.75
o;9;17.75;Odermatt Christian;**;15;55.0;8;18.25;-1;0.5;8.5
+;14;26.25;Würsch Lars;*;28;35.5;12;27.0;-2;0.75;10.0
o;13;36.25;Mehr Lars (2002);;14;55.25;12;36.5;-1;0.25;8.5
+;17;44.75;Wyrsch Silvio;*;18;54.25;13;45.75;-4;1.0;10.0

16i;Binggeli Stefan;**;;;;;;;;;54.75
-;;;Schuler Philipp;**;;;;;;;9.0
+;4;9.0;Durrer Nando;*;30;35.0;5;8.75;1;-0.25;9.75
-;6;18.75;Langensand Stefan;*;20;53.5;7;18.5;1;-0.25;8.75
+;10;27.5;Lagler Christian;;16;54.75;5;28.75;-5;1.25;9.75
-;9;37.25;Huber Alex;*;14;55.25;9;37.25;0;0.0;9.0
o;11;46.25;Steinauer Adrian;**;10;56.25;10;46.5;-1;0.25;8.5

16j;Betschart Rainer;**;;;;;;;;;54.75
-;;;Gwerder Christian;**;;;;;;;8.75
-;5;8.75;Zurﬂuh Roman;**;11;56.0;5;8.75;0;0.0;8.75
+;10;17.5;Suter Samuel;;23;52.75;8;18.25;-2;0.75;9.75
+;11;27.25;Wyrsch Silvio;*;18;54.25;11;27.25;0;0.0;10.0
o;9;37.25;von Weissenﬂuh Kilian;**;8;56.75;9;37.25;0;0.0;8.5
-;13;45.75;Kenel Franz-Toni;*;16;54.75;13;45.75;0;0.0;9.0

16k;Waser Reto;*;;;;;;;;;54.75
-;;;Käslin Benno;*;;;;;;;8.75
o;5;8.75;Erb Roger;**;17;54.5;6;8.5;1;-0.25;8.5
-;11;17.25;Schmidiger Marco;*;21;53.25;11;17.25;0;0.0;9.0
+;14;26.25;Bieri Elias;;22;53.0;11;27.25;-3;1.0;10.0
-;13;36.25;Käslin Ruedi;*;20;53.5;14;36.0;1;-0.25;8.75
+;16;45.0;Durrer Jonas (2003);*;19;54.0;14;45.5;-2;0.5;9.75

16l;Reichmuth Armin;*;;;;;;;;;54.75
-;;;Hess Dominik;*;;;;;;;9.0
+;4;9.0;Wicki David;;28;35.5;2;10.0;-2;1.0;9.5
-;7;18.5;Fellmann Roman;**;18;54.25;7;18.5;0;0.0;8.75
-;11;27.25;Kaufmann Reto (2002);*;16;54.75;12;27.0;1;-0.25;9.0
+;13;36.25;Arnold Fabian;*;18;54.25;14;36.0;1;-0.25;9.75
-;12;46.0;Suppiger Thomas;*;16;54.75;12;46.0;0;0.0;8.75

16m;Suppiger Thomas;*;;;;;;;;;54.75
-;;;Durrer Jonas (2003);*;;;;;;;9.0
o;4;9.0;Zimmermann Martin;**;15;55.0;5;8.75;1;-0.25;8.5
o;10;17.5;Nietlispach Pascal;**;19;54.0;8;18.25;-2;0.75;8.5
+;15;26.0;Di Pietro Loris;;33;34.25;16;25.75;1;-0.25;10.0
+;14;36.0;Suter Samuel;;23;52.75;15;35.75;1;-0.25;10.0
-;12;46.0;Reichmuth Armin;*;16;54.75;12;46.0;0;0.0;8.75

16n;Schuler Philipp;**;;;;;;;;;54.75
-;;;Binggeli Stefan;**;;;;;;;9.0
+;4;9.0;Bättig Martin;*;18;54.25;2;10.0;-2;1.0;10.0
+;5;19.0;Wyss Sven (2001);*;16;54.75;6;18.75;1;-0.25;10.0
o;4;29.0;Fankhauser Erich;***;8;56.75;6;28.5;2;-0.5;8.5
-;8;37.5;Hurschler Thomas;**;12;55.75;9;37.25;1;-0.25;8.75
o;11;46.25;Doppmann Urs;**;10;56.25;11;46.25;0;0.0;8.5

16o;Heiniger Marco;*;;;;;;;;;54.75
-;;;Bernhard Lukas;*;;;;;;;8.75
o;5;8.75;Gasser Stefan;**;14;55.25;6;8.5;1;-0.25;8.5
+;11;17.25;Bienz Romeo;*;27;35.75;11;17.25;0;0.0;9.75
-;12;27.0;Blaser Theo;*;21;53.25;11;27.25;-1;0.25;8.75
+;15;35.75;Steiner Severin (2001);;21;53.25;14;36.0;-1;0.25;10.0
-;13;45.75;Schürpf Bruno;*;16;54.75;13;45.75;0;0.0;9.0

16p;Kenel Franz-Toni;*;;;;;;;;;54.75
o;;;Zürcher Ueli;*;;;;;;;8.5
+;6;8.5;Thalmann Thomas;*;21;53.25;6;8.5;0;0.0;9.75
o;8;18.25;von Weissenﬂuh Kilian;**;8;56.75;10;17.5;2;-0.75;8.5
+;13;26.75;Gasser Peter;*;28;35.5;12;27.0;-1;0.25;10.0
-;11;36.75;Fankhauser Reto;**;10;56.25;9;37.25;-2;0.5;9.0
-;13;45.75;Betschart Rainer;**;16;54.75;13;45.75;0;0.0;9.0

16q;Schürpf Guido;;;;;;;;;;54.75
-;;;Jund Matthias;;;;;;;;8.75
+;5;8.75;Briker Hannes;;32;34.5;5;8.75;0;0.0;10.0
o;6;18.75;Lussi Marco;**;16;54.75;6;18.75;0;0.0;8.75
-;10;27.5;Vonlaufen Lukas;*;21;53.25;12;27.0;2;-0.5;8.75
+;13;36.25;Kaufmann Reto (2002);*;16;54.75;14;36.0;1;-0.25;9.75
o;12;46.0;Hurschler Thomas;**;12;55.75;12;46.0;0;0.0;8.75

17a;Reichmuth Lukas;*;;;;;;;;;54.5
-;;;Bürgi Reto;*;;;;;;;8.75
-;5;8.75;Muff Armin;**;21;53.25;5;8.75;0;0.0;8.75
+;10;17.5;Ming Hannes;;23;52.75;7;18.5;-3;1.0;10.0
o;10;27.5;Fellmann Roman;**;18;54.25;11;27.25;1;-0.25;8.5
o;14;36.0;Leuppi Samir;**;13;55.5;15;35.75;1;-0.25;8.5
+;18;44.5;Bieri Elias;;22;53.0;19;44.25;1;-0.25;10.0

17b;Bernet Christoph;*;;;;;;;;;54.5
-;;;Bienz Romeo;*;;;;;;;8.75
o;5;8.75;Rolli Martin;**;14;55.25;6;8.5;1;-0.25;8.5
+;11;17.25;Matter Marco;*;33;34.25;11;17.25;0;0.0;10.0
-;11;27.25;Linggi Bruno;**;17;54.5;11;27.25;0;0.0;8.75
o;14;36.0;Gander Michael;;15;55.0;12;36.5;-2;0.5;8.5
+;18;44.5;Suter Samuel;;23;52.75;19;44.25;1;-0.25;10.0

17c;Herger Andreas;;;;;;;;;;54.5
-;;;Ulrich Pascal;;;;;;;;8.75
+;5;8.75;Gwerder Beni;;19;54.0;5;8.75;0;0.0;10.0
o;6;18.75;Gerber Peter;*;14;55.25;8;18.25;2;-0.5;8.5
o;11;27.25;Lemmenmeier Lukas;*;16;54.75;14;26.25;3;-1.0;8.5
-;15;35.75;Thalmann Thomas;*;21;53.25;15;35.75;0;0.0;8.75
+;18;44.5;Hegner Ueli;*;23;52.75;19;44.25;1;-0.25;10.0

17d;Suter Beat;*;;;;;;;;;54.5
-;;;Arnold Andreas;*;;;;;;;8.75
o;5;8.75;Brun Jonas;**;11;56.0;5;8.75;0;0.0;8.5
-;11;17.25;Bürgi Reto;*;21;53.25;11;17.25;0;0.0;8.75
+;15;26.0;Ulrich Damian;;28;35.5;12;27.0;-3;1.0;10.0
+;14;36.0;Schärli Reto;*;18;54.25;14;36.0;0;0.0;10.0
o;12;46.0;Arnold Stefan;**;11;56.0;12;46.0;0;0.0;8.5

17e;Betschart Daniel;;;;;;;;;;54.5
-;;;Wicki Patrick;;;;;;;;8.75
+;5;8.75;Di Pietro Loris;;33;34.25;5;8.75;0;0.0;9.75
o;7;18.5;Gasser Stefan;**;14;55.25;7;18.5;0;0.0;8.5
-;12;27.0;Langensand Stefan;*;20;53.5;11;27.25;-1;0.25;8.75
-;15;35.75;Scherer Niklaus;*;21;53.25;14;36.0;-1;0.25;8.75
+;18;44.5;Thalmann Thomas;*;21;53.25;17;44.75;-1;0.25;10.0

17f;Erb Roger;**;;;;;;;;;54.5
o;;;von Ah Benji;***;;;;;;;8.5
+;6;8.5;Waser Reto;*;16;54.75;5;8.75;-1;0.25;9.75
-;8;18.25;Doppmann Urs;**;10;56.25;6;18.75;-2;0.5;9.0
-;11;27.25;Rohrer Marco;**;15;55.0;8;28.0;-3;0.75;8.75
o;14;36.0;Reichmuth Roland;*;17;54.5;14;36.0;0;0.0;8.5
+;18;44.5;Scherer Niklaus;*;21;53.25;17;44.75;-1;0.25;10.0

17g;Reichmuth Roland;*;;;;;;;;;54.5
o;;;Felder Martin;*;;;;;;;8.75
o;5;8.75;Widmer Adrian;*;13;55.5;6;8.5;1;-0.25;8.5
-;11;17.25;Scherer Niklaus;*;21;53.25;11;17.25;0;0.0;8.75
+;15;26.0;Zumstein Patrick;;19;54.0;11;27.25;-4;1.25;10.0
+;14;36.0;Erb Roger;**;17;54.5;14;36.0;0;0.0;10.0
o;12;46.0;Murer Andy;**;11;56.0;12;46.0;0;0.0;8.5

17h;Linggi Bruno;**;;;;;;;;;54.5
-;;;Lussi Marco;**;;;;;;;9.0
+;4;9.0;Fässler Dominic;**;33;34.25;5;8.75;1;-0.25;9.75
o;6;18.75;Gapany Benjamin;**;6;57.25;6;18.75;0;0.0;8.5
-;11;27.25;Bernet Christoph;*;17;54.5;11;27.25;0;0.0;8.75
+;14;36.0;Wandeler Roman (2002);;18;54.25;11;36.75;-3;0.75;9.75
-;13;45.75;Fellmann Roman;**;18;54.25;14;45.5;1;-0.25;8.75

17i;Kempf Damian;;;;;;;;;;54.5
o;;;Lagler Christian;;;;;;;;8.5
+;6;8.5;Ulrich Damian;;28;35.5;6;8.5;0;0.0;10.0
-;7;18.5;Wyrsch Silvio;*;18;54.25;7;18.5;0;0.0;8.75
o;11;27.25;Graber Michael;*;15;55.0;12;27.0;1;-0.25;8.5
-;15;35.75;Schuler Daniel;*;18;54.25;15;35.75;0;0.0;8.75
+;18;44.5;Villiger Cyrill;*;22;53.0;18;44.5;0;0.0;10.0

17j;Wyrsch Marco;**;;;;;;;;;54.5
-;;;Zurﬂuh Roman;**;;;;;;;8.75
-;5;8.75;Lang Sven;*;7;57.0;5;8.75;0;0.0;8.75
+;10;17.5;Käslin Ruedi;*;20;53.5;10;17.5;0;0.0;9.75
-;11;27.25;Muff André;*;12;55.75;12;27.0;1;-0.25;9.0
o;13;36.25;Heinzer Stefan;**;1;109.25;1;72.25;-12;36.0;8.5
+;17;44.75;Eﬃnger Peter;;20;53.5;16;45.0;-1;0.25;9.75

18a;Schuler Daniel;*;;;;;;;;;54.25
o;;;Bättig Martin;*;;;;;;;8.5
-;6;8.5;Lemmenmeier Lukas;*;16;54.75;5;8.75;-1;0.25;8.75
+;11;17.25;Gisler Jonas (2001);*;29;35.25;12;17.0;1;-0.25;10.0
o;11;27.25;Arnold Stefan;**;11;56.0;11;27.25;0;0.0;8.5
-;15;35.75;Kempf Damian;;17;54.5;15;35.75;0;0.0;8.75
+;18;44.5;Ming Hannes;;23;52.75;19;44.25;1;-0.25;9.75

18b;Lustenberger Marc (2003);;;;;;;;;;54.25
+;;;Brunner Timon;;;;;;;;9.75
-;3;9.75;Mehr Lars (2002);;14;55.25;2;10.0;-1;0.25;9.0
