4068-2019-07-07_113_Innerschweizer_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;**;;;;;;;;;109.25
+;9;37.25;Lustenberger Florian (2002);;19;54.0;10;37.0;1;-0.25;10.0
+;7;47.25;Odermatt Andreas;*;13;55.5;8;47.0;1;-0.25;9.75

7b;Bernhard Lukas;*;;;;;;;;;57.0
-;;;Heiniger Marco;*;;;;;;;8.75
+;5;8.75;Betschart Remo;**;18;54.25;5;8.75;0;0.0;10.0
+;6;18.75;Stöckli Damian;*;24;46.0;7;18.5;1;-0.25;9.75
+;6;28.5;Nietlispach Pascal;**;19;54.0;7;28.25;1;-0.25;9.75
-;5;38.25;Müllestein Mike;***;9;56.5;8;37.5;3;-0.75;9.0
+;7;47.25;Widmer Adrian;*;13;55.5;8;47.0;1;-0.25;9.75

7c;Bieri Marcel;**;;;;;;;;;57.0
+;;;Rolli Martin;**;;;;;;;9.75
o;3;9.75;Gloggner Philipp;***;7;57.0;2;10.0;-1;0.25;8.5
+;8;18.25;Graber Michael;*;15;55.0;7;18.5;-1;0.25;10.0
+;7;28.25;Briker Michael;*;9;56.5;6;28.5;-1;0.25;10.0
o;5;38.25;Orlik Armon;***;4;58.0;5;38.25;0;0.0;8.75
+;8;47.0;Scheuber Lutz;**;11;56.0;7;47.25;-1;0.25;10.0

7d;Gloggner Philipp;***;;;;;;;;;57.0
+;;;Bieri Marcel;**;;;;;;;10.0
+;2;10.0;Rohrer Ueli;*;12;55.75;2;10.0;0;0.0;9.75
o;3;19.75;Orlik Armon;***;4;58.0;6;18.75;3;-1.0;8.5
-;7;28.25;Reichmuth Marco;**;10;56.25;5;28.75;-2;0.5;9.0
+;9;37.25;Bucher Christian;*;13;55.5;10;37.0;1;-0.25;9.75
+;8;47.0;Zimmermann Martin;**;15;55.0;10;46.5;2;-0.5;10.0

7e;von Ah Benji;***;;;;;;;;;57.0
+;;;Erb Roger;**;;;;;;;10.0
+;2;10.0;Bürli Roger;**;13;55.5;3;9.75;1;-0.25;10.0
+;2;20.0;Reichmuth Pirmin;***;6;57.25;6;18.75;4;-1.25;9.75
+;2;29.75;Fankhauser Reto;**;10;56.25;5;28.75;3;-1.0;9.75
o;2;39.5;Alpiger Nick;***;2;58.5;4;38.5;2;-1.0;8.75
-;3;48.25;Schurtenberger Sven;***;5;57.5;2;48.5;-1;0.25;8.75

8a;von Weissenﬂuh Kilian;**;;;;;;;;;56.75
-;;;Wicki Joel;**;;;;;;;8.75
-;5;8.75;Arnold Raphael;**;13;55.5;2;10.0;-3;1.25;8.75
+;10;17.5;Kenel Franz-Toni;*;16;54.75;8;18.25;-2;0.75;9.75
+;11;27.25;Gwerder Dario;**;14;55.25;8;28.0;-3;0.75;10.0
+;9;37.25;Betschart Rainer;**;16;54.75;9;37.25;0;0.0;9.75
+;8;47.0;Schuler Alex;***;16;54.75;11;46.25;3;-0.75;9.75

8b;Nötzli Reto;***;;;;;;;;;56.75
+;;;Scheuber Lutz;**;;;;;;;9.75
+;3;9.75;Ettlin Stefan;**;9;56.5;3;9.75;0;0.0;10.0
o;3;19.75;Alpiger Nick;***;2;58.5;3;19.75;0;0.0;8.5
+;7;28.25;Gasser Stefan;**;14;55.25;6;28.5;-1;0.25;10.0
o;5;38.25;Wicki Joel;**;3;58.25;4;38.5;-1;0.25;8.5
+;9;46.75;Graber Michael;*;15;55.0;10;46.5;1;-0.25;10.0

8c;Mathis Marcel;***;;;;;;;;;56.75
-;;;Gapany Benjamin;**;;;;;;;8.75
+;5;8.75;Villiger Cyrill;*;22;53.0;2;10.0;-3;1.25;10.0
-;6;18.75;Gwerder Michael;**;11;56.0;4;19.5;-2;0.75;9.0
-;9;27.75;Waser Dominik;**;12;55.75;6;28.5;-3;0.75;9.0
+;11;36.75;Betschart Patrick;*;13;55.5;9;37.25;-2;0.5;10.0
+;9;46.75;Zürcher Ueli;*;15;55.0;10;46.5;1;-0.25;10.0

8d;Ambühl Joel;**;;;;;;;;;56.75
+;;;Herger Matthias;**;;;;;;;10.0
o;2;10.0;Orlik Armon;***;4;58.0;5;8.75;3;-1.25;8.5
+;7;18.5;Arnold Andreas;*;18;54.25;7;18.5;0;0.0;10.0
+;6;28.5;Bucher Roland;*;15;55.0;8;28.0;2;-0.5;10.0
o;4;38.5;Schuler Christian;***;6;57.25;3;38.75;-1;0.25;8.5
+;8;47.0;Rohrer Ueli;*;12;55.75;7;47.25;-1;0.25;9.75

8e;Fankhauser Erich;***;;;;;;;;;56.75
-;;;Schuler Alex;***;;;;;;;8.75
+;5;8.75;Briker Michael;*;9;56.5;2;10.0;-3;1.25;10.0
+;6;18.75;Arnold Stefan;**;11;56.0;6;18.75;0;0.0;9.75
+;6;28.5;Schuler Philipp;**;16;54.75;4;29.0;-2;0.5;9.75
+;5;38.25;Rohrer Ueli;*;12;55.75;4;38.5;-1;0.25;9.75
o;4;48.0;Orlik Armon;***;4;58.0;4;48.0;0;0.0;8.75

8f;Fankhauser Marco;**;;;;;;;;;56.75
+;;;Bieri Christian;**;;;;;;;9.75
o;3;9.75;Schuler Christian;***;6;57.25;2;10.0;-1;0.25;8.5
+;8;18.25;Vonlaufen Lukas;*;21;53.25;7;18.5;-1;0.25;10.0
+;7;28.25;Bucher Thomas;*;15;55.0;7;28.25;0;0.0;9.75
-;6;38.0;Gwerder Michael;**;11;56.0;4;38.5;-2;0.5;9.0
+;8;47.0;Ulrich Marco;*;15;55.0;10;46.5;2;-0.5;9.75

9a;Briker Michael;*;;;;;;;;;56.5
+;;;Schmidiger Marco;*;;;;;;;10.0
o;2;10.0;Fankhauser Erich;***;8;56.75;5;8.75;3;-1.25;8.5
+;7;18.5;Betschart Patrick;*;13;55.5;3;19.75;-4;1.25;10.0
