3617-2017-06-25_Fete_Cantonale_Vaudoise2-ST

1a;Moser Steven;**;;;;;;;;;58.75
+;4;8.75;Pürro David (2001);;21;52.75;1;10.0;-3;1.25;10.0
o;5;18.75;Roch Vincent;**;7;56.75;7;18.25;2;-0.5;8.5
+;8;27.25;Gottofrey Luc;*;13;55.25;9;27.0;1;-0.25;9.75
+;8;37.0;Sturny Nicolas;;12;55.5;8;37.0;0;0.0;9.75
+;6;46.75;Bersier Jean-Jacques;*;17;54.25;10;45.75;4;-1.0;9.75

8b;Matthey Mickaël;**;;;;;;;;;56.5
-;;;Borcard Johann;**;;;;;;;9.0
+;3;9.0;Derron Julien;;9;56.25;2;9.75;-1;0.75;10.0
o;4;19.0;Berset Julien;*;11;55.75;5;18.75;1;-0.25;8.5
+;7;27.5;Buchs Julien (1999);;13;55.25;4;28.25;-3;0.75;10.0
-;6;37.5;Schmidiger Marco;*;10;56.0;8;37.0;2;-0.5;9.0
+;7;46.5;Ducry Antoine;*;12;55.5;5;47.0;-2;0.5;10.0

9a;Derron Julien;;;;;;;;;;56.25
+;;;Z'Rotz Roman;;;;;;;;9.75
o;2;9.75;Matthey Mickaël;**;8;56.5;3;9.0;1;-0.75;8.5
+;7;18.25;Taillard Virgile;;14;55.0;7;18.25;0;0.0;9.75
o;5;28.0;Doppmann Ueli;;17;54.25;8;27.25;3;-0.75;8.5
+;10;36.5;Holweger Marek;;18;54.0;8;37.0;-2;0.5;9.75
+;8;46.25;Dorsaz Alexandre;*;18;54.0;11;45.5;3;-0.75;10.0

9b;Wieland Janis;;;;;;;;;;56.25
+;;;Goy Sébastien;;;;;;;;10.0
o;1;10.0;Emonet Frédéric;*;14;55.0;5;8.5;4;-1.5;8.5
+;6;18.5;Dormond Noa;;21;52.75;6;18.5;0;0.0;9.75
o;4;28.25;Brodard Simon;**;10;56.0;7;27.5;3;-0.75;8.5
+;9;36.75;Loup Grégoire (2000);;13;55.25;9;36.75;0;0.0;9.75
+;7;46.5;Cropt Harald;**;16;54.5;9;46.0;2;-0.5;9.75

10a;Brodard Simon;**;;;;;;;;;56.0
-;;;Cropt Harald;**;;;;;;;8.75
+;4;8.75;Loup Grégoire (2000);;13;55.25;1;10.0;-3;1.25;10.0
-;5;18.75;Piemontesi Pascal;**;2;58.25;2;19.75;-3;1.0;8.75
