3617-2017-06-25_Fete_Cantonale_Vaudoise2-ST

1a;Moser Steven;**;;;;;;;;;58.75
+;10;26.75;Kramer Dorian (1999);;17;54.25;5;28.0;-5;1.25;10.0
o;9;36.75;Brodard Simon;**;10;56.0;7;37.25;-2;0.5;8.5
+;12;45.25;Parvex Yannick;;13;55.25;6;46.75;-6;1.5;9.75

14g;Pellet Adrian;;;;;;;;;;55.0
o;;;Mollet Adrian;;;;;;;;8.5
+;5;8.5;Vionnet Julien (2000);;21;52.75;5;8.5;0;0.0;9.75
+;7;18.25;Turin Antoine (2001);;20;53.5;10;17.0;3;-1.25;9.75
o;5;28.0;Barras André;*;13;55.25;9;27.0;4;-1.0;8.5
o;10;36.5;Remy André (2001);;15;54.75;10;36.5;0;0.0;8.5
+;13;45.0;Hochuli Samuel;;18;54.0;11;45.5;-2;0.5;10.0

15a;Loup Alexandre;*;;;;;;;;;54.75
o;;;Mosimann Vincent;*;;;;;;;8.5
+;5;8.5;Parvex Yannick;;13;55.25;1;10.0;-4;1.5;9.75
o;7;18.25;Borcard Johann;**;3;58.0;5;18.75;-2;0.5;8.5
-;10;26.75;Minder Florian;;7;56.75;6;27.75;-4;1.0;9.0
-;13;35.75;Dind Clément;;12;55.5;8;37.0;-5;1.25;9.0
+;14;44.75;Blanchette Nicolas;;17;54.25;10;45.75;-4;1.0;10.0

15b;Remy André (2001);;;;;;;;;;54.75
+;;;Turrian Mathias;;;;;;;;9.75
o;2;9.75;Lützelschwab Luc (1999);;12;55.5;1;10.0;-1;0.25;8.5
o;7;18.25;Berthet Luca (2001);;13;55.25;7;18.25;0;0.0;8.5
+;10;26.75;Ganière William;;13;55.25;9;27.0;-1;0.25;9.75
+;10;36.5;Pellet Adrian;;14;55.0;10;36.5;0;0.0;9.75
o;8;46.25;Rapin Florent;;10;56.0;9;46.0;1;-0.25;8.5

15c;Cotting Alexandre;;;;;;;;;;54.75
+;;;Holweger Marek;;;;;;;;9.75
+;2;9.75;Kyburz Silas;;13;55.25;2;9.75;0;0.0;9.75
o;3;19.5;Brodard Augustin;**;13;55.25;7;18.25;4;-1.25;8.5
+;5;28.0;Bersier Jean-Jacques;*;17;54.25;8;27.25;3;-0.75;9.75
o;5;37.75;Berset Julien;*;11;55.75;6;37.5;1;-0.25;8.5
o;8;46.25;Barras André;*;13;55.25;11;45.5;3;-0.75;8.5

16a;Cropt Harald;**;;;;;;;;;54.5
-;;;Brodard Simon;**;;;;;;;8.5
-;5;8.5;Wieland Micha;;16;54.5;2;9.75;-3;1.25;8.75
+;9;17.25;Ganière William;;13;55.25;6;18.5;-3;1.25;10.0
-;8;27.25;Egli David;*;11;55.75;8;27.25;0;0.0;8.75
+;12;36.0;Golliard Steve;;13;55.25;8;37.0;-4;1.0;10.0
o;9;46.0;Wieland Janis;;9;56.25;7;46.5;-2;0.5;8.5

16b;Wieland Micha;;;;;;;;;;54.5
+;;;Cotting Florian;;;;;;;;9.75
-;2;9.75;Cropt Harald;**;16;54.5;5;8.5;3;-1.25;8.75
-;6;18.5;Doppmann Ueli;;17;54.25;7;18.25;1;-0.25;9.0
+;7;27.5;Quartenoud Samuel;;19;53.75;4;28.25;-3;0.75;10.0
o;6;37.5;Duplan Steve;**;6;57.0;7;37.25;1;-0.25;8.5
o;9;46.0;Dubey Gaël;;13;55.25;11;45.5;2;-0.5;8.5

16c;Zosso Fabian;;;;;;;;;;54.5
-;;;Dorsaz Théo;;;;;;;;8.75
o;4;8.75;Quartenoud Samuel;;19;53.75;2;9.75;-2;1.0;8.5
-;9;17.25;Blanchette Nicolas;;17;54.25;9;17.25;0;0.0;8.75
+;11;26.0;Lopes Semedo Mauro (2001);;24;51.0;13;25.5;2;-0.5;10.0
+;12;36.0;Dormond Noa;;21;52.75;13;35.75;1;-0.25;10.0
o;9;46.0;Golliard Steve;;13;55.25;11;45.5;2;-0.5;8.5

17a;Monney Branighan;;;;;;;;;;54.25
o;;;Délitroz Lucien (1999);;;;;;;;8.5
+;5;8.5;Lambert Ousama (1999);;23;52.25;5;8.5;0;0.0;10.0
+;6;18.5;Squaratti Yannick;;19;53.75;7;18.25;1;-0.25;9.75
o;4;28.25;Mosimann Vincent;*;14;55.0;5;28.0;1;-0.25;8.5
-;9;36.75;Taillard Virgile;;14;55.0;10;36.5;1;-0.25;8.75
o;11;45.5;Kyburz Silas;;13;55.25;12;45.25;1;-0.25;8.75

17b;Liardon Kevin;;;;;;;;;;54.25
o;;;Crausaz Simon;;;;;;;;8.5
-;5;8.5;Cotting Florian;;12;55.5;5;8.5;0;0.0;8.75
+;9;17.25;Cottier Marco (2000);;20;53.5;7;18.25;-2;1.0;10.0
+;8;27.25;Détienne Laurent;;20;53.5;10;26.75;2;-0.5;10.0
o;7;37.25;Egli David;*;11;55.75;12;36.0;5;-1.25;8.5
o;10;45.75;Balimann Fabian;;12;55.5;11;45.5;1;-0.25;8.5

17c;Blanchette Nicolas;;;;;;;;;;54.25
o;;;Kyburz Silas;;;;;;;;8.5
-;5;8.5;Hochuli Samuel;;18;54.0;5;8.5;0;0.0;8.75
-;9;17.25;Zosso Fabian;;16;54.5;9;17.25;0;0.0;8.75
+;11;26.0;Lopes Semedo Mauro (2001);;24;51.0;13;25.5;2;-0.5;10.0
+;12;36.0;Aeschbacher Ivo (2001);;22;52.5;16;34.25;4;-1.75;9.75
o;10;45.75;Loup Alexandre;*;15;54.75;14;44.75;4;-1.0;8.5

17d;Bersier Jean-Jacques;*;;;;;;;;;54.25
+;;;Dorsaz Alexandre;*;;;;;;;10.0
o;1;10.0;Haenni Stéphane;**;5;57.25;1;10.0;0;0.0;8.5
-;6;18.5;Mollet Adrian;;14;55.0;5;18.75;-1;0.25;8.75
o;8;27.25;Cotting Alexandre;;15;54.75;5;28.0;-3;0.75;8.5
+;13;35.75;Balimann Fabian;;12;55.5;8;37.0;-5;1.25;10.0
o;10;45.75;Crettaz Olivier;;8;56.5;6;46.75;-4;1.0;8.5

17e;Z'Rotz Roman;;;;;;;;;;54.25
o;;;Derron Julien;;;;;;;;8.5
-;5;8.5;Rappo Yann;;18;54.0;5;8.5;0;0.0;8.75
+;9;17.25;Goy Sébastien;;20;53.5;10;17.0;1;-0.25;10.0
o;8;27.25;Cotting Florian;;12;55.5;9;27.0;1;-0.25;8.5
o;13;35.75;Crausaz Simon;;14;55.0;10;36.5;-3;0.75;8.5
+;15;44.25;Vionnet Julien (2000);;21;52.75;15;44.25;0;0.0;10.0

17f;Dorsaz Théo;;;;;;;;;;54.25
-;;;Zosso Fabian;;;;;;;;8.75
+;4;8.75;Vaucher Rémy (1999);;12;55.5;1;10.0;-3;1.25;9.75
o;6;18.5;Von Niederhäusern Martin;;12;55.5;6;18.5;0;0.0;8.5
o;9;27.0;Golliard Steve;;13;55.25;8;27.25;-1;0.25;8.5
+;14;35.5;Chofflon Anthony;;18;54.0;14;35.5;0;0.0;9.75
-;12;45.25;Kramer Dorian (1999);;17;54.25;12;45.25;0;0.0;9.0

17g;Torche Bastian;;;;;;;;;;54.25
o;;;Loup Grégoire (2000);;;;;;;;8.5
+;5;8.5;Lopes Semedo Mauro (2001);;24;51.0;5;8.5;0;0.0;10.0
o;6;18.5;Pürro Tobias;;13;55.25;6;18.5;0;0.0;8.5
o;9;27.0;Berthet Luca (2001);;13;55.25;4;28.25;-5;1.25;8.5
+;14;35.5;Gauch Thierry;;21;52.75;14;35.5;0;0.0;10.0
o;11;45.5;Ledermann Michael (2000);;11;55.75;10;45.75;-1;0.25;8.75

17h;Kramer Dorian (1999);;;;;;;;;;54.25
+;;;Dind Clément;;;;;;;;9.75
o;2;9.75;Borcard Johann;**;3;58.0;3;9.0;1;-0.75;8.5
+;7;18.25;Crausaz Simon;;14;55.0;7;18.25;0;0.0;9.75
o;5;28.0;Emonet Frédéric;*;14;55.0;10;26.75;5;-1.25;8.5
-;10;36.5;Ledermann Michael (2000);;11;55.75;8;37.0;-2;0.5;8.75
-;12;45.25;Dorsaz Théo;;17;54.25;12;45.25;0;0.0;9.0

17i;Doppmann Ueli;;;;;;;;;;54.25
+;;;Chofflon Anthony;;;;;;;;9.75
o;2;9.75;Dousse Michel;**;7;56.75;5;8.5;3;-1.25;8.5
-;7;18.25;Wieland Micha;;16;54.5;6;18.5;-1;0.25;9.0
+;8;27.25;Derron Julien;;9;56.25;5;28.0;-3;0.75;9.75
-;8;37.0;Kyburz Silas;;13;55.25;10;36.5;2;-0.5;8.75
o;10;45.75;Gottofrey Luc;*;13;55.25;11;45.5;1;-0.25;8.5

17j;Balimann Sandro (2001);;;;;;;;;;54.25
+;;;Hochuli Samuel;;;;;;;;9.75
o;2;9.75;Roch Vincent;**;7;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Détienne Laurent;;20;53.5;7;18.25;0;0.0;9.75
-;5;28.0;Mollet Adrian;;14;55.0;7;27.5;2;-0.5;9.0
-;8;37.0;Dubey Gaël;;13;55.25;9;36.75;1;-0.25;8.75
o;10;45.75;Dind Clément;;12;55.5;10;45.75;0;0.0;8.5

18a;Holweger Marek;;;;;;;;;;54.0
o;;;Cotting Alexandre;;;;;;;;8.5
o;5;8.5;Dind Clément;;12;55.5;5;8.5;0;0.0;8.5
+;10;17.0;Lopes Semedo Mauro (2001);;24;51.0;10;17.0;0;0.0;10.0
+;9;27.0;Gauch Thierry;;21;52.75;9;27.0;0;0.0;10.0
o;8;37.0;Derron Julien;;9;56.25;10;36.5;2;-0.5;8.5
o;11;45.5;Pürro Tobias;;13;55.25;11;45.5;0;0.0;8.5

18b;Roth Simon (2000);;;;;;;;;;54.0
o;;;Quartenoud Samuel;;;;;;;;8.5
+;5;8.5;Turin Antoine (2001);;20;53.5;5;8.5;0;0.0;9.75
o;7;18.25;Kyburz Silas;;13;55.25;7;18.25;0;0.0;8.5
-;10;26.75;Dormond Noa;;21;52.75;9;27.0;-1;0.25;8.75
+;14;35.5;Squaratti Yannick;;19;53.75;15;35.25;1;-0.25;10.0
o;11;45.5;Von Niederhäusern Martin;;12;55.5;11;45.5;0;0.0;8.5

18c;Hochuli Samuel;;;;;;;;;;54.0
o;;;Balimann Sandro (2001);;;;;;;;8.5
-;5;8.5;Blanchette Nicolas;;17;54.25;5;8.5;0;0.0;8.75
+;9;17.25;Perrier Kilian (2001);;24;51.0;10;17.0;1;-0.25;10.0
+;8;27.25;Chofflon Anthony;;18;54.0;9;27.0;1;-0.25;9.75
o;8;37.0;Dorsaz Alexandre;*;18;54.0;14;35.5;6;-1.5;8.5
o;11;45.5;Pellet Adrian;;14;55.0;13;45.0;2;-0.5;8.5

18d;Rappo Yann;;;;;;;;;;54.0
o;;;Parvex Yannick;;;;;;;;8.5
-;5;8.5;Z'Rotz Roman;;17;54.25;5;8.5;0;0.0;8.75
+;9;17.25;Lambert Ousama (1999);;23;52.25;10;17.0;1;-0.25;10.0
o;8;27.25;Taillard Virgile;;14;55.0;10;26.75;2;-0.5;8.5
o;13;35.75;Ganière William;;13;55.25;14;35.5;1;-0.25;8.5
+;15;44.25;Dormond Noa;;21;52.75;15;44.25;0;0.0;9.75

18e;Dorsaz Alexandre;*;;;;;;;;;54.0
o;;;Bersier Jean-Jacques;*;;;;;;;8.5
+;5;8.5;Pürro Tobias;;13;55.25;1;10.0;-4;1.5;9.75
o;7;18.25;Dousse Michel;**;7;56.75;7;18.25;0;0.0;8.5
-;10;26.75;Rapin Florent;;10;56.0;8;27.25;-2;0.5;8.75
+;14;35.5;Hochuli Samuel;;18;54.0;8;37.0;-6;1.5;10.0
o;11;45.5;Derron Julien;;9;56.25;8;46.25;-3;0.75;8.5

18f;Délitroz Lucien (1999);;;;;;;;;;54.0
+;;;Monney Branighan;;;;;;;;10.0
o;1;10.0;Schafer Damien;*;18;54.0;5;8.5;4;-1.5;8.5
o;6;18.5;Loup Grégoire (2000);;13;55.25;6;18.5;0;0.0;8.5
o;9;27.0;Crausaz Simon;;14;55.0;10;26.75;1;-0.25;8.5
+;14;35.5;Heiniger Mickaël;;18;54.0;14;35.5;0;0.0;10.0
o;11;45.5;Sturny Nicolas;;12;55.5;11;45.5;0;0.0;8.5

18g;Chofflon Anthony;;;;;;;;;;54.0
o;;;Doppmann Ueli;;;;;;;;8.5
+;5;8.5;Goy Sébastien;;20;53.5;5;8.5;0;0.0;10.0
o;6;18.5;Buchs Julien (1999);;13;55.25;6;18.5;0;0.0;8.5
o;9;27.0;Hochuli Samuel;;18;54.0;8;27.25;-1;0.25;8.5
o;14;35.5;Dorsaz Théo;;17;54.25;14;35.5;0;0.0;8.5
+;16;44.0;Lambert Ousama (1999);;23;52.25;17;43.75;1;-0.25;10.0

18h;Heiniger Mickaël;;;;;;;;;;54.0
o;;;Sturny Nicolas;;;;;;;;8.5
+;5;8.5;Balsiger Kevin (2001);;24;51.0;5;8.5;0;0.0;10.0
o;6;18.5;Giroud Jonathan;**;25;44.0;10;17.0;4;-1.5;8.5
o;9;27.0;Dubey Gaël;;13;55.25;9;27.0;0;0.0;8.5
o;14;35.5;Délitroz Lucien (1999);;18;54.0;14;35.5;0;0.0;8.75
+;15;44.25;Pürro David (2001);;21;52.75;15;44.25;0;0.0;9.75

18i;Schafer Damien;*;;;;;;;;;54.0
o;;;Mollet Ivan;*;;;;;;;8.5
+;5;8.5;Délitroz Lucien (1999);;18;54.0;1;10.0;-4;1.5;10.0
+;6;18.5;Ambresin Cyril (1999);;12;55.5;6;18.5;0;0.0;10.0
o;3;28.5;Roch Vincent;**;7;56.75;4;28.25;1;-0.25;8.5
o;8;37.0;Gottofrey Marc;**;5;57.25;6;37.5;-2;0.5;8.5
o;11;45.5;Minder Florian;;7;56.75;6;46.75;-5;1.25;8.5

19a;Buntschu Andreas (2001);;;;;;;;;;53.75
o;;;Duvoisin Antony;;;;;;;;8.5
o;5;8.5;Détienne Laurent;;20;53.5;5;8.5;0;0.0;8.5
+;10;17.0;Balsiger Kevin (2001);;24;51.0;10;17.0;0;0.0;9.75
o;10;26.75;Vaucher Rémy (1999);;12;55.5;8;27.25;-2;0.5;8.5
o;15;35.25;Goy Sébastien;;20;53.5;15;35.25;0;0.0;8.5
+;17;43.75;Perrier Kilian (2001);;24;51.0;19;42.5;2;-1.25;10.0

19b;Quartenoud Samuel;;;;;;;;;;53.75
+;;;Roth Simon (2000);;;;;;;;9.75
+;2;9.75;Zosso Fabian;;16;54.5;4;8.75;2;-1.0;10.0
o;2;19.75;Mosimann Vincent;*;14;55.0;7;18.25;5;-1.5;8.5
o;4;28.25;Wieland Micha;;16;54.5;7;27.5;3;-0.75;8.5
o;9;36.75;Minder Florian;;7;56.75;9;36.75;0;0.0;8.5
o;12;45.25;Ganière William;;13;55.25;12;45.25;0;0.0;8.5

19c;Squaratti Yannick;;;;;;;;;;53.75
+;;;Perrier Kilian (2001);;;;;;;;9.75
o;2;9.75;Fankhauser Hans (2001);;14;55.0;4;8.75;2;-1.0;8.5
o;7;18.25;Monney Branighan;;17;54.25;6;18.5;-1;0.25;8.5
o;10;26.75;Cottier Marco (2000);;20;53.5;10;26.75;0;0.0;8.5
o;15;35.25;Roth Simon (2000);;18;54.0;14;35.5;-1;0.25;8.5
+;17;43.75;Lopes Semedo Mauro (2001);;24;51.0;19;42.5;2;-1.25;10.0

19d;Duvoisin Antony;;;;;;;;;;53.75
+;;;Buntschu Andreas (2001);;;;;;;;9.75
o;2;9.75;Ledermann Michael (2000);;11;55.75;2;9.75;0;0.0;8.5
o;7;18.25;Fankhauser Hans (2001);;14;55.0;6;18.5;-1;0.25;8.5
o;10;26.75;Balimann Fabian;;12;55.5;9;27.0;-1;0.25;8.5
o;15;35.25;Turin Antoine (2001);;20;53.5;15;35.25;0;0.0;8.5
+;17;43.75;Balsiger Kevin (2001);;24;51.0;19;42.5;2;-1.25;10.0

20a;Turin Antoine (2001);;;;;;;;;;53.5
o;;;Ledermann Michael (2000);;;;;;;;8.5
o;5;8.5;Roth Simon (2000);;18;54.0;5;8.5;0;0.0;8.5
o;10;17.0;Pellet Adrian;;14;55.0;7;18.25;-3;1.25;8.5
+;13;25.5;Turrian Mathias;;22;52.5;13;25.5;0;0.0;9.75
+;15;35.25;Duvoisin Antony;;19;53.75;15;35.25;0;0.0;9.75
o;13;45.0;Vaucher Rémy (1999);;12;55.5;11;45.5;-2;0.5;8.5

20b;Cottier Marco (2000);;;;;;;;;;53.5
o;;;Ambresin Cyril (1999);;;;;;;;8.5
+;5;8.5;Turrian Mathias;;22;52.5;5;8.5;0;0.0;9.75
o;7;18.25;Liardon Kevin;;17;54.25;9;17.25;2;-1.0;8.5
+;10;26.75;Squaratti Yannick;;19;53.75;10;26.75;0;0.0;9.75
o;10;36.5;Fankhauser Hans (2001);;14;55.0;9;36.75;-1;0.25;8.5
o;13;45.0;Taillard Virgile;;14;55.0;12;45.25;-1;0.25;8.5

20c;Détienne Laurent;;;;;;;;;;53.5
o;;;Golliard Steve;;;;;;;;8.5
+;5;8.5;Buntschu Andreas (2001);;19;53.75;5;8.5;0;0.0;9.75
o;7;18.25;Balimann Sandro (2001);;17;54.25;7;18.25;0;0.0;8.5
o;10;26.75;Liardon Kevin;;17;54.25;8;27.25;-2;0.5;8.5
+;15;35.25;Lambert Ousama (1999);;23;52.25;15;35.25;0;0.0;9.75
o;13;45.0;Buchs Julien (1999);;13;55.25;12;45.25;-1;0.25;8.5

20d;Goy Sébastien;;;;;;;;;;53.5
o;;;Wieland Janis;;;;;;;;8.5
o;5;8.5;Chofflon Anthony;;18;54.0;5;8.5;0;0.0;8.5
o;10;17.0;Z'Rotz Roman;;17;54.25;9;17.25;-1;0.25;8.5
+;13;25.5;Aeschbacher Ivo (2001);;22;52.5;12;25.75;-1;0.25;9.75
+;15;35.25;Buntschu Andreas (2001);;19;53.75;15;35.25;0;0.0;9.75
o;13;45.0;Loup Grégoire (2000);;13;55.25;12;45.25;-1;0.25;8.5

21a;Gauch Thierry;;;;;;;;;;52.75
o;;;Dormond Noa;;;;;;;;8.5
+;5;8.5;Perrier Kilian (2001);;24;51.0;5;8.5;0;0.0;10.0
o;6;18.5;Lützelschwab Luc (1999);;12;55.5;6;18.5;0;0.0;8.5
o;9;27.0;Holweger Marek;;18;54.0;9;27.0;0;0.0;8.5
o;14;35.5;Torche Bastian;;17;54.25;14;35.5;0;0.0;8.5
-;16;44.0;Turrian Mathias;;22;52.5;17;43.75;1;-0.25;8.75

21b;Vionnet Julien (2000);;;;;;;;;;52.75
o;;;Von Niederhäusern Martin;;;;;;;;8.5
o;5;8.5;Pellet Adrian;;14;55.0;5;8.5;0;0.0;8.5
-;10;17.0;Aeschbacher Ivo (2001);;22;52.5;10;17.0;0;0.0;8.75
+;12;25.75;Balsiger Kevin (2001);;24;51.0;13;25.5;1;-0.25;10.0
o;13;35.75;Rapin Florent;;10;56.0;12;36.0;-1;0.25;8.5
o;15;44.25;Z'Rotz Roman;;17;54.25;15;44.25;0;0.0;8.5

21c;Dormond Noa;;;;;;;;;;52.75
+;;;Gauch Thierry;;;;;;;;10.0
o;1;10.0;Rapin Florent;;10;56.0;4;8.75;3;-1.25;8.5
o;6;18.5;Wieland Janis;;9;56.25;6;18.5;0;0.0;8.5
-;9;27.0;Roth Simon (2000);;18;54.0;10;26.75;1;-0.25;8.75
o;13;35.75;Zosso Fabian;;16;54.5;12;36.0;-1;0.25;8.5
o;15;44.25;Rappo Yann;;18;54.0;15;44.25;0;0.0;8.5

21d;Pürro David (2001);;;;;;;;;;52.75
+;;;Feltz Nils (2001);;;;;;;;10.0
o;1;10.0;Crettaz Olivier;;8;56.5;4;8.75;3;-1.25;8.5
o;6;18.5;Ducry Antoine;*;12;55.5;8;17.5;2;-1.0;8.75
o;8;27.25;Dind Clément;;12;55.5;8;27.25;0;0.0;8.5
o;13;35.75;Mollet Adrian;;14;55.0;10;36.5;-3;0.75;8.5
o;15;44.25;Heiniger Mickaël;;18;54.0;15;44.25;0;0.0;8.5

22a;Turrian Mathias;;;;;;;;;;52.5
o;;;Remy André (2001);;;;;;;;8.5
o;5;8.5;Cottier Marco (2000);;20;53.5;5;8.5;0;0.0;8.5
o;10;17.0;Cotting Florian;;12;55.5;9;17.25;-1;0.25;8.5
o;13;25.5;Turin Antoine (2001);;20;53.5;13;25.5;0;0.0;8.5
+;17;34.0;Perrier Kilian (2001);;24;51.0;17;34.0;0;0.0;9.75
-;17;43.75;Gauch Thierry;;21;52.75;16;44.0;-1;0.25;8.75

22b;Aeschbacher Ivo (2001);;;;;;;;;;52.5
o;;;Berthet Luca (2001);;;;;;;;8.5
o;5;8.5;Ganière William;;13;55.25;5;8.5;0;0.0;8.5
-;10;17.0;Vionnet Julien (2000);;21;52.75;10;17.0;0;0.0;8.75
o;12;25.75;Goy Sébastien;;20;53.5;13;25.5;1;-0.25;8.5
o;16;34.25;Blanchette Nicolas;;17;54.25;12;36.0;-4;1.75;8.5
+;18;42.75;Balsiger Kevin (2001);;24;51.0;19;42.5;1;-0.25;9.75

23a;Lambert Ousama (1999);;;;;;;;;;52.25
o;;;Pürro Tobias;;;;;;;;8.5
o;5;8.5;Monney Branighan;;17;54.25;5;8.5;0;0.0;8.5
o;10;17.0;Rappo Yann;;18;54.0;9;17.25;-1;0.25;8.5
+;13;25.5;Perrier Kilian (2001);;24;51.0;13;25.5;0;0.0;9.75
o;15;35.25;Détienne Laurent;;20;53.5;15;35.25;0;0.0;8.5
o;17;43.75;Chofflon Anthony;;18;54.0;16;44.0;-1;0.25;8.5

24a;Balsiger Kevin (2001);;;;;;;;;;51.0
o;;;Balimann Fabian;;;;;;;;8.5
o;5;8.5;Heiniger Mickaël;;18;54.0;5;8.5;0;0.0;8.5
o;10;17.0;Buntschu Andreas (2001);;19;53.75;10;17.0;0;0.0;8.5
o;13;25.5;Vionnet Julien (2000);;21;52.75;12;25.75;-1;0.25;8.5
o;17;34.0;Duvoisin Antony;;19;53.75;15;35.25;-2;1.25;8.5
o;19;42.5;Aeschbacher Ivo (2001);;22;52.5;18;42.75;-1;0.25;8.5

24b;Lopes Semedo Mauro (2001);;;;;;;;;;51.0
o;;;Vaucher Rémy (1999);;;;;;;;8.5
o;5;8.5;Torche Bastian;;17;54.25;5;8.5;0;0.0;8.5
o;10;17.0;Holweger Marek;;18;54.0;10;17.0;0;0.0;8.5
o;13;25.5;Zosso Fabian;;16;54.5;11;26.0;-2;0.5;8.5
o;17;34.0;Blanchette Nicolas;;17;54.25;12;36.0;-5;2.0;8.5
o;19;42.5;Squaratti Yannick;;19;53.75;17;43.75;-2;1.25;8.5

24c;Perrier Kilian (2001);;;;;;;;;;51.0
o;;;Squaratti Yannick;;;;;;;;8.5
o;5;8.5;Gauch Thierry;;21;52.75;5;8.5;0;0.0;8.5
o;10;17.0;Hochuli Samuel;;18;54.0;9;17.25;-1;0.25;8.5
o;13;25.5;Lambert Ousama (1999);;23;52.25;13;25.5;0;0.0;8.5
o;17;34.0;Turrian Mathias;;22;52.5;17;34.0;0;0.0;8.5
o;19;42.5;Buntschu Andreas (2001);;19;53.75;17;43.75;-2;1.25;8.5

25a;Giroud Jonathan;**;;;;;;;;;44.0
o;;;Kramer Lario;**;;;;;;;8.5
o;5;8.5;Sturny Nicolas;;12;55.5;1;10.0;-4;1.5;8.5
+;10;17.0;Heiniger Mickaël;;18;54.0;6;18.5;-4;1.5;10.0
o;9;27.0;Ducry Antoine;*;12;55.5;8;27.25;-1;0.25;8.5
o;14;35.5;Cotting Florian;;12;55.5;8;37.0;-6;1.5;8.5

26a;Gassmann Simon;*;;;;;;;;;8.75
-;;;Berset Julien;*;;;;;;;8.75

26b;Haldi Sami;*;;;;;;;;;8.75
-;;;Barras André;*;;;;;;;8.75

27a;Feltz Nils (2001);;;;;;;;;;8.5
o;;;Pürro David (2001);;;;;;;;8.5

