2950-2016-08-14_17_Schwaegalp-Schwinget-ST

1a;Giger Samuel (1998);**;;;;;;;;;58.0
-;3;38.25;Reichmuth Pirmin;**;3;57.25;3;38.25;0;0.0;8.75
o;7;47.0;Bless Michael;***;2;57.5;4;47.75;-3;0.75;8.5

10d;Notz Beni;***;;;;;;;;;55.5
o;;;Müllestein Mike;**;;;;;;;8.5
+;5;8.5;Baumann Rico;*;18;53.0;1;10.0;-4;1.5;10.0
-;6;18.5;Steinauer Adrian;**;7;56.25;5;18.75;-1;0.25;8.75
o;11;27.25;Vestner Roman;*;16;54.0;11;27.25;0;0.0;8.5
+;13;35.75;Güntensperger Marcel;*;15;54.25;13;35.75;0;0.0;10.0
+;12;45.75;Giger Urs;*;15;54.25;12;45.75;0;0.0;9.75

10e;Zwyssig Raphael;***;;;;;;;;;55.5
-;;;Alpiger Nick;**;;;;;;;8.75
+;4;8.75;Landolt Reto;*;16;54.0;2;9.75;-2;1.0;9.75
o;6;18.5;Bieri Marcel;**;10;55.5;3;19.5;-3;1.0;8.75
+;11;27.25;Hochholdinger Roman;**;11;55.25;7;28.25;-4;1.0;9.75
-;8;37.0;Gasser Stefan;**;10;55.5;4;38.0;-4;1.0;8.75
+;12;45.75;Blatter Lorenz;**;13;54.75;10;46.25;-2;0.5;9.75

10f;Glaus Martin;***;;;;;;;;;55.5
o;;;Reichmuth Pirmin;**;;;;;;;8.5
o;5;8.5;Roth Martin;*;8;56.0;2;9.75;-3;1.25;8.75
+;9;17.25;Krähenbühl Lukas;*;22;35.25;7;18.25;-2;1.0;10.0
+;11;27.25;Klausner Yanick;**;11;55.25;8;28.0;-3;0.75;9.75
o;8;37.0;Blatter Lorenz;**;13;54.75;10;36.5;2;-0.5;8.5
+;13;45.5;Zbinden Marc;*;16;54.0;13;45.5;0;0.0;10.0

10g;Gasser Stefan;**;;;;;;;;;55.5
+;;;Schneider Mario;**;;;;;;;9.75
+;2;9.75;Fejzaj Naim;**;13;54.75;2;9.75;0;0.0;10.0
o;2;19.75;Bless Michael;***;2;57.5;4;19.0;2;-0.75;8.5
+;7;28.25;Giger Urs;*;15;54.25;6;28.5;-1;0.25;9.75
-;4;38.0;Zwyssig Raphael;***;10;55.5;8;37.0;4;-1.0;8.75
o;8;46.75;Schneider Domenic;**;5;56.75;7;47.0;-1;0.25;8.75

10h;Clopath Beat;***;;;;;;;;;55.5
o;;;Wicki Joel;**;;;;;;;8.5
+;5;8.5;Bernold Edi;**;17;53.75;2;9.75;-3;1.25;9.75
+;7;18.25;Schläpfer Matthias;*;19;52.75;6;18.5;-1;0.25;10.0
o;7;28.25;Schurtenberger Sven;**;9;55.75;6;28.5;-1;0.25;8.75
o;8;37.0;Alpiger Nick;**;5;56.75;7;37.25;-1;0.25;8.5
+;13;45.5;Gmür Pirmin;*;16;54.0;13;45.5;0;0.0;10.0

10i;Krähenbühl Tobias;**;;;;;;;;;55.5
+;;;Egli Pirmin;**;;;;;;;9.75
o;2;9.75;Räbmatter Patrick;**;9;55.75;4;8.75;2;-1.0;8.5
+;7;18.25;Eugster Ruedi;**;21;35.5;7;18.25;0;0.0;10.0
o;7;28.25;Laimbacher Philipp;***;4;57.0;6;28.5;-1;0.25;8.5
+;9;36.75;Landolt Reto;*;16;54.0;9;36.75;0;0.0;10.0
o;8;46.75;Fankhauser Erich;***;7;56.25;10;46.25;2;-0.5;8.75

10j;Schläpfer Markus;**;;;;;;;;;55.5
o;;;Bieri Marcel;**;;;;;;;8.5
-;5;8.5;Egli Pirmin;**;11;55.25;5;8.5;0;0.0;9.0
+;8;17.5;Odermatt Christian;**;22;35.25;10;17.0;2;-0.5;10.0
+;10;27.5;Sprecher Sandro;*;18;53.0;11;27.25;1;-0.25;9.75
o;7;37.25;Müllestein Mike;**;6;56.5;6;37.5;-1;0.25;8.5
+;12;45.75;Vestner Roman;*;16;54.0;13;45.5;1;-0.25;9.75

10k;Stalder Remo;***;;;;;;;;;55.5
+;;;Giger Samuel (1998);**;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;3;57.25;1;10.0;0;0.0;8.5
+;6;18.5;Schlegel Sandro;**;11;55.25;6;18.5;0;0.0;10.0
+;6;28.5;Rychen Roger;**;5;56.75;6;28.5;0;0.0;9.75
o;3;38.25;Orlik Armon;**;1;58.0;3;38.25;0;0.0;8.5
o;8;46.75;Roth Martin;*;8;56.0;10;46.25;2;-0.5;8.75

11a;Egli Pirmin;**;;;;;;;;;55.25
o;;;Krähenbühl Tobias;**;;;;;;;8.5
-;5;8.5;Schläpfer Markus;**;10;55.5;5;8.5;0;0.0;8.75
+;9;17.25;Bühler Ernst;**;15;54.25;10;17.0;1;-0.25;10.0
o;11;27.25;Burkhalter Stefan;***;13;54.75;15;26.25;4;-1.0;8.5
+;13;35.75;Sprecher Sandro;*;18;53.0;13;35.75;0;0.0;9.75
+;13;45.5;Bernold Edi;**;17;53.75;14;45.25;1;-0.25;9.75

11b;Hochholdinger Roman;**;;;;;;;;;55.25
+;;;Steinauer Adrian;**;;;;;;;9.75
+;2;9.75;Gisler Bruno;***;5;56.75;5;8.5;3;-1.25;10.0
o;2;19.75;Reichmuth Pirmin;**;3;57.25;1;20.0;-1;0.25;8.5
o;7;28.25;Zwyssig Raphael;***;10;55.5;11;27.25;4;-1.0;8.5
o;9;36.75;Studinger Stephan;**;12;55.0;9;36.75;0;0.0;8.75
+;13;45.5;Steiner Michael;**;14;54.5;12;45.75;-1;0.25;9.75

11c;Rhyner Michael;**;;;;;;;;;55.25
-;;;Schurtenberger Sven;**;;;;;;;8.75
-;4;8.75;Kocher Remo;**;25;34.5;5;8.5;1;-0.25;8.75
o;8;17.5;Hasler Florian;**;21;35.5;10;17.0;2;-0.5;8.5
+;16;26.0;Bühler Hannes;*;25;34.5;16;26.0;0;0.0;9.75
+;13;35.75;Ackermann Remo;*;19;52.75;13;35.75;0;0.0;9.75
+;13;45.5;Schnurrenberger Roman;**;17;53.75;14;45.25;1;-0.25;9.75

11d;Klausner Yanick;**;;;;;;;;;55.25
o;;;Kuster Marcel;**;;;;;;;8.5
+;5;8.5;Bühler Ernst;**;15;54.25;5;8.5;0;0.0;9.75
+;7;18.25;Gwerder Andreas;**;16;54.0;7;18.25;0;0.0;9.75
o;8;28.0;Glaus Martin;***;10;55.5;11;27.25;3;-0.75;8.5
+;10;36.5;Giger Urs;*;15;54.25;8;37.0;-2;0.5;10.0
o;9;46.5;Laimbacher Philipp;***;4;57.0;7;47.0;-2;0.5;8.75

11e;Schneider Mario;**;;;;;;;;;55.25
o;;;Gasser Stefan;**;;;;;;;8.5
+;5;8.5;Zurfluh Markus;**;26;34.25;5;8.5;0;0.0;9.75
+;7;18.25;Kocher Remo;**;25;34.5;9;17.25;2;-1.0;9.75
o;8;28.0;Laimbacher Philipp;***;4;57.0;6;28.5;-2;0.5;8.75
+;9;36.75;Bernold Edi;**;17;53.75;10;36.5;1;-0.25;10.0
o;8;46.75;Räbmatter Patrick;**;9;55.75;11;46.0;3;-0.75;8.5

11f;Wickli Beat;**;;;;;;;;;55.25
+;;;Kocher Remo;**;;;;;;;9.75
-;2;9.75;Burkhalter Stefan;***;13;54.75;4;8.75;2;-1.0;8.75
-;6;18.5;Nägeli Marco;*;14;54.5;5;18.75;-1;0.25;8.75
+;11;27.25;Krähenbühl Lukas;*;22;35.25;13;26.75;2;-0.5;9.75
o;8;37.0;Fejzaj Naim;**;13;54.75;10;36.5;2;-0.5;8.5
+;13;45.5;Gwerder Andreas;**;16;54.0;13;45.5;0;0.0;9.75

11g;Schlegel Sandro;**;;;;;;;;;55.25
o;;;Roth Martin;*;;;;;;;8.5
+;5;8.5;Hasler Florian;**;21;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Stalder Remo;***;10;55.5;6;18.5;0;0.0;8.75
+;11;27.25;Ammann Rico;*;19;52.75;11;27.25;0;0.0;9.75
o;8;37.0;Steinauer Adrian;**;7;56.25;6;37.5;-2;0.5;8.5
+;13;45.5;Oertig Dominik;**;16;54.0;13;45.5;0;0.0;9.75

12a;Studinger Stephan;**;;;;;;;;;55.0
+;;;Bühler Ernst;**;;;;;;;9.75
o;2;9.75;Forrer Arnold;***;7;56.25;5;8.5;3;-1.25;8.5
-;7;18.25;Gmür Pirmin;*;16;54.0;7;18.25;0;0.0;8.75
+;12;27.0;Ackermann Remo;*;19;52.75;11;27.25;-1;0.25;9.75
+;9;36.75;Hochholdinger Roman;**;11;55.25;9;36.75;0;0.0;9.75
o;9;46.5;Kuster Marcel;**;6;56.5;9;46.5;0;0.0;8.5

13a;Kuster Thomas;*;;;;;;;;;54.75
-;;;Näf Pius;*;;;;;;;8.75
-;4;8.75;Rüegg Fabian;*;23;35.0;4;8.75;0;0.0;8.75
+;8;17.5;Dumelin David;*;25;34.5;8;17.5;0;0.0;9.75
-;11;27.25;Bader Andreas;**;18;53.0;12;27.0;1;-0.25;9.0
o;11;36.25;Burkhalter Stefan;***;13;54.75;11;36.25;0;0.0;8.5
+;15;44.75;Jöhl Christian;*;17;53.75;14;45.25;-1;0.5;10.0

13b;Good Marco;*;;;;;;;;;54.75
+;;;Schudel Simon;*;;;;;;;9.75
o;2;9.75;Schmid David;**;10;55.5;4;8.75;2;-1.0;8.75
-;6;18.5;Koch Thomas;*;20;36.0;6;18.5;0;0.0;9.0
o;10;27.5;Gisler Bruno;***;5;56.75;12;27.0;2;-0.5;8.5
+;12;36.0;Bader Andreas;**;18;53.0;12;36.0;0;0.0;10.0
o;11;46.0;Alpiger Nick;**;5;56.75;7;47.0;-4;1.0;8.75

13c;Blatter Lorenz;**;;;;;;;;;54.75
o;;;Rychen Roger;**;;;;;;;8.5
+;5;8.5;Zbinden Marc;*;16;54.0;2;9.75;-3;1.25;9.75
o;7;18.25;Fejzaj Naim;**;13;54.75;7;18.25;0;0.0;8.5
+;13;26.75;Rüegg Fabian;*;23;35.0;14;26.5;1;-0.25;9.75
+;10;36.5;Glaus Martin;***;10;55.5;8;37.0;-2;0.5;9.75
o;10;46.25;Zwyssig Raphael;***;10;55.5;12;45.75;2;-0.5;8.5

13d;Burkhalter Stefan;***;;;;;;;;;54.75
-;;;Räbmatter Patrick;**;;;;;;;8.75
-;4;8.75;Wickli Beat;**;11;55.25;2;9.75;-2;1.0;8.75
-;8;17.5;Ackermann Remo;*;19;52.75;6;18.5;-2;1.0;8.75
+;15;26.25;Egli Pirmin;**;11;55.25;11;27.25;-4;1.0;10.0
+;11;36.25;Kuster Thomas;*;13;54.75;11;36.25;0;0.0;10.0
o;10;46.25;Gisler Bruno;***;5;56.75;8;46.75;-2;0.5;8.5

13e;Fejzaj Naim;**;;;;;;;;;54.75
+;;;Zurfluh Markus;**;;;;;;;9.75
o;2;9.75;Gasser Stefan;**;10;55.5;2;9.75;0;0.0;8.5
+;7;18.25;Blatter Lorenz;**;13;54.75;7;18.25;0;0.0;9.75
o;8;28.0;Schmid David;**;10;55.5;7;28.25;-1;0.25;8.5
+;10;36.5;Wickli Beat;**;11;55.25;8;37.0;-2;0.5;9.75
o;10;46.25;Reichmuth Pirmin;**;3;57.25;6;47.25;-4;1.0;8.5

13f;Bernold Christian;**;;;;;;;;;54.75
o;;;Schläpfer Matthias;*;;;;;;;8.5
-;5;8.5;Straub Robin;*;24;34.75;5;8.5;0;0.0;8.75
o;9;17.25;Oettli Marco;*;21;35.5;10;17.0;1;-0.25;8.75
+;16;26.0;Dumelin David;*;25;34.5;16;26.0;0;0.0;10.0
-;12;36.0;Nägeli Marco;*;14;54.5;12;36.0;0;0.0;8.75
+;15;44.75;Wey Nicola;*;19;52.75;17;44.25;2;-0.5;10.0

14a;Nägeli Marco;*;;;;;;;;;54.5
+;;;Ammann Rico;*;;;;;;;10.0
o;1;10.0;Fankhauser Erich;***;7;56.25;3;9.0;2;-1.0;8.75
-;5;18.75;Wickli Beat;**;11;55.25;6;18.5;1;-0.25;8.75
o;10;27.5;Murer Andy;*;10;55.5;11;27.25;1;-0.25;8.5
-;12;36.0;Bernold Christian;**;13;54.75;12;36.0;0;0.0;8.75
+;15;44.75;Bader Andreas;**;18;53.0;16;44.5;1;-0.25;9.75

14b;Oertig Adrian;**;;;;;;;;;54.5
-;;;Giger Urs;*;;;;;;;8.75
-;4;8.75;Sprecher Sandro;*;18;53.0;5;8.5;1;-0.25;8.75
-;8;17.5;Zurfluh Markus;**;26;34.25;10;17.0;2;-0.5;8.75
+;15;26.25;Schudel Simon;*;22;35.25;13;26.75;-2;0.5;9.75
-;12;36.0;Bühler Ernst;**;15;54.25;13;35.75;1;-0.25;8.75
+;15;44.75;Ammann Rico;*;19;52.75;17;44.25;2;-0.5;9.75

14c;Steiner Michael;**;;;;;;;;;54.5
-;;;Vestner Roman;*;;;;;;;8.75
o;4;8.75;Jöhl Christian;*;17;53.75;1;10.0;-3;1.25;8.5
+;9;17.25;Schudel Simon;*;22;35.25;7;18.25;-2;1.0;9.75
+;12;27.0;Gwerder Andreas;**;16;54.0;12;27.0;0;0.0;10.0
-;8;37.0;Räbmatter Patrick;**;9;55.75;7;37.25;-1;0.25;8.75
o;12;45.75;Hochholdinger Roman;**;11;55.25;13;45.5;1;-0.25;8.75

15a;Bühler Ernst;**;;;;;;;;;54.25
o;;;Studinger Stephan;**;;;;;;;8.5
o;5;8.5;Klausner Yanick;**;11;55.25;5;8.5;0;0.0;8.5
o;10;17.0;Egli Pirmin;**;11;55.25;9;17.25;-1;0.25;8.75
+;17;25.75;Oertle Daniel;*;25;34.5;16;26.0;-1;0.25;10.0
-;13;35.75;Oertig Adrian;**;14;54.5;12;36.0;-1;0.25;8.75
+;16;44.5;Ackermann Remo;*;19;52.75;17;44.25;1;-0.25;9.75

15b;Güntensperger Marcel;*;;;;;;;;;54.25
-;;;Kammermann Thomas;*;;;;;;;8.75
-;4;8.75;Ammann Rico;*;19;52.75;5;8.5;1;-0.25;8.75
+;8;17.5;Wey Nicola;*;19;52.75;9;17.25;1;-0.25;9.75
o;11;27.25;Kuster Marcel;**;6;56.5;8;28.0;-3;0.75;8.5
o;13;35.75;Notz Beni;***;10;55.5;13;35.75;0;0.0;8.5
+;17;44.25;Schläpfer Matthias;*;19;52.75;17;44.25;0;0.0;10.0

15c;Giger Urs;*;;;;;;;;;54.25
-;;;Oertig Adrian;**;;;;;;;8.75
+;4;8.75;Bühler Hannes;*;25;34.5;5;8.5;1;-0.25;9.75
+;6;18.5;Peng Mike;***;25;34.5;9;17.25;3;-1.25;10.0
o;6;28.5;Gasser Stefan;**;10;55.5;7;28.25;1;-0.25;8.5
o;8;37.0;Klausner Yanick;**;11;55.25;10;36.5;2;-0.5;8.75
o;12;45.75;Notz Beni;***;10;55.5;12;45.75;0;0.0;8.5

16a;Knechtle Martin;**;;;;;;;;;54.0
+;;;Sprecher Sandro;*;;;;;;;10.0
o;1;10.0;Bless Michael;***;2;57.5;3;9.0;2;-1.0;8.5
o;6;18.5;Räbmatter Patrick;**;9;55.75;5;18.75;-1;0.25;8.5
+;12;27.0;Korrodi Paul;*;21;35.5;12;27.0;0;0.0;9.75
o;9;36.75;Gisler Bruno;***;5;56.75;9;36.75;0;0.0;8.5
-;14;45.25;Landolt Reto;*;16;54.0;14;45.25;0;0.0;8.75

16b;Vestner Roman;*;;;;;;;;;54.0
-;;;Steiner Michael;**;;;;;;;8.75
-;4;8.75;Dumelin David;*;25;34.5;4;8.75;0;0.0;8.75
+;8;17.5;Oertle Daniel;*;25;34.5;8;17.5;0;0.0;9.75
+;11;27.25;Notz Beni;***;10;55.5;11;27.25;0;0.0;9.75
o;8;37.0;Rychen Roger;**;5;56.75;8;37.0;0;0.0;8.5
o;13;45.5;Schläpfer Markus;**;10;55.5;12;45.75;-1;0.25;8.5

16c;Landolt Reto;*;;;;;;;;;54.0
+;;;Bleiker Reto;*;;;;;;;9.75
