4100-2019-06-30_104_Basellandschaftliches_Kantonalschwingfest-ST

1a;Müllestein Mike;***;;;;;;;;;58.75
+;;;Alpiger Nick;***;;;;;;;9.75
+;2;9.75;Vieira Tiago;**;8;55.75;1;10.0;-1;0.25;10.0
+;2;19.75;Kropf Marcel;**;2;57.25;1;20.0;-1;0.25;10.0
-;1;29.75;Thürig Mario;***;5;56.5;2;28.75;1;-1.0;9.0
+;1;38.75;Klausner Yanick;**;5;56.5;4;38.0;3;-0.75;10.0
+;1;48.75;Studinger Stephan;**;3;57.0;2;48.25;1;-0.5;10.0

2a;Orlik Curdin;**;;;;;;;;;57.25
o;;;Räbmatter Patrick;***;;;;;;;8.5
+;5;8.5;Studinger Stephan;**;3;57.0;2;9.75;-3;1.25;10.0
+;6;18.5;Mangold Michael;**;7;56.0;5;18.75;-1;0.25;10.0
+;3;28.5;Hügli Kaj;**;8;55.75;2;28.75;-1;0.25;10.0
-;2;38.5;Alpiger Nick;***;2;57.25;2;38.5;0;0.0;8.75
+;5;47.25;Döbeli Lukas;**;4;56.75;3;48.0;-2;0.75;10.0

2b;Kropf Marcel;**;;;;;;;;;57.25
+;;;Leuthard Reto;**;;;;;;;10.0
+;1;10.0;Klausner Yanick;**;5;56.5;2;9.75;1;-0.25;10.0
o;1;20.0;Müllestein Mike;***;1;58.75;2;19.75;1;-0.25;8.5
+;3;28.5;Klossner Adrian;*;9;55.5;4;28.25;1;-0.25;10.0
-;2;38.5;Bieri Christoph;***;5;56.5;5;37.75;3;-0.75;8.75
+;5;47.25;Hügli Kaj;**;8;55.75;5;47.25;0;0.0;10.0

2c;Alpiger Nick;***;;;;;;;;;57.25
o;;;Müllestein Mike;***;;;;;;;8.5
+;5;8.5;Waldner Patrick;**;8;55.75;1;10.0;-4;1.5;10.0
+;6;18.5;Schmutz Simon;*;9;55.5;6;18.5;0;0.0;10.0
+;3;28.5;Hauri Urs;**;8;55.75;3;28.5;0;0.0;10.0
-;2;38.5;Orlik Curdin;**;2;57.25;2;38.5;0;0.0;8.75
+;5;47.25;Ulrich Marco;*;12;54.75;9;46.25;4;-1.0;10.0

3a;Erb Roger;**;;;;;;;;;57.0
o;;;Ulrich Andreas;***;;;;;;;8.5
+;5;8.5;Stadler Kevin (2002);*;9;55.5;2;9.75;-3;1.25;10.0
+;6;18.5;Hitz Florian;;13;54.5;6;18.5;0;0.0;10.0
o;3;28.5;Döbeli Lukas;**;4;56.75;4;28.25;1;-0.25;8.5
