4100-2019-06-30_104_Basellandschaftliches_Kantonalschwingfest-ST

1a;Müllestein Mike;***;;;;;;;;;58.75
+;8;37.0;Schmutz Simon;*;9;55.5;8;37.0;0;0.0;10.0
+;6;47.0;Burren Patrick;*;9;55.5;6;47.0;0;0.0;10.0

3b;Studinger Stephan;**;;;;;;;;;57.0
+;;;Stegmüller Klemens;*;;;;;;;9.75
o;2;9.75;Orlik Curdin;**;2;57.25;5;8.5;3;-1.25;8.5
+;7;18.25;Imobersteg Matthias (2001);**;15;54.0;6;18.5;-1;0.25;10.0
+;4;28.25;Brügger Cyrill;;13;54.5;2;28.75;-2;0.5;10.0
+;3;38.25;Thürig Mario;***;5;56.5;5;37.75;2;-0.5;10.0
o;2;48.25;Müllestein Mike;***;1;58.75;1;48.75;-1;0.5;8.75

3c;Räbmatter Patrick;***;;;;;;;;;57.0
+;;;Orlik Curdin;**;;;;;;;9.75
o;2;9.75;Hasler Jimmy;*;29;29.75;1;10.0;-1;0.25;8.5
+;7;18.25;Burren Patrick;*;9;55.5;5;18.75;-2;0.5;10.0
+;4;28.25;Stüdeli Thomas;**;10;55.25;3;28.5;-1;0.25;9.75
-;4;38.0;Ulrich Andreas;***;3;57.0;2;38.5;-2;0.5;9.0
+;6;47.0;Grossen John;*;9;55.5;6;47.0;0;0.0;10.0

3d;Ulrich Andreas;***;;;;;;;;;57.0
+;;;Erb Roger;**;;;;;;;10.0
-;1;10.0;Bieri Christoph;***;5;56.5;1;10.0;0;0.0;8.75
+;5;18.75;Rüegger Aaron;*;10;55.25;4;19.0;-1;0.25;9.75
+;3;28.5;Hermann Oliver;*;8;55.75;2;28.75;-1;0.25;10.0
-;2;38.5;Räbmatter Patrick;***;3;57.0;4;38.0;2;-0.5;8.75
+;5;47.25;Mangold Martin;*;8;55.75;5;47.25;0;0.0;9.75

4a;Döbeli Lukas;**;;;;;;;;;56.75
+;;;von Arx Christian;*;;;;;;;10.0
o;1;10.0;Grossen John;*;9;55.5;4;8.75;3;-1.25;8.5
+;6;18.5;Streich Sascha (2001);;13;54.5;6;18.5;0;0.0;9.75
+;4;28.25;Brun Samuel;**;8;55.75;3;28.5;-1;0.25;9.75
+;4;38.0;Erb Roger;**;3;57.0;8;37.0;4;-1.0;10.0
o;3;48.0;Orlik Curdin;**;2;57.25;5;47.25;2;-0.75;8.75

4b;Voggensperger Lars (2001);*;;;;;;;;;56.75
-;;;Ulrich Marco;*;;;;;;;9.0
+;3;9.0;Scherrer Johann;**;11;55.0;5;8.5;2;-0.5;10.0
-;4;19.0;Schmid David;***;5;56.5;5;18.75;1;-0.25;9.0
+;5;28.0;Stark Urban;;10;55.25;3;28.5;-2;0.5;9.75
-;5;37.75;Schmid Samuel;**;5;56.5;5;37.75;0;0.0;9.0
+;7;46.75;Hasler Luis (2002);;8;55.75;6;47.0;-1;0.25;10.0

4c;Gwerder Michael;**;;;;;;;;;56.75
o;;;Brun Samuel;**;;;;;;;8.5
+;5;8.5;Mangold Martin;*;8;55.75;2;9.75;-3;1.25;10.0
+;6;18.5;Schwegler Dominik;;17;53.5;5;18.75;-1;0.25;9.75
o;4;28.25;Schwenkfelder Lukas;*;7;56.0;3;28.5;-1;0.25;8.75
+;8;37.0;Stüdeli Thomas;**;10;55.25;8;37.0;0;0.0;10.0
+;6;47.0;Hermann Oliver;*;8;55.75;5;47.25;-1;0.25;9.75

5a;Thürig Mario;***;;;;;;;;;56.5
+;;;Brand Christian;**;;;;;;;10.0
-;1;10.0;Schmid Samuel;**;5;56.5;1;10.0;0;0.0;8.75
+;5;18.75;Gerber Andrj;*;7;56.0;6;18.5;1;-0.25;10.0
-;2;28.75;Müllestein Mike;***;1;58.75;1;29.75;-1;1.0;9.0
o;5;37.75;Studinger Stephan;**;3;57.0;3;38.25;-2;0.5;8.75
+;8;46.5;Kohler Adrian;*;20;46.0;10;46.0;2;-0.5;10.0

5b;Bieri Christoph;***;;;;;;;;;56.5
+;;;Kocher Remo;**;;;;;;;10.0
-;1;10.0;Ulrich Andreas;***;3;57.0;1;10.0;0;0.0;8.75
+;5;18.75;Lisser Daniel;*;11;55.0;4;19.0;-1;0.25;10.0
-;2;28.75;Henzer Andreas;**;6;56.25;2;28.75;0;0.0;9.0
-;5;37.75;Kropf Marcel;**;2;57.25;2;38.5;-3;0.75;8.75
+;8;46.5;Klossner Adrian;*;9;55.5;7;46.75;-1;0.25;10.0

5c;Schmid David;***;;;;;;;;;56.5
-;;;Gerber Manuel;*;;;;;;;8.75
+;4;8.75;Ris Jörn;*;10;55.25;2;9.75;-2;1.0;10.0
-;5;18.75;Voggensperger Lars (2001);*;4;56.75;4;19.0;-1;0.25;9.0
+;6;27.75;Krebs Clemens;*;9;55.5;3;28.5;-3;0.75;9.75
+;6;37.5;Schwenkfelder Lukas;*;7;56.0;2;38.5;-4;1.0;10.0
-;4;47.5;Odermatt Adrian (2001);*;10;55.25;9;46.25;5;-1.25;9.0

5d;Klausner Yanick;**;;;;;;;;;56.5
+;;;Scherrer Johann;**;;;;;;;9.75
o;2;9.75;Kropf Marcel;**;2;57.25;1;10.0;-1;0.25;8.5
+;7;18.25;Bader Thomas (2002);;15;54.0;7;18.25;0;0.0;10.0
+;4;28.25;Ulrich Marco;*;12;54.75;6;27.75;2;-0.5;9.75
o;4;38.0;Müllestein Mike;***;1;58.75;1;38.75;-3;0.75;8.5
+;8;46.5;Lisser Daniel;*;11;55.0;8;46.5;0;0.0;10.0

5e;Schmid Samuel;**;;;;;;;;;56.5
+;;;Stoll Simon;**;;;;;;;10.0
-;1;10.0;Thürig Mario;***;5;56.5;1;10.0;0;0.0;8.75
+;5;18.75;Christ Dario (2003);;14;54.25;6;18.5;1;-0.25;10.0
-;2;28.75;Kocher Remo;**;7;56.0;3;28.5;1;-0.25;9.0
-;5;37.75;Voggensperger Lars (2001);*;4;56.75;5;37.75;0;0.0;9.0
+;7;46.75;Ris Jörn;*;10;55.25;8;46.5;1;-0.25;9.75

6a;Henzer Andreas;**;;;;;;;;;56.25
-;;;Grossen John;*;;;;;;;8.75
+;4;8.75;Hitz Florian;;13;54.5;1;10.0;-3;1.25;10.0
+;5;18.75;Studer Remo;*;9;55.5;6;18.5;1;-0.25;10.0
-;2;28.75;Bieri Christoph;***;5;56.5;2;28.75;0;0.0;8.75
-;6;37.5;Lisser Daniel;*;11;55.0;5;37.75;-1;0.25;8.75
+;9;46.25;Reimann Marco;;10;55.25;7;46.75;-2;0.5;10.0

6b;Leuthard Reto;**;;;;;;;;;56.25
o;;;Kropf Marcel;**;;;;;;;8.5
+;5;8.5;Fritz Christian;;13;54.5;1;10.0;-4;1.5;9.75
+;7;18.25;Nussbaumer Gabriel;;9;55.5;6;18.5;-1;0.25;9.75
+;5;28.0;Ris Jörn;*;10;55.25;5;28.0;0;0.0;9.75
-;5;37.75;Hauri Urs;**;8;55.75;8;37.0;3;-0.75;8.75
+;8;46.5;Krebs Clemens;*;9;55.5;6;47.0;-2;0.5;9.75

7a;Mangold Michael;**;;;;;;;;;56.0
+;;;Krebs Clemens;*;;;;;;;10.0
-;1;10.0;Odermatt Adrian (2001);*;10;55.25;4;8.75;3;-1.25;8.75
o;5;18.75;Orlik Curdin;**;2;57.25;6;18.5;1;-0.25;8.5
+;8;27.25;Nussbaumer Dominik;;15;54.0;8;27.25;0;0.0;10.0
-;7;37.25;Brun Samuel;**;8;55.75;8;37.0;1;-0.25;8.75
+;10;46.0;Imobersteg Matthias (2001);**;15;54.0;12;45.5;2;-0.5;10.0

7b;Schwenkfelder Lukas;*;;;;;;;;;56.0
+;;;Nyffeler Christoph;*;;;;;;;10.0
o;1;10.0;Gerber Manuel;*;10;55.25;4;8.75;3;-1.25;8.75
+;5;18.75;Bieli Andreas;;25;35.75;5;18.75;0;0.0;9.75
+;3;28.5;Gwerder Michael;**;4;56.75;4;28.25;1;-0.25;10.0
o;2;38.5;Schmid David;***;5;56.5;6;37.5;4;-1.0;8.5
-;6;47.0;Kocher Remo;**;7;56.0;6;47.0;0;0.0;9.0

7c;Gerber Andrj;*;;;;;;;;;56.0
-;;;Läuchli Janik;*;;;;;;;8.75
+;4;8.75;Christ Dario (2003);;14;54.25;1;10.0;-3;1.25;9.75
o;6;18.5;Thürig Mario;***;5;56.5;5;18.75;-1;0.25;8.5
+;9;27.0;Körkel Yannik;;18;52.75;8;27.25;-1;0.25;10.0
+;8;37.0;Widmer David;**;9;55.5;8;37.0;0;0.0;10.0
-;6;47.0;Rüegger Aaron;*;10;55.25;9;46.25;3;-0.75;9.0

7d;Kocher Remo;**;;;;;;;;;56.0
o;;;Bieri Christoph;***;;;;;;;8.5
+;5;8.5;Widmer David;**;9;55.5;5;8.5;0;0.0;10.0
+;6;18.5;Büchi Christian;;14;54.25;2;19.75;-4;1.25;10.0
-;3;28.5;Schmid Samuel;**;5;56.5;2;28.75;-1;0.25;8.75
+;7;37.25;Stegmüller Klemens;*;14;54.25;7;37.25;0;0.0;9.75
-;6;47.0;Schwenkfelder Lukas;*;7;56.0;6;47.0;0;0.0;9.0

8a;Waldner Patrick;**;;;;;;;;;55.75
+;;;Widmer David;**;;;;;;;10.0
o;1;10.0;Alpiger Nick;***;2;57.25;5;8.5;4;-1.5;8.5
+;6;18.5;Kehr Damian (2001);;9;55.5;6;18.5;0;0.0;10.0
-;3;28.5;Vieira Tiago;**;8;55.75;3;28.5;0;0.0;8.75
o;7;37.25;Hügli Kaj;**;8;55.75;7;37.25;0;0.0;8.5
+;11;45.75;Müller Simon;;13;54.5;10;46.0;-1;0.25;10.0

8b;Hermann Oliver;*;;;;;;;;;55.75
+;;;Hauri Urs;**;;;;;;;10.0
-;1;10.0;Brun Samuel;**;8;55.75;2;9.75;1;-0.25;8.75
+;5;18.75;Gisin Yanic;;14;54.25;6;18.5;1;-0.25;10.0
o;2;28.75;Ulrich Andreas;***;3;57.0;3;28.5;1;-0.25;8.5
+;7;37.25;Schillig Willi;**;21;45.75;13;35.75;6;-1.5;10.0
o;5;47.25;Gwerder Michael;**;4;56.75;6;47.0;1;-0.25;8.5

8c;Brun Samuel;**;;;;;;;;;55.75
+;;;Gwerder Michael;**;;;;;;;9.75
-;2;9.75;Hermann Oliver;*;8;55.75;1;10.0;-1;0.25;8.75
+;6;18.5;Von Wyl Simon;;30;27.0;6;18.5;0;0.0;10.0
o;3;28.5;Döbeli Lukas;**;4;56.75;4;28.25;1;-0.25;8.5
-;8;37.0;Mangold Michael;**;7;56.0;7;37.25;-1;0.25;8.75
+;11;45.75;Küng Marco;*;13;54.5;10;46.0;-1;0.25;10.0

8d;Arnold Kornel;*;;;;;;;;;55.75
-;;;Kohler Adrian;*;;;;;;;8.75
o;4;8.75;Hauri Urs;**;8;55.75;5;8.5;1;-0.25;8.5
+;11;17.25;von Rotz Stefan;;15;54.0;7;18.25;-4;1.0;10.0
+;8;27.25;Nyffeler Christoph;*;13;54.5;8;27.25;0;0.0;9.75
+;8;37.0;Lisser Beat;*;16;53.75;10;36.5;2;-0.5;9.75
-;7;46.75;Gerber Manuel;*;10;55.25;9;46.25;2;-0.5;9.0

8e;Hügli Kaj;**;;;;;;;;;55.75
-;;;Schillig Willi;**;;;;;;;8.75
+;4;8.75;Stoll Simon;**;25;35.75;5;8.5;1;-0.25;10.0
+;5;18.75;Grieder Nonda;;14;54.25;7;18.25;2;-0.5;10.0
o;2;28.75;Orlik Curdin;**;2;57.25;3;28.5;1;-0.25;8.5
+;7;37.25;Waldner Patrick;**;8;55.75;7;37.25;0;0.0;10.0
o;5;47.25;Kropf Marcel;**;2;57.25;5;47.25;0;0.0;8.5

8f;Hasler Luis (2002);;;;;;;;;;55.75
-;;;Dobler Florian;;;;;;;;8.75
+;4;8.75;Schwob Marco;;13;54.5;2;9.75;-2;1.0;9.75
o;6;18.5;von Arx Christian;*;8;55.75;6;18.5;0;0.0;8.5
+;9;27.0;Schwander Rafael (2001);;26;35.25;10;26.75;1;-0.25;10.0
+;8;37.0;Probst Gabriel;**;22;44.5;12;36.0;4;-1.0;10.0
o;6;47.0;Voggensperger Lars (2001);*;4;56.75;7;46.75;1;-0.25;8.75

8g;Hauri Urs;**;;;;;;;;;55.75
o;;;Hermann Oliver;*;;;;;;;8.5
+;5;8.5;Arnold Kornel;*;8;55.75;4;8.75;-1;0.25;10.0
+;6;18.5;Büchi Christian;;14;54.25;2;19.75;-4;1.25;10.0
o;3;28.5;Alpiger Nick;***;2;57.25;3;28.5;0;0.0;8.5
-;8;37.0;Leuthard Reto;**;6;56.25;5;37.75;-3;0.75;8.75
+;11;45.75;Jusufi Azret;;13;54.5;10;46.0;-1;0.25;10.0

8h;von Arx Christian;*;;;;;;;;;55.75
o;;;Döbeli Lukas;**;;;;;;;8.5
+;5;8.5;Burkhardt Roy;;15;54.0;1;10.0;-4;1.5;10.0
+;6;18.5;Hasler Luis (2002);;8;55.75;6;18.5;0;0.0;9.75
-;4;28.25;Mangold Martin;*;8;55.75;4;28.25;0;0.0;9.0
o;7;37.25;Vieira Tiago;**;8;55.75;7;37.25;0;0.0;8.5
+;11;45.75;Klossner Sven;;13;54.5;10;46.0;-1;0.25;10.0

8i;Vieira Tiago;**;;;;;;;;;55.75
+;;;Stüdeli Thomas;**;;;;;;;10.0
o;1;10.0;Müllestein Mike;***;1;58.75;2;9.75;1;-0.25;8.5
+;6;18.5;Burkhardt Roy;;15;54.0;6;18.5;0;0.0;10.0
-;3;28.5;Waldner Patrick;**;8;55.75;3;28.5;0;0.0;8.75
+;7;37.25;von Arx Christian;*;8;55.75;7;37.25;0;0.0;9.75
-;6;47.0;Brand Christian;**;9;55.5;7;46.75;1;-0.25;8.75

8j;Mangold Martin;*;;;;;;;;;55.75
+;;;Imobersteg Matthias (2001);**;;;;;;;9.75
o;2;9.75;Gwerder Michael;**;4;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Abt Robin;;13;54.5;5;18.75;-2;0.5;10.0
-;4;28.25;von Arx Christian;*;8;55.75;4;28.25;0;0.0;9.0
+;7;37.25;Gisin Yanic;;14;54.25;8;37.0;1;-0.25;10.0
o;5;47.25;Ulrich Andreas;***;3;57.0;5;47.25;0;0.0;8.5

9a;Burren Patrick;*;;;;;;;;;55.5
-;;;Lisser Daniel;*;;;;;;;8.75
+;4;8.75;Gisin Yanic;;14;54.25;1;10.0;-3;1.25;10.0
o;5;18.75;Räbmatter Patrick;***;3;57.0;7;18.25;2;-0.5;8.5
+;8;27.25;Büttler Gian;;14;54.25;7;27.5;-1;0.25;9.75
+;8;37.0;Imobersteg Matthias (2001);**;15;54.0;9;36.75;1;-0.25;10.0
o;6;47.0;Erb Roger;**;3;57.0;6;47.0;0;0.0;8.5

9b;Studer Remo;*;;;;;;;;;55.5
o;;;Stadler Kevin (2002);*;;;;;;;8.5
+;5;8.5;Schwander Rafael (2001);;26;35.25;2;9.75;-3;1.25;10.0
o;6;18.5;Henzer Andreas;**;6;56.25;5;18.75;-1;0.25;8.5
o;9;27.0;Reimann Marco;;10;55.25;9;27.0;0;0.0;8.75
+;13;35.75;Wüthrich Jonas (2003);;16;53.75;9;36.75;-4;1.0;9.75
+;12;45.5;Nussbaumer Dominik;;15;54.0;12;45.5;0;0.0;10.0

9c;Kehr Damian (2001);;;;;;;;;;55.5
+;;;Wüthrich Jonas (2003);;;;;;;;10.0
o;1;10.0;Lisser Daniel;*;11;55.0;3;9.0;2;-1.0;8.5
o;6;18.5;Waldner Patrick;**;8;55.75;6;18.5;0;0.0;8.5
+;9;27.0;Fritz Andreas;;26;35.25;10;26.75;1;-0.25;10.0
o;8;37.0;Klossner Adrian;*;9;55.5;9;36.75;1;-0.25;8.5
+;12;45.5;Gisin Yanic;;14;54.25;11;45.75;-1;0.25;10.0

9d;Nussbaumer Gabriel;;;;;;;;;;55.5
o;;;Klossner Sven;;;;;;;;8.5
+;5;8.5;Hermann Lukas (2002);;16;53.75;5;8.5;0;0.0;10.0
o;6;18.5;Leuthard Reto;**;6;56.25;7;18.25;1;-0.25;8.5
o;9;27.0;Stadler Kevin (2002);*;9;55.5;8;27.25;-1;0.25;8.5
+;14;35.5;Bieri Florian (2001);;16;53.75;14;35.5;0;0.0;10.0
+;12;45.5;Wüthrich Jonas (2003);;16;53.75;13;45.25;1;-0.25;10.0

9e;Stadler Kevin (2002);*;;;;;;;;;55.5
+;;;Studer Remo;*;;;;;;;9.75
o;2;9.75;Erb Roger;**;3;57.0;5;8.5;3;-1.25;8.5
-;7;18.25;Klossner Sven;;13;54.5;6;18.5;-1;0.25;9.0
+;8;27.25;Nussbaumer Gabriel;;9;55.5;9;27.0;1;-0.25;9.75
-;8;37.0;Grieder Nonda;;14;54.25;9;36.75;1;-0.25;8.75
+;11;45.75;Brügger Cyrill;;13;54.5;10;46.0;-1;0.25;9.75

9f;Brand Christian;**;;;;;;;;;55.5
o;;;Thürig Mario;***;;;;;;;8.5
-;5;8.5;Probst Gabriel;**;22;44.5;5;8.5;0;0.0;9.0
+;10;17.5;Meyer Markus;;22;44.5;6;18.5;-4;1.0;9.75
+;8;27.25;Klossner Sven;;13;54.5;7;27.5;-1;0.25;9.75
+;8;37.0;Vogel Remo (2001);*;16;53.75;9;36.75;1;-0.25;9.75
-;7;46.75;Vieira Tiago;**;8;55.75;6;47.0;-1;0.25;8.75

9g;Klossner Adrian;*;;;;;;;;;55.5
-;;;Odermatt Adrian (2001);*;;;;;;;8.75
+;4;8.75;Schillig Willi;**;21;45.75;4;8.75;0;0.0;9.75
+;6;18.5;Fritz Andreas;;26;35.25;7;18.25;1;-0.25;9.75
o;4;28.25;Kropf Marcel;**;2;57.25;3;28.5;-1;0.25;8.5
+;9;36.75;Kehr Damian (2001);;9;55.5;8;37.0;-1;0.25;10.0
o;7;46.75;Bieri Christoph;***;5;56.5;8;46.5;1;-0.25;8.75

9h;Schmutz Simon;*;;;;;;;;;55.5
o;;;Hasler Jimmy;*;;;;;;;8.5
+;5;8.5;Reimann Marco;;10;55.25;2;9.75;-3;1.25;10.0
o;6;18.5;Alpiger Nick;***;2;57.25;6;18.5;0;0.0;8.5
+;9;27.0;Burren Dominik (2003);;15;54.0;8;27.25;-1;0.25;10.0
o;8;37.0;Erb Roger;**;3;57.0;8;37.0;0;0.0;8.5
+;12;45.5;Hitz Florian;;13;54.5;11;45.75;-1;0.25;10.0

9i;Krebs Clemens;*;;;;;;;;;55.5
+;;;Lisser Beat;*;;;;;;;9.75
o;2;9.75;Mangold Michael;**;7;56.0;1;10.0;-1;0.25;8.75
+;6;18.5;Bieri Florian (2001);;16;53.75;7;18.25;1;-0.25;10.0
o;3;28.5;Schmid David;***;5;56.5;6;27.75;3;-0.75;8.5
+;8;37.0;Bader Thomas (2002);;15;54.0;9;36.75;1;-0.25;10.0
o;6;47.0;Leuthard Reto;**;6;56.25;8;46.5;2;-0.5;8.5

9j;Grossen John;*;;;;;;;;;55.5
-;;;Henzer Andreas;**;;;;;;;8.75
+;4;8.75;Döbeli Lukas;**;4;56.75;1;10.0;-3;1.25;10.0
o;5;18.75;Hasler Jimmy;*;29;29.75;2;19.75;-3;1.0;8.5
+;8;27.25;Bachmann Sämi (2001);;17;53.5;7;27.5;-1;0.25;9.75
+;8;37.0;Büchi Christian;;14;54.25;9;36.75;1;-0.25;10.0
o;6;47.0;Räbmatter Patrick;***;3;57.0;6;47.0;0;0.0;8.5

9k;Widmer David;**;;;;;;;;;55.5
o;;;Waldner Patrick;**;;;;;;;8.5
o;5;8.5;Kocher Remo;**;7;56.0;5;8.5;0;0.0;8.5
+;12;17.0;Wiedmer Lukas;;26;35.25;7;18.25;-5;1.25;10.0
+;9;27.0;Bieli Andreas;;25;35.75;8;27.25;-1;0.25;10.0
o;8;37.0;Gerber Andrj;*;7;56.0;8;37.0;0;0.0;8.5
+;12;45.5;Büttler Gian;;14;54.25;11;45.75;-1;0.25;10.0

10a;Gerber Manuel;*;;;;;;;;;55.25
-;;;Schmid David;***;;;;;;;8.75
+;4;8.75;Schwenkfelder Lukas;*;7;56.0;1;10.0;-3;1.25;10.0
-;5;18.75;Graber Colin;;24;37.25;2;19.75;-3;1.0;8.75
+;7;27.5;Fricker Ivo;;10;55.25;3;28.5;-4;1.0;10.0
-;6;37.5;Rüegger Aaron;*;10;55.25;6;37.5;0;0.0;8.75
-;9;46.25;Arnold Kornel;*;8;55.75;7;46.75;-2;0.5;9.0

10b;Odermatt Adrian (2001);*;;;;;;;;;55.25
-;;;Klossner Adrian;*;;;;;;;8.75
-;4;8.75;Mangold Michael;**;7;56.0;1;10.0;-3;1.25;8.75
+;10;17.5;Steger Robert;;15;54.0;7;18.25;-3;0.75;10.0
-;7;27.5;Graber Colin;;24;37.25;3;28.5;-4;1.0;8.75
+;11;36.25;Stark Urban;;10;55.25;8;37.0;-3;0.75;10.0
-;9;46.25;Schmid David;***;5;56.5;4;47.5;-5;1.25;9.0

10c;Ris Jörn;*;;;;;;;;;55.25
+;;;Vogel Remo (2001);*;;;;;;;9.75
o;2;9.75;Schmid David;***;5;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Jehle Lorenz (2003);;26;35.25;7;18.25;0;0.0;9.75
o;5;28.0;Leuthard Reto;**;6;56.25;5;28.0;0;0.0;8.5
+;10;36.5;Huber Fabian;;17;53.5;10;36.5;0;0.0;10.0
o;8;46.5;Schmid Samuel;**;5;56.5;7;46.75;-1;0.25;8.75

10d;Fricker Ivo;;;;;;;;;;55.25
+;;;Schick Janis (2003);;;;;;;;9.75
+;2;9.75;Hermann Lukas 1;;14;54.25;4;8.75;2;-1.0;9.75
-;3;19.5;Nyffeler Christoph;*;13;54.5;7;18.25;4;-1.25;9.0
o;3;28.5;Gerber Manuel;*;10;55.25;7;27.5;4;-1.0;8.5
o;8;37.0;Ulrich Marco;*;12;54.75;11;36.25;3;-0.75;8.5
+;12;45.5;von Rotz Stefan;;15;54.0;12;45.5;0;0.0;9.75

10e;Reimann Marco;;;;;;;;;;55.25
+;;;Brunner Patrick (2002);;;;;;;;9.75
o;2;9.75;Schmutz Simon;*;9;55.5;5;8.5;3;-1.25;8.5
-;7;18.25;Dobler Florian;;11;55.0;10;17.5;3;-0.75;8.75
+;9;27.0;Studer Remo;*;9;55.5;9;27.0;0;0.0;9.75
+;9;36.75;Burkhardt Roy;;15;54.0;9;36.75;0;0.0;10.0
o;7;46.75;Henzer Andreas;**;6;56.25;9;46.25;2;-0.5;8.5

10f;Stark Urban;;;;;;;;;;55.25
-;;;Jusufi Azret;;;;;;;;8.75
+;4;8.75;Bieri Florian (2001);;16;53.75;2;9.75;-2;1.0;10.0
+;5;18.75;Reinhard Pirmin (2001);;17;53.5;10;17.5;5;-1.25;9.75
o;3;28.5;Voggensperger Lars (2001);*;4;56.75;5;28.0;2;-0.5;8.5
o;8;37.0;Odermatt Adrian (2001);*;10;55.25;11;36.25;3;-0.75;8.5
+;12;45.5;Furrer Mathias;;16;53.75;14;45.0;2;-0.5;9.75

10g;Rüegger Aaron;*;;;;;;;;;55.25
+;;;Probst Gabriel;**;;;;;;;10.0
-;1;10.0;Ulrich Marco;*;12;54.75;3;9.0;2;-1.0;9.0
o;4;19.0;Ulrich Andreas;***;3;57.0;5;18.75;1;-0.25;8.5
+;7;27.5;Abt Robin;;13;54.5;7;27.5;0;0.0;10.0
-;6;37.5;Gerber Manuel;*;10;55.25;6;37.5;0;0.0;8.75
-;9;46.25;Gerber Andrj;*;7;56.0;6;47.0;-3;0.75;9.0

10h;Stüdeli Thomas;**;;;;;;;;;55.25
o;;;Vieira Tiago;**;;;;;;;8.5
+;5;8.5;Fritz Andreas;;26;35.25;2;9.75;-3;1.25;10.0
+;6;18.5;Schär Jonas;;21;45.75;11;17.25;5;-1.25;10.0
o;3;28.5;Räbmatter Patrick;***;3;57.0;4;28.25;1;-0.25;8.5
o;8;37.0;Gwerder Michael;**;4;56.75;8;37.0;0;0.0;8.5
+;12;45.5;Bruder Adrian;*;13;54.5;10;46.0;-2;0.5;9.75

11a;Scherrer Johann;**;;;;;;;;;55.0
o;;;Klausner Yanick;**;;;;;;;8.5
o;5;8.5;Voggensperger Lars (2001);*;4;56.75;3;9.0;-2;0.5;8.5
-;12;17.0;Nussbaumer Dominik;;15;54.0;6;18.5;-6;1.5;9.0
+;12;26.0;Kramer Lukas (2001);;22;44.5;8;27.25;-4;1.25;10.0
-;12;36.0;Dobler Florian;;11;55.0;11;36.25;-1;0.25;9.0
+;14;45.0;Vogel Remo (2001);*;16;53.75;13;45.25;-1;0.25;10.0

11b;Lisser Daniel;*;;;;;;;;;55.0
-;;;Burren Patrick;*;;;;;;;9.0
+;3;9.0;Kehr Damian (2001);;9;55.5;1;10.0;-2;1.0;10.0
o;4;19.0;Bieri Christoph;***;5;56.5;5;18.75;1;-0.25;8.75
+;6;27.75;Hermann Lukas (2002);;16;53.75;9;27.0;3;-0.75;10.0
-;5;37.75;Henzer Andreas;**;6;56.25;6;37.5;1;-0.25;8.75
o;8;46.5;Klausner Yanick;**;5;56.5;8;46.5;0;0.0;8.5

11c;Dobler Florian;;;;;;;;;;55.0
-;;;Hasler Luis (2002);;;;;;;;8.75
