4027-2019-06-02_Schaffhauser_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;59.75
o;;;Schnurrenberger Roman;**;;;;;;;8.5
o;5;8.5;Räbsamen Marcel;*;2;58.0;2;9.75;-3;1.25;8.5
+;11;17.0;Gerig Marcel;;12;55.5;6;18.5;-5;1.5;10.0
+;11;27.0;Fuster Arjuna (2003);;18;54.0;11;27.0;0;0.0;10.0
+;10;37.0;Riget Ivan;*;16;54.5;9;37.25;-1;0.25;9.75
+;9;46.75;Signer Andy (2003);;13;55.25;9;46.75;0;0.0;10.0

7b;Heierli Pascal;*;;;;;;;;;56.75
+;;;Schmidlin Tobias (2001);*;;;;;;;9.75
+;2;9.75;Blaser Niklas;*;9;56.25;3;9.0;1;-0.75;10.0
o;2;19.75;Vollenweider Jeremy;*;5;57.25;5;18.75;3;-1.0;8.5
o;6;28.25;Burkhalter Thomas (2003);;12;55.5;5;28.5;-1;0.25;8.5
+;11;36.75;Koller Silvan (2002);;15;54.75;12;36.5;1;-0.25;10.0
+;9;46.75;Schwyn Patrick;;12;55.5;8;47.0;-1;0.25;10.0

7c;Elmer Daniel;*;;;;;;;;;56.75
+;;;Schäppi Urs;*;;;;;;;10.0
o;1;10.0;Leuppi Samir;**;2;58.0;2;9.75;1;-0.25;8.5
+;6;18.5;Imhof Gregor (2001);;14;55.0;6;18.5;0;0.0;10.0
+;5;28.5;Buchmann Michael;;18;54.0;6;28.25;1;-0.25;9.75
-;5;38.25;Kindlimann Fabian;***;8;56.5;8;37.5;3;-0.75;8.75
+;8;47.0;Schuler Martin;;10;56.0;7;47.25;-1;0.25;9.75

7d;Ammann Rico;*;;;;;;;;;56.75
+;;;Jöhl Christian;*;;;;;;;9.75
o;2;9.75;Forrer Arnold;***;6;57.0;5;8.5;3;-1.25;8.5
+;7;18.25;Lüthi Manuel (2003);;19;53.75;7;18.25;0;0.0;10.0
+;6;28.25;Signer Andy (2003);;13;55.25;6;28.25;0;0.0;10.0
-;5;38.25;Good Marco;*;4;57.5;4;38.5;-1;0.25;8.75
+;8;47.0;Ziegler Andreas (2002);;13;55.25;9;46.75;1;-0.25;9.75

8a;Kindlimann Fabian;***;;;;;;;;;56.5
o;;;Bösch Daniel;***;;;;;;;8.5
+;5;8.5;Rüegg Roman;*;12;55.5;2;9.75;-3;1.25;10.0
-;6;18.5;Good Marco;*;4;57.5;2;19.75;-4;1.25;9.0
+;9;27.5;Büsser André;*;16;54.5;5;28.5;-4;1.0;10.0
-;8;37.5;Elmer Daniel;*;7;56.75;5;38.25;-3;0.75;9.0
+;10;46.5;Wetter Silvan;*;14;55.0;10;46.5;0;0.0;10.0

8b;Schwyn Adrian;*;;;;;;;;;56.5
+;;;Wolfer Lukas;*;;;;;;;10.0
+;1;10.0;Oberhänsli Nick (2001);;19;53.75;2;9.75;1;-0.25;10.0
o;1;20.0;Bickel Roman;*;15;54.75;5;18.75;4;-1.25;8.5
o;5;28.5;Junker Nik;;13;55.25;6;28.25;1;-0.25;8.5
+;10;37.0;Baumgartner Ramon (2002);;13;55.25;11;36.75;1;-0.25;9.75
+;9;46.75;Schmidlin Tobias (2001);*;11;55.75;8;47.0;-1;0.25;9.75

8c;Rentsch Christian;;;;;;;;;;56.5
+;;;Schiess Christian;;;;;;;;10.0
+;1;10.0;Ziegler Andreas (2002);;13;55.25;2;9.75;1;-0.25;10.0
o;1;20.0;Baumann Rico;*;11;55.75;5;18.75;4;-1.25;8.5
o;5;28.5;Schnurrenberger Roman;**;6;57.0;6;28.25;1;-0.25;8.5
+;10;37.0;Roth Sämi;;20;53.5;12;36.5;2;-0.5;9.75
+;9;46.75;Jöhl Christian;*;10;56.0;7;47.25;-2;0.5;9.75

9a;Blaser Niklas;*;;;;;;;;;56.25
-;;;Leuppi Karim;*;;;;;;;9.0
o;3;9.0;Heierli Pascal;*;7;56.75;2;9.75;-1;0.75;8.5
+;9;17.5;Schrepfer Sven (2003);;19;53.75;11;17.0;2;-0.5;10.0
-;9;27.5;Hari Michi;;16;54.5;10;27.25;1;-0.25;8.75
+;13;36.25;Martin Dominik;;19;53.75;12;36.5;-1;0.25;10.0
+;11;46.25;Gwerder Andreas;**;17;54.25;13;45.75;2;-0.5;10.0

9b;Burkhard Patrick;*;;;;;;;;;56.25
-;;;Schudel Simon;*;;;;;;;9.0
+;3;9.0;Koller Silvan (2002);;15;54.75;2;9.75;-1;0.75;10.0
+;4;19.0;Bürgler Patrick;;10;56.0;1;20.0;-3;1.0;10.0
o;3;29.0;Vollenweider Jeremy;*;5;57.25;4;28.75;1;-0.25;8.5
o;8;37.5;Oettli Silvio;*;6;57.0;9;37.25;1;-0.25;8.75
+;11;46.25;Büsser André;*;16;54.5;12;46.0;1;-0.25;10.0

10a;Bürgler Patrick;;;;;;;;;;56.0
+;;;Rutz Cédric;;;;;;;;10.0
+;1;10.0;Vetterli Sven (2003);;23;52.5;1;10.0;0;0.0;10.0
o;1;20.0;Burkhard Patrick;*;9;56.25;4;19.0;3;-1.0;8.5
-;5;28.5;Badat Thomas;;18;54.0;6;28.25;1;-0.25;8.75
+;9;37.25;Burch Dean (2001);;18;54.0;10;37.0;1;-0.25;9.75
-;8;47.0;Kolb Pirmin (2001);;11;55.75;9;46.75;1;-0.25;9.0

10b;Jöhl Christian;*;;;;;;;;;56.0
o;;;Ammann Rico;*;;;;;;;8.5
+;5;8.5;Baumgartner Ramon (2002);;13;55.25;1;10.0;-4;1.5;10.0
+;6;18.5;Lieberherr David (2003);;19;53.75;6;18.5;0;0.0;10.0
+;5;28.5;Graf Nicola (2003);;11;55.75;5;28.5;0;0.0;10.0
o;4;38.5;Vollenweider Jeremy;*;5;57.25;3;38.75;-1;0.25;8.75
o;7;47.25;Rentsch Christian;;8;56.5;9;46.75;2;-0.5;8.75

10c;Schuler Martin;;;;;;;;;;56.0
-;;;Kolb Pirmin (2001);;;;;;;;9.0
+;3;9.0;Keller Elija (2002);;22;52.75;5;8.5;2;-0.5;10.0
+;4;19.0;Rüegg Roman;*;12;55.5;7;18.25;3;-0.75;10.0
o;3;29.0;Good Marco;*;4;57.5;4;28.75;1;-0.25;8.5
+;8;37.5;Bühler Hannes;*;13;55.25;10;37.0;2;-0.5;9.75
o;7;47.25;Elmer Daniel;*;7;56.75;8;47.0;1;-0.25;8.75

11a;Kolb Pirmin (2001);;;;;;;;;;55.75
-;;;Schuler Martin;;;;;;;;9.0
+;3;9.0;Martin Dominik;;19;53.75;5;8.5;2;-0.5;10.0
-;4;19.0;Gwerder Andreas;**;17;54.25;5;18.75;1;-0.25;9.0
+;7;28.0;Leuppi Karim;*;17;54.25;10;27.25;3;-0.75;9.75
-;7;37.75;Büsser André;*;16;54.5;10;37.0;3;-0.75;9.0
-;9;46.75;Bürgler Patrick;;10;56.0;8;47.0;-1;0.25;9.0

11b;Rüegg Fabian;*;;;;;;;;;55.75
o;;;Arztmann Beda;*;;;;;;;8.5
+;5;8.5;Hauser Simon;;18;54.0;2;9.75;-3;1.25;9.75
+;7;18.25;Bucher Roman (2003);;17;54.25;6;18.5;-1;0.25;10.0
-;6;28.25;Gwerder Andreas;**;17;54.25;8;27.75;2;-0.5;9.0
+;9;37.25;Christen Jérôme (2002);;18;54.0;11;36.75;2;-0.5;10.0
o;7;47.25;Leuppi Samir;**;2;58.0;3;48.25;-4;1.0;8.5

11c;Lehmann Philipp;*;;;;;;;;;55.75
+;;;Oettli Silvio;*;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;1;59.75;2;9.75;1;-0.25;8.5
+;6;18.5;Götti Samuel;;13;55.25;6;18.5;0;0.0;10.0
-;5;28.5;Räbsamen Marcel;*;2;58.0;2;29.5;-3;1.0;9.0
o;8;37.5;Gerig Marcel;;12;55.5;10;37.0;2;-0.5;8.5
+;12;46.0;Aerne Christian;*;14;55.0;10;46.5;-2;0.5;9.75

11d;Baumann Rico;*;;;;;;;;;55.75
-;;;Riget Ivan;*;;;;;;;8.75
+;4;8.75;Galli Cedric (2001);;14;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Rentsch Christian;;8;56.5;1;20.0;-4;1.25;10.0
o;4;28.75;Leuppi Samir;**;2;58.0;6;28.25;2;-0.5;8.5
o;9;37.25;Schäppi Urs;*;11;55.75;9;37.25;0;0.0;8.5
+;13;45.75;Buchmann Michael;;18;54.0;14;45.5;1;-0.25;10.0

11e;Schäppi Urs;*;;;;;;;;;55.75
o;;;Elmer Daniel;*;;;;;;;8.5
+;5;8.5;Schmidlin Tobias (2001);*;11;55.75;5;8.5;0;0.0;10.0
-;6;18.5;Hari Michi;;16;54.5;6;18.5;0;0.0;8.75
+;10;27.25;Kurmann Patrick (2003);;13;55.25;11;27.0;1;-0.25;10.0
+;9;37.25;Baumann Rico;*;11;55.75;9;37.25;0;0.0;9.75
-;8;47.0;Ott Damian;**;15;54.75;12;46.0;4;-1.0;8.75

11f;Geisser Lars;**;;;;;;;;;55.75
+;;;Dändliker Shane;**;;;;;;;9.75
o;2;9.75;Arztmann Beda;*;3;57.75;2;9.75;0;0.0;8.5
-;7;18.25;Kolb This (2003);;13;55.25;5;18.75;-2;0.5;9.0
+;10;27.25;Hauser Simon;;18;54.0;6;28.25;-4;1.0;10.0
-;9;37.25;Akeret Benno;*;12;55.5;5;38.25;-4;1.0;8.75
+;12;46.0;Hari Michi;;16;54.5;12;46.0;0;0.0;9.75

11g;Zbinden Marc;*;;;;;;;;;55.75
-;;;Büsser André;*;;;;;;;8.75
+;4;8.75;Breitenmoser Simon;;18;54.0;2;9.75;-2;1.0;9.75
-;6;18.5;Dändliker Shane;**;6;57.0;6;18.5;0;0.0;8.75
+;10;27.25;Stadelmann Patrick;;13;55.25;11;27.0;1;-0.25;10.0
+;9;37.25;Badat Thomas;;18;54.0;10;37.0;1;-0.25;10.0
o;7;47.25;Forrer Arnold;***;6;57.0;8;47.0;1;-0.25;8.5

11h;Schmidlin Tobias (2001);*;;;;;;;;;55.75
o;;;Heierli Pascal;*;;;;;;;8.5
o;5;8.5;Schäppi Urs;*;11;55.75;5;8.5;0;0.0;8.5
+;11;17.0;Müller Christian (2001);;19;53.75;7;18.25;-4;1.25;10.0
+;11;27.0;Dünner Zyan (2001);;23;52.5;11;27.0;0;0.0;10.0
+;10;37.0;Wolfer Lukas;*;13;55.25;10;37.0;0;0.0;10.0
o;8;47.0;Schwyn Adrian;*;8;56.5;9;46.75;1;-0.25;8.75

