4027-2019-06-02_Schaffhauser_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;59.75
+;6;28.25;Ott Damian;**;15;54.75;9;27.5;3;-0.75;9.75
o;6;38.0;Arztmann Beda;*;3;57.75;6;38.0;0;0.0;8.5
o;10;46.5;Lehmann Philipp;*;11;55.75;12;46.0;2;-0.5;8.5

14b;Galli Cedric (2001);;;;;;;;;;55.0
+;;;Lozza Roman;;;;;;;;9.75
o;2;9.75;Baumann Rico;*;11;55.75;4;8.75;2;-1.0;8.5
o;7;18.25;Breitenmoser Simon;;18;54.0;7;18.25;0;0.0;8.75
o;11;27.0;Götti Samuel;;13;55.25;11;27.0;0;0.0;8.5
+;16;35.5;Schiess Christian;;18;54.0;16;35.5;0;0.0;9.75
+;15;45.25;Rüegger Remo;;19;53.75;15;45.25;0;0.0;9.75

14c;Wetter Silvan;*;;;;;;;;;55.0
-;;;Akeret Benno;*;;;;;;;8.75
+;4;8.75;Götti Samuel;;13;55.25;2;9.75;-2;1.0;10.0
-;5;18.75;Hugelshofer Lars (2001);*;12;55.5;6;18.5;1;-0.25;8.75
-;9;27.5;Kolb This (2003);;13;55.25;8;27.75;-1;0.25;9.0
+;12;36.5;Müller Christian (2001);;19;53.75;11;36.75;-1;0.25;10.0
o;10;46.5;Kindlimann Fabian;***;8;56.5;10;46.5;0;0.0;8.5

14d;Steiner Lukas (2002);;;;;;;;;;55.0
+;;;Müller Fabian (2001);;;;;;;;9.75
o;2;9.75;Hugelshofer Lars (2001);*;12;55.5;5;8.5;3;-1.25;8.5
+;7;18.25;Amstutz Janic (2002);;23;52.5;7;18.25;0;0.0;9.75
o;7;28.0;Schwyn Patrick;;12;55.5;5;28.5;-2;0.5;8.5
o;12;36.5;Kolb This (2003);;13;55.25;11;36.75;-1;0.25;8.5
+;16;45.0;Müller Christian (2001);;19;53.75;15;45.25;-1;0.25;10.0

14e;Lozza Roman;;;;;;;;;;55.0
o;;;Galli Cedric (2001);;;;;;;;8.5
+;5;8.5;Plüer Fabian (2003);;21;53.0;5;8.5;0;0.0;10.0
o;6;18.5;Keller Andreas;*;12;55.5;7;18.25;1;-0.25;8.5
+;11;27.0;Rüegg Patrick;;13;55.25;11;27.0;0;0.0;9.75
+;11;36.75;Bickel Roman;*;15;54.75;9;37.25;-2;0.5;9.75
o;10;46.5;Oettli Silvio;*;6;57.0;8;47.0;-2;0.5;8.5

14f;Imhof Gregor (2001);;;;;;;;;;55.0
o;;;Signer Andy (2003);;;;;;;;8.5
+;5;8.5;Schiess Christian;;18;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Elmer Daniel;*;7;56.75;6;18.5;0;0.0;8.5
+;11;27.0;Lüthi Manuel (2003);;19;53.75;12;26.75;1;-0.25;9.75
o;11;36.75;Ott Damian;**;15;54.75;14;36.0;3;-0.75;8.5
+;15;45.25;Bleiker Daniel;;22;52.75;18;44.25;3;-1.0;9.75

15a;Ott Damian;**;;;;;;;;;54.75
-;;;Vollenweider Jeremy;*;;;;;;;8.75
-;4;8.75;Burkhalter Thomas (2003);;12;55.5;2;9.75;-2;1.0;9.0
+;8;17.75;Rüegg Patrick;;13;55.25;6;18.5;-2;0.75;9.75
o;9;27.5;Aerne Christian;*;14;55.0;6;28.25;-3;0.75;8.5
+;14;36.0;Imhof Gregor (2001);;14;55.0;11;36.75;-3;0.75;10.0
-;12;46.0;Schäppi Urs;*;11;55.75;8;47.0;-4;1.0;8.75

15b;Koller Silvan (2002);;;;;;;;;;54.75
+;;;Plüer Fabian (2003);;;;;;;;9.75
o;2;9.75;Burkhard Patrick;*;9;56.25;3;9.0;1;-0.75;8.5
o;7;18.25;Steiner Joel;;18;54.0;7;18.25;0;0.0;8.5
+;12;26.75;Bucher Roman (2003);;17;54.25;11;27.0;-1;0.25;9.75
o;12;36.5;Heierli Pascal;*;7;56.75;11;36.75;-1;0.25;8.5
+;16;45.0;Burch Dean (2001);;18;54.0;14;45.5;-2;0.5;9.75

15c;Krähenbühl Lukas;*;;;;;;;;;54.75
-;;;Bickel Roman;*;;;;;;;8.75
-;4;8.75;Hari Michi;;16;54.5;2;9.75;-2;1.0;8.75
+;9;17.5;Furrer Matthias;;19;53.75;7;18.25;-2;0.75;9.75
+;10;27.25;Keller Andreas;*;12;55.5;6;28.25;-4;1.0;9.75
-;10;37.0;Gwerder Andreas;**;17;54.25;11;36.75;1;-0.25;9.0
-;12;46.0;Riget Ivan;*;16;54.5;13;45.75;1;-0.25;8.75

15d;Bickel Roman;*;;;;;;;;;54.75
-;;;Krähenbühl Lukas;*;;;;;;;8.75
+;4;8.75;Steiner Joel;;18;54.0;2;9.75;-2;1.0;10.0
+;5;18.75;Schwyn Adrian;*;8;56.5;1;20.0;-4;1.25;10.0
o;4;28.75;Bösch Daniel;***;1;59.75;1;29.75;-3;1.0;8.5
o;9;37.25;Lozza Roman;;14;55.0;11;36.75;2;-0.5;8.75
-;12;46.0;Hobi Ignaz;;16;54.5;13;45.75;1;-0.25;8.75

16a;Hari Michi;;;;;;;;;;54.5
+;;;Martin Dominik;;;;;;;;9.75
-;2;9.75;Krähenbühl Lukas;*;15;54.75;4;8.75;2;-1.0;8.75
-;6;18.5;Schäppi Urs;*;11;55.75;6;18.5;0;0.0;8.75
-;10;27.25;Blaser Niklas;*;9;56.25;9;27.5;-1;0.25;8.75
+;14;36.0;Steiner Joel;;18;54.0;12;36.5;-2;0.5;10.0
o;12;46.0;Geisser Lars;**;11;55.75;12;46.0;0;0.0;8.5

16b;Büsser André;*;;;;;;;;;54.5
-;;;Zbinden Marc;*;;;;;;;8.75
+;4;8.75;Odermatt Michi;;27;35.75;2;9.75;-2;1.0;9.75
+;6;18.5;Kiener Raphael;;17;54.25;7;18.25;1;-0.25;10.0
o;5;28.5;Kindlimann Fabian;***;8;56.5;9;27.5;4;-1.0;8.5
-;10;37.0;Kolb Pirmin (2001);;11;55.75;7;37.75;-3;0.75;9.0
o;12;46.0;Burkhard Patrick;*;9;56.25;11;46.25;-1;0.25;8.5

16c;Riget Ivan;*;;;;;;;;;54.5
-;;;Baumann Rico;*;;;;;;;8.75
-;4;8.75;Roth Michael;;12;55.5;2;9.75;-2;1.0;8.75
+;9;17.5;Stadelmann Patrick;;13;55.25;6;18.5;-3;1.0;9.75
+;10;27.25;Hobi Ignaz;;16;54.5;10;27.25;0;0.0;10.0
o;9;37.25;Dumelin David;**;7;56.75;10;37.0;1;-0.25;8.5
-;13;45.75;Krähenbühl Lukas;*;15;54.75;12;46.0;-1;0.25;8.75

16d;Hobi Ignaz;;;;;;;;;;54.5
-;;;Kolb This (2003);;;;;;;;8.75
+;4;8.75;Siegenthaler Joël (2003);;25;51.5;4;8.75;0;0.0;10.0
o;5;18.75;Aerne Christian;*;14;55.0;6;18.5;1;-0.25;8.5
o;10;27.25;Riget Ivan;*;16;54.5;10;27.25;0;0.0;8.5
+;15;35.75;Plüer Fabian (2003);;21;53.0;14;36.0;-1;0.25;10.0
-;13;45.75;Bickel Roman;*;15;54.75;12;46.0;-1;0.25;8.75

17a;Kiener Raphael;;;;;;;;;;54.25
+;;;Keller Elija (2002);;;;;;;;9.75
o;2;9.75;Kolb This (2003);;13;55.25;3;9.0;1;-0.75;8.5
o;7;18.25;Büsser André;*;16;54.5;6;18.5;-1;0.25;8.5
+;12;26.75;Tremp Ruedi (2003);;20;53.5;12;26.75;0;0.0;10.0
o;11;36.75;Rüegg Roman;*;12;55.5;10;37.0;-1;0.25;8.5
-;15;45.25;Steiner Joel;;18;54.0;16;45.0;1;-0.25;9.0

17b;Alder Armin;*;;;;;;;;;54.25
+;;;Aerne Christian;*;;;;;;;10.0
o;1;10.0;Schnurrenberger Roman;**;6;57.0;2;9.75;1;-0.25;8.5
o;6;18.5;Akeret Benno;*;12;55.5;6;18.5;0;0.0;8.5
+;11;27.0;Vetterli Sven (2003);;23;52.5;11;27.0;0;0.0;10.0
-;10;37.0;Buchmann Michael;;18;54.0;11;36.75;1;-0.25;8.75
o;13;45.75;Keller Andreas;*;12;55.5;14;45.5;1;-0.25;8.5

17c;Bucher Roman (2003);;;;;;;;;;54.25
o;;;Burch Dean (2001);;;;;;;;8.5
+;5;8.5;Dünner Zyan (2001);;23;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Rüegg Fabian;*;11;55.75;7;18.25;1;-0.25;8.5
o;11;27.0;Koller Silvan (2002);;15;54.75;12;26.75;1;-0.25;8.5
+;16;35.5;Tremp Ruedi (2003);;20;53.5;17;35.25;1;-0.25;10.0
o;14;45.5;Hugelshofer Lars (2001);*;12;55.5;14;45.5;0;0.0;8.5
+;18;54.0;Breitenmoser Simon;;18;54.0;18;54.0;0;0.0;0.25

17d;Gwerder Andreas;**;;;;;;;;;54.25
-;;;Bühler Hannes;*;;;;;;;8.75
+;4;8.75;Burch Dean (2001);;18;54.0;1;10.0;-3;1.25;10.0
-;5;18.75;Kolb Pirmin (2001);;11;55.75;4;19.0;-1;0.25;9.0
-;8;27.75;Rüegg Fabian;*;11;55.75;6;28.25;-2;0.5;9.0
-;11;36.75;Krähenbühl Lukas;*;15;54.75;10;37.0;-1;0.25;9.0
o;13;45.75;Blaser Niklas;*;9;56.25;11;46.25;-2;0.5;8.5

17e;Leuppi Karim;*;;;;;;;;;54.25
-;;;Blaser Niklas;*;;;;;;;9.0
o;3;9.0;Good Marco;*;4;57.5;2;9.75;-1;0.75;8.5
+;9;17.5;Tremp Ruedi (2003);;20;53.5;7;18.25;-2;0.75;9.75
o;10;27.25;Kolb Pirmin (2001);;11;55.75;7;28.0;-3;0.75;8.5
+;15;35.75;Bleiker Daniel;;22;52.75;15;35.75;0;0.0;10.0
o;13;45.75;Bühler Hannes;*;13;55.25;14;45.5;1;-0.25;8.5

18a;Buchmann Michael;;;;;;;;;;54.0
+;;;Gerig Marcel;;;;;;;;10.0
o;1;10.0;Bühler Hannes;*;13;55.25;4;8.75;3;-1.25;8.5
+;6;18.5;Baumgartner Ramon (2002);;13;55.25;6;18.5;0;0.0;9.75
o;6;28.25;Elmer Daniel;*;7;56.75;5;28.5;-1;0.25;8.5
-;11;36.75;Alder Armin;*;17;54.25;10;37.0;-1;0.25;8.75
o;14;45.5;Baumann Rico;*;11;55.75;13;45.75;-1;0.25;8.5

18b;Schiess Christian;;;;;;;;;;54.0
o;;;Rentsch Christian;;;;;;;;8.5
o;5;8.5;Imhof Gregor (2001);;14;55.0;5;8.5;0;0.0;8.5
o;11;17.0;Dünner Zyan (2001);;23;52.5;11;17.0;0;0.0;8.5
+;16;25.5;Siegenthaler Joël (2003);;25;51.5;15;25.75;-1;0.25;10.0
o;16;35.5;Galli Cedric (2001);;14;55.0;16;35.5;0;0.0;8.5
+;19;44.0;Vetterli Sven (2003);;23;52.5;19;44.0;0;0.0;10.0

18c;Fuster Arjuna (2003);;;;;;;;;;54.0
o;;;Vetterli Sven (2003);;;;;;;;8.5
+;5;8.5;Rutz Cédric;;19;53.75;5;8.5;0;0.0;10.0
o;6;18.5;Burch Dean (2001);;18;54.0;6;18.5;0;0.0;8.5
o;11;27.0;Dumelin David;**;7;56.75;11;27.0;0;0.0;8.5
o;16;35.5;Kurmann Patrick (2003);;13;55.25;16;35.5;0;0.0;8.5
+;19;44.0;Dünner Zyan (2001);;23;52.5;19;44.0;0;0.0;10.0

18d;Badat Thomas;;;;;;;;;;54.0
+;;;Christen Jérôme (2002);;;;;;;;10.0
o;1;10.0;Oettli Silvio;*;6;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Vetterli Sven (2003);;23;52.5;6;18.5;0;0.0;9.75
-;6;28.25;Bürgler Patrick;;10;56.0;5;28.5;-1;0.25;8.75
o;10;37.0;Zbinden Marc;*;11;55.75;9;37.25;-1;0.25;8.5
o;14;45.5;Wolfer Lukas;*;13;55.25;14;45.5;0;0.0;8.5

18e;Steiner Joel;;;;;;;;;;54.0
+;;;Müller Christian (2001);;;;;;;;9.75
o;2;9.75;Bickel Roman;*;15;54.75;4;8.75;2;-1.0;8.5
+;7;18.25;Koller Silvan (2002);;15;54.75;7;18.25;0;0.0;9.75
o;7;28.0;Straub Robin;*;6;57.0;9;27.5;2;-0.5;8.5
o;12;36.5;Hari Michi;;16;54.5;14;36.0;2;-0.5;8.5
-;16;45.0;Kiener Raphael;;17;54.25;15;45.25;-1;0.25;9.0

18f;Burch Dean (2001);;;;;;;;;;54.0
+;;;Bucher Roman (2003);;;;;;;;10.0
o;1;10.0;Gwerder Andreas;**;17;54.25;4;8.75;3;-1.25;8.5
+;6;18.5;Fuster Arjuna (2003);;18;54.0;6;18.5;0;0.0;10.0
o;5;28.5;Schudel Simon;*;5;57.25;3;29.0;-2;0.5;8.5
o;10;37.0;Bürgler Patrick;;10;56.0;9;37.25;-1;0.25;8.5
o;14;45.5;Koller Silvan (2002);;15;54.75;16;45.0;2;-0.5;8.5

18g;Breitenmoser Simon;;;;;;;;;;54.0
+;;;Rüegg Patrick;;;;;;;;9.75
o;2;9.75;Zbinden Marc;*;11;55.75;4;8.75;2;-1.0;8.5
+;7;18.25;Galli Cedric (2001);;14;55.0;7;18.25;0;0.0;9.75
-;7;28.0;Odermatt Michi;;27;35.75;11;27.0;4;-1.0;8.75
-;11;36.75;Keller Andreas;*;12;55.5;11;36.75;0;0.0;8.75
o;14;45.5;Bucher Roman (2003);;17;54.25;14;45.5;0;0.0;8.5

18h;Hauser Simon;;;;;;;;;;54.0
+;;;Kurmann Patrick (2003);;;;;;;;9.75
o;2;9.75;Rüegg Fabian;*;11;55.75;5;8.5;3;-1.25;8.5
+;7;18.25;Oberhänsli Nick (2001);;19;53.75;7;18.25;0;0.0;10.0
o;6;28.25;Geisser Lars;**;11;55.75;10;27.25;4;-1.0;8.5
o;11;36.75;Ziegler Andreas (2002);;13;55.25;11;36.75;0;0.0;8.5
-;15;45.25;Martin Dominik;;19;53.75;16;45.0;1;-0.25;8.75

18i;Christen Jérôme (2002);;;;;;;;;;54.0
o;;;Badat Thomas;;;;;;;;8.5
+;5;8.5;Kurmann Patrick (2003);;13;55.25;5;8.5;0;0.0;9.75
o;7;18.25;Signer Andy (2003);;13;55.25;7;18.25;0;0.0;8.5
+;12;26.75;Furrer Matthias;;19;53.75;12;26.75;0;0.0;10.0
o;11;36.75;Rüegg Fabian;*;11;55.75;9;37.25;-2;0.5;8.5
o;15;45.25;Roth Michael;;12;55.5;14;45.5;-1;0.25;8.75

19a;Schrepfer Sven (2003);;;;;;;;;;53.75
o;;;Amstutz Janic (2002);;;;;;;;8.5
o;5;8.5;Akeret Benno;*;12;55.5;4;8.75;-1;0.25;8.5
o;11;17.0;Blaser Niklas;*;9;56.25;9;17.5;-2;0.5;8.5
+;16;25.5;Mock Marco;;21;53.0;15;25.75;-1;0.25;10.0
+;16;35.5;Müller Fabian (2001);;23;52.5;16;35.5;0;0.0;9.75
o;15;45.25;Graf Nicola (2003);;11;55.75;13;45.75;-2;0.5;8.5

19b;Martin Dominik;;;;;;;;;;53.75
o;;;Hari Michi;;;;;;;;8.5
o;5;8.5;Kolb Pirmin (2001);;11;55.75;3;9.0;-2;0.5;8.5
+;11;17.0;Baumann Nico (2002);;26;51.25;10;17.25;-1;0.25;9.75
+;12;26.75;Oberhänsli Nick (2001);;19;53.75;12;26.75;0;0.0;9.75
o;12;36.5;Blaser Niklas;*;9;56.25;13;36.25;1;-0.25;8.5
-;16;45.0;Hauser Simon;;18;54.0;15;45.25;-1;0.25;8.75

19c;Knup Stephan;;;;;;;;;;53.75
o;;;Schnyder Christian;;;;;;;;8.5
o;5;8.5;Zumbach Michael;;19;53.75;5;8.5;0;0.0;8.5
+;11;17.0;Düring Dominik (2003);;24;52.25;11;17.0;0;0.0;9.75
o;12;26.75;Baumgartner Ramon (2002);;13;55.25;11;27.0;-1;0.25;8.5
o;17;35.25;Stadelmann Patrick;;13;55.25;16;35.5;-1;0.25;8.5
+;20;43.75;Amstutz Janic (2002);;23;52.5;19;44.0;-1;0.25;10.0

19d;Sieber Marc;;;;;;;;;;53.75
o;;;Baumgartner Ramon (2002);;;;;;;;8.5
+;5;8.5;Düring Dominik (2003);;24;52.25;5;8.5;0;0.0;10.0
o;6;18.5;Ziegler Andreas (2002);;13;55.25;7;18.25;1;-0.25;8.5
o;11;27.0;Rüegg Roman;*;12;55.5;11;27.0;0;0.0;8.5
+;16;35.5;Oberhänsli Nick (2001);;19;53.75;17;35.25;1;-0.25;9.75
o;15;45.25;Stadelmann Patrick;;13;55.25;15;45.25;0;0.0;8.5

19e;Rutz Cédric;;;;;;;;;;53.75
o;;;Bürgler Patrick;;;;;;;;8.5
o;5;8.5;Fuster Arjuna (2003);;18;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Frei Felix (2003);;23;52.5;11;17.0;0;0.0;9.75
-;12;26.75;Käppeli Remo (2001);;19;53.75;12;26.75;0;0.0;8.75
o;16;35.5;Furrer Matthias;;19;53.75;17;35.25;1;-0.25;8.5
+;19;44.0;Düring Dominik (2003);;24;52.25;20;43.75;1;-0.25;9.75

19f;Zumbach Michael;;;;;;;;;;53.75
o;;;Junker Nik;;;;;;;;8.5
+;5;8.5;Knup Stephan;;19;53.75;5;8.5;0;0.0;10.0
o;6;18.5;Burkhalter Thomas (2003);;12;55.5;6;18.5;0;0.0;8.5
o;11;27.0;Hugelshofer Lars (2001);*;12;55.5;10;27.25;-1;0.25;8.5
o;16;35.5;Rüegg Patrick;;13;55.25;16;35.5;0;0.0;8.5
+;19;44.0;Müller Fabian (2001);;23;52.5;19;44.0;0;0.0;9.75

19g;Schnyder Christian;;;;;;;;;;53.75
+;;;Knup Stephan;;;;;;;;9.75
o;2;9.75;Schudel Simon;*;5;57.25;3;9.0;1;-0.75;8.5
o;7;18.25;Roth Sämi;;20;53.5;7;18.25;0;0.0;8.5
o;12;26.75;Gerig Marcel;;12;55.5;11;27.0;-1;0.25;8.5
+;17;35.25;Vetterli Sven (2003);;23;52.5;16;35.5;-1;0.25;10.0
o;15;45.25;Signer Andy (2003);;13;55.25;9;46.75;-6;1.5;8.5

19h;Oberhänsli Nick (2001);;;;;;;;;;53.75
+;;;Frei Felix (2003);;;;;;;;9.75
o;2;9.75;Schwyn Adrian;*;8;56.5;1;10.0;-1;0.25;8.5
o;7;18.25;Hauser Simon;;18;54.0;7;18.25;0;0.0;8.5
o;12;26.75;Martin Dominik;;19;53.75;12;26.75;0;0.0;8.5
o;17;35.25;Sieber Marc;;19;53.75;16;35.5;-1;0.25;8.5
+;20;43.75;Baumann Nico (2002);;26;51.25;22;42.75;2;-1.0;10.0

19i;Furrer Matthias;;;;;;;;;;53.75
o;;;Roth Michael;;;;;;;;8.5
+;5;8.5;Schallberger Clint;;28;27.0;5;8.5;0;0.0;9.75
o;7;18.25;Krähenbühl Lukas;*;15;54.75;9;17.5;2;-0.75;8.5
o;12;26.75;Christen Jérôme (2002);;18;54.0;12;26.75;0;0.0;8.5
+;17;35.25;Rutz Cédric;;19;53.75;16;35.5;-1;0.25;10.0
o;15;45.25;Baumgartner Ramon (2002);;13;55.25;15;45.25;0;0.0;8.5

19j;Lieberherr David (2003);;;;;;;;;;53.75
+;;;Dünner Zyan (2001);;;;;;;;9.75
o;2;9.75;Schwyn Patrick;;12;55.5;1;10.0;-1;0.25;8.75
o;6;18.5;Jöhl Christian;*;10;56.0;6;18.5;0;0.0;8.5
o;11;27.0;Wolfer Lukas;*;13;55.25;11;27.0;0;0.0;8.5
o;16;35.5;Götti Samuel;;13;55.25;11;36.75;-5;1.25;8.5
+;19;44.0;Plüer Fabian (2003);;21;53.0;17;44.5;-2;0.5;9.75

19k;Lüthi Manuel (2003);;;;;;;;;;53.75
o;;;Götti Samuel;;;;;;;;8.5
+;5;8.5;Baumann Nico (2002);;26;51.25;4;8.75;-1;0.25;9.75
o;7;18.25;Ammann Rico;*;7;56.75;7;18.25;0;0.0;8.5
o;12;26.75;Imhof Gregor (2001);;14;55.0;11;27.0;-1;0.25;8.5
-;17;35.25;Amstutz Janic (2002);;23;52.5;17;35.25;0;0.0;8.75
+;19;44.0;Keller Elija (2002);;22;52.75;18;44.25;-1;0.25;9.75

19l;Müller Christian (2001);;;;;;;;;;53.75
o;;;Steiner Joel;;;;;;;;8.5
+;5;8.5;Käppeli Remo (2001);;19;53.75;5;8.5;0;0.0;9.75
o;7;18.25;Schmidlin Tobias (2001);*;11;55.75;11;17.0;4;-1.25;8.5
+;12;26.75;Amstutz Janic (2002);;23;52.5;12;26.75;0;0.0;10.0
o;11;36.75;Wetter Silvan;*;14;55.0;12;36.5;1;-0.25;8.5
o;15;45.25;Steiner Lukas (2002);;14;55.0;16;45.0;1;-0.25;8.5

19m;Rüegger Remo;;;;;;;;;;53.75
o;;;Ziegler Andreas (2002);;;;;;;;8.5
o;5;8.5;Gerig Marcel;;12;55.5;5;8.5;0;0.0;8.5
o;11;17.0;Kurmann Patrick (2003);;13;55.25;11;17.0;0;0.0;8.5
+;16;25.5;Frei Felix (2003);;23;52.5;16;25.5;0;0.0;9.75
+;17;35.25;Düring Dominik (2003);;24;52.25;17;35.25;0;0.0;10.0
o;15;45.25;Galli Cedric (2001);;14;55.0;15;45.25;0;0.0;8.5

19n;Käppeli Remo (2001);;;;;;;;;;53.75
o;;;Roth Sämi;;;;;;;;8.5
o;5;8.5;Müller Christian (2001);;19;53.75;5;8.5;0;0.0;8.5
+;11;17.0;Müller Fabian (2001);;23;52.5;11;17.0;0;0.0;9.75
-;12;26.75;Rutz Cédric;;19;53.75;12;26.75;0;0.0;8.75
+;16;35.5;Dünner Zyan (2001);;23;52.5;16;35.5;0;0.0;9.75
o;15;45.25;Kurmann Patrick (2003);;13;55.25;15;45.25;0;0.0;8.5

20a;Roth Sämi;;;;;;;;;;53.5
+;;;Käppeli Remo (2001);;;;;;;;9.75
o;2;9.75;Wolfer Lukas;*;13;55.25;5;8.5;3;-1.25;8.5
+;7;18.25;Schnyder Christian;;19;53.75;7;18.25;0;0.0;9.75
o;7;28.0;Dändliker Shane;**;6;57.0;10;27.25;3;-0.75;8.5
o;12;36.5;Rentsch Christian;;8;56.5;10;37.0;-2;0.5;8.5
o;16;45.0;Rüegg Patrick;;13;55.25;15;45.25;-1;0.25;8.5

20b;Tremp Ruedi (2003);;;;;;;;;;53.5
o;;;Graf Nicola (2003);;;;;;;;8.5
+;5;8.5;Müller Fabian (2001);;23;52.5;5;8.5;0;0.0;9.75
o;7;18.25;Leuppi Karim;*;17;54.25;9;17.5;2;-0.75;8.5
o;12;26.75;Kiener Raphael;;17;54.25;12;26.75;0;0.0;8.5
o;17;35.25;Bucher Roman (2003);;17;54.25;16;35.5;-1;0.25;8.5
+;20;43.75;Frei Felix (2003);;23;52.5;20;43.75;0;0.0;9.75

21a;Mock Marco;;;;;;;;;;53.0
o;;;Odermatt Michi;;;;;;;;8.75
o;4;8.75;Rüegg Patrick;;13;55.25;4;8.75;0;0.0;8.5
o;10;17.25;Schallberger Clint;;28;27.0;11;17.0;1;-0.25;8.5
o;15;25.75;Schrepfer Sven (2003);;19;53.75;16;25.5;1;-0.25;8.5
o;19;34.25;Plüer Fabian (2003);;21;53.0;14;36.0;-5;1.75;8.75
+;21;43.0;Siegenthaler Joël (2003);;25;51.5;22;42.75;1;-0.25;10.0

21b;Plüer Fabian (2003);;;;;;;;;;53.0
o;;;Koller Silvan (2002);;;;;;;;8.5
o;5;8.5;Lozza Roman;;14;55.0;5;8.5;0;0.0;8.75
-;10;17.25;Keller Elija (2002);;22;52.75;11;17.0;1;-0.25;9.0
+;13;26.25;Mock Marco;;21;53.0;15;25.75;2;-0.5;9.75
o;14;36.0;Hobi Ignaz;;16;54.5;15;35.75;1;-0.25;8.5
o;17;44.5;Lieberherr David (2003);;19;53.75;19;44.0;2;-0.5;8.5

22a;Bleiker Daniel;;;;;;;;;;52.75
+;;;Schallberger Clint;;;;;;;;10.0
o;1;10.0;Aerne Christian;*;14;55.0;5;8.5;4;-1.5;8.5
-;6;18.5;Odermatt Michi;;27;35.75;7;18.25;1;-0.25;8.75
o;10;27.25;Akeret Benno;*;12;55.5;6;28.25;-4;1.0;8.5
o;15;35.75;Leuppi Karim;*;17;54.25;15;35.75;0;0.0;8.5
o;18;44.25;Imhof Gregor (2001);;14;55.0;15;45.25;-3;1.0;8.5

22b;Keller Elija (2002);;;;;;;;;;52.75
o;;;Kiener Raphael;;;;;;;;8.5
o;5;8.5;Schuler Martin;;10;56.0;3;9.0;-2;0.5;8.5
-;11;17.0;Plüer Fabian (2003);;21;53.0;10;17.25;-1;0.25;9.0
o;14;26.0;Düring Dominik (2003);;24;52.25;16;25.5;2;-0.5;8.5
+;18;34.5;Siegenthaler Joël (2003);;25;51.5;19;34.25;1;-0.25;9.75
o;18;44.25;Lüthi Manuel (2003);;19;53.75;19;44.0;1;-0.25;8.5

23a;Amstutz Janic (2002);;;;;;;;;;52.5
+;;;Schrepfer Sven (2003);;;;;;;;9.75
o;2;9.75;Straub Robin;*;6;57.0;4;8.75;2;-1.0;8.5
o;7;18.25;Steiner Lukas (2002);;14;55.0;7;18.25;0;0.0;8.5
o;12;26.75;Müller Christian (2001);;19;53.75;12;26.75;0;0.0;8.5
-;17;35.25;Lüthi Manuel (2003);;19;53.75;17;35.25;0;0.0;8.75
o;19;44.0;Knup Stephan;;19;53.75;20;43.75;1;-0.25;8.5

23b;Dünner Zyan (2001);;;;;;;;;;52.5
o;;;Lieberherr David (2003);;;;;;;;8.5
o;5;8.5;Bucher Roman (2003);;17;54.25;5;8.5;0;0.0;8.5
+;11;17.0;Schiess Christian;;18;54.0;11;17.0;0;0.0;10.0
o;11;27.0;Schmidlin Tobias (2001);*;11;55.75;11;27.0;0;0.0;8.5
o;16;35.5;Käppeli Remo (2001);;19;53.75;16;35.5;0;0.0;8.5
o;19;44.0;Fuster Arjuna (2003);;18;54.0;19;44.0;0;0.0;8.5

23c;Frei Felix (2003);;;;;;;;;;52.5
o;;;Oberhänsli Nick (2001);;;;;;;;8.5
o;5;8.5;Stadelmann Patrick;;13;55.25;5;8.5;0;0.0;8.5
o;11;17.0;Rutz Cédric;;19;53.75;11;17.0;0;0.0;8.5
o;16;25.5;Rüegger Remo;;19;53.75;16;25.5;0;0.0;8.5
+;20;34.0;Baumann Nico (2002);;26;51.25;19;34.25;-1;0.25;9.75
o;20;43.75;Tremp Ruedi (2003);;20;53.5;20;43.75;0;0.0;8.75

23d;Müller Fabian (2001);;;;;;;;;;52.5
o;;;Steiner Lukas (2002);;;;;;;;8.5
o;5;8.5;Tremp Ruedi (2003);;20;53.5;5;8.5;0;0.0;8.5
o;11;17.0;Käppeli Remo (2001);;19;53.75;11;17.0;0;0.0;8.5
+;16;25.5;Baumann Nico (2002);;26;51.25;15;25.75;-1;0.25;10.0
o;16;35.5;Schrepfer Sven (2003);;19;53.75;16;35.5;0;0.0;8.5
o;19;44.0;Zumbach Michael;;19;53.75;19;44.0;0;0.0;8.5

23e;Vetterli Sven (2003);;;;;;;;;;52.5
+;;;Fuster Arjuna (2003);;;;;;;;10.0
o;1;10.0;Bürgler Patrick;;10;56.0;1;10.0;0;0.0;8.5
o;6;18.5;Badat Thomas;;18;54.0;6;18.5;0;0.0;8.5
o;11;27.0;Alder Armin;*;17;54.25;11;27.0;0;0.0;8.5
o;16;35.5;Schnyder Christian;;19;53.75;17;35.25;1;-0.25;8.5
o;19;44.0;Schiess Christian;;18;54.0;19;44.0;0;0.0;8.5

24a;Düring Dominik (2003);;;;;;;;;;52.25
o;;;Schwyn Patrick;;;;;;;;8.5
o;5;8.5;Sieber Marc;;19;53.75;5;8.5;0;0.0;8.5
