2778-2018-06-24_123_Nordostschweizer_Schwingfest_125_Jahre_NOSV-ST

1a;Orlik Armon;***;;;;;;;;;59.0
+;;;Wicki Joel;**;;;;;;;10.0
+;1;10.0;Herger Matthias;**;8;56.5;1;10.0;0;0.0;9.75
+;2;19.75;Wenger Kilian;***;7;56.75;5;18.75;3;-1.0;9.75
+;2;29.5;Bless Michael;***;6;57.0;1;29.75;-1;0.25;9.75
+;1;39.25;Burkhalter Stefan;***;11;55.75;3;38.5;2;-0.75;9.75
+;1;49.0;Bless Michael;***;6;57.0;2;48.25;1;-0.75;10.0

2a;Schneider Domenic;***;;;;;;;;;58.25
+;;;Roschi Ruedi;**;;;;;;;9.75
-;2;9.75;Aeschbacher Matthias;**;7;56.75;2;9.75;0;0.0;8.75
+;6;18.5;Oertig Simon;*;16;54.5;5;18.75;-1;0.25;9.75
+;5;28.25;Giger Urs;*;12;55.5;4;28.5;-1;0.25;10.0
+;4;38.25;Kamer Hanspeter;*;13;55.25;4;38.25;0;0.0;10.0
+;2;48.25;Döbeli Andreas;*;10;56.0;6;47.25;4;-1.0;10.0

2b;Rychen Roger;***;;;;;;;;;58.25
+;;;Piemontesi Pascal;**;;;;;;;10.0
+;1;10.0;Kropf Marcel;**;12;55.5;2;9.75;1;-0.25;9.75
o;2;19.75;Wicki Joel;**;4;57.5;5;18.75;3;-1.0;8.5
+;5;28.25;Notz Armin;*;17;54.25;3;28.75;-2;0.5;10.0
+;4;38.25;Kuster Marcel;***;8;56.5;4;38.25;0;0.0;10.0
+;2;48.25;Voggensperger Janic;**;11;55.75;6;47.25;4;-1.0;10.0

3a;Hersche Martin;***;;;;;;;;;57.75
o;;;Aeschbacher Matthias;**;;;;;;;8.5
+;4;8.5;Riget Florian;*;12;55.5;2;9.75;-2;1.25;10.0
+;6;18.5;Zbinden Marc;*;11;55.75;5;18.75;-1;0.25;9.75
+;5;28.25;Oettli Marco;*;11;55.75;3;28.75;-2;0.5;10.0
+;4;38.25;Herger Matthias;**;8;56.5;4;38.25;0;0.0;9.75
+;3;48.0;von Ah Benji;***;11;55.75;7;47.0;4;-1.0;9.75

4a;Wicki Joel;**;;;;;;;;;57.5
o;;;Orlik Armon;***;;;;;;;8.75
+;3;8.75;Schmid Dominik;**;11;55.75;1;10.0;-2;1.25;10.0
+;5;18.75;Rychen Roger;***;2;58.25;2;19.75;-3;1.0;10.0
o;3;28.75;Bösch Daniel;***;6;57.0;4;28.5;1;-0.25;8.75
+;7;37.5;Ott Damian (2000);*;7;56.75;4;38.25;-3;0.75;10.0
+;5;47.5;Oettli Marco;*;11;55.75;6;47.25;1;-0.25;10.0

4b;Geisser Lars;**;;;;;;;;;57.5
+;;;Schäppi Urs;*;;;;;;;10.0
-;1;10.0;Schnurrenberger Roman;**;11;55.75;2;9.75;1;-0.25;9.0
-;4;19.0;Döbeli Andreas;*;10;56.0;5;18.75;1;-0.25;8.75
+;7;27.75;Schuler Martin;;20;53.5;6;28.0;-1;0.25;10.0
+;6;37.75;Koch Thomas;*;13;55.25;5;38.0;-1;0.25;10.0
+;4;47.75;Zbinden Marc;*;11;55.75;6;47.25;2;-0.5;9.75

4c;Roth Martin;*;;;;;;;;;57.5
+;;;Büchler Remo;**;;;;;;;9.75
o;2;9.75;Rhyner Michael;**;8;56.5;2;9.75;0;0.0;8.5
+;7;18.25;Kobler Janosch (2000);;19;53.75;6;18.5;-1;0.25;10.0
+;5;28.25;Kammermann Thomas;*;21;53.25;8;27.5;3;-0.75;9.75
+;5;38.0;Haenni Stéphane;**;10;56.0;8;37.25;3;-0.75;9.75
+;4;47.75;Gartmann Mauro;*;11;55.75;6;47.25;2;-0.5;9.75

5a;Zwyssig Raphael;***;;;;;;;;;57.25
-;;;Voggensperger Janic;**;;;;;;;8.75
+;3;8.75;Mettler Valentin;*;36;26.75;2;9.75;-1;1.0;10.0
+;5;18.75;Haenni Stéphane;**;10;56.0;5;18.75;0;0.0;10.0
-;3;28.75;von Ah Benji;***;11;55.75;4;28.5;1;-0.25;8.75
+;7;37.5;Krähenbühl Lukas;*;14;55.0;6;37.75;-1;0.25;9.75
+;6;47.25;Schlegel Reto;*;13;55.25;8;46.75;2;-0.5;10.0

5b;Leuppi Samir;**;;;;;;;;;57.25
-;;;Döbeli Andreas;*;;;;;;;8.75
+;3;8.75;Bernold Christian;**;16;54.5;2;9.75;-1;1.0;10.0
+;5;18.75;Koch Reto;*;10;56.0;3;19.5;-2;0.75;10.0
+;3;28.75;Bühler Hannes;*;11;55.75;3;28.75;0;0.0;10.0
-;2;38.75;Bösch Daniel;***;6;57.0;4;38.25;2;-0.5;8.75
+;5;47.5;Kropf Marcel;**;12;55.5;7;47.0;2;-0.5;9.75

5c;Krähenbühl Tobias;***;;;;;;;;;57.25
o;;;Herger Matthias;**;;;;;;;8.5
-;4;8.5;Kid Simon;**;11;55.75;4;8.5;0;0.0;8.75
+;9;17.25;Hochholdinger Roman;**;38;25.75;9;17.25;0;0.0;10.0
+;9;27.25;Bischof Martin;;13;55.25;5;28.25;-4;1.0;10.0
+;8;37.25;Schlegel Werner (2002);*;13;55.25;4;38.25;-4;1.0;10.0
+;6;47.25;Roschi Ruedi;**;13;55.25;8;46.75;2;-0.5;10.0

6a;Bless Michael;***;;;;;;;;;57.0
+;;;von Ah Benji;***;;;;;;;9.75
+;2;9.75;Kamer Hanspeter;*;13;55.25;1;10.0;-1;0.25;10.0
+;2;19.75;Rhyner Michael;**;8;56.5;3;19.5;1;-0.25;10.0
o;1;29.75;Orlik Armon;***;1;59.0;2;29.5;1;-0.25;8.5
+;4;38.25;Aeschbacher Matthias;**;7;56.75;4;38.25;0;0.0;10.0
o;2;48.25;Orlik Armon;***;1;59.0;1;49.0;-1;0.75;8.75

6b;Bösch Daniel;***;;;;;;;;;57.0
-;;;Wenger Kilian;***;;;;;;;8.75
+;3;8.75;Landolt Reto;*;18;54.0;1;10.0;-2;1.25;10.0
+;5;18.75;Dändliker Shane;*;6;57.0;2;19.75;-3;1.0;9.75
+;4;28.5;Wicki Joel;**;4;57.5;3;28.75;-1;0.25;9.75
-;4;38.25;Leuppi Samir;**;5;57.25;2;38.75;-2;0.5;8.75
+;7;47.0;Schläpfer Matthias;*;13;55.25;8;46.75;1;-0.25;10.0

6c;Dändliker Shane;*;;;;;;;;;57.0
+;;;Kid Simon;**;;;;;;;9.75
+;2;9.75;Dumelin David;*;8;56.5;1;10.0;-1;0.25;10.0
o;2;19.75;Bösch Daniel;***;6;57.0;5;18.75;3;-1.0;8.5
-;5;28.25;Räbsamen Marcel (2000);;12;55.5;5;28.25;0;0.0;9.0
+;8;37.25;Notz Armin;*;17;54.25;8;37.25;0;0.0;9.75
+;7;47.0;Schlegel Werner (2002);*;13;55.25;8;46.75;1;-0.25;10.0

7a;Wenger Kilian;***;;;;;;;;;56.75
-;;;Bösch Daniel;***;;;;;;;8.75
+;3;8.75;Oertig Dominik;**;10;56.0;1;10.0;-2;1.25;10.0
o;5;18.75;Orlik Armon;***;1;59.0;2;19.75;-3;1.0;8.5
+;9;27.25;Vollenweider Jeremy;*;12;55.5;5;28.25;-4;1.0;9.75
+;9;37.0;Kid Simon;**;11;55.75;8;37.25;-1;0.25;10.0
+;7;47.0;Wittenwiler Roman;*;14;55.0;9;46.5;2;-0.5;9.75

7b;Schneider Mario;**;;;;;;;;;56.75
+;;;Hochholdinger Roman;**;;;;;;;10.0
+;1;10.0;Bernold Michael;*;12;55.5;2;9.75;1;-0.25;9.75
+;2;19.75;Voggensperger Janic;**;11;55.75;5;18.75;3;-1.0;9.75
o;2;29.5;Aeschbacher Matthias;**;7;56.75;4;28.5;2;-1.0;8.75
-;4;38.25;Roschi Ruedi;**;13;55.25;5;38.0;1;-0.25;8.75
+;7;47.0;Riget Tobias;**;13;55.25;8;46.75;1;-0.25;9.75

7c;Aeschbacher Matthias;**;;;;;;;;;56.75
+;;;Hersche Martin;***;;;;;;;9.75
-;2;9.75;Schneider Domenic;***;2;58.25;2;9.75;0;0.0;8.75
+;6;18.5;Burkhalter Stefan;***;11;55.75;1;20.0;-5;1.5;10.0
+;4;28.5;Schneider Mario;**;7;56.75;2;29.5;-2;1.0;9.75
o;4;38.25;Bless Michael;***;6;57.0;4;38.25;0;0.0;8.5
+;8;46.75;Notz Beni;***;12;55.5;7;47.0;-1;0.25;10.0

7d;Battaglia Ursin;**;;;;;;;;;56.75
o;;;Dumelin David;*;;;;;;;8.5
+;4;8.5;Frick Andreas;*;17;54.25;3;8.75;-1;0.25;9.75
+;7;18.25;Vestner Roman;*;17;54.25;7;18.25;0;0.0;10.0
o;5;28.25;Roschi Ruedi;**;13;55.25;5;28.25;0;0.0;8.5
+;10;36.75;Odermatt Christoph;*;17;54.25;8;37.25;-2;0.5;10.0
+;8;46.75;Kamer Hanspeter;*;13;55.25;8;46.75;0;0.0;10.0

7e;Ott Damian (2000);*;;;;;;;;;56.75
+;;;Oertle Daniel;*;;;;;;;10.0
o;1;10.0;Döbeli Andreas;*;10;56.0;3;8.75;2;-1.25;8.5
+;6;18.5;Poltera Andrin;*;11;55.75;6;18.5;0;0.0;9.75
+;5;28.25;Aebli Nino (2000);;12;55.5;4;28.5;-1;0.25;10.0
o;4;38.25;Wicki Joel;**;4;57.5;7;37.5;3;-0.75;8.5
+;8;46.75;Ammann Rico;*;14;55.0;9;46.5;1;-0.25;10.0

8a;Dumelin David;*;;;;;;;;;56.5
+;;;Battaglia Ursin;**;;;;;;;10.0
o;1;10.0;Dändliker Shane;*;6;57.0;2;9.75;1;-0.25;8.5
+;6;18.5;Vollmeier Sandro;;20;53.5;5;18.75;-1;0.25;9.75
o;5;28.25;Döbeli Andreas;*;10;56.0;8;27.5;3;-0.75;8.5
+;10;36.75;Jörger Marc;*;17;54.25;9;37.0;-1;0.25;9.75
+;9;46.5;Koch Thomas;*;13;55.25;8;46.75;-1;0.25;10.0

8b;Kuster Marcel;***;;;;;;;;;56.5
-;;;Haenni Stéphane;**;;;;;;;8.75
+;3;8.75;Gwerder Andreas;**;9;56.25;2;9.75;-1;1.0;9.75
+;6;18.5;Heierli Pascal;*;13;55.25;5;18.75;-1;0.25;10.0
+;4;28.5;Schnurrenberger Roman;**;11;55.75;4;28.5;0;0.0;9.75
o;4;38.25;Rychen Roger;***;2;58.25;4;38.25;0;0.0;8.5
+;8;46.75;Bernold Michael;*;12;55.5;7;47.0;-1;0.25;9.75

8c;Rhyner Michael;**;;;;;;;;;56.5
+;;;Peng Mike;***;;;;;;;9.75
+;2;9.75;Roth Martin;*;4;57.5;2;9.75;0;0.0;9.75
o;3;19.5;Bless Michael;***;6;57.0;2;19.75;-1;0.25;8.5
-;6;28.0;Gartmann Mauro;*;11;55.75;4;28.5;-2;0.5;8.75
+;10;36.75;Poltera Andrin;*;11;55.75;9;37.0;-1;0.25;10.0
+;8;46.75;Giger Urs;*;12;55.5;8;46.75;0;0.0;9.75

8d;Gmür Pirmin;**;;;;;;;;;56.5
+;;;Oettli Marco;*;;;;;;;10.0
o;1;10.0;von Ah Benji;***;11;55.75;3;8.75;2;-1.25;8.5
+;6;18.5;Hauser Simon;;15;54.75;3;19.5;-3;1.0;9.75
+;5;28.25;Kropf Marcel;**;12;55.5;5;28.25;0;0.0;9.75
o;5;38.0;Döbeli Andreas;*;10;56.0;7;37.5;2;-0.5;8.5
+;9;46.5;Oettli Silvio (2000);;12;55.5;7;47.0;-2;0.5;10.0

8e;Herger Matthias;**;;;;;;;;;56.5
+;;;Krähenbühl Tobias;***;;;;;;;10.0
o;1;10.0;Orlik Armon;***;1;59.0;1;10.0;0;0.0;8.5
+;6;18.5;Wickli Beat;**;12;55.5;5;18.75;-1;0.25;9.75
+;5;28.25;Schmid Dominik;**;11;55.75;5;28.25;0;0.0;10.0
o;4;38.25;Hersche Martin;***;3;57.75;4;38.25;0;0.0;8.5
+;8;46.75;Schnurrenberger Roman;**;11;55.75;7;47.0;-1;0.25;9.75

9a;Steiner Michael;**;;;;;;;;;56.25
+;;;Frick Andreas;*;;;;;;;9.75
o;2;9.75;Roschi Ruedi;**;13;55.25;4;8.5;2;-1.25;8.5
+;7;18.25;Hari Michi;;28;35.25;7;18.25;0;0.0;10.0
o;5;28.25;Voggensperger Janic;**;11;55.75;9;27.25;4;-1.0;8.5
+;10;36.75;Aebli Nino (2000);;12;55.5;9;37.0;-1;0.25;9.75
+;9;46.5;Schmid Dominik;**;11;55.75;7;47.0;-2;0.5;9.75

9b;Gwerder Andreas;**;;;;;;;;;56.25
+;;;Giger Urs;*;;;;;;;9.75
o;2;9.75;Kuster Marcel;***;8;56.5;3;8.75;1;-1.0;8.5
o;7;18.25;Koch Thomas;*;13;55.25;6;18.5;-1;0.25;8.5
+;11;26.75;Roth Peter;;21;53.25;8;27.5;-3;0.75;9.75
+;11;36.5;Gosswiler Livio (2000);*;13;55.25;10;36.75;-1;0.25;9.75
+;10;46.25;Krähenbühl Lukas;*;14;55.0;10;46.25;0;0.0;10.0

10a;Haenni Stéphane;**;;;;;;;;;56.0
-;;;Kuster Marcel;***;;;;;;;8.75
+;3;8.75;Schlegel Reto;*;13;55.25;1;10.0;-2;1.25;10.0
o;5;18.75;Zwyssig Raphael;***;5;57.25;5;18.75;0;0.0;8.5
+;9;27.25;Bernold Michael;*;12;55.5;5;28.25;-4;1.0;10.0
o;8;37.25;Roth Martin;*;4;57.5;5;38.0;-3;0.75;8.75
+;11;46.0;Fuster Sepp;;11;55.75;6;47.25;-5;1.25;10.0

10b;Oertig Dominik;**;;;;;;;;;56.0
+;;;Koch Thomas;*;;;;;;;10.0
o;1;10.0;Wenger Kilian;***;7;56.75;3;8.75;2;-1.25;8.5
o;6;18.5;Notz Armin;*;17;54.25;5;18.75;-1;0.25;8.75
o;9;27.25;Krähenbühl Lukas;*;14;55.0;6;28.0;-3;0.75;8.75
+;12;36.0;Rohner Lukas (2000);;18;54.0;10;36.75;-2;0.75;10.0
+;11;46.0;Keller Werner;;15;54.75;10;46.25;-1;0.25;10.0

10c;Döbeli Andreas;*;;;;;;;;;56.0
-;;;Leuppi Samir;**;;;;;;;8.75
+;3;8.75;Ott Damian (2000);*;7;56.75;1;10.0;-2;1.25;10.0
-;5;18.75;Geisser Lars;**;4;57.5;4;19.0;-1;0.25;8.75
+;8;27.5;Dumelin David;*;8;56.5;5;28.25;-3;0.75;10.0
+;7;37.5;Gmür Pirmin;**;8;56.5;5;38.0;-2;0.5;9.75
o;6;47.25;Schneider Domenic;***;2;58.25;2;48.25;-4;1.0;8.75

10d;Koch Reto;*;;;;;;;;;56.0
+;;;Elmer Adrian;*;;;;;;;9.75
+;2;9.75;Riget Tobias;**;13;55.25;2;9.75;0;0.0;9.75
o;3;19.5;Leuppi Samir;**;5;57.25;5;18.75;2;-0.75;8.5
+;6;28.0;Lehmann Philipp;;17;54.25;5;28.25;-1;0.25;9.75
o;6;37.75;Schnurrenberger Roman;**;11;55.75;9;37.0;3;-0.75;8.5
+;10;46.25;Oertig Simon;*;16;54.5;11;46.0;1;-0.25;9.75

11a;Poltera Andrin;*;;;;;;;;;55.75
+;;;Jöhl Christian;*;;;;;;;9.75
o;2;9.75;Eugster Ruedi;**;11;55.75;3;8.75;1;-1.0;8.75
o;6;18.5;Ott Damian (2000);*;7;56.75;6;18.5;0;0.0;8.5
+;10;27.0;Schnyder Christian;;23;52.75;9;27.25;-1;0.25;10.0
o;9;37.0;Rhyner Michael;**;8;56.5;10;36.75;1;-0.25;8.75
+;12;45.75;Büchler Remo;**;17;54.25;12;45.75;0;0.0;10.0

11b;Eugster Ruedi;**;;;;;;;;;55.75
-;;;Zbinden Marc;*;;;;;;;8.75
+;3;8.75;Poltera Andrin;*;11;55.75;2;9.75;-1;1.0;10.0
o;5;18.75;von Ah Benji;***;11;55.75;6;18.5;1;-0.25;8.5
o;9;27.25;Koch Thomas;*;13;55.25;5;28.25;-4;1.0;8.75
+;12;36.0;Schuler Martin;;20;53.5;11;36.5;-1;0.5;10.0
+;11;46.0;Schläpfer Markus;**;17;54.25;12;45.75;1;-0.25;9.75

11c;Kid Simon;**;;;;;;;;;55.75
o;;;Dändliker Shane;*;;;;;;;8.5
-;4;8.5;Krähenbühl Tobias;***;5;57.25;4;8.5;0;0.0;8.75
+;9;17.25;Marty Jaime (2000);;34;27.25;5;18.75;-4;1.5;10.0
+;9;27.25;Keller Werner;;15;54.75;6;28.0;-3;0.75;10.0
o;8;37.25;Wenger Kilian;***;7;56.75;9;37.0;1;-0.25;8.5
+;12;45.75;Odermatt Christoph;*;17;54.25;12;45.75;0;0.0;10.0

11d;Zbinden Marc;*;;;;;;;;;55.75
-;;;Eugster Ruedi;**;;;;;;;8.75
+;3;8.75;Hari Michi;;28;35.25;2;9.75;-1;1.0;10.0
o;5;18.75;Hersche Martin;***;3;57.75;6;18.5;1;-0.25;8.75
+;8;27.5;Ackermann Remo;*;16;54.5;9;27.25;1;-0.25;9.75
+;8;37.25;Morger Adrian;*;25;46.25;6;37.75;-2;0.5;10.0
o;6;47.25;Geisser Lars;**;4;57.5;4;47.75;-2;0.5;8.5

11e;Oettli Marco;*;;;;;;;;;55.75
o;;;Gmür Pirmin;**;;;;;;;8.75
+;3;8.75;Wittenwiler Roman;*;14;55.0;3;8.75;0;0.0;10.0
+;5;18.75;Bischof Martin;;13;55.25;2;19.75;-3;1.0;10.0
o;3;28.75;Hersche Martin;***;3;57.75;5;28.25;2;-0.5;8.5
+;8;37.25;Schmid Patrick;*;12;55.5;9;37.0;1;-0.25;10.0
o;6;47.25;Wicki Joel;**;4;57.5;5;47.5;-1;0.25;8.5

11f;Holenstein Christian;*;;;;;;;;;55.75
+;;;Vestner Bruno;*;;;;;;;9.75
o;2;9.75;Piemontesi Pascal;**;12;55.5;4;8.5;2;-1.25;8.5
-;7;18.25;Nägeli Roman;*;18;54.0;7;18.25;0;0.0;8.75
+;10;27.0;Castelli Fabio;;26;36.0;8;27.5;-2;0.5;10.0
-;9;37.0;Bühler Hannes;*;11;55.75;8;37.25;-1;0.25;8.75
+;12;45.75;Lehmann Philipp;;17;54.25;13;45.5;1;-0.25;10.0

11g;Burkhalter Stefan;***;;;;;;;;;55.75
+;;;Matthey Mickaël;**;;;;;;;10.0
+;1;10.0;Baumann Rico;*;17;54.25;2;9.75;1;-0.25;10.0
o;1;20.0;Aeschbacher Matthias;**;7;56.75;6;18.5;5;-1.5;8.5
+;4;28.5;Schlegel Reto;*;13;55.25;4;28.5;0;0.0;10.0
o;3;38.5;Orlik Armon;***;1;59.0;1;39.25;-2;0.75;8.5
-;7;47.0;Piemontesi Pascal;**;12;55.5;8;46.75;1;-0.25;8.75

11h;Schmid Dominik;**;;;;;;;;;55.75
+;;;Odermatt Christoph;*;;;;;;;10.0
o;1;10.0;Wicki Joel;**;4;57.5;3;8.75;2;-1.25;8.5
+;6;18.5;Lehmann Philipp;;17;54.25;2;19.75;-4;1.25;9.75
o;5;28.25;Herger Matthias;**;8;56.5;5;28.25;0;0.0;8.75
+;9;37.0;Nägeli Roman;*;18;54.0;9;37.0;0;0.0;10.0
o;7;47.0;Steiner Michael;**;9;56.25;9;46.5;2;-0.5;8.75

11i;Fuster Sepp;;;;;;;;;;55.75
-;;;Wettstein Daniel;;;;;;;;8.75
+;3;8.75;Neff Florian;;21;53.25;3;8.75;0;0.0;10.0
o;5;18.75;Bühler Hannes;*;11;55.75;5;18.75;0;0.0;8.5
+;9;27.25;Wolfer Lukas;*;33;34.0;15;25.5;6;-1.75;10.0
+;8;37.25;Kunz Daniel;*;18;54.0;9;37.0;1;-0.25;10.0
o;6;47.25;Haenni Stéphane;**;10;56.0;11;46.0;5;-1.25;8.5

11j;Schnurrenberger Roman;**;;;;;;;;;55.75
+;;;Rüegg Fabian;*;;;;;;;9.75
-;2;9.75;Geisser Lars;**;4;57.5;1;10.0;-1;0.25;8.75
+;6;18.5;Bernold Christian;**;16;54.5;7;18.25;1;-0.25;10.0
o;4;28.5;Kuster Marcel;***;8;56.5;4;28.5;0;0.0;8.5
+;9;37.0;Koch Reto;*;10;56.0;6;37.75;-3;0.75;10.0
o;7;47.0;Herger Matthias;**;8;56.5;8;46.75;1;-0.25;8.75

11k;Gartmann Mauro;*;;;;;;;;;55.75
+;;;Pfister Florian;*;;;;;;;9.75
-;2;9.75;Matthey Mickaël;**;11;55.75;4;8.5;2;-1.25;8.75
+;6;18.5;Hobi Ignaz;;18;54.0;6;18.5;0;0.0;10.0
-;4;28.5;Rhyner Michael;**;8;56.5;6;28.0;2;-0.5;8.75
+;8;37.25;Frick Andreas;*;17;54.25;8;37.25;0;0.0;10.0
o;6;47.25;Roth Martin;*;4;57.5;4;47.75;-2;0.5;8.5

11l;Bühler Hannes;*;;;;;;;;;55.75
-;;;Wittenwiler Roman;*;;;;;;;8.75
+;3;8.75;Vestner Bruno;*;21;53.25;4;8.5;1;-0.25;10.0
+;5;18.75;Fuster Sepp;;11;55.75;5;18.75;0;0.0;10.0
o;3;28.75;Leuppi Samir;**;5;57.25;3;28.75;0;0.0;8.5
-;8;37.25;Holenstein Christian;*;11;55.75;9;37.0;1;-0.25;8.75
+;11;46.0;Elmer Adrian;*;16;54.5;11;46.0;0;0.0;9.75

11m;Voggensperger Janic;**;;;;;;;;;55.75
-;;;Zwyssig Raphael;***;;;;;;;8.75
+;3;8.75;Schläpfer Matthias;*;13;55.25;2;9.75;-1;1.0;10.0
o;5;18.75;Schneider Mario;**;7;56.75;2;19.75;-3;1.0;8.5
+;9;27.25;Steiner Michael;**;9;56.25;5;28.25;-4;1.0;10.0
+;8;37.25;Schläpfer Markus;**;17;54.25;8;37.25;0;0.0;10.0
o;6;47.25;Rychen Roger;***;2;58.25;2;48.25;-4;1.0;8.5

11n;von Ah Benji;***;;;;;;;;;55.75
o;;;Bless Michael;***;;;;;;;8.75
+;3;8.75;Gmür Pirmin;**;8;56.5;1;10.0;-2;1.25;9.75
+;6;18.5;Eugster Ruedi;**;11;55.75;5;18.75;-1;0.25;10.0
-;4;28.5;Zwyssig Raphael;***;5;57.25;3;28.75;-1;0.25;8.75
+;8;37.25;Riget Tobias;**;13;55.25;5;38.0;-3;0.75;9.75
o;7;47.0;Hersche Martin;***;3;57.75;3;48.0;-4;1.0;8.75

11o;Matthey Mickaël;**;;;;;;;;;55.75
o;;;Burkhalter Stefan;***;;;;;;;8.5
-;4;8.5;Gartmann Mauro;*;11;55.75;2;9.75;-2;1.25;8.75
o;9;17.25;Breitenmoser Manuel;*;12;55.5;5;18.75;-4;1.5;8.75
+;13;26.0;Funk Nicola;*;17;54.25;8;27.5;-5;1.5;9.75
+;13;35.75;Wetter Silvan (2000);;16;54.5;13;35.75;0;0.0;10.0
+;12;45.75;Rüegg Fabian;*;16;54.5;12;45.75;0;0.0;10.0

12a;Kuster Thomas;*;;;;;;;;;55.5
o;;;Baumann Rico;*;;;;;;;8.5
-;4;8.5;Räbsamen Marcel (2000);;12;55.5;2;9.75;-2;1.25;8.75
+;9;17.25;Wildhaber Jannik;;23;52.75;7;18.25;-2;1.0;10.0
-;9;27.25;Peng Mike;***;30;34.75;13;26.0;4;-1.25;8.75
+;12;36.0;Kolb Pirmin (2001);;14;55.0;10;36.75;-2;0.75;9.75
+;12;45.75;Funk Nicola;*;17;54.25;12;45.75;0;0.0;9.75

12b;Bernold Michael;*;;;;;;;;;55.5
+;;;Krähenbühl Lukas;*;;;;;;;9.75
o;2;9.75;Schneider Mario;**;7;56.75;1;10.0;-1;0.25;8.5
+;7;18.25;Wolfer Lukas;*;33;34.0;10;17.0;3;-1.25;10.0
o;5;28.25;Haenni Stéphane;**;10;56.0;9;27.25;4;-1.0;8.75
+;9;37.0;Lanter Christian;;22;53.0;12;36.0;3;-1.0;10.0
o;7;47.0;Kuster Marcel;***;8;56.5;8;46.75;1;-0.25;8.5

12c;Schmid Patrick;*;;;;;;;;;55.5
-;;;Vollenweider Jeremy;*;;;;;;;8.75
o;3;8.75;Bischof Martin;;13;55.25;1;10.0;-2;1.25;8.5
+;9;17.25;Ziegler Andreas (2002);;28;35.25;7;18.25;-2;1.0;10.0
+;9;27.25;Arztmann Beda;*;14;55.0;10;27.0;1;-0.25;9.75
o;9;37.0;Oettli Marco;*;11;55.75;8;37.25;-1;0.25;8.75
+;12;45.75;Notz Armin;*;17;54.25;12;45.75;0;0.0;9.75

12d;Jörger Corsin;;;;;;;;;;55.5
o;;;Hari Michi;;;;;;;;8.5
