3620-2018-07-21_67_Weissenstein-Schwinget-ST

1a;Giger Samuel;***;;;;;;;;;59.5
+;;;Alpiger Nick;***;;;;;;;10.0
+;1;10.0;Moser Steven;**;5;57.0;1;10.0;0;0.0;9.75
+;2;19.75;Wickli Beat;**;13;55.0;2;19.75;0;0.0;10.0
+;1;29.75;Matthey Mickaël;**;14;54.75;3;29.0;2;-0.75;9.75
+;1;39.5;Rychen Roger;***;6;56.75;3;38.5;2;-1.0;10.0
+;1;49.5;Bless Michael;***;3;57.5;2;48.75;1;-0.75;10.0

2a;Erb Roger;**;;;;;;;;;58.5
-;;;Kuster Marcel;***;;;;;;;8.75
+;4;8.75;Moser Matthias;*;26;35.25;5;8.5;1;-0.25;10.0
+;4;18.75;Dändliker Shane;**;14;54.75;5;18.5;1;-0.25;10.0
+;4;28.75;Notz Beni;***;10;55.75;5;28.5;1;-0.25;9.75
+;3;38.5;Burkhalter Stefan;***;7;56.5;4;38.25;1;-0.25;10.0
+;3;48.5;Hersche Martin;***;5;57.0;3;48.5;0;0.0;10.0

2b;Bösch Daniel;***;;;;;;;;;58.5
-;;;Schmid David;***;;;;;;;8.75
+;4;8.75;Brand Christian;**;14;54.75;1;10.0;-3;1.25;9.75
+;5;18.5;Hügli Kaj;**;18;53.75;6;18.25;1;-0.25;10.0
+;5;28.5;Zwyssig Raphael;***;10;55.75;5;28.5;0;0.0;10.0
+;3;38.5;Kramer Lario;**;5;57.0;3;38.5;0;0.0;10.0
+;3;48.5;Moser Steven;**;5;57.0;3;48.5;0;0.0;10.0

3a;Bless Michael;***;;;;;;;;;57.5
+;;;Kropf Marcel;**;;;;;;;9.75
+;2;9.75;Vieira Tiago;**;15;54.5;1;10.0;-1;0.25;10.0
-;2;19.75;Schneider Domenic;***;10;55.75;2;19.75;0;0.0;9.0
+;4;28.75;Kramer Franz;*;11;55.5;2;29.5;-2;0.75;10.0
+;2;38.75;Räbmatter Patrick;***;5;57.0;3;38.5;1;-0.25;10.0
o;2;48.75;Giger Samuel;***;1;59.5;1;49.5;-1;0.75;8.75

4a;Krähenbühl Tobias;***;;;;;;;;;57.25
-;;;Räbmatter Patrick;***;;;;;;;8.75
+;4;8.75;Bader Andreas;**;28;34.5;3;9.0;-1;0.25;10.0
+;4;18.75;Dousse Michel;**;7;56.5;2;19.75;-2;1.0;9.75
-;5;28.5;Widmer Tobias;**;8;56.25;4;28.75;-1;0.25;8.75
