3381-2016-05-01_112_Ob-_und_Nidwaldner_Kantonalschwingfest-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
6d;Murer Andy;*;;;;;;;;;57.0
+;;;Lussi Marco;*;;;;;;;10.0
-;1;10.0;Gloggner Philipp;***;5;57.25;1;10.0;0;0.0;8.75
+;5;18.75;von Deschwanden Patrick;;17;54.25;2;19.75;-3;1.0;10.0
+;5;28.75;Durrer Robin;;17;54.25;6;28.5;1;-0.25;10.0
o;2;38.75;Wicki Joel;**;2;58.25;3;38.5;1;-0.25;8.5
+;7;47.25;Bernhard Lukas;*;11;55.75;7;47.25;0;0.0;9.75

6e;Britschgi Melk;**;;;;;;;;;57.0
-;;;Ulrich Andreas;***;;;;;;;8.75
+;4;8.75;Herger Fabian;*;11;55.75;4;8.75;0;0.0;9.75
+;6;18.5;Gasser Dominik 2 (1998);;18;54.0;5;18.75;-1;0.25;10.0
-;6;28.5;Schöpfer Ronny (1999);;10;56.0;6;28.5;0;0.0;9.0
+;7;37.5;Niederberger Martin;*;8;56.5;4;38.25;-3;0.75;9.75
+;7;47.25;Reimann Thomas;*;13;55.25;9;46.75;2;-0.5;9.75

6f;von Ah Benji;***;;;;;;;;;57.0
o;;;Laimbacher Philipp;***;;;;;;;8.5
+;5;8.5;Reichmuth Armin;*;15;54.75;4;8.75;-1;0.25;10.0
+;6;18.5;Fellmann Simon;;19;53.75;6;18.5;0;0.0;10.0
o;6;28.5;Wicki Joel;**;2;58.25;6;28.5;0;0.0;8.5
+;9;37.0;Fässler Dominic;*;13;55.25;9;37.0;0;0.0;10.0
+;8;47.0;Egli Damian;**;14;55.0;10;46.5;2;-0.5;10.0

7a;Suppiger René;**;;;;;;;;;56.75
o;;;Scheuber Lutz;**;;;;;;;8.5
-;5;8.5;Wyrsch Marco;*;13;55.25;4;8.75;-1;0.25;8.75
+;11;17.25;Gut Koni;;35;27.0;6;18.5;-5;1.25;10.0
+;11;27.25;Arnold Andreas;*;15;54.75;11;27.25;0;0.0;10.0
+;8;37.25;Arnold Severin;*;12;55.5;8;37.25;0;0.0;9.75
+;8;47.0;Gasser Stefan;**;12;55.5;8;47.0;0;0.0;9.75

7b;Arnold Daniel;;;;;;;;;;56.75
+;;;Scherer Niklaus;;;;;;;;9.75
o;2;9.75;Odermatt Remo;*;11;55.75;1;10.0;-1;0.25;8.75
+;6;18.5;Ettlin Thomas (2000);;18;54.0;6;18.5;0;0.0;9.75
-;7;28.25;Hurschler Thomas;**;14;55.0;10;27.5;3;-0.75;9.0
+;8;37.25;Wallimann Remo;;14;55.0;7;37.5;-1;0.25;9.75
+;8;47.0;Schöpfer Ronny (1999);;10;56.0;7;47.25;-1;0.25;9.75

7c;Odermatt Christian;**;;;;;;;;;56.75
+;;;Diener Pirmin;*;;;;;;;9.75
+;2;9.75;Amgarten Roman;*;11;55.75;1;10.0;-1;0.25;9.75
o;3;19.5;Anderegg Simon;***;8;56.5;3;19.5;0;0.0;8.75
+;7;28.25;Wallimann Remo;;14;55.0;4;29.0;-3;0.75;10.0
