3381-2016-05-01_112_Ob-_und_Nidwaldner_Kantonalschwingfest-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
+;12;27.0;Diener Pirmin;*;14;55.0;13;26.75;1;-0.25;10.0
+;9;37.0;Fellmann Simon;;19;53.75;10;36.75;1;-0.25;10.0
o;8;47.0;Imfeld Peter;***;6;57.0;8;47.0;0;0.0;8.5

12i;Töngi Thomas;*;;;;;;;;;55.5
+;;;Vogler Daniel;*;;;;;;;10.0
o;1;10.0;Herger Matthias;**;8;56.5;1;10.0;0;0.0;8.5
o;6;18.5;Ming Christian 2;;18;54.0;5;18.75;-1;0.25;8.5
+;12;27.0;Arnold Sebastian;;23;52.5;12;27.0;0;0.0;10.0
o;9;37.0;Amgarten Martin;;4;57.5;7;37.5;-2;0.5;8.5
+;14;45.5;Ettlin Thomas (2000);;18;54.0;14;45.5;0;0.0;10.0

12j;Wagner Stefan;;;;;;;;;;55.5
-;;;Kaufmann Jens;;;;;;;;8.75
o;4;8.75;Ming Christian;;17;54.25;5;8.5;1;-0.25;8.5
+;11;17.25;Gander Michael (1998);;17;54.25;10;17.5;-1;0.25;10.0
o;11;27.25;Zurfluh Markus;**;10;56.0;11;27.25;0;0.0;8.5
+;14;35.75;Ziegler Moritz (1998);;23;52.5;15;35.5;1;-0.25;9.75
+;14;45.5;Fellmann Simon;;19;53.75;15;45.25;1;-0.25;10.0

12k;Herger Simon;;;;;;;;;;55.5
+;;;von Ah Markus;;;;;;;;9.75
+;2;9.75;Zumstein Marcel;;18;54.0;1;10.0;-1;0.25;9.75
o;3;19.5;Odermatt Remo;*;11;55.75;2;19.75;-1;0.25;8.5
o;8;28.0;Lussi Marco;*;12;55.5;11;27.25;3;-0.75;8.5
-;11;36.5;von Deschwanden Patrick;;17;54.25;10;36.75;-1;0.25;9.0
+;14;45.5;Gasser Dominik 2 (1998);;18;54.0;14;45.5;0;0.0;10.0

12l;Scherer Niklaus;;;;;;;;;;55.5
o;;;Arnold Daniel;;;;;;;;8.5
+;5;8.5;Hess Christian;;20;53.5;4;8.75;-1;0.25;9.75
+;7;18.25;Hurschler Mauri (1999);;27;35.25;7;18.25;0;0.0;10.0
o;7;28.25;Zimmermann Simon;*;7;56.75;6;28.5;-1;0.25;8.5
+;10;36.75;Ming Hannes (1998);;19;53.75;10;36.75;0;0.0;10.0
-;9;46.75;Odermatt Andreas;*;12;55.5;9;46.75;0;0.0;8.75

12m;von Ah Markus;;;;;;;;;;55.5
o;;;Herger Simon;;;;;;;;8.5
+;5;8.5;Baumgartner Silvan (1999);;22;52.75;5;8.5;0;0.0;9.75
+;7;18.25;Muff André;*;14;55.0;11;17.25;4;-1.0;10.0
o;7;28.25;Niederberger Martin;*;8;56.5;7;28.25;0;0.0;8.5
-;10;36.75;Arnold Lukas (1998);;16;54.5;10;36.75;0;0.0;8.75
+;14;45.5;Betschart Patrick (1999);;19;53.75;15;45.25;1;-0.25;10.0

13a;Fässler Dominic;*;;;;;;;;;55.25
o;;;Rohrer Ivan;*;;;;;;;8.5
-;5;8.5;Gasser Stefan;**;12;55.5;5;8.5;0;0.0;8.75
+;11;17.25;Würsch Tom (2000);;23;52.5;6;18.5;-5;1.25;10.0
+;11;27.25;Fessler Linus;;15;54.75;11;27.25;0;0.0;9.75
o;9;37.0;von Ah Benji;***;6;57.0;9;37.0;0;0.0;8.5
+;14;45.5;Durrer Hans;;18;54.0;14;45.5;0;0.0;9.75

13b;Würsch Lars;;;;;;;;;;55.25
+;;;Riedi Adrian;;;;;;;;9.75
+;2;9.75;Planzer Urs;;18;54.0;1;10.0;-1;0.25;10.0
o;2;19.75;Gloggner Philipp;***;5;57.25;5;18.75;3;-1.0;8.5
o;7;28.25;Albert Thomas;;14;55.0;7;28.25;0;0.0;8.5
-;10;36.75;Imfeld Beat;;17;54.25;10;36.75;0;0.0;8.75
+;14;45.5;Graber Sandro;;19;53.75;15;45.25;1;-0.25;9.75

13c;von Flüe Marco;;;;;;;;;;55.25
-;;;Herger Lukas;;;;;;;;8.75
+;4;8.75;Gisler Mario (2000);;27;35.25;2;9.75;-2;1.0;9.75
o;6;18.5;Waser Dominik;**;10;56.0;10;17.5;4;-1.0;8.5
+;12;27.0;Ziegler Moritz (1998);;23;52.5;12;27.0;0;0.0;10.0
o;9;37.0;Zimmermann Martin;**;11;55.75;7;37.5;-2;0.5;8.5
+;14;45.5;Riedi Adrian;;17;54.25;13;45.75;-1;0.25;9.75

13d;Reimann Thomas;*;;;;;;;;;55.25
o;;;Hurschler Thomas;**;;;;;;;8.5
o;5;8.5;Odermatt Andreas;*;12;55.5;5;8.5;0;0.0;8.5
+;12;17.0;Halter Dominik;;36;26.75;7;18.25;-5;1.25;10.0
+;12;27.0;Ettlin Thomas (2000);;18;54.0;12;27.0;0;0.0;9.75
+;10;36.75;von Moos Adrian;;18;54.0;10;36.75;0;0.0;10.0
o;9;46.75;Britschgi Melk;**;6;57.0;7;47.25;-2;0.5;8.5

13e;Niederberger Markus;*;;;;;;;;;55.25
o;;;Odermatt Remo;*;;;;;;;8.5
+;5;8.5;Lang Sven (1998);*;13;55.25;5;8.5;0;0.0;10.0
+;6;18.5;Arnold Fabian;;15;54.75;5;18.75;-1;0.25;9.75
o;7;28.25;Mathis Marcel;***;9;56.25;10;27.5;3;-0.75;8.5
+;10;36.75;Herger André;;19;53.75;10;36.75;0;0.0;10.0
o;9;46.75;Hess Florian;;8;56.5;10;46.5;1;-0.25;8.5

13f;Käslin Ruedi;;;;;;;;;;55.25
+;;;Betschart Patrick (1999);;;;;;;;10.0
o;1;10.0;Arnold Andreas;*;15;54.75;4;8.75;3;-1.25;8.5
+;6;18.5;Durrer Markus (1999);;23;52.5;6;18.5;0;0.0;9.75
o;7;28.25;Rohrer Ivan;*;13;55.25;7;28.25;0;0.0;8.5
+;10;36.75;Ettlin Martin (1998);;12;55.5;9;37.0;-1;0.25;10.0
o;9;46.75;Amgarten Martin;;4;57.5;6;47.5;-3;0.75;8.5

13g;Bürgi Reto;*;;;;;;;;;55.25
-;;;Herger Fabian;*;;;;;;;8.75
o;4;8.75;Zimmermann Martin;**;11;55.75;4;8.75;0;0.0;8.5
+;11;17.25;Wyrsch Hansi (1999);;27;35.25;7;18.25;-4;1.0;9.75
+;12;27.0;Abächerli Marco;;25;35.75;11;27.25;-1;0.25;10.0
+;9;37.0;Bissig Fabian;;18;54.0;10;36.75;1;-0.25;9.75
o;9;46.75;Scheuber Lutz;**;6;57.0;8;47.0;-1;0.25;8.5

13h;Rohrer Ivan;*;;;;;;;;;55.25
+;;;Fässler Dominic;*;;;;;;;9.75
o;2;9.75;Glarner Matthias;***;4;57.5;4;8.75;2;-1.0;8.5
+;7;18.25;Riedi Adrian;;17;54.25;6;18.5;-1;0.25;10.0
+;7;28.25;Käslin Ruedi;;13;55.25;7;28.25;0;0.0;9.75
-;5;38.0;Odermatt Remo;*;11;55.75;4;38.25;-1;0.25;8.75
o;9;46.75;Binggeli Stefan;;7;56.75;9;46.75;0;0.0;8.5

13i;Wagner Severin (1998);;;;;;;;;;55.25
o;;;Herger Peter;;;;;;;;8.5
+;5;8.5;Burch Pascal;;27;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Reichmuth Pirmin;**;6;57.0;10;17.5;3;-0.75;8.5
+;13;26.75;Wyrsch Hansi (1999);;27;35.25;13;26.75;0;0.0;9.75
-;11;36.5;Imfeld Christian;*;21;53.0;14;35.75;3;-0.75;8.75
+;15;45.25;Bacher Andreas;;20;53.5;16;45.0;1;-0.25;10.0

13j;Langenstein Philip;*;;;;;;;;;55.25
+;;;Arnold Severin;*;;;;;;;9.75
-;2;9.75;Waser Dominik;**;10;56.0;4;8.75;2;-1.0;8.75
-;6;18.5;Durrer Nando (1999);;19;53.75;5;18.75;-1;0.25;8.75
+;11;27.25;Burch Simon (2000);;21;53.0;11;27.25;0;0.0;10.0
-;8;37.25;Rohrer Ueli (1999);;15;54.75;8;37.25;0;0.0;9.0
-;11;46.25;Wyrsch Marco;*;13;55.25;11;46.25;0;0.0;9.0

13k;Röthlin Pascal;;;;;;;;;;55.25
o;;;Stadler Johannes;;;;;;;;8.5
+;5;8.5;Käslin Ueli (1999);;27;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Diener Pirmin;*;14;55.0;12;17.0;5;-1.25;8.75
+;12;27.0;Odermatt Beat;;17;54.25;12;27.0;0;0.0;10.0
o;9;37.0;Kempf Elias;**;12;55.5;9;37.0;0;0.0;8.5
+;14;45.5;Ming Christian 2;;18;54.0;14;45.5;0;0.0;9.75

13l;Kempf Damian;;;;;;;;;;55.25
+;;;Odermatt Beat;;;;;;;;9.75
o;2;9.75;Graber Sandro;;19;53.75;2;9.75;0;0.0;8.5
o;7;18.25;Imfeld Christian;*;21;53.0;12;17.0;5;-1.25;8.5
+;13;26.75;Kaufmann Jens;;29;34.75;15;26.25;2;-0.5;10.0
+;10;36.75;Gasser Dominik 1;;19;53.75;10;36.75;0;0.0;10.0
o;9;46.75;Zimmermann Simon;*;7;56.75;9;46.75;0;0.0;8.5

13m;Burch Jonas (1999);;;;;;;;;;55.25
+;;;Imholz Elias (1999);;;;;;;;9.75
+;2;9.75;Ettlin Thomas (2000);;18;54.0;1;10.0;-1;0.25;10.0
o;2;19.75;Niederberger Jakob;**;5;57.25;5;18.75;3;-1.0;8.5
o;7;28.25;Odermatt Sepp;;10;56.0;10;27.5;3;-0.75;8.5
+;10;36.75;Ming Christian 2;;18;54.0;9;37.0;-1;0.25;10.0
o;9;46.75;Zurfluh Markus;**;10;56.0;12;46.0;3;-0.75;8.5

13n;Lang Sven (1998);*;;;;;;;;;55.25
o;;;Bernhard Lukas;*;;;;;;;8.5
o;5;8.5;Niederberger Markus;*;13;55.25;5;8.5;0;0.0;8.5
o;12;17.0;Hess Florian;;8;56.5;7;18.25;-5;1.25;8.75
+;17;25.75;Arnold Philipp (2000);;27;35.25;13;26.75;-4;1.0;10.0
+;14;35.75;Kaiser Sandro (1998);;22;52.75;15;35.5;1;-0.25;9.75
+;14;45.5;Durrer Nando (1999);;19;53.75;16;45.0;2;-0.5;9.75

13o;Wyrsch Marco;*;;;;;;;;;55.25
-;;;Käslin Benno;*;;;;;;;8.75
-;4;8.75;Suppiger René;**;7;56.75;5;8.5;1;-0.25;8.75
-;10;17.5;Zumstein Patrick;;15;54.75;6;18.5;-4;1.0;9.0
+;14;26.5;Nägeli Daniel;;19;53.75;12;27.0;-2;0.5;10.0
+;11;36.5;Wicki Patrick;;19;53.75;11;36.5;0;0.0;9.75
-;11;46.25;Langenstein Philip;*;13;55.25;11;46.25;0;0.0;9.0

14a;Muff André;*;;;;;;;;;55.0
-;;;Gassmann Fabian;**;;;;;;;8.75
o;4;8.75;Imfeld Peter;***;6;57.0;5;8.5;1;-0.25;8.5
o;11;17.25;von Ah Markus;;12;55.5;7;18.25;-4;1.0;8.5
+;17;25.75;Ettlin Michael (1998);;27;35.25;13;26.75;-4;1.0;9.75
+;15;35.5;Baumgartner Silvan (1999);;22;52.75;15;35.5;0;0.0;9.75
+;15;45.25;Gasser Dominik 1;;19;53.75;15;45.25;0;0.0;9.75

14b;Wallimann Remo;;;;;;;;;;55.0
-;;;Zimmermann Armin;;;;;;;;9.0
+;3;9.0;von Ah Quirin (2000);;22;52.75;1;10.0;-2;1.0;10.0
+;4;19.0;Käslin Benno;*;12;55.5;6;18.5;2;-0.5;10.0
o;4;29.0;Odermatt Christian;**;7;56.75;7;28.25;3;-0.75;8.5
o;7;37.5;Arnold Daniel;;7;56.75;8;37.25;1;-0.25;8.5
-;12;46.0;Zurbuchen Martin;;14;55.0;12;46.0;0;0.0;9.0

14c;Herger Peter;;;;;;;;;;55.0
+;;;Wagner Severin (1998);;;;;;;;9.75
+;2;9.75;Müller Patrick (1999);;27;35.25;2;9.75;0;0.0;9.75
o;3;19.5;Rohrer Marco;**;8;56.5;5;18.75;2;-0.75;8.5
o;8;28.0;Amgarten Martin;;4;57.5;9;27.75;1;-0.25;8.5
o;11;36.5;Hurschler Thomas;**;14;55.0;12;36.25;1;-0.25;8.5
+;16;45.0;Burch Simon (2000);;21;53.0;18;44.5;2;-0.5;10.0

14d;Hurschler Thomas;**;;;;;;;;;55.0
+;;;Reimann Thomas;*;;;;;;;9.75
-;2;9.75;Wicki Joel;**;2;58.25;2;9.75;0;0.0;8.75
-;6;18.5;Zurbuchen Martin;;14;55.0;5;18.75;-1;0.25;9.0
-;10;27.5;Arnold Daniel;;7;56.75;7;28.25;-3;0.75;8.75
+;12;36.25;Herger Peter;;14;55.0;11;36.5;-1;0.25;10.0
-;11;46.25;Reichmuth Armin;*;15;54.75;12;46.0;1;-0.25;8.75

14e;Zurbuchen Martin;;;;;;;;;;55.0
-;;;Rentsch Christian (1998);;;;;;;;8.75
+;4;8.75;Arnold Philipp (2000);;27;35.25;2;9.75;-2;1.0;10.0
-;5;18.75;Hurschler Thomas;**;14;55.0;6;18.5;1;-0.25;8.75
+;10;27.5;Herger Lukas;;20;53.5;10;27.5;0;0.0;10.0
o;7;37.5;Vonlaufen Alexander;**;10;56.0;7;37.5;0;0.0;8.5
-;12;46.0;Wallimann Remo;;14;55.0;12;46.0;0;0.0;9.0

14f;Egli Damian;**;;;;;;;;;55.0
o;;;Herger Matthias;**;;;;;;;8.5
o;5;8.5;Vonlaufen Alexander;**;10;56.0;4;8.75;-1;0.25;8.5
+;12;17.0;von Moos Adrian;;18;54.0;7;18.25;-5;1.25;9.75
+;13;26.75;Rohrer André;;18;54.0;12;27.0;-1;0.25;9.75
+;11;36.5;Zumstein Marcel;;18;54.0;10;36.75;-1;0.25;10.0
o;10;46.5;von Ah Benji;***;6;57.0;8;47.0;-2;0.5;8.5

14g;Diener Pirmin;*;;;;;;;;;55.0
o;;;Odermatt Christian;**;;;;;;;8.5
o;5;8.5;Zimmermann Simon;*;7;56.75;4;8.75;-1;0.25;8.5
+;12;17.0;Röthlin Pascal;;13;55.25;7;18.25;-5;1.25;9.75
o;13;26.75;Käslin Benno;*;12;55.5;12;27.0;-1;0.25;8.75
+;15;35.5;Zberg Leo;;21;53.0;14;35.75;-1;0.25;9.75
+;15;45.25;Baumann Reto;;19;53.75;15;45.25;0;0.0;9.75

14h;Albert Thomas;;;;;;;;;;55.0
+;;;Herger André;;;;;;;;10.0
+;1;10.0;Ming Hannes (1998);;19;53.75;1;10.0;0;0.0;9.75
o;2;19.75;Ulrich Andreas;***;3;57.75;5;18.75;3;-1.0;8.5
+;7;28.25;Würsch Lars;;13;55.25;7;28.25;0;0.0;9.75
o;5;38.0;Herger Matthias;**;8;56.5;4;38.25;-1;0.25;8.5
o;10;46.5;Niederberger Martin;*;8;56.5;9;46.75;-1;0.25;8.5

15a;Arnold Fabian;;;;;;;;;;54.75
+;;;Zumstein Patrick;;;;;;;;10.0
-;1;10.0;Widmer Thomas;;17;54.25;2;9.75;1;-0.25;8.75
o;5;18.75;Niederberger Markus;*;13;55.25;6;18.5;1;-0.25;8.5
-;11;27.25;Gander Adrian;*;10;56.0;11;27.25;0;0.0;8.75
-;13;36.0;Fleischmann Fabian;;20;53.5;13;36.0;0;0.0;8.75
+;17;44.75;Abächerli Fabio (1998);;21;53.0;18;44.5;1;-0.25;10.0

15b;Baumann Roger;*;;;;;;;;;54.75
o;;;Amgarten Roman;*;;;;;;;8.5
+;5;8.5;Vogler Daniel;*;36;26.75;5;8.5;0;0.0;10.0
-;6;18.5;Amgarten Martin;;4;57.5;5;18.75;-1;0.25;9.0
+;10;27.5;von Deschwanden Patrick;;17;54.25;7;28.25;-3;0.75;9.75
o;8;37.25;Schurtenberger Sven;**;5;57.25;8;37.25;0;0.0;8.5
-;13;45.75;Michel Silvan;;16;54.5;13;45.75;0;0.0;9.0

15c;Reichmuth Armin;*;;;;;;;;;54.75
-;;;Zimmermann Martin;**;;;;;;;8.75
o;4;8.75;von Ah Benji;***;6;57.0;5;8.5;1;-0.25;8.5
-;11;17.25;Rohrer Ueli (1999);;15;54.75;6;18.5;-5;1.25;9.0
+;15;26.25;Baumann Reto;;19;53.75;12;27.0;-3;0.75;10.0
+;12;36.25;Herger Lukas;;20;53.5;12;36.25;0;0.0;9.75
-;12;46.0;Hurschler Thomas;**;14;55.0;11;46.25;-1;0.25;8.75

15d;Rohrer Ueli (1999);;;;;;;;;;54.75
+;;;Huber Stefan;;;;;;;;10.0
o;1;10.0;Binggeli Stefan;;7;56.75;1;10.0;0;0.0;8.5
-;6;18.5;Reichmuth Armin;*;15;54.75;11;17.25;5;-1.25;8.75
+;11;27.25;Gisler Mario (2000);;27;35.25;13;26.75;2;-0.5;10.0
-;8;37.25;Langenstein Philip;*;13;55.25;8;37.25;0;0.0;9.0
o;11;46.25;Arnold Raphael;*;9;56.25;10;46.5;-1;0.25;8.5

15e;Arnold Andreas;*;;;;;;;;;54.75
-;;;Vonlaufen Lukas;*;;;;;;;8.75
+;4;8.75;Käslin Ruedi;;13;55.25;1;10.0;-3;1.25;9.75
-;6;18.5;Fleischmann Fabian;;20;53.5;5;18.75;-1;0.25;8.75
o;11;27.25;Suppiger René;**;7;56.75;11;27.25;0;0.0;8.5
+;14;35.75;Bacher Andreas;;20;53.5;11;36.5;-3;0.75;10.0
-;13;45.75;Fessler Linus;;15;54.75;13;45.75;0;0.0;9.0

15f;Zumstein Patrick;;;;;;;;;;54.75
o;;;Arnold Fabian;;;;;;;;8.5
+;5;8.5;Baumann Reto;;19;53.75;5;8.5;0;0.0;10.0
-;6;18.5;Wyrsch Marco;*;13;55.25;10;17.5;4;-1.0;8.75
-;11;27.25;Durrer Nando (1999);;19;53.75;10;27.5;-1;0.25;9.0
o;12;36.25;Arnold Stefan;**;10;56.0;13;36.0;1;-0.25;8.5
+;17;44.75;Imholz Elias (1999);;22;52.75;19;44.25;2;-0.5;10.0

15g;Hess Dominik;*;;;;;;;;;54.75
-;;;Arnold Raphael;*;;;;;;;8.75
o;4;8.75;Kempf Elias;**;12;55.5;5;8.5;1;-0.25;8.5
+;11;17.25;Rohrer Marco (1999);;26;35.5;6;18.5;-5;1.25;10.0
o;11;27.25;Rentsch Christian (1998);;16;54.5;10;27.5;-1;0.25;8.5
+;14;35.75;Bucher Sandro (2000);;23;52.5;15;35.5;1;-0.25;10.0
-;13;45.75;Arnold Lukas (1998);;16;54.5;13;45.75;0;0.0;9.0

15h;Gander Martin;;;;;;;;;;54.75
-;;;Amrein Simon;;;;;;;;8.75
-;4;8.75;Hurschler Adrian;;17;54.25;4;8.75;0;0.0;8.75
+;10;17.5;Waser Adrian;;28;35.0;9;17.75;-1;0.25;9.75
-;11;27.25;Egli Manuel;*;15;54.75;11;27.25;0;0.0;8.75
+;13;36.0;Rohrer Marco (1999);;26;35.5;15;35.5;2;-0.5;10.0
o;12;46.0;Herger Fabian;*;11;55.75;12;46.0;0;0.0;8.75

15i;Fessler Linus;;;;;;;;;;54.75
o;;;Binggeli Stefan;;;;;;;;8.5
-;5;8.5;Waser Adrian;;28;35.0;3;9.0;-2;0.5;8.75
+;11;17.25;Burch Pascal;;27;35.25;12;17.0;1;-0.25;10.0
o;11;27.25;Fässler Dominic;*;13;55.25;11;27.25;0;0.0;8.5
+;14;35.75;Planzer Urs;;18;54.0;15;35.5;1;-0.25;10.0
-;13;45.75;Arnold Andreas;*;15;54.75;13;45.75;0;0.0;9.0

15j;Egli Manuel;*;;;;;;;;;54.75
o;;;Omlin Toni;*;;;;;;;8.5
-;5;8.5;Vonlaufen Lukas;*;19;53.75;4;8.75;-1;0.25;8.75
+;11;17.25;von Ah Quirin (2000);;22;52.75;6;18.5;-5;1.25;10.0
-;11;27.25;Gander Martin;;15;54.75;11;27.25;0;0.0;8.75
-;13;36.0;Hess Christian;;20;53.5;13;36.0;0;0.0;8.75
+;17;44.75;Rohrer Henry;;19;53.75;15;45.25;-2;0.5;10.0

16a;Hauser Roman (2000);;;;;;;;;;54.5
-;;;Odermatt Sepp;;;;;;;;9.0
o;3;9.0;Michel Silvan;;16;54.5;4;8.75;1;-0.25;8.5
+;10;17.5;Burch Bruno (2000);;30;34.5;10;17.5;0;0.0;10.0
o;10;27.5;Gasser Stefan;**;12;55.5;11;27.25;1;-0.25;8.5
+;13;36.0;Burch Thomas;;16;54.5;13;36.0;0;0.0;10.0
o;12;46.0;Barmettler Peter;*;10;56.0;12;46.0;0;0.0;8.5

16b;Vogel Remo;*;;;;;;;;;54.5
-;;;Gander Adrian;*;;;;;;;9.0
+;3;9.0;Halter Dominik;;36;26.75;2;9.75;-1;0.75;9.75
+;5;18.75;Waser Raphael (1998);;34;28.0;3;19.5;-2;0.75;10.0
-;5;28.75;Vonlaufen Alexander;**;10;56.0;5;28.75;0;0.0;8.75
o;7;37.5;Mathis Marcel;***;9;56.25;7;37.5;0;0.0;8.5
o;12;46.0;Omlin Toni;*;10;56.0;11;46.25;-1;0.25;8.5

16c;Michel Silvan;;;;;;;;;;54.5
-;;;Zberg Leo;;;;;;;;8.75
+;4;8.75;Hauser Roman (2000);;16;54.5;3;9.0;-1;0.25;10.0
o;5;18.75;Zimmermann Simon;*;7;56.75;6;18.5;1;-0.25;8.5
o;11;27.25;Arnold Lukas (1998);;16;54.5;12;27.0;1;-0.25;8.5
+;14;35.75;Nägeli Daniel;;19;53.75;15;35.5;1;-0.25;10.0
-;13;45.75;Baumann Roger;*;15;54.75;13;45.75;0;0.0;8.75

16d;Burch Thomas;;;;;;;;;;54.5
-;;;Waser Andrin (1999);;;;;;;;8.75
o;4;8.75;Gasser Dominik 2 (1998);;18;54.0;4;8.75;0;0.0;8.5
+;11;17.25;Imholz Elias (1999);;22;52.75;12;17.0;1;-0.25;10.0
-;11;27.25;Imfeld Christian;*;21;53.0;12;27.0;1;-0.25;8.75
o;13;36.0;Hauser Roman (2000);;16;54.5;13;36.0;0;0.0;8.5
+;18;44.5;von Ah Quirin (2000);;22;52.75;19;44.25;1;-0.25;10.0

16e;Arnold Lukas (1998);;;;;;;;;;54.5
o;;;Halter Dominik;;;;;;;;8.5
+;5;8.5;Kathriner Severin (2000);;32;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Rohrer Beat;*;11;55.75;10;17.5;4;-1.0;8.5
+;12;27.0;Michel Silvan;;16;54.5;11;27.25;-1;0.25;9.75
-;10;36.75;von Ah Markus;;12;55.5;10;36.75;0;0.0;9.0
-;13;45.75;Hess Dominik;*;15;54.75;13;45.75;0;0.0;8.75

16f;Rentsch Christian (1998);;;;;;;;;;54.5
-;;;Zurbuchen Martin;;;;;;;;8.75
-;4;8.75;Gander Michael (1998);;17;54.25;4;8.75;0;0.0;8.75
+;10;17.5;Zberg Leo;;21;53.0;11;17.25;1;-0.25;10.0
+;10;27.5;Hess Dominik;*;15;54.75;11;27.25;1;-0.25;10.0
o;7;37.5;Rohrer Marco;**;8;56.5;6;37.75;-1;0.25;8.5
o;12;46.0;Arnold Stefan;**;10;56.0;12;46.0;0;0.0;8.5

17a;Zimmermann Armin;;;;;;;;;;54.25
-;;;Wallimann Remo;;;;;;;;9.0
+;3;9.0;Ettlin Michael (1998);;27;35.25;2;9.75;-1;0.75;9.75
o;5;18.75;Imfeld Peter;***;6;57.0;6;18.5;1;-0.25;8.5
+;11;27.25;von Wyl Simon (1999);;27;35.25;13;26.75;2;-0.5;9.75
o;9;37.0;Gasser Stefan;**;12;55.5;9;37.0;0;0.0;8.5
-;14;45.5;Imfeld Beat;;17;54.25;14;45.5;0;0.0;8.75

17b;Widmer Thomas;;;;;;;;;;54.25
+;;;Ming Christian;;;;;;;;9.75
-;2;9.75;Arnold Fabian;;15;54.75;1;10.0;-1;0.25;8.75
o;6;18.5;Mathis Marcel;***;9;56.25;10;17.5;4;-1.0;8.5
-;12;27.0;Waser Adrian;;28;35.0;15;26.25;3;-0.75;8.75
o;14;35.75;Ettlin Thomas (2000);;18;54.0;15;35.5;1;-0.25;8.5
+;19;44.25;Stadler Johannes;;23;52.5;20;44.0;1;-0.25;10.0

17c;Riedi Adrian;;;;;;;;;;54.25
o;;;Würsch Lars;;;;;;;;8.5
+;5;8.5;von Wyl Simon (1999);;27;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Rohrer Ivan;*;13;55.25;7;18.25;1;-0.25;8.5
+;12;27.0;Fenk Daniel;;18;54.0;12;27.0;0;0.0;10.0
o;9;37.0;Amgarten Roman;*;11;55.75;8;37.25;-1;0.25;8.75
o;13;45.75;von Flüe Marco;;13;55.25;14;45.5;1;-0.25;8.5

17d;Odermatt Beat;;;;;;;;;;54.25
o;;;Kempf Damian;;;;;;;;8.5
+;5;8.5;Bissig Fabian;;18;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Zurfluh Markus;**;10;56.0;11;17.25;5;-1.25;8.5
o;12;27.0;Röthlin Pascal;;13;55.25;12;27.0;0;0.0;8.5
+;15;35.5;von Flüe Michael;;24;44.0;15;35.5;0;0.0;10.0
-;14;45.5;Zumstein Marcel;;18;54.0;15;45.25;1;-0.25;8.75

17e;Imfeld Beat;;;;;;;;;;54.25
-;;;Hurschler Adrian;;;;;;;;8.75
+;4;8.75;Rohrer André;;18;54.0;2;9.75;-2;1.0;9.75
o;6;18.5;Briker Michael;*;9;56.25;6;18.5;0;0.0;8.5
+;12;27.0;Durrer Ive (2000);;18;54.0;12;27.0;0;0.0;9.75
-;10;36.75;Würsch Lars;;13;55.25;10;36.75;0;0.0;8.75
-;14;45.5;Zimmermann Armin;;17;54.25;14;45.5;0;0.0;8.75

17f;Amrein Simon;;;;;;;;;;54.25
-;;;Gander Martin;;;;;;;;8.75
o;4;8.75;Betschart Patrick (1999);;19;53.75;5;8.5;1;-0.25;8.5
o;11;17.25;Waser Andrin (1999);;17;54.25;10;17.5;-1;0.25;8.5
+;17;25.75;Zurfluh Robin (2000);;22;52.75;12;27.0;-5;1.25;10.0
o;14;35.75;Gander Adrian;*;10;56.0;13;36.0;-1;0.25;8.5
+;19;44.25;Arnold Sebastian;;23;52.5;20;44.0;1;-0.25;10.0

17g;von Deschwanden Patrick;;;;;;;;;;54.25
+;;;Herger Andreas;;;;;;;;9.75
+;2;9.75;Rohrer Marco (1999);;26;35.5;1;10.0;-1;0.25;10.0
o;2;19.75;Murer Andy;*;6;57.0;5;18.75;3;-1.0;8.5
o;7;28.25;Baumann Roger;*;15;54.75;10;27.5;3;-0.75;8.5
-;10;36.75;Herger Simon;;12;55.5;11;36.5;1;-0.25;9.0
o;13;45.75;Zurfluh Michael (1999);;12;55.5;13;45.75;0;0.0;8.5

17h;Herger Andreas;;;;;;;;;;54.25
o;;;von Deschwanden Patrick;;;;;;;;8.5
+;5;8.5;von Flüe Michael;;24;44.0;5;8.5;0;0.0;10.0
o;6;18.5;Gander Adrian;*;10;56.0;11;17.25;5;-1.25;8.5
-;12;27.0;Abächerli Fabio (1998);;21;53.0;12;27.0;0;0.0;8.75
+;14;35.75;Durrer Ive (2000);;18;54.0;15;35.5;1;-0.25;10.0
o;13;45.75;Rohrer Beat;*;11;55.75;13;45.75;0;0.0;8.5

17i;Gander Michael (1998);;;;;;;;;;54.25
-;;;Waser Adrian;;;;;;;;8.75
-;4;8.75;Rentsch Christian (1998);;16;54.5;4;8.75;0;0.0;8.75
o;10;17.5;Wagner Stefan;;12;55.5;11;17.25;1;-0.25;8.5
+;16;26.0;Rohrer Henry;;19;53.75;12;27.0;-4;1.0;10.0
o;13;36.0;Herger Fabian;*;11;55.75;13;36.0;0;0.0;8.5
+;18;44.5;Imfeld Christian;*;21;53.0;18;44.5;0;0.0;9.75

17j;Hurschler Adrian;;;;;;;;;;54.25
-;;;Imfeld Beat;;;;;;;;8.75
