5596-2021-09-12_Luzerner_Kantonales_Schwingfest-ST

1a;Wicki Joel;***;;;;;;;;;59.0
+;4;8.75;Zimmermann Daniel;*;18;54.25;5;8.5;1;-0.25;10.0
+;5;18.75;Lüthy Ralph;;14;55.25;2;19.75;-3;1.0;10.0
o;5;28.75;Wicki Joel;***;1;59.0;1;30.0;-4;1.25;8.5
+;9;37.25;Felder Ivan (2004);;16;54.75;9;37.25;0;0.0;10.0
+;7;47.25;Züger Benjamin (2004);;13;55.5;8;47.0;1;-0.25;10.0

6d;Jund Matthias;*;;;;;;;;;57.25
-;;;Kessler Joel;*;;;;;;;9.0
+;3;9.0;Käslin Ruedi;*;28;35.5;5;8.5;2;-0.5;9.75
+;5;18.75;Rüttimann Daniel;;17;54.5;1;20.0;-4;1.25;10.0
o;5;28.75;Doppmann Urs;**;9;56.5;5;28.75;0;0.0;8.5
+;9;37.25;Ziegler Elias;;19;54.0;10;37.0;1;-0.25;10.0
+;7;47.25;Albert Thomas;;15;55.0;10;46.5;3;-0.75;10.0

6e;Steinauer Adrian;**;;;;;;;;;57.25
-;;;Schöpfer Ronny;**;;;;;;;9.0
+;3;9.0;Bättig Martin;*;5;57.5;1;10.0;-2;1.0;9.75
+;5;18.75;Vogel Laurin;;17;54.5;2;19.75;-3;1.0;10.0
o;5;28.75;Schurtenberger Sven;***;5;57.5;5;28.75;0;0.0;8.5
+;9;37.25;Chiodo Gian Paolo (2005);;17;54.5;10;37.0;1;-0.25;10.0
+;7;47.25;Troxler Jonas;*;9;56.5;5;47.75;-2;0.5;10.0

6f;Kaufmann Reto;*;;;;;;;;;57.25
+;;;Blaser Roman;*;;;;;;;10.0
-;1;10.0;Lustenberger Josef;*;7;57.0;2;9.75;1;-0.25;9.0
o;4;19.0;Herger Andreas;;13;55.5;1;20.0;-3;1.0;8.5
+;10;27.5;Lüthy Ralph;;14;55.25;7;28.25;-3;0.75;10.0
+;8;37.5;Zemp Christian (2004);;14;55.25;7;37.75;-1;0.25;9.75
+;7;47.25;Niederberger Markus;*;14;55.25;9;46.75;2;-0.5;10.0

7a;Bürli Roger;**;;;;;;;;;57.0
-;;;Lussi Marco;**;;;;;;;8.75
+;4;8.75;Schuler Daniel;*;28;35.5;5;8.5;1;-0.25;9.75
+;6;18.5;Hodel Michael;;28;35.5;6;18.5;0;0.0;10.0
-;6;28.5;Schöpfer Marco (2003);;12;55.75;5;28.75;-1;0.25;9.0
+;8;37.5;Steiner Severin;;10;56.25;7;37.75;-1;0.25;9.75
+;7;47.25;Reichmuth Roland;*;12;55.75;7;47.25;0;0.0;9.75

7b;Scherer Niklaus;**;;;;;;;;;57.0
+;;;Gasser Peter;*;;;;;;;9.75
o;2;9.75;Schurtenberger Sven;***;5;57.5;1;10.0;-1;0.25;8.5
+;7;18.25;Aregger Fabian;;19;54.0;6;18.5;-1;0.25;10.0
+;7;28.25;Kaufmann Jens;;25;45.25;7;28.25;0;0.0;10.0
-;5;38.25;Kenel Franz-Toni;*;8;56.75;5;38.25;0;0.0;9.0
+;7;47.25;Arnold Lukas;;14;55.25;10;46.5;3;-0.75;9.75

7c;Schnider Markus;*;;;;;;;;;57.0
+;;;Schuler Daniel;*;;;;;;;10.0
o;1;10.0;Stöckli Damian;*;7;57.0;2;9.75;1;-0.25;8.5
