5596-2021-09-12_Luzerner_Kantonales_Schwingfest-ST

1a;Wicki Joel;***;;;;;;;;;59.0
+;12;46.0;Simmen Robin (2004);;17;54.5;12;46.0;0;0.0;9.75

12c;Elmiger Andreas;*;;;;;;;;;55.75
o;;;Lemmenmeier Lukas;*;;;;;;;8.5
-;5;8.5;Arnold Marcel;*;10;56.25;5;8.5;0;0.0;9.0
+;10;17.5;von Wyl Kevin (2004);;12;55.75;5;18.75;-5;1.25;9.75
+;11;27.25;Kauflin Andrin (2004);;20;53.75;8;28.0;-3;0.75;10.0
+;9;37.25;Rogenmoser Ryan;;16;54.75;12;36.5;3;-0.75;9.75
-;8;47.0;Schuler Alex;***;11;56.0;7;47.25;-1;0.25;8.75

12d;Kessler Joel;*;;;;;;;;;55.75
-;;;Jund Matthias;*;;;;;;;9.0
-;3;9.0;Schaller Noah;;13;55.5;1;10.0;-2;1.0;9.0
+;8;18.0;Kurmann Jvo;;13;55.5;5;18.75;-3;0.75;10.0
-;8;28.0;Wicki Patrick;;14;55.25;8;28.0;0;0.0;8.75
-;11;36.75;Blaser Roman;*;12;55.75;11;36.75;0;0.0;9.0
+;13;45.75;Duss Yvan (2003);;14;55.25;9;46.75;-4;1.0;10.0

12e;Wyrsch Hansi;;;;;;;;;;55.75
-;;;Giger Samuel (2005);;;;;;;;8.75
-;4;8.75;Zgraggen Peter;;18;54.25;5;8.5;1;-0.25;8.75
+;10;17.5;Müller Severin;;33;34.0;12;17.0;2;-0.5;9.75
+;11;27.25;Stadelmann Simon;*;30;34.75;14;26.25;3;-1.0;10.0
+;9;37.25;Schumacher Marco;;17;54.5;10;37.0;1;-0.25;10.0
o;7;47.25;Stöckli Damian;*;7;57.0;8;47.0;1;-0.25;8.5

12f;Bachmann Roger;*;;;;;;;;;55.75
-;;;Elsener Marcel;*;;;;;;;8.75
+;4;8.75;Steiner Severin;;10;56.25;1;10.0;-3;1.25;10.0
o;5;18.75;Fankhauser Erich;***;4;57.75;3;19.5;-2;0.75;8.5
+;11;27.25;Andermatt Reto;;15;55.0;7;28.25;-4;1.0;10.0
o;9;37.25;von Wyl Kevin (2004);;12;55.75;9;37.25;0;0.0;8.5
+;13;45.75;Zimmermann Reto;;18;54.25;13;45.75;0;0.0;10.0

12g;Schöpfer Marco (2003);;;;;;;;;;55.75
+;;;Arnold Sebastian;;;;;;;;10.0
o;1;10.0;Wüthrich Philip;*;36;18.75;3;9.0;2;-1.0;8.75
+;5;18.75;Furrer Jens;;28;35.5;6;18.5;1;-0.25;10.0
-;5;28.75;Bürli Roger;**;7;57.0;6;28.5;1;-0.25;9.0
-;7;37.75;Durrer Nando;*;8;56.75;7;37.75;0;0.0;9.0
-;9;46.75;Hess Dominik;*;10;56.25;7;47.25;-2;0.5;9.0

12h;Elsener Marcel;*;;;;;;;;;55.75
-;;;Bachmann Roger;*;;;;;;;8.75
-;4;8.75;Elmiger Matthias;;13;55.5;1;10.0;-3;1.25;9.0
+;9;17.75;Chiodo Gian Paolo (2005);;17;54.5;5;18.75;-4;1.0;9.75
+;10;27.5;Rust Sandro;;16;54.75;8;28.0;-2;0.5;9.75
-;9;37.25;Schwyzer Samuel;*;13;55.5;11;36.75;2;-0.5;8.75
+;12;46.0;Huser Tobias;;16;54.75;11;46.25;-1;0.25;9.75

12i;Thalmann Thomas;*;;;;;;;;;55.75
-;;;Lagler Christian;*;;;;;;;8.75
o;4;8.75;Durrer Nando;*;8;56.75;3;9.0;-1;0.25;8.5
-;11;17.25;Barmettler Severin (2005);;14;55.25;6;18.5;-5;1.25;8.75
+;15;26.0;Furrer Jens;;28;35.5;12;27.0;-3;1.0;9.75
+;15;35.75;Müller Philipp (2005);;18;54.25;14;36.0;-1;0.25;10.0
+;13;45.75;Ettlin Michael;;16;54.75;12;46.0;-1;0.25;10.0

12j;Herger Fabian;*;;;;;;;;;55.75
o;;;Lustenberger Marc (2003);*;;;;;;;8.5
+;5;8.5;Bieri Elias;;14;55.25;2;9.75;-3;1.25;9.75
-;7;18.25;Bühler Ramon;;14;55.25;3;19.5;-4;1.25;8.75
+;12;27.0;Fischer Markus;;17;54.5;11;27.25;-1;0.25;10.0
+;10;37.0;Rüegsegger Ueli;*;14;55.25;11;36.75;1;-0.25;10.0
o;8;47.0;Lustenberger Josef;*;7;57.0;7;47.25;-1;0.25;8.75

12k;Kälin Roland;**;;;;;;;;;55.75
o;;;Doppmann Urs;**;;;;;;;8.5
-;5;8.5;Vogel Marcel;*;14;55.25;2;9.75;-3;1.25;9.0
+;10;17.5;Duss Livio (2005);;20;53.75;6;18.5;-4;1.0;10.0
+;10;27.5;Vogel Laurin;;17;54.5;7;28.25;-3;0.75;10.0
o;8;37.5;Fankhauser Reto;**;4;57.75;7;37.75;-1;0.25;8.5
+;12;46.0;Bättig Patrick (2003);;17;54.5;12;46.0;0;0.0;9.75

12l;Reichmuth Roland;*;;;;;;;;;55.75
o;;;Lustenberger Josef;*;;;;;;;8.75
o;4;8.75;Wyss Christian;;6;57.25;1;10.0;-3;1.25;8.5
+;11;17.25;von Rickenbach Carlo (2005);;14;55.25;6;18.5;-5;1.25;10.0
+;11;27.25;Rust Lorin (2004);;23;53.0;10;27.5;-1;0.25;10.0
+;9;37.25;Thierstein Marco;*;8;56.75;5;38.25;-4;1.0;10.0
o;7;47.25;Bürli Roger;**;7;57.0;7;47.25;0;0.0;8.5

12m;von Wyl Kevin (2004);;;;;;;;;;55.75
o;;;Bühler Kilian;;;;;;;;8.75
+;4;8.75;Küng Jonas (2004);;32;34.25;5;8.5;1;-0.25;10.0
o;5;18.75;Elmiger Andreas;*;12;55.75;10;17.5;5;-1.25;8.5
+;11;27.25;Hüsler Matthias;;28;35.5;12;27.0;1;-0.25;10.0
+;9;37.25;Bachmann Roger;*;12;55.75;9;37.25;0;0.0;10.0
o;7;47.25;Lustenberger Marc (2003);*;6;57.25;6;47.5;-1;0.25;8.5

13a;Huser Christian;;;;;;;;;;55.5
+;;;Hüsler Matthias;;;;;;;;10.0
+;1;10.0;Köpfli Mario (2005);;21;53.5;2;9.75;1;-0.25;10.0
o;1;20.0;Schöpfer Ronny;**;7;57.0;4;19.0;3;-1.0;8.5
o;6;28.5;Lemmenmeier Lukas;*;8;56.75;6;28.5;0;0.0;8.5
+;10;37.0;Kaufmann Jens;;25;45.25;11;36.75;1;-0.25;10.0
o;8;47.0;Durrer Nando;*;8;56.75;9;46.75;1;-0.25;8.5

13b;Kurmann Jvo;;;;;;;;;;55.5
-;;;Züger Benjamin (2004);;;;;;;;8.75
+;4;8.75;Amrhyn Jonas (2003);;17;54.5;5;8.5;1;-0.25;10.0
o;5;18.75;Kessler Joel;*;12;55.75;8;18.0;3;-0.75;8.5
o;11;27.25;Bucher Roland;*;14;55.25;11;27.25;0;0.0;8.5
+;15;35.75;Kunz Pascal (2004);;24;52.75;15;35.75;0;0.0;9.75
+;14;45.5;Föhn Christian;;18;54.25;13;45.75;-1;0.25;10.0

13c;Herger Andreas;;;;;;;;;;55.5
+;;;Giger Janik;;;;;;;;10.0
+;1;10.0;Widmer Simon;;17;54.5;1;10.0;0;0.0;10.0
+;1;20.0;Kaufmann Reto;*;6;57.25;4;19.0;3;-1.0;9.75
o;2;29.75;Fankhauser Marco;**;7;57.0;6;28.5;4;-1.25;8.5
o;5;38.25;Troxler Jonas;*;9;56.5;6;38.0;1;-0.25;8.75
o;8;47.0;Wyss Christian;;6;57.25;7;47.25;-1;0.25;8.5

13d;Brunner Timon;;;;;;;;;;55.5
o;;;Elmiger Matthias;;;;;;;;8.5
+;5;8.5;Albisser Jannik (2003);;33;34.0;5;8.5;0;0.0;10.0
+;6;18.5;Ottiger Lukas;*;35;25.5;12;17.0;6;-1.5;10.0
o;6;28.5;Felder Martin;*;10;56.25;7;28.25;1;-0.25;8.5
+;10;37.0;von Rickenbach Carlo (2005);;14;55.25;10;37.0;0;0.0;10.0
o;8;47.0;Lemmenmeier Lukas;*;8;56.75;8;47.0;0;0.0;8.5

13e;Schaller Noah;;;;;;;;;;55.5
+;;;Bucher André;;;;;;;;10.0
-;1;10.0;Kessler Joel;*;12;55.75;3;9.0;2;-1.0;9.0
+;4;19.0;Bättig Patrick (2003);;17;54.5;5;18.75;1;-0.25;10.0
-;4;29.0;Riebli Urs;*;10;56.25;5;28.75;1;-0.25;9.0
-;6;38.0;Gäggeler Adrian;*;10;56.25;9;37.25;3;-0.75;9.0
o;8;47.0;Bättig Martin;*;5;57.5;6;47.5;-2;0.5;8.5

13f;Nötzli Reto;***;;;;;;;;;55.5
o;;;Wicki Joel;***;;;;;;;8.5
-;5;8.5;Scherrer Fabian;*;8;56.75;2;9.75;-3;1.25;8.75
+;11;17.25;Wyss Sven;*;14;55.25;6;18.5;-5;1.25;10.0
+;11;27.25;Wicki David;*;16;54.75;9;27.75;-2;0.5;9.75
o;10;37.0;Graber Michael;*;3;58.0;6;38.0;-4;1.0;8.75
+;13;45.75;Achermann Simon;;15;55.0;10;46.5;-3;0.75;9.75

13g;Scherrer Patrick;;;;;;;;;;55.5
+;;;Bissig Julian (2003);;;;;;;;9.75
+;2;9.75;Rüegsegger Ueli;*;14;55.25;5;8.5;3;-1.25;10.0
-;2;19.75;Blaser Roman;*;12;55.75;7;18.25;5;-1.5;8.75
o;6;28.5;Schürpf Bruno;*;8;56.75;7;28.25;1;-0.25;8.5
-;10;37.0;Zimmermann Reto;;18;54.25;10;37.0;0;0.0;8.75
+;13;45.75;Ziegler Elias;;19;54.0;14;45.5;1;-0.25;9.75

13h;Elmiger Matthias;;;;;;;;;;55.5
+;;;Brunner Timon;;;;;;;;10.0
-;1;10.0;Elsener Marcel;*;12;55.75;4;8.75;3;-1.25;8.75
+;5;18.75;Rohrer Philipp (2004);;28;35.5;6;18.5;1;-0.25;9.75
o;6;28.5;Waser Dominik;**;7;57.0;6;28.5;0;0.0;8.75
+;9;37.25;Krauer Andri (2005);;19;54.0;11;36.75;2;-0.5;9.75
o;8;47.0;Fink Bruno;*;7;57.0;8;47.0;0;0.0;8.5

13i;Züger Benjamin (2004);;;;;;;;;;55.5
-;;;Kurmann Jvo;;;;;;;;8.75
+;4;8.75;Simmen Robin (2004);;17;54.5;4;8.75;0;0.0;10.0
o;5;18.75;Egli Damian;**;8;56.75;6;18.5;1;-0.25;8.5
+;11;27.25;Vogel Ivo;;24;52.75;11;27.25;0;0.0;9.75
+;10;37.0;Giger Janik;;19;54.0;11;36.75;1;-0.25;10.0
o;8;47.0;Fellmann Roman;**;6;57.25;7;47.25;-1;0.25;8.5

13j;Felder Seppi;*;;;;;;;;;55.5
o;;;Müller Roger;*;;;;;;;8.5
-;5;8.5;Zemp Christian (2004);;14;55.25;2;9.75;-3;1.25;9.0
+;10;17.5;Herger Marco;;15;55.0;6;18.5;-4;1.0;9.75
+;11;27.25;Bucher André;;15;55.0;8;28.0;-3;0.75;9.75
o;10;37.0;Schuler Alex;***;11;56.0;9;37.25;-1;0.25;8.5
+;14;45.5;Graber Sandro;;18;54.25;13;45.75;-1;0.25;10.0

13k;Schwyzer Samuel;*;;;;;;;;;55.5
-;;;Bucher Roland;*;;;;;;;8.75
o;4;8.75;Murer Andy;**;8;56.75;4;8.75;0;0.0;8.5
+;11;17.25;Zanini David;;18;54.25;6;18.5;-5;1.25;9.75
+;12;27.0;Portmann Curdin (2003);;28;35.5;12;27.0;0;0.0;9.75
-;11;36.75;Elsener Marcel;*;12;55.75;9;37.25;-2;0.5;8.75
+;14;45.5;Köpfli Mario (2005);;21;53.5;16;45.0;2;-0.5;10.0

13l;Ming Christian 2;;;;;;;;;;55.5
o;;;Müller Luca (2004);;;;;;;;8.5
+;5;8.5;Zberg Nuyen (2003);;33;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Rüegsegger Ueli;*;14;55.25;12;17.0;6;-1.5;8.5
+;12;27.0;Johann Michael;;28;35.5;12;27.0;0;0.0;10.0
+;10;37.0;Bissig Julian (2003);;18;54.25;11;36.75;1;-0.25;9.75
o;9;46.75;Odermatt Christian;**;5;57.5;5;47.75;-4;1.0;8.75

14a;Lussi Marco;**;;;;;;;;;55.25
-;;;Bürli Roger;**;;;;;;;8.75
-;4;8.75;Schmidiger Marco;*;31;34.5;5;8.5;1;-0.25;8.75
+;10;17.5;Theiler Thomas;;16;54.75;5;18.75;-5;1.25;9.75
+;11;27.25;Amrhyn Jonas (2003);;17;54.5;11;27.25;0;0.0;9.75
+;10;37.0;Aregger Fabian;;19;54.0;11;36.75;1;-0.25;9.75
o;9;46.75;Fankhauser Reto;**;4;57.75;5;47.75;-4;1.0;8.5

14b;Schärli Reto;*;;;;;;;;;55.25
o;;;Bättig Martin;*;;;;;;;8.5
o;5;8.5;Gäggeler Adrian;*;10;56.25;5;8.5;0;0.0;8.5
+;12;17.0;Zberg Kilian;;28;35.5;6;18.5;-6;1.5;9.75
+;13;26.75;Graber Sandro;;18;54.25;10;27.5;-3;0.75;10.0
+;11;36.75;Zimmermann Daniel;*;18;54.25;10;37.0;-1;0.25;10.0
o;9;46.75;Waser Dominik;**;7;57.0;8;47.0;-1;0.25;8.5

14c;Wicki Patrick;;;;;;;;;;55.25
+;;;Barmettler Severin (2005);;;;;;;;9.75
+;2;9.75;Schmid Pius;;18;54.25;2;9.75;0;0.0;9.75
o;3;19.5;Murer Andy;**;8;56.75;5;18.75;2;-0.75;8.5
-;8;28.0;Kessler Joel;*;12;55.75;8;28.0;0;0.0;8.75
+;11;36.75;Vogler Jonas;;15;55.0;11;36.75;0;0.0;10.0
o;9;46.75;Kenel Franz-Toni;*;8;56.75;8;47.0;-1;0.25;8.5

14d;Niederberger Markus;*;;;;;;;;;55.25
o;;;Felder Martin;*;;;;;;;8.5
o;5;8.5;Schöpfer Ronny;**;7;57.0;3;9.0;-2;0.5;8.5
+;12;17.0;Affentranger Martin;;28;35.5;6;18.5;-6;1.5;10.0
+;12;27.0;Schmid Joel;;22;53.25;11;27.25;-1;0.25;9.75
+;11;36.75;Wittwer Roy;;15;55.0;12;36.5;1;-0.25;10.0
o;9;46.75;Kaufmann Reto;*;6;57.25;7;47.25;-2;0.5;8.5

14e;Bieri Elias;;;;;;;;;;55.25
+;;;Andermatt Reto;;;;;;;;9.75
o;2;9.75;Herger Fabian;*;12;55.75;5;8.5;3;-1.25;8.5
+;7;18.25;Köpfli Mario (2005);;21;53.5;7;18.25;0;0.0;10.0
o;7;28.25;Arnold Marcel;*;10;56.25;10;27.5;3;-0.75;8.5
+;11;36.75;Duss Livio (2005);;20;53.75;11;36.75;0;0.0;9.75
o;10;46.5;Gasser Peter;*;8;56.75;9;46.75;-1;0.25;8.75

14f;Rüegsegger Ueli;*;;;;;;;;;55.25
o;;;Riebli Urs;*;;;;;;;8.5
o;5;8.5;Scherrer Patrick;;13;55.5;2;9.75;-3;1.25;8.5
+;12;17.0;Ming Christian 2;;13;55.5;6;18.5;-6;1.5;10.0
+;12;27.0;Waser David;;18;54.25;11;27.25;-1;0.25;9.75
o;11;36.75;Herger Fabian;*;12;55.75;10;37.0;-1;0.25;8.75
+;14;45.5;Zgraggen Peter;;18;54.25;13;45.75;-1;0.25;9.75

14g;Müller Roger;*;;;;;;;;;55.25
+;;;Felder Seppi;*;;;;;;;9.75
-;2;9.75;Kenel Franz-Toni;*;8;56.75;2;9.75;0;0.0;8.75
+;6;18.5;Gisler Silvan;;15;55.0;2;19.75;-4;1.25;10.0
+;6;28.5;Wyss Christian;;6;57.25;5;28.75;-1;0.25;9.75
o;5;38.25;Schöpfer Ronny;**;7;57.0;3;38.75;-2;0.5;8.5
o;9;46.75;Schürpf Bruno;*;8;56.75;8;47.0;-1;0.25;8.5

14h;Wyss Sven;*;;;;;;;;;55.25
o;;;Kenel Franz-Toni;*;;;;;;;8.5
+;5;8.5;Föhn Christian;;18;54.25;2;9.75;-3;1.25;10.0
o;6;18.5;Nötzli Reto;***;13;55.5;11;17.25;5;-1.25;8.5
+;12;27.0;Rogenmoser Ryan;;16;54.75;8;28.0;-4;1.0;10.0
o;10;37.0;Gasser Peter;*;8;56.75;10;37.0;0;0.0;8.5
+;14;45.5;Gabriel Simon;;18;54.25;13;45.75;-1;0.25;9.75

14i;Vogel Marcel;*;;;;;;;;;55.25
+;;;Troxler Jonas;*;;;;;;;9.75
-;2;9.75;Kälin Roland;**;12;55.75;5;8.5;3;-1.25;8.75
+;6;18.5;Felder Ivan (2004);;16;54.75;5;18.75;-1;0.25;9.75
+;7;28.25;Müller Luca (2004);;7;57.0;6;28.5;-1;0.25;10.0
o;5;38.25;Kurmann Toni;*;7;57.0;5;38.25;0;0.0;8.5
o;9;46.75;Suppiger Werner;**;9;56.5;10;46.5;1;-0.25;8.5

14j;Zemp Christian (2004);;;;;;;;;;55.25
+;;;Fellmann Simon;;;;;;;;9.75
-;2;9.75;Felder Seppi;*;13;55.5;5;8.5;3;-1.25;9.0
+;5;18.75;Arnold Linus (2004);;28;35.5;6;18.5;1;-0.25;10.0
-;5;28.75;Lustenberger Josef;*;7;57.0;6;28.5;1;-0.25;9.0
o;7;37.75;Kaufmann Reto;*;6;57.25;8;37.5;1;-0.25;8.5
-;11;46.25;Egli Adrian;;15;55.0;12;46.0;1;-0.25;9.0

14k;Wigger Simon;;;;;;;;;;55.25
+;;;Hodel Michael;;;;;;;;10.0
o;1;10.0;Hess Dominik;*;10;56.25;4;8.75;3;-1.25;8.5
+;6;18.5;Schurtenberger Pio (2004);;29;35.25;7;18.25;1;-0.25;9.75
o;7;28.25;Kenel Franz-Toni;*;8;56.75;7;28.25;0;0.0;8.5
o;11;36.75;Bucher Roland;*;14;55.25;10;37.0;-1;0.25;8.5
+;15;45.25;Kauflin Andrin (2004);;20;53.75;15;45.25;0;0.0;10.0

14l;Bucher Roland;*;;;;;;;;;55.25
-;;;Schwyzer Samuel;*;;;;;;;8.75
-;4;8.75;Fankhauser Reto;**;4;57.75;3;9.0;-1;0.25;8.75
+;10;17.5;Schmidiger Lukas (2004);;22;53.25;6;18.5;-4;1.0;9.75
+;11;27.25;Kurmann Jvo;;13;55.5;11;27.25;0;0.0;9.75
+;10;37.0;Wigger Simon;;14;55.25;11;36.75;1;-0.25;9.75
o;9;46.75;Fankhauser Marco;**;7;57.0;8;47.0;-1;0.25;8.5

14m;Arnold Lukas;;;;;;;;;;55.25
+;;;Bucher Adrian (2004);;;;;;;;9.75
o;2;9.75;Achermann Ivan (2005);;15;55.0;2;9.75;0;0.0;8.5
+;7;18.25;Suter Nicolas (2003);;29;35.25;7;18.25;0;0.0;10.0
o;7;28.25;Suppiger Werner;**;9;56.5;7;28.25;0;0.0;8.5
+;11;36.75;Wiss Ivan (2004);;18;54.25;11;36.75;0;0.0;9.75
o;10;46.5;Scherer Niklaus;**;7;57.0;7;47.25;-3;0.75;8.75

14n;Walker Jan (2004);;;;;;;;;;55.25
-;;;Bättig Patrick (2003);;;;;;;;8.75
+;4;8.75;Rust Silvio;;31;34.5;4;8.75;0;0.0;9.75
o;6;18.5;Suppiger Werner;**;9;56.5;7;18.25;1;-0.25;8.5
+;12;27.0;Schöpfer Roman (2003);;29;35.25;13;26.75;1;-0.25;10.0
o;10;37.0;Wyss Christian;;6;57.25;8;37.5;-2;0.5;8.5
+;14;45.5;Staffelbach Noah (2003);;20;53.75;15;45.25;1;-0.25;9.75

14o;Barmettler Severin (2005);;;;;;;;;;55.25
o;;;Wicki Patrick;;;;;;;;8.5
+;5;8.5;Marbach Sven (2005);;33;34.0;5;8.5;0;0.0;10.0
-;6;18.5;Thalmann Thomas;*;12;55.75;11;17.25;5;-1.25;8.75
+;11;27.25;Affentranger Martin;;28;35.5;12;27.0;1;-0.25;9.75
+;10;37.0;Föhn Christian;;18;54.25;10;37.0;0;0.0;9.75
o;9;46.75;Wyrsch Silvio;*;8;56.75;9;46.75;0;0.0;8.5

14p;Lüthy Ralph;;;;;;;;;;55.25
+;;;Wittwer Roy;;;;;;;;10.0
+;1;10.0;Ottiger Lukas;*;35;25.5;5;8.5;4;-1.5;9.75
o;2;19.75;Fellmann Roman;**;6;57.25;5;18.75;3;-1.0;8.5
o;7;28.25;Kaufmann Reto;*;6;57.25;10;27.5;3;-0.75;8.5
+;11;36.75;Achermann Ivan (2005);;15;55.0;11;36.75;0;0.0;10.0
o;9;46.75;Bühler Kilian;;8;56.75;9;46.75;0;0.0;8.5

14q;Bühler Ramon;;;;;;;;;;55.25
+;;;Huwyler Sven;;;;;;;;9.75
+;2;9.75;Bürgi Simon (2003);;29;35.25;5;8.5;3;-1.25;9.75
-;3;19.5;Herger Fabian;*;12;55.75;7;18.25;4;-1.25;8.75
+;7;28.25;Ulrich Marco;**;16;54.75;8;28.0;1;-0.25;10.0
o;5;38.25;Hegner Ueli;*;9;56.5;6;38.0;1;-0.25;8.5
o;9;46.75;Müller Luca (2004);;7;57.0;8;47.0;-1;0.25;8.5

14r;Duss Yvan (2003);;;;;;;;;;55.25
o;;;Rüegsegger Christian;;;;;;;;8.5
+;5;8.5;Lienhard Ramon (2004);;30;34.75;4;8.75;-1;0.25;9.75
+;7;18.25;Bullakaj Benhard;;29;35.25;7;18.25;0;0.0;10.0
o;7;28.25;Stöckli Damian;*;7;57.0;7;28.25;0;0.0;8.5
+;11;36.75;Köpfli Mario (2005);;21;53.5;12;36.5;1;-0.25;10.0
o;9;46.75;Kessler Joel;*;12;55.75;13;45.75;4;-1.0;8.5

14s;von Rickenbach Carlo (2005);;;;;;;;;;55.25
+;;;Broch Marcel;;;;;;;;10.0
o;1;10.0;Häller Nick;;15;55.0;1;10.0;0;0.0;8.5
o;6;18.5;Reichmuth Roland;*;12;55.75;11;17.25;5;-1.25;8.5
+;12;27.0;Imgrüth Fabian (2005);;28;35.5;12;27.0;0;0.0;10.0
o;10;37.0;Brunner Timon;;13;55.5;10;37.0;0;0.0;8.5
+;14;45.5;Blättler Ronnie (2004);;21;53.5;16;45.0;2;-0.5;9.75

15a;Egli Adrian;;;;;;;;;;55.0
-;;;Felder Ivan (2004);;;;;;;;9.0
+;3;9.0;Waser David;;18;54.25;4;8.75;1;-0.25;10.0
o;4;19.0;Ulrich Marco;**;16;54.75;7;18.25;3;-0.75;8.5
+;10;27.5;von Wyl Simon;;26;36.5;8;28.0;-2;0.5;10.0
o;8;37.5;Murer Andy;**;8;56.75;9;37.25;1;-0.25;8.5
-;12;46.0;Zemp Christian (2004);;14;55.25;11;46.25;-1;0.25;9.0

15b;Achermann Simon;;;;;;;;;;55.0
+;;;Gabriel Simon;;;;;;;;10.0
+;1;10.0;Krauer Andri (2005);;19;54.0;1;10.0;0;0.0;9.75
o;2;19.75;Lemmenmeier Lukas;*;8;56.75;5;18.75;3;-1.0;8.5
o;7;28.25;Hegner Ueli;*;9;56.5;7;28.25;0;0.0;8.5
+;11;36.75;Andermatt Reto;;15;55.0;11;36.75;0;0.0;9.75
o;10;46.5;Nötzli Reto;***;13;55.5;13;45.75;3;-0.75;8.5

15c;Achermann Ivan (2005);;;;;;;;;;55.0
+;;;Hüppin Lukas (2004);;;;;;;;9.75
+;2;9.75;Arnold Lukas;;14;55.25;2;9.75;0;0.0;10.0
o;2;19.75;Kenel Franz-Toni;*;8;56.75;6;18.5;4;-1.25;8.5
o;7;28.25;Bühler Kilian;;8;56.75;7;28.25;0;0.0;8.5
o;11;36.75;Lüthy Ralph;;14;55.25;11;36.75;0;0.0;8.5
+;15;45.25;Bucher Adrian (2004);;20;53.75;15;45.25;0;0.0;9.75

15d;Gisler Silvan;;;;;;;;;;55.0
+;;;Ziswiler Cyril (2004);;;;;;;;10.0
+;1;10.0;Duss Livio (2005);;20;53.75;1;10.0;0;0.0;9.75
o;2;19.75;Müller Roger;*;14;55.25;6;18.5;4;-1.25;8.5
+;7;28.25;Widmer Simon;;17;54.5;10;27.5;3;-0.75;9.75
o;6;38.0;Lustenberger Josef;*;7;57.0;8;37.5;2;-0.5;8.5
o;10;46.5;Schnider Markus;*;7;57.0;8;47.0;-2;0.5;8.5

15e;Bucher André;;;;;;;;;;55.0
o;;;Schaller Noah;;;;;;;;8.5
+;5;8.5;Giger Samuel (2005);;18;54.25;4;8.75;-1;0.25;9.75
+;7;18.25;Wittwer Roy;;15;55.0;7;18.25;0;0.0;9.75
o;8;28.0;Felder Seppi;*;13;55.5;11;27.25;3;-0.75;8.5
+;12;36.5;Theiler Thomas;;16;54.75;13;36.25;1;-0.25;10.0
o;10;46.5;Thierstein Marco;*;8;56.75;8;47.0;-2;0.5;8.5

15f;Herger Marco;;;;;;;;;;55.0
o;;;Chiodo Gian Paolo (2005);;;;;;;;8.5
+;5;8.5;Koch Cyrill (2004);;24;52.75;4;8.75;-1;0.25;10.0
o;6;18.5;Felder Seppi;*;13;55.5;10;17.5;4;-1.0;8.75
-;11;27.25;Simmen Robin (2004);;17;54.5;11;27.25;0;0.0;9.0
+;13;36.25;Bucher Adrian (2004);;20;53.75;11;36.75;-2;0.5;10.0
-;11;46.25;Fässler Dominic;**;16;54.75;12;46.0;1;-0.25;8.75

15g;Andermatt Reto;;;;;;;;;;55.0
o;;;Bieri Elias;;;;;;;;8.5
+;5;8.5;Rohrer Sven (2004);;22;53.25;4;8.75;-1;0.25;10.0
+;6;18.5;Schmidiger Marco;*;31;34.5;11;17.25;5;-1.25;9.75
o;7;28.25;Bachmann Roger;*;12;55.75;11;27.25;4;-1.0;8.5
o;11;36.75;Achermann Simon;;15;55.0;11;36.75;0;0.0;8.5
+;15;45.25;Duss Livio (2005);;20;53.75;15;45.25;0;0.0;9.75

15h;Riedweg Matteo (2005);;;;;;;;;;55.0
+;;;Kunz Pascal (2004);;;;;;;;9.75
o;2;9.75;von Wyl Simon;;26;36.5;2;9.75;0;0.0;8.5
o;7;18.25;Kauflin Andrin (2004);;20;53.75;7;18.25;0;0.0;8.5
+;13;26.75;Schurtenberger Pio (2004);;29;35.25;13;26.75;0;0.0;9.75
o;12;36.5;Achermann Ueli;;17;54.5;13;36.25;1;-0.25;8.5
+;16;45.0;Zenklusen Matteo (2005);;24;52.75;19;44.25;3;-0.75;9.75
+;16;54.75;Rust Lorin (2004);;23;53.0;23;53.0;7;-1.75;0.25

15i;Wittwer Roy;;;;;;;;;;55.0
o;;;Lüthy Ralph;;;;;;;;8.5
+;5;8.5;Ziegler Manuel;;34;27.0;4;8.75;-1;0.25;9.75
o;7;18.25;Bucher André;;15;55.0;7;18.25;0;0.0;8.5
+;13;26.75;Steinauer Kevin (2004);;28;35.5;12;27.0;-1;0.25;9.75
o;12;36.5;Niederberger Markus;*;14;55.25;11;36.75;-1;0.25;8.5
+;16;45.0;Füglister Stefan (2003);;20;53.75;15;45.25;-1;0.25;10.0

15j;Vogler Jonas;;;;;;;;;;55.0
+;;;Schmid Joel;;;;;;;;9.75
+;2;9.75;Schurtenberger Pio (2004);;29;35.25;2;9.75;0;0.0;10.0
o;2;19.75;Thierstein Marco;*;8;56.75;6;18.5;4;-1.25;8.5
o;7;28.25;Graber Michael;*;3;58.0;7;28.25;0;0.0;8.5
o;11;36.75;Wicki Patrick;;14;55.25;11;36.75;0;0.0;8.5
+;15;45.25;Krauer Andri (2005);;19;54.0;15;45.25;0;0.0;9.75

15k;Häller Nick;;;;;;;;;;55.0
+;;;Rust Sandro;;;;;;;;10.0
+;1;10.0;von Rickenbach Carlo (2005);;14;55.25;1;10.0;0;0.0;9.75
o;2;19.75;Graber Michael;*;3;58.0;6;18.5;4;-1.25;8.5
o;7;28.25;Odermatt Christian;**;5;57.5;7;28.25;0;0.0;8.5
o;11;36.75;Müller Luca (2004);;7;57.0;10;37.0;-1;0.25;8.5
+;15;45.25;Schmid Joel;;22;53.25;17;44.75;2;-0.5;9.75

