5212-2022-05-22_112_Zuercher_Kantonales_Schwingfest-ST

1a;Rychen Roger;***;;;;;;;;;58.5
-;6;18.5;Feldmann Patrik (2005);;12;55.25;5;18.75;-1;0.25;9.0
+;8;27.5;Brunner Dominik (2004);;11;55.5;8;27.5;0;0.0;9.75
+;8;37.25;Schiesser Patrik;*;15;54.5;7;37.5;-1;0.25;9.75
+;6;47.0;Koller Fabian;*;13;55.0;8;46.5;2;-0.5;10.0

5b;Ackermann Remo;*;;;;;;;;;57.0
+;;;Ackermann Rico;*;;;;;;;10.0
+;1;10.0;Kuster Thomas;**;11;55.5;4;8.75;3;-1.25;9.75
+;2;19.75;Bühler Hannes;*;12;55.25;2;19.75;0;0.0;10.0
o;1;29.75;Giger Samuel;***;2;58.25;1;29.75;0;0.0;8.5
+;4;38.25;Winzeler Simon;;6;56.75;3;38.5;-1;0.25;10.0
-;3;48.25;Burkhalter Stefan;***;6;56.75;4;48.0;1;-0.25;8.75

5c;Dändliker Shane;**;;;;;;;;;57.0
-;;;Collaud Romain;**;;;;;;;8.75
+;4;8.75;Heierli Pascal;**;25;35.0;5;8.5;1;-0.25;10.0
+;5;18.75;Ziegler Andreas;;16;54.25;2;19.75;-3;1.0;10.0
o;3;28.75;Bless Michael;***;3;57.75;2;29.25;-1;0.5;8.5
+;8;37.25;Rotach Lars;*;11;55.5;8;37.25;0;0.0;9.75
+;6;47.0;Giger Florian;;12;55.25;7;46.75;1;-0.25;10.0

5d;Wey Nicola;*;;;;;;;;;57.0
+;;;Elmer Adrian;*;;;;;;;10.0
o;1;10.0;Bühler Hannes;*;12;55.25;1;10.0;0;0.0;8.75
+;5;18.75;Schwyn Patrick;;10;55.75;1;20.0;-4;1.25;9.75
-;4;28.5;Notz Beni;***;10;55.75;4;28.5;0;0.0;8.75
+;8;37.25;Kolb Kilian (2005);;15;54.5;9;37.0;1;-0.25;9.75
+;6;47.0;Rogenmoser Ryan;;13;55.0;8;46.5;2;-0.5;10.0

5e;Leuppi Samir;***;;;;;;;;;57.0
o;;;Giger Samuel;***;;;;;;;8.5
+;5;8.5;Hugelshofer Lars;*;7;56.5;2;9.75;-3;1.25;10.0
+;6;18.5;Koller Fabian;*;13;55.0;6;18.5;0;0.0;10.0
+;4;28.5;Räbsamen Marcel;**;4;57.25;3;28.75;-1;0.25;9.75
+;4;38.25;Loup Alexandre;*;6;56.75;4;38.25;0;0.0;10.0
-;3;48.25;Riget Florian;**;6;56.75;4;48.0;1;-0.25;8.75

5f;Voggensperger Janic;**;;;;;;;;;57.0
+;;;Roth Martin;***;;;;;;;9.75
-;2;9.75;Ott Damian;**;8;56.25;1;10.0;-1;0.25;8.75
+;6;18.5;Loup Grégoire;;13;55.0;3;19.5;-3;1.0;10.0
+;4;28.5;Lanter Christian;*;6;56.75;4;28.5;0;0.0;10.0
o;3;38.5;Bless Michael;***;3;57.75;2;39.25;-1;0.75;8.5
+;6;47.0;Bernold Edi;**;12;55.25;7;46.75;1;-0.25;10.0

6a;Winzeler Simon;;;;;;;;;;56.75
+;;;Waldmeier Marco (2005);;;;;;;;10.0
+;1;10.0;Burkhard Tobias;*;17;54.0;4;8.75;3;-1.25;10.0
o;1;20.0;Collaud Romain;**;9;56.0;6;18.5;5;-1.5;8.5
+;4;28.5;Keller Werner;*;15;54.5;5;28.25;1;-0.25;10.0
o;3;38.5;Ackermann Remo;*;5;57.0;4;38.25;1;-0.25;8.5
+;6;47.0;Bachmann Janos (2004);;13;55.0;8;46.5;2;-0.5;9.75

6b;Lehmann Philipp;*;;;;;;;;;56.75
+;;;Lenherr Cédric;*;;;;;;;10.0
o;1;10.0;Burkhalter Stefan;***;6;56.75;4;8.75;3;-1.25;8.5
+;6;18.5;Zumbach Michael;;20;53.0;5;18.75;-1;0.25;10.0
-;4;28.5;Schneider Mario;**;9;56.0;4;28.5;0;0.0;8.75
+;8;37.25;Fuster Arjuna;;16;54.25;9;37.0;1;-0.25;9.75
+;6;47.0;Wingeier Janik;;12;55.25;7;46.75;1;-0.25;9.75

6c;Loup Alexandre;*;;;;;;;;;56.75
o;;;Riget Florian;**;;;;;;;8.5
+;5;8.5;Elmer Adrian;*;8;56.25;5;8.5;0;0.0;9.75
+;7;18.25;Fallegger Marc;;13;55.0;6;18.5;-1;0.25;10.0
+;5;28.25;Müller Jano (2005);;17;54.0;4;28.5;-1;0.25;10.0
o;4;38.25;Leuppi Samir;***;5;57.0;4;38.25;0;0.0;8.5
+;7;46.75;Hari Michi;;12;55.25;8;46.5;1;-0.25;10.0

6d;Riget Florian;**;;;;;;;;;56.75
+;;;Loup Alexandre;*;;;;;;;10.0
o;1;10.0;Giger Samuel;***;2;58.25;1;10.0;0;0.0;8.5
+;6;18.5;Bucher Roman;;9;56.0;1;20.0;-5;1.5;9.75
+;5;28.25;Odermatt Michi;;17;54.0;5;28.25;0;0.0;9.75
+;5;38.0;Ammann Rico;*;12;55.25;5;38.0;0;0.0;10.0
-;4;48.0;Leuppi Samir;***;5;57.0;3;48.25;-1;0.25;8.75

6e;Lanter Christian;*;;;;;;;;;56.75
+;;;Blaser Niklas;*;;;;;;;10.0
o;1;10.0;Schlegel Werner;**;4;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Brunner Dominik (2004);;11;55.5;4;19.0;-2;0.5;10.0
o;4;28.5;Voggensperger Janic;**;5;57.0;4;28.5;0;0.0;8.5
+;9;37.0;Stauffacher Martin;;12;55.25;9;37.0;0;0.0;9.75
+;7;46.75;Feldmann Patrik (2005);;12;55.25;7;46.75;0;0.0;10.0

6f;Odermatt Gian Maria (2004);*;;;;;;;;;56.75
+;;;Schiesser Patrik;*;;;;;;;9.75
-;2;9.75;Good Marco;**;10;55.75;5;8.5;3;-1.25;8.75
+;6;18.5;Stadelmann Patrick;;16;54.25;6;18.5;0;0.0;10.0
+;4;28.5;Giger Florian;;12;55.25;4;28.5;0;0.0;10.0
o;3;38.5;Rychen Roger;***;1;58.5;3;38.5;0;0.0;8.5
+;6;47.0;Wetter Silvan;*;12;55.25;7;46.75;1;-0.25;9.75

6g;Nägeli Marco;**;;;;;;;;;56.75
-;;;Kuster Thomas;**;;;;;;;8.75
+;4;8.75;Keller Werner;*;15;54.5;2;9.75;-2;1.0;9.75
+;6;18.5;Giger Florian;;12;55.25;1;20.0;-5;1.5;10.0
o;4;28.5;Schlegel Werner;**;4;57.25;4;28.5;0;0.0;8.5
+;9;37.0;Kundert Elias (2005);;11;55.5;9;37.0;0;0.0;9.75
+;7;46.75;Spörndli Cyril;;12;55.25;7;46.75;0;0.0;10.0

6h;Burkhalter Stefan;***;;;;;;;;;56.75
-;;;Riget Tobias;**;;;;;;;8.75
+;4;8.75;Lehmann Philipp;*;6;56.75;1;10.0;-3;1.25;9.75
+;6;18.5;Bickel Roman;*;7;56.5;6;18.5;0;0.0;9.75
+;5;28.25;Schwyn Adrian;*;12;55.25;5;28.25;0;0.0;9.75
+;5;38.0;Geisser Lars;**;11;55.5;4;38.25;-1;0.25;10.0
-;4;48.0;Ackermann Remo;*;5;57.0;3;48.25;-1;0.25;8.75

6i;Koch Thomas;*;;;;;;;;;56.75
+;;;Funk Nicola;*;;;;;;;9.75
o;2;9.75;Notz Beni;***;10;55.75;5;8.5;3;-1.25;8.5
+;7;18.25;Schmid Gian;;23;35.5;6;18.5;-1;0.25;10.0
+;5;28.25;Kühne Cyrill (2004);;16;54.25;5;28.25;0;0.0;10.0
+;4;38.25;Schnurrenberger Roman;**;8;56.25;6;37.75;2;-0.5;10.0
o;3;48.25;Giger Samuel;***;2;58.25;3;48.25;0;0.0;8.5

7a;Roth Martin;***;;;;;;;;;56.5
o;;;Voggensperger Janic;**;;;;;;;8.5
+;5;8.5;Ammann Rico;*;12;55.25;2;9.75;-3;1.25;10.0
o;6;18.5;Signer Andy;*;9;56.0;6;18.5;0;0.0;8.5
+;10;27.0;Bühler Hannes;*;12;55.25;5;28.25;-5;1.25;9.75
+;10;36.75;Riget Tobias;**;22;46.0;7;37.5;-3;0.75;9.75
+;8;46.5;Schlegel Reto;*;13;55.0;8;46.5;0;0.0;10.0

7b;Hugelshofer Lars;*;;;;;;;;;56.5
+;;;Schmidlin Tobias;*;;;;;;;9.75
o;2;9.75;Leuppi Samir;***;5;57.0;5;8.5;3;-1.25;8.5
+;7;18.25;Rüegg Patrick;;10;55.75;2;19.75;-5;1.5;10.0
+;5;28.25;Blaser Christian;**;13;55.0;5;28.25;0;0.0;9.75
+;5;38.0;Bernold Edi;**;12;55.25;5;38.0;0;0.0;10.0
o;4;48.0;Schlegel Werner;**;4;57.25;5;47.25;1;-0.75;8.5

7c;Bickel Roman;*;;;;;;;;;56.5
+;;;Büsser André;*;;;;;;;9.75
o;2;9.75;Wetter Silvan;*;12;55.25;2;9.75;0;0.0;8.75
o;6;18.5;Burkhalter Stefan;***;6;56.75;6;18.5;0;0.0;8.5
+;10;27.0;Lacher Tobias (2005);;12;55.25;6;28.0;-4;1.0;9.75
+;10;36.75;Fallegger Marc;;13;55.0;10;36.75;0;0.0;10.0
+;7;46.75;Schwyn Adrian;*;12;55.25;7;46.75;0;0.0;9.75

8a;Ott Damian;**;;;;;;;;;56.25
+;;;Kindlimann Fabian;***;;;;;;;10.0
-;1;10.0;Voggensperger Janic;**;5;57.0;2;9.75;1;-0.25;8.75
-;5;18.75;Wittenwiler Roman;*;13;55.0;4;19.0;-1;0.25;8.75
+;8;27.5;Ackermann Rico;*;13;55.0;5;28.25;-3;0.75;10.0
-;7;37.5;Schneider Mario;**;9;56.0;8;37.25;1;-0.25;8.75
+;9;46.25;Schiesser Patrik;*;15;54.5;10;46.0;1;-0.25;10.0

8b;Elmer Adrian;*;;;;;;;;;56.25
o;;;Wey Nicola;*;;;;;;;8.5
o;5;8.5;Loup Alexandre;*;6;56.75;5;8.5;0;0.0;8.5
+;11;17.0;Bürge Gian (2005);;23;35.5;6;18.5;-5;1.5;9.75
+;11;26.75;Zollinger Silvan (2004);;23;35.5;10;27.0;-1;0.25;10.0
+;10;36.75;Anliker Andri;;9;56.0;7;37.5;-3;0.75;9.75
+;8;46.5;Blaser Christian;**;13;55.0;8;46.5;0;0.0;9.75

8c;Nock Benjamin;*;;;;;;;;;56.25
-;;;Wittenwiler Roman;*;;;;;;;8.75
+;4;8.75;Wolfer David;;17;54.0;2;9.75;-2;1.0;9.75
o;6;18.5;Notz Beni;***;10;55.75;6;18.5;0;0.0;8.5
+;10;27.0;Gasenzer Christian (2004);;14;54.75;6;28.0;-4;1.0;9.75
+;10;36.75;Schiess Christian;;13;55.0;10;36.75;0;0.0;9.75
+;8;46.5;Bürgler Patrick;*;12;55.25;7;46.75;-1;0.25;9.75

8d;Funk Nicola;*;;;;;;;;;56.25
o;;;Koch Thomas;*;;;;;;;8.5
+;5;8.5;Nüesch Sandro (2005);;13;55.0;2;9.75;-3;1.25;10.0
-;6;18.5;Kiser Aron;;14;54.75;2;19.75;-4;1.25;9.0
-;8;27.5;Kuster Thomas;**;11;55.5;10;27.0;2;-0.5;9.0
+;11;36.5;Keller Werner;*;15;54.5;9;37.0;-2;0.5;9.75
+;9;46.25;Vollenweider Loïc (2004);;14;54.75;9;46.25;0;0.0;10.0

8e;Schnurrenberger Roman;**;;;;;;;;;56.25
+;;;Bieri Christian;**;;;;;;;10.0
+;1;10.0;Koller Fabian;*;13;55.0;1;10.0;0;0.0;10.0
o;1;20.0;Bless Michael;***;3;57.75;3;19.5;2;-0.5;8.75
-;3;28.75;Kiser Aron;;14;54.75;3;28.75;0;0.0;9.0
o;6;37.75;Koch Thomas;*;6;56.75;4;38.25;-2;0.5;8.5
+;9;46.25;Imhof Gregor;;14;54.75;9;46.25;0;0.0;10.0

9a;Schneider Mario;**;;;;;;;;;56.0
-;;;Räbsamen Marcel;**;;;;;;;8.75
+;4;8.75;Wetter Silvan;*;12;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Koch Reto;*;10;55.75;6;18.5;1;-0.25;9.75
-;4;28.5;Lehmann Philipp;*;6;56.75;4;28.5;0;0.0;8.75
-;8;37.25;Ott Damian;**;8;56.25;7;37.5;-1;0.25;8.75
+;10;46.0;Loup Grégoire;;13;55.0;9;46.25;-1;0.25;10.0

9b;Collaud Romain;**;;;;;;;;;56.0
-;;;Dändliker Shane;**;;;;;;;8.75
+;4;8.75;Schlegel Reto;*;13;55.0;1;10.0;-3;1.25;9.75
+;6;18.5;Winzeler Simon;;6;56.75;1;20.0;-5;1.5;10.0
-;4;28.5;Kindlimann Fabian;***;14;54.75;4;28.5;0;0.0;8.75
o;8;37.25;Kuster Thomas;**;11;55.5;13;36.0;5;-1.25;8.75
+;10;46.0;Kiser Aron;;14;54.75;9;46.25;-1;0.25;10.0

9c;Signer Andy;*;;;;;;;;;56.0
+;;;Schwyn Adrian;*;;;;;;;9.75
-;2;9.75;Bieri Christian;**;11;55.5;5;8.5;3;-1.25;8.75
+;6;18.5;Roth Martin;***;7;56.5;6;18.5;0;0.0;10.0
+;4;28.5;Plüer Fabian;;16;54.25;3;28.75;-1;0.25;9.75
-;4;38.25;Dumelin David;**;11;55.5;5;38.0;1;-0.25;8.75
-;6;47.0;Koch Reto;*;10;55.75;7;46.75;1;-0.25;9.0

9d;Anliker Andri;;;;;;;;;;56.0
-;;;Rogenmoser Ryan;;;;;;;;9.0
+;3;9.0;Baumann Joshua (2006);;28;34.0;5;8.5;2;-0.5;10.0
o;4;19.0;Keller Werner;*;15;54.5;7;18.25;3;-0.75;8.5
+;8;27.5;Zumbach Michael;;20;53.0;9;27.25;1;-0.25;10.0
o;7;37.5;Elmer Adrian;*;8;56.25;10;36.75;3;-0.75;8.5
+;10;46.0;Kammermann Dominik;;15;54.5;10;46.0;0;0.0;10.0

9e;Bucher Roman;;;;;;;;;;56.0
+;;;Gasenzer Christian (2004);;;;;;;;10.0
+;1;10.0;Schläpfer Matthias;*;23;35.5;5;8.5;4;-1.5;10.0
o;1;20.0;Riget Florian;**;6;56.75;6;18.5;5;-1.5;8.5
+;4;28.5;Bernold Michael;*;12;55.25;5;28.25;1;-0.25;10.0
o;3;38.5;Räbsamen Marcel;**;4;57.25;8;37.25;5;-1.25;8.5
-;6;47.0;Anliker Nino (2005);;11;55.5;8;46.5;2;-0.5;9.0

10a;Notz Beni;***;;;;;;;;;55.75
o;;;Bless Michael;***;;;;;;;8.5
+;5;8.5;Koch Thomas;*;6;56.75;2;9.75;-3;1.25;10.0
+;6;18.5;Nock Benjamin;*;8;56.25;6;18.5;0;0.0;10.0
-;4;28.5;Wey Nicola;*;5;57.0;4;28.5;0;0.0;8.75
-;8;37.25;Bieri Christian;**;11;55.5;9;37.0;1;-0.25;8.75
+;10;46.0;Leuppi Karim;*;15;54.5;10;46.0;0;0.0;9.75

10b;Good Marco;**;;;;;;;;;55.75
o;;;Dumelin David;**;;;;;;;8.5
-;5;8.5;Odermatt Gian Maria (2004);*;6;56.75;2;9.75;-3;1.25;8.75
+;10;17.25;Zollinger Philipp (2004);;16;54.25;5;18.75;-5;1.5;10.0
+;9;27.25;Straub Paul;;21;52.75;9;27.25;0;0.0;9.75
-;9;37.0;Wittenwiler Roman;*;13;55.0;7;37.5;-2;0.5;8.75
+;11;45.75;Bösch Mario (2006);;14;54.75;9;46.25;-2;0.5;10.0

10c;Ochsner Reto;;;;;;;;;;55.75
+;;;Morf Kilian;;;;;;;;9.75
-;2;9.75;Sieber Marc;;17;54.0;2;9.75;0;0.0;8.75
-;6;18.5;Wettstein Daniel;*;15;54.5;10;17.25;4;-1.25;8.75
+;9;27.25;Arnold Lukas;;23;35.5;10;27.0;1;-0.25;10.0
o;8;37.25;Koller Fabian;*;13;55.0;10;36.75;2;-0.5;8.5
+;11;45.75;Zollinger Philipp (2004);;16;54.25;11;45.75;0;0.0;10.0

10d;Rüegg Patrick;;;;;;;;;;55.75
+;;;Stauffacher Martin;;;;;;;;10.0
+;1;10.0;Neff Florian;*;16;54.25;4;8.75;3;-1.25;9.75
o;2;19.75;Hugelshofer Lars;*;7;56.5;7;18.25;5;-1.5;8.5
o;5;28.25;Schiesser Patrik;*;15;54.5;8;27.5;3;-0.75;8.75
+;9;37.0;Lüönd Remo;;16;54.25;9;37.0;0;0.0;9.75
-;7;46.75;Schwyn Patrick;;10;55.75;7;46.75;0;0.0;9.0

10e;Keller Dominic;;;;;;;;;;55.75
+;;;Faraj Daniel;;;;;;;;10.0
-;1;10.0;Feldmann Patrik (2005);;12;55.25;1;10.0;0;0.0;8.75
o;5;18.75;Riget Tobias;**;22;46.0;9;17.5;4;-1.25;8.5
o;9;27.25;Kammermann Dominik;;15;54.5;9;27.25;0;0.0;8.5
+;14;35.75;Stadelmann Patrick;;16;54.25;14;35.75;0;0.0;10.0
+;11;45.75;Fuster Arjuna;;16;54.25;11;45.75;0;0.0;10.0

10f;Schwyn Patrick;;;;;;;;;;55.75
+;;;Falch Urs;;;;;;;;10.0
+;1;10.0;Küchler Severin;;23;35.5;1;10.0;0;0.0;10.0
o;1;20.0;Wey Nicola;*;5;57.0;5;18.75;4;-1.25;8.5
o;4;28.5;Geisser Lars;**;11;55.5;5;28.25;1;-0.25;8.5
+;9;37.0;Müller Jano (2005);;17;54.0;9;37.0;0;0.0;9.75
-;7;46.75;Rüegg Patrick;;10;55.75;7;46.75;0;0.0;9.0

10g;Koch Reto;*;;;;;;;;;55.75
o;;;Geisser Lars;**;;;;;;;8.75
+;4;8.75;Odermatt Michi;;17;54.0;1;10.0;-3;1.25;9.75
o;6;18.5;Schneider Mario;**;9;56.0;5;18.75;-1;0.25;8.75
+;9;27.25;Sieber Marc;;17;54.0;5;28.25;-4;1.0;9.75
+;9;37.0;Leuppi Karim;*;15;54.5;8;37.25;-1;0.25;9.75
-;7;46.75;Signer Andy;*;9;56.0;6;47.0;-1;0.25;9.0

11a;Kuster Thomas;**;;;;;;;;;55.5
-;;;Nägeli Marco;**;;;;;;;8.75
o;4;8.75;Ackermann Remo;*;5;57.0;1;10.0;-3;1.25;8.5
+;10;17.25;Zollinger Silvan (2004);;23;35.5;6;18.5;-4;1.25;9.75
-;10;27.0;Funk Nicola;*;8;56.25;8;27.5;-2;0.5;9.0
+;13;36.0;Collaud Romain;**;9;56.0;8;37.25;-5;1.25;9.75
+;11;45.75;Schild Cornel (2004);;14;54.75;10;46.0;-1;0.25;9.75

11b;Kundert Elias (2005);;;;;;;;;;55.5
+;;;Kühne Cyrill (2004);;;;;;;;9.75
o;2;9.75;Loup Grégoire;;13;55.0;2;9.75;0;0.0;8.75
o;6;18.5;Bernold Edi;**;12;55.25;7;18.25;1;-0.25;8.5
+;10;27.0;Schmid Gian;;23;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Nägeli Marco;**;6;56.75;9;37.0;0;0.0;8.5
+;12;45.5;Bachmann Oliver (2004);;18;53.75;13;45.25;1;-0.25;9.75
+;12;55.25;Buchmann Michael;;14;54.75;14;54.75;2;-0.5;0.25

11c;Dumelin David;**;;;;;;;;;55.5
+;;;Good Marco;**;;;;;;;9.75
o;2;9.75;Räbsamen Marcel;**;4;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Mösli Marcel;;29;27.0;6;18.5;-1;0.25;9.75
+;6;28.0;Nüesch Sandro (2005);;13;55.0;6;28.0;0;0.0;10.0
-;5;38.0;Signer Andy;*;9;56.0;4;38.25;-1;0.25;8.75
-;7;46.75;Geisser Lars;**;11;55.5;7;46.75;0;0.0;8.75

11d;Geisser Lars;**;;;;;;;;;55.5
+;;;Koch Reto;*;;;;;;;9.75
o;2;9.75;Bless Michael;***;3;57.75;2;9.75;0;0.0;8.5
+;7;18.25;Tschudi Mario;;15;54.5;6;18.5;-1;0.25;10.0
+;5;28.25;Schwyn Patrick;;10;55.75;4;28.5;-1;0.25;10.0
o;4;38.25;Burkhalter Stefan;***;6;56.75;5;38.0;1;-0.25;8.5
-;7;46.75;Dumelin David;**;11;55.5;7;46.75;0;0.0;8.75

11e;Anliker Nino (2005);;;;;;;;;;55.5
-;;;Giger Lorenz;;;;;;;;8.75
+;4;8.75;Peter Philipp;;11;55.5;5;8.5;1;-0.25;9.75
o;6;18.5;Koller Silvan;*;11;55.5;10;17.25;4;-1.25;8.5
+;10;27.0;Bakr Deliar (2006);;24;35.25;11;26.75;1;-0.25;9.75
+;10;36.75;Kühne Cyrill (2004);;16;54.25;10;36.75;0;0.0;9.75
-;8;46.5;Bucher Roman;;9;56.0;6;47.0;-2;0.5;9.0

11f;Rotach Lars;*;;;;;;;;;55.5
-;;;Arztmann Beda;**;;;;;;;8.75
-;4;8.75;Kammermann Dominik;;15;54.5;1;10.0;-3;1.25;8.75
+;9;17.5;Schild Cornel (2004);;14;54.75;5;18.75;-4;1.25;9.75
+;9;27.25;Burkhard Tobias;*;17;54.0;9;27.25;0;0.0;10.0
o;8;37.25;Dändliker Shane;**;5;57.0;8;37.25;0;0.0;8.5
+;11;45.75;Neff Florian;*;16;54.25;11;45.75;0;0.0;9.75

11g;Koller Silvan;*;;;;;;;;;55.5
o;;;Schlegel Reto;*;;;;;;;8.5
-;5;8.5;Hari Michi;;12;55.25;2;9.75;-3;1.25;8.75
+;10;17.25;Anliker Nino (2005);;11;55.5;6;18.5;-4;1.25;10.0
o;9;27.25;Riget Tobias;**;22;46.0;8;27.5;-1;0.25;8.5
+;14;35.75;Bachmann Oliver (2004);;18;53.75;10;36.75;-4;1.0;9.75
+;12;45.5;Kiener Raphael;;16;54.25;11;45.75;-1;0.25;10.0

11h;Peter Philipp;;;;;;;;;;55.5
o;;;Plüer Fabian;;;;;;;;8.5
o;5;8.5;Anliker Nino (2005);;11;55.5;4;8.75;-1;0.25;8.75
+;10;17.25;Faraj Daniel;;27;34.25;10;17.25;0;0.0;10.0
o;9;27.25;Bieri Christian;**;11;55.5;10;27.0;1;-0.25;8.5
+;14;35.75;Furrer Damian;;19;53.5;11;36.5;-3;0.75;9.75
+;12;45.5;Müller Jano (2005);;17;54.0;12;45.5;0;0.0;10.0

11i;Bieri Christian;**;;;;;;;;;55.5
o;;;Schnurrenberger Roman;**;;;;;;;8.5
-;5;8.5;Signer Andy;*;9;56.0;2;9.75;-3;1.25;8.75
+;10;17.25;Jäger Mathias (2006);;23;35.5;6;18.5;-4;1.25;9.75
+;10;27.0;Peter Philipp;;11;55.5;9;27.25;-1;0.25;10.0
-;9;37.0;Notz Beni;***;10;55.75;8;37.25;-1;0.25;8.75
+;11;45.75;Wettstein Daniel;*;15;54.5;10;46.0;-1;0.25;9.75

11j;Brunner Dominik (2004);;;;;;;;;;55.5
-;;;Biser Niklaus;;;;;;;;9.0
+;3;9.0;Käppeli Remo;;27;34.25;5;8.5;2;-0.5;10.0
o;4;19.0;Lanter Christian;*;6;56.75;6;18.5;2;-0.5;8.5
o;8;27.5;Arztmann Beda;**;5;57.0;8;27.5;0;0.0;8.5
+;13;36.0;Reichmuth Beat;;18;53.75;11;36.5;-2;0.5;9.75
+;11;45.75;Plüer Fabian;;16;54.25;11;45.75;0;0.0;9.75

12a;Lenherr Cédric;*;;;;;;;;;55.25
o;;;Lehmann Philipp;*;;;;;;;8.5
o;5;8.5;Plüer Fabian;;16;54.25;2;9.75;-3;1.25;8.5
+;11;17.0;Bakr Deliar (2006);;24;35.25;7;18.25;-4;1.25;10.0
+;10;27.0;Buff Alwin;;14;54.75;6;28.0;-4;1.0;9.75
o;10;36.75;Blaser Christian;**;13;55.0;10;36.75;0;0.0;8.5
+;13;45.25;Lüönd Remo;;16;54.25;11;45.75;-2;0.5;10.0

12b;Hari Michi;;;;;;;;;;55.25
+;;;Lacher Tobias (2005);;;;;;;;9.75
-;2;9.75;Koller Silvan;*;11;55.5;5;8.5;3;-1.25;8.75
+;6;18.5;Bösch Mario (2006);;14;54.75;7;18.25;1;-0.25;9.75
o;5;28.25;Schlegel Reto;*;13;55.0;10;27.0;5;-1.25;8.5
+;10;36.75;Gasenzer Christian (2004);;14;54.75;11;36.5;1;-0.25;9.75
o;8;46.5;Loup Alexandre;*;6;56.75;7;46.75;-1;0.25;8.75

12c;Bürgler Patrick;*;;;;;;;;;55.25
o;;;Ammann Rico;*;;;;;;;8.5
+;5;8.5;Schiess Christian;;13;55.0;2;9.75;-3;1.25;9.75
o;7;18.25;Kühne Cyrill (2004);;16;54.25;6;18.5;-1;0.25;8.5
+;11;26.75;Bernhardsgrütter Stefan (2005);;23;35.5;10;27.0;-1;0.25;10.0
+;10;36.75;Schmidlin Tobias;*;14;54.75;11;36.5;1;-0.25;10.0
o;7;46.75;Nock Benjamin;*;8;56.25;8;46.5;1;-0.25;8.5

12d;Bernold Michael;*;;;;;;;;;55.25
+;;;Schudel Simon;*;;;;;;;9.75
o;2;9.75;Kindlimann Fabian;***;14;54.75;5;8.5;3;-1.25;8.75
+;6;18.5;Kolb Kilian (2005);;15;54.5;5;18.75;-1;0.25;9.75
