5212-2022-05-22_112_Zuercher_Kantonales_Schwingfest-ST

1a;Rychen Roger;***;;;;;;;;;58.5
+;;;Schlegel Werner;**;;;;;;;10.0
+;1;10.0;Bernold Edi;**;12;55.25;2;9.75;1;-0.25;10.0
o;1;20.0;Giger Samuel;***;2;58.25;2;19.75;1;-0.25;8.5
+;4;28.5;Schudel Simon;*;15;54.5;4;28.5;0;0.0;10.0
+;3;38.5;Odermatt Gian Maria (2004);*;6;56.75;3;38.5;0;0.0;10.0
+;2;48.5;Bless Michael;***;3;57.75;1;49.0;-1;0.5;10.0

2a;Giger Samuel;***;;;;;;;;;58.25
+;;;Leuppi Samir;***;;;;;;;10.0
+;1;10.0;Riget Florian;**;6;56.75;1;10.0;0;0.0;9.75
+;2;19.75;Rychen Roger;***;1;58.5;1;20.0;-1;0.25;10.0
+;1;29.75;Ackermann Remo;*;5;57.0;1;29.75;0;0.0;9.75
-;1;39.5;Schlegel Werner;**;4;57.25;3;38.5;2;-1.0;8.75
+;3;48.25;Koch Thomas;*;6;56.75;3;48.25;0;0.0;10.0

3a;Bless Michael;***;;;;;;;;;57.75
+;;;Notz Beni;***;;;;;;;9.75
+;2;9.75;Geisser Lars;**;11;55.5;2;9.75;0;0.0;9.75
+;3;19.5;Schnurrenberger Roman;**;8;56.25;1;20.0;-2;0.5;9.75
+;2;29.25;Dändliker Shane;**;5;57.0;3;28.75;1;-0.5;10.0
+;2;39.25;Voggensperger Janic;**;5;57.0;3;38.5;1;-0.75;9.75
o;1;49.0;Rychen Roger;***;1;58.5;2;48.5;1;-0.5;8.75

4a;Räbsamen Marcel;**;;;;;;;;;57.25
-;;;Schneider Mario;**;;;;;;;8.75
+;4;8.75;Dumelin David;**;11;55.5;2;9.75;-2;1.0;10.0
+;5;18.75;Imhof Gregor;;14;54.75;3;19.5;-2;0.75;10.0
o;3;28.75;Leuppi Samir;***;5;57.0;4;28.5;1;-0.25;8.5
+;8;37.25;Bucher Roman;;9;56.0;3;38.5;-5;1.25;10.0
+;5;47.25;Ammann Rico;*;12;55.25;7;46.75;2;-0.5;10.0

4b;Schlegel Werner;**;;;;;;;;;57.25
o;;;Rychen Roger;***;;;;;;;8.75
+;4;8.75;Lanter Christian;*;6;56.75;1;10.0;-3;1.25;9.75
+;6;18.5;Blaser Niklas;*;15;54.5;6;18.5;0;0.0;10.0
+;4;28.5;Nägeli Marco;**;6;56.75;4;28.5;0;0.0;10.0
-;3;38.5;Giger Samuel;***;2;58.25;1;39.5;-2;1.0;8.75
+;5;47.25;Hugelshofer Lars;*;7;56.5;4;48.0;-1;0.75;10.0

5a;Arztmann Beda;**;;;;;;;;;57.0
-;;;Rotach Lars;*;;;;;;;8.75
+;4;8.75;Straub Paul;;21;52.75;1;10.0;-3;1.25;9.75
