3125-2015-08-09_Schaffhauser_Kantonalschwingfest-ST

+;4;8.75;Kunz Daniel;;14;54.25;1;10.0;-3;1.25;9.75
+;6;18.5;Koller Fabian;;16;53.75;6;18.5;0;0.0;9.75
-;7;28.25;Horner Peter;**;12;54.75;7;28.25;0;0.0;8.75
+;8;37.0;Inauen Andreas;*;13;54.5;6;37.5;-2;0.5;9.75
+;7;46.75;Bühler Ernst;**;6;56.25;3;47.75;-4;1.0;10.0

4b;Kaech Frank;;;;;;;;;;56.75
+;;;Schönenberger Philipp;;;;;;;;10.0
o;1;10.0;Bühler Ernst;**;6;56.25;2;9.75;1;-0.25;8.5
o;6;18.5;Bösch Roman;**;5;56.5;7;18.25;1;-0.25;8.5
+;12;27.0;Arnold Christian;;16;53.75;13;26.75;1;-0.25;10.0
+;8;37.0;Frei Hanspeter (1999);;15;54.0;8;37.0;0;0.0;10.0
+;6;47.0;Güntensperger Marcel;*;10;55.25;7;46.75;1;-0.25;9.75

4c;Vögeli Sven;*;;;;;;;;;56.75
+;;;Zinniel Markus;*;;;;;;;9.75
+;2;9.75;Inauen Andreas;*;13;54.5;1;10.0;-1;0.25;10.0
o;2;19.75;Forrer Arnold;***;2;57.5;5;18.75;3;-1.0;8.5
+;7;28.25;Ueltschi Patric;;5;56.5;7;28.25;0;0.0;10.0
+;3;38.25;Berger Roman;;9;55.5;3;38.25;0;0.0;10.0
o;1;48.25;Büsser Andy;***;2;57.5;4;47.5;3;-0.75;8.5

5a;Bösch Roman;**;;;;;;;;;56.5
o;;;Bühler Ernst;**;;;;;;;8.5
+;5;8.5;Kammermann Dominik;;13;54.5;2;9.75;-3;1.25;9.75
+;7;18.25;Kaech Frank;;4;56.75;6;18.5;-1;0.25;9.75
+;8;28.0;Braun Mathias;;11;55.0;8;28.0;0;0.0;10.0
+;4;38.0;Steiner Michael;**;8;55.75;7;37.25;3;-0.75;10.0
o;2;48.0;Leuppi Samir;**;3;57.0;6;47.0;4;-1.0;8.5

5b;Ueltschi Patric;;;;;;;;;;56.5
+;;;Danner Daniel;;;;;;;;10.0
o;1;10.0;Fejzaj Naim;*;10;55.25;3;9.0;2;-1.0;8.5
+;6;18.5;Roth Lukas;*;9;55.5;6;18.5;0;0.0;9.75
o;7;28.25;Vögeli Sven;*;4;56.75;7;28.25;0;0.0;8.5
