3860-2017-05-21_98_Luzerner_Kantonalschwingfest-ST

1a;Nötzli Bruno;***;;;;;;;;;58.5
+;5;8.5;von Büren Stephan;*;12;55.25;2;9.75;-3;1.25;9.75
+;7;18.25;Graber Michael;*;6;56.75;6;18.5;-1;0.25;10.0
-;5;28.25;Brun Jonas;**;10;55.75;4;28.5;-1;0.25;8.75
+;9;37.0;Bürgler André;*;11;55.5;8;37.25;-1;0.25;10.0
+;6;47.0;Hasler Florian;**;12;55.25;7;46.75;1;-0.25;10.0

5c;Suppiger Werner;**;;;;;;;;;57.0
-;;;Gasser Stefan;**;;;;;;;8.75
+;4;8.75;Briker Michael;*;10;55.75;4;8.75;0;0.0;9.75
+;6;18.5;Hurschler Adrian;;14;54.75;3;19.5;-3;1.0;10.0
+;4;28.5;Stadelmann Ron;;7;56.5;1;29.5;-3;1.0;10.0
-;3;38.5;Käser Remo;***;4;57.25;4;38.25;1;-0.25;8.75
+;5;47.25;Arnold Raphael;*;12;55.25;7;46.75;2;-0.5;9.75

5d;Schurtenberger Sven;***;;;;;;;;;57.0
-;;;Käser Remo;***;;;;;;;8.75
+;4;8.75;Hasler Florian;**;12;55.25;2;9.75;-2;1.0;9.75
+;6;18.5;Arnold Raphael;*;12;55.25;6;18.5;0;0.0;10.0
-;4;28.5;Ulrich Andreas;***;5;57.0;4;28.5;0;0.0;8.75
+;8;37.25;Suter David;**;14;54.75;6;37.75;-2;0.5;9.75
+;6;47.0;Reichmuth Armin;*;11;55.5;6;47.0;0;0.0;10.0

5e;Ulrich Andreas;***;;;;;;;;;57.0
-;;;Fankhauser Erich;***;;;;;;;8.75
+;4;8.75;Portmann Josef;*;6;56.75;1;10.0;-3;1.25;10.0
+;5;18.75;Lang Sven;*;7;56.5;2;19.75;-3;1.0;9.75
-;4;28.5;Schurtenberger Sven;***;5;57.0;4;28.5;0;0.0;8.75
+;8;37.25;Dober Adrian;**;7;56.5;5;38.0;-3;0.75;9.75
+;6;47.0;Fankhauser Reto;**;6;56.75;2;48.0;-4;1.0;10.0

6a;Doppmann Urs;*;;;;;;;;;56.75
+;;;Bürgler André;*;;;;;;;9.75
-;2;9.75;Hurschler Thomas;**;13;55.0;1;10.0;-1;0.25;8.75
+;6;18.5;Müller Mathias;;15;54.5;2;19.75;-4;1.25;10.0
+;4;28.5;Schärli Reto;;10;55.75;4;28.5;0;0.0;10.0
o;3;38.5;Fankhauser Marco;**;6;56.75;5;38.0;2;-0.5;8.5
