3860-2017-05-21_98_Luzerner_Kantonalschwingfest-ST

1a;Nötzli Bruno;***;;;;;;;;;58.5
o;4;8.75;Suppiger Werner;**;5;57.0;4;8.75;0;0.0;8.5
+;10;17.25;Bucher Thomas;;13;55.0;6;18.5;-4;1.25;10.0
+;9;27.25;Reber Sandro;;18;53.75;8;27.5;-1;0.25;9.75
o;9;37.0;Egli Pirmin;**;6;56.75;8;37.25;-1;0.25;8.75
+;11;45.75;Achermann Daniel;;15;54.5;11;45.75;0;0.0;10.0

10b;Schärli Reto;;;;;;;;;;55.75
+;;;Baumann Reto;;;;;;;;10.0
o;1;10.0;Fankhauser Marco;**;6;56.75;2;9.75;1;-0.25;8.5
+;6;18.5;Vogel Marcel;;15;54.5;6;18.5;0;0.0;10.0
o;4;28.5;Doppmann Urs;*;6;56.75;4;28.5;0;0.0;8.75
+;8;37.25;Troxler Jonas (2000);;12;55.25;10;36.75;2;-0.5;10.0
o;5;47.25;Linggi Bruno;**;8;56.25;8;46.5;3;-0.75;8.5

10c;Bissig Fabian;;;;;;;;;;55.75
o;;;Gerber Peter;;;;;;;;8.5
+;5;8.5;Wigger Simon (1999);;26;35.25;2;9.75;-3;1.25;10.0
o;6;18.5;Thalmann Adrian (1999);;13;55.0;6;18.5;0;0.0;8.5
+;10;27.0;Lischer Daniel (1999);;25;35.5;10;27.0;0;0.0;10.0
-;9;37.0;Hirsiger Alexander;;14;54.75;13;36.0;4;-1.0;8.75
+;11;45.75;Fellmann Roman;*;17;54.0;12;45.5;1;-0.25;10.0

10d;Brun Jonas;**;;;;;;;;;55.75
-;;;Gwerder Dario;**;;;;;;;8.75
+;4;8.75;Heiniger Luca;;12;55.25;2;9.75;-2;1.0;9.75
+;6;18.5;Küttel Samuel;;11;55.5;5;18.75;-1;0.25;10.0
-;4;28.5;Suppiger René;***;5;57.0;5;28.25;1;-0.25;8.75
+;8;37.25;Bieri Elias;;14;54.75;8;37.25;0;0.0;9.75
o;6;47.0;Elsener Adrian;**;7;56.5;7;46.75;1;-0.25;8.75

10e;Scheuber Lutz;**;;;;;;;;;55.75
-;;;Stöckli Stefan;***;;;;;;;8.75
-;4;8.75;Stöckli Damian;;10;55.75;1;10.0;-3;1.25;9.0
+;8;17.75;Hodel Martin;;21;53.0;5;18.75;-3;1.0;10.0
-;7;27.75;Martin Robin;*;14;54.75;9;27.25;2;-0.5;9.0
-;10;36.75;Gmür Pirmin;*;11;55.5;10;36.75;0;0.0;9.0
+;11;45.75;Bühlmann Daniel (2000);;16;54.25;11;45.75;0;0.0;10.0

10f;Stöckli Damian;;;;;;;;;;55.75
+;;;Suter Beat;;;;;;;;10.0
-;1;10.0;Scheuber Lutz;**;10;55.75;4;8.75;3;-1.25;8.75
+;5;18.75;Huser Christian (2000);;22;52.75;5;18.75;0;0.0;10.0
o;3;28.75;Linggi Bruno;**;8;56.25;5;28.25;2;-0.5;8.5
+;8;37.25;Weber Roman (1999);;18;53.75;10;36.75;2;-0.5;10.0
o;5;47.25;Suppiger Thomas;;3;57.5;4;47.5;-1;0.25;8.5

10g;Käslin Ruedi;*;;;;;;;;;55.75
o;;;Achermann Christoph;*;;;;;;;8.5
-;5;8.5;Imboden Roger;**;8;56.25;4;8.75;-1;0.25;8.75
+;10;17.25;Kottmann Jonas (2000);;25;35.5;6;18.5;-4;1.25;10.0
+;9;27.25;Arnold Sedric;;16;54.25;8;27.5;-1;0.25;9.75
-;9;37.0;Schnider Markus;*;14;54.75;8;37.25;-1;0.25;8.75
+;11;45.75;Zgraggen Peter;;16;54.25;11;45.75;0;0.0;10.0

10h;Reichmuth Roland;;;;;;;;;;55.75
-;;;Schaller Noah (2000);;;;;;;;9.0
o;3;9.0;Barmet Sven;;15;54.5;4;8.75;1;-0.25;8.5
+;9;17.5;Lustenberger Christian (2001);;31;34.0;11;17.0;2;-0.5;10.0
o;8;27.5;Felder Martin;*;7;56.5;9;27.25;1;-0.25;8.5
+;13;36.0;Wicki David;;16;54.25;14;35.75;1;-0.25;9.75
+;11;45.75;Elmiger Andreas;;16;54.25;11;45.75;0;0.0;10.0

10i;Schmid Simon (2000);;;;;;;;;;55.75
+;;;Ziegler Manuel;;;;;;;;10.0
o;1;10.0;Muff Armin;**;8;56.25;2;9.75;1;-0.25;8.5
+;6;18.5;Walker Roger;;14;54.75;6;18.5;0;0.0;10.0
-;4;28.5;Kessler Joel;*;16;54.25;5;28.25;1;-0.25;8.75
o;8;37.25;von Büren Stephan;*;12;55.25;9;37.0;1;-0.25;8.75
+;10;46.0;Schelbert Roman;;11;55.5;7;46.75;-3;0.75;9.75

11a;Schuler Daniel;;;;;;;;;;55.5
-;;;Wicki David;;;;;;;;9.0
+;3;9.0;Murpf Dario (1999);;26;35.25;2;9.75;-1;0.75;9.75
-;5;18.75;Thalmann Thomas;*;16;54.25;7;18.25;2;-0.5;8.75
o;8;27.5;Muff André;*;9;56.0;8;27.5;0;0.0;8.5
+;13;36.0;Ulrich Livio (1999);;17;54.0;14;35.75;1;-0.25;9.75
+;11;45.75;Hodler Mathias;;16;54.25;11;45.75;0;0.0;9.75

11b;Küttel Samuel;;;;;;;;;;55.5
-;;;Bieri Elias;;;;;;;;8.75
+;4;8.75;Weber Roman (1999);;18;53.75;2;9.75;-2;1.0;10.0
o;5;18.75;Brun Jonas;**;10;55.75;6;18.5;1;-0.25;8.5
+;9;27.25;Egli Matthias (2001);;25;35.5;10;27.0;1;-0.25;10.0
o;8;37.25;Bättig Martin;*;4;57.25;8;37.25;0;0.0;8.5
+;11;45.75;Müller Remo;;18;53.75;13;45.25;2;-0.5;9.75

11c;Huber Alex;*;;;;;;;;;55.5
o;;;Lang Sven;*;;;;;;;8.5
o;5;8.5;Ambühl Joel;*;6;56.75;5;8.5;0;0.0;8.75
+;10;17.25;Ziegler Elias (1999);;15;54.5;6;18.5;-4;1.25;10.0
+;9;27.25;Portmann Stefan;;12;55.25;6;28.0;-3;0.75;10.0
+;8;37.25;Lustenberger Josef;;15;54.5;7;37.5;-1;0.25;9.75
o;6;47.0;Gloggner Philipp;***;3;57.5;4;47.5;-2;0.5;8.5

11d;Schürpf Bruno;;;;;;;;;;55.5
+;;;Grüter Marcel (1999);;;;;;;;9.75
+;2;9.75;Ulrich Livio (1999);;17;54.0;1;10.0;-1;0.25;9.75
-;3;19.5;Bürli Roger;**;14;54.75;6;18.5;3;-1.0;8.75
-;5;28.25;Achermann Christoph;*;9;56.0;5;28.25;0;0.0;8.75
+;9;37.0;Bühlmann Daniel (2000);;16;54.25;9;37.0;0;0.0;9.75
o;7;46.75;Doppmann Urs;*;6;56.75;6;47.0;-1;0.25;8.75

11e;Schmid Köbi;;;;;;;;;;55.5
+;;;Bärtschi Basil;;;;;;;;9.75
+;2;9.75;Stäger Franz (2000);;25;35.5;1;10.0;-1;0.25;10.0
o;2;19.75;Bättig Martin;*;4;57.25;5;18.75;3;-1.0;8.5
-;5;28.25;Stöckli Stefan;***;24;45.0;8;27.5;3;-0.75;8.75
-;9;37.0;Kammermann Dominik;;16;54.25;9;37.0;0;0.0;8.75
+;11;45.75;Jund Matthias (1999);;17;54.0;12;45.5;1;-0.25;9.75

11f;Scherer Niklaus;;;;;;;;;;55.5
+;;;Odermatt Sepp;;;;;;;;9.75
-;2;9.75;Zimmermann Simon;**;17;54.0;5;8.5;3;-1.25;8.75
+;6;18.5;Zgraggen Peter;;16;54.25;6;18.5;0;0.0;9.75
-;5;28.25;Fellmann Roman;*;17;54.0;5;28.25;0;0.0;8.75
+;9;37.0;Kennel Roger (1999);;16;54.25;9;37.0;0;0.0;10.0
o;6;47.0;Herger Matthias;**;7;56.5;7;46.75;1;-0.25;8.5

11g;Rüttimann Daniel;;;;;;;;;;55.5
+;;;Bühler Kilian (2000);;;;;;;;9.75
+;2;9.75;Troxler Jonas (2000);;12;55.25;1;10.0;-1;0.25;9.75
-;3;19.5;Stadelmann Simon;*;15;54.5;6;18.5;3;-1.0;8.75
o;5;28.25;Felder Seppi;*;6;56.75;8;27.5;3;-0.75;8.5
+;10;36.75;Ziegler Manuel;;18;53.75;10;36.75;0;0.0;10.0
-;7;46.75;Binggeli Stefan;*;9;56.0;5;47.25;-2;0.5;8.75

11h;Schelbert Roman;;;;;;;;;;55.5
+;;;Theiler Thomas;;;;;;;;10.0
o;1;10.0;Fink Bruno;*;6;56.75;5;8.5;4;-1.5;8.5
+;6;18.5;Hodel Dominik (2000);;16;54.25;6;18.5;0;0.0;9.75
+;5;28.25;Fässler Dominic;*;14;54.75;8;27.5;3;-0.75;10.0
o;4;38.25;Wicki Joel;**;3;57.5;7;37.5;3;-0.75;8.5
o;7;46.75;Schmid Simon (2000);;10;55.75;10;46.0;3;-0.75;8.75

11i;Reichmuth Armin;*;;;;;;;;;55.5
+;;;Ambühl Joel;*;;;;;;;10.0
o;1;10.0;Gloggner Philipp;***;3;57.5;4;8.75;3;-1.25;8.5
+;6;18.5;Schöpfer Ronny (1999);;7;56.5;2;19.75;-4;1.25;9.75
-;5;28.25;Suppiger Thomas;;3;57.5;3;28.75;-2;0.5;8.75
+;9;37.0;Jund Matthias (1999);;17;54.0;9;37.0;0;0.0;10.0
o;6;47.0;Schurtenberger Sven;***;5;57.0;6;47.0;0;0.0;8.5

11j;Effinger Peter;;;;;;;;;;55.5
-;;;Bachmann Adrian;;;;;;;;8.75
+;4;8.75;Stocker Janosch (1999);;31;34.0;5;8.5;1;-0.25;10.0
+;5;18.75;Amrein Lukas (1999);;21;53.0;5;18.75;0;0.0;9.75
o;4;28.5;Gloggner Reto;**;4;57.25;5;28.25;1;-0.25;8.5
+;9;37.0;Hodel Dominik (2000);;16;54.25;9;37.0;0;0.0;10.0
o;6;47.0;Lang Sven;*;7;56.5;7;46.75;1;-0.25;8.5

11k;Bürgler André;*;;;;;;;;;55.5
o;;;Doppmann Urs;*;;;;;;;8.5
o;5;8.5;Graber Michael;*;6;56.75;4;8.75;-1;0.25;8.75
+;10;17.25;Lischer Daniel (1999);;25;35.5;6;18.5;-4;1.25;10.0
+;9;27.25;Hirsiger Alexander;;14;54.75;8;27.5;-1;0.25;10.0
o;8;37.25;Suppiger René;***;5;57.0;9;37.0;1;-0.25;8.5
+;11;45.75;Bärtschi Basil;;16;54.25;11;45.75;0;0.0;9.75

11l;Fessler Linus;*;;;;;;;;;55.5
-;;;Fellmann Roman;*;;;;;;;8.75
o;4;8.75;Dober Adrian;**;7;56.5;5;8.5;1;-0.25;8.5
+;10;17.25;Ambühl Patrick;;16;54.25;6;18.5;-4;1.25;10.0
+;9;27.25;Doppmann Ueli;;13;55.0;5;28.25;-4;1.0;9.75
+;9;37.0;Elmiger Andreas;;16;54.25;8;37.25;-1;0.25;10.0
o;6;47.0;Müller Michael;**;2;57.75;3;47.75;-3;0.75;8.5

11m;Gmür Pirmin;*;;;;;;;;;55.5
o;;;Thalmann Thomas;*;;;;;;;8.5
o;5;8.5;Gasser Stefan;**;33;18.75;4;8.75;-1;0.25;8.5
+;11;17.0;Odermatt Sepp;;12;55.25;7;18.25;-4;1.25;10.0
+;10;27.0;Ming Christian 2;;11;55.5;9;27.25;-1;0.25;9.75
-;10;36.75;Scheuber Lutz;**;10;55.75;10;36.75;0;0.0;9.0
+;11;45.75;Suter Pirmin;;16;54.25;11;45.75;0;0.0;9.75

11n;Zgraggen Fabian;*;;;;;;;;;55.5
+;;;Hirsiger Alexander;;;;;;;;10.0
o;1;10.0;Herger Matthias;**;7;56.5;4;8.75;3;-1.25;8.75
o;5;18.75;Gloggner Philipp;***;3;57.5;5;18.75;0;0.0;8.5
+;9;27.25;Hurschler Adrian;;14;54.75;6;28.0;-3;0.75;10.0
o;8;37.25;Kennel Stefan;**;9;56.0;7;37.5;-1;0.25;8.5
+;11;45.75;Wetzstein Adrian;;17;54.0;12;45.5;1;-0.25;9.75

11o;Ming Christian 2;;;;;;;;;;55.5
o;;;Stadelmann Ron;;;;;;;;8.5
-;5;8.5;Marti Christoph (1999);;20;53.25;2;9.75;-3;1.25;8.75
+;10;17.25;Widmer Dominik;;25;35.5;7;18.25;-3;1.0;10.0
o;9;27.25;Gmür Pirmin;*;11;55.5;10;27.0;1;-0.25;8.5
+;14;35.75;Scheuber Stefan;;16;54.25;14;35.75;0;0.0;10.0
+;11;45.75;Portmann Daniel;;17;54.0;12;45.5;1;-0.25;9.75

12a;Kurmann Jvo;;;;;;;;;;55.25
+;;;Schnider Simon (2001);;;;;;;;10.0
o;1;10.0;Egli Pirmin;**;6;56.75;3;9.0;2;-1.0;8.5
o;6;18.5;Portmann Roger;;12;55.25;6;18.5;0;0.0;8.5
+;10;27.0;Bucheli Dario (2001);;25;35.5;10;27.0;0;0.0;9.75
o;10;36.75;Zürcher Ueli (2000);;13;55.0;10;36.75;0;0.0;8.5
+;13;45.25;Kempf Damian;;18;53.75;13;45.25;0;0.0;10.0

12b;Odermatt Sepp;;;;;;;;;;55.25
o;;;Scherer Niklaus;;;;;;;;8.5
+;5;8.5;Schaller Noah (2000);;14;54.75;3;9.0;-2;0.5;9.75
o;7;18.25;Gmür Pirmin;*;11;55.5;11;17.0;4;-1.25;8.5
+;11;26.75;Hodel Michael (2000);;26;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Fallegger Franco (1999);;12;55.25;10;36.75;0;0.0;8.5
+;13;45.25;Ineichen Stefan;;21;53.0;16;44.5;3;-0.75;10.0

12c;Ottiger Lukas;;;;;;;;;;55.25
+;;;Wetzstein Adrian;;;;;;;;9.75
+;2;9.75;Wicki Fabian (2001);;25;35.5;2;9.75;0;0.0;10.0
-;2;19.75;Hurschler Thomas;**;13;55.0;5;18.75;3;-1.0;8.75
o;4;28.5;Fankhauser Reto;**;6;56.75;5;28.25;1;-0.25;8.5
+;9;37.0;Scherrer Patrick;;18;53.75;10;36.75;1;-0.25;9.75
o;7;46.75;Reichmuth Marco;**;5;57.0;6;47.0;-1;0.25;8.5

12d;Blatter Remo (2000);;;;;;;;;;55.25
o;;;Heiniger Luca;;;;;;;;8.5
+;5;8.5;Peter Lukas (2001);;31;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Egli Manuel;*;6;56.75;10;17.25;4;-1.25;8.5
+;10;27.0;Erni Michael (2000);;25;35.5;10;27.0;0;0.0;10.0
o;9;37.0;Graber Michael;*;6;56.75;9;37.0;0;0.0;8.5
+;12;45.5;Schnider Simon (2001);;17;54.0;12;45.5;0;0.0;9.75

12e;Portmann Stefan;;;;;;;;;;55.25
+;;;Rust Sandro (1999);;;;;;;;9.75
o;2;9.75;Blaser Theo;*;6;56.75;3;9.0;1;-0.75;8.5
+;7;18.25;Hodel Michael (2000);;26;35.25;7;18.25;0;0.0;9.75
o;6;28.0;Huber Alex;*;11;55.5;9;27.25;3;-0.75;8.5
-;11;36.5;Marti Christoph (1999);;20;53.25;13;36.0;2;-0.5;8.75
+;13;45.25;Odermatt Andreas;;18;53.75;13;45.25;0;0.0;10.0

12f;Gisler Stefan;;;;;;;;;;55.25
+;;;Egli Jonas (2000);;;;;;;;10.0
o;1;10.0;Odermatt Christian;**;12;55.25;5;8.5;4;-1.5;8.5
-;6;18.5;Ulrich Pascal (1999);;14;54.75;6;18.5;0;0.0;9.0
-;8;27.5;Ming Hannes;;14;54.75;9;27.25;1;-0.25;9.0
o;11;36.5;Hegner Ueli (1999);*;13;55.0;10;36.75;-1;0.25;8.75
+;13;45.25;Erni Mathias;;18;53.75;13;45.25;0;0.0;10.0

12g;Hasler Florian;**;;;;;;;;;55.25
+;;;Schärli Lukas;**;;;;;;;9.75
o;2;9.75;Schurtenberger Sven;***;5;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Scheuber Stefan;;16;54.25;5;18.75;-2;0.5;10.0
-;5;28.25;Suppiger Thomas;;3;57.5;3;28.75;-2;0.5;8.75
+;9;37.0;Portmann Daniel;;17;54.0;9;37.0;0;0.0;9.75
o;7;46.75;Suppiger René;***;5;57.0;6;47.0;-1;0.25;8.5

12h;Wicki Kevin;;;;;;;;;;55.25
+;;;Wyrsch Hansi (1999);;;;;;;;9.75
o;2;9.75;Egli David;*;4;57.25;1;10.0;-1;0.25;8.5
+;7;18.25;Bühlmann Daniel (2000);;16;54.25;6;18.5;-1;0.25;10.0
o;5;28.25;Hurschler Thomas;**;13;55.0;8;27.5;3;-0.75;8.5
+;10;36.75;Hurschler Mauri (1999);;18;53.75;10;36.75;0;0.0;9.75
-;8;46.5;Betschart Daniel;;14;54.75;10;46.0;2;-0.5;8.75

12i;Fallegger Franco (1999);;;;;;;;;;55.25
o;;;Thierstein Marco;;;;;;;;8.5
+;5;8.5;Wyss Sven (2001);;14;54.75;3;9.0;-2;0.5;10.0
o;6;18.5;Bär Leo;;14;54.75;9;17.5;3;-1.0;8.5
+;10;27.0;Burri Timo (2001);;25;35.5;10;27.0;0;0.0;9.75
+;10;36.75;Odermatt Sepp;;12;55.25;10;36.75;0;0.0;9.75
-;8;46.5;Hurschler Thomas;**;13;55.0;9;46.25;1;-0.25;8.75

12j;Schmidiger Marco;;;;;;;;;;55.25
+;;;Fenk Daniel;;;;;;;;9.75
o;2;9.75;Suppiger Thomas;;3;57.5;1;10.0;-1;0.25;8.5
+;7;18.25;Gwerder Andreas;*;25;35.5;7;18.25;0;0.0;9.75
+;6;28.0;Muff Reto;;13;55.0;6;28.0;0;0.0;10.0
o;5;38.0;Gwerder Dario;**;9;56.0;7;37.5;2;-0.5;8.5
-;8;46.5;Zimmermann Simon;**;17;54.0;13;45.25;5;-1.25;8.75

12k;Arnold Raphael;*;;;;;;;;;55.25
-;;;Vogel Remo;**;;;;;;;8.75
+;4;8.75;Zgraggen Peter;;16;54.25;1;10.0;-3;1.25;9.75
o;6;18.5;Schurtenberger Sven;***;5;57.0;6;18.5;0;0.0;8.5
+;10;27.0;Amrein Lukas (1999);;21;53.0;8;27.5;-2;0.5;10.0
+;9;37.0;Stucki Christian;;14;54.75;8;37.25;-1;0.25;9.75
o;7;46.75;Suppiger Werner;**;5;57.0;5;47.25;-2;0.5;8.5

12l;Eiholzer Roy;;;;;;;;;;55.25
+;;;Ziegler Elias (1999);;;;;;;;10.0
o;1;10.0;Gwerder Dario;**;9;56.0;4;8.75;3;-1.25;8.5
+;6;18.5;Staffelbach Beat (2000);;25;35.5;6;18.5;0;0.0;9.75
o;5;28.25;Vogel Remo;**;8;56.25;8;27.5;3;-0.75;8.5
-;10;36.75;Kempf Damian;;18;53.75;11;36.5;1;-0.25;8.75
+;12;45.5;von Deschwanden Patrick;;17;54.0;12;45.5;0;0.0;9.75

12m;Portmann Roger;;;;;;;;;;55.25
+;;;Bucheli Dario (2001);;;;;;;;9.75
-;2;9.75;Suter Beat;;20;53.25;5;8.5;3;-1.25;8.75
+;6;18.5;Kurmann Jvo;;12;55.25;6;18.5;0;0.0;10.0
o;4;28.5;Lang Sven;*;7;56.5;5;28.25;1;-0.25;8.5
+;9;37.0;Ambühl Patrick;;16;54.25;9;37.0;0;0.0;9.75
o;7;46.75;Bättig Martin;*;4;57.25;5;47.25;-2;0.5;8.5

12n;Heiniger Luca;;;;;;;;;;55.25
+;;;Blatter Remo (2000);;;;;;;;9.75
o;2;9.75;Brun Jonas;**;10;55.75;4;8.75;2;-1.0;8.75
+;6;18.5;Theiler Thomas;;25;35.5;6;18.5;0;0.0;9.75
o;5;28.25;Blaser Theo;*;6;56.75;9;27.25;4;-1.0;8.5
+;10;36.75;Doppmann Ueli;;13;55.0;10;36.75;0;0.0;9.75
o;8;46.5;Vogel Remo;**;8;56.25;9;46.25;1;-0.25;8.75

12o;Odermatt Christian;**;;;;;;;;;55.25
o;;;Fankhauser Marco;**;;;;;;;8.5
+;5;8.5;Gisler Stefan;;12;55.25;1;10.0;-4;1.5;9.75
o;7;18.25;Bärtschi Basil;;16;54.25;5;18.75;-2;0.5;8.75
+;10;27.0;Barmet Sven;;15;54.5;9;27.25;-1;0.25;9.75
-;10;36.75;Stöckli Stefan;***;24;45.0;12;36.25;2;-0.5;8.75
+;12;45.5;Thalmann Thomas;*;16;54.25;11;45.75;-1;0.25;9.75

12p;von Büren Stephan;*;;;;;;;;;55.25
+;;;Müller Toni;*;;;;;;;9.75
o;2;9.75;Suppiger René;***;5;57.0;5;8.5;3;-1.25;8.5
+;7;18.25;Wyrsch Silvio;;8;56.25;5;18.75;-2;0.5;9.75
-;6;28.0;Lustenberger Josef;;15;54.5;4;28.5;-2;0.5;9.0
+;9;37.0;Schmid Simon (2000);;10;55.75;8;37.25;-1;0.25;9.75
o;7;46.75;Fink Bruno;*;6;56.75;7;46.75;0;0.0;8.5

12q;Gwerder Beni;;;;;;;;;;55.25
o;;;Suppiger Thomas;;;;;;;;8.5
+;5;8.5;Achermann Ueli (2001);;25;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Imboden Roger;**;8;56.25;9;17.5;3;-1.0;8.5
+;10;27.0;Staffelbach Beat (2000);;25;35.5;10;27.0;0;0.0;10.0
+;9;37.0;Zgraggen Peter;;16;54.25;9;37.0;0;0.0;9.75
o;7;46.75;Egli Manuel;*;6;56.75;6;47.0;-1;0.25;8.5

12r;Troxler Jonas (2000);;;;;;;;;;55.25
+;;;Kunz Gian Luca (2001);;;;;;;;10.0
o;1;10.0;Rüttimann Daniel;;11;55.5;2;9.75;1;-0.25;8.5
o;6;18.5;Portmann Daniel;;17;54.0;7;18.25;1;-0.25;8.5
+;10;27.0;Stäger Franz (2000);;25;35.5;10;27.0;0;0.0;9.75
o;10;36.75;Schärli Reto;;10;55.75;8;37.25;-2;0.5;8.5
+;13;45.25;Fischer Markus (2000);;18;53.75;13;45.25;0;0.0;10.0

13a;Bernet Christoph;*;;;;;;;;;55.0
-;;;Murer Andy;*;;;;;;;8.75
-;4;8.75;Betschart Patrick (1999);*;15;54.5;5;8.5;1;-0.25;8.75
+;9;17.5;Stäger Franz (2000);;25;35.5;6;18.5;-3;1.0;10.0
-;8;27.5;Müller Mathias;;15;54.5;5;28.25;-3;0.75;9.0
+;11;36.5;Fischer Markus (2000);;18;53.75;10;36.75;-1;0.25;10.0
o;8;46.5;Imhof Andi;***;7;56.5;8;46.5;0;0.0;8.5

13b;Thalmann Adrian (1999);;;;;;;;;;55.0
+;;;Sidler Kuno;;;;;;;;10.0
o;1;10.0;Reichmuth Marco;**;5;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Bissig Fabian;;10;55.75;6;18.5;0;0.0;9.75
o;5;28.25;Imboden Roger;**;8;56.25;8;27.5;3;-0.75;8.5
+;10;36.75;Bühler Kilian (2000);;13;55.0;10;36.75;0;0.0;9.75
o;8;46.5;Dissler Philipp;;8;56.25;9;46.25;1;-0.25;8.5

13c;Bühler Kilian (2000);;;;;;;;;;55.0
o;;;Rüttimann Daniel;;;;;;;;8.5
+;5;8.5;Reber Sandro;;18;53.75;4;8.75;-1;0.25;9.75
o;7;18.25;Zimmermann Reto;;14;54.75;11;17.0;4;-1.25;8.5
+;11;26.75;Fahrni Lukas;;26;35.25;11;26.75;0;0.0;10.0
o;10;36.75;Thalmann Adrian (1999);;13;55.0;10;36.75;0;0.0;8.5
+;13;45.25;Hurschler Mauri (1999);;18;53.75;13;45.25;0;0.0;9.75

13d;Ettlin Stefan;*;;;;;;;;;55.0
-;;;Felder Seppi;*;;;;;;;9.0
+;3;9.0;Gerber Peter;;7;56.5;2;9.75;-1;0.75;9.75
-;5;18.75;Stöckli Stefan;***;24;45.0;5;18.75;0;0.0;8.75
+;8;27.5;Odermatt Andreas;;18;53.75;5;28.25;-3;0.75;10.0
-;7;37.5;Dissler Philipp;;8;56.25;7;37.5;0;0.0;8.75
-;9;46.25;Martin Robin;*;14;54.75;10;46.0;1;-0.25;8.75

13e;Hurschler Thomas;**;;;;;;;;;55.0
+;;;Fink Bruno;*;;;;;;;10.0
-;1;10.0;Doppmann Urs;*;6;56.75;2;9.75;1;-0.25;8.75
-;5;18.75;Ottiger Lukas;;12;55.25;2;19.75;-3;1.0;8.75
+;8;27.5;Wicki Kevin;;12;55.25;5;28.25;-3;0.75;10.0
-;7;37.5;Achermann Christoph;*;9;56.0;8;37.25;1;-0.25;8.75
-;9;46.25;Fallegger Franco (1999);;12;55.25;8;46.5;-1;0.25;8.75

13f;Muff Reto;;;;;;;;;;55.0
+;;;Steiner Severin (2001);;;;;;;;9.75
+;2;9.75;Amrein Lukas (1999);;21;53.0;1;10.0;-1;0.25;9.75
o;3;19.5;Fellmann Roman;*;17;54.0;6;18.5;3;-1.0;8.5
o;6;28.0;Schmidiger Marco;;12;55.25;6;28.0;0;0.0;8.5
+;11;36.5;Odermatt Andreas;;18;53.75;10;36.75;-1;0.25;10.0
o;8;46.5;Muff Armin;**;8;56.25;9;46.25;1;-0.25;8.5

13g;Hegner Ueli (1999);*;;;;;;;;;55.0
o;;;Stadelmann Simon;*;;;;;;;8.5
o;5;8.5;Binggeli Stefan;*;9;56.0;4;8.75;-1;0.25;8.5
+;11;17.0;Rust Sandro (1999);;26;35.25;7;18.25;-4;1.25;9.75
+;11;26.75;Wicki David;;16;54.25;9;27.25;-2;0.5;10.0
+;10;36.75;Gisler Stefan;;12;55.25;11;36.5;1;-0.25;9.75
o;8;46.5;Egli David;*;4;57.25;4;47.5;-4;1.0;8.5

13h;Vogel Manuel;;;;;;;;;;55.0
+;;;Ulrich Pascal (1999);;;;;;;;9.75
+;2;9.75;Aregger Fabian (2001);;25;35.5;1;10.0;-1;0.25;10.0
o;2;19.75;Gwerder Dario;**;9;56.0;6;18.5;4;-1.25;8.5
o;5;28.25;Binggeli Stefan;*;9;56.0;8;27.5;3;-0.75;8.5
+;10;36.75;Baumann Reto;;23;45.25;10;36.75;0;0.0;9.75
o;8;46.5;Muff André;*;9;56.0;10;46.0;2;-0.5;8.5

13i;Zürcher Ueli (2000);;;;;;;;;;55.0
o;;;Fallegger Joel;;;;;;;;8.5
+;5;8.5;Sidler Kuno;;25;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Felder Martin;*;7;56.5;9;17.5;3;-1.0;8.5
+;10;27.0;Murpf Dario (1999);;26;35.25;11;26.75;1;-0.25;9.75
+;10;36.75;Kurmann Jvo;;12;55.25;10;36.75;0;0.0;9.75
o;8;46.5;Egli Damian;**;6;56.75;6;47.0;-2;0.5;8.5

13j;Bühler Patrice;;;;;;;;;;55.0
+;;;Kempf Damian;;;;;;;;9.75
+;2;9.75;Kottmann Jonas (2000);;25;35.5;1;10.0;-1;0.25;9.75
o;3;19.5;Kessler Joel;*;16;54.25;6;18.5;3;-1.0;8.5
o;6;28.0;Schöpfer Ronny (1999);;7;56.5;5;28.25;-1;0.25;8.5
-;11;36.5;Ineichen Stefan;;21;53.0;14;35.75;3;-0.75;8.75
+;13;45.25;Weber Roman (1999);;18;53.75;13;45.25;0;0.0;9.75

13k;Bucher Thomas;;;;;;;;;;55.0
+;;;Erni Michael (2000);;;;;;;;9.75
-;2;9.75;Gut Koni;;16;54.25;1;10.0;-1;0.25;8.75
o;6;18.5;Briker Michael;*;10;55.75;10;17.25;4;-1.25;8.5
+;10;27.0;Sidler Kuno;;25;35.5;10;27.0;0;0.0;9.75
o;10;36.75;Durrer Nando (1999);;13;55.0;10;36.75;0;0.0;8.5
+;13;45.25;Scherrer Patrick;;18;53.75;13;45.25;0;0.0;9.75

13l;Durrer Nando (1999);;;;;;;;;;55.0
+;;;Odermatt Andreas;;;;;;;;9.75
+;2;9.75;Egli Matthias (2001);;25;35.5;1;10.0;-1;0.25;10.0
o;2;19.75;Egli Pirmin;**;6;56.75;5;18.75;3;-1.0;8.5
o;5;28.25;Zurfluh Roman;*;7;56.5;7;27.75;2;-0.5;8.5
