3774-2018-05-27_104_StGaller_Kantonalschwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.25
+;;;Bösch Daniel;***;;;;;;;10.0
+;1;10.0;Rychen Roger;***;5;57.25;2;9.75;1;-0.25;9.75
+;2;19.75;Roth Martin;*;4;57.5;3;19.5;1;-0.25;9.75
-;2;29.5;Leuppi Samir;**;3;57.75;5;28.75;3;-0.75;9.0
+;2;38.5;Schmid Dominik;**;6;57.0;2;38.5;0;0.0;9.75
+;2;48.25;Rychen Roger;***;5;57.25;1;48.5;-1;0.25;10.0

1b;Bösch Daniel;***;;;;;;;;;58.25
o;;;Giger Samuel;***;;;;;;;8.5
+;5;8.5;Dändliker Shane;*;7;56.75;1;10.0;-4;1.5;9.75
+;7;18.25;Dörig Erich;*;16;54.5;6;18.5;-1;0.25;10.0
+;7;28.25;Arztmann Beda;*;13;55.25;6;28.5;-1;0.25;10.0
+;3;38.25;Schnurrenberger Roman;**;6;57.0;2;38.5;-1;0.25;10.0
+;2;48.25;Schneider Domenic;***;8;56.5;3;48.0;1;-0.25;10.0

2a;Schlegel Werner (2002);;;;;;;;;;58.0
+;;;Riedi Thomas;;;;;;;;10.0
+;1;10.0;Hengartner Ivo;*;17;54.25;5;8.5;4;-1.5;9.75
o;2;19.75;Schnurrenberger Roman;**;6;57.0;6;18.5;4;-1.25;8.5
+;7;28.25;Bosshard Dario;;12;55.5;7;28.25;0;0.0;10.0
+;3;38.25;Wolfer Lukas;*;16;54.5;7;37.25;4;-1.0;10.0
+;2;48.25;Schneider Mario;**;10;56.0;6;47.25;4;-1.0;9.75

3a;Leuppi Samir;**;;;;;;;;;57.75
-;;;Zwyssig Raphael;***;;;;;;;8.75
+;4;8.75;Weber Erwin (2000);;25;35.5;1;10.0;-3;1.25;10.0
+;5;18.75;Vollmeier Sandro;;12;55.5;2;19.75;-3;1.0;10.0
-;5;28.75;Giger Samuel;***;1;58.25;2;29.5;-3;0.75;9.0
+;5;37.75;Oertig Simon;;6;57.0;2;38.5;-3;0.75;10.0
+;4;47.75;Schläpfer Markus;**;8;56.5;3;48.0;-1;0.25;10.0

4a;Roth Martin;*;;;;;;;;;57.5
+;;;Streuli Martin;*;;;;;;;9.75
+;2;9.75;Pfiffner Ivo;;12;55.5;1;10.0;-1;0.25;9.75
o;3;19.5;Giger Samuel;***;1;58.25;2;19.75;-1;0.25;8.5
+;8;28.0;Lieberherr Michael;;13;55.25;7;28.25;-1;0.25;9.75
+;5;37.75;Rüegg Roman;*;13;55.25;4;38.0;-1;0.25;9.75
+;5;47.5;Gmür Pirmin;**;12;55.5;7;47.0;2;-0.5;10.0

4b;Mettler Valentin;;;;;;;;;;57.5
+;;;Bürgler Patrick;;;;;;;;9.75
+;2;9.75;Fässler Tobias (2002);;19;53.75;5;8.5;3;-1.25;9.75
+;3;19.5;Spangaro Luciano (2001);*;29;34.0;11;17.0;8;-2.5;9.75
o;3;29.25;Schnurrenberger Roman;**;6;57.0;6;28.5;3;-0.75;8.5
