3774-2018-05-27_104_StGaller_Kantonalschwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.25
+;5;37.75;Galli Cedric (2001);;13;55.25;8;37.0;3;-0.75;10.0
+;4;47.75;Lozza Roman;;12;55.5;7;47.0;3;-0.75;9.75

4c;Breitenmoser Manuel;;;;;;;;;;57.5
+;;;Tschudi Mario (2001);;;;;;;;10.0
-;1;10.0;Akeret Benno;*;14;55.0;4;8.75;3;-1.25;9.0
+;4;19.0;Dünner Zyan (2001);;13;55.25;7;18.25;3;-0.75;10.0
o;4;29.0;Dändliker Shane;*;7;56.75;6;28.5;2;-0.5;8.5
+;6;37.5;Nüesch Remo (2001);;17;54.25;8;37.0;2;-0.5;10.0
+;5;47.5;Burkhard Tobias;;14;55.0;9;46.5;4;-1.0;10.0

5a;Rüegg Fabian;*;;;;;;;;;57.25
+;;;Spangaro Luciano (2001);*;;;;;;;10.0
-;1;10.0;Notz Beni;***;9;56.25;4;8.75;3;-1.25;8.75
+;5;18.75;Wettstein Daniel;;13;55.25;3;19.5;-2;0.75;10.0
+;5;28.75;Schiess Christian;;12;55.5;6;28.5;1;-0.25;10.0
o;1;38.75;Schneider Domenic;***;8;56.5;3;38.25;2;-0.5;8.5
+;6;47.25;Pfiffner Ivo;;12;55.5;7;47.0;1;-0.25;10.0

5b;Bless Michael;***;;;;;;;;;57.25
+;;;Schneider Domenic;***;;;;;;;9.75
-;2;9.75;Geisser Lars;**;5;57.25;1;10.0;-1;0.25;9.0
+;5;18.75;Holenstein Christian;*;15;54.75;5;18.75;0;0.0;10.0
+;5;28.75;Oertig Dominik;**;9;56.25;5;28.75;0;0.0;9.75
-;2;38.5;Eugster Ruedi;**;6;57.0;3;38.25;1;-0.25;8.75
+;6;47.25;Riget Florian;;7;56.75;2;48.25;-4;1.0;10.0

5c;Geisser Lars;**;;;;;;;;;57.25
+;;;Zbinden Marc;*;;;;;;;10.0
-;1;10.0;Bless Michael;***;5;57.25;2;9.75;1;-0.25;8.75
+;5;18.75;Wetter Silvan (2000);;13;55.25;2;19.75;-3;1.0;9.75
+;6;28.5;Kunz Daniel;*;16;54.5;6;28.5;0;0.0;10.0
-;2;38.5;Schneider Mario;**;10;56.0;2;38.5;0;0.0;8.75
+;6;47.25;Wettstein Daniel;;13;55.25;8;46.75;2;-0.5;10.0

5d;Heierli Pascal;;;;;;;;;;57.25
+;;;Büchler Livio (2001);;;;;;;;9.75
+;2;9.75;Jöhl Christian;*;27;34.75;4;8.75;2;-1.0;10.0
+;2;19.75;Wittenwiler Roman;*;12;55.5;5;18.75;3;-1.0;10.0
o;1;29.75;Rychen Roger;***;5;57.25;6;28.5;5;-1.25;8.5
-;3;38.25;Wettstein Daniel;;13;55.25;5;37.75;2;-0.5;9.0
+;6;47.25;Gerig Marcel;;13;55.25;8;46.75;2;-0.5;10.0

5e;Schlegel Reto;*;;;;;;;;;57.25
-;;;Schäppi Urs;*;;;;;;;9.0
-;3;9.0;Blaser Gian;;13;55.25;2;9.75;-1;0.75;8.75
+;8;17.75;Fuster Sepp;;11;55.75;6;18.5;-2;0.75;10.0
+;9;27.75;Burkhard Tobias;;14;55.0;8;28.0;-1;0.25;10.0
+;5;37.75;Oertle Daniel;*;13;55.25;8;37.0;3;-0.75;9.75
+;5;47.5;Baumgartner Ramon (2002);;13;55.25;8;46.75;3;-0.75;9.75

5f;Rychen Roger;***;;;;;;;;;57.25
+;;;Schneider Mario;**;;;;;;;9.75
o;2;9.75;Giger Samuel;***;1;58.25;1;10.0;-1;0.25;8.75
+;6;18.5;Fausch Kjetil;*;7;56.75;1;20.0;-5;1.5;10.0
+;6;28.5;Heierli Pascal;;5;57.25;1;29.75;-5;1.25;10.0
+;2;38.5;Riget Tobias;**;8;56.5;3;38.25;1;-0.25;10.0
o;1;48.5;Giger Samuel;***;1;58.25;2;48.25;1;-0.25;8.75

6a;Oertig Simon;;;;;;;;;;57.0
+;;;Lehmann Philipp;;;;;;;;9.75
+;2;9.75;Leuppi Karim;*;32;17.0;5;8.5;3;-1.25;9.75
-;3;19.5;Oertle Daniel;*;13;55.25;6;18.5;3;-1.0;9.0
+;6;28.5;Burch Dean (2001);;14;55.0;7;28.25;1;-0.25;10.0
o;2;38.5;Leuppi Samir;**;3;57.75;5;37.75;3;-0.75;8.5
+;7;47.0;Schiess Christian;;12;55.5;7;47.0;0;0.0;10.0

6b;Eugster Ruedi;**;;;;;;;;;57.0
-;;;Schläpfer Markus;**;;;;;;;8.75
+;4;8.75;Kunz Daniel;*;16;54.5;1;10.0;-3;1.25;9.75
+;6;18.5;Lehmann Philipp;;12;55.5;5;18.75;-1;0.25;9.75
+;7;28.25;Egli Martin;;17;54.25;6;28.5;-1;0.25;10.0
-;3;38.25;Bless Michael;***;5;57.25;2;38.5;-1;0.25;8.75
+;7;47.0;Reichmuth Beat;;13;55.25;8;46.75;1;-0.25;10.0

6c;Elmer Daniel;*;;;;;;;;;57.0
+;;;Akeret Benno;*;;;;;;;10.0
o;1;10.0;Schmid Dominik;**;6;57.0;4;8.75;3;-1.25;8.75
+;5;18.75;Tschudi Mario (2001);;25;35.5;6;18.5;1;-0.25;10.0
+;5;28.75;Baumgartner Ramon (2002);;13;55.25;6;28.5;1;-0.25;9.75
o;2;38.5;Schläpfer Markus;**;8;56.5;3;38.25;1;-0.25;8.5
+;7;47.0;Wetter Silvan (2000);;13;55.25;8;46.75;1;-0.25;10.0

6d;Schmid Dominik;**;;;;;;;;;57.0
-;;;Wickli Beat;**;;;;;;;8.75
+;4;8.75;Elmer Daniel;*;6;57.0;1;10.0;-3;1.25;9.75
+;6;18.5;Schiess Christian;;12;55.5;1;20.0;-5;1.5;10.0
+;6;28.5;Bollhalder Manuel (2001);;11;55.75;5;28.75;-1;0.25;10.0
o;2;38.5;Giger Samuel;***;1;58.25;2;38.5;0;0.0;8.5
+;7;47.0;Baumann Rico;*;8;56.5;3;48.0;-4;1.0;10.0

6e;Zwyssig Raphael;***;;;;;;;;;57.0
-;;;Leuppi Samir;**;;;;;;;8.75
+;4;8.75;Rüegg Roman;*;13;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Riget Florian;;7;56.75;2;19.75;-3;1.0;9.75
-;6;28.5;Rhyner Michael;**;7;56.75;6;28.5;0;0.0;8.75
+;7;37.25;Dändliker Shane;*;7;56.75;2;38.5;-5;1.25;9.75
+;7;47.0;Zbinden Marc;*;13;55.25;8;46.75;1;-0.25;10.0

6f;Schnurrenberger Roman;**;;;;;;;;;57.0
-;;;Rhyner Michael;**;;;;;;;8.75
+;4;8.75;Kamer Hanspeter;*;11;55.75;2;9.75;-2;1.0;9.75
+;6;18.5;Schlegel Werner (2002);;2;58.0;2;19.75;-4;1.25;10.0
+;6;28.5;Mettler Valentin;;4;57.5;3;29.25;-3;0.75;10.0
o;2;38.5;Bösch Daniel;***;1;58.25;3;38.25;1;-0.25;8.5
+;7;47.0;Pfister Florian;*;10;56.0;6;47.25;-1;0.25;10.0

6g;Wickli Beat;**;;;;;;;;;57.0
-;;;Schmid Dominik;**;;;;;;;8.75
+;4;8.75;Fuster Sepp;;11;55.75;2;9.75;-2;1.0;10.0
+;5;18.75;Hugelshofer Lars (2001);;14;55.0;3;19.5;-2;0.75;9.75
o;6;28.5;Schneider Domenic;***;8;56.5;7;28.25;1;-0.25;8.5
+;8;37.0;Lehmann Philipp;;12;55.5;7;37.25;-1;0.25;10.0
+;7;47.0;Bosshard Dario;;12;55.5;8;46.75;1;-0.25;10.0

7a;Riget Florian;;;;;;;;;;56.75
+;;;Signer Walter;;;;;;;;10.0
+;1;10.0;Blaser Niklas;*;30;25.75;5;8.5;4;-1.5;9.75
o;2;19.75;Zwyssig Raphael;***;6;57.0;5;18.75;3;-1.0;8.5
+;7;28.25;Weibel Lucien;;18;54.0;8;28.0;1;-0.25;10.0
+;3;38.25;Schönenberger Philipp;;14;55.0;4;38.0;1;-0.25;10.0
o;2;48.25;Bless Michael;***;5;57.25;6;47.25;4;-1.0;8.5

7b;Dändliker Shane;*;;;;;;;;;56.75
+;;;Gmür Pirmin;**;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;1;58.25;5;8.5;4;-1.5;8.5
+;6;18.5;Martin Dominik;;13;55.25;3;19.5;-3;1.0;10.0
+;6;28.5;Breitenmoser Manuel;;4;57.5;4;29.0;-2;0.5;10.0
o;2;38.5;Zwyssig Raphael;***;6;57.0;7;37.25;5;-1.25;8.5
+;7;47.0;Oertig Dominik;**;9;56.25;5;47.5;-2;0.5;9.75

7c;Rhyner Michael;**;;;;;;;;;56.75
-;;;Schnurrenberger Roman;**;;;;;;;8.75
+;4;8.75;Bucher Roland;;18;54.0;1;10.0;-3;1.25;10.0
+;5;18.75;Marty Jaime (2000);;20;53.5;5;18.75;0;0.0;9.75
-;6;28.5;Zwyssig Raphael;***;6;57.0;6;28.5;0;0.0;8.75
+;7;37.25;Akeret Benno;*;14;55.0;6;37.5;-1;0.25;9.75
+;7;47.0;Gwerder Andreas;**;14;55.0;9;46.5;2;-0.5;9.75

7d;Fausch Kjetil;*;;;;;;;;;56.75
+;;;Hari Michi;;;;;;;;10.0
+;1;10.0;Vestner Bruno;*;12;55.5;4;8.75;3;-1.25;10.0
o;1;20.0;Rychen Roger;***;5;57.25;6;18.5;5;-1.5;8.5
+;6;28.5;Bleiker Daniel;;17;54.25;6;28.5;0;0.0;10.0
o;2;38.5;Oertig Dominik;**;9;56.25;6;37.5;4;-1.0;8.5
+;7;47.0;Martin Dominik;;13;55.25;8;46.75;1;-0.25;9.75

7e;Ott Damian (2000);*;;;;;;;;;56.75
+;;;Frick Andreas;*;;;;;;;10.0
o;1;10.0;Schneider Mario;**;10;56.0;5;8.5;4;-1.5;8.5
+;6;18.5;Furrer Matthias;;15;54.75;7;18.25;1;-0.25;10.0
+;6;28.5;Hari Michi;;13;55.25;7;28.25;1;-0.25;9.75
o;3;38.25;Wittenwiler Roman;*;12;55.5;7;37.25;4;-1.0;8.75
+;7;47.0;Aerne Christian;;14;55.0;9;46.5;2;-0.5;9.75

8a;Baumann Rico;*;;;;;;;;;56.5
+;;;Leuppi Karim;*;;;;;;;9.75
-;2;9.75;Gwerder Andreas;**;14;55.0;4;8.75;2;-1.0;8.75
+;6;18.5;Nüesch Remo (2001);;17;54.25;5;18.75;-1;0.25;10.0
+;6;28.5;Pfiffner Ivo;;12;55.5;6;28.5;0;0.0;9.75
+;3;38.25;Arztmann Beda;*;13;55.25;8;37.0;5;-1.25;9.75
o;3;48.0;Schmid Dominik;**;6;57.0;7;47.0;4;-1.0;8.5

8b;Schneider Domenic;***;;;;;;;;;56.5
o;;;Bless Michael;***;;;;;;;8.5
+;5;8.5;Räbsamen Marcel (2000);;24;35.75;2;9.75;-3;1.25;10.0
+;6;18.5;Pfister Florian;*;10;56.0;5;18.75;-1;0.25;9.75
+;7;28.25;Wickli Beat;**;6;57.0;6;28.5;-1;0.25;10.0
+;3;38.25;Rüegg Fabian;*;5;57.25;1;38.75;-2;0.5;9.75
o;3;48.0;Bösch Daniel;***;1;58.25;2;48.25;-1;0.25;8.5

8c;Riget Tobias;**;;;;;;;;;56.5
-;;;Notz Beni;***;;;;;;;8.75
+;4;8.75;Reichmuth Beat;;13;55.25;2;9.75;-2;1.0;9.75
+;6;18.5;Wolfer Lukas;*;16;54.5;5;18.75;-1;0.25;10.0
+;6;28.5;Kobler Janosch (2000);;13;55.25;6;28.5;0;0.0;9.75
o;3;38.25;Rychen Roger;***;5;57.25;2;38.5;-1;0.25;8.5
+;8;46.75;Langenegger Beat;;14;55.0;9;46.5;1;-0.25;9.75

8d;Schläpfer Markus;**;;;;;;;;;56.5
-;;;Eugster Ruedi;**;;;;;;;8.75
+;4;8.75;Hobi Ignaz;;9;56.25;2;9.75;-2;1.0;10.0
+;5;18.75;Bollhalder Manuel (2001);;11;55.75;1;20.0;-4;1.25;9.75
+;6;28.5;Kamer Hanspeter;*;11;55.75;7;28.25;1;-0.25;9.75
+;3;38.25;Elmer Daniel;*;6;57.0;2;38.5;-1;0.25;9.75
o;3;48.0;Leuppi Samir;**;3;57.75;4;47.75;1;-0.25;8.5

9a;Notz Beni;***;;;;;;;;;56.25
-;;;Riget Tobias;**;;;;;;;8.75
-;4;8.75;Rüegg Fabian;*;5;57.25;1;10.0;-3;1.25;8.75
+;9;17.5;Büchler Remo;**;11;55.75;6;18.5;-3;1.0;9.75
+;11;27.25;Bernold Michael;*;12;55.5;7;28.25;-4;1.0;10.0
-;7;37.25;Bernold Christian;**;12;55.5;6;37.5;-1;0.25;9.0
+;10;46.25;Wittenwiler Roman;*;12;55.5;7;47.0;-3;0.75;10.0

9b;Oertig Dominik;**;;;;;;;;;56.25
-;;;Gwerder Andreas;**;;;;;;;8.75
+;4;8.75;Neff Florian;;16;54.5;1;10.0;-3;1.25;10.0
+;5;18.75;Aerne Christian;;14;55.0;3;19.5;-2;0.75;10.0
o;5;28.75;Bless Michael;***;5;57.25;5;28.75;0;0.0;8.75
+;6;37.5;Fausch Kjetil;*;7;56.75;2;38.5;-4;1.0;10.0
o;5;47.5;Dändliker Shane;*;7;56.75;7;47.0;2;-0.5;8.75

9c;Hobi Ignaz;;;;;;;;;;56.25
+;;;Kirchmeier Christof;;;;;;;;9.75
o;2;9.75;Schläpfer Markus;**;8;56.5;4;8.75;2;-1.0;8.5
-;7;18.25;Schuler Martin;;16;54.5;9;17.5;2;-0.75;9.0
-;11;27.25;Marty Jaime (2000);;20;53.5;11;27.25;0;0.0;9.0
+;11;36.25;Keller Dominic;;18;54.0;13;35.75;2;-0.5;10.0
+;10;46.25;Steiner Lukas (2002);;16;54.5;11;46.0;1;-0.25;10.0

10a;Schneider Mario;**;;;;;;;;;56.0
o;;;Rychen Roger;***;;;;;;;8.5
+;5;8.5;Ott Damian (2000);*;7;56.75;1;10.0;-4;1.5;10.0
+;6;18.5;Scherrer Willi;;11;55.75;1;20.0;-5;1.5;10.0
+;6;28.5;Lozza Roman;;12;55.5;5;28.75;-1;0.25;10.0
-;2;38.5;Geisser Lars;**;5;57.25;2;38.5;0;0.0;8.75
o;6;47.25;Schlegel Werner (2002);;2;58.0;2;48.25;-4;1.0;8.75

10b;Breitenmoser Simon;;;;;;;;;;56.0
-;;;Schuler Martin;;;;;;;;9.0
+;3;9.0;Kirchmeier Christof;;25;35.5;5;8.5;2;-0.5;10.0
-;4;19.0;Hengartner Ivo;*;17;54.25;11;17.0;7;-2.0;8.75
+;9;27.75;Hugelshofer Lars (2001);;14;55.0;8;28.0;-1;0.25;9.75
-;6;37.5;Dörig Erich;*;16;54.5;9;36.75;3;-0.75;8.75
+;10;46.25;Furrer Matthias;;15;54.75;10;46.25;0;0.0;9.75

10c;Pfister Florian;*;;;;;;;;;56.0
-;;;Jöhl Christian;*;;;;;;;8.75
+;4;8.75;Knellwolf Sebastian (2001);;19;53.75;2;9.75;-2;1.0;10.0
o;5;18.75;Schneider Domenic;***;8;56.5;6;18.5;1;-0.25;8.5
+;11;27.25;Lanter Christian;;12;55.5;8;28.0;-3;0.75;10.0
+;7;37.25;Riedi Thomas;;13;55.25;8;37.0;1;-0.25;10.0
o;6;47.25;Schnurrenberger Roman;**;6;57.0;7;47.0;1;-0.25;8.75

11a;Bollhalder Manuel (2001);;;;;;;;;;55.75
+;;;Fässler Tobias (2002);;;;;;;;10.0
+;1;10.0;Frick Andreas;*;17;54.25;5;8.5;4;-1.5;10.0
o;1;20.0;Schläpfer Markus;**;8;56.5;5;18.75;4;-1.25;8.75
o;5;28.75;Schmid Dominik;**;6;57.0;6;28.5;1;-0.25;8.5
+;7;37.25;Schwager Mike (2000);;17;54.25;8;37.0;1;-0.25;9.75
-;7;47.0;Vollmeier Sandro;;12;55.5;8;46.75;1;-0.25;8.75

11b;Fuster Sepp;;;;;;;;;;55.75
+;;;Bärtsch Fabian (2000);;;;;;;;9.75
o;2;9.75;Wickli Beat;**;6;57.0;4;8.75;2;-1.0;8.75
o;6;18.5;Schlegel Reto;*;5;57.25;8;17.75;2;-0.75;8.5
+;12;27.0;Gabathuler Rino;;23;52.75;11;27.25;-1;0.25;10.0
-;8;37.0;Streuli Martin;*;21;53.25;13;35.75;5;-1.25;8.75
+;12;45.75;Flück Bruno;;17;54.25;12;45.75;0;0.0;10.0

11c;Büchler Remo;**;;;;;;;;;55.75
o;;;Oertle Daniel;*;;;;;;;8.5
+;5;8.5;Bosshard Dario;;12;55.5;1;10.0;-4;1.5;10.0
o;6;18.5;Notz Beni;***;9;56.25;9;17.5;3;-1.0;8.5
-;12;27.0;Reichmuth Beat;;13;55.25;8;28.0;-4;1.0;9.0
+;12;36.0;Hugelshofer Lars (2001);;14;55.0;9;36.75;-3;0.75;9.75
+;12;45.75;Bleiker Daniel;;17;54.25;13;45.5;1;-0.25;10.0

11d;Scherrer Willi;;;;;;;;;;55.75
+;;;Bader Sandro (2002);;;;;;;;10.0
+;1;10.0;Schuler Martin;;16;54.5;3;9.0;2;-1.0;10.0
o;1;20.0;Schneider Mario;**;10;56.0;6;18.5;5;-1.5;8.5
o;6;28.5;Zbinden Marc;*;13;55.25;11;27.25;5;-1.25;8.5
+;8;37.0;Frick Andreas;*;17;54.25;13;35.75;5;-1.25;10.0
-;7;47.0;Rüegg Roman;*;13;55.25;9;46.5;2;-0.5;8.75

11e;Kamer Hanspeter;*;;;;;;;;;55.75
+;;;Blaser Niklas;*;;;;;;;9.75
o;2;9.75;Schnurrenberger Roman;**;6;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Bürgler Patrick;;16;54.5;5;18.75;-2;0.5;10.0
o;7;28.25;Schläpfer Markus;**;8;56.5;6;28.5;-1;0.25;8.5
+;9;36.75;Horner Sämi;;15;54.75;10;36.5;1;-0.25;10.0
-;8;46.75;Bernold Christian;**;12;55.5;9;46.5;1;-0.25;9.0

12a;Vestner Bruno;*;;;;;;;;;55.5
-;;;Holenstein Christian;*;;;;;;;8.75
o;4;8.75;Fausch Kjetil;*;7;56.75;1;10.0;-3;1.25;8.5
o;10;17.25;Bärtsch Fabian (2000);;17;54.25;6;18.5;-4;1.25;8.5
+;16;25.75;Wildhaber Jannik;;15;54.75;11;27.25;-5;1.5;10.0
+;13;35.75;Baumann Elia (2000);;13;55.25;9;36.75;-4;1.0;9.75
+;13;45.5;Elmer Adrian;*;16;54.5;12;45.75;-1;0.25;10.0

12b;Schiess Christian;;;;;;;;;;55.5
+;;;Galli Cedric (2001);;;;;;;;10.0
+;1;10.0;Müller Loris;;25;35.5;2;9.75;1;-0.25;10.0
o;1;20.0;Schmid Dominik;**;6;57.0;6;18.5;5;-1.5;8.5
o;6;28.5;Rüegg Fabian;*;5;57.25;5;28.75;-1;0.25;8.5
+;8;37.0;Roth Michael;;16;54.5;8;37.0;0;0.0;10.0
o;7;47.0;Oertig Simon;;6;57.0;7;47.0;0;0.0;8.5

12c;Pfiffner Ivo;;;;;;;;;;55.5
+;;;Mock Marco;;;;;;;;10.0
o;1;10.0;Roth Martin;*;4;57.5;2;9.75;1;-0.25;8.5
+;6;18.5;Horner Sämi;;15;54.75;7;18.25;1;-0.25;10.0
o;6;28.5;Baumann Rico;*;8;56.5;6;28.5;0;0.0;8.5
+;8;37.0;Lieberherr Michael;;13;55.25;9;36.75;1;-0.25;10.0
o;7;47.0;Rüegg Fabian;*;5;57.25;6;47.25;-1;0.25;8.5

12d;Bernold Michael;*;;;;;;;;;55.5
o;;;Arztmann Beda;*;;;;;;;8.75
+;4;8.75;Roth Peter;;17;54.25;1;10.0;-3;1.25;9.75
+;6;18.5;Weibel Lucien;;18;54.0;3;19.5;-3;1.0;9.75
o;7;28.25;Notz Beni;***;9;56.25;11;27.25;4;-1.0;8.5
+;9;36.75;Ochsner Reto (2000);;17;54.25;8;37.0;-1;0.25;10.0
-;8;46.75;Schläpfer Matthias;*;15;54.75;11;46.0;3;-0.75;8.75

12e;Lehmann Philipp;;;;;;;;;;55.5
o;;;Oertig Simon;;;;;;;;8.75
+;4;8.75;Wildhaber Jannik;;15;54.75;4;8.75;0;0.0;10.0
o;5;18.75;Eugster Ruedi;**;6;57.0;6;18.5;1;-0.25;8.5
+;11;27.25;Bischof Martin;;16;54.5;10;27.5;-1;0.25;10.0
o;7;37.25;Wickli Beat;**;6;57.0;8;37.0;1;-0.25;8.5
+;12;45.75;Bärtsch Fabian (2000);;17;54.25;12;45.75;0;0.0;9.75

12f;Bosshard Dario;;;;;;;;;;55.5
+;;;Egli Patrick;;;;;;;;10.0
o;1;10.0;Büchler Remo;**;11;55.75;5;8.5;4;-1.5;8.5
+;6;18.5;Baumgartner Joël;;25;35.5;6;18.5;0;0.0;9.75
o;7;28.25;Schlegel Werner (2002);;2;58.0;7;28.25;0;0.0;8.5
+;9;36.75;Scherrer Pascal;;19;53.75;9;36.75;0;0.0;10.0
o;8;46.75;Wickli Beat;**;6;57.0;7;47.0;-1;0.25;8.75

12g;Niederer Andreas (2002);;;;;;;;;;55.5
+;;;Gaccioli Benjamin;;;;;;;;9.75
o;2;9.75;Blaser Andre (2000);;14;55.0;4;8.75;2;-1.0;8.75
-;6;18.5;Jöhl Christian;*;27;34.75;10;17.25;4;-1.25;8.75
+;11;27.25;Büchler Livio (2001);;25;35.5;12;27.0;1;-0.25;9.75
+;8;37.0;Bucher Roland;;18;54.0;9;36.75;1;-0.25;9.75
o;8;46.75;Arztmann Beda;*;13;55.25;13;45.5;5;-1.25;8.75

12h;Wicki Cédric;;;;;;;;;;55.5
+;;;Maglia Leo;;;;;;;;10.0
o;1;10.0;Dörig Erich;*;16;54.5;4;8.75;3;-1.25;8.5
o;6;18.5;Reichmuth Beat;;13;55.25;7;18.25;1;-0.25;8.5
+;12;27.0;Koller Silvan (2002);;25;35.5;12;27.0;0;0.0;9.75
-;9;36.75;Lanter Christian;;12;55.5;10;36.5;1;-0.25;9.0
+;12;45.75;Roth Peter;;17;54.25;12;45.75;0;0.0;9.75

12i;Bernold Christian;**;;;;;;;;;55.5
-;;;Schläpfer Matthias;*;;;;;;;8.75
-;4;8.75;Kolb Pirmin (2001);;15;54.75;2;9.75;-2;1.0;9.0
+;8;17.75;Koller Silvan (2002);;25;35.5;6;18.5;-2;0.75;10.0
+;9;27.75;Bucher Roland;;18;54.0;7;28.25;-2;0.5;9.75
-;6;37.5;Notz Beni;***;9;56.25;7;37.25;1;-0.25;9.0
-;9;46.5;Kamer Hanspeter;*;11;55.75;8;46.75;-1;0.25;9.0

12j;Ueltschi Patric;*;;;;;;;;;55.5
o;;;Reichmuth Beat;;;;;;;;8.5
+;5;8.5;Müller Fabian (2001);;26;35.25;2;9.75;-3;1.25;10.0
o;6;18.5;Gwerder Andreas;**;14;55.0;8;17.75;2;-0.75;8.5
+;12;27.0;Keller Dominic;;18;54.0;11;27.25;-1;0.25;10.0
o;8;37.0;Zbinden Marc;*;13;55.25;8;37.0;0;0.0;8.5
+;13;45.5;Kunz Daniel;*;16;54.5;12;45.75;-1;0.25;10.0

12k;Lanter Christian;;;;;;;;;;55.5
+;;;Roth David;;;;;;;;9.75
o;2;9.75;Holenstein Christian;*;15;54.75;4;8.75;2;-1.0;8.5
+;7;18.25;Schönenberger Björn;;25;35.5;6;18.5;-1;0.25;9.75
o;8;28.0;Pfister Florian;*;10;56.0;11;27.25;3;-0.75;8.5
-;10;36.5;Wicki Cédric;;12;55.5;9;36.75;-1;0.25;9.0
+;13;45.5;Arnold Christian;;19;53.75;14;45.25;1;-0.25;10.0

12l;Vollmeier Sandro;;;;;;;;;;55.5
+;;;Ochsner Reto (2000);;;;;;;;9.75
+;2;9.75;Spangaro Luciano (2001);*;29;34.0;5;8.5;3;-1.25;10.0
o;2;19.75;Leuppi Samir;**;3;57.75;5;18.75;3;-1.0;8.5
o;7;28.25;Wettstein Daniel;;13;55.25;8;28.0;1;-0.25;8.75
+;8;37.0;Steiner Joel (2000);;17;54.25;8;37.0;0;0.0;9.75
-;8;46.75;Bollhalder Manuel (2001);;11;55.75;7;47.0;-1;0.25;8.75

12m;Gmür Pirmin;**;;;;;;;;;55.5
o;;;Dändliker Shane;*;;;;;;;8.5
+;5;8.5;Wittenwiler Roman;*;12;55.5;1;10.0;-4;1.5;9.75
+;7;18.25;Büchler Livio (2001);;25;35.5;6;18.5;-1;0.25;10.0
+;7;28.25;Flück Bruno;;17;54.25;6;28.5;-1;0.25;9.75
-;4;38.0;Gwerder Andreas;**;14;55.0;6;37.5;2;-0.5;9.0
o;7;47.0;Roth Martin;*;4;57.5;5;47.5;-2;0.5;8.5

12n;Lozza Roman;;;;;;;;;;55.5
-;;;Blaser Andre (2000);;;;;;;;8.75
