3905-2017-07-09_Rigischwinget-ST

1a;Gwerder Andreas;**;;;;;;;;;89.25
+;8;46.75;Hersche Martin;***;11;55.5;8;46.75;0;0.0;9.75

8a;Bieri Christoph;***;;;;;;;;;56.25
-;;;Wicki Joel;**;;;;;;;9.0
-;4;9.0;Betschart Remo;**;6;56.75;3;9.75;-1;0.75;8.75
+;9;17.75;Doppmann Urs;*;12;55.25;6;18.75;-3;1.0;9.75
+;8;27.5;Arnold Raphael;*;10;55.75;5;28.25;-3;0.75;10.0
-;7;37.5;Nötzli Reto;***;11;55.5;5;38.0;-2;0.5;8.75
+;10;46.25;Lang Sven;*;15;54.5;11;46.0;1;-0.25;10.0

8b;Langenstein Philip;*;;;;;;;;;56.25
-;;;Betschart Silvan;*;;;;;;;8.75
-;5;8.75;Arnold Kornel;*;27;35.0;5;8.75;0;0.0;8.75
-;10;17.5;Stoll Simon;*;26;35.25;10;17.5;0;0.0;8.75
+;13;26.25;Leuthard Reto;*;29;34.5;14;26.0;1;-0.25;10.0
+;12;36.25;Schmid David;***;16;54.25;13;36.0;1;-0.25;10.0
+;10;46.25;Oertig Dominik;**;13;55.0;9;46.5;-1;0.25;10.0

9a;Suppiger René;***;;;;;;;;;56.0
-;;;Burkhalter Stefan;***;;;;;;;8.75
-;5;8.75;Oertig Dominik;**;13;55.0;3;9.75;-2;1.0;9.0
+;9;17.75;Ammann Rico;*;22;52.75;7;18.5;-2;0.75;9.75
+;8;27.5;Reichmuth Armin;*;10;55.75;8;27.5;0;0.0;10.0
+;7;37.5;Schuler Alex;***;16;54.25;10;36.75;3;-0.75;10.0
o;5;47.5;Alpiger Nick;***;3;57.5;5;47.5;0;0.0;8.5

9b;Gwerder Carlo;**;;;;;;;;;56.0
+;;;Bader Andreas;**;;;;;;;10.0
-;2;10.0;Thürig Mario;***;11;55.5;2;10.0;0;0.0;8.75
-;6;18.75;Oertig Dominik;**;13;55.0;6;18.75;0;0.0;9.0
+;7;27.75;Bühler Hannes;*;15;54.5;9;27.25;2;-0.5;9.75
o;7;37.5;Hersche Martin;***;11;55.5;9;37.0;2;-0.5;8.5
+;11;46.0;Kropf Marcel;**;15;54.5;11;46.0;0;0.0;10.0

10a;Egli Pirmin;**;;;;;;;;;55.75
+;;;Schnurrenberger Roman;**;;;;;;;9.75
-;3;9.75;Rohrer Ivan;**;16;54.25;3;9.75;0;0.0;8.75
o;7;18.5;Kenel Franz-Toni;*;16;54.25;8;18.25;1;-0.25;8.75
-;9;27.25;Forrer Arnold;***;14;54.75;9;27.25;0;0.0;8.75
+;13;36.0;Steiner Michael;**;18;53.75;12;36.25;-1;0.25;10.0
