3905-2017-07-09_Rigischwinget-ST

1a;Gwerder Andreas;**;;;;;;;;;89.25
16g;Schmid David;***;;;;;;;;;54.25
-;;;Schuler Alex;***;;;;;;;8.75
-;5;8.75;Lang Sven;*;15;54.5;2;10.0;-3;1.25;8.75
+;10;17.5;Heiniger Marco;*;12;55.25;7;18.5;-3;1.0;9.75
-;9;27.25;Kenel Franz-Toni;*;16;54.25;5;28.25;-4;1.0;8.75
o;13;36.0;Langenstein Philip;*;8;56.25;12;36.25;-1;0.25;8.5
+;17;44.5;Ulrich Marco;*;17;54.0;13;45.5;-4;1.0;9.75

16h;Herger Matthias;**;;;;;;;;;54.25
o;;;Oertig Dominik;**;;;;;;;8.5
+;6;8.5;Bader Andreas;**;23;52.5;6;8.5;0;0.0;10.0
o;7;18.5;Hersche Martin;***;11;55.5;7;18.5;0;0.0;8.5
+;10;27.0;Rüegg Fabian;*;17;54.0;10;27.0;0;0.0;10.0
o;9;37.0;Fankhauser Marco;**;11;55.5;8;37.25;-1;0.25;8.5
-;13;45.5;Schuler Alex;***;16;54.25;13;45.5;0;0.0;8.75

17a;Ulrich Marco;*;;;;;;;;;54.0
o;;;Gerber Peter;*;;;;;;;8.5
+;6;8.5;Vestner Bruno;*;26;35.25;6;8.5;0;0.0;9.75
o;8;18.25;Hügli Kaj;*;26;35.25;8;18.25;0;0.0;8.5
o;11;26.75;Steiner Michael;**;18;53.75;13;26.25;2;-0.5;8.75
+;15;35.5;Bader Andreas;**;23;52.5;15;35.5;0;0.0;10.0
o;13;45.5;Schmid David;***;16;54.25;17;44.5;4;-1.0;8.5

17b;Rüegg Fabian;*;;;;;;;;;54.0
o;;;Zimmermann Simon;**;;;;;;;8.5
+;6;8.5;Fankhauser Reto;**;14;54.75;5;8.75;-1;0.25;10.0
o;7;18.5;Grab Martin;***;15;54.5;12;17.0;5;-1.5;8.5
o;10;27.0;Herger Matthias;**;16;54.25;10;27.0;0;0.0;8.5
+;15;35.5;Felder Martin;*;22;52.75;15;35.5;0;0.0;10.0
o;13;45.5;Gloggner Reto;**;17;54.0;18;44.25;5;-1.25;8.5

17c;Oertig Adrian;**;;;;;;;;;54.0
o;;;Egli Damian;**;;;;;;;8.5
-;6;8.5;Bürli Roger;**;27;35.0;5;8.75;-1;0.25;8.75
+;11;17.25;Gerber Peter;*;21;53.0;8;18.25;-3;1.0;9.75
+;10;27.0;Gloggner Reto;**;17;54.0;10;27.0;0;0.0;9.75
-;10;36.75;Mathis Marcel;***;12;55.25;11;36.5;1;-0.25;8.75
o;13;45.5;Muff Armin;**;11;55.5;13;45.5;0;0.0;8.5

17d;Gloggner Reto;**;;;;;;;;;54.0
+;;;Leuthard Reto;*;;;;;;;10.0
o;2;10.0;Ulrich Andreas;***;5;57.0;2;10.0;0;0.0;8.5
o;7;18.5;Rohrer Ivan;**;16;54.25;7;18.5;0;0.0;8.5
o;10;27.0;Oertig Adrian;**;17;54.0;10;27.0;0;0.0;8.75
o;14;35.75;Schmid Dominik;**;10;55.75;14;35.75;0;0.0;8.5
+;18;44.25;Rüegg Fabian;*;17;54.0;13;45.5;-5;1.25;9.75

17e;Notz Beni;***;;;;;;;;;54.0
o;;;Steinauer Adrian;**;;;;;;;8.5
-;6;8.5;Kessler Joel;*;19;53.5;3;9.75;-3;1.25;8.75
+;11;17.25;Felder Martin;*;22;52.75;7;18.5;-4;1.25;10.0
o;9;27.25;Schuler Philipp;**;12;55.25;5;28.25;-4;1.0;8.5
+;14;35.75;Fankhauser Reto;**;14;54.75;11;36.5;-3;0.75;9.75
o;13;45.5;Mathis Marcel;***;12;55.25;14;45.25;1;-0.25;8.5

18a;Steiner Michael;**;;;;;;;;;53.75
o;;;Reichmuth Marco;**;;;;;;;8.5
-;6;8.5;Vogel Remo;**;27;35.0;5;8.75;-1;0.25;8.75
-;11;17.25;Fankhauser Reto;**;14;54.75;10;17.5;-1;0.25;9.0
+;13;26.25;Ulrich Marco;*;17;54.0;11;26.75;-2;0.5;10.0
o;12;36.25;Egli Pirmin;**;10;55.75;13;36.0;1;-0.25;8.5
-;16;44.75;Rohrer Ueli (1999);*;14;54.75;12;45.75;-4;1.0;9.0

18b;Kennel Stefan;**;;;;;;;;;53.75
+;;;Schmid Samuel;**;;;;;;;9.75
o;3;9.75;Gisler Bruno;***;6;56.75;5;8.75;2;-1.0;8.5
-;8;18.25;Egli Damian;**;16;54.25;8;18.25;0;0.0;8.75
o;10;27.0;Muff Armin;**;11;55.5;10;27.0;0;0.0;8.5
+;15;35.5;Schnurrenberger Roman;**;20;53.25;13;36.0;-2;0.5;9.75
o;14;45.25;Doppmann Urs;*;12;55.25;13;45.5;-1;0.25;8.5

19a;Kessler Joel;*;;;;;;;;;53.5
+;;;Doppmann Urs;*;;;;;;;9.75
-;3;9.75;Notz Beni;***;17;54.0;6;8.5;3;-1.25;8.75
o;7;18.5;Kropf Marcel;**;15;54.5;7;18.5;0;0.0;8.5
-;10;27.0;Schmid Samuel;**;15;54.5;10;27.0;0;0.0;9.0
-;13;36.0;Stoll Simon;*;26;35.25;16;35.25;3;-0.75;8.75
-;16;44.75;Mangold Michael;*;20;53.25;17;44.5;1;-0.25;8.75

19b;Odermatt Christian;**;;;;;;;;;53.5
+;;;Kuster Thomas;*;;;;;;;9.75
o;3;9.75;Klausner Yanick;**;12;55.25;6;8.5;3;-1.25;8.5
+;8;18.25;Widmer Tobias;**;14;54.75;8;18.25;0;0.0;9.75
o;6;28.0;Burkhalter Stefan;***;4;57.25;9;27.25;3;-0.75;8.5
o;11;36.5;Hauri Urs;**;12;55.25;10;36.75;-1;0.25;8.5
o;15;45.0;Fankhauser Reto;**;14;54.75;15;45.0;0;0.0;8.5

20a;Schnurrenberger Roman;**;;;;;;;;;53.25
o;;;Egli Pirmin;**;;;;;;;8.5
-;6;8.5;Leuthard Reto;*;29;34.5;6;8.5;0;0.0;8.75
-;11;17.25;Vogel Remo;**;27;35.0;10;17.5;-1;0.25;8.75
+;14;26.0;Gwerder Andreas;*;1;89.25;1;53.25;-13;27.25;10.0
o;13;36.0;Kennel Stefan;**;18;53.75;15;35.5;2;-0.5;8.5
-;17;44.5;Gerber Peter;*;21;53.0;18;44.25;1;-0.25;8.75

20b;Mangold Michael;*;;;;;;;;;53.25
o;;;Bucher Christian;*;;;;;;;8.5
o;6;8.5;Heiniger Marco;*;12;55.25;5;8.75;-1;0.25;8.5
+;12;17.0;Betschart Silvan;*;30;34.25;11;17.25;-1;0.25;10.0
-;10;27.0;Zimmermann Simon;**;22;52.75;10;27.0;0;0.0;8.75
-;14;35.75;Gerber Peter;*;21;53.0;15;35.5;1;-0.25;8.75
-;17;44.5;Kessler Joel;*;19;53.5;16;44.75;-1;0.25;8.75

21a;Betschart Patrick (1999);*;;;;;;;;;53.0
+;;;Zbinden Marc;*;;;;;;;10.0
o;2;10.0;Kuster Marcel;***;11;55.5;6;8.5;4;-1.5;8.5
o;7;18.5;Reichmuth Marco;**;25;46.25;7;18.5;0;0.0;8.5
-;10;27.0;Bader Andreas;**;23;52.5;11;26.75;1;-0.25;8.75
o;14;35.75;Bühler Hannes;*;15;54.5;14;35.75;0;0.0;8.5
-;18;44.25;Ammann Rico;*;22;52.75;19;44.0;1;-0.25;8.75

21b;Gerber Peter;*;;;;;;;;;53.0
+;;;Ulrich Marco;*;;;;;;;9.75
o;3;9.75;Schuler Alex;***;16;54.25;5;8.75;2;-1.0;8.5
o;8;18.25;Oertig Adrian;**;17;54.0;11;17.25;3;-1.0;8.5
-;11;26.75;Arnold Kornel;*;27;35.0;13;26.25;2;-0.5;8.75
-;15;35.5;Mangold Michael;*;20;53.25;14;35.75;-1;0.25;8.75
-;18;44.25;Schnurrenberger Roman;**;20;53.25;17;44.5;-1;0.25;8.75

22a;Zimmermann Simon;**;;;;;;;;;52.75
+;;;Rüegg Fabian;*;;;;;;;10.0
o;2;10.0;Forrer Arnold;***;14;54.75;5;8.75;3;-1.25;8.5
o;7;18.5;Schneider Mario;**;4;57.25;7;18.5;0;0.0;8.5
-;10;27.0;Mangold Michael;*;20;53.25;10;27.0;0;0.0;8.75
o;14;35.75;Reichmuth Armin;*;10;55.75;13;36.0;-1;0.25;8.5
o;18;44.25;Schmid Samuel;**;15;54.5;17;44.5;-1;0.25;8.5

22b;Felder Martin;*;;;;;;;;;52.75
o;;;Heinzer Stefan;*;;;;;;;8.5
+;6;8.5;Stoll Simon;*;26;35.25;5;8.75;-1;0.25;10.0
o;7;18.5;Notz Beni;***;17;54.0;11;17.25;4;-1.25;8.5
o;10;27.0;Klausner Yanick;**;12;55.25;10;27.0;0;0.0;8.5
o;15;35.5;Rüegg Fabian;*;17;54.0;15;35.5;0;0.0;8.5
o;19;44.0;Gwerder Andreas;**;1;89.25;1;79.25;-18;35.25;8.75

22c;Ammann Rico;*;;;;;;;;;52.75
o;;;Kenel Franz-Toni;*;;;;;;;8.5
+;6;8.5;Gwerder Andreas;*;1;89.25;1;17.25;-5;8.75;10.0
o;7;18.5;Suppiger René;***;9;56.0;9;17.75;2;-0.75;8.5
o;10;27.0;Egli Damian;**;16;54.25;9;27.25;-1;0.25;8.5
o;15;35.5;Heiniger Marco;*;12;55.25;15;35.5;0;0.0;8.5
-;19;44.0;Betschart Patrick (1999);*;21;53.0;18;44.25;-1;0.25;8.75

23a;Bader Andreas;**;;;;;;;;;52.5
o;;;Gwerder Carlo;**;;;;;;;8.5
o;6;8.5;Herger Matthias;**;16;54.25;6;8.5;0;0.0;8.5
+;12;17.0;Fässler Dominic;**;32;26.0;10;17.5;-2;0.5;9.75
-;11;26.75;Betschart Patrick (1999);*;21;53.0;10;27.0;-1;0.25;8.75
o;15;35.5;Ulrich Marco;*;17;54.0;15;35.5;0;0.0;8.5
o;19;44.0;Heiniger Marco;*;12;55.25;13;45.5;-6;1.5;8.5

24a;Nötzli Bruno;***;;;;;;;;;49.25
+;;;Hersche Martin;***;;;;;;;9.75
+;3;9.75;Kropf Marcel;**;15;54.5;2;10.0;-1;0.25;10.0
+;3;19.75;Döbeli Andreas;*;14;54.75;3;19.75;0;0.0;9.75
+;2;29.5;Thürig Mario;***;11;55.5;4;28.5;2;-1.0;10.0
+;2;39.5;Kuster Marcel;***;11;55.5;4;38.25;2;-1.25;9.75

25a;Reichmuth Marco;**;;;;;;;;;46.25
+;;;Steiner Michael;**;;;;;;;10.0
o;2;10.0;Alpiger Nick;***;3;57.5;5;8.75;3;-1.25;8.5
+;7;18.5;Betschart Patrick (1999);*;21;53.0;7;18.5;0;0.0;10.0
o;4;28.5;Gisler Bruno;***;6;56.75;7;27.75;3;-0.75;8.75
-;8;37.25;Döbeli Lukas (2000);*;14;54.75;8;37.25;0;0.0;9.0

26a;Vestner Bruno;*;;;;;;;;;35.25
o;;;Arnold Raphael;*;;;;;;;8.5
o;6;8.5;Ulrich Marco;*;17;54.0;6;8.5;0;0.0;8.5
o;12;17.0;Murer Andy;**;16;54.25;11;17.25;-1;0.25;8.5
+;16;25.5;Betschart Silvan;*;30;34.25;15;25.75;-1;0.25;9.75

26b;Hügli Kaj;*;;;;;;;;;35.25
o;;;Muff Armin;**;;;;;;;8.5
+;6;8.5;Ulrich Marco;*;17;54.0;6;8.5;0;0.0;9.75
o;8;18.25;Schuler Philipp;**;12;55.25;8;18.25;0;0.0;8.5
o;11;26.75;Bucher Christian;*;16;54.25;10;27.0;-1;0.25;8.5

26c;Stoll Simon;*;;;;;;;;;35.25
-;;;Vonlaufen Lukas;*;;;;;;;8.75
o;5;8.75;Felder Martin;*;22;52.75;6;8.5;1;-0.25;8.75
-;10;17.5;Langenstein Philip;*;8;56.25;10;17.5;0;0.0;9.0
-;12;26.5;Kessler Joel;*;19;53.5;10;27.0;-2;0.5;8.75

27a;Arnold Kornel;*;;;;;;;;;35.0
-;;;Gwerder Andreas;*;;;;;;;8.75
-;5;8.75;Langenstein Philip;*;8;56.25;5;8.75;0;0.0;8.75
-;10;17.5;Kuster Thomas;*;29;34.5;12;17.0;2;-0.5;8.75
-;13;26.25;Gerber Peter;*;21;53.0;11;26.75;-2;0.5;8.75

27b;Bürli Roger;**;;;;;;;;;35.0
-;;;Brun Samuel (1999);**;;;;;;;8.75
-;5;8.75;Oertig Adrian;**;17;54.0;6;8.5;1;-0.25;8.75
-;10;17.5;Leuthard Reto;*;29;34.5;11;17.25;1;-0.25;8.75
-;13;26.25;Dumelin David;*;28;34.75;14;26.0;1;-0.25;8.75

27c;Vogel Remo;**;;;;;;;;;35.0
o;;;Döbeli Andreas;*;;;;;;;8.75
-;5;8.75;Steiner Michael;**;18;53.75;6;8.5;1;-0.25;8.75
-;10;17.5;Schnurrenberger Roman;**;20;53.25;11;17.25;1;-0.25;8.75
-;13;26.25;Zbinden Marc;*;30;34.25;16;25.5;3;-0.75;8.75

28a;Dumelin David;*;;;;;;;;;34.75
o;;;Lang Sven;*;;;;;;;8.5
o;6;8.5;Rohrer Ueli (1999);*;14;54.75;5;8.75;-1;0.25;8.5
-;12;17.0;Gwerder Andreas;*;1;89.25;1;34.25;-11;17.25;9.0
-;14;26.0;Bürli Roger;**;27;35.0;13;26.25;-1;0.25;8.75

28b;Vonlaufen Lukas;*;;;;;;;;;34.75
-;;;Stoll Simon;*;;;;;;;8.75
-;5;8.75;Reichmuth Armin;*;10;55.75;5;8.75;0;0.0;8.75
o;10;17.5;Schmid Dominik;**;10;55.75;11;17.25;1;-0.25;8.5
-;14;26.0;Kuster Thomas;*;29;34.5;15;25.75;1;-0.25;8.75

28c;Brun Samuel (1999);**;;;;;;;;;34.75
-;;;Bürli Roger;**;;;;;;;8.75
-;5;8.75;Fässler Dominic;**;32;26.0;6;8.5;1;-0.25;9.0
o;9;17.75;Gwerder Andreas;**;1;89.25;1;34.25;-8;16.5;8.5
o;13;26.25;Fankhauser Reto;**;14;54.75;12;26.5;-1;0.25;8.5

29a;Kuster Thomas;*;;;;;;;;;34.5
o;;;Odermatt Christian;**;;;;;;;8.5
o;6;8.5;Schmid Samuel;**;15;54.5;6;8.5;0;0.0;8.5
-;12;17.0;Arnold Kornel;*;27;35.0;10;17.5;-2;0.5;8.75
-;15;25.75;Vonlaufen Lukas;*;28;34.75;14;26.0;-1;0.25;8.75

29b;Leuthard Reto;*;;;;;;;;;34.5
o;;;Gloggner Reto;**;;;;;;;8.5
-;6;8.5;Schnurrenberger Roman;**;20;53.25;6;8.5;0;0.0;8.75
-;11;17.25;Bürli Roger;**;27;35.0;10;17.5;-1;0.25;8.75
o;14;26.0;Langenstein Philip;*;8;56.25;13;26.25;-1;0.25;8.5

30a;Betschart Silvan;*;;;;;;;;;34.25
-;;;Langenstein Philip;*;;;;;;;8.75
o;5;8.75;Bühler Hannes;*;15;54.5;5;8.75;0;0.0;8.5
o;11;17.25;Mangold Michael;*;20;53.25;12;17.0;1;-0.25;8.5
o;15;25.75;Vestner Bruno;*;26;35.25;16;25.5;1;-0.25;8.5

30b;Zbinden Marc;*;;;;;;;;;34.25
o;;;Betschart Patrick (1999);*;;;;;;;8.5
o;6;8.5;Doppmann Urs;*;12;55.25;5;8.75;-1;0.25;8.5
o;12;17.0;Reichmuth Armin;*;10;55.75;10;17.5;-2;0.5;8.5
-;16;25.5;Vogel Remo;**;27;35.0;13;26.25;-3;0.75;8.75

31a;Heinzer Stefan;*;;;;;;;;;27.0
+;;;Felder Martin;*;;;;;;;10.0
o;2;10.0;Arnold Stefan;**;11;55.5;3;9.75;1;-0.25;8.5
o;7;18.5;Kuster Marcel;***;11;55.5;7;18.5;0;0.0;8.5

32a;Fässler Dominic;**;;;;;;;;;26.0
o;;;Döbeli Lukas (2000);*;;;;;;;8.5
-;6;8.5;Brun Samuel (1999);**;28;34.75;5;8.75;-1;0.25;9.0
o;10;17.5;Bader Andreas;**;23;52.5;12;17.0;2;-0.5;8.5

33a;Scheuber Lutz;**;;;;;;;;;8.5
o;;;Schneider Mario;**;;;;;;;8.5

