5325-2022-05-08_117_Ob-_und_Nidwaldner_Kantonalschwingfest-ST

1a;Durrer Fabian;*;;;;;;;;;57.75
+;4;8.75;Würsch Lars;*;8;55.75;1;10.0;-3;1.25;10.0
+;5;18.75;Steudler Kevin;*;8;55.75;5;18.75;0;0.0;9.75
o;3;28.5;Zemp Christian (2004);;5;56.5;1;29.25;-2;0.75;8.75
+;7;37.25;Spichtig Clemens;;14;54.25;8;37.0;1;-0.25;9.75
+;4;47.0;Grab Florian;;12;54.75;7;46.25;3;-0.75;10.0

3f;Imhof Andi;***;;;;;;;;;57.0
-;;;Gerber Christian;***;;;;;;;8.75
+;4;8.75;Waser Christoph;*;9;55.5;1;10.0;-3;1.25;9.75
+;6;18.5;Felder Martin;*;7;56.0;5;18.75;-1;0.25;10.0
-;3;28.5;Gasser Dominik;**;2;57.25;2;28.75;-1;0.25;8.75
+;7;37.25;Huber Alex;*;6;56.25;4;38.0;-3;0.75;10.0
+;3;47.25;Steinauer Adrian;**;9;55.5;4;47.0;1;-0.25;9.75

3g;Schurtenberger Sven;***;;;;;;;;;57.0
-;;;von Weissenfluh Kilian;***;;;;;;;8.75
+;4;8.75;Steudler Kevin;*;8;55.75;1;10.0;-3;1.25;10.0
o;5;18.75;Odermatt Andreas;**;3;57.0;5;18.75;0;0.0;8.5
+;8;27.25;Omlin Toni;*;3;57.0;2;28.75;-6;1.5;9.75
+;8;37.0;Bucher Christian;**;8;55.75;7;37.25;-1;0.25;10.0
+;4;47.0;Rohrer Ivan;**;10;55.25;5;46.75;1;-0.25;10.0

3h;Waser Dominik;**;;;;;;;;;57.0
o;;;Arnold Stefan;**;;;;;;;8.5
+;5;8.5;Mehr Lars;*;10;55.25;4;8.75;-1;0.25;9.75
+;7;18.25;von Matt Lars;;16;53.75;2;19.75;-5;1.5;9.75
+;5;28.0;Reichmuth Lukas;*;4;56.75;3;28.5;-2;0.5;10.0
-;4;38.0;Lustenberger Marc;*;2;57.25;3;38.25;-1;0.25;9.0
+;4;47.0;Odermatt Remo;*;11;55.0;6;46.5;2;-0.5;10.0

4a;Reichmuth Lukas;*;;;;;;;;;56.75
+;;;Wallimann Remo;*;;;;;;;9.75
o;2;9.75;Omlin Toni;*;3;57.0;1;10.0;-1;0.25;8.75
+;6;18.5;von Flüe Silvan (2004);;15;54.0;5;18.75;-1;0.25;10.0
o;3;28.5;Waser Dominik;**;3;57.0;5;28.0;2;-0.5;8.5
+;8;37.0;Huser Christian;;16;53.75;9;36.75;1;-0.25;9.75
+;5;46.75;Ettlin Martin;*;12;54.75;7;46.25;2;-0.5;10.0

4b;Doppmann Urs;**;;;;;;;;;56.75
+;;;Burch Jonas;**;;;;;;;10.0
o;1;10.0;Gasser Dominik;**;2;57.25;1;10.0;0;0.0;8.5
+;6;18.5;Britschgi Marcel;;14;54.25;6;18.5;0;0.0;9.75
+;4;28.25;Barmettler Severin (2005);;10;55.25;4;28.25;0;0.0;10.0
-;3;38.25;Ettlin Stefan;**;8;55.75;4;38.0;1;-0.25;8.75
+;4;47.0;Hürlimann Marco;;10;55.25;5;46.75;1;-0.25;9.75

4c;Nötzli Reto;***;;;;;;;;;56.75
-;;;Fankhauser Erich;***;;;;;;;8.75
-;4;8.75;Durrer Jonas;*;8;55.75;1;10.0;-3;1.25;8.75
+;10;17.5;Hurschler Tobias;;9;55.5;3;19.5;-7;2.0;10.0
+;7;27.5;Röthlin Pascal;*;10;55.25;4;28.25;-3;0.75;9.75
+;7;37.25;Scherer Niklaus;**;7;56.0;6;37.5;-1;0.25;9.75
+;4;47.0;Wallimann Remo;*;12;54.75;7;46.25;3;-0.75;9.75

4d;Durrer Markus;;;;;;;;;;56.75
+;;;Kurmann Jvo;;;;;;;;9.75
+;2;9.75;Imgrüth Fabian (2005);;16;53.75;2;9.75;0;0.0;10.0
o;2;19.75;Durrer Fabian;*;1;57.75;7;18.25;5;-1.5;8.5
+;4;28.25;Moos Christoph;*;25;35.5;9;27.0;5;-1.25;9.75
o;4;38.0;Gasser Dominik;**;2;57.25;6;37.5;2;-0.5;8.75
+;5;46.75;Rogenmoser Ryan;;11;55.0;7;46.25;2;-0.5;10.0

4e;Schöpfer Marco;;;;;;;;;;56.75
+;;;Waser Raphael;;;;;;;;9.75
+;2;9.75;Waser Mattia (2005);;26;35.25;2;9.75;0;0.0;9.75
+;3;19.5;Gander Adrian;*;31;27.0;6;18.5;3;-1.0;9.75
-;1;29.25;Rohrer Ueli;**;2;57.25;4;28.25;3;-1.0;9.0
-;3;38.25;Ramseier Fritz;**;7;56.0;7;37.25;4;-1.0;8.75
+;4;47.0;Kempf Damian;;11;55.0;6;46.5;2;-0.5;9.75

5a;Burch Jonas;**;;;;;;;;;56.5
o;;;Doppmann Urs;**;;;;;;;8.5
+;5;8.5;Moos Christoph;*;25;35.5;5;8.5;0;0.0;10.0
+;6;18.5;Scherrer Patrick;;7;56.0;4;19.0;-2;0.5;10.0
+;3;28.5;Fankhauser Reto;**;7;56.0;2;28.75;-1;0.25;10.0
-;2;38.5;Fankhauser Erich;***;6;56.25;6;37.5;4;-1.0;9.0
-;2;47.5;Bucher Roland;*;7;56.0;4;47.0;2;-0.5;9.0

5b;Zemp Christian (2004);;;;;;;;;;56.5
+;;;Rogenmoser Ryan;;;;;;;;9.75
+;2;9.75;Staffelbach Noah;;11;55.0;2;9.75;0;0.0;9.75
+;3;19.5;Lemmenmeier Lukas;*;8;55.75;7;18.25;4;-1.25;9.75
+;1;29.25;Suppiger Werner;**;3;57.0;3;28.5;2;-0.75;9.75
o;1;39.0;von Weissenfluh Kilian;***;5;56.5;8;37.0;7;-2.0;8.75
o;1;47.75;Durrer Fabian;*;1;57.75;1;47.75;0;0.0;8.75

5c;von Weissenfluh Kilian;***;;;;;;;;;56.5
-;;;Schurtenberger Sven;***;;;;;;;8.75
+;4;8.75;Egli Damian;**;8;55.75;2;9.75;-2;1.0;9.75
+;6;18.5;Odermatt Christian;**;12;54.75;3;19.5;-3;1.0;9.75
-;4;28.25;von Ah Benji;***;7;56.0;3;28.5;-1;0.25;8.75
+;8;37.0;Kennel Stefan;**;7;56.0;6;37.5;-2;0.5;9.75
+;5;46.75;Zemp Christian (2004);;5;56.5;1;47.75;-4;1.0;9.75

5d;Herger Fabian;*;;;;;;;;;56.5
o;;;Hess Dominik;*;;;;;;;8.75
+;4;8.75;Gassmann Michael;*;9;55.5;4;8.75;0;0.0;9.75
+;6;18.5;Kathriner Andreas;;15;54.0;6;18.5;0;0.0;9.75
+;4;28.25;Gander Benjamin;;13;54.5;4;28.25;0;0.0;9.75
-;4;38.0;Bernhard Lukas;**;6;56.25;6;37.5;2;-0.5;8.75
+;5;46.75;Duss Yvan;;10;55.25;5;46.75;0;0.0;9.75

5e;Wandeler Roman;;;;;;;;;;56.5
-;;;Nägeli Leandro;;;;;;;;8.75
+;4;8.75;von Wyl Simon;;17;53.5;2;9.75;-2;1.0;10.0
+;5;18.75;Käslin Ruedi;*;9;55.5;6;18.5;1;-0.25;9.75
+;3;28.5;Steudler Kevin;*;8;55.75;8;27.25;5;-1.25;9.75
o;3;38.25;Arnold Stefan;**;6;56.25;5;37.75;2;-0.5;8.5
+;5;46.75;Christen Silvan;;11;55.0;6;46.5;1;-0.25;9.75

6a;Bernhard Lukas;**;;;;;;;;;56.25
-;;;Scherer Niklaus;**;;;;;;;9.0
-;3;9.0;Suter Pirmin;**;11;55.0;3;9.0;0;0.0;9.0
+;8;18.0;Doppmann Ueli;;8;55.75;5;18.75;-3;0.75;9.75
+;6;27.75;Suter Bruno;;7;56.0;3;28.5;-3;0.75;9.75
-;6;37.5;Herger Fabian;*;5;56.5;4;38.0;-2;0.5;8.75
+;7;46.25;Bättig Martin;*;9;55.5;5;46.75;-2;0.5;10.0

6b;Huber Alex;*;;;;;;;;;56.25
+;;;Waser Adrian;*;;;;;;;9.75
-;2;9.75;Bucher Christian;**;8;55.75;5;8.5;3;-1.25;8.75
+;6;18.5;Ettlin Kevin;;25;35.5;6;18.5;0;0.0;9.75
+;4;28.25;Gander Michael;;15;54.0;4;28.25;0;0.0;9.75
o;4;38.0;Imhof Andi;***;3;57.0;7;37.25;3;-0.75;8.5
+;6;46.5;Berchtold Kilian;;13;54.5;8;46.0;2;-0.5;9.75

6c;Arnold Stefan;**;;;;;;;;;56.25
+;;;Waser Dominik;**;;;;;;;9.75
o;2;9.75;Gerber Christian;***;23;37.25;4;8.75;2;-1.0;8.5
+;7;18.25;Elmiger Matthias;;13;54.5;4;19.0;-3;0.75;9.75
+;5;28.0;Bättig Martin;*;9;55.5;3;28.5;-2;0.5;9.75
+;5;37.75;Wandeler Roman;;5;56.5;3;38.25;-2;0.5;9.75
o;2;47.5;Hess Dominik;*;2;57.25;3;47.25;1;-0.25;8.75

6d;Fankhauser Erich;***;;;;;;;;;56.25
-;;;Nötzli Reto;***;;;;;;;8.75
+;4;8.75;Hess Dominik;*;2;57.25;2;9.75;-2;1.0;10.0
-;5;18.75;Gasser Dominik;**;2;57.25;1;20.0;-4;1.25;8.75
+;7;27.5;Bucher André;;8;55.75;3;28.5;-4;1.0;10.0
-;6;37.5;Burch Jonas;**;5;56.5;2;38.5;-4;1.0;9.0
+;6;46.5;Elsener Marcel;*;12;54.75;7;46.25;1;-0.25;9.75

7a;Suter Bruno;;;;;;;;;;56.0
+;;;Durrer Ive;;;;;;;;10.0
+;1;10.0;Zimmermann Raffael;;10;55.25;1;10.0;0;0.0;10.0
o;1;20.0;Omlin Toni;*;3;57.0;5;18.75;4;-1.25;8.5
o;3;28.5;Bernhard Lukas;**;6;56.25;6;27.75;3;-0.75;8.75
+;7;37.25;von Matt Lars;;16;53.75;9;36.75;2;-0.5;10.0
o;3;47.25;Odermatt Andreas;**;3;57.0;3;47.25;0;0.0;8.75

7b;Scherer Niklaus;**;;;;;;;;;56.0
-;;;Bernhard Lukas;**;;;;;;;9.0
o;3;9.0;Odermatt Christian;**;12;54.75;2;9.75;-1;0.75;8.5
+;10;17.5;Albert Thomas;;14;54.25;5;18.75;-5;1.25;10.0
+;7;27.5;von Matt Lars;;16;53.75;4;28.25;-3;0.75;10.0
o;6;37.5;Nötzli Reto;***;4;56.75;7;37.25;1;-0.25;8.5
+;8;46.0;Gisler Silvan;;10;55.25;5;46.75;-3;0.75;10.0

7c;Kennel Stefan;**;;;;;;;;;56.0
-;;;Felder Martin;*;;;;;;;8.75
-;4;8.75;Fellmann Roman;**;8;55.75;5;8.5;1;-0.25;8.75
+;10;17.5;Spichtig Clemens;;14;54.25;5;18.75;-5;1.25;10.0
+;7;27.5;Christen Silvan;;11;55.0;4;28.25;-3;0.75;10.0
o;6;37.5;von Weissenfluh Kilian;***;5;56.5;8;37.0;2;-0.5;8.5
+;8;46.0;Elmiger Matthias;;13;54.5;8;46.0;0;0.0;10.0

7d;Bucher Roland;*;;;;;;;;;56.0
-;;;Durrer Nando;*;;;;;;;8.75
o;4;8.75;Odermatt Andreas;**;3;57.0;4;8.75;0;0.0;8.5
+;11;17.25;Graber Sandro;;15;54.0;6;18.5;-5;1.25;9.75
+;9;27.0;Küchler Severin;;19;53.0;8;27.25;-1;0.25;10.0
+;8;37.0;von Wyl Kevin (2004);;9;55.5;8;37.0;0;0.0;10.0
-;4;47.0;Burch Jonas;**;5;56.5;2;47.5;-2;0.5;9.0

7e;Scherrer Patrick;;;;;;;;;;56.0
-;;;Durrer Lukas;;;;;;;;9.0
+;3;9.0;Odermatt Fabian (2005);;25;35.5;1;10.0;-2;1.0;10.0
o;4;19.0;Burch Jonas;**;5;56.5;6;18.5;2;-0.5;8.5
o;7;27.5;Odermatt Remo;*;11;55.0;9;27.0;2;-0.5;8.5
+;12;36.0;Graber Sandro;;15;54.0;13;35.75;1;-0.25;10.0
+;8;46.0;Odermatt Christian;**;12;54.75;7;46.25;-1;0.25;10.0

7f;Styger Alex;;;;;;;;;;56.0
-;;;von Ah Markus;;;;;;;;8.75
+;4;8.75;Blättler Michi (2006);;29;34.25;4;8.75;0;0.0;9.75
+;6;18.5;Odermatt Fabian (2005);;25;35.5;6;18.5;0;0.0;9.75
-;4;28.25;Rohrer Ivan;**;10;55.25;4;28.25;0;0.0;8.75
+;8;37.0;Waser Christoph;*;9;55.5;7;37.25;-1;0.25;10.0
-;4;47.0;Hurschler Tobias;;9;55.5;6;46.5;2;-0.5;9.0

7g;Ramseier Fritz;**;;;;;;;;;56.0
-;;;Suppiger Werner;**;;;;;;;8.75
+;4;8.75;Omlin Toni;*;3;57.0;1;10.0;-3;1.25;10.0
+;5;18.75;Durrer Jonas;*;8;55.75;5;18.75;0;0.0;9.75
-;3;28.5;Egli Damian;**;8;55.75;4;28.25;1;-0.25;8.75
-;7;37.25;Schöpfer Marco;;4;56.75;3;38.25;-4;1.0;8.75
+;8;46.0;Hürlimann Ueli;;13;54.5;8;46.0;0;0.0;10.0

7h;Fankhauser Reto;**;;;;;;;;;56.0
+;;;Bucher Christian;**;;;;;;;9.75
-;2;9.75;Lussi Marco;**;12;54.75;4;8.75;2;-1.0;9.0
+;5;18.75;Züger Benjamin (2004);;13;54.5;5;18.75;0;0.0;10.0
o;2;28.75;Burch Jonas;**;5;56.5;3;28.5;1;-0.25;8.5
+;7;37.25;Hurschler Tobias;;9;55.5;4;38.0;-3;0.75;10.0
-;3;47.25;Durrer Nando;*;8;55.75;4;47.0;1;-0.25;8.75

7i;Felder Martin;*;;;;;;;;;56.0
-;;;Kennel Stefan;**;;;;;;;8.75
+;4;8.75;Ettlin Martin;*;12;54.75;3;9.0;-1;0.25;10.0
o;5;18.75;Imhof Andi;***;3;57.0;6;18.5;1;-0.25;8.75
+;7;27.5;Kiser Markus (2005);;16;53.75;5;28.0;-2;0.5;9.75
+;7;37.25;Hürlimann Ueli;;13;54.5;6;37.5;-1;0.25;9.75
-;4;47.0;Bucher André;;8;55.75;5;46.75;1;-0.25;9.0

7j;von Ah Benji;***;;;;;;;;;56.0
-;;;Müller Michael;**;;;;;;;8.75
+;4;8.75;Wyrsch Silvio;*;3;57.0;1;10.0;-3;1.25;10.0
+;5;18.75;Lustenberger Marc;*;2;57.25;2;19.75;-3;1.0;9.75
-;3;28.5;von Weissenfluh Kilian;***;5;56.5;4;28.25;1;-0.25;8.75
+;7;37.25;Fellmann Roman;**;8;55.75;7;37.25;0;0.0;10.0
-;3;47.25;Scherrer Fabian;*;9;55.5;5;46.75;2;-0.5;8.75

8a;Bucher Christian;**;;;;;;;;;55.75
o;;;Fankhauser Reto;**;;;;;;;8.5
-;5;8.5;Huber Alex;*;6;56.25;2;9.75;-3;1.25;9.0
+;10;17.5;von Wyl Kevin (2004);;9;55.5;5;18.75;-5;1.25;9.75
+;8;27.25;Gut Koni;;9;55.5;4;28.25;-4;1.0;10.0
o;7;37.25;Schurtenberger Sven;***;3;57.0;8;37.0;1;-0.25;8.5
+;9;45.75;Hurschler Stefan (2006);;13;54.5;8;46.0;-1;0.25;10.0

8b;Lemmenmeier Lukas;*;;;;;;;;;55.75
o;;;Odermatt Christian;**;;;;;;;8.5
+;5;8.5;Odermatt Remo;*;11;55.0;5;8.5;0;0.0;9.75
o;7;18.25;Zemp Christian (2004);;5;56.5;3;19.5;-4;1.25;8.5
-;10;26.75;Gander Martin;;14;54.25;8;27.25;-2;0.5;9.0
+;13;35.75;Furrer Jens;;20;52.75;13;35.75;0;0.0;10.0
+;9;45.75;Kaiser Sandro;;15;54.0;10;45.5;1;-0.25;10.0

8c;Durrer Jonas;*;;;;;;;;;55.75
+;;;Moos Christoph;*;;;;;;;10.0
-;1;10.0;Nötzli Reto;***;4;56.75;4;8.75;3;-1.25;8.75
o;5;18.75;Ramseier Fritz;**;7;56.0;5;18.75;0;0.0;8.5
+;8;27.25;Hürlimann Marco;;10;55.25;4;28.25;-4;1.0;9.75
-;8;37.0;Gander Michael;;15;54.0;9;36.75;1;-0.25;8.75
+;9;45.75;Zberg Peter (2004);;13;54.5;8;46.0;-1;0.25;10.0

8d;Niederberger Markus;*;;;;;;;;;55.75
o;;;Wyrsch Silvio;*;;;;;;;8.5
o;5;8.5;Steinauer Adrian;**;9;55.5;5;8.5;0;0.0;8.75
+;11;17.25;Staffelbach Noah;;11;55.0;7;18.25;-4;1.0;9.75
+;9;27.0;Lienhard Ramon (2004);;19;53.0;7;27.5;-2;0.5;10.0
-;8;37.0;Suter Pirmin;**;11;55.0;5;37.75;-3;0.75;8.75
+;9;45.75;Durrer Lukas;;14;54.25;9;45.75;0;0.0;10.0

8e;Ettlin Stefan;**;;;;;;;;;55.75
-;;;Suter Pirmin;**;;;;;;;9.0
-;3;9.0;Nietlispach Pascal;**;23;37.25;4;8.75;1;-0.25;9.0
+;8;18.0;Laimbacher Cyrill (2004);;13;54.5;5;18.75;-3;0.75;10.0
+;5;28.0;Staub Ivan;;14;54.25;4;28.25;-1;0.25;10.0
-;4;38.0;Doppmann Urs;**;4;56.75;3;38.25;-1;0.25;8.75
-;5;46.75;Suter Samuel;*;10;55.25;7;46.25;2;-0.5;9.0

8f;Bucher André;;;;;;;;;;55.75
-;;;Durrer Ueli;;;;;;;;8.75
+;4;8.75;Imfeld Laurin (2004);;22;45.5;1;10.0;-3;1.25;9.75
+;6;18.5;Wolf Stefan (2006);;16;53.75;6;18.5;0;0.0;10.0
o;3;28.5;Fankhauser Erich;***;6;56.25;7;27.5;4;-1.0;8.5
+;8;37.0;Röthlin Pascal;*;10;55.25;9;36.75;1;-0.25;9.75
-;5;46.75;Felder Martin;*;7;56.0;4;47.0;-1;0.25;9.0

8g;Fellmann Roman;**;;;;;;;;;55.75
o;;;Rohrer Ueli;**;;;;;;;8.5
-;5;8.5;Kennel Stefan;**;7;56.0;4;8.75;-1;0.25;8.75
+;11;17.25;Christen Thomas;;17;53.5;5;18.75;-6;1.5;10.0
+;8;27.25;von Wyl Simon;;17;53.5;5;28.0;-3;0.75;10.0
o;7;37.25;von Ah Benji;***;7;56.0;7;37.25;0;0.0;8.5
+;9;45.75;Wiss Ivan (2004);;13;54.5;8;46.0;-1;0.25;10.0

8h;Durrer Nando;*;;;;;;;;;55.75
-;;;Bucher Roland;*;;;;;;;8.75
-;4;8.75;Suter Samuel;*;10;55.25;4;8.75;0;0.0;8.75
+;10;17.5;Bieri Manuel (2006);;16;53.75;6;18.5;-4;1.0;9.75
+;8;27.25;Gisler Noah;;12;54.75;5;28.0;-3;0.75;10.0
+;7;37.25;Gerber Jakob;;13;54.5;8;37.0;1;-0.25;9.75
-;4;47.0;Fankhauser Reto;**;7;56.0;3;47.25;-1;0.25;8.75

8i;Würsch Lars;*;;;;;;;;;55.75
+;;;Gassmann Michael;*;;;;;;;10.0
o;1;10.0;Suppiger Werner;**;3;57.0;4;8.75;3;-1.25;8.5
o;6;18.5;Wiget Ueli;;3;57.0;5;18.75;-1;0.25;8.5
-;9;27.0;Schaller Noah;;9;55.5;7;27.5;-2;0.5;9.0
+;12;36.0;Püntener Luca (2005);;16;53.75;9;36.75;-3;0.75;9.75
+;9;45.75;Kathriner Severin;;15;54.0;10;45.5;1;-0.25;10.0

8j;Egli Damian;**;;;;;;;;;55.75
+;;;Steinauer Adrian;**;;;;;;;9.75
o;2;9.75;von Weissenfluh Kilian;***;5;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Hürlimann Marco;;10;55.25;2;19.75;-5;1.5;10.0
-;4;28.25;Ramseier Fritz;**;7;56.0;3;28.5;-1;0.25;8.75
+;8;37.0;Waser Raphael;;9;55.5;8;37.0;0;0.0;9.75
-;5;46.75;Nägeli Leandro;;11;55.0;8;46.0;3;-0.75;9.0

8k;Steudler Kevin;*;;;;;;;;;55.75
+;;;Bürgi Reto;*;;;;;;;10.0
o;1;10.0;Schurtenberger Sven;***;3;57.0;4;8.75;3;-1.25;8.75
o;5;18.75;Suppiger Werner;**;3;57.0;5;18.75;0;0.0;8.5
o;8;27.25;Wandeler Roman;;5;56.5;3;28.5;-5;1.25;8.5
+;13;35.75;Imgrüth Fabian (2005);;16;53.75;10;36.5;-3;0.75;10.0
+;9;45.75;Albert Thomas;;14;54.25;9;45.75;0;0.0;10.0

8l;Doppmann Ueli;;;;;;;;;;55.75
-;;;Ettlin Michael;;;;;;;;9.0
+;3;9.0;Christen Silvan;;11;55.0;2;9.75;-1;0.75;9.75
o;5;18.75;Bernhard Lukas;**;6;56.25;8;18.0;3;-0.75;8.5
+;8;27.25;Christen Thomas;;17;53.5;8;27.25;0;0.0;9.75
o;8;37.0;Wallimann Remo;*;12;54.75;10;36.5;2;-0.5;8.75
+;9;45.75;Kiser Dominik (2006);;16;53.75;11;45.25;2;-0.5;10.0

9a;Ming Hannes;;;;;;;;;;55.5
-;;;Grab Florian;;;;;;;;8.75
+;4;8.75;Huser Christian;;16;53.75;5;8.5;1;-0.25;10.0
o;5;18.75;Elsener Marcel;*;12;54.75;9;17.75;4;-1.0;8.5
+;8;27.25;Herger Simon;;25;35.5;9;27.0;1;-0.25;9.75
o;8;37.0;Bättig Martin;*;9;55.5;8;37.0;0;0.0;8.5
+;10;45.5;von Flüe Silvan (2004);;15;54.0;10;45.5;0;0.0;10.0

9b;Waser Adrian;*;;;;;;;;;55.5
o;;;Huber Alex;*;;;;;;;8.5
-;5;8.5;Arnold Severin;*;14;54.25;5;8.5;0;0.0;8.75
o;11;17.25;Kempf Damian;;11;55.0;7;18.25;-4;1.0;8.5
+;14;25.75;Lagler Reto;;18;53.25;8;27.25;-6;1.5;10.0
+;13;35.75;Kryenbühl Mauro (2005);;20;52.75;13;35.75;0;0.0;10.0
+;9;45.75;Püntener Luca (2005);;16;53.75;11;45.25;2;-0.5;9.75

9c;Langensand Stefan;*;;;;;;;;;55.5
-;;;Waser Reto;*;;;;;;;8.75
o;4;8.75;Müller Michael;**;2;57.25;4;8.75;0;0.0;8.5
+;11;17.25;Widmer Simon;;16;53.75;6;18.5;-5;1.25;10.0
o;8;27.25;Rogenmoser Ryan;;11;55.0;5;28.0;-3;0.75;8.5
+;13;35.75;Gasser Severin (2006);;17;53.5;10;36.5;-3;0.75;9.75
+;10;45.5;Laimbacher Cyrill (2004);;13;54.5;9;45.75;-1;0.25;10.0

9d;Hurschler Tobias;;;;;;;;;;55.5
+;;;Huser Christian;;;;;;;;9.75
+;2;9.75;Zberg Peter (2004);;13;54.5;4;8.75;2;-1.0;9.75
