5325-2022-05-08_117_Ob-_und_Nidwaldner_Kantonalschwingfest-ST

1a;Durrer Fabian;*;;;;;;;;;57.75
o;;;Waser Christoph;*;;;;;;;8.5
+;5;8.5;Ming Christian;*;11;55.0;4;8.75;-1;0.25;9.75
+;7;18.25;Durrer Markus;;4;56.75;2;19.75;-5;1.5;10.0
+;4;28.25;Ettlin Mario;;10;55.25;4;28.25;0;0.0;9.75
+;4;38.0;Odermatt Christian;**;12;54.75;5;37.75;1;-0.25;9.75
+;1;47.75;Zemp Christian (2004);;5;56.5;1;47.75;0;0.0;10.0

2a;Hess Dominik;*;;;;;;;;;57.25
+;;;Herger Fabian;*;;;;;;;9.75
o;2;9.75;Fankhauser Erich;***;6;56.25;4;8.75;2;-1.0;8.75
-;6;18.5;Gerber Jakob;;13;54.5;6;18.5;0;0.0;8.75
+;8;27.25;Egli Severin (2004);;14;54.25;7;27.5;-1;0.25;10.0
+;7;37.25;Rogenmoser Ryan;;11;55.0;5;37.75;-2;0.5;10.0
+;3;47.25;Arnold Stefan;**;6;56.25;2;47.5;-1;0.25;10.0

2b;Gasser Dominik;**;;;;;;;;;57.25
+;;;Rohrer Ivan;**;;;;;;;10.0
+;1;10.0;Doppmann Urs;**;4;56.75;1;10.0;0;0.0;10.0
-;1;20.0;Fankhauser Erich;***;6;56.25;5;18.75;4;-1.25;8.75
-;2;28.75;Imhof Andi;***;3;57.0;3;28.5;1;-0.25;8.75
+;6;37.5;Durrer Markus;;4;56.75;4;38.0;-2;0.5;9.75
+;3;47.25;Züger Benjamin (2004);;13;54.5;8;46.0;5;-1.25;10.0

2c;Müller Michael;**;;;;;;;;;57.25
-;;;von Ah Benji;***;;;;;;;8.75
+;4;8.75;Langensand Stefan;*;9;55.5;4;8.75;0;0.0;9.75
+;6;18.5;Nägeli Leandro;;11;55.0;5;18.75;-1;0.25;10.0
-;3;28.5;Gerber Christian;***;23;37.25;3;28.5;0;0.0;8.75
+;7;37.25;Gasser Dominik 1;;13;54.5;7;37.25;0;0.0;10.0
+;3;47.25;Ming Christian;*;11;55.0;6;46.5;3;-0.75;10.0

2d;Rohrer Ueli;**;;;;;;;;;57.25
+;;;Fellmann Roman;**;;;;;;;9.75
+;2;9.75;Bättig Martin;*;9;55.5;1;10.0;-1;0.25;10.0
o;2;19.75;Gerber Christian;***;23;37.25;5;18.75;3;-1.0;8.5
-;4;28.25;Schöpfer Marco;;4;56.75;1;29.25;-3;1.0;9.0
+;7;37.25;Elsener Manuel;;9;55.5;7;37.25;0;0.0;10.0
+;3;47.25;Waser Reto;*;13;54.5;8;46.0;5;-1.25;10.0

2e;Lustenberger Marc;*;;;;;;;;;57.25
+;;;Odermatt Remo;*;;;;;;;9.75
+;2;9.75;Gander Adrian;*;31;27.0;1;10.0;-1;0.25;10.0
o;2;19.75;von Ah Benji;***;7;56.0;5;18.75;3;-1.0;8.5
+;4;28.25;Gisler Silvan;;10;55.25;3;28.5;-1;0.25;10.0
-;3;38.25;Waser Dominik;**;3;57.0;4;38.0;1;-0.25;9.0
+;3;47.25;Andermatt Reto;;11;55.0;6;46.5;3;-0.75;10.0

3a;Wyrsch Silvio;*;;;;;;;;;57.0
+;;;Niederberger Markus;*;;;;;;;10.0
o;1;10.0;von Ah Benji;***;7;56.0;4;8.75;3;-1.25;8.5
+;6;18.5;Bucher Roman;;13;54.5;6;18.5;0;0.0;10.0
-;3;28.5;Waser Christoph;*;9;55.5;3;28.5;0;0.0;8.75
+;7;37.25;Ettlin Mario;;10;55.25;9;36.75;2;-0.5;10.0
+;3;47.25;Suter Pirmin;**;11;55.0;6;46.5;3;-0.75;9.75

3b;Wiget Ueli;;;;;;;;;;57.0
-;;;Schaller Noah;;;;;;;;8.75
+;4;8.75;Rohrer Michael;;16;53.75;2;9.75;-2;1.0;10.0
+;5;18.75;Würsch Lars;*;8;55.75;6;18.5;1;-0.25;10.0
o;2;28.75;Odermatt Christian;**;12;54.75;5;28.0;3;-0.75;8.5
+;7;37.25;Imfeld Laurin (2004);;22;45.5;8;37.0;1;-0.25;9.75
+;4;47.0;Gut Koni;;9;55.5;5;46.75;1;-0.25;10.0

3c;Omlin Toni;*;;;;;;;;;57.0
+;;;Reichmuth Lukas;*;;;;;;;10.0
o;1;10.0;Ramseier Fritz;**;7;56.0;4;8.75;3;-1.25;8.75
+;5;18.75;Suter Bruno;;7;56.0;1;20.0;-4;1.25;10.0
o;2;28.75;Schurtenberger Sven;***;3;57.0;8;27.25;6;-1.5;8.5
+;7;37.25;Staub Ivan;;14;54.25;8;37.0;1;-0.25;9.75
+;4;47.0;Gisler Noah;;12;54.75;7;46.25;3;-0.75;10.0

3d;Odermatt Andreas;**;;;;;;;;;57.0
-;;;Nietlispach Pascal;**;;;;;;;8.75
+;4;8.75;Bucher Roland;*;7;56.0;4;8.75;0;0.0;10.0
+;5;18.75;Schurtenberger Sven;***;3;57.0;5;18.75;0;0.0;9.75
-;3;28.5;Elsener Manuel;;9;55.5;3;28.5;0;0.0;8.75
+;7;37.25;von Flüe Silvan (2004);;15;54.0;8;37.0;1;-0.25;10.0
+;3;47.25;Suter Bruno;;7;56.0;3;47.25;0;0.0;9.75

3e;Suppiger Werner;**;;;;;;;;;57.0
-;;;Ramseier Fritz;**;;;;;;;8.75
