4102-2022-06-19_Fete_alpestre_Lac_Noir_-_Bergschwinget_Schwarzsee-ST

1a;Gnägi Florian;***;;;;;;;;;58.75
+;;;Bieri Marcel;***;;;;;;;10.0
+;1;10.0;Kenel Franz-Toni;*;19;53.0;2;9.75;1;-0.25;10.0
+;1;20.0;Kramer Lario;***;5;56.75;2;19.75;1;-0.25;10.0
-;1;30.0;Luginbühl Hanspeter;**;9;55.75;2;29.75;1;-0.25;8.75
+;1;38.75;Moser Michael (2005);*;9;55.75;2;38.5;1;-0.25;10.0
+;1;48.75;Orlik Curdin;***;3;57.25;2;48.5;1;-0.25;10.0

2a;Staudenmann Fabian;***;;;;;;;;;57.5
+;;;Schurtenberger Sven;***;;;;;;;9.75
+;2;9.75;Haenni Stéphane;**;10;55.5;1;10.0;-1;0.25;10.0
+;2;19.75;Borcard Johann;**;15;54.25;3;19.5;1;-0.25;9.75
-;3;29.5;von Weissenfluh Kilian;***;7;56.25;5;28.5;2;-1.0;9.0
+;2;38.5;Schär Alex;*;12;55.0;4;38.0;2;-0.5;10.0
-;2;48.5;Wicki Joel;***;5;56.75;4;47.75;2;-0.75;9.0

3a;Wittwer Jan;**;;;;;;;;;57.25
-;;;Odermatt Christian;**;;;;;;;8.75
+;4;8.75;Varone Luc;*;28;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Nötzli Reto;***;4;57.0;6;18.5;1;-0.25;8.5
+;10;27.25;Siegenthaler Leo (2005);*;20;52.75;11;27.0;1;-0.25;10.0
+;6;37.25;Schürpf Bruno;*;11;55.25;7;37.0;1;-0.25;10.0
+;5;47.25;Ledermann Michael;**;5;56.75;3;48.25;-2;1.0;10.0

3b;Orlik Curdin;***;;;;;;;;;57.25
+;;;Müller Michael;**;;;;;;;9.75
+;2;9.75;Sturny Nicolas;**;16;54.0;1;10.0;-1;0.25;10.0
-;2;19.75;Wicki Joel;***;5;56.75;4;19.0;2;-0.75;9.0
+;4;28.75;Lang Sven;**;17;53.75;6;28.25;2;-0.5;9.75
+;2;38.5;Nötzli Reto;***;4;57.0;2;38.5;0;0.0;10.0
o;2;48.5;Gnägi Florian;***;1;58.75;1;48.75;-1;0.25;8.75

4a;Berger Lorenz;**;;;;;;;;;57.0
+;;;Heiniger Marco;**;;;;;;;10.0
o;1;10.0;Fankhauser Erich;***;14;54.5;5;8.5;4;-1.5;8.5
+;6;18.5;Kramer Dorian;**;23;35.5;6;18.5;0;0.0;10.0
o;5;28.5;Gapany Benjamin;***;4;57.0;5;28.5;0;0.0;8.5
+;7;37.0;Lang Sven;**;17;53.75;8;36.75;1;-0.25;10.0
+;6;47.0;Kessler Joel;*;12;55.0;9;46.25;3;-0.75;10.0

4b;Schwander Severin;**;;;;;;;;;57.0
+;;;Doppmann Urs;**;;;;;;;10.0
o;1;10.0;Wicki Joel;***;5;56.75;3;9.0;2;-1.0;8.5
+;6;18.5;Kessler Joel;*;12;55.0;5;18.75;-1;0.25;10.0
+;5;28.5;Kropf Thomas;**;11;55.25;6;28.25;1;-0.25;10.0
+;2;38.5;Gapany Benjamin;***;4;57.0;2;38.5;0;0.0;9.75
-;3;48.25;Sommer Roman;*;9;55.75;6;47.0;3;-1.25;8.75

4c;Gapany Benjamin;***;;;;;;;;;57.0
+;;;Nötzli Reto;***;;;;;;;10.0
+;1;10.0;Schenk Patrick;***;22;35.75;1;10.0;0;0.0;9.75
-;2;19.75;Roth Dominik;**;8;56.0;5;18.75;3;-1.0;8.75
+;5;28.5;Berger Lorenz;**;4;57.0;5;28.5;0;0.0;10.0
o;2;38.5;Schwander Severin;**;4;57.0;2;38.5;0;0.0;8.75
+;5;47.25;Gäumann Stefan;**;11;55.25;7;46.75;2;-0.5;9.75

4d;Nötzli Reto;***;;;;;;;;;57.0
o;;;Gapany Benjamin;***;;;;;;;8.5
