5593-2022-05-22_99_Urner_Kant_Schwingfest3-ST

1a;Gisler Silvan;;;;;;;;;;107.5
-;5;28.5;Schuler Alex;***;16;54.75;10;27.25;5;-1.25;8.75
+;9;37.25;Marti Simon;*;13;55.5;9;37.25;0;0.0;10.0
+;7;47.25;Ottiger Lukas;*;13;55.5;9;46.75;2;-0.5;10.0

6c;Schöpfer Ronny;**;;;;;;;;;57.25
+;;;Kälin Roland;**;;;;;;;9.75
o;3;9.75;Orlik Armon;***;3;58.0;3;9.75;0;0.0;8.5
+;8;18.25;Eberli Sandro (2004);;23;53.0;6;18.75;-2;0.5;10.0
+;6;28.25;Wiss Ivan (2004);;12;55.75;5;28.5;-1;0.25;10.0
-;5;38.25;Ettlin Stefan;**;9;56.5;4;38.5;-1;0.25;9.0
+;7;47.25;Durrer Fabian;*;12;55.75;8;47.0;1;-0.25;10.0

6d;Schwyzer Samuel;*;;;;;;;;;57.25
+;;;Hegner Ueli;*;;;;;;;9.75
-;3;9.75;Kessler Joel;*;9;56.5;2;10.0;-1;0.25;8.75
+;7;18.5;Beffa Mario;;11;56.0;6;18.75;-1;0.25;10.0
-;5;28.5;Lussi Marco;**;11;56.0;5;28.5;0;0.0;8.75
+;9;37.25;Betschart Daniel;;13;55.5;9;37.25;0;0.0;10.0
+;7;47.25;Lüthy Ralph;;16;54.75;11;46.25;4;-1.0;10.0

7a;Hofer Sven;**;;;;;;;;;57.0
+;;;Murer Andy;**;;;;;;;10.0
-;2;10.0;Stöckli Stefan;***;8;56.75;3;9.75;1;-0.25;8.75
+;6;18.75;Ettlin Michael;;16;54.75;6;18.75;0;0.0;9.75
-;5;28.5;Bürli Roger;**;6;57.25;4;28.75;-1;0.25;9.0
+;8;37.5;Hegner Ueli;*;13;55.5;5;38.25;-3;0.75;9.75
+;7;47.25;Chiodo Gian Paolo (2005);;15;55.0;10;46.5;3;-0.75;9.75

7b;Kurmann Toni;*;;;;;;;;;57.0
-;;;Kenel Franz-Toni;*;;;;;;;8.75
+;5;8.75;Reichmuth Roland;*;13;55.5;5;8.75;0;0.0;10.0
+;6;18.75;Von Euw Adi;;13;55.5;2;20.0;-4;1.25;10.0
+;4;28.75;Durrer Fabian;*;12;55.75;5;28.5;1;-0.25;9.75
+;4;38.5;Durrer Nando;*;9;56.5;6;38.0;2;-0.5;9.75
o;3;48.25;Kramer Lario;***;2;58.5;2;48.5;-1;0.25;8.75

7c;Ambühl Joel;**;;;;;;;;;57.0
-;;;Omlin Toni;*;;;;;;;8.75
+;5;8.75;Arnold Severin;*;26;35.5;6;8.5;1;-0.25;9.75
+;7;18.5;Hurschler Adrian;;18;54.25;6;18.75;-1;0.25;10.0
+;5;28.5;Odermatt Christian;**;9;56.5;5;28.5;0;0.0;9.75
-;5;38.25;Orlik Armon;***;3;58.0;2;39.25;-3;1.0;8.75
+;8;47.0;Niederberger Markus;*;14;55.25;9;46.75;1;-0.25;10.0

7d;Egli Damian;**;;;;;;;;;57.0
+;;;Reichmuth Roland;*;;;;;;;10.0
+;2;10.0;Balimann Sandro;*;17;54.5;2;10.0;0;0.0;10.0
o;2;20.0;Kramer Lario;***;2;58.5;3;19.75;1;-0.25;8.5
+;5;28.5;Von Euw Adi;;13;55.5;5;28.5;0;0.0;9.75
-;5;38.25;Kessler Joel;*;9;56.5;3;38.75;-2;0.5;9.0
+;7;47.25;Waser Raphael;;16;54.75;11;46.25;4;-1.0;9.75

7e;Kenel Franz-Toni;*;;;;;;;;;57.0
-;;;Kurmann Toni;*;;;;;;;8.75
-;5;8.75;Gisler Jonas;*;16;54.75;4;9.0;-1;0.25;8.75
+;11;17.5;Büeler Ivo (2004);;26;35.5;7;18.5;-4;1.0;10.0
+;9;27.5;Kaiser Sandro;;15;55.0;6;28.25;-3;0.75;10.0
+;8;37.5;Jund Matthias;*;11;56.0;8;37.5;0;0.0;9.75
+;7;47.25;Riebli Urs;*;16;54.75;11;46.25;4;-1.0;9.75

8a;Stöckli Stefan;***;;;;;;;;;56.75
+;;;Nietlispach Pascal;**;;;;;;;9.75
