4753-2021-07-04_Appenzeller_Kantonalschwingfest-ST

1a;Schlegel Werner;**;;;;;;;;;59.5
+;;;Roth Martin;***;;;;;;;9.75
+;2;9.75;Marty Jaime;*;25;45.5;1;10.0;-1;0.25;9.75
+;2;19.5;Schmid Patrick;*;7;57.0;1;19.75;-1;0.25;10.0
+;2;29.5;Vollenweider Jeremy;**;6;57.25;4;28.75;2;-0.75;10.0
+;1;39.5;Giger Urs;*;4;57.75;1;39.5;0;0.0;10.0
+;1;49.5;Schmid Dominik;**;4;57.75;2;49.0;1;-0.5;10.0

2a;Koch Reto;*;;;;;;;;;58.25
+;;;Fontana Michael;*;;;;;;;9.75
-;2;9.75;Fausch Kjetil;*;13;55.5;3;9.0;1;-0.75;9.0
+;4;18.75;Schiesser Patrik;*;13;55.5;5;18.5;1;-0.25;9.75
+;5;28.5;Kiser Aron;;10;56.25;4;28.75;-1;0.25;10.0
+;4;38.5;Landolt Reto;*;8;56.75;5;38.25;1;-0.25;9.75
+;3;48.25;Fejzaj Naim;**;9;56.5;4;48.0;1;-0.25;10.0

3a;Zwyssig Raphael;***;;;;;;;;;58.0
-;;;Forrer Arnold;***;;;;;;;8.75
+;4;8.75;Leuppi Karim;*;13;55.5;1;10.0;-3;1.25;9.75
+;5;18.5;Ulmann Fabian;*;12;55.75;4;18.75;-1;0.25;10.0
+;5;28.5;Bernold Edi;**;8;56.75;5;28.5;0;0.0;9.75
+;5;38.25;Fontana Michael;*;14;55.25;5;38.25;0;0.0;10.0
+;3;48.25;Schmid Patrick;*;7;57.0;3;48.25;0;0.0;9.75

4a;Kuster Thomas;*;;;;;;;;;57.75
o;;;Jörger Corsin;*;;;;;;;8.75
+;4;8.75;Hug Jan;;10;56.25;1;10.0;-3;1.25;9.75
+;5;18.5;Burch Dean;;13;55.5;4;18.75;-1;0.25;9.75
+;6;28.25;Thiemann Fabrice;;13;55.5;5;28.5;-1;0.25;9.75
+;6;38.0;Schwyn Adrian;*;15;55.0;6;38.0;0;0.0;10.0
+;4;48.0;Ulmann Fabian;*;12;55.75;7;47.25;3;-0.75;9.75

4b;Schmid Dominik;**;;;;;;;;;57.75
-;;;Bernold Edi;**;;;;;;;9.0
+;3;9.0;Dudli Gallus;;20;53.75;1;10.0;-2;1.0;10.0
+;3;19.0;Schwyn Adrian;*;15;55.0;1;19.75;-2;0.75;10.0
+;3;29.0;Oettli Marco;**;14;55.25;7;28.0;4;-1.0;10.0
+;2;39.0;Riget Florian;*;8;56.75;5;38.25;3;-0.75;10.0
o;2;49.0;Schlegel Werner;**;1;59.5;1;49.5;-1;0.5;8.75

4c;Giger Urs;*;;;;;;;;;57.75
+;;;Heierli Pascal;*;;;;;;;9.75
+;2;9.75;Rickenmann Ramon;;28;35.25;2;9.75;0;0.0;10.0
+;1;19.75;Oettli Marco;**;14;55.25;2;19.5;1;-0.25;9.75
+;2;29.5;Mettler Valentin;*;13;55.5;5;28.5;3;-1.0;10.0
o;1;39.5;Schlegel Werner;**;1;59.5;1;39.5;0;0.0;8.5
+;4;48.0;Rüegg Fabian;*;10;56.25;5;47.75;1;-0.25;9.75

5a;Räbsamen Marcel;*;;;;;;;;;57.5
-;;;Schlegel Sandro;**;;;;;;;9.0
+;3;9.0;Wettstein Daniel;;8;56.75;2;9.75;-1;0.75;10.0
+;3;19.0;Dumelin David;**;13;55.5;4;18.75;1;-0.25;9.75
+;4;28.75;Fejzaj Naim;**;9;56.5;1;29.75;-3;1.0;10.0
-;3;38.75;Schläpfer Markus;**;6;57.25;4;38.5;1;-0.25;8.75
+;6;47.5;Ackermann Rico (2003);;8;56.75;3;48.25;-3;0.75;10.0

5b;Dändliker Shane;**;;;;;;;;;57.5
o;;;Vollenweider Jeremy;**;;;;;;;8.5
+;5;8.5;Signer Andy (2003);;12;55.75;2;9.75;-3;1.25;10.0
+;5;18.5;Schlegel Sandro;**;7;57.0;4;18.75;-1;0.25;10.0
-;5;28.5;Rotach Lars;*;6;57.25;4;28.75;-1;0.25;9.0
+;8;37.5;Fuster Sepp;*;12;55.75;5;38.25;-3;0.75;10.0
+;6;47.5;Burch Dean;;13;55.5;8;47.0;2;-0.5;10.0

6a;Ott Damian;**;;;;;;;;;57.25
-;;;Schläpfer Markus;**;;;;;;;8.75
+;4;8.75;Dörig Erich;*;7;57.0;2;9.75;-2;1.0;10.0
+;4;18.75;Bickel Roman;*;8;56.75;5;18.5;1;-0.25;9.75
+;5;28.5;Jörger Corsin;*;12;55.75;5;28.5;0;0.0;9.75
-;5;38.25;Poltera Andrin;*;7;57.0;5;38.25;0;0.0;9.0
+;7;47.25;Leuppi Karim;*;13;55.5;8;47.0;1;-0.25;10.0

6b;Vollenweider Jeremy;**;;;;;;;;;57.25
+;;;Dändliker Shane;**;;;;;;;10.0
-;1;10.0;Riget Florian;*;8;56.75;2;9.75;1;-0.25;8.75
+;4;18.75;Kuhn Roman;*;13;55.5;4;18.75;0;0.0;10.0
o;4;28.75;Schlegel Werner;**;1;59.5;2;29.5;-2;0.75;8.5
+;9;37.25;Signer Andy (2003);;12;55.75;8;37.5;-1;0.25;10.0
+;7;47.25;Fausch Kjetil;*;13;55.5;8;47.0;1;-0.25;10.0

6c;Rotach Lars;*;;;;;;;;;57.25
-;;;Kolb Pirmin;*;;;;;;;9.0
+;3;9.0;Koch Thomas;*;9;56.5;2;9.75;-1;0.75;9.75
+;4;18.75;Signer Walter;;19;54.0;4;18.75;0;0.0;10.0
-;4;28.75;Dändliker Shane;**;5;57.5;5;28.5;1;-0.25;9.0
+;7;37.75;Kundert Elias (2005);;14;55.25;8;37.5;1;-0.25;9.75
+;6;47.5;Langenegger Beat;;13;55.5;8;47.0;2;-0.5;9.75

6d;Schläpfer Markus;**;;;;;;;;;57.25
-;;;Ott Damian;**;;;;;;;8.75
+;4;8.75;Winzeler Simon;;15;55.0;1;10.0;-3;1.25;10.0
+;4;18.75;Hugelshofer Lars;*;9;56.5;6;18.25;2;-0.5;9.75
+;5;28.5;Hochholdinger Roman;**;15;55.0;6;28.25;1;-0.25;10.0
-;4;38.5;Räbsamen Marcel;*;5;57.5;3;38.75;-1;0.25;9.0
+;6;47.5;Schönenberger Tobias (2004);;12;55.75;7;47.25;1;-0.25;9.75

7a;Poltera Andrin;*;;;;;;;;;57.0
o;;;Hugelshofer Lars;*;;;;;;;8.5
+;5;8.5;Roth Peter;;7;57.0;1;10.0;-4;1.5;9.75
+;6;18.25;Stauffacher Martin;;19;54.0;5;18.5;-1;0.25;10.0
+;6;28.25;Anliker Andri (2003);;18;54.25;5;28.5;-1;0.25;10.0
