4753-2021-07-04_Appenzeller_Kantonalschwingfest-ST

1a;Schlegel Werner;**;;;;;;;;;59.5
-;5;38.25;Ott Damian;**;6;57.25;5;38.25;0;0.0;9.0
+;7;47.25;Kühne Cyrill (2004);;13;55.5;8;47.0;1;-0.25;9.75

7b;Schmid Patrick;*;;;;;;;;;57.0
+;;;Landolt Reto;*;;;;;;;9.75
+;2;9.75;Weder Yanick (2003);;20;53.75;1;10.0;-1;0.25;10.0
o;1;19.75;Schlegel Werner;**;1;59.5;2;19.5;1;-0.25;8.5
+;6;28.25;Castelli Fabio;;12;55.75;4;28.75;-2;0.5;10.0
+;5;38.25;Roth Peter;;7;57.0;4;38.5;-1;0.25;10.0
o;3;48.25;Zwyssig Raphael;***;3;58.0;3;48.25;0;0.0;8.75

7c;Geisser Lars;**;;;;;;;;;57.0
o;;;Fejzaj Naim;**;;;;;;;8.5
-;5;8.5;Kolb This (2003);;8;56.75;2;9.75;-3;1.25;8.75
+;10;17.25;Inauen Ivo;;28;35.25;6;18.25;-4;1.0;10.0
+;10;27.25;Hugelshofer Lars;*;9;56.5;7;28.0;-3;0.75;10.0
+;9;37.25;Reichmuth Beat;;11;56.0;8;37.5;-1;0.25;10.0
+;7;47.25;Wey Nicola;*;11;56.0;6;47.5;-1;0.25;9.75

7d;Roth Peter;;;;;;;;;;57.0
+;;;Giger Florian;;;;;;;;10.0
o;1;10.0;Poltera Andrin;*;7;57.0;5;8.5;4;-1.5;8.5
+;5;18.5;Eisenhut Matthias (2005);;20;53.75;5;18.5;0;0.0;10.0
+;5;28.5;Schläpfer Matthias;*;14;55.25;7;28.0;2;-0.5;10.0
o;4;38.5;Schmid Patrick;*;7;57.0;5;38.25;1;-0.25;8.5
+;8;47.0;Inauen Aurel;;13;55.5;8;47.0;0;0.0;10.0

7e;Schlegel Sandro;**;;;;;;;;;57.0
-;;;Räbsamen Marcel;*;;;;;;;8.75
+;4;8.75;Schmid Gian (2003);;14;55.25;1;10.0;-3;1.25;10.0
o;4;18.75;Dändliker Shane;**;5;57.5;5;18.5;1;-0.25;8.5
+;10;27.25;Schuler Martin;*;12;55.75;9;27.5;-1;0.25;10.0
+;9;37.25;Baumgartner Ramon;;13;55.5;9;37.25;0;0.0;10.0
+;7;47.25;Dumelin David;**;13;55.5;8;47.0;1;-0.25;9.75

7f;Dörig Erich;*;;;;;;;;;57.0
+;;;Wolfer Lukas;*;;;;;;;9.75
o;2;9.75;Ott Damian;**;6;57.25;4;8.75;2;-1.0;8.5
+;6;18.25;Schwyn Patrick;;17;54.5;4;18.75;-2;0.5;9.75
-;7;28.0;Oettli Silvio;*;16;54.75;5;28.5;-2;0.5;9.0
+;10;37.0;Hänni Marc;;12;55.75;9;37.25;-1;0.25;10.0
+;8;47.0;Roth Sämi;;13;55.5;9;46.75;1;-0.25;10.0

8a;Kolb This (2003);;;;;;;;;;56.75
+;;;Raschle Urban (2003);;;;;;;;9.75
-;2;9.75;Geisser Lars;**;7;57.0;5;8.5;3;-1.25;8.75
+;5;18.5;Weder Yanick (2003);;20;53.75;5;18.5;0;0.0;10.0
-;5;28.5;Koch Thomas;*;9;56.5;6;28.25;1;-0.25;8.75
+;9;37.25;Tanner Adrian;;17;54.5;9;37.25;0;0.0;9.75
+;8;47.0;Inauen Maurus (2003);;12;55.75;8;47.0;0;0.0;9.75

8b;Ackermann Rico (2003);;;;;;;;;;56.75
o;;;Winzeler Simon;;;;;;;;8.5
+;5;8.5;Koller Andreas;;14;55.25;5;8.5;0;0.0;9.75
+;6;18.25;Widmer Fadri (2005);;28;35.25;6;18.25;0;0.0;10.0
+;6;28.25;Wolfer Lukas;*;27;35.5;11;27.0;5;-1.25;10.0
+;5;38.25;Oettli Silvio;*;16;54.75;8;37.5;3;-0.75;10.0
o;3;48.25;Räbsamen Marcel;*;5;57.5;6;47.5;3;-0.75;8.5

8c;Landolt Reto;*;;;;;;;;;56.75
o;;;Schmid Patrick;*;;;;;;;8.5
+;5;8.5;Signer Ramon;;18;54.25;2;9.75;-3;1.25;9.75
+;6;18.25;Imhof Gregor;;20;53.75;5;18.5;-1;0.25;10.0
+;6;28.25;Marty Jaime;*;25;45.5;5;28.5;-1;0.25;10.0
o;5;38.25;Koch Reto;*;2;58.25;4;38.5;-1;0.25;8.5
+;9;46.75;Schläpfer Matthias;*;14;55.25;9;46.75;0;0.0;10.0

8d;Riget Florian;*;;;;;;;;;56.75
+;;;Schläpfer Matthias;*;;;;;;;9.75
-;2;9.75;Vollenweider Jeremy;**;6;57.25;1;10.0;-1;0.25;8.75
+;5;18.5;Wehrli Jan;;11;56.0;4;18.75;-1;0.25;9.75
+;6;28.25;Inauen Aurel;;13;55.5;5;28.5;-1;0.25;10.0
o;5;38.25;Schmid Dominik;**;4;57.75;2;39.0;-3;0.75;8.5
+;9;46.75;Inauen Andreas;*;14;55.25;9;46.75;0;0.0;10.0

8e;Bernold Edi;**;;;;;;;;;56.75
-;;;Schmid Dominik;**;;;;;;;8.75
+;4;8.75;Inauen Aurel;;13;55.5;1;10.0;-3;1.25;9.75
+;5;18.5;Hinrichs Silvio (2004);;13;55.5;1;19.75;-4;1.25;10.0
o;5;28.5;Zwyssig Raphael;***;3;58.0;5;28.5;0;0.0;8.5
+;10;37.0;Schiegg Raphael (2005);;17;54.5;9;37.25;-1;0.25;10.0
+;8;47.0;Oettli Marco;**;14;55.25;9;46.75;1;-0.25;9.75

8f;Bickel Roman;*;;;;;;;;;56.75
o;;;Koch Thomas;*;;;;;;;8.5
+;5;8.5;Bordos Ion;;18;54.25;1;10.0;-4;1.5;10.0
o;5;18.5;Ott Damian;**;6;57.25;4;18.75;-1;0.25;8.5
+;11;27.0;Fässler Michael;;14;55.25;6;28.25;-5;1.25;10.0
+;10;37.0;Signer Ramon;;18;54.25;10;37.0;0;0.0;9.75
+;9;46.75;Kolb Kilian (2005);;13;55.5;8;47.0;-1;0.25;10.0

8g;Wettstein Daniel;;;;;;;;;;56.75
+;;;Giger Lorenz;;;;;;;;9.75
o;2;9.75;Räbsamen Marcel;*;5;57.5;3;9.0;1;-0.75;8.5
+;6;18.25;Nef Tobias (2005);;22;53.25;6;18.25;0;0.0;10.0
o;6;28.25;Rüegg Fabian;*;10;56.25;8;27.75;2;-0.5;8.75
+;10;37.0;Marty Jaime;*;25;45.5;10;37.0;0;0.0;9.75
+;9;46.75;Brülisauer Dominik;;14;55.25;9;46.75;0;0.0;10.0

9a;Kolb Pirmin;*;;;;;;;;;56.5
-;;;Rotach Lars;*;;;;;;;9.0
+;3;9.0;Keller Stefan;;20;53.75;2;9.75;-1;0.75;10.0
-;3;19.0;Rüegg Fabian;*;10;56.25;4;18.75;1;-0.25;9.0
+;7;28.0;Langenegger Beat;;13;55.5;5;28.5;-2;0.5;9.75
-;7;37.75;Leuppi Karim;*;13;55.5;6;38.0;-1;0.25;9.0
+;9;46.75;Hinrichs Silvio (2004);;13;55.5;9;46.75;0;0.0;9.75

9b;Fejzaj Naim;**;;;;;;;;;56.5
+;;;Geisser Lars;**;;;;;;;9.75
+;2;9.75;Jörger Corsin;*;12;55.75;1;10.0;-1;0.25;10.0
+;1;19.75;Fausch Kjetil;*;13;55.5;3;19.0;2;-0.75;10.0
o;1;29.75;Räbsamen Marcel;*;5;57.5;4;28.75;3;-1.0;8.5
+;5;38.25;Schmid Gian (2003);;14;55.25;6;38.0;1;-0.25;9.75
o;4;48.0;Koch Reto;*;2;58.25;3;48.25;-1;0.25;8.5

9c;Hugelshofer Lars;*;;;;;;;;;56.5
+;;;Poltera Andrin;*;;;;;;;9.75
o;2;9.75;Schläpfer Markus;**;6;57.25;4;8.75;2;-1.0;8.5
+;6;18.25;Bucher Roman (2003);;13;55.5;4;18.75;-2;0.5;9.75
o;7;28.0;Geisser Lars;**;7;57.0;10;27.25;3;-0.75;8.5
+;12;36.5;Knellwolf Sebastian;;20;53.75;11;36.75;-1;0.25;10.0
+;10;46.5;Schwyn Adrian;*;15;55.0;10;46.5;0;0.0;10.0

9d;Koch Thomas;*;;;;;;;;;56.5
+;;;Bickel Roman;*;;;;;;;9.75
o;2;9.75;Rotach Lars;*;6;57.25;3;9.0;1;-0.75;8.5
+;6;18.25;Müller Jano (2005);;19;54.0;2;19.5;-4;1.25;10.0
-;6;28.25;Kolb This (2003);;8;56.75;5;28.5;-1;0.25;8.75
+;10;37.0;Winzeler Simon;;15;55.0;11;36.75;1;-0.25;9.75
+;9;46.75;Fontana Michael;*;14;55.25;9;46.75;0;0.0;9.75

9e;Thoma Christoph;;;;;;;;;;56.5
+;;;Anliker Andri (2003);;;;;;;;9.75
o;2;9.75;Müller Jano (2005);;19;54.0;2;9.75;0;0.0;8.5
+;6;18.25;Krucker Silvan;;28;35.25;6;18.25;0;0.0;10.0
o;6;28.25;Fontana Michael;*;14;55.25;5;28.5;-1;0.25;8.5
+;11;36.75;Schoch Cornel;;19;54.0;10;37.0;-1;0.25;10.0
+;9;46.75;Oettli Silvio;*;16;54.75;11;46.25;2;-0.5;9.75

10a;Rüegg Fabian;*;;;;;;;;;56.25
-;;;Wey Nicola;*;;;;;;;9.0
+;3;9.0;Kühne Cyrill (2004);;13;55.5;1;10.0;-2;1.0;9.75
-;4;18.75;Kolb Pirmin;*;9;56.5;3;19.0;-1;0.25;9.0
+;8;27.75;Wettstein Daniel;;8;56.75;6;28.25;-2;0.5;10.0
+;7;37.75;Jörger Marc;*;11;56.0;8;37.5;1;-0.25;10.0
o;5;47.75;Giger Urs;*;4;57.75;4;48.0;-1;0.25;8.5

10b;Heierli Pascal;*;;;;;;;;;56.25
o;;;Giger Urs;*;;;;;;;8.5
+;5;8.5;Mösli Reto;;19;54.0;2;9.75;-3;1.25;10.0
+;5;18.5;Reichmuth Beat;;11;56.0;4;18.75;-1;0.25;9.75
-;6;28.25;Neff Florian;*;13;55.5;6;28.25;0;0.0;9.0
-;9;37.25;Kiser Aron;;10;56.25;9;37.25;0;0.0;9.0
+;11;46.25;Fässler Michael;;14;55.25;9;46.75;-2;0.5;10.0

10c;Hug Jan;;;;;;;;;;56.25
+;;;Knellwolf Sebastian;;;;;;;;10.0
o;1;10.0;Kuster Thomas;*;4;57.75;4;8.75;3;-1.25;8.5
o;5;18.5;Castelli Fabio;;12;55.75;4;18.75;-1;0.25;8.5
+;11;27.0;Baumgartner Joël;;23;53.0;10;27.25;-1;0.25;9.75
+;11;36.75;Kammermann Dominik;;11;56.0;9;37.25;-2;0.5;9.75
+;10;46.5;Hochholdinger Roman;**;15;55.0;10;46.5;0;0.0;9.75

10d;Lanter Christian;*;;;;;;;;;56.25
-;;;Dumelin David;**;;;;;;;8.75
-;4;8.75;Keller Lukas;;16;54.75;1;10.0;-3;1.25;8.75
+;9;17.5;Freund Samuel (2004);;21;53.5;6;18.25;-3;0.75;10.0
+;9;27.5;Mösli Reto;;19;54.0;6;28.25;-3;0.75;10.0
o;8;37.5;Schönenberger Tobias (2004);;12;55.75;9;37.25;1;-0.25;8.75
+;11;46.25;Giger Florian;;15;55.0;10;46.5;-1;0.25;10.0

10e;Kiser Aron;;;;;;;;;;56.25
+;;;Schegg Daniel;;;;;;;;10.0
o;1;10.0;Ulmann Fabian;*;12;55.75;4;8.75;3;-1.25;8.75
+;4;18.75;Bordos Ion;;18;54.25;5;18.5;1;-0.25;10.0
o;4;28.75;Koch Reto;*;2;58.25;5;28.5;1;-0.25;8.5
-;9;37.25;Heierli Pascal;*;10;56.25;9;37.25;0;0.0;9.0
+;11;46.25;Manser Adrian;;16;54.75;11;46.25;0;0.0;10.0

11a;Kammermann Dominik;;;;;;;;;;56.0
+;;;Lüönd Remo (2003);;;;;;;;10.0
o;1;10.0;Schiesser Patrik;*;13;55.5;5;8.5;4;-1.5;8.75
+;4;18.75;Tobler Pius;;20;53.75;5;18.5;1;-0.25;10.0
o;4;28.75;Leuppi Karim;*;13;55.5;6;28.25;2;-0.5;8.5
o;9;37.25;Hug Jan;;10;56.25;11;36.75;2;-0.5;8.75
+;12;46.0;Schegg Daniel;;17;54.5;12;46.0;0;0.0;10.0

11b;Raschle Urban (2003);;;;;;;;;;56.0
o;;;Kolb This (2003);;;;;;;;8.75
+;4;8.75;Fässler Michael;;14;55.25;2;9.75;-2;1.0;9.75
o;5;18.5;Hochholdinger Roman;**;15;55.0;5;18.5;0;0.0;8.5
-;11;27.0;Keller Lukas;;16;54.75;9;27.5;-2;0.5;9.0
+;14;36.0;Ackermann Roman;;19;54.0;10;37.0;-4;1.0;10.0
+;12;46.0;Thoma Luca;;17;54.5;12;46.0;0;0.0;10.0

11c;Jörger Marc;*;;;;;;;;;56.0
+;;;Oettli Silvio;*;;;;;;;10.0
o;1;10.0;Forrer Arnold;***;32;28.5;4;8.75;3;-1.25;8.5
+;5;18.5;Schiegg Raphael (2005);;17;54.5;4;18.75;-1;0.25;10.0
-;5;28.5;Signer Andy (2003);;12;55.75;5;28.5;0;0.0;9.0
o;8;37.5;Rüegg Fabian;*;10;56.25;7;37.75;-1;0.25;8.5
+;12;46.0;Schmid Gian (2003);;14;55.25;10;46.5;-2;0.5;10.0

11d;Wehrli Jan;;;;;;;;;;56.0
-;;;Hänni Marc;;;;;;;;8.75
+;4;8.75;Keller Cedric;;18;54.25;4;8.75;0;0.0;10.0
o;4;18.75;Riget Florian;*;8;56.75;5;18.5;1;-0.25;8.5
+;10;27.25;Schwyn Patrick;;17;54.5;10;27.25;0;0.0;10.0
o;9;37.25;Fausch Kjetil;*;13;55.5;9;37.25;0;0.0;8.75
+;12;46.0;Schiegg Raphael (2005);;17;54.5;12;46.0;0;0.0;10.0

11e;Wey Nicola;*;;;;;;;;;56.0
-;;;Rüegg Fabian;*;;;;;;;9.0
+;3;9.0;Kolb Kilian (2005);;13;55.5;1;10.0;-2;1.0;10.0
o;3;19.0;Forrer Arnold;***;32;28.5;4;18.75;1;-0.25;8.5
+;9;27.5;Inauen Maurus (2003);;12;55.75;4;28.75;-5;1.25;10.0
+;8;37.5;Tobler Tobias (2005);;20;53.75;11;36.75;3;-0.75;10.0
o;6;47.5;Geisser Lars;**;7;57.0;7;47.25;1;-0.25;8.5

11f;Reichmuth Beat;;;;;;;;;;56.0
o;;;Baumgartner Ramon;;;;;;;;8.75
+;4;8.75;Wittenwiler Mathias (2003);;28;35.25;2;9.75;-2;1.0;10.0
o;4;18.75;Heierli Pascal;*;10;56.25;5;18.5;1;-0.25;8.75
+;9;27.5;Krucker Silvan;;28;35.25;12;26.75;3;-0.75;10.0
o;8;37.5;Geisser Lars;**;7;57.0;9;37.25;1;-0.25;8.5
+;12;46.0;Mösli Reto;;19;54.0;14;45.5;2;-0.5;10.0

12a;Jörger Corsin;*;;;;;;;;;55.75
+;;;Kuster Thomas;*;;;;;;;10.0
o;1;10.0;Fejzaj Naim;**;9;56.5;2;9.75;1;-0.25;8.5
+;5;18.5;Baumgartner Joël;;23;53.0;4;18.75;-1;0.25;10.0
o;5;28.5;Ott Damian;**;6;57.25;5;28.5;0;0.0;8.5
+;10;37.0;Habegger Andrin (2005);;19;54.0;10;37.0;0;0.0;9.75
-;9;46.75;Fuster Sepp;*;12;55.75;9;46.75;0;0.0;9.0

12b;Castelli Fabio;;;;;;;;;;55.75
+;;;Bleiker Daniel;;;;;;;;10.0
o;1;10.0;Oettli Silvio;*;16;54.75;5;8.5;4;-1.5;8.75
+;4;18.75;Hug Jan;;10;56.25;5;18.5;1;-0.25;10.0
o;4;28.75;Schmid Patrick;*;7;57.0;6;28.25;2;-0.5;8.5
o;9;37.25;Ulmann Fabian;*;12;55.75;9;37.25;0;0.0;8.5
+;13;45.75;Imhof Gregor;;20;53.75;15;45.25;2;-0.5;10.0

12c;Signer Andy (2003);;;;;;;;;;55.75
+;;;Koller Andreas;;;;;;;;9.75
o;2;9.75;Dändliker Shane;**;5;57.5;5;8.5;3;-1.25;8.75
+;5;18.5;Imhof Gregor;;20;53.75;5;18.5;0;0.0;10.0
-;5;28.5;Jörger Marc;*;11;56.0;5;28.5;0;0.0;9.0
o;8;37.5;Vollenweider Jeremy;**;6;57.25;9;37.25;1;-0.25;8.5
+;12;46.0;Keller Lukas;;16;54.75;11;46.25;-1;0.25;9.75

12d;Schönenberger Tobias (2004);;;;;;;;;;55.75
-;;;Joos Enrico (2003);;;;;;;;9.0
o;3;9.0;Fausch Kjetil;*;13;55.5;3;9.0;0;0.0;8.5
+;9;17.5;Studerus Jan;;30;34.25;11;17.0;2;-0.5;10.0
+;9;27.5;Diem Hansruedi;;20;53.75;11;27.0;2;-0.5;9.75
+;9;37.25;Lanter Christian;*;10;56.25;8;37.5;-1;0.25;10.0
o;7;47.25;Schläpfer Markus;**;6;57.25;6;47.5;-1;0.25;8.5

12e;Schuler Martin;*;;;;;;;;;55.75
-;;;Ulmann Fabian;*;;;;;;;8.75
-;4;8.75;Kundert Elias (2005);;14;55.25;1;10.0;-3;1.25;9.0
+;8;17.75;Habegger Andrin (2005);;19;54.0;5;18.5;-3;0.75;9.75
o;9;27.5;Schlegel Sandro;**;7;57.0;10;27.25;1;-0.25;8.5
+;14;36.0;Inauen Marco;;14;55.25;11;36.75;-3;0.75;10.0
+;12;46.0;Ruppanner Philipp;;15;55.0;10;46.5;-2;0.5;9.75

12f;Hänni Marc;;;;;;;;;;55.75
-;;;Wehrli Jan;;;;;;;;8.75
+;4;8.75;Studerus Jan;;30;34.25;5;8.5;1;-0.25;10.0
o;4;18.75;Schläpfer Matthias;*;14;55.25;6;18.25;2;-0.5;8.5
+;10;27.25;Vollenweider Loïc (2004);;23;53.0;10;27.25;0;0.0;10.0
o;9;37.25;Dörig Erich;*;7;57.0;10;37.0;1;-0.25;8.5
+;13;45.75;Ackermann Roman;;19;54.0;14;45.5;1;-0.25;10.0

12g;Ulmann Fabian;*;;;;;;;;;55.75
-;;;Schuler Martin;*;;;;;;;8.75
+;4;8.75;Kiser Aron;;10;56.25;1;10.0;-3;1.25;10.0
o;4;18.75;Zwyssig Raphael;***;3;58.0;5;18.5;1;-0.25;8.5
+;10;27.25;Hinrichs Silvio (2004);;13;55.5;6;28.25;-4;1.0;10.0
+;9;37.25;Castelli Fabio;;12;55.75;9;37.25;0;0.0;10.0
o;7;47.25;Kuster Thomas;*;4;57.75;4;48.0;-3;0.75;8.5

12h;Fuster Sepp;*;;;;;;;;;55.75
o;;;Leuppi Karim;*;;;;;;;8.75
+;4;8.75;Zemp Stefan;;26;44.25;1;10.0;-3;1.25;10.0
+;4;18.75;Wolfer Lukas;*;27;35.5;5;18.5;1;-0.25;9.75
+;5;28.5;Kühne Cyrill (2004);;13;55.5;5;28.5;0;0.0;9.75
o;5;38.25;Dändliker Shane;**;5;57.5;8;37.5;3;-0.75;8.5
-;9;46.75;Jörger Corsin;*;12;55.75;9;46.75;0;0.0;9.0

12i;Inauen Maurus (2003);;;;;;;;;;55.75
+;;;Habegger Andrin (2005);;;;;;;;10.0
-;1;10.0;Notz Armin;*;15;55.0;4;8.75;3;-1.25;8.75
+;4;18.75;Winzeler Simon;;15;55.0;5;18.5;1;-0.25;10.0
o;4;28.75;Wey Nicola;*;11;56.0;9;27.5;5;-1.25;8.5
+;9;37.25;Tobler Pius;;20;53.75;11;36.75;2;-0.5;9.75
o;8;47.0;Kolb This (2003);;8;56.75;8;47.0;0;0.0;8.75

13a;Thiemann Fabrice;;;;;;;;;;55.5
-;;;Fässler Tobias;;;;;;;;8.75
+;4;8.75;Wick Christian;;33;26.75;2;9.75;-2;1.0;9.75
+;5;18.5;Ackermann Roman;;19;54.0;5;18.5;0;0.0;10.0
o;5;28.5;Kuster Thomas;*;4;57.75;6;28.25;1;-0.25;8.5
-;10;37.0;Mettler Valentin;*;13;55.5;10;37.0;0;0.0;8.75
+;13;45.75;Schoch Cornel;;19;54.0;14;45.5;1;-0.25;9.75

13b;Schmid Michael;;;;;;;;;;55.5
o;;;Kolb Kilian (2005);;;;;;;;8.5
+;5;8.5;Tobler Marco;;28;35.25;5;8.5;0;0.0;9.75
-;6;18.25;Aebli Nino;;18;54.25;6;18.25;0;0.0;8.75
+;11;27.0;Widmer Fadri (2005);;28;35.25;12;26.75;1;-0.25;9.75
-;11;36.75;Notz Armin;*;15;55.0;13;36.25;2;-0.5;8.75
+;14;45.5;Müller Jano (2005);;19;54.0;14;45.5;0;0.0;10.0

13c;Langenegger Beat;;;;;;;;;;55.5
-;;;Graf Nicola (2003);;;;;;;;8.75
+;4;8.75;Graf Dominik (2005);;23;53.0;5;8.5;1;-0.25;9.75
+;5;18.5;Magani Flurin;;18;54.25;6;18.25;1;-0.25;10.0
o;5;28.5;Kolb Pirmin;*;9;56.5;7;28.0;2;-0.5;8.5
+;10;37.0;Tschudi Mario;;15;55.0;11;36.75;1;-0.25;10.0
o;8;47.0;Rotach Lars;*;6;57.25;6;47.5;-2;0.5;8.5

13d;Dumelin David;**;;;;;;;;;55.5
-;;;Lanter Christian;*;;;;;;;8.75
+;4;8.75;Baumgartner Ramon;;13;55.5;1;10.0;-3;1.25;10.0
o;4;18.75;Räbsamen Marcel;*;5;57.5;3;19.0;-1;0.25;8.5
