3997-2018-07-01_Appenzeller_Kantonalschwingfest-ST

1a;Kuster Marcel;***;;;;;;;;;59.5
o;6;28.25;Ott Damian (2000);**;13;55.25;11;27.0;5;-1.25;8.5
+;10;36.75;Jud Reto (2001);;14;55.0;10;36.75;0;0.0;10.0
o;8;46.75;Vollenweider Jeremy;*;7;56.75;8;46.75;0;0.0;8.5

13g;Schweingruber Thomas;;;;;;;;;;55.25
o;;;Willi Romeo;;;;;;;;8.5
+;5;8.5;Glättli Benny;;13;55.25;5;8.5;0;0.0;9.75
+;7;18.25;Schiess Daniel (2002);;18;54.0;6;18.5;-1;0.25;10.0
o;6;28.25;Roth Martin;**;6;57.0;5;28.5;-1;0.25;8.5
+;10;36.75;Signer Walter;;19;53.75;10;36.75;0;0.0;10.0
o;8;46.75;Kuster Thomas;*;4;57.5;6;47.5;-2;0.75;8.5

13h;Rotach Lars (2000);;;;;;;;;;55.25
-;;;Keller Lukas;;;;;;;;8.75
+;4;8.75;Magani Flurin (2002);;28;35.25;5;8.5;1;-0.25;10.0
o;5;18.75;Oertle Daniel;*;25;45.75;9;17.5;4;-1.25;8.5
+;10;27.25;Thoma Christoph;;21;53.25;10;27.25;0;0.0;9.75
o;9;37.0;Schmid Patrick;*;3;58.0;5;38.0;-4;1.0;8.5
+;13;45.5;Gosswiler Livio (2000);*;17;54.25;12;45.75;-1;0.25;9.75

13i;Vestner Roman;*;;;;;;;;;55.25
-;;;Ackermann Remo;*;;;;;;;8.75
+;4;8.75;Hänni Marc (2001);;14;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Hugelshofer Lars (2001);;12;55.5;6;18.5;1;-0.25;9.75
+;5;28.5;Inauen Andreas;*;12;55.5;5;28.5;0;0.0;9.75
o;4;38.25;Koch Thomas;*;7;56.75;4;38.25;0;0.0;8.5
o;8;46.75;Zwyssig Raphael;***;7;56.75;8;46.75;0;0.0;8.5

13j;Steiner Lukas (2002);;;;;;;;;;55.25
o;;;Giger Florian (2001);;;;;;;;8.5
o;5;8.5;Thoma Luca (2000);;13;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Tobler Fabian;;30;34.0;11;17.0;0;0.0;10.0
o;11;27.0;Hugelshofer Lars (2001);;12;55.5;11;27.0;0;0.0;8.5
+;15;35.5;Tobler Marco;;17;54.25;15;35.5;0;0.0;9.75
+;14;45.25;Büchler Livio (2001);;18;54.0;14;45.25;0;0.0;10.0

13k;Manser Mathias;;;;;;;;;;55.25
+;;;Streule Marco;;;;;;;;10.0
o;1;10.0;Fontana Michael;*;14;55.0;5;8.5;4;-1.5;8.5
o;6;18.5;Mathis Patrick;;13;55.25;6;18.5;0;0.0;8.5
+;11;27.0;Wehrli Jan (2002);;18;54.0;11;27.0;0;0.0;9.75
o;10;36.75;Oertig Simon;*;13;55.25;9;37.0;-1;0.25;8.5
+;14;45.25;Knellwolf Sebastian (2001);;19;53.75;14;45.25;0;0.0;10.0

13l;Mathis Patrick;;;;;;;;;;55.25
+;;;Tobler Marco;;;;;;;;10.0
o;1;10.0;Schmid Dominik;**;7;56.75;4;8.75;3;-1.25;8.5
+;6;18.5;Manser Mathias;;13;55.25;6;18.5;0;0.0;10.0
o;5;28.5;Koch Thomas;*;7;56.75;6;28.25;1;-0.25;8.5
o;9;37.0;Fuster Sepp;;7;56.75;4;38.25;-5;1.25;8.5
+;13;45.5;Giger Florian (2001);;18;54.0;14;45.25;1;-0.25;9.75

13m;Schmid Reto;;;;;;;;;;55.25
+;;;Glättli Tobias (2002);;;;;;;;10.0
o;1;10.0;Bänziger Peter;;21;53.25;4;8.75;3;-1.25;8.5
o;6;18.5;Kobler Janosch (2000);;14;55.0;6;18.5;0;0.0;8.5
+;11;27.0;Christen Jérôme (2002);;18;54.0;11;27.0;0;0.0;10.0
+;9;37.0;Bickel Roman;*;16;54.5;13;36.0;4;-1.0;9.75
o;8;46.75;Wickli Beat;**;7;56.75;7;47.0;-1;0.25;8.5

13n;Ott Damian (2000);**;;;;;;;;;55.25
o;;;Roth Martin;**;;;;;;;8.5
o;5;8.5;Schmid Patrick;*;3;58.0;2;9.75;-3;1.25;8.5
+;11;17.0;Keller Dominic;;12;55.5;6;18.5;-5;1.5;10.0
+;11;27.0;Thoma Luca (2000);;13;55.25;6;28.25;-5;1.25;9.75
+;10;36.75;Tanner Adrian;;16;54.5;7;37.5;-3;0.75;9.75
o;9;46.5;Peng Mike;***;9;56.25;10;46.25;1;-0.25;8.75

14a;Hungerbühler Marcel;;;;;;;;;;55.0
o;;;Lanter Christian;;;;;;;;8.75
o;4;8.75;Junker Nik;;17;54.25;4;8.75;0;0.0;8.5
o;10;17.25;Wetter Silvan (2000);;14;55.0;9;17.5;-1;0.25;8.5
+;15;25.75;Tobler Fabian;;30;34.0;16;25.5;1;-0.25;9.75
+;15;35.5;Brülisauer Dominik (2001);;16;54.5;13;36.0;-2;0.5;9.75
+;14;45.25;Schoch René;;26;45.5;13;45.5;-1;0.25;9.75

14b;Wetter Silvan (2000);;;;;;;;;;55.0
-;;;Junker Nik;;;;;;;;8.75
-;4;8.75;Odermatt Michi;;15;54.75;4;8.75;0;0.0;8.75
+;9;17.5;Hungerbühler Marcel;;14;55.0;10;17.25;1;-0.25;10.0
-;9;27.5;Lanter Christian;;15;54.75;10;27.25;1;-0.25;8.75
-;12;36.25;Hari Michi;;16;54.5;13;36.0;1;-0.25;8.75
+;15;45.0;Spangaro Luciano (2001);*;19;53.75;14;45.25;-1;0.25;10.0

14c;Nüesch Remo (2001);;;;;;;;;;55.0
o;;;Rohrbach Jérôme (2000);;;;;;;;8.5
+;5;8.5;Heeb Ivan;;30;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Keller Lukas;;14;55.0;9;17.5;2;-0.75;8.5
+;12;26.75;Hollenstein Mathias (2002);;28;35.25;12;26.75;0;0.0;10.0
o;10;36.75;Bernold Christian;**;7;56.75;9;37.0;-1;0.25;8.5
+;14;45.25;Preisig Manuel;;20;53.5;15;45.0;1;-0.25;9.75

14d;Kobler Janosch (2000);;;;;;;;;;55.0
+;;;Hugelshofer Lars (2001);;;;;;;;9.75
-;2;9.75;Ackermann Remo;*;32;17.75;4;8.75;2;-1.0;8.75
+;6;18.5;Schmid Reto;;13;55.25;6;18.5;0;0.0;9.75
o;6;28.25;Battaglia Ursin;**;7;56.75;10;27.25;4;-1.0;8.5
+;10;36.75;Matter Stefan;;13;55.25;10;36.75;0;0.0;9.75
o;9;46.5;Schläpfer Markus;**;9;56.25;10;46.25;1;-0.25;8.5

14e;Martin Dominik;;;;;;;;;;55.0
+;;;Tobler Fabian;;;;;;;;9.75
o;2;9.75;Schläpfer Matthias;*;6;57.0;1;10.0;-1;0.25;8.5
+;7;18.25;Giger Lorenz (2000);;28;35.25;7;18.25;0;0.0;9.75
o;7;28.0;Koch Reto;*;6;57.0;5;28.5;-2;0.5;8.5
-;11;36.5;Thoma Christoph;;21;53.25;14;35.75;3;-0.75;8.75
+;14;45.25;Tanner Adrian;;16;54.5;11;46.0;-3;0.75;9.75

14f;Tremp Remo;;;;;;;;;;55.0
+;;;Manser Adrian;;;;;;;;10.0
o;1;10.0;Dörig Erich;*;9;56.25;4;8.75;3;-1.25;8.5
o;6;18.5;Koller Fabian;*;14;55.0;11;17.0;5;-1.5;8.5
+;11;27.0;Rust Emanuel;;18;54.0;11;27.0;0;0.0;9.75
+;10;36.75;Dobler Lorenz (2000);;17;54.25;10;36.75;0;0.0;9.75
o;9;46.5;Poltera Andrin;*;7;56.75;8;46.75;-1;0.25;8.5

14g;Rohrbach Jérôme (2000);;;;;;;;;;55.0
+;;;Nüesch Remo (2001);;;;;;;;9.75
o;2;9.75;Wittenwiler Roman;*;6;57.0;2;9.75;0;0.0;8.5
+;7;18.25;Ackermann Roman;;11;55.75;7;18.25;0;0.0;9.75
o;7;28.0;Fuster Sepp;;7;56.75;5;28.5;-2;0.5;8.5
+;11;36.5;Hänni Marc (2001);;14;55.0;11;36.5;0;0.0;10.0
o;9;46.5;Schläpfer Matthias;*;6;57.0;7;47.0;-2;0.5;8.5

14h;Lieberherr Michael;;;;;;;;;;55.0
+;;;Preisig Manuel;;;;;;;;9.75
+;2;9.75;Oertle Daniel;*;25;45.75;3;9.0;1;-0.75;9.75
o;3;19.5;Zwyssig Raphael;***;7;56.75;5;18.75;2;-0.75;8.5
+;7;28.0;Brülisauer Dominik (2001);;16;54.5;9;27.5;2;-0.5;10.0
o;5;38.0;Giger Urs;*;7;56.75;4;38.25;-1;0.25;8.5
o;9;46.5;Wey Nicola;*;8;56.5;8;46.75;-1;0.25;8.5

14i;Fontana Michael;*;;;;;;;;;55.0
o;;;Koch Thomas;*;;;;;;;8.5
+;5;8.5;Manser Mathias;;13;55.25;1;10.0;-4;1.5;9.75
+;7;18.25;Thoma Christoph;;21;53.25;5;18.75;-2;0.5;9.75
-;7;28.0;Kuster Thomas;*;4;57.5;4;28.75;-3;0.75;8.75
o;10;36.75;Frick Andreas;*;13;55.25;10;36.75;0;0.0;8.5
+;14;45.25;Kuhn Roman;*;17;54.25;12;45.75;-2;0.5;9.75

14j;Keller Lukas;;;;;;;;;;55.0
-;;;Rotach Lars (2000);;;;;;;;8.75
-;4;8.75;Thoma Christoph;;21;53.25;1;10.0;-3;1.25;8.75
+;9;17.5;Nüesch Remo (2001);;14;55.0;7;18.25;-2;0.75;10.0
-;9;27.5;Bischof Martin;;11;55.75;6;28.25;-3;0.75;8.75
+;12;36.25;Willi Romeo;;20;53.5;11;36.5;-1;0.25;9.75
-;11;46.0;Heierli Pascal;*;13;55.25;10;46.25;-1;0.25;9.0

14k;Koller Fabian;*;;;;;;;;;55.0
o;;;Schläpfer Matthias;*;;;;;;;8.5
o;5;8.5;Fuster Sepp;;7;56.75;2;9.75;-3;1.25;8.5
+;11;17.0;Tremp Remo;;14;55.0;6;18.5;-5;1.5;10.0
+;11;27.0;Inauen Marco;;19;53.75;6;28.25;-5;1.25;9.75
+;10;36.75;Inauen Aurel;;9;56.25;6;37.75;-4;1.0;9.75
o;9;46.5;Vestner Bruno;*;7;56.75;7;47.0;-2;0.5;8.5

14l;Jud Reto (2001);;;;;;;;;;55.0
+;;;Heeb Ivan;;;;;;;;10.0
o;1;10.0;Poltera Andrin;*;7;56.75;4;8.75;3;-1.25;8.5
o;6;18.5;Inauen Aurel;;9;56.25;5;18.75;-1;0.25;8.5
+;11;27.0;Giger Lorenz (2000);;28;35.25;12;26.75;1;-0.25;9.75
o;10;36.75;Thoma Luca (2000);;13;55.25;10;36.75;0;0.0;8.5
+;14;45.25;Signer Ramon (2002);;20;53.5;15;45.0;1;-0.25;9.75

14m;Hänni Marc (2001);;;;;;;;;;55.0
+;;;Büchler Livio (2001);;;;;;;;9.75
o;2;9.75;Vestner Roman;*;13;55.25;4;8.75;2;-1.0;8.5
+;7;18.25;Willi Romeo;;20;53.5;7;18.25;0;0.0;9.75
o;7;28.0;Schläpfer Matthias;*;6;57.0;5;28.5;-2;0.5;8.5
o;11;36.5;Rohrbach Jérôme (2000);;14;55.0;11;36.5;0;0.0;8.5
+;15;45.0;Manser Dominik;;20;53.5;15;45.0;0;0.0;10.0

14n;Schwyn Patrick;;;;;;;;;;55.0
+;;;Roth Sämi (2000);;;;;;;;10.0
-;1;10.0;Räbsamen Marcel (2000);;9;56.25;1;10.0;0;0.0;9.0
o;4;19.0;Giger Urs;*;7;56.75;2;19.75;-2;0.75;8.5
-;9;27.5;Stauffacher Martin;;17;54.25;11;27.0;2;-0.5;9.0
+;11;36.5;Dobler Mathias;;20;53.5;11;36.5;0;0.0;10.0
o;9;46.5;Geisser Lars;**;6;57.0;7;47.0;-2;0.5;8.5

14o;Wolfer Lukas;*;;;;;;;;;55.0
o;;;Inauen Andreas;*;;;;;;;8.5
+;5;8.5;Keller Werner;;8;56.5;2;9.75;-3;1.25;9.75
+;7;18.25;Dobler Lorenz (2000);;17;54.25;2;19.75;-5;1.5;10.0
+;6;28.25;Schläpfer Markus;**;9;56.25;8;27.75;2;-0.5;9.75
o;5;38.0;Schmid Dominik;**;7;56.75;9;37.0;4;-1.0;8.5
o;9;46.5;Räbsamen Marcel (2000);;9;56.25;10;46.25;1;-0.25;8.5

15a;Odermatt Michi;;;;;;;;;;54.75
-;;;Scherrer Pascal;;;;;;;;8.75
-;4;8.75;Wetter Silvan (2000);;14;55.0;4;8.75;0;0.0;8.75
-;9;17.5;Bärtsch Andreas (2002);;29;34.5;10;17.25;1;-0.25;8.75
+;13;26.25;Krucker Silvan (2001);;28;35.25;12;26.75;-1;0.5;10.0
-;12;36.25;Bänziger Peter;;21;53.25;14;35.75;2;-0.5;8.75
+;15;45.0;Willi Renato;;18;54.0;13;45.5;-2;0.5;9.75

15b;Baumann Simon;;;;;;;;;;54.75
o;;;Ackermann Roman;;;;;;;;8.5
+;5;8.5;Studerus Jan (2002);;16;54.5;5;8.5;0;0.0;9.75
o;7;18.25;Inauen Marco;;19;53.75;7;18.25;0;0.0;8.5
+;12;26.75;Ruppanner Philipp (2000);;18;54.0;11;27.0;-1;0.25;9.75
+;11;36.5;Preisig Manuel;;20;53.5;11;36.5;0;0.0;9.75
o;10;46.25;Keller Werner;;8;56.5;9;46.5;-1;0.25;8.5

15c;Lanter Christian;;;;;;;;;;54.75
+;;;Hungerbühler Marcel;;;;;;;;10.0
o;1;10.0;Bernold Christian;**;7;56.75;4;8.75;3;-1.25;8.5
-;6;18.5;Lozza Roman;;15;54.75;5;18.75;-1;0.25;8.75
-;10;27.25;Wetter Silvan (2000);;14;55.0;9;27.5;-1;0.25;8.75
-;13;36.0;Egli Martin;;25;45.75;14;35.75;1;-0.25;8.75
+;16;44.75;Klee Sandro;;19;53.75;14;45.25;-2;0.5;10.0

15d;Roth Sämi (2000);;;;;;;;;;54.75
o;;;Schwyn Patrick;;;;;;;;8.5
+;5;8.5;Signer Walter;;19;53.75;2;9.75;-3;1.25;9.75
o;7;18.25;Willi Renato;;18;54.0;6;18.5;-1;0.25;8.5
+;12;26.75;Bärtsch Andreas (2002);;29;34.5;14;26.0;2;-0.75;9.75
+;11;36.5;Manser Dominik;;20;53.5;11;36.5;0;0.0;9.75
o;10;46.25;Inauen Aurel;;9;56.25;10;46.25;0;0.0;8.5

15e;Lozza Roman;;;;;;;;;;54.75
-;;;Tanner Adrian;;;;;;;;9.0
+;3;9.0;Langenegger Beat;;18;54.0;1;10.0;-2;1.0;9.75
-;5;18.75;Lanter Christian;;15;54.75;6;18.5;1;-0.25;8.75
-;9;27.5;Hari Michi;;16;54.5;10;27.25;1;-0.25;8.75
+;12;36.25;Schmidlin Tobias (2001);;18;54.0;14;35.75;2;-0.5;10.0
o;10;46.25;Kammermann Thomas;*;9;56.25;10;46.25;0;0.0;8.5

16a;Tanner Adrian;;;;;;;;;;54.5
-;;;Lozza Roman;;;;;;;;9.0
+;3;9.0;Christen Jérôme (2002);;18;54.0;1;10.0;-2;1.0;10.0
o;4;19.0;Schwyn Adrian;*;12;55.5;7;18.25;3;-0.75;8.5
+;9;27.5;Koller Silvan (2002);;22;52.75;11;27.0;2;-0.5;10.0
o;7;37.5;Ott Damian (2000);**;13;55.25;10;36.75;3;-0.75;8.5
o;11;46.0;Martin Dominik;;14;55.0;14;45.25;3;-0.75;8.5

16b;Hari Michi;;;;;;;;;;54.5
-;;;Egli Martin;;;;;;;;8.75
+;4;8.75;Klee Sandro;;19;53.75;1;10.0;-3;1.25;10.0
o;5;18.75;Roth Martin;**;6;57.0;5;18.75;0;0.0;8.5
-;10;27.25;Lozza Roman;;15;54.75;9;27.5;-1;0.25;8.75
-;13;36.0;Wetter Silvan (2000);;14;55.0;12;36.25;-1;0.25;8.75
+;16;44.75;Inauen Marco;;19;53.75;14;45.25;-2;0.5;9.75

16c;Brülisauer Dominik (2001);;;;;;;;;;54.5
-;;;Müggler Silvan (2002);;;;;;;;9.0
+;3;9.0;Inauen Ivo (2002);;30;34.0;5;8.5;2;-0.5;10.0
o;4;19.0;Ammann Rico;*;4;57.5;7;18.25;3;-0.75;8.5
o;9;27.5;Lieberherr Michael;;14;55.0;7;28.0;-2;0.5;8.5
o;13;36.0;Hungerbühler Marcel;;14;55.0;15;35.5;2;-0.5;8.5
+;17;44.5;Knecht Remo (2002);;23;52.5;19;44.0;2;-0.5;10.0

16d;Studerus Jan (2002);;;;;;;;;;54.5
o;;;Thoma Christoph;;;;;;;;8.5
o;5;8.5;Baumann Simon;;15;54.75;5;8.5;0;0.0;8.5
+;11;17.0;Signer Walter;;19;53.75;7;18.25;-4;1.25;10.0
o;11;27.0;Schoch René;;26;45.5;5;28.5;-6;1.5;8.5
+;15;35.5;Sonderegger Max (2002);;23;52.5;15;35.5;0;0.0;10.0
-;13;45.5;Dobler Lorenz (2000);;17;54.25;14;45.25;1;-0.25;9.0

16e;Bickel Roman;*;;;;;;;;;54.5
-;;;Vollenweider Jeremy;*;;;;;;;8.75
o;4;8.75;Bischof Martin;;11;55.75;2;9.75;-2;1.0;8.5
-;10;17.25;Kuhn Roman;*;17;54.25;6;18.5;-4;1.25;8.75
+;14;26.0;Büchler Livio (2001);;18;54.0;11;27.0;-3;1.0;10.0
o;13;36.0;Schmid Reto;;13;55.25;9;37.0;-4;1.0;8.5
+;17;44.5;Willi Romeo;;20;53.5;15;45.0;-2;0.5;10.0

17a;Dobler Lorenz (2000);;;;;;;;;;54.25
+;;;Bollhalder Mario (2002);;;;;;;;9.75
+;2;9.75;Gemperli Julian (2002);;28;35.25;2;9.75;0;0.0;10.0
o;2;19.75;Wolfer Lukas;*;14;55.0;7;18.25;5;-1.5;8.5
o;6;28.25;Spangaro Luciano (2001);*;19;53.75;11;27.0;5;-1.25;8.5
o;10;36.75;Tremp Remo;;14;55.0;10;36.75;0;0.0;8.5
-;14;45.25;Studerus Jan (2002);;16;54.5;13;45.5;-1;0.25;9.0

17b;Junker Nik;;;;;;;;;;54.25
-;;;Wetter Silvan (2000);;;;;;;;8.75
+;4;8.75;Hungerbühler Marcel;;14;55.0;4;8.75;0;0.0;10.0
o;5;18.75;Schläpfer Markus;**;9;56.25;8;17.75;3;-1.0;8.5
+;10;27.25;Streule Marco;;22;52.75;10;27.25;0;0.0;10.0
o;8;37.25;Peng Mike;***;9;56.25;12;36.25;4;-1.0;8.5
o;12;45.75;Bischof Martin;;11;55.75;11;46.0;-1;0.25;8.5

17c;Kuhn Roman;*;;;;;;;;;54.25
o;;;Gartmann Mauro;*;;;;;;;8.5
+;5;8.5;Wenger Dominic;;28;35.25;5;8.5;0;0.0;10.0
-;6;18.5;Bickel Roman;*;16;54.5;10;17.25;4;-1.25;8.75
o;10;27.25;Kammermann Thomas;*;9;56.25;10;27.25;0;0.0;8.5
+;14;35.75;Schönenberger Leo (2002);;23;52.5;15;35.5;1;-0.25;10.0
o;12;45.75;Fontana Michael;*;14;55.0;14;45.25;2;-0.5;8.5

17d;Gosswiler Livio (2000);*;;;;;;;;;54.25
-;;;Dörig Erich;*;;;;;;;8.75
-;4;8.75;Inauen Aurel;;9;56.25;1;10.0;-3;1.25;8.75
+;9;17.5;Tobler Marco;;17;54.25;6;18.5;-3;1.0;10.0
+;9;27.5;Keller Werner;;8;56.5;7;28.0;-2;0.5;9.75
o;8;37.25;Ammann Rico;*;4;57.5;5;38.0;-3;0.75;8.5
o;12;45.75;Rotach Lars (2000);;13;55.25;13;45.5;1;-0.25;8.5

17e;Rüegg Patrick;;;;;;;;;;54.25
+;;;Schoch René;;;;;;;;9.75
o;2;9.75;Fejzaj Naim;**;24;46.25;2;9.75;0;0.0;8.5
-;7;18.25;Ziegler Andreas (2002);;24;46.25;7;18.25;0;0.0;8.75
-;11;27.0;Egli Martin;;25;45.75;11;27.0;0;0.0;9.0
+;13;36.0;Fässler Michael;;27;45.0;11;36.5;-2;0.5;9.75
o;12;45.75;Oertle Daniel;*;25;45.75;12;45.75;0;0.0;8.5

17f;Tobler Marco;;;;;;;;;;54.25
o;;;Mathis Patrick;;;;;;;;8.5
+;5;8.5;Baumann Nico (2002);;28;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Gosswiler Livio (2000);*;17;54.25;9;17.5;3;-1.0;8.5
o;11;27.0;Keller Dominic;;12;55.5;11;27.0;0;0.0;8.5
o;15;35.5;Steiner Lukas (2002);;13;55.25;15;35.5;0;0.0;8.75
+;18;44.25;Schönenberger Leo (2002);;23;52.5;19;44.0;1;-0.25;10.0

17g;Stauffacher Martin;;;;;;;;;;54.25
o;;;Langenegger Beat;;;;;;;;8.5
+;5;8.5;Tobler Fabian;;30;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Frick Andreas;*;13;55.25;6;18.5;0;0.0;8.5
-;11;27.0;Schwyn Patrick;;14;55.0;9;27.5;-2;0.5;8.75
+;14;35.75;Rust Emanuel;;18;54.0;15;35.5;1;-0.25;9.75
o;13;45.5;Ackermann Roman;;11;55.75;12;45.75;-1;0.25;8.75

18a;Ruppanner Philipp (2000);;;;;;;;;;54.0
+;;;Magani Flurin (2002);;;;;;;;10.0
o;1;10.0;Egli Martin;;25;45.75;4;8.75;3;-1.25;8.5
o;6;18.5;Schudel Simon;*;12;55.5;6;18.5;0;0.0;8.5
o;11;27.0;Baumann Simon;;15;54.75;12;26.75;1;-0.25;8.5
+;15;35.5;Koller Silvan (2002);;22;52.75;15;35.5;0;0.0;9.75
-;14;45.25;Ritter Fabio (2001);;18;54.0;14;45.25;0;0.0;8.75

18b;Willi Renato;;;;;;;;;;54.0
+;;;Matter Stefan;;;;;;;;10.0
o;1;10.0;Battaglia Ursin;**;7;56.75;5;8.5;4;-1.5;8.5
+;6;18.5;Roth Sämi (2000);;15;54.75;7;18.25;1;-0.25;10.0
o;5;28.5;Bernold Christian;**;7;56.75;10;27.25;5;-1.25;8.5
o;9;37.0;Alder Armin;;7;56.75;9;37.0;0;0.0;8.5
o;13;45.5;Odermatt Michi;;15;54.75;15;45.0;2;-0.5;8.5

18c;Langenegger Beat;;;;;;;;;;54.0
+;;;Stauffacher Martin;;;;;;;;10.0
o;1;10.0;Lozza Roman;;15;54.75;3;9.0;2;-1.0;8.5
o;6;18.5;Wey Nicola;*;8;56.5;6;18.5;0;0.0;8.5
+;11;27.0;Sieber Marc (2000);;28;35.25;12;26.75;1;-0.25;10.0
o;9;37.0;Hugelshofer Lars (2001);;12;55.5;9;37.0;0;0.0;8.5
o;13;45.5;Keller Dominic;;12;55.5;12;45.75;-1;0.25;8.5

18d;Wehrli Jan (2002);;;;;;;;;;54.0
o;;;Schiess Daniel (2002);;;;;;;;8.5
+;5;8.5;Koch Robin (2002);;30;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Kuster Thomas;*;4;57.5;5;18.75;-1;0.25;8.5
o;11;27.0;Manser Mathias;;13;55.25;11;27.0;0;0.0;8.5
o;15;35.5;Ackermann Roman;;11;55.75;14;35.75;-1;0.25;8.5
+;19;44.0;Sonderegger Max (2002);;23;52.5;19;44.0;0;0.0;10.0

18e;Giger Florian (2001);;;;;;;;;;54.0
+;;;Steiner Lukas (2002);;;;;;;;9.75
o;2;9.75;Wickli Beat;**;7;56.75;4;8.75;2;-1.0;8.5
+;7;18.25;Sieber Marc (2000);;28;35.25;7;18.25;0;0.0;10.0
o;6;28.25;Krähenbühl Lukas;*;6;57.0;6;28.25;0;0.0;8.5
o;10;36.75;Ziegler Andreas (2002);;24;46.25;6;37.75;-4;1.0;8.5
o;14;45.25;Mathis Patrick;;13;55.25;13;45.5;-1;0.25;8.75

18f;Schiess Daniel (2002);;;;;;;;;;54.0
+;;;Wehrli Jan (2002);;;;;;;;10.0
o;1;10.0;Dändliker Shane;**;12;55.5;5;8.5;4;-1.5;8.5
o;6;18.5;Schweingruber Thomas;;13;55.25;7;18.25;1;-0.25;8.5
+;11;27.0;Wenger Dominic;;28;35.25;12;26.75;1;-0.25;10.0
o;9;37.0;Inauen Andreas;*;12;55.5;9;37.0;0;0.0;8.5
o;13;45.5;Egli Martin;;25;45.75;12;45.75;-1;0.25;8.5

18g;Rust Emanuel;;;;;;;;;;54.0
o;;;Ziegler Andreas (2002);;;;;;;;8.5
-;5;8.5;Streule Marco;;22;52.75;5;8.5;0;0.0;8.75
+;10;17.25;Müggler Silvan (2002);;19;53.75;10;17.25;0;0.0;9.75
o;11;27.0;Tremp Remo;;14;55.0;11;27.0;0;0.0;8.5
o;15;35.5;Stauffacher Martin;;17;54.25;14;35.75;-1;0.25;8.5
+;19;44.0;Maglia Leo;;23;52.5;19;44.0;0;0.0;10.0

18h;Schmidlin Tobias (2001);;;;;;;;;;54.0
+;;;Thoma Luca (2000);;;;;;;;9.75
-;2;9.75;Schläpfer Markus;**;9;56.25;4;8.75;2;-1.0;8.75
o;6;18.5;Inauen Andreas;*;12;55.5;5;18.75;-1;0.25;8.5
-;11;27.0;Bänziger Peter;;21;53.25;11;27.0;0;0.0;8.75
o;14;35.75;Lozza Roman;;15;54.75;12;36.25;-2;0.5;8.5
+;18;44.25;Thoma Christoph;;21;53.25;17;44.5;-1;0.25;9.75

18i;Büchler Livio (2001);;;;;;;;;;54.0
o;;;Hänni Marc (2001);;;;;;;;8.5
o;5;8.5;Preisig Manuel;;20;53.5;5;8.5;0;0.0;8.5
+;11;17.0;Glättli Tobias (2002);;30;34.0;11;17.0;0;0.0;10.0
o;11;27.0;Bickel Roman;*;16;54.5;14;26.0;3;-1.0;8.5
+;15;35.5;Knecht Remo (2002);;23;52.5;15;35.5;0;0.0;9.75
o;14;45.25;Steiner Lukas (2002);;13;55.25;14;45.25;0;0.0;8.75

18j;Christen Jérôme (2002);;;;;;;;;;54.0
+;;;Koch Robin (2002);;;;;;;;10.0
o;1;10.0;Tanner Adrian;;16;54.5;3;9.0;2;-1.0;8.5
o;6;18.5;Dörig Erich;*;9;56.25;6;18.5;0;0.0;8.5
o;11;27.0;Schmid Reto;;13;55.25;11;27.0;0;0.0;8.5
o;15;35.5;Aebli Nino (2000);;12;55.5;14;35.75;-1;0.25;8.5
+;19;44.0;Dobler Mathias;;20;53.5;15;45.0;-4;1.0;10.0

18k;Peter Philipp (2002);;;;;;;;;;54.0
+;;;Knellwolf Sebastian (2001);;;;;;;;9.75
o;2;9.75;Vestner Bruno;*;7;56.75;4;8.75;2;-1.0;8.5
o;7;18.25;Alder Armin;;7;56.75;6;18.5;-1;0.25;8.5
-;12;26.75;Ackermann Roman;;11;55.75;12;26.75;0;0.0;9.0
+;14;35.75;Streule Marco;;22;52.75;14;35.75;0;0.0;9.75
o;13;45.5;Manser Adrian;;12;55.5;13;45.5;0;0.0;8.5

18l;Ritter Fabio (2001);;;;;;;;;;54.0
o;;;Giger Lorenz (2000);;;;;;;;8.5
o;5;8.5;Manser Adrian;;12;55.5;5;8.5;0;0.0;8.5
+;11;17.0;Knellwolf Sebastian (2001);;19;53.75;11;17.0;0;0.0;10.0
+;11;27.0;Klee Sandro;;19;53.75;11;27.0;0;0.0;9.75
o;10;36.75;Schläpfer Markus;**;9;56.25;12;36.25;2;-0.5;8.5
-;14;45.25;Ruppanner Philipp (2000);;18;54.0;14;45.25;0;0.0;8.75

18m;Scherrer Pascal;;;;;;;;;;54.0
-;;;Odermatt Michi;;;;;;;;8.75
o;4;8.75;Koller Silvan (2002);;22;52.75;5;8.5;1;-0.25;8.5
+;10;17.25;Magani Flurin (2002);;28;35.25;11;17.0;1;-0.25;10.0
o;10;27.25;Poltera Andrin;*;7;56.75;8;27.75;-2;0.5;8.5
+;14;35.75;Signer Ramon (2002);;20;53.5;11;36.5;-3;0.75;9.75
o;13;45.5;Matter Stefan;;13;55.25;14;45.25;1;-0.25;8.5

