3997-2018-07-01_Appenzeller_Kantonalschwingfest-ST

1a;Kuster Marcel;***;;;;;;;;;59.5
+;4;38.25;Zwyssig Raphael;***;7;56.75;4;38.25;0;0.0;10.0
+;3;48.25;Giger Urs;*;7;56.75;3;48.25;0;0.0;9.75

4a;Kuster Thomas;*;;;;;;;;;57.5
+;;;Schwyn Adrian;*;;;;;;;10.0
-;1;10.0;Peng Mike;***;9;56.25;5;8.5;4;-1.5;8.75
+;5;18.75;Wehrli Jan (2002);;18;54.0;6;18.5;1;-0.25;10.0
-;4;28.75;Fontana Michael;*;14;55.0;7;28.0;3;-0.75;8.75
+;7;37.5;Schoch René;;26;45.5;9;37.0;2;-0.5;10.0
+;6;47.5;Schweingruber Thomas;;13;55.25;8;46.75;2;-0.75;10.0

4b;Ammann Rico;*;;;;;;;;;57.5
o;;;Koch Reto;*;;;;;;;8.5
+;5;8.5;Willi Romeo;;20;53.5;2;9.75;-3;1.25;9.75
+;7;18.25;Brülisauer Dominik (2001);;16;54.5;4;19.0;-3;0.75;10.0
+;6;28.25;Frick Andreas;*;13;55.25;6;28.25;0;0.0;9.75
+;5;38.0;Gosswiler Livio (2000);*;17;54.25;8;37.25;3;-0.75;9.75
+;5;47.75;Inauen Andreas;*;12;55.5;7;47.0;2;-0.75;9.75

5a;Marty Jaime (2000);;;;;;;;;;57.25
+;;;Kiser Aron (2001);;;;;;;;9.75
+;2;9.75;Spangaro Luciano (2001);*;19;53.75;5;8.5;3;-1.25;10.0
+;2;19.75;Kammermann Thomas;*;9;56.25;5;18.75;3;-1.0;10.0
+;1;29.75;Fejzaj Naim;**;24;46.25;7;28.0;6;-1.75;10.0
o;1;39.75;Roth Martin;**;6;57.0;4;38.25;3;-1.5;8.75
o;2;48.5;Kuster Marcel;***;1;59.5;1;49.5;-1;1.0;8.75

6a;Hersche Martin;***;;;;;;;;;57.0
-;;;Bösch Daniel;***;;;;;;;8.75
+;4;8.75;Krähenbühl Lukas;*;6;57.0;1;10.0;-3;1.25;9.75
+;6;18.5;Bischof Martin;;11;55.75;2;19.75;-4;1.25;10.0
+;5;28.5;Giger Urs;*;7;56.75;1;29.75;-4;1.25;9.75
+;4;38.25;Geisser Lars;**;6;57.0;3;38.5;-1;0.25;9.75
-;4;48.0;Roth Martin;**;6;57.0;4;48.0;0;0.0;9.0

6b;Geisser Lars;**;;;;;;;;;57.0
o;;;Zwyssig Raphael;***;;;;;;;8.5
+;5;8.5;Dobler Mathias;;20;53.5;2;9.75;-3;1.25;10.0
+;6;18.5;Koch Reto;*;6;57.0;1;20.0;-5;1.5;10.0
+;5;28.5;Schmid Patrick;*;3;58.0;2;29.5;-3;1.0;10.0
o;3;38.5;Hersche Martin;***;6;57.0;4;38.25;1;-0.25;8.5
+;7;47.0;Schwyn Patrick;;14;55.0;9;46.5;2;-0.5;10.0

6c;Roth Martin;**;;;;;;;;;57.0
+;;;Ott Damian (2000);**;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;3;58.0;4;8.75;3;-1.25;8.75
+;5;18.75;Hari Michi;;16;54.5;5;18.75;0;0.0;9.75
+;5;28.5;Schweingruber Thomas;;13;55.25;6;28.25;1;-0.25;9.75
+;4;38.25;Marty Jaime (2000);;5;57.25;1;39.75;-3;1.5;9.75
-;4;48.0;Hersche Martin;***;6;57.0;4;48.0;0;0.0;9.0

6d;Krähenbühl Lukas;*;;;;;;;;;57.0
+;;;Elmer Daniel;*;;;;;;;10.0
o;1;10.0;Hersche Martin;***;6;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Egli Martin;;25;45.75;6;18.5;0;0.0;9.75
+;6;28.25;Giger Florian (2001);;18;54.0;6;28.25;0;0.0;10.0
-;4;38.25;Schläpfer Matthias;*;6;57.0;4;38.25;0;0.0;8.75
+;7;47.0;Fejzaj Naim;**;24;46.25;10;46.25;3;-0.75;10.0

6e;Wittenwiler Roman;*;;;;;;;;;57.0
+;;;Oertig Simon;*;;;;;;;9.75
+;2;9.75;Rohrbach Jérôme (2000);;14;55.0;2;9.75;0;0.0;9.75
+;3;19.5;Räbsamen Marcel (2000);;9;56.25;4;19.0;1;-0.5;10.0
-;2;29.5;Dändliker Shane;**;12;55.5;5;28.5;3;-1.0;8.75
-;4;38.25;Heierli Pascal;*;13;55.25;7;37.5;3;-0.75;8.75
+;7;47.0;Schudel Simon;*;12;55.5;7;47.0;0;0.0;10.0

6f;Koch Reto;*;;;;;;;;;57.0
+;;;Ammann Rico;*;;;;;;;10.0
+;1;10.0;Ziegler Andreas (2002);;24;46.25;2;9.75;1;-0.25;10.0
o;1;20.0;Geisser Lars;**;6;57.0;6;18.5;5;-1.5;8.5
+;5;28.5;Martin Dominik;;14;55.0;7;28.0;2;-0.5;10.0
+;3;38.5;Dändliker Shane;**;12;55.5;8;37.25;5;-1.25;9.75
o;3;48.25;Bless Michael;***;2;58.25;3;48.25;0;0.0;8.75

6g;Schläpfer Matthias;*;;;;;;;;;57.0
+;;;Koller Fabian;*;;;;;;;10.0
+;1;10.0;Martin Dominik;;14;55.0;2;9.75;1;-0.25;10.0
o;1;20.0;Bösch Daniel;***;3;58.0;6;18.5;5;-1.5;8.5
+;5;28.5;Hänni Marc (2001);;14;55.0;7;28.0;2;-0.5;9.75
-;4;38.25;Krähenbühl Lukas;*;6;57.0;4;38.25;0;0.0;8.75
+;7;47.0;Rohrbach Jérôme (2000);;14;55.0;9;46.5;2;-0.5;10.0

7a;Vestner Bruno;*;;;;;;;;;56.75
o;;;Heierli Pascal;*;;;;;;;8.75
+;4;8.75;Peter Philipp (2002);;18;54.0;2;9.75;-2;1.0;10.0
+;5;18.75;Knecht Remo (2002);;23;52.5;6;18.5;1;-0.25;10.0
o;4;28.75;Vollenweider Jeremy;*;7;56.75;5;28.5;1;-0.25;8.5
+;8;37.25;Oertle Daniel;*;25;45.75;8;37.25;0;0.0;9.75
+;7;47.0;Koller Fabian;*;14;55.0;9;46.5;2;-0.5;9.75

7b;Poltera Andrin;*;;;;;;;;;56.75
o;;;Schudel Simon;*;;;;;;;8.75
+;4;8.75;Jud Reto (2001);;14;55.0;1;10.0;-3;1.25;10.0
-;5;18.75;Elmer Daniel;*;10;56.0;6;18.5;1;-0.25;9.0
+;8;27.75;Scherrer Pascal;;18;54.0;10;27.25;2;-0.5;10.0
-;6;37.75;Kammermann Thomas;*;9;56.25;8;37.25;2;-0.5;9.0
+;8;46.75;Tremp Remo;;14;55.0;9;46.5;1;-0.25;10.0

7c;Alder Armin;;;;;;;;;;56.75
+;;;Keller Dominic;;;;;;;;10.0
o;1;10.0;Vollenweider Jeremy;*;7;56.75;4;8.75;3;-1.25;8.5
+;6;18.5;Peter Philipp (2002);;18;54.0;7;18.25;1;-0.25;9.75
-;6;28.25;Peng Mike;***;9;56.25;10;27.25;4;-1.0;8.75
+;9;37.0;Willi Renato;;18;54.0;9;37.0;0;0.0;9.75
+;8;46.75;Frick Andreas;*;13;55.25;9;46.5;1;-0.25;10.0

7d;Vollenweider Jeremy;*;;;;;;;;;56.75
-;;;Bickel Roman;*;;;;;;;8.75
+;4;8.75;Alder Armin;;7;56.75;1;10.0;-3;1.25;9.75
+;6;18.5;Bänziger Peter;;21;53.25;6;18.5;0;0.0;10.0
+;5;28.5;Vestner Bruno;*;7;56.75;4;28.75;-1;0.25;9.75
o;4;38.25;Wickli Beat;**;7;56.75;8;37.25;4;-1.0;8.5
+;8;46.75;Thoma Luca (2000);;13;55.25;8;46.75;0;0.0;10.0

7e;Bernold Christian;**;;;;;;;;;56.75
-;;;Schläpfer Markus;**;;;;;;;8.75
+;4;8.75;Lanter Christian;;15;54.75;1;10.0;-3;1.25;10.0
o;5;18.75;Kuster Marcel;***;1;59.5;1;20.0;-4;1.25;8.5
+;10;27.25;Willi Renato;;18;54.0;5;28.5;-5;1.25;9.75
