3816-2017-07-01_Buendner-Glarner_Kantonalschwingfest-ST

1a;Orlik Armon;***;;;;;;;;;58.25
-;;;Kindlimann Fabian;***;;;;;;;8.75
+;3;8.75;Näf Pius;*;11;55.0;1;10.0;-2;1.25;10.0
+;4;18.75;Geisser Lars;**;5;56.75;2;19.75;-2;1.0;9.75
+;4;28.5;Schnurrenberger Roman;**;7;56.0;3;28.75;-1;0.25;9.75
+;3;38.25;Nägeli Marco;**;3;57.25;2;38.5;-1;0.25;10.0
+;2;48.25;Rychen Roger;***;2;57.5;1;48.75;-1;0.5;10.0

2a;Rychen Roger;***;;;;;;;;;57.5
+;;;Wickli Beat;**;;;;;;;10.0
+;1;10.0;Bernold Edi;**;11;55.0;1;10.0;0;0.0;9.75
+;2;19.75;Eugster Ruedi;**;4;57.0;2;19.75;0;0.0;10.0
-;1;29.75;Oertig Dominik;**;3;57.25;4;28.5;3;-1.25;9.0
+;1;38.75;Sprecher Sandro;*;4;57.0;2;38.5;1;-0.25;10.0
o;1;48.75;Orlik Armon;***;1;58.25;2;48.25;1;-0.5;8.75

3a;Zbinden Marc;*;;;;;;;;;57.25
-;;;Schnurrenberger Roman;**;;;;;;;8.75
+;3;8.75;Kunz Daniel;;10;55.25;1;10.0;-2;1.25;10.0
+;4;18.75;Bänziger Peter;;14;54.25;5;18.5;1;-0.25;10.0
o;3;28.75;Kindlimann Fabian;***;7;56.0;8;27.25;5;-1.5;8.5
+;7;37.25;Dändliker Hansheinrich;;9;55.5;8;37.0;1;-0.25;10.0
+;5;47.25;Bernold Edi;**;11;55.0;8;46.5;3;-0.75;10.0

3b;Oertig Dominik;**;;;;;;;;;57.25
o;;;Schneider Mario;**;;;;;;;8.5
+;4;8.5;Koller Fabian;;13;54.5;2;9.75;-2;1.25;10.0
+;5;18.5;Hungerbühler Marcel;;14;54.25;5;18.5;0;0.0;10.0
-;4;28.5;Rychen Roger;***;2;57.5;1;29.75;-3;1.25;9.0
+;6;37.5;Keller Lukas;;13;54.5;7;37.25;1;-0.25;9.75
+;5;47.25;Näf Pius;*;11;55.0;8;46.5;3;-0.75;10.0

3c;Nägeli Marco;**;;;;;;;;;57.25
+;;;Peng Mike;***;;;;;;;9.75
+;2;9.75;Breitenmoser Manuel;;7;56.0;1;10.0;-1;0.25;9.75
-;3;19.5;Schlegel Sandro;**;3;57.25;1;20.0;-2;0.5;9.0
+;4;28.5;Lieberherr Michael (1999);;15;54.0;4;28.5;0;0.0;10.0
o;2;38.5;Orlik Armon;***;1;58.25;3;38.25;1;-0.25;8.75
+;5;47.25;Flütsch Marco (1999);;9;55.5;6;47.0;1;-0.25;10.0

3d;Bühler Hannes;*;;;;;;;;;57.25
+;;;Battaglia Ursin;**;;;;;;;10.0
-;1;10.0;Bischof Martin;;8;55.75;1;10.0;0;0.0;8.75
+;4;18.75;Jöhl Christian;*;10;55.25;2;19.75;-2;1.0;10.0
o;3;28.75;Geisser Lars;**;5;56.75;5;28.25;2;-0.5;8.5
+;7;37.25;Wild Thomas;;14;54.25;8;37.0;1;-0.25;10.0
+;5;47.25;Jörger Corsin;;11;55.0;8;46.5;3;-0.75;10.0

3e;Schlegel Sandro;**;;;;;;;;;57.25
+;;;Horner Peter;***;;;;;;;10.0
+;1;10.0;Dändliker Hansheinrich;;9;55.5;1;10.0;0;0.0;10.0
-;1;20.0;Nägeli Marco;**;3;57.25;3;19.5;2;-0.5;9.0
+;2;29.0;Landolt Reto;*;4;57.0;3;28.75;1;-0.25;9.75
o;1;38.75;Eugster Ruedi;**;4;57.0;3;38.25;2;-0.5;8.5
+;5;47.25;Mettler Valentin;;10;55.25;7;46.75;2;-0.5;10.0

4a;Odermatt Christoph;*;;;;;;;;;57.0
-;;;Ammann Rico;*;;;;;;;8.75
+;3;8.75;Breitenmoser Simon;;10;55.25;1;10.0;-2;1.25;9.75
+;5;18.5;Stadelmann Patrick (2000);;16;53.75;6;18.25;1;-0.25;10.0
-;4;28.5;Fontana Michael;;5;56.75;4;28.5;0;0.0;8.75
+;7;37.25;Schäppi Urs;*;8;55.75;7;37.25;0;0.0;9.75
+;6;47.0;Oertig Simon;;11;55.0;8;46.5;2;-0.5;10.0

4b;Landolt Reto;*;;;;;;;;;57.0
-;;;Schäppi Urs;*;;;;;;;8.75
+;3;8.75;Zumbach Michael;;16;53.75;1;10.0;-2;1.25;10.0
+;4;18.75;Schwager Mike (2000);;19;53.0;5;18.5;1;-0.25;10.0
o;3;28.75;Schlegel Sandro;**;3;57.25;2;29.0;-1;0.25;8.5
+;7;37.25;Heierli Pascal (1999);;9;55.5;8;37.0;1;-0.25;10.0
+;5;47.25;Wolfer Lukas;*;11;55.0;8;46.5;3;-0.75;9.75

4c;Jörger Marc;;;;;;;;;;57.0
o;;;Reichmuth Beat;;;;;;;;8.5
+;4;8.5;Kleinberger Alex;;20;52.75;4;8.5;0;0.0;10.0
-;5;18.5;Bickel Stefan;*;15;54.0;9;17.0;4;-1.5;8.75
+;8;27.25;Schwager Mike (2000);;19;53.0;9;27.0;1;-0.25;10.0
