5194-2022-06-06_Glarner-Buendner_Kantonalschwingfest-ST

+;8;37.0;Bucher Roman;;10;55.5;8;37.0;0;0.0;10.0
+;6;47.0;Wild Thomas;*;10;55.5;6;47.0;0;0.0;10.0

4f;Schlegel Reto;*;;;;;;;;;57.0
+;;;Brügger Stefan;*;;;;;;;10.0
o;1;10.0;Rychen Roger;***;3;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Imhof Gregor;;16;54.0;2;19.75;-4;1.25;10.0
+;5;28.5;Flütsch Marco;;11;55.25;5;28.5;0;0.0;10.0
o;2;38.5;Orlik Armon;***;1;58.75;1;38.75;-1;0.25;8.5
+;6;47.0;Rhyner Beni;;11;55.25;7;46.75;1;-0.25;10.0

4g;Gmür Pirmin;**;;;;;;;;;57.0
+;;;Arztmann Beda;**;;;;;;;9.75
o;2;9.75;Leuppi Samir;***;6;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Blaser Niklas;*;15;54.25;6;18.5;-1;0.25;10.0
+;6;28.25;Kundert Elias (2005);;6;56.5;2;29.5;-4;1.25;10.0
-;3;38.25;Hochholdinger Roman;**;5;56.75;3;38.25;0;0.0;8.75
+;6;47.0;Laager Michael;;11;55.25;7;46.75;1;-0.25;10.0

4h;Schlegel Werner;**;;;;;;;;;57.0
o;;;Walther Adrian;**;;;;;;;8.5
+;5;8.5;Landolt Reto;*;5;56.75;1;10.0;-4;1.5;10.0
+;6;18.5;Oettli Marco;**;3;57.25;5;18.75;-1;0.25;10.0
+;5;28.5;Biäsch Christian;*;4;57.0;5;28.5;0;0.0;9.75
+;3;38.25;Arztmann Beda;**;9;55.75;3;38.25;0;0.0;10.0
o;2;48.25;Orlik Armon;***;1;58.75;1;48.75;-1;0.5;8.75

5a;Ott Damian;**;;;;;;;;;56.75
o;;;Orlik Armon;***;;;;;;;8.5
+;5;8.5;Hegner Ueli;*;11;55.25;1;10.0;-4;1.5;10.0
+;6;18.5;Odermatt Gian Maria (2004);*;8;56.0;4;19.0;-2;0.5;10.0
o;5;28.5;Schneider Domenic;***;3;57.25;4;28.75;-1;0.25;8.5
+;8;37.0;Hugelshofer Lars;*;14;54.5;7;37.25;-1;0.25;10.0
+;6;47.0;Schnurrenberger Roman;**;10;55.5;6;47.0;0;0.0;9.75

5b;Landolt Reto;*;;;;;;;;;56.75
+;;;Schwyn Adrian;*;;;;;;;10.0
o;1;10.0;Schlegel Werner;**;4;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Hug Jan;;15;54.25;5;18.75;-1;0.25;10.0
o;5;28.5;Elmer Adrian;*;6;56.5;5;28.5;0;0.0;8.5
+;8;37.0;Reichmuth Beat;;10;55.5;8;37.0;0;0.0;10.0
+;6;47.0;Signer Tobias (2004);;11;55.25;7;46.75;1;-0.25;9.75

5c;Hochholdinger Roman;**;;;;;;;;;56.75
+;;;Nägeli Marco;**;;;;;;;9.75
+;2;9.75;Wild Thomas;*;10;55.5;1;10.0;-1;0.25;10.0
o;2;19.75;Rychen Roger;***;3;57.25;5;18.75;3;-1.0;8.5
+;6;28.25;Horner Sämi;;8;56.0;3;29.0;-3;0.75;10.0
-;3;38.25;Gmür Pirmin;**;4;57.0;3;38.25;0;0.0;8.75
+;6;47.0;Niederer Andreas;*;10;55.5;6;47.0;0;0.0;9.75

5d;Burch Dean;*;;;;;;;;;56.75
+;;;Joos Enrico;*;;;;;;;9.75
o;2;9.75;Schneider Mario;**;4;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Bucher Roman;;10;55.5;5;18.75;-2;0.5;10.0
-;6;28.25;Pianta Christian;*;3;57.25;5;28.5;-1;0.25;8.75
+;8;37.0;Schlegel Jamie (2004);;15;54.25;9;36.75;1;-0.25;9.75
+;7;46.75;Brügger Stefan;*;11;55.25;8;46.5;1;-0.25;10.0

5e;Fausch Kjetil;*;;;;;;;;;56.75
+;;;Keller Manuel;*;;;;;;;9.75
o;2;9.75;Schneider Domenic;***;3;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Müller Josias (2006);;10;55.5;6;18.5;-1;0.25;10.0
+;6;28.25;Kiser Aron;;13;54.75;4;28.75;-2;0.5;9.75
-;4;38.0;Kolb This;**;9;55.75;9;36.75;5;-1.25;8.75
+;7;46.75;Hegner Ueli;*;11;55.25;7;46.75;0;0.0;10.0

6a;Kundert Elias (2005);;;;;;;;;;56.5
+;;;Zumbach Michael;;;;;;;;9.75
+;2;9.75;Kaiser David (2006);;16;54.0;5;8.5;3;-1.25;10.0
+;2;19.75;Hegner Ueli;*;11;55.25;6;18.5;4;-1.25;9.75
o;2;29.5;Gmür Pirmin;**;4;57.0;6;28.25;4;-1.25;8.5
o;4;38.0;Pianta Christian;*;3;57.25;7;37.25;3;-0.75;8.5
+;8;46.5;Mannhart Jan;*;9;55.75;6;47.0;-2;0.5;10.0

6b;Elmer Adrian;*;;;;;;;;;56.5
+;;;Koller Fabian;*;;;;;;;10.0
+;1;10.0;Flütsch Marco;;11;55.25;1;10.0;0;0.0;10.0
o;1;20.0;Kolb This;**;9;55.75;7;18.25;6;-1.75;8.5
+;5;28.5;Landolt Reto;*;5;56.75;5;28.5;0;0.0;9.75
o;3;38.25;Leuppi Samir;***;6;56.5;5;37.75;2;-0.5;8.5
+;7;46.75;Tremp Ruedi;;12;55.0;8;46.5;1;-0.25;9.75

6c;Raschle Urban;;;;;;;;;;56.5
+;;;Biser Niklaus;;;;;;;;9.75
o;2;9.75;Arztmann Beda;**;9;55.75;5;8.5;3;-1.25;8.5
+;7;18.25;Engi Niculin (2006);;16;54.0;6;18.5;-1;0.25;9.75
-;7;28.0;Wehrli Jan;;13;54.75;6;28.25;-1;0.25;8.75
+;9;36.75;Gantenbein Linard (2004);;17;53.75;9;36.75;0;0.0;9.75
+;8;46.5;Koller Fabian;*;13;54.75;9;46.25;1;-0.25;10.0

6d;Leuppi Samir;***;;;;;;;;;56.5
-;;;Rychen Roger;***;;;;;;;8.75
+;4;8.75;Gmür Pirmin;**;4;57.0;2;9.75;-2;1.0;10.0
+;5;18.75;Mannhart Jan;*;9;55.75;1;20.0;-4;1.25;10.0
-;4;28.75;Orlik Armon;***;1;58.75;1;29.75;-3;1.0;9.0
+;5;37.75;Elmer Adrian;*;6;56.5;3;38.25;-2;0.5;10.0
o;3;47.75;Nötzli Reto;***;2;57.75;3;47.75;0;0.0;8.75

7a;Kolb Kilian (2005);;;;;;;;;;56.25
+;;;Reichmuth Beat;;;;;;;;9.75
-;2;9.75;Schwyn Adrian;*;14;54.5;5;8.5;3;-1.25;9.0
o;5;18.75;Lüthi Manuel;*;10;55.5;6;18.5;1;-0.25;8.5
+;10;27.25;Florineth Fabrizio (2006);;20;52.75;10;27.25;0;0.0;10.0
+;7;37.25;Huber Alex;*;8;56.0;7;37.25;0;0.0;10.0
-;5;47.25;Bärtsch Fabian;*;9;55.75;7;46.75;2;-0.5;9.0

7b;Feldmann Patrik (2005);;;;;;;;;;56.25
+;;;Kern Sven;;;;;;;;10.0
-;1;10.0;Akeret Benno;*;14;54.5;4;8.75;3;-1.25;8.75
+;5;18.75;Biser Niklaus;;16;54.0;6;18.5;1;-0.25;9.75
o;5;28.5;Ziegler Andreas;;8;56.0;7;28.0;2;-0.5;8.75
-;7;37.25;Koller Silvan;*;17;53.75;11;36.25;4;-1.0;9.0
+;9;46.25;Martin Tobias;;13;54.75;9;46.25;0;0.0;10.0

8a;Huber Alex;*;;;;;;;;;56.0
-;;;Biäsch Christian;*;;;;;;;9.0
+;3;9.0;Gerig Marcel;;22;35.75;1;10.0;-2;1.0;9.75
o;5;18.75;Schneider Domenic;***;3;57.25;5;18.75;0;0.0;8.5
+;10;27.25;Kirchmeier Christof;;12;55.0;6;28.25;-4;1.0;10.0
o;7;37.25;Kolb Kilian (2005);;7;56.25;7;37.25;0;0.0;8.75
+;10;46.0;Hugelshofer Lars;*;14;54.5;11;45.75;1;-0.25;10.0

8b;Ziegler Andreas;;;;;;;;;;56.0
+;;;Henz Marc (2006);;;;;;;;9.75
+;2;9.75;Vetterli Sven;;16;54.0;2;9.75;0;0.0;9.75
o;3;19.5;Biäsch Christian;*;4;57.0;5;18.75;2;-0.75;8.5
+;7;28.0;Feldmann Patrik (2005);;7;56.25;5;28.5;-2;0.5;9.75
+;5;37.75;Blaser Niklas;*;15;54.25;12;36.0;7;-1.75;9.75
o;4;47.5;Oettli Marco;**;3;57.25;5;47.25;1;-0.25;8.5

8c;Horner Sämi;;;;;;;;;;56.0
+;;;Steiner Lukas;;;;;;;;10.0
-;1;10.0;Koller Silvan;*;17;53.75;4;8.75;3;-1.25;9.0
+;4;19.0;Regli Claudio (2004);;21;52.5;6;18.5;2;-0.5;10.0
o;3;29.0;Hochholdinger Roman;**;5;56.75;6;28.25;3;-0.75;8.5
o;6;37.5;Roth Sämi;;11;55.25;8;37.0;2;-0.5;8.75
+;9;46.25;Rüegger Remo;;16;54.0;12;45.5;3;-0.75;9.75

8d;Odermatt Gian Maria (2004);*;;;;;;;;;56.0
-;;;Bärtsch Fabian;*;;;;;;;9.0
+;3;9.0;Martin Tobias;;13;54.75;1;10.0;-2;1.0;10.0
o;4;19.0;Ott Damian;**;5;56.75;6;18.5;2;-0.5;8.5
+;9;27.5;Schnyder Christian;;14;54.5;10;27.25;1;-0.25;10.0
+;6;37.5;Brügger Stefan;*;11;55.25;4;38.0;-2;0.5;10.0
o;4;47.5;Forrer Arnold;***;4;57.0;5;47.25;1;-0.25;8.5

8e;Kobler Janosch;*;;;;;;;;;56.0
+;;;Jörger Marc;*;;;;;;;9.75
-;2;9.75;Nägeli Marco;**;27;27.25;5;8.5;3;-1.25;9.0
+;5;18.75;Wehrli Jan;;13;54.75;2;19.75;-3;1.0;10.0
+;4;28.75;Joos Enrico;*;9;55.75;5;28.5;1;-0.25;9.75
o;2;38.5;Walther Adrian;**;4;57.0;7;37.25;5;-1.25;8.5
-;6;47.0;Arztmann Beda;**;9;55.75;7;46.75;1;-0.25;9.0

9a;Flück Bruno;;;;;;;;;;55.75
-;;;Thiemann Fabrice;;;;;;;;8.75
+;4;8.75;Graber Bänz;;15;54.25;5;8.5;1;-0.25;9.75
+;6;18.5;Jäger Elia (2006);;21;52.5;6;18.5;0;0.0;10.0
-;5;28.5;Kolb This;**;9;55.75;7;28.0;2;-0.5;8.75
+;7;37.25;Bernhard Thomas;;17;53.75;9;36.75;2;-0.5;10.0
o;5;47.25;Schneider Mario;**;4;57.0;6;47.0;1;-0.25;8.5

9b;Arztmann Beda;**;;;;;;;;;55.75
