5547-2021-07-18_Schwyzer_Kantonales_Schwingfest-ST

1a;Schuler Christian;***;;;;;;;;;59.5
+;;;Doppmann Urs;**;;;;;;;10.0
+;1;10.0;Odermatt Andreas;**;5;57.0;1;10.0;0;0.0;10.0
+;1;20.0;Bucher Thomas;*;4;57.25;1;20.0;0;0.0;9.75
+;1;29.75;Suter Pirmin;**;6;56.75;1;29.75;0;0.0;9.75
+;1;39.5;Bürgi Reto;*;8;56.25;2;38.75;1;-0.75;10.0
+;1;49.5;Omlin Toni;*;5;57.0;2;48.25;1;-1.25;10.0

2a;Doppmann Urs;**;;;;;;;;;58.0
o;;;Schuler Christian;***;;;;;;;8.5
+;5;8.5;Bissig Fabian;;8;56.25;2;9.75;-3;1.25;9.75
+;7;18.25;Bienz Romeo;*;8;56.25;5;18.75;-2;0.5;10.0
+;6;28.25;Lüthy Ralph;;10;55.75;5;28.5;-1;0.25;10.0
+;4;38.25;Nötzli Reto;***;9;56.0;2;38.75;-2;0.5;9.75
+;3;48.0;Bissig Lukas (2003);;7;56.5;3;48.0;0;0.0;10.0

3a;Bürli Roger;**;;;;;;;;;57.5
-;;;Schuler Alex;***;;;;;;;8.75
+;4;8.75;Herger Marco;;14;54.75;1;10.0;-3;1.25;9.75
+;6;18.5;Mehr Lars;;13;55.0;6;18.5;0;0.0;9.75
+;6;28.25;Schürpf Bruno;*;14;54.75;8;27.75;2;-0.5;9.75
+;5;38.0;Kälin Roland;**;7;56.5;4;38.25;-1;0.25;9.75
+;4;47.75;Forster Christian;;11;55.5;7;47.0;3;-0.75;9.75

3b;Steinauer Adrian;**;;;;;;;;;57.5
-;;;Felder Martin;*;;;;;;;8.75
+;4;8.75;Rogenmoser Linus;;14;54.75;1;10.0;-3;1.25;9.75
+;6;18.5;Achermann Simon;;11;55.5;5;18.75;-1;0.25;9.75
+;6;28.25;Zurfluh Michael;*;11;55.5;6;28.25;0;0.0;9.75
+;5;38.0;Troxler Jonas;*;8;56.25;6;37.75;1;-0.25;9.75
+;4;47.75;Lustenberger Josef;;6;56.75;2;48.25;-2;0.5;9.75

3c;Schwyzer Samuel;;;;;;;;;;57.5
+;;;von Ah Markus;;;;;;;;10.0
+;1;10.0;Effinger Markus;*;9;56.0;3;9.0;2;-1.0;10.0
-;1;20.0;Kenel Franz-Toni;*;10;55.75;5;18.75;4;-1.25;8.75
+;4;28.75;Kennel Beat;**;6;56.75;5;28.5;1;-0.25;9.75
-;3;38.5;Bucher Thomas;*;4;57.25;4;38.25;1;-0.25;9.0
+;5;47.5;Von Euw Adi;;11;55.5;7;47.0;2;-0.5;10.0

4a;Elmiger Andreas;;;;;;;;;;57.25
-;;;Gasser Dominik 1;;;;;;;;9.0
+;3;9.0;Solenthaler David (2004);;15;54.5;3;9.0;0;0.0;10.0
+;4;19.0;Reichmuth Lukas;*;13;55.0;5;18.75;1;-0.25;10.0
o;3;29.0;Kälin Roland;**;7;56.5;5;28.5;2;-0.5;8.5
+;7;37.5;Waser Reto;*;9;56.0;8;37.25;1;-0.25;10.0
+;5;47.5;Heinzer Lukas (2004);;12;55.25;8;46.75;3;-0.75;9.75

4b;Schöpfer Ronny;**;;;;;;;;;57.25
o;;;Nötzli Reto;***;;;;;;;8.75
+;4;8.75;Rohrer Marco;;15;54.5;1;10.0;-3;1.25;10.0
o;5;18.75;Betschart Patrick;*;5;57.0;2;19.75;-3;1.0;8.5
+;10;27.25;von Matt Lars;;13;55.0;7;28.0;-3;0.75;10.0
+;8;37.25;Effinger Markus;*;9;56.0;7;37.5;-1;0.25;10.0
+;6;47.25;Ettlin Michael;;13;55.0;9;46.5;3;-0.75;10.0

4c;Arnold Raphael;**;;;;;;;;;57.25
-;;;Kurmann Toni;*;;;;;;;8.75
+;4;8.75;Suter Samuel;;10;55.75;1;10.0;-3;1.25;10.0
-;5;18.75;Schuler Philipp;**;4;57.25;1;20.0;-4;1.25;8.75
+;9;27.5;Widmer Simon;;17;54.0;5;28.5;-4;1.0;10.0
+;7;37.5;Zgraggen Peter;;13;55.0;5;38.0;-2;0.5;10.0
+;5;47.5;Graber Michael;*;11;55.5;7;47.0;2;-0.5;9.75

4d;Bucher Thomas;*;;;;;;;;;57.25
+;;;Reichmuth Lukas;*;;;;;;;10.0
+;1;10.0;Waser Reto;*;9;56.0;2;9.75;1;-0.25;10.0
o;1;20.0;Schuler Christian;***;1;59.5;1;20.0;0;0.0;8.5
+;5;28.5;von Büren Thomas;;16;54.25;5;28.5;0;0.0;9.75
-;4;38.25;Schwyzer Samuel;;3;57.5;3;38.5;-1;0.25;9.0
+;6;47.25;Schnellmann Alexander (2004);;13;55.0;9;46.5;3;-0.75;10.0

4e;Schuler Philipp;**;;;;;;;;;57.25
+;;;Felder Seppi;*;;;;;;;10.0
+;1;10.0;Wyss Sven;*;11;55.5;1;10.0;0;0.0;10.0
-;1;20.0;Arnold Raphael;**;4;57.25;5;18.75;4;-1.25;8.75
+;4;28.75;Lustenberger Marc (2003);;6;56.75;2;29.5;-2;0.75;9.75
-;3;38.5;Bucher Roland;*;5;57.0;4;38.25;1;-0.25;8.75
+;6;47.25;Vogel Laurin;;12;55.25;8;46.75;2;-0.5;10.0

4f;Heiniger Marco;**;;;;;;;;;57.25
+;;;Hess Michael;*;;;;;;;10.0
-;1;10.0;Nötzli Reto;***;9;56.0;1;10.0;0;0.0;9.0
+;4;19.0;von Büren Thomas;;16;54.25;1;20.0;-3;1.0;10.0
