3052-2017-07-16_Fete_Romande2-ST

+;3;28.5;Ledermann Michael (2000);;9;55.75;4;28.25;1;-0.25;10.0
+;2;38.5;Zenger Niklaus;***;10;55.5;6;37.25;4;-1.25;9.75
o;2;48.25;Nötzli Reto;***;1;58.25;2;48.25;0;0.0;8.5

6c;Dousse Michel;**;;;;;;;;;56.75
+;;;Emonet Fabien;**;;;;;;;10.0
o;1;10.0;Nötzli Reto;***;1;58.25;4;8.75;3;-1.25;8.5
+;6;18.5;Kramer Dorian (1999);;14;54.5;3;19.5;-3;1.0;9.75
+;4;28.25;Curty Alexandre;;11;55.25;4;28.25;0;0.0;10.0
o;3;38.25;Schmid David;***;7;56.5;8;36.75;5;-1.5;8.5
+;7;46.75;Lerch Jimmy;*;10;55.5;6;47.0;-1;0.25;10.0

6d;Emonet Frédéric;*;;;;;;;;;56.75
o;;;Matthey Mickaël;**;;;;;;;8.5
+;5;8.5;Ambresin Cyril (1999);;7;56.5;1;10.0;-4;1.5;9.75
+;7;18.25;Hofer Sven;*;10;55.5;5;18.75;-2;0.5;10.0
+;4;28.25;Buchs Julien (1999);;14;54.5;3;28.5;-1;0.25;10.0
o;3;38.25;Zwyssig Raphael;***;6;56.75;7;37.0;4;-1.25;8.5
+;7;46.75;Gottofrey Marc;**;9;55.75;6;47.0;-1;0.25;10.0

6e;Zwyssig Raphael;***;;;;;;;;;56.75
-;;;Haenni Stéphane;**;;;;;;;8.75
+;4;8.75;Zosso Remo;**;10;55.5;1;10.0;-3;1.25;9.75
+;6;18.5;Mollet Ivan;*;10;55.5;6;18.5;0;0.0;10.0
o;3;28.5;Nötzli Reto;***;1;58.25;2;28.75;-1;0.25;8.5
+;7;37.0;Emonet Frédéric;*;6;56.75;3;38.25;-4;1.25;9.75
+;7;46.75;Ducrest Etienne;*;11;55.25;7;46.75;0;0.0;10.0

7a;Schmid David;***;;;;;;;;;56.5
-;;;Borcard Johann;**;;;;;;;8.75
+;4;8.75;Duplan Steve;**;6;56.75;1;10.0;-3;1.25;9.75
+;6;18.5;Zenger Niklaus;***;10;55.5;6;18.5;0;0.0;9.75
o;4;28.25;Dind Samuel;**;2;57.75;3;28.5;-1;0.25;8.5
+;8;36.75;Dousse Michel;**;6;56.75;3;38.25;-5;1.5;10.0
+;7;46.75;Roch Vincent;**;10;55.5;6;47.0;-1;0.25;9.75

