3486-2016-07-10_Rigi_Schwing-_und_Aelplerfest-ST

1a;Sempach Matthias;***;;;;;;;;;58.5
7c;Linggi Bruno;**;;;;;;;;;56.5
+;;;Wyss Kilian;**;;;;;;;9.75
-;2;9.75;Gnägi Florian;***;4;57.25;2;9.75;0;0.0;8.75
+;6;18.5;Lang Sven (1998);*;13;55.0;6;18.5;0;0.0;9.75
o;6;28.25;Gapany Benjamin;**;8;56.25;6;28.25;0;0.0;8.75
+;10;37.0;Thomet Adrian;**;17;54.0;10;37.0;0;0.0;9.75
+;7;46.75;Weyermann Florian;*;10;55.75;6;47.0;-1;0.25;9.75

8a;Gapany Benjamin;**;;;;;;;;;56.25
+;;;Schuler Philipp;**;;;;;;;9.75
+;2;9.75;Imfeld Peter;***;29;34.25;4;8.75;2;-1.0;10.0
o;2;19.75;Anderegg Simon;***;2;58.0;2;19.75;0;0.0;8.5
+;6;28.25;Linggi Bruno;**;7;56.5;6;28.25;0;0.0;9.75
+;6;38.0;Müller Michael;**;10;55.75;9;37.25;3;-0.75;9.75
o;3;47.75;Sempach Thomas;***;3;57.5;3;47.75;0;0.0;8.5

9a;Schurtenberger Sven;**;;;;;;;;;56.0
-;;;Wenger Kilian;***;;;;;;;8.75
-;4;8.75;Moser Michael;**;11;55.5;2;9.75;-2;1.0;9.0
+;9;17.75;Bloch Dominic;**;20;53.0;10;17.5;1;-0.25;10.0
+;8;27.75;Aellen Florian;*;18;53.75;6;28.25;-2;0.5;10.0
+;7;37.75;Weyermann Florian;*;10;55.75;4;38.5;-3;0.75;9.75
o;4;47.5;Kämpf Bernhard;***;4;57.25;4;47.5;0;0.0;8.5

10a;Weyermann Florian;*;;;;;;;;;55.75
-;;;Gwerder Carlo;**;;;;;;;8.75
+;4;8.75;Küttel Pirmin;**;26;35.0;4;8.75;0;0.0;9.75
+;6;18.5;Imfeld Peter;***;29;34.25;11;17.25;5;-1.25;10.0
+;5;28.5;Reichmuth Armin;*;15;54.5;6;28.25;1;-0.25;10.0
o;4;38.5;Schurtenberger Sven;**;9;56.0;7;37.75;3;-0.75;8.5
o;6;47.0;Linggi Bruno;**;7;56.5;7;46.75;1;-0.25;8.75

10b;Müller Michael;**;;;;;;;;;55.75
-;;;Guisolan Marc;**;;;;;;;8.75
+;4;8.75;Amgarten Roman;*;30;34.0;5;8.5;1;-0.25;10.0
+;5;18.75;Niederberger Markus;*;18;53.75;7;18.25;2;-0.5;10.0
o;4;28.75;Sempach Thomas;***;3;57.5;3;29.0;-1;0.25;8.5
o;9;37.25;Gapany Benjamin;**;8;56.25;6;38.0;-3;0.75;8.5
+;10;45.75;Gottofrey Marc;**;17;54.0;11;45.5;1;-0.25;10.0

10c;Brun Jonas;**;;;;;;;;;55.75
-;;;Studer Stefan;**;;;;;;;8.75
+;4;8.75;Heinzer Stefan;*;31;26.0;3;9.0;-1;0.25;10.0
+;5;18.75;Rolli Martin;**;15;54.5;5;18.75;0;0.0;9.75
-;5;28.5;Roschi Ruedi;**;11;55.5;6;28.25;1;-0.25;8.75
o;9;37.25;Wenger Kilian;***;4;57.25;8;37.5;-1;0.25;8.5
+;10;45.75;Wyss Kilian;**;16;54.25;11;45.5;1;-0.25;10.0

11a;Moser Michael;**;;;;;;;;;55.5
+;;;Blaser Theo;*;;;;;;;9.75
-;2;9.75;Schurtenberger Sven;**;9;56.0;4;8.75;2;-1.0;8.75
+;6;18.5;Waser Reto;*;25;35.25;7;18.25;1;-0.25;10.0
o;5;28.5;Nötzli Reto;***;5;57.0;6;28.25;1;-0.25;8.5
-;10;37.0;Reichmuth Armin;*;15;54.5;11;36.75;1;-0.25;8.75
+;10;45.75;Schärli Pius;*;16;54.25;10;45.75;0;0.0;9.75

11b;Schelbert Ralf;**;;;;;;;;;55.5
-;;;Roch Vincent;**;;;;;;;9.0
+;3;9.0;Aellen Florian;*;18;53.75;1;10.0;-2;1.0;9.75
-;5;18.75;Gottofrey Marc;**;17;54.0;3;19.5;-2;0.75;8.75
o;9;27.5;Wenger Kilian;***;4;57.25;9;27.5;0;0.0;8.5
+;14;36.0;Overney Olivier;*;20;53.0;14;36.0;0;0.0;9.75
+;10;45.75;Schenk Patrick;**;14;54.75;9;46.0;-1;0.25;9.75

11c;Schuler Philipp;**;;;;;;;;;55.5
o;;;Gapany Benjamin;**;;;;;;;8.5
+;5;8.5;Overney Olivier;*;20;53.0;4;8.75;-1;0.25;9.75
+;7;18.25;Reusser Philipp;**;13;55.0;5;18.75;-2;0.5;10.0
+;6;28.25;Emonet Frédéric;*;19;53.5;7;28.0;1;-0.25;10.0
o;5;38.25;Sempach Matthias;***;1;58.5;3;38.75;-2;0.5;8.5
-;7;46.75;Vogel Remo;**;13;55.0;8;46.25;1;-0.5;8.75

11d;Roschi Ruedi;**;;;;;;;;;55.5
+;;;Gloggner Reto;**;;;;;;;9.75
+;2;9.75;Reichmuth Armin;*;15;54.5;1;10.0;-1;0.25;10.0
o;2;19.75;Sempach Matthias;***;1;58.5;1;20.0;-1;0.25;8.5
-;6;28.25;Brun Jonas;**;10;55.75;5;28.5;-1;0.25;8.75
+;10;37.0;Kennel Stefan;**;13;55.0;11;36.75;1;-0.25;10.0
o;6;47.0;Fankhauser Erich;***;4;57.25;5;47.25;-1;0.25;8.5

11e;Bürli Roger;**;;;;;;;;;55.5
+;;;Droxler Jonathan;**;;;;;;;9.75
-;2;9.75;Sempach Thomas;***;3;57.5;1;10.0;-1;0.25;8.75
o;6;18.5;Thomet Adrian;**;17;54.0;6;18.5;0;0.0;8.5
+;11;27.0;Waser Reto;*;25;35.25;12;26.75;1;-0.25;10.0
o;10;37.0;Grab Martin;***;12;55.25;11;36.75;1;-0.25;8.5
+;11;45.5;Roch Vincent;**;15;54.5;10;45.75;-1;0.25;10.0

11f;Gerber Christian;**;;;;;;;;;55.5
o;;;Kennel Stefan;**;;;;;;;8.5
+;5;8.5;Murer Andy;*;28;34.5;4;8.75;-1;0.25;10.0
+;6;18.5;Grab Martin;***;12;55.25;6;18.5;0;0.0;10.0
+;5;28.5;Kennel Beat;*;13;55.0;7;28.0;2;-0.5;10.0
o;4;38.5;Stucki Christian;***;4;57.25;4;38.5;0;0.0;8.5
o;6;47.0;Betschart Rainer;**;6;56.75;6;47.0;0;0.0;8.5

12a;Suppiger René;**;;;;;;;;;55.25
o;;;Gnägi Florian;***;;;;;;;8.5
-;5;8.5;Kämpf Alexander;**;26;35.0;4;8.75;-1;0.25;8.75
+;11;17.25;Baumann Roger;*;17;54.0;12;17.0;1;-0.25;9.75
+;11;27.0;Dind Samuel;**;24;35.5;11;27.0;0;0.0;10.0
+;10;37.0;Gottofrey Marc;**;17;54.0;10;37.0;0;0.0;9.75
o;7;46.75;Wenger Kilian;***;4;57.25;4;47.5;-3;0.75;8.5

12b;Steinauer Adrian;**;;;;;;;;;55.25
o;;;Anderegg Simon;***;;;;;;;8.5
o;5;8.5;Gottofrey Marc;**;17;54.0;2;9.75;-3;1.25;8.5
+;12;17.0;Odermatt Andreas;*;27;34.75;10;17.5;-2;0.5;10.0
+;11;27.0;Wyss Kilian;**;16;54.25;10;27.25;-1;0.25;10.0
+;10;37.0;Wüthrich Niklaus;**;12;55.25;10;37.0;0;0.0;9.75
o;7;46.75;Gnägi Florian;***;4;57.25;4;47.5;-3;0.75;8.5

12c;Felder Seppi;*;;;;;;;;;55.25
-;;;Arnold Raphael;*;;;;;;;8.75
+;4;8.75;Guisolan Marc;**;17;54.0;4;8.75;0;0.0;10.0
o;5;18.75;Aeschbacher Matthias;**;6;56.75;5;18.75;0;0.0;8.5
+;10;27.25;Steffen Gustav;*;12;55.25;6;28.25;-4;1.0;9.75
+;10;37.0;Emonet Frédéric;*;19;53.5;12;36.5;2;-0.5;9.75
o;7;46.75;Schuler Alex;**;7;56.5;7;46.75;0;0.0;8.5

12d;Grab Martin;***;;;;;;;;;55.25
o;;;Sempach Matthias;***;;;;;;;8.5
+;5;8.5;Dind Samuel;**;24;35.5;2;9.75;-3;1.25;10.0
o;6;18.5;Gerber Christian;**;11;55.5;6;18.5;0;0.0;8.5
+;11;27.0;Droxler Jonathan;**;18;53.75;11;27.0;0;0.0;9.75
+;11;36.75;Bürli Roger;**;11;55.5;10;37.0;-1;0.25;10.0
o;7;46.75;Aeschbacher Matthias;**;6;56.75;6;47.0;-1;0.25;8.5

12e;Rohrer Ivan;**;;;;;;;;;55.25
-;;;Rolli Martin;**;;;;;;;8.75
+;4;8.75;Glauser Thomas;**;28;34.5;4;8.75;0;0.0;9.75
o;6;18.5;Sempach Thomas;***;3;57.5;4;19.0;-2;0.5;8.5
+;11;27.0;Studer Stefan;**;27;34.75;13;26.25;2;-0.75;9.75
+;11;36.75;Reusser Philipp;**;13;55.0;12;36.5;1;-0.25;10.0
o;7;46.75;Käser Remo;**;7;56.5;7;46.75;0;0.0;8.5

12f;Wüthrich Niklaus;**;;;;;;;;;55.25
+;;;Schärli Pius;*;;;;;;;9.75
-;2;9.75;Gloggner Philipp;***;31;26.0;5;8.5;3;-1.25;8.75
o;6;18.5;Kennel Beat;*;13;55.0;7;18.25;1;-0.25;8.5
+;11;27.0;Arnold Raphael;*;18;53.75;11;27.0;0;0.0;10.0
o;10;37.0;Steinauer Adrian;**;12;55.25;10;37.0;0;0.0;8.5
+;11;45.5;Heiniger Marco;*;16;54.25;11;45.5;0;0.0;9.75

12g;Steffen Gustav;*;;;;;;;;;55.25
o;;;Wyrsch Marco;*;;;;;;;8.5
+;5;8.5;Hess Dominik;*;22;52.25;5;8.5;0;0.0;9.75
+;7;18.25;Gloggner Philipp;***;31;26.0;11;17.25;4;-1.0;10.0
o;6;28.25;Felder Seppi;*;12;55.25;10;27.25;4;-1.0;8.5
o;11;36.75;Vogel Remo;**;13;55.0;13;36.25;2;-0.5;8.5
+;12;45.25;Bieri Christian;**;19;53.5;13;45.0;1;-0.25;10.0

13a;Kennel Beat;*;;;;;;;;;55.0
+;;;Haenni Stéphane;**;;;;;;;9.75
o;2;9.75;Stucki Christian;***;4;57.25;1;10.0;-1;0.25;8.5
+;7;18.25;Wüthrich Niklaus;**;12;55.25;6;18.5;-1;0.25;9.75
o;7;28.0;Gerber Christian;**;11;55.5;5;28.5;-2;0.5;8.5
o;12;36.5;Nydegger Michael;***;15;54.5;14;36.0;2;-0.5;8.5
+;13;45.0;Emonet Frédéric;*;19;53.5;13;45.0;0;0.0;10.0

13b;Reusser Philipp;**;;;;;;;;;55.0
-;;;Zimmermann Martin;**;;;;;;;9.0
+;3;9.0;Arnold Raphael;*;18;53.75;4;8.75;1;-0.25;9.75
o;5;18.75;Schuler Philipp;**;11;55.5;7;18.25;2;-0.5;8.75
-;9;27.5;Bieri Christian;**;19;53.5;11;27.0;2;-0.5;9.0
o;12;36.5;Rohrer Ivan;**;12;55.25;11;36.75;-1;0.25;8.5
+;13;45.0;Baumann Roger;*;17;54.0;12;45.25;-1;0.25;10.0

13c;Vogel Remo;**;;;;;;;;;55.0
-;;;Schenk Patrick;**;;;;;;;8.75
-;4;8.75;Bloch Dominic;**;20;53.0;4;8.75;0;0.0;8.75
+;10;17.5;Heinzer Stefan;*;31;26.0;10;17.5;0;0.0;10.0
-;9;27.5;Nydegger Michael;***;15;54.5;11;27.0;2;-0.5;8.75
+;13;36.25;Steffen Gustav;*;12;55.25;11;36.75;-2;0.5;10.0
-;8;46.25;Schuler Philipp;**;11;55.5;7;46.75;-1;0.5;8.75

13d;Kennel Stefan;**;;;;;;;;;55.0
+;;;Gerber Christian;**;;;;;;;10.0
o;1;10.0;Anderegg Simon;***;2;58.0;1;10.0;0;0.0;8.5
+;6;18.5;Borcard Johann;**;19;53.5;5;18.75;-1;0.25;9.75
o;6;28.25;Käser Remo;**;7;56.5;6;28.25;0;0.0;8.5
o;11;36.75;Roschi Ruedi;**;11;55.5;10;37.0;-1;0.25;8.5
+;12;45.25;Thomet Adrian;**;17;54.0;11;45.5;-1;0.25;9.75

13e;Lang Sven (1998);*;;;;;;;;;55.0
+;;;Baumann Roger;*;;;;;;;9.75
-;2;9.75;Wampfler Beat;***;15;54.5;4;8.75;2;-1.0;8.75
o;6;18.5;Linggi Bruno;**;7;56.5;6;18.5;0;0.0;8.5
+;11;27.0;Roch Vincent;**;15;54.5;9;27.5;-2;0.5;9.75
o;11;36.75;Aeschbacher Matthias;**;6;56.75;9;37.25;-2;0.5;8.5
+;12;45.25;Aellen Florian;*;18;53.75;12;45.25;0;0.0;9.75

14a;Schenk Patrick;**;;;;;;;;;54.75
-;;;Vogel Remo;**;;;;;;;8.75
o;4;8.75;Schuler Alex;**;7;56.5;5;8.5;1;-0.25;8.5
-;11;17.25;Dober Adrian;**;27;34.75;10;17.5;-1;0.25;8.75
+;14;26.0;Imfeld Peter;***;29;34.25;15;25.75;1;-0.25;10.0
+;14;36.0;Kälin Remo;*;21;52.75;15;35.75;1;-0.25;10.0
o;9;46.0;Schelbert Ralf;**;11;55.5;10;45.75;1;-0.25;8.75

15a;Nydegger Michael;***;;;;;;;;;54.5
o;;;Betschart Rainer;**;;;;;;;8.5
+;5;8.5;Bürgler Lukas;*;25;35.25;2;9.75;-3;1.25;10.0
o;6;18.5;Nötzli Reto;***;5;57.0;6;18.5;0;0.0;8.5
-;11;27.0;Vogel Remo;**;13;55.0;9;27.5;-2;0.5;9.0
+;14;36.0;Kennel Beat;*;13;55.0;12;36.5;-2;0.5;9.75
-;10;45.75;Wampfler Beat;***;15;54.5;10;45.75;0;0.0;8.75

15b;Wampfler Beat;***;;;;;;;;;54.5
-;;;Imfeld Peter;***;;;;;;;8.75
-;4;8.75;Lang Sven (1998);*;13;55.0;2;9.75;-2;1.0;8.75
-;10;17.5;Kempf Elias;**;15;54.5;10;17.5;0;0.0;8.75
+;13;26.25;Wyrsch Marco;*;17;54.0;12;26.75;-1;0.5;9.75
+;14;36.0;Hurschler Thomas;**;23;44.25;15;35.75;1;-0.25;9.75
-;10;45.75;Nydegger Michael;***;15;54.5;10;45.75;0;0.0;8.75

15c;Roch Vincent;**;;;;;;;;;54.5
-;;;Schelbert Ralf;**;;;;;;;9.0
+;3;9.0;Heiniger Marco;*;16;54.25;4;8.75;1;-0.25;10.0
o;4;19.0;Fankhauser Erich;***;4;57.25;5;18.75;1;-0.25;8.5
o;9;27.5;Lang Sven (1998);*;13;55.0;11;27.0;2;-0.5;8.5
+;14;36.0;Kempf Elias;**;15;54.5;14;36.0;0;0.0;9.75
o;10;45.75;Bürli Roger;**;11;55.5;11;45.5;1;-0.25;8.75

15d;Rolli Martin;**;;;;;;;;;54.5
-;;;Rohrer Ivan;**;;;;;;;8.75
+;4;8.75;Waser Dominik;**;16;54.25;4;8.75;0;0.0;10.0
o;5;18.75;Brun Jonas;**;10;55.75;5;18.75;0;0.0;8.5
+;10;27.25;Gwerder Dario;**;16;54.25;11;27.0;1;-0.25;9.75
o;10;37.0;Fankhauser Erich;***;4;57.25;9;37.25;-1;0.25;8.5
-;11;45.5;Reichmuth Armin;*;15;54.5;11;45.5;0;0.0;9.0

15e;Kempf Elias;**;;;;;;;;;54.5
-;;;Glauser Thomas;**;;;;;;;8.75
-;4;8.75;Brodard Augustin;**;27;34.75;4;8.75;0;0.0;8.75
-;10;17.5;Wampfler Beat;***;15;54.5;10;17.5;0;0.0;8.75
+;13;26.25;Bürgler Lukas;*;25;35.25;12;26.75;-1;0.5;9.75
o;14;36.0;Roch Vincent;**;15;54.5;14;36.0;0;0.0;8.5
+;14;44.5;Borcard Johann;**;19;53.5;13;45.0;-1;0.5;10.0

15f;Reichmuth Armin;*;;;;;;;;;54.5
+;;;Mosimann Vincent;*;;;;;;;10.0
o;1;10.0;Roschi Ruedi;**;11;55.5;2;9.75;1;-0.25;8.5
+;6;18.5;Wyrsch Marco;*;17;54.0;7;18.25;1;-0.25;9.75
o;6;28.25;Weyermann Florian;*;10;55.75;5;28.5;-1;0.25;8.5
-;11;36.75;Moser Michael;**;11;55.5;10;37.0;-1;0.25;8.75
-;11;45.5;Rolli Martin;**;15;54.5;11;45.5;0;0.0;9.0

16a;Gwerder Dario;**;;;;;;;;;54.25
o;;;Gottofrey Marc;**;;;;;;;8.75
+;4;8.75;Droxler Jonathan;**;18;53.75;5;8.5;1;-0.25;9.75
o;6;18.5;Gnägi Florian;***;4;57.25;5;18.75;-1;0.25;8.5
o;11;27.0;Rolli Martin;**;15;54.5;10;27.25;-1;0.25;8.5
+;16;35.5;Hess Dominik;*;22;52.25;17;35.25;1;-0.25;10.0
-;11;45.5;Guisolan Marc;**;17;54.0;12;45.25;1;-0.25;8.75

16b;Heiniger Marco;*;;;;;;;;;54.25
-;;;Overney Olivier;*;;;;;;;8.75
o;4;8.75;Roch Vincent;**;15;54.5;3;9.0;-1;0.25;8.5
+;11;17.25;Lerch Jimmy;*;30;34.0;12;17.0;1;-0.25;9.75
o;11;27.0;Guisolan Marc;**;17;54.0;11;27.0;0;0.0;8.5
+;16;35.5;Niederberger Markus;*;18;53.75;17;35.25;1;-0.25;10.0
o;11;45.5;Wüthrich Niklaus;**;12;55.25;11;45.5;0;0.0;8.75

16c;Schärli Pius;*;;;;;;;;;54.25
o;;;Wüthrich Niklaus;**;;;;;;;8.5
+;5;8.5;Lerch Jimmy;*;30;34.0;5;8.5;0;0.0;10.0
-;6;18.5;Dind Samuel;**;24;35.5;7;18.25;1;-0.25;8.75
-;10;27.25;Gottofrey Marc;**;17;54.0;6;28.25;-4;1.0;8.75
+;14;36.0;Bloch Dominic;**;20;53.0;14;36.0;0;0.0;9.75
o;10;45.75;Moser Michael;**;11;55.5;10;45.75;0;0.0;8.5

16d;Waser Dominik;**;;;;;;;;;54.25
-;;;Aeschbacher Matthias;**;;;;;;;8.75
o;4;8.75;Rolli Martin;**;15;54.5;4;8.75;0;0.0;8.5
-;11;17.25;Zimmermann Martin;**;24;35.5;8;18.0;-3;0.75;8.75
+;14;26.0;Haenni Stéphane;**;27;34.75;13;26.25;-1;0.25;9.75
-;15;35.75;Brodard Augustin;**;27;34.75;19;34.75;4;-1.0;8.75
+;14;44.5;Droxler Jonathan;**;18;53.75;16;44.0;2;-0.5;9.75

16e;Wyss Kilian;**;;;;;;;;;54.25
o;;;Linggi Bruno;**;;;;;;;8.5
-;5;8.5;Bieri Christian;**;19;53.5;5;8.5;0;0.0;8.75
+;11;17.25;Blaser Theo;*;16;54.25;11;17.25;0;0.0;10.0
o;10;27.25;Steinauer Adrian;**;12;55.25;11;27.0;1;-0.25;8.5
+;15;35.75;Arnold Raphael;*;18;53.75;16;35.5;1;-0.25;9.75
o;11;45.5;Brun Jonas;**;10;55.75;10;45.75;-1;0.25;8.75

16f;Blaser Theo;*;;;;;;;;;54.25
o;;;Moser Michael;**;;;;;;;8.5
-;5;8.5;Haenni Stéphane;**;27;34.75;4;8.75;-1;0.25;8.75
o;11;17.25;Wyss Kilian;**;16;54.25;11;17.25;0;0.0;8.5
+;15;25.75;Glauser Thomas;**;28;34.5;15;25.75;0;0.0;9.75
-;16;35.5;Wyrsch Marco;*;17;54.0;17;35.25;1;-0.25;8.75
+;15;44.25;Bloch Dominic;**;20;53.0;14;44.5;-1;0.25;10.0

17a;Guisolan Marc;**;;;;;;;;;54.0
-;;;Müller Michael;**;;;;;;;8.75
o;4;8.75;Felder Seppi;*;12;55.25;4;8.75;0;0.0;8.5
+;11;17.25;Amgarten Roman;*;30;34.0;12;17.0;1;-0.25;9.75
+;11;27.0;Heiniger Marco;*;16;54.25;11;27.0;0;0.0;9.75
o;11;36.75;Schuler Alex;**;7;56.5;10;37.0;-1;0.25;8.5
-;12;45.25;Gwerder Dario;**;16;54.25;11;45.5;-1;0.25;8.75

17b;Thomet Adrian;**;;;;;;;;;54.0
+;;;Hurschler Thomas;**;;;;;;;10.0
o;1;10.0;Nötzli Reto;***;5;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Bürli Roger;**;11;55.5;6;18.5;0;0.0;10.0
o;5;28.5;Kämpf Bernhard;***;4;57.25;3;29.0;-2;0.5;8.5
o;10;37.0;Linggi Bruno;**;7;56.5;10;37.0;0;0.0;8.5
o;11;45.5;Kennel Stefan;**;13;55.0;12;45.25;1;-0.25;8.5

17c;Baumann Roger;*;;;;;;;;;54.0
o;;;Lang Sven (1998);*;;;;;;;8.5
o;5;8.5;Droxler Jonathan;**;18;53.75;5;8.5;0;0.0;8.5
o;12;17.0;Suppiger René;**;12;55.25;11;17.25;-1;0.25;8.5
+;16;25.5;Lerch Jimmy;*;30;34.0;16;25.5;0;0.0;9.75
+;17;35.25;Mosimann Vincent;*;22;52.25;17;35.25;0;0.0;10.0
o;12;45.25;Reusser Philipp;**;13;55.0;13;45.0;1;-0.25;8.75

17d;Gottofrey Marc;**;;;;;;;;;54.0
+;;;Gwerder Dario;**;;;;;;;9.75
