5141-2022-05-29_107_St_Galler_Kantonalschwingfest-ST

1a;Koller Silvan;*;;;;;;;;;108.75
+;4;9.0;Schiess Daniel;;19;54.0;3;9.75;-1;0.75;9.75
+;6;18.75;Siegenthaler Joël;;17;54.5;5;19.0;-1;0.25;10.0
+;5;28.75;Fuster Sepp;*;12;55.75;6;28.5;1;-0.25;9.75
o;5;38.5;Schneider Domenic;***;8;56.75;11;37.0;6;-1.5;8.5
+;9;47.0;Signer Tobias (2004);;13;55.5;9;47.0;0;0.0;10.0

8a;Niederer Andreas;;;;;;;;;;56.75
+;;;Inauen Ivo;;;;;;;;10.0
+;2;10.0;Brügger Stefan;*;15;55.0;5;8.75;3;-1.25;10.0
o;2;20.0;Wittenwiler Roman;*;10;56.25;6;18.75;4;-1.25;8.5
+;6;28.5;Bachmann Janos (2004);;14;55.25;7;28.25;1;-0.25;10.0
o;5;38.5;Oettli Silvio;**;9;56.5;8;37.75;3;-0.75;8.5
+;9;47.0;Schegg Daniel;;15;55.0;11;46.5;2;-0.5;9.75

8b;Schmid Patrick;*;;;;;;;;;56.75
+;;;Baumann Rico;*;;;;;;;9.75
+;3;9.75;Ziegler Andreas;;15;55.0;3;9.75;0;0.0;9.75
o;4;19.5;Riget Florian;**;6;57.25;5;19.0;1;-0.5;8.75
+;7;28.25;Burch Dean;*;8;56.75;5;28.75;-2;0.5;10.0
o;6;38.25;Good Marco;**;5;57.5;9;37.5;3;-0.75;8.75
+;9;47.0;Baumgartner Ramon;**;11;56.0;7;47.5;-2;0.5;9.75

8c;Egli Martin;;;;;;;;;;56.75
+;;;Manser Adrian;;;;;;;;10.0
+;2;10.0;Jörger Corsin;*;16;54.75;5;8.75;3;-1.25;10.0
o;2;20.0;Ackermann Remo;*;14;55.25;7;18.5;5;-1.5;8.5
+;6;28.5;Odermatt Michi;;19;54.0;7;28.25;1;-0.25;9.75
-;6;38.25;Burkhalter Stefan;***;13;55.5;11;37.0;5;-1.25;8.75
+;9;47.0;Lacher Tobias (2005);;14;55.25;10;46.75;1;-0.25;9.75

8d;Kurmann Patrick;;;;;;;;;;56.75
+;;;Rüegg Patrick;;;;;;;;9.75
+;3;9.75;Winzeler Simon;*;15;55.0;3;9.75;0;0.0;9.75
-;4;19.5;Schäppi Urs;*;13;55.5;7;18.5;3;-1.0;8.75
+;7;28.25;Giger Lorenz;;16;54.75;8;28.0;1;-0.25;9.75
-;7;38.0;Gerber Andrj;*;17;54.5;10;37.25;3;-0.75;8.75
+;10;46.75;Ziegler Andreas;;15;55.0;11;46.5;1;-0.25;10.0

8e;Heierli Pascal;**;;;;;;;;;56.75
+;;;Jörger Corsin;*;;;;;;;10.0
o;2;10.0;Burkhalter Stefan;***;13;55.5;5;8.75;3;-1.25;8.5
+;7;18.5;Zollinger Silvan (2004);;26;35.75;7;18.5;0;0.0;9.75
+;7;28.25;Schwyn Patrick;;13;55.5;7;28.25;0;0.0;10.0
+;6;38.25;Schläpfer Markus;**;8;56.75;7;38.0;1;-0.25;10.0
o;4;48.25;Schneider Domenic;***;8;56.75;9;47.0;5;-1.25;8.5

8f;Signer Andy;*;;;;;;;;;56.75
+;;;Schnurrenberger Roman;**;;;;;;;9.75
+;3;9.75;Fuster Sepp;*;12;55.75;3;9.75;0;0.0;10.0
o;3;19.75;Schneider Domenic;***;8;56.75;7;18.5;4;-1.25;8.5
+;7;28.25;Galli Cedric;;17;54.5;7;28.25;0;0.0;9.75
-;7;38.0;Lehmann Philipp;*;9;56.5;9;37.5;2;-0.5;9.0
+;9;47.0;Bürgler Patrick;*;14;55.25;10;46.75;1;-0.25;9.75

8g;Mannhart Jan;;;;;;;;;;56.75
+;;;Scherrer Pascal;;;;;;;;10.0
+;2;10.0;Inauen Andreas;*;14;55.25;5;8.75;3;-1.25;10.0
+;2;20.0;Bickel Roman;*;19;54.0;6;18.75;4;-1.25;9.75
o;2;29.75;Koch Reto;*;4;57.75;6;28.5;4;-1.25;8.5
o;6;38.25;Kolb This;**;8;56.75;11;37.0;5;-1.25;8.75
+;9;47.0;Widmer Fadri (2005);;14;55.25;10;46.75;1;-0.25;9.75

8h;Wetter Silvan;*;;;;;;;;;56.75
+;;;Inauen Andreas;*;;;;;;;9.75
+;3;9.75;Hochholdinger Roman;**;8;56.75;6;8.5;3;-1.25;9.75
o;4;19.5;Burkhalter Stefan;***;13;55.5;7;18.5;3;-1.0;8.5
+;8;28.0;Fuster Arjuna;;16;54.75;9;27.5;1;-0.5;10.0
+;7;38.0;Kobler Janosch;*;12;55.75;11;37.0;4;-1.0;10.0
-;5;48.0;Wittenwiler Roman;*;10;56.25;8;47.25;3;-0.75;8.75

8i;Hochholdinger Roman;**;;;;;;;;;56.75
o;;;Forrer Arnold;***;;;;;;;8.5
o;6;8.5;Wetter Silvan;*;8;56.75;3;9.75;-3;1.25;8.5
+;12;17.0;Oettli Reto (2005);;18;54.25;8;18.25;-4;1.25;10.0
+;11;27.0;Aepli Dean (2005);;25;52.5;11;27.0;0;0.0;10.0
+;11;37.0;Elmer Adrian;*;14;55.25;7;38.0;-4;1.0;9.75
+;10;46.75;Fausch Kjetil;*;13;55.5;9;47.0;-1;0.25;10.0

8j;Schneider Domenic;***;;;;;;;;;56.75
o;;;Schlegel Werner;**;;;;;;;8.5
+;6;8.5;Bärtsch Fabian;*;9;56.5;3;9.75;-3;1.25;10.0
+;7;18.5;Signer Andy;*;8;56.75;3;19.75;-4;1.25;9.75
o;7;28.25;Gmür Pirmin;**;8;56.75;6;28.5;-1;0.25;8.75
+;11;37.0;Mettler Valentin;*;7;57.0;5;38.5;-6;1.5;10.0
+;9;47.0;Heierli Pascal;**;8;56.75;4;48.25;-5;1.25;9.75

8k;Bleiker Ueli (2004);;;;;;;;;;56.75
+;;;Bürge Gian (2005);;;;;;;;9.75
+;3;9.75;Furrer Damian;;28;35.25;3;9.75;0;0.0;10.0
o;3;19.75;Schwyn Adrian;*;14;55.25;7;18.5;4;-1.25;8.5
o;7;28.25;Winzeler Simon;*;15;55.0;11;27.0;4;-1.25;8.75
+;11;37.0;Steiner Lukas;;16;54.75;11;37.0;0;0.0;9.75
+;10;46.75;Raschle Urban;;12;55.75;8;47.25;-2;0.5;10.0

8l;Gmür Pirmin;**;;;;;;;;;56.75
-;;;Oettli Marco;**;;;;;;;8.75
+;5;8.75;Keller Werner;*;18;54.25;5;8.75;0;0.0;10.0
+;6;18.75;Giger Lorenz;;16;54.75;4;19.5;-2;0.75;9.75
+;6;28.5;Schneider Domenic;***;8;56.75;7;28.25;1;-0.25;10.0
o;5;38.5;Leuppi Samir;***;3;58.25;3;39.5;-2;1.0;8.5
+;9;47.0;Fuster Sepp;*;12;55.75;9;47.0;0;0.0;9.75

8m;Burch Dean;*;;;;;;;;;56.75
-;;;Keller Werner;*;;;;;;;8.75
+;5;8.75;Lenherr Jonas (2005);;12;55.75;2;10.0;-3;1.25;10.0
+;6;18.75;Müller Josias (2006);;13;55.5;6;18.75;0;0.0;10.0
o;5;28.75;Schmid Patrick;*;8;56.75;7;28.25;2;-0.5;8.5
+;10;37.25;Elmer Daniel;*;10;56.25;9;37.5;-1;0.25;9.75
+;9;47.0;Elmer Adrian;*;14;55.25;11;46.5;2;-0.5;9.75

8n;Kolb This;**;;;;;;;;;56.75
+;;;Fausch Kjetil;*;;;;;;;9.75
-;3;9.75;Rüegg Fabian;*;7;57.0;3;9.75;0;0.0;8.75
+;7;18.5;Räbsamen Marcel;**;6;57.25;6;18.75;-1;0.25;9.75
-;7;28.25;Bernold Michael;*;11;56.0;6;28.5;-1;0.25;8.75
+;11;37.0;Mannhart Jan;;8;56.75;6;38.25;-5;1.25;9.75
+;10;46.75;Bärtsch Fabian;*;9;56.5;6;47.75;-4;1.0;10.0

8o;Schläpfer Markus;**;;;;;;;;;56.75
+;;;Bernold Edi;**;;;;;;;9.75
+;3;9.75;Lüthi Manuel;*;14;55.25;3;9.75;0;0.0;9.75
o;4;19.5;Schlegel Werner;**;2;58.5;3;19.75;-1;0.25;8.5
+;8;28.0;Schönenberger Tobias (2004);;7;57.0;5;28.75;-3;0.75;10.0
o;7;38.0;Heierli Pascal;**;8;56.75;6;38.25;-1;0.25;8.75
+;10;46.75;Roth Sämi;;14;55.25;10;46.75;0;0.0;10.0

9a;Forrer Arnold;***;;;;;;;;;56.5
+;;;Hochholdinger Roman;**;;;;;;;9.75
+;3;9.75;Voggensperger Janic;**;10;56.25;3;9.75;0;0.0;9.75
o;4;19.5;Leuppi Samir;***;3;58.25;4;19.5;0;0.0;8.5
-;8;28.0;Ackermann Remo;*;14;55.25;7;28.25;-1;0.25;8.75
+;12;36.75;Schäppi Urs;*;13;55.5;10;37.25;-2;0.5;9.75
+;11;46.5;Winzeler Simon;*;15;55.0;11;46.5;0;0.0;10.0

9b;Lehmann Philipp;*;;;;;;;;;56.5
+;;;Kobler Janosch;*;;;;;;;10.0
-;2;10.0;Ulmann Fabian;*;15;55.0;2;10.0;0;0.0;9.0
+;5;19.0;Gerig Marcel;;13;55.5;3;19.75;-2;0.75;10.0
o;4;29.0;Ott Damian;**;3;58.25;7;28.25;3;-0.75;8.5
-;9;37.5;Signer Andy;*;8;56.75;7;38.0;-2;0.5;9.0
+;11;46.5;Burkhalter Thomas;*;16;54.75;12;46.25;1;-0.25;10.0

9c;Oettli Marco;**;;;;;;;;;56.5
-;;;Gmür Pirmin;**;;;;;;;8.75
+;5;8.75;Schmid Gian;;12;55.75;2;10.0;-3;1.25;9.75
+;7;18.5;Scherrer Willi;;18;54.25;7;18.5;0;0.0;10.0
o;6;28.5;Schlegel Werner;**;2;58.5;2;29.75;-4;1.25;8.5
+;11;37.0;Wild Thomas;*;13;55.5;11;37.0;0;0.0;9.75
+;10;46.75;Schnurrenberger Roman;**;12;55.75;9;47.0;-1;0.25;9.75

9d;Oettli Silvio;**;;;;;;;;;56.5
+;;;Bernold Michael;*;;;;;;;9.75
o;3;9.75;Schlegel Werner;**;2;58.5;3;9.75;0;0.0;8.5
+;8;18.25;Elmer Daniel;*;10;56.25;5;19.0;-3;0.75;9.75
+;8;28.0;Lenherr Jonas (2005);;12;55.75;6;28.5;-2;0.5;9.75
+;8;37.75;Niederer Andreas;;8;56.75;5;38.5;-3;0.75;9.75
-;7;47.5;Rüegg Fabian;*;7;57.0;5;48.0;-2;0.5;9.0

9e;Bärtsch Fabian;*;;;;;;;;;56.5
+;;;Ackermann Remo;*;;;;;;;9.75
o;3;9.75;Schneider Domenic;***;8;56.75;6;8.5;3;-1.25;8.5
+;8;18.25;Wagner Andreas;;16;54.75;6;18.75;-2;0.5;9.75
+;8;28.0;Nussbaumer Gabriel;;19;54.0;7;28.25;-1;0.25;10.0
+;7;38.0;Wey Nicola;*;12;55.75;9;37.5;2;-0.5;9.75
o;6;47.75;Kolb This;**;8;56.75;10;46.75;4;-1.0;8.75

10a;Geisser Lars;**;;;;;;;;;56.25
o;;;Voggensperger Janic;**;;;;;;;8.5
+;6;8.5;Brülisauer Dominik;;13;55.5;3;9.75;-3;1.25;9.75
+;8;18.25;Steiner Lukas;;16;54.75;6;18.75;-2;0.5;9.75
+;8;28.0;Bickel Roman;*;19;54.0;10;27.25;2;-0.75;9.75
+;8;37.75;Schwyn Adrian;*;14;55.25;6;38.25;-2;0.5;10.0
o;6;47.75;Koch Reto;*;4;57.75;5;48.0;-1;0.25;8.5

10b;Roth Martin;***;;;;;;;;;56.25
-;;;Riget Florian;**;;;;;;;9.0
o;4;9.0;Bollhalder Manuel;*;7;57.0;2;10.0;-2;1.0;8.5
o;10;17.5;Baumann Rico;*;6;57.25;6;18.75;-4;1.25;8.75
+;13;26.25;Stadelmann Lukas (2004);;18;54.25;10;27.25;-3;1.0;10.0
+;14;36.25;Brügger Stefan;*;15;55.0;14;36.25;0;0.0;10.0
+;12;46.25;Walser Simon (2004);;14;55.25;10;46.75;-2;0.5;10.0

10c;Elmer Daniel;*;;;;;;;;;56.25
-;;;Burkhalter Thomas;*;;;;;;;9.0
+;4;9.0;Galli Cedric;;17;54.5;2;10.0;-2;1.0;10.0
o;5;19.0;Oettli Silvio;**;9;56.5;8;18.25;3;-0.75;8.5
+;9;27.5;Stadelmann Patrick;;10;56.25;8;28.0;-1;0.5;10.0
o;9;37.5;Burch Dean;*;8;56.75;10;37.25;1;-0.25;8.75
+;12;46.25;Gerber Andrj;*;17;54.5;13;46.0;1;-0.25;10.0

10d;Rüegg Patrick;;;;;;;;;;56.25
o;;;Kurmann Patrick;;;;;;;;8.5
+;6;8.5;Flütsch Marco;;14;55.25;6;8.5;0;0.0;9.75
+;8;18.25;Roth Michael;;14;55.25;8;18.25;0;0.0;9.75
o;8;28.0;Bernold Edi;**;13;55.5;10;27.25;2;-0.75;8.5
+;13;36.5;Pﬁster Florian;*;18;54.25;15;36.0;2;-0.5;10.0
+;11;46.5;Lüthi Manuel;*;14;55.25;10;46.75;-1;0.25;9.75

10e;Stadelmann Patrick;;;;;;;;;;56.25
+;;;Meier Adrian (2005);;;;;;;;9.75
o;3;9.75;Wey Nicola;*;12;55.75;6;8.5;3;-1.25;8.5
+;8;18.25;Keller Cedric;;19;54.0;8;18.25;0;0.0;9.75
o;8;28.0;Elmer Daniel;*;10;56.25;9;27.5;1;-0.5;8.5
+;13;36.5;Ritter Sirin (2005);;21;53.5;13;36.5;0;0.0;10.0
+;11;46.5;Keller Werner;*;18;54.25;15;45.5;4;-1.0;9.75

10f;Voggensperger Janic;**;;;;;;;;;56.25
+;;;Geisser Lars;**;;;;;;;9.75
o;3;9.75;Forrer Arnold;***;9;56.5;3;9.75;0;0.0;8.5
+;8;18.25;Pﬁster Florian;*;18;54.25;6;18.75;-2;0.5;10.0
+;7;28.25;Ulmann Fabian;*;15;55.0;4;29.0;-3;0.75;9.75
+;7;38.0;Baumann Rico;*;6;57.25;4;38.75;-3;0.75;9.75
o;6;47.75;Ott Damian;**;3;58.25;4;48.25;-2;0.5;8.5

10g;Wittenwiler Roman;*;;;;;;;;;56.25
-;;;Baumgartner Ramon;**;;;;;;;8.75
+;5;8.75;Schegg Daniel;;15;55.0;3;9.75;-2;1.0;10.0
+;6;18.75;Niederer Andreas;;8;56.75;2;20.0;-4;1.25;10.0
o;5;28.75;Leuppi Samir;***;3;58.25;3;29.5;-2;0.75;8.5
+;10;37.25;Schmid Gian;;12;55.75;10;37.25;0;0.0;10.0
-;8;47.25;Wetter Silvan;*;8;56.75;5;48.0;-3;0.75;9.0

11a;Keller Manuel;*;;;;;;;;;56.0
o;;;Bollhalder Manuel;*;;;;;;;8.5
+;6;8.5;Tschumper Elias (2005);;20;53.75;3;9.75;-3;1.25;10.0
-;7;18.5;Good Marco;**;5;57.5;7;18.5;0;0.0;8.75
-;10;27.25;Bischof Martin;;17;54.5;7;28.25;-3;1.0;8.75
+;15;36.0;Krucker Silvan;;21;53.5;13;36.5;-2;0.5;10.0
+;13;46.0;Albrecht Quirin (2006);;16;54.75;12;46.25;-1;0.25;10.0

11b;Bernold Michael;*;;;;;;;;;56.0
o;;;Oettli Silvio;**;;;;;;;8.75
+;5;8.75;Niederberger Marc Ursin;;17;54.5;2;10.0;-3;1.25;10.0
+;6;18.75;Odermatt Michi;;19;54.0;3;19.75;-3;1.0;9.75
-;6;28.5;Kolb This;**;8;56.75;7;28.25;1;-0.25;8.75
+;10;37.25;Giger Florian;;13;55.5;11;37.0;1;-0.25;10.0
o;8;47.25;Jörger Marc;*;7;57.0;9;47.0;1;-0.25;8.75

11c;Baumgartner Ramon;**;;;;;;;;;56.0
-;;;Wittenwiler Roman;*;;;;;;;8.75
+;5;8.75;Keller Dominic;;27;35.5;3;9.75;-2;1.0;9.75
-;7;18.5;Wey Nicola;*;12;55.75;7;18.5;0;0.0;9.0
+;9;27.5;Gasenzer Christian (2004);;18;54.25;7;28.25;-2;0.75;10.0
+;9;37.5;Niederberger Marc Ursin;;17;54.5;11;37.0;2;-0.5;10.0
o;7;47.5;Schmid Patrick;*;8;56.75;9;47.0;2;-0.5;8.5

12a;Thiemann Fabrice;;;;;;;;;;55.75
+;;;Raymann Jan;;;;;;;;10.0
o;2;10.0;Bernold Edi;**;13;55.5;6;8.5;4;-1.5;8.5
+;7;18.5;Koller Silvan;;1;108.75;1;35.75;-6;17.25;10.0
o;6;28.5;Bollhalder Manuel;*;7;57.0;6;28.5;0;0.0;8.75
+;10;37.25;Ulmann Fabian;*;15;55.0;8;37.75;-2;0.5;10.0
o;8;47.25;Riget Florian;**;6;57.25;7;47.5;-1;0.25;8.5

12b;Schmid Gian;;;;;;;;;;55.75
+;;;Flütsch Marco;;;;;;;;10.0
o;2;10.0;Oettli Marco;**;9;56.5;5;8.75;3;-1.25;8.5
-;7;18.5;Keller Dominic;;27;35.5;8;18.25;1;-0.25;9.0
+;9;27.5;Diem Hansruedi;;17;54.5;10;27.25;1;-0.25;9.75
o;10;37.25;Wittenwiler Roman;*;10;56.25;10;37.25;0;0.0;8.5
+;14;45.75;Fritz Andreas;;18;54.25;14;45.75;0;0.0;10.0

12c;Wey Nicola;*;;;;;;;;;55.75
o;;;Koch Reto;*;;;;;;;8.5
+;6;8.5;Stadelmann Patrick;;10;56.25;3;9.75;-3;1.25;10.0
-;7;18.5;Baumgartner Ramon;**;11;56.0;7;18.5;0;0.0;9.0
+;9;27.5;Eisenring Leandro;;23;53.0;10;27.25;1;-0.25;10.0
o;9;37.5;Bärtsch Fabian;*;9;56.5;7;38.0;-2;0.5;8.5
+;13;46.0;Raymann Jan;;16;54.75;12;46.25;-1;0.25;9.75

12d;Schlegel Reto;*;;;;;;;;;55.75
-;;;Brügger Stefan;*;;;;;;;8.75
o;5;8.75;Odermatt Michi;;19;54.0;3;9.75;-2;1.0;8.5
+;11;17.25;Diem Hansruedi;;17;54.5;6;18.75;-5;1.5;10.0
+;10;27.25;Egli Patrick;;16;54.75;8;28.0;-2;0.75;10.0
o;10;37.25;Ackermann Remo;*;14;55.25;11;37.0;1;-0.25;8.5
+;14;45.75;Nussbaumer Gabriel;;19;54.0;15;45.5;1;-0.25;10.0

12e;Kobler Janosch;*;;;;;;;;;55.75
o;;;Lehmann Philipp;*;;;;;;;8.5
+;6;8.5;Bürge Gian (2005);;19;54.0;6;8.5;0;0.0;10.0
+;7;18.5;Koch Sämi (2006);;25;52.5;7;18.5;0;0.0;10.0
o;6;28.5;Jörger Marc;*;7;57.0;6;28.5;0;0.0;8.5
o;11;37.0;Wetter Silvan;*;8;56.75;7;38.0;-4;1.0;8.75
+;14;45.75;Scherrer Pascal;;16;54.75;12;46.25;-2;0.5;10.0

12f;Raschle Urban;;;;;;;;;;55.75
+;;;Nussbaumer Gabriel;;;;;;;;10.0
