3197-2016-05-08_106_Zuercher_Kantonalschwingfest-ST

+;;;Nägeli Roman;*;;;;;;;10.0
-;1;10.0;Peng Mike;***;25;35.0;4;8.75;3;-1.25;8.75
+;4;18.75;Candrian Gian-Luca (1998);;19;53.75;2;19.75;-2;1.0;10.0
o;4;28.75;Bickel Roman (1998);;5;57.25;4;28.75;0;0.0;8.5
+;8;37.25;Reber Marcel;*;17;54.25;9;37.0;1;-0.25;9.75
+;8;47.0;Odermatt Martin;*;12;55.5;8;47.0;0;0.0;10.0

7a;Dumelin David;*;;;;;;;;;56.75
o;;;Roth Martin;*;;;;;;;8.5
o;5;8.5;Fässler Andreas;**;9;56.25;4;8.75;-1;0.25;8.5
+;9;17.0;Zehnder Laurent (2000);;23;35.5;5;18.5;-4;1.5;10.0
+;10;27.0;Berger Roman;;18;54.0;6;28.25;-4;1.25;9.75
+;10;36.75;Keller Andreas;;7;56.75;5;38.25;-5;1.5;10.0
+;9;46.75;Schaffner Samuel;**;12;55.5;8;47.0;-1;0.25;10.0

7b;Baumann Rico;*;;;;;;;;;56.75
+;;;Schlatter Philipp;*;;;;;;;10.0
o;1;10.0;Notz Beni;***;12;55.5;4;8.75;3;-1.25;8.5
+;5;18.5;Bircher Luca (1999);;11;55.75;4;18.75;-1;0.25;10.0
+;5;28.5;Braun Mathias;;8;56.5;5;28.5;0;0.0;10.0
o;4;38.5;Gisler Bruno;***;3;58.0;5;38.25;1;-0.25;8.5
+;8;47.0;Kunz Daniel;;12;55.5;9;46.75;1;-0.25;9.75

7c;Bühler Ernst;**;;;;;;;;;56.75
-;;;Oertig Adrian;**;;;;;;;8.75
+;4;8.75;Dörig Erich;*;11;55.75;4;8.75;0;0.0;9.75
o;5;18.5;Clopath Beat;***;6;57.0;2;19.75;-3;1.25;8.5
+;10;27.0;Läderach Pascal (1999);;15;54.75;7;28.0;-3;1.0;10.0
+;9;37.0;Kammermann Dominik;;11;55.75;7;37.5;-2;0.5;9.75
+;9;46.75;Zwyssig Raphael;***;12;55.5;8;47.0;-1;0.25;10.0

7d;Roth Martin;*;;;;;;;;;56.75
+;;;Dumelin David;*;;;;;;;10.0
o;1;10.0;Bieri Christoph;***;3;58.0;5;8.5;4;-1.5;8.5
+;5;18.5;Lanter Christian (1998);;11;55.75;1;20.0;-4;1.5;9.75
+;6;28.25;Mathis Patrick;;18;54.0;9;27.25;3;-1.0;10.0
-;5;38.25;Kindlimann Fabian;***;10;56.0;8;37.25;3;-1.0;8.75
+;8;47.0;Battaglia Ursin;**;11;55.75;8;47.0;0;0.0;9.75

7e;Burkhard Patrick;*;;;;;;;;;56.75
+;;;Bleiker Reto;*;;;;;;;9.75
+;2;9.75;Schnurrenberger Roger;;15;54.75;2;9.75;0;0.0;10.0
o;2;19.75;Gisler Bruno;***;3;58.0;5;18.5;3;-1.25;8.5
o;6;28.25;Stahel Felix;*;8;56.5;6;28.25;0;0.0;8.75
+;9;37.0;Castelli Fabio (1999);;20;53.5;11;36.5;2;-0.5;10.0
+;8;47.0;Biäsch Christian;;13;55.25;9;46.75;1;-0.25;9.75

7f;Korrodi Paul;*;;;;;;;;;56.75
+;;;Güntensperger Marcel;*;;;;;;;9.75
+;2;9.75;Landolt Cla (1999);;23;35.5;1;10.0;-1;0.25;10.0
o;2;19.75;Orlik Curdin;**;9;56.25;4;18.75;2;-1.0;8.5
+;6;28.25;Büsser André;;14;55.0;7;28.0;1;-0.25;9.75
-;6;38.0;Vestner Roman;*;16;54.5;9;37.0;3;-1.0;8.75
+;9;46.75;Jörger Marc;;13;55.25;9;46.75;0;0.0;10.0

7g;Nägeli Marco;*;;;;;;;;;56.75
-;;;Peng Mike;***;;;;;;;8.75
+;4;8.75;Bollier Fabian;;20;53.5;2;9.75;-2;1.0;10.0
+;4;18.75;Bucher Roland;;13;55.25;1;20.0;-3;1.25;10.0
+;4;28.75;Wettstein Daniel;;11;55.75;4;28.75;0;0.0;9.75
o;4;38.5;Zwyssig Raphael;***;12;55.5;8;37.25;4;-1.25;8.5
+;8;47.0;Büchi Christian;;13;55.25;9;46.75;1;-0.25;9.75

7h;Keller Andreas;;;;;;;;;;56.75
+;;;Tobler Marco;;;;;;;;10.0
+;1;10.0;Aebli Nino (2000);;23;35.5;1;10.0;0;0.0;9.75
+;2;19.75;Nägeli Roman;*;23;35.5;5;18.5;3;-1.25;10.0
o;2;29.75;Orlik Curdin;**;9;56.25;4;28.75;2;-1.0;8.5
o;5;38.25;Dumelin David;*;7;56.75;10;36.75;5;-1.5;8.5
+;9;46.75;Buchmann Michael;;13;55.25;9;46.75;0;0.0;10.0

8a;Oertig Adrian;**;;;;;;;;;56.5
-;;;Bühler Ernst;**;;;;;;;8.75
+;4;8.75;Brügger Stefan;*;16;54.5;4;8.75;0;0.0;9.75
+;5;18.5;Buchmann Michael;;13;55.25;2;19.75;-3;1.25;9.75
+;6;28.25;Lehmann Philipp (1999);;12;55.5;5;28.5;-1;0.25;10.0
o;5;38.25;Krähenbühl Tobias;**;5;57.25;4;38.5;-1;0.25;8.5
+;9;46.75;Roth Lukas;*;13;55.25;9;46.75;0;0.0;9.75

8b;Braun Mathias;;;;;;;;;;56.5
+;;;Widmer David;;;;;;;;9.75
+;2;9.75;Kleinberger Alex;;24;35.25;2;9.75;0;0.0;10.0
-;2;19.75;Reber Marcel;*;17;54.25;5;18.5;3;-1.25;8.75
o;5;28.5;Baumann Rico;*;7;56.75;5;28.5;0;0.0;8.5
+;9;37.0;Furrer Matthias;;18;54.0;9;37.0;0;0.0;9.75
+;9;46.75;Hari Michi;;10;56.0;7;47.25;-2;0.5;9.75

8c;Güntensperger Marcel;*;;;;;;;;;56.5
o;;;Korrodi Paul;*;;;;;;;8.5
+;5;8.5;Oetiker Ronny;;9;56.25;2;9.75;-3;1.25;10.0
o;5;18.5;Kammermann Thomas;*;2;58.25;2;19.75;-3;1.25;8.5
+;10;27.0;Candrian Gian-Luca (1998);;19;53.75;6;28.25;-4;1.25;9.75
+;10;36.75;Fankhauser Jürg;*;18;54.0;9;37.0;-1;0.25;10.0
+;9;46.75;Arztmann Beda;;11;55.75;7;47.25;-2;0.5;9.75

8d;Stahel Felix;*;;;;;;;;;56.5
-;;;Streuli Martin;*;;;;;;;8.75
+;4;8.75;Odermatt Michi;;14;55.0;2;9.75;-2;1.0;9.75
+;5;18.5;Frei Hanspeter (1999);;13;55.25;5;18.5;0;0.0;9.75
+;6;28.25;Burkhard Patrick;*;7;56.75;6;28.25;0;0.0;9.75
o;6;38.0;Schmid Patrick;*;12;55.5;10;36.75;4;-1.25;8.5
+;10;46.5;Läng Dominick;;14;55.0;10;46.5;0;0.0;10.0

8e;Leuppi Karim;;;;;;;;;;56.5
+;;;Frei Hanspeter (1999);;;;;;;;10.0
+;1;10.0;Poltera Andrin (1999);;13;55.25;2;9.75;1;-0.25;10.0
+;1;20.0;Odermatt Christoph;*;17;54.25;5;18.5;4;-1.5;9.75
o;2;29.75;Giger Samuel (1998);**;1;58.5;2;29.75;0;0.0;8.5
o;5;38.25;Koller Martin;*;11;55.75;9;37.0;4;-1.25;8.5
+;9;46.75;Junker Nik;;14;55.0;10;46.5;1;-0.25;9.75

9a;Oetiker Ronny;;;;;;;;;;56.25
+;;;Reichmuth Beat;;;;;;;;9.75
o;2;9.75;Güntensperger Marcel;*;8;56.5;5;8.5;3;-1.25;8.5
+;6;18.25;Schönenberger Christian;;23;35.5;5;18.5;-1;0.25;10.0
+;6;28.25;Hersche Daniel;;14;55.0;6;28.25;0;0.0;9.75
+;6;38.0;Odermatt Christoph;*;17;54.25;9;37.0;3;-1.0;9.75
o;5;47.75;Leuppi Samir;**;4;57.5;6;47.5;1;-0.25;8.5

9b;Orlik Curdin;**;;;;;;;;;56.25
-;;;Eugster Ruedi;**;;;;;;;8.75
+;4;8.75;Ueltschi Patric;*;27;34.25;5;8.5;1;-0.25;10.0
+;4;18.75;Korrodi Paul;*;7;56.75;2;19.75;-2;1.0;10.0
+;4;28.75;Keller Andreas;;7;56.75;2;29.75;-2;1.0;10.0
-;3;38.75;Giger Samuel (1998);**;1;58.5;2;39.5;-1;0.75;8.75
-;6;47.5;Gmür Pirmin;*;10;56.0;7;47.25;1;-0.25;8.75

9c;Breitenmoser Manuel;;;;;;;;;;56.25
+;;;Läng Dominick;;;;;;;;9.75
o;2;9.75;Schmid Patrick;*;12;55.5;5;8.5;3;-1.25;8.5
+;6;18.25;Fontana Michael;;23;35.5;6;18.25;0;0.0;10.0
o;6;28.25;Fässler Andreas;**;9;56.25;8;27.5;2;-0.75;8.5
+;10;36.75;Hauser Simon (1998);;18;54.0;10;36.75;0;0.0;9.75
+;10;46.5;Oertle Daniel;;12;55.5;8;47.0;-2;0.5;9.75

9d;Fausch Kjetil;;;;;;;;;;56.25
o;;;Dändliker Hansheinrich;;;;;;;;8.5
+;5;8.5;Mortellaro Andrea;;24;35.25;5;8.5;0;0.0;10.0
+;5;18.5;Ott Dominik;*;23;35.5;8;17.25;3;-1.25;9.75
+;6;28.25;Marty Jaime (2000);;14;55.0;6;28.25;0;0.0;9.75
o;6;38.0;Schnurrenberger Roman;**;10;56.0;8;37.25;2;-0.75;8.5
+;10;46.5;Brügger Stefan;*;16;54.5;12;46.0;2;-0.5;9.75

9e;Fässler Andreas;**;;;;;;;;;56.25
-;;;Schaffner Samuel;**;;;;;;;8.75
+;4;8.75;Dumelin David;*;7;56.75;5;8.5;1;-0.25;10.0
-;4;18.75;Bösch Daniel;***;4;57.5;1;20.0;-3;1.25;8.75
+;8;27.5;Breitenmoser Manuel;;9;56.25;6;28.25;-2;0.75;10.0
+;7;37.5;Wolfer Lukas;;11;55.75;8;37.25;1;-0.25;10.0
-;6;47.5;Eugster Ruedi;**;11;55.75;8;47.0;2;-0.5;8.75

10a;Hari Michi;;;;;;;;;;56.0
+;;;Büchi Christian;;;;;;;;9.75
+;2;9.75;Dittli Philip;;23;35.5;1;10.0;-1;0.25;10.0
+;2;19.75;Schudel Simon;*;14;55.0;6;18.25;4;-1.5;10.0
o;2;29.75;Clopath Beat;***;6;57.0;2;29.75;0;0.0;8.5
-;5;38.25;Brügger Stefan;*;16;54.5;9;37.0;4;-1.25;9.0
o;7;47.25;Braun Mathias;;8;56.5;9;46.75;2;-0.5;8.75

10b;Kindlimann Fabian;***;;;;;;;;;56.0
o;;;Clopath Beat;***;;;;;;;8.5
-;5;8.5;Gmür Pirmin;*;10;56.0;2;9.75;-3;1.25;8.75
+;8;17.25;Pfister Florian;*;10;56.0;6;18.25;-2;1.0;10.0
+;9;27.25;Wolfer Lukas;;11;55.75;4;28.75;-5;1.5;10.0
-;8;37.25;Roth Martin;*;7;56.75;5;38.25;-3;1.0;8.75
+;12;46.0;Rüegg Roman;*;14;55.0;10;46.5;-2;0.5;10.0

10c;Gmür Pirmin;*;;;;;;;;;56.0
+;;;Roth Lukas;*;;;;;;;9.75
-;2;9.75;Kindlimann Fabian;***;10;56.0;5;8.5;3;-1.25;8.75
+;5;18.5;Oettli Silvio (2000);;20;53.5;4;18.75;-1;0.25;9.75
+;6;28.25;Schwyn Adrian;;20;53.5;7;28.0;1;-0.25;10.0
-;5;38.25;Gwerder Andreas;**;6;57.0;5;38.25;0;0.0;9.0
-;7;47.25;Orlik Curdin;**;9;56.25;6;47.5;-1;0.25;8.75

10d;Schnurrenberger Roman;**;;;;;;;;;56.0
-;;;Notz Beni;***;;;;;;;8.75
o;4;8.75;Oertle Daniel;;12;55.5;1;10.0;-3;1.25;8.5
+;8;17.25;Seiler Thomas;;23;35.5;5;18.5;-3;1.25;10.0
+;9;27.25;Bleiker Reto;*;18;54.0;6;28.25;-3;1.0;10.0
+;8;37.25;Fausch Kjetil;;9;56.25;6;38.0;-2;0.75;10.0
o;7;47.25;Zbinden Marc;*;6;57.0;7;47.25;0;0.0;8.75

10e;Pfister Florian;*;;;;;;;;;56.0
o;;;Kammermann Thomas;*;;;;;;;8.5
+;5;8.5;Held Florian;;24;35.25;2;9.75;-3;1.25;9.75
o;6;18.25;Kindlimann Fabian;***;10;56.0;8;17.25;2;-1.0;8.5
+;11;26.75;Langenegger Beat;;23;35.5;10;27.0;-1;0.25;9.75
+;11;36.5;Hersche Daniel;;14;55.0;10;36.75;-1;0.25;9.75
+;11;46.25;Schuler Martin;;14;55.0;10;46.5;-1;0.25;9.75

10f;Bänziger Peter;;;;;;;;;;56.0
-;;;Kammermann Dominik;;;;;;;;8.75
+;4;8.75;Bürki Patrik (1999);;27;34.25;4;8.75;0;0.0;10.0
o;4;18.75;Koller Martin;*;11;55.75;5;18.5;1;-0.25;8.5
-;9;27.25;Fässler Patrick;;16;54.5;9;27.25;0;0.0;8.75
+;13;36.0;Flütsch Marco (1999);;19;53.75;10;36.75;-3;0.75;10.0
+;12;46.0;Odermatt Christoph;*;17;54.25;13;45.75;1;-0.25;10.0

11a;Kammermann Dominik;;;;;;;;;;55.75
-;;;Bänziger Peter;;;;;;;;8.75
+;4;8.75;Aeppli Lukas (2000);;23;35.5;5;8.5;1;-0.25;10.0
-;4;18.75;Vollenweider Jeremy (1998);*;17;54.25;7;17.5;3;-1.25;8.75
+;8;27.5;Truniger Manuel;;15;54.75;9;27.25;1;-0.25;10.0
o;7;37.5;Bühler Ernst;**;7;56.75;9;37.0;2;-0.5;8.5
+;12;46.0;Vestner Roman;*;16;54.5;13;45.75;1;-0.25;9.75

11b;Arztmann Beda;;;;;;;;;;55.75
+;;;Rohner Lukas (2000);;;;;;;;10.0
-;1;10.0;Bircher Luca (1999);;11;55.75;1;10.0;0;0.0;9.0
+;3;19.0;Bärtsch Jann (2000);;13;55.25;5;18.5;2;-0.5;10.0
o;3;29.0;Schaffner Samuel;**;12;55.5;4;28.75;1;-0.25;8.5
+;7;37.5;Bleiker Reto;*;18;54.0;10;36.75;3;-0.75;9.75
o;7;47.25;Güntensperger Marcel;*;8;56.5;9;46.75;2;-0.5;8.5

11c;Koller Martin;*;;;;;;;;;55.75
+;;;Vestner Roman;*;;;;;;;10.0
o;1;10.0;Clopath Beat;***;6;57.0;1;10.0;0;0.0;8.5
+;5;18.5;Bänziger Peter;;10;56.0;4;18.75;-1;0.25;10.0
o;5;28.5;Gisler Bruno;***;3;58.0;5;28.5;0;0.0;8.5
+;9;37.0;Leuppi Karim;;8;56.5;5;38.25;-4;1.25;9.75
-;9;46.75;Streuli Martin;*;14;55.0;11;46.25;2;-0.5;9.0

11d;Eugster Ruedi;**;;;;;;;;;55.75
-;;;Orlik Curdin;**;;;;;;;8.75
+;4;8.75;Ott Dominik;*;23;35.5;4;8.75;0;0.0;10.0
o;4;18.75;Giger Samuel (1998);**;1;58.5;2;19.75;-2;1.0;8.5
+;9;27.25;Danner Daniel;;17;54.25;6;28.25;-3;1.0;10.0
+;8;37.25;Frei Hanspeter (1999);;13;55.25;9;37.0;1;-0.25;9.75
-;8;47.0;Fässler Andreas;**;9;56.25;6;47.5;-2;0.5;8.75

11e;Lanter Christian (1998);;;;;;;;;;55.75
+;;;Götti Samuel (1998);;;;;;;;10.0
+;1;10.0;Marty Lukas (1999);;19;53.75;2;9.75;1;-0.25;10.0
o;1;20.0;Roth Martin;*;7;56.75;5;18.5;4;-1.5;8.75
o;4;28.75;Krähenbühl Tobias;**;5;57.25;5;28.5;1;-0.25;8.5
o;8;37.25;Kunz Daniel;;12;55.5;9;37.0;1;-0.25;8.5
+;13;45.75;Furrer Matthias;;18;54.0;14;45.5;1;-0.25;10.0

11f;Battaglia Ursin;**;;;;;;;;;55.75
+;;;Odermatt Christoph;*;;;;;;;10.0
o;1;10.0;Giger Samuel (1998);**;1;58.5;2;9.75;1;-0.25;8.5
+;5;18.5;Marty Jaime (2000);;14;55.0;2;19.75;-3;1.25;10.0
+;5;28.5;Kunz Daniel;;12;55.5;5;28.5;0;0.0;10.0
o;4;38.5;Bieri Christoph;***;3;58.0;6;38.0;2;-0.5;8.5
o;8;47.0;Roth Martin;*;7;56.75;8;47.0;0;0.0;8.75

11g;Bircher Luca (1999);;;;;;;;;;55.75
+;;;Zehnder Mario (1999);;;;;;;;10.0
-;1;10.0;Arztmann Beda;;11;55.75;1;10.0;0;0.0;8.75
o;4;18.75;Baumann Rico;*;7;56.75;5;18.5;1;-0.25;8.5
+;9;27.25;Zehnder Laurent (2000);;23;35.5;10;27.0;1;-0.25;10.0
o;8;37.25;Odermatt Martin;*;12;55.5;8;37.25;0;0.0;8.5
+;13;45.75;Schnurrenberger Roger;;15;54.75;11;46.25;-2;0.5;10.0

11h;Wettstein Daniel;;;;;;;;;;55.75
+;;;Flütsch Marco (1999);;;;;;;;10.0
-;1;10.0;Fankhauser Jürg;*;18;54.0;4;8.75;3;-1.25;8.75
+;4;18.75;Bollier Fabian;;20;53.5;6;18.25;2;-0.5;10.0
o;4;28.75;Nägeli Marco;*;7;56.75;4;28.75;0;0.0;8.5
+;8;37.25;Lehmann Philipp (1999);;12;55.5;9;37.0;1;-0.25;9.75
o;8;47.0;Gwerder Andreas;**;6;57.0;7;47.25;-1;0.25;8.75

11i;Wolfer Lukas;;;;;;;;;;55.75
+;;;Langenegger Beat;;;;;;;;10.0
-;1;10.0;Streuli Martin;*;14;55.0;4;8.75;3;-1.25;8.75
+;4;18.75;Truniger Manuel;;15;54.75;4;18.75;0;0.0;10.0
o;4;28.75;Kindlimann Fabian;***;10;56.0;9;27.25;5;-1.5;8.5
o;8;37.25;Fässler Andreas;**;9;56.25;7;37.5;-1;0.25;8.5
+;13;45.75;Dändliker Hansheinrich;;18;54.0;14;45.5;1;-0.25;10.0

11j;Dörig Erich;*;;;;;;;;;55.75
-;;;Vollenweider Jeremy (1998);*;;;;;;;8.75
o;4;8.75;Bühler Ernst;**;7;56.75;4;8.75;0;0.0;8.5
+;8;17.25;Büchi Christian;;13;55.25;6;18.25;-2;1.0;10.0
+;9;27.25;Meier Daniel;;21;53.25;9;27.25;0;0.0;10.0
-;8;37.25;Knechtle Martin;**;12;55.5;10;36.75;2;-0.5;8.75
+;12;46.0;Bleiker Reto;*;18;54.0;14;45.5;2;-0.5;9.75

12a;Knechtle Martin;**;;;;;;;;;55.5
o;;;Krähenbühl Tobias;**;;;;;;;8.5
o;5;8.5;Schaffner Samuel;**;12;55.5;4;8.75;-1;0.25;8.5
+;9;17.0;Ackermann Roman;;23;35.5;5;18.5;-4;1.5;10.0
+;10;27.0;Dändliker Hansheinrich;;18;54.0;6;28.25;-4;1.25;9.75
-;10;36.75;Dörig Erich;*;11;55.75;8;37.25;-2;0.5;8.75
+;14;45.5;Schudel Simon;*;14;55.0;10;46.5;-4;1.0;10.0

12b;Lehmann Philipp (1999);;;;;;;;;;55.5
o;;;Held Florian;;;;;;;;8.5
+;5;8.5;Braun Mario;;23;35.5;5;8.5;0;0.0;10.0
+;5;18.5;Pallaoro Luca;;23;35.5;5;18.5;0;0.0;10.0
o;5;28.5;Oertig Adrian;**;8;56.5;6;28.25;1;-0.25;8.5
o;9;37.0;Wettstein Daniel;;11;55.75;8;37.25;-1;0.25;8.5
+;14;45.5;Marty Lukas (1999);;19;53.75;15;45.25;1;-0.25;10.0

12c;Schaffner Samuel;**;;;;;;;;;55.5
-;;;Fässler Andreas;**;;;;;;;8.75
+;4;8.75;Knechtle Martin;**;12;55.5;5;8.5;1;-0.25;10.0
+;4;18.75;Dändliker Shane;;12;55.5;2;19.75;-2;1.0;10.0
+;4;28.75;Arztmann Beda;;11;55.75;3;29.0;-1;0.25;9.75
o;4;38.5;Bösch Daniel;***;4;57.5;3;38.75;-1;0.25;8.5
o;8;47.0;Dumelin David;*;7;56.75;9;46.75;1;-0.25;8.5

12d;Schmid Patrick;*;;;;;;;;;55.5
o;;;Rüegg Roman;*;;;;;;;8.5
+;5;8.5;Breitenmoser Manuel;;9;56.25;2;9.75;-3;1.25;9.75
-;6;18.25;Peng Mike;***;25;35.0;7;17.5;1;-0.75;8.75
+;10;27.0;Schuler Martin;;14;55.0;7;28.0;-3;1.0;9.75
+;10;36.75;Stahel Felix;*;8;56.5;6;38.0;-4;1.25;10.0
o;9;46.75;Wey Nicola;*;6;57.0;8;47.0;-1;0.25;8.75

12e;Oertle Daniel;;;;;;;;;;55.5
+;;;Aeppli Lukas (2000);;;;;;;;10.0
+;1;10.0;Schnurrenberger Roman;**;10;56.0;4;8.75;3;-1.25;10.0
