3783-2022-06-12_Stoos-Schwinget-ST

1a;Wittwer Josias;**;;;;;;;;;58.5
+;;;Scherer Niklaus;**;;;;;;;10.0
+;1;10.0;Käslin Ruedi;*;22;52.5;1;10.0;0;0.0;10.0
o;1;20.0;Strebel Joel;***;4;57.25;4;18.75;3;-1.25;8.5
+;6;28.5;Zurfluh Michael;*;16;54.25;7;28.25;1;-0.25;10.0
+;2;38.5;Alpiger Nick;***;9;56.0;6;37.5;4;-1.0;10.0
+;1;48.5;Schuler Christian;***;5;57.0;2;48.25;1;-0.25;10.0

2a;Walther Adrian;**;;;;;;;;;58.25
+;;;Doppmann Urs;**;;;;;;;10.0
+;1;10.0;Schuler Christian;***;5;57.0;2;9.75;1;-0.25;9.75
+;2;19.75;Räbmatter Patrick;***;6;56.75;1;20.0;-1;0.25;10.0
+;2;29.75;Voggensperger Lars;*;6;56.75;1;30.0;-1;0.25;10.0
o;1;39.75;Strebel Joel;***;4;57.25;2;38.5;1;-1.25;8.5
+;2;48.25;Steffen Gustav;**;7;56.5;3;47.75;1;-0.5;10.0

3a;Staudenmann Fabian;***;;;;;;;;;57.5
-;;;Bieri Marcel;***;;;;;;;9.0
+;3;9.0;Fellmann Roman;**;12;55.25;2;9.75;-1;0.75;10.0
+;3;19.0;Zurfluh Michael;*;16;54.25;2;19.75;-1;0.75;10.0
o;4;29.0;Strebel Joel;***;4;57.25;5;28.75;1;-0.25;8.75
+;5;37.75;Leuthard Reto;**;10;55.75;2;38.5;-3;0.75;9.75
+;4;47.5;Aeschbacher Matthias;***;10;55.75;5;47.25;1;-0.25;10.0

4a;Strebel Joel;***;;;;;;;;;57.25
-;;;Schöpfer Ronny;**;;;;;;;9.0
+;3;9.0;Hegner Ueli;*;18;53.75;1;10.0;-2;1.0;9.75
+;4;18.75;Wittwer Josias;**;1;58.5;1;20.0;-3;1.25;10.0
+;5;28.75;Staudenmann Fabian;***;3;57.5;4;29.0;-1;0.25;9.75
+;2;38.5;Walther Adrian;**;2;58.25;1;39.75;-1;1.25;9.75
-;2;48.25;Ledermann Michael;**;7;56.5;4;47.5;2;-0.75;9.0

5a;Schuler Christian;***;;;;;;;;;57.0
+;;;Alpiger Nick;***;;;;;;;9.75
o;2;9.75;Walther Adrian;**;2;58.25;1;10.0;-1;0.25;8.5
+;6;18.25;Widmer Tobias;**;14;54.75;5;18.5;-1;0.25;10.0
+;7;28.25;Zaugg Lars;*;6;56.75;5;28.75;-2;0.5;10.0
+;3;38.25;Gobeli Patrick;**;10;55.75;3;38.25;0;0.0;10.0
o;2;48.25;Wittwer Josias;**;1;58.5;1;48.5;-1;0.25;8.75

6a;Voggensperger Lars;*;;;;;;;;;56.75
+;;;Huber Alex;*;;;;;;;10.0
+;1;10.0;Ettlin Stefan;**;9;56.0;3;9.0;2;-1.0;10.0
+;1;20.0;Schenk Patrick;***;15;54.5;4;18.75;3;-1.25;10.0
o;1;30.0;Walther Adrian;**;2;58.25;2;29.75;1;-0.25;8.5
o;2;38.5;Schurtenberger Sven;***;12;55.25;8;37.0;6;-1.5;8.5
+;6;47.0;Suter Beat;*;11;55.5;6;47.0;0;0.0;9.75

6b;Räbmatter Patrick;***;;;;;;;;;56.75
+;;;Fankhauser Reto;**;;;;;;;10.0
+;1;10.0;Stöckli Damian;*;16;54.25;2;9.75;1;-0.25;10.0
o;1;20.0;Walther Adrian;**;2;58.25;2;19.75;1;-0.25;8.5
o;6;28.5;Gobeli Patrick;**;10;55.75;6;28.5;0;0.0;8.5
+;8;37.0;Steinauer Adrian;**;11;55.5;3;38.25;-5;1.25;9.75
+;7;46.75;Suter Bruno;*;12;55.25;7;46.75;0;0.0;10.0

6c;Zaugg Lars;*;;;;;;;;;56.75
+;;;Schärli Reto;*;;;;;;;10.0
-;1;10.0;Schurtenberger Sven;***;12;55.25;5;8.5;4;-1.5;8.75
