3783-2022-06-12_Stoos-Schwinget-ST

1a;Wittwer Josias;**;;;;;;;;;58.5
+;4;18.75;Riebli Urs;*;24;35.25;6;18.25;2;-0.5;10.0
o;5;28.75;Schuler Christian;***;5;57.0;7;28.25;2;-0.5;8.5
+;7;37.25;Fellmann Roman;**;12;55.25;8;37.0;1;-0.25;9.75
+;6;47.0;Roth Jan (2004);*;14;54.75;9;46.25;3;-0.75;9.75

7a;Hermann Oliver;**;;;;;;;;;56.5
-;;;Ettlin Stefan;**;;;;;;;9.0
-;3;9.0;Schürpf Bruno;*;26;34.75;4;8.75;1;-0.25;8.75
-;7;17.75;Lang Sven;**;9;56.0;5;18.5;-2;0.75;9.0
+;12;26.75;Egli Damian;**;10;55.75;10;27.25;-2;0.5;10.0
+;9;36.75;Bühler Kilian;*;11;55.5;8;37.0;-1;0.25;9.75
+;8;46.5;Schurtenberger Sven;***;12;55.25;7;46.75;-1;0.25;10.0

7b;Ledermann Michael;**;;;;;;;;;56.5
+;;;Schurtenberger Sven;***;;;;;;;10.0
+;1;10.0;Herger Fabian;*;24;35.25;2;9.75;1;-0.25;9.75
+;2;19.75;Döbeli Andreas;***;17;54.0;2;19.75;0;0.0;9.75
-;3;29.5;Alpiger Nick;***;9;56.0;6;28.5;3;-1.0;9.0
-;2;38.5;Aeschbacher Matthias;***;10;55.75;3;38.25;1;-0.25;9.0
-;4;47.5;Strebel Joel;***;4;57.25;2;48.25;-2;0.75;9.0

7c;Odermatt Adrian;**;;;;;;;;;56.5
o;;;Waser Dominik;**;;;;;;;8.5
+;5;8.5;Wandeler Roman;*;14;54.75;3;9.0;-2;0.5;9.75
-;6;18.25;Fellmann Roman;**;12;55.25;6;18.25;0;0.0;8.75
+;11;27.0;Riebli Urs;*;24;35.25;12;26.75;1;-0.25;10.0
+;8;37.0;Lang Sven;**;9;56.0;6;37.5;-2;0.5;9.75
+;7;46.75;Schöpfer Ronny;**;9;56.0;4;47.5;-3;0.75;9.75

7d;Steffen Gustav;**;;;;;;;;;56.5
+;;;Arnold Raphael;**;;;;;;;10.0
+;1;10.0;Müllestein Mike;***;32;17.5;4;8.75;3;-1.25;9.75
o;2;19.75;Rohrer Ueli;**;10;55.75;5;18.5;3;-1.25;8.5
+;7;28.25;Döbeli Andreas;***;17;54.0;7;28.25;0;0.0;9.75
+;4;38.0;Stöckli Damian;*;16;54.25;8;37.0;4;-1.0;9.75
o;3;47.75;Walther Adrian;**;2;58.25;2;48.25;-1;0.5;8.75

8a;Arnold Stefan;**;;;;;;;;;56.25
o;;;Döbeli Andreas;***;;;;;;;8.5
+;5;8.5;Joho Philip;*;15;54.5;3;9.0;-2;0.5;9.75
+;6;18.25;Suter Beat;*;11;55.5;5;18.5;-1;0.25;9.75
+;8;28.0;Aellen Florian;*;15;54.5;6;28.5;-2;0.5;9.75
-;5;37.75;Schenk Patrick;***;15;54.5;7;37.25;2;-0.5;8.75
+;8;46.5;Hügli Kaj;**;13;55.0;8;46.5;0;0.0;9.75

9a;Lang Sven;**;;;;;;;;;56.0
o;;;Gasser Dominik;**;;;;;;;8.5
+;5;8.5;Stüdeli Thomas;**;27;34.5;4;8.75;-1;0.25;10.0
-;5;18.5;Hermann Oliver;**;7;56.5;7;17.75;2;-0.75;9.0
+;9;27.5;Reichmuth Lukas;*;19;53.5;9;27.5;0;0.0;10.0
o;6;37.5;Odermatt Adrian;**;7;56.5;8;37.0;2;-0.5;8.5
+;10;46.0;Joho Philip;*;15;54.5;10;46.0;0;0.0;10.0

9b;Kaufmann Reto;*;;;;;;;;;56.0
+;;;Klossner Adrian;**;;;;;;;10.0
o;1;10.0;Aeschbacher Matthias;***;10;55.75;3;9.0;2;-1.0;8.5
+;5;18.5;Iseli Marco;**;14;54.75;4;18.75;-1;0.25;10.0
o;6;28.5;Leuthard Reto;**;10;55.75;6;28.5;0;0.0;8.5
+;8;37.0;Schlüchter Colin;*;18;53.75;9;36.75;1;-0.25;10.0
-;6;47.0;Gobeli Patrick;**;10;55.75;7;46.75;1;-0.25;9.0

9c;Schöpfer Ronny;**;;;;;;;;;56.0
-;;;Strebel Joel;***;;;;;;;9.0
o;3;9.0;Leuthard Reto;**;10;55.75;1;10.0;-2;1.0;8.5
+;8;17.5;Stüdeli Thomas;**;27;34.5;9;17.25;1;-0.25;10.0
+;9;27.5;Stoll Simon;**;23;35.75;10;27.25;1;-0.25;10.0
+;6;37.5;Döbeli Andreas;***;17;54.0;8;37.0;2;-0.5;10.0
o;4;47.5;Odermatt Adrian;**;7;56.5;7;46.75;3;-0.75;8.5

9d;Ettlin Stefan;**;;;;;;;;;56.0
-;;;Hermann Oliver;**;;;;;;;9.0
o;3;9.0;Voggensperger Lars;*;6;56.75;1;10.0;-2;1.0;8.5
+;8;17.5;Schürpf Bruno;*;26;34.75;8;17.5;0;0.0;9.75
+;10;27.25;Klossner Adrian;**;20;53.25;12;26.75;2;-0.5;10.0
-;7;37.25;Aellen Florian;*;15;54.5;8;37.0;1;-0.25;8.75
+;10;46.0;Schenk Patrick;***;15;54.5;10;46.0;0;0.0;10.0

9e;Alpiger Nick;***;;;;;;;;;56.0
o;;;Schuler Christian;***;;;;;;;8.5
+;5;8.5;Suter Bruno;*;12;55.25;1;10.0;-4;1.5;10.0
+;5;18.5;Kämpf Alexander;**;11;55.5;2;19.75;-3;1.25;10.0
-;6;28.5;Ledermann Michael;**;7;56.5;3;29.5;-3;1.0;9.0
o;6;37.5;Wittwer Josias;**;1;58.5;2;38.5;-4;1.0;8.5
+;10;46.0;Wandeler Roman;*;14;54.75;9;46.25;-1;0.25;10.0

10a;Bieri Marcel;***;;;;;;;;;55.75
-;;;Staudenmann Fabian;***;;;;;;;8.75
+;4;8.75;Gasser Dominik;**;11;55.5;1;10.0;-3;1.25;9.75
o;5;18.5;Aellen Florian;*;15;54.5;4;18.75;-1;0.25;8.5
+;11;27.0;Schlüchter Colin;*;18;53.75;7;28.25;-4;1.25;9.75
-;9;36.75;Kämpf Alexander;**;11;55.5;4;38.0;-5;1.25;9.0
+;11;45.75;Erb Roger;**;16;54.25;11;45.75;0;0.0;10.0

10b;Gobeli Patrick;**;;;;;;;;;55.75
-;;;Schuler Alex;***;;;;;;;9.0
+;3;9.0;Kenel Franz-Toni;*;17;54.0;4;8.75;1;-0.25;9.75
+;4;18.75;Bucher Christian;**;14;54.75;6;18.25;2;-0.5;9.75
+;6;28.5;Räbmatter Patrick;***;6;56.75;6;28.5;0;0.0;9.75
o;3;38.25;Schuler Christian;***;5;57.0;3;38.25;0;0.0;8.5
-;7;46.75;Kaufmann Reto;*;9;56.0;6;47.0;-1;0.25;9.0

10c;Aeschbacher Matthias;***;;;;;;;;;55.75
-;;;Müllestein Mike;***;;;;;;;9.0
+;3;9.0;Kaufmann Reto;*;9;56.0;1;10.0;-2;1.0;9.75
+;4;18.75;Leuthard Reto;**;10;55.75;1;20.0;-3;1.25;9.75
+;6;28.5;Rohrer Ueli;**;10;55.75;6;28.5;0;0.0;9.75
-;3;38.25;Ledermann Michael;**;7;56.5;2;38.5;-1;0.25;9.0
o;5;47.25;Staudenmann Fabian;***;3;57.5;4;47.5;-1;0.25;8.5

10d;Egli Damian;**;;;;;;;;;55.75
o;;;Erb Roger;**;;;;;;;8.5
+;5;8.5;Kohler Adrian;*;17;54.0;4;8.75;-1;0.25;10.0
-;5;18.5;Gasser Dominik;**;11;55.5;5;18.5;0;0.0;8.75
o;10;27.25;Hermann Oliver;**;7;56.5;12;26.75;2;-0.5;8.5
+;13;35.75;Weyermann Florian;**;20;53.25;12;36.0;-1;0.25;10.0
+;11;45.75;Döbeli Andreas;***;17;54.0;12;45.5;1;-0.25;10.0

10e;Doppmann Urs;**;;;;;;;;;55.75
o;;;Walther Adrian;**;;;;;;;8.5
+;5;8.5;Bader Fabian;**;17;54.0;4;8.75;-1;0.25;9.75
+;6;18.25;Schmid Samuel;**;30;27.0;5;18.5;-1;0.25;9.75
-;8;28.0;Steffen Valentin;*;15;54.5;8;28.0;0;0.0;9.0
-;8;37.0;Widmer Tobias;**;14;54.75;12;36.0;4;-1.0;8.75
+;11;45.75;Waser Dominik;**;16;54.25;11;45.75;0;0.0;10.0

10f;Rohrer Ueli;**;;;;;;;;;55.75
-;;;Weyermann Florian;**;;;;;;;8.75
+;4;8.75;Scherer Niklaus;**;27;34.5;5;8.5;1;-0.25;9.75
+;5;18.5;Steffen Gustav;**;7;56.5;2;19.75;-3;1.25;10.0
o;6;28.5;Aeschbacher Matthias;***;10;55.75;6;28.5;0;0.0;8.75
+;7;37.25;Kohler Adrian;*;17;54.0;8;37.0;1;-0.25;9.75
-;6;47.0;Leuthard Reto;**;10;55.75;6;47.0;0;0.0;8.75

10g;Leuthard Reto;**;;;;;;;;;55.75
+;;;Wyrsch Silvio;*;;;;;;;10.0
+;1;10.0;Schöpfer Ronny;**;9;56.0;3;9.0;2;-1.0;10.0
o;1;20.0;Aeschbacher Matthias;***;10;55.75;4;18.75;3;-1.25;8.5
+;6;28.5;Kaufmann Reto;*;9;56.0;6;28.5;0;0.0;10.0
o;2;38.5;Staudenmann Fabian;***;3;57.5;5;37.75;3;-0.75;8.5
-;6;47.0;Rohrer Ueli;**;10;55.75;6;47.0;0;0.0;8.75

11a;Steinauer Adrian;**;;;;;;;;;55.5
o;;;Schenk Patrick;***;;;;;;;8.5
+;5;8.5;Vieira Tiago;**;31;25.5;5;8.5;0;0.0;10.0
+;5;18.5;Käslin Ruedi;*;22;52.5;5;18.5;0;0.0;10.0
+;6;28.5;Ramseier Thomas;*;18;53.75;8;28.0;2;-0.5;9.75
o;3;38.25;Räbmatter Patrick;***;6;56.75;8;37.0;5;-1.25;8.5
-;7;46.75;Kämpf Alexander;**;11;55.5;7;46.75;0;0.0;8.75

11b;Kämpf Alexander;**;;;;;;;;;55.5
+;;;Lussi Marco;**;;;;;;;10.0
+;1;10.0;Suter Beat;*;11;55.5;1;10.0;0;0.0;9.75
o;2;19.75;Alpiger Nick;***;9;56.0;5;18.5;3;-1.25;8.5
+;7;28.25;Bühler Kilian;*;11;55.5;6;28.5;-1;0.25;9.75
-;4;38.0;Bieri Marcel;***;10;55.75;9;36.75;5;-1.25;8.75
-;7;46.75;Steinauer Adrian;**;11;55.5;7;46.75;0;0.0;8.75

11c;Gasser Dominik;**;;;;;;;;;55.5
+;;;Lang Sven;**;;;;;;;10.0
o;1;10.0;Bieri Marcel;***;10;55.75;4;8.75;3;-1.25;8.5
-;5;18.5;Egli Damian;**;10;55.75;5;18.5;0;0.0;8.75
+;10;27.25;Kenel Franz-Toni;*;17;54.0;11;27.0;1;-0.25;10.0
o;7;37.25;Suter Beat;*;11;55.5;8;37.0;1;-0.25;8.5
+;11;45.75;Zurfluh Michael;*;16;54.25;11;45.75;0;0.0;9.75

11d;Suter Beat;*;;;;;;;;;55.5
+;;;Wenger Marcel;*;;;;;;;10.0
o;1;10.0;Kämpf Alexander;**;11;55.5;1;10.0;0;0.0;8.5
o;5;18.5;Arnold Stefan;**;8;56.25;6;18.25;1;-0.25;8.5
+;11;27.0;Fankhauser Reto;**;21;53.0;11;27.0;0;0.0;10.0
+;8;37.0;Gasser Dominik;**;11;55.5;7;37.25;-1;0.25;10.0
o;6;47.0;Voggensperger Lars;*;6;56.75;6;47.0;0;0.0;8.5

11e;Bühler Kilian;*;;;;;;;;;55.5
-;;;Schürpf Bruno;*;;;;;;;8.75
+;4;8.75;Murer Andy;**;26;34.75;4;8.75;0;0.0;9.75
+;5;18.5;Erb Roger;**;16;54.25;4;18.75;-1;0.25;10.0
o;6;28.5;Kämpf Alexander;**;11;55.5;7;28.25;1;-0.25;8.5
o;8;37.0;Hermann Oliver;**;7;56.5;9;36.75;1;-0.25;8.5
+;12;45.5;Ramseier Thomas;*;18;53.75;13;45.25;1;-0.25;10.0

12a;Fellmann Roman;**;;;;;;;;;55.25
+;;;Vieira Tiago;**;;;;;;;9.75
o;2;9.75;Staudenmann Fabian;***;3;57.5;3;9.0;1;-0.75;8.5
-;6;18.25;Odermatt Adrian;**;7;56.5;6;18.25;0;0.0;8.75
+;11;27.0;Bader Fabian;**;17;54.0;10;27.25;-1;0.25;10.0
o;8;37.0;Zaugg Lars;*;6;56.75;7;37.25;-1;0.25;8.5
+;12;45.5;Döbeli Lukas;**;20;53.25;15;44.75;3;-0.75;9.75

12b;Suter Bruno;*;;;;;;;;;55.25
+;;;Ming Christian;*;;;;;;;10.0
o;1;10.0;Alpiger Nick;***;9;56.0;5;8.5;4;-1.5;8.5
o;5;18.5;Ramseier Thomas;*;18;53.75;6;18.25;1;-0.25;8.5
+;11;27.0;Iseli Marco;**;14;54.75;9;27.5;-2;0.5;10.0
+;8;37.0;Joho Philip;*;15;54.5;6;37.5;-2;0.5;9.75
o;7;46.75;Räbmatter Patrick;***;6;56.75;7;46.75;0;0.0;8.5

12c;Schurtenberger Sven;***;;;;;;;;;55.25
o;;;Ledermann Michael;**;;;;;;;8.5
-;5;8.5;Zaugg Lars;*;6;56.75;1;10.0;-4;1.5;8.75
+;9;17.25;Klossner Adrian;**;20;53.25;6;18.25;-3;1.0;10.0
+;10;27.25;Hügli Kaj;**;13;55.0;7;28.25;-3;1.0;9.75
+;8;37.0;Voggensperger Lars;*;6;56.75;2;38.5;-6;1.5;9.75
o;7;46.75;Hermann Oliver;**;7;56.5;8;46.5;1;-0.25;8.5

13a;Hügli Kaj;**;;;;;;;;;55.0
+;;;Rohrer Ivan;**;;;;;;;9.75
o;2;9.75;Zurfluh Michael;*;16;54.25;1;10.0;-1;0.25;8.5
+;6;18.25;Hegner Ueli;*;18;53.75;5;18.5;-1;0.25;10.0
o;7;28.25;Schurtenberger Sven;***;12;55.25;10;27.25;3;-1.0;8.5
+;9;36.75;Iseli Marco;**;14;54.75;11;36.25;2;-0.5;9.75
o;8;46.5;Arnold Stefan;**;8;56.25;8;46.5;0;0.0;8.5

14a;Iseli Marco;**;;;;;;;;;54.75
-;;;Murer Andy;**;;;;;;;8.75
+;4;8.75;Fankhauser Reto;**;21;53.0;5;8.5;1;-0.25;10.0
o;4;18.75;Kaufmann Reto;*;9;56.0;5;18.5;1;-0.25;8.75
o;9;27.5;Suter Bruno;*;12;55.25;11;27.0;2;-0.5;8.75
o;11;36.25;Hügli Kaj;**;13;55.0;9;36.75;-2;0.5;8.5
+;15;44.75;Käslin Ruedi;*;22;52.5;18;44.0;3;-0.75;10.0

14b;Nägeli Leandro;*;;;;;;;;;54.75
o;;;Reichmuth Lukas;*;;;;;;;8.5
+;5;8.5;Betschart Marcel;*;28;34.25;5;8.5;0;0.0;9.75
-;6;18.25;Durrer Nando;*;15;54.5;8;17.5;2;-0.75;8.75
-;11;27.0;Bucher Christian;**;14;54.75;12;26.75;1;-0.25;9.0
-;12;36.0;Kenel Franz-Toni;*;17;54.0;14;35.5;2;-0.5;9.0
+;14;45.0;Bader Fabian;**;17;54.0;12;45.5;-2;0.5;9.75

14c;Widmer Tobias;**;;;;;;;;;54.75
+;;;Bucher Christian;**;;;;;;;9.75
-;2;9.75;Reichmuth Lukas;*;19;53.5;1;10.0;-1;0.25;8.75
o;5;18.5;Schuler Christian;***;5;57.0;6;18.25;1;-0.25;8.75
-;10;27.25;Wandeler Roman;*;14;54.75;9;27.5;-1;0.25;8.75
-;12;36.0;Doppmann Urs;**;10;55.75;8;37.0;-4;1.0;8.75
+;15;44.75;Fankhauser Reto;**;21;53.0;16;44.5;1;-0.25;10.0

14d;Bucher Christian;**;;;;;;;;;54.75
o;;;Widmer Tobias;**;;;;;;;8.5
+;5;8.5;Rohrer Ivan;**;33;17.0;5;8.5;0;0.0;9.75
o;6;18.25;Gobeli Patrick;**;10;55.75;4;18.75;-2;0.5;8.5
-;12;26.75;Nägeli Leandro;*;14;54.75;11;27.0;-1;0.25;9.0
-;13;35.75;Klossner Adrian;**;20;53.25;14;35.5;1;-0.25;9.0
+;15;44.75;Kohler Adrian;*;17;54.0;12;45.5;-3;0.75;10.0

14e;Schwyzer Samuel;*;;;;;;;;;54.75
-;;;Schmid Samuel;**;;;;;;;8.75
-;4;8.75;Lussi Marco;**;26;34.75;5;8.5;1;-0.25;8.75
-;8;17.5;Döbeli Lukas;**;20;53.25;8;17.5;0;0.0;8.75
+;13;26.25;Arnold Marcel;*;29;34.0;16;25.5;3;-0.75;9.75
+;12;36.0;Herger Fabian;*;24;35.25;15;35.25;3;-0.75;9.75
-;11;45.75;Steffen Valentin;*;15;54.5;11;45.75;0;0.0;9.0

14f;Wandeler Roman;*;;;;;;;;;54.75
-;;;Roth Jan (2004);*;;;;;;;9.0
o;3;9.0;Odermatt Adrian;**;7;56.5;5;8.5;2;-0.5;8.5
+;8;17.5;Huber Alex;*;27;34.5;9;17.25;1;-0.25;10.0
-;9;27.5;Widmer Tobias;**;14;54.75;10;27.25;1;-0.25;8.75
+;11;36.25;Reichmuth Lukas;*;19;53.5;12;36.0;1;-0.25;10.0
o;9;46.25;Alpiger Nick;***;9;56.0;10;46.0;1;-0.25;8.5

14g;Roth Jan (2004);*;;;;;;;;;54.75
-;;;Wandeler Roman;*;;;;;;;9.0
+;3;9.0;Heinzer Ronny;*;27;34.5;4;8.75;1;-0.25;9.75
+;4;18.75;Schuler Alex;***;26;34.75;7;17.75;3;-1.0;10.0
o;5;28.75;Schenk Patrick;***;15;54.5;9;27.5;4;-1.25;8.5
-;7;37.25;Zurfluh Michael;*;16;54.25;9;36.75;2;-0.5;9.0
o;9;46.25;Zaugg Lars;*;6;56.75;6;47.0;-3;0.75;8.5

15a;Joho Philip;*;;;;;;;;;54.5
-;;;Gut Koni;*;;;;;;;9.0
o;3;9.0;Arnold Stefan;**;8;56.25;5;8.5;2;-0.5;8.5
+;8;17.5;Schärli Reto;*;28;34.25;10;17.0;2;-0.5;10.0
+;9;27.5;Schuler Alex;***;26;34.75;13;26.25;4;-1.25;10.0
o;6;37.5;Suter Bruno;*;12;55.25;8;37.0;2;-0.5;8.5
o;10;46.0;Lang Sven;**;9;56.0;10;46.0;0;0.0;8.5

15b;Durrer Nando;*;;;;;;;;;54.5
-;;;Döbeli Lukas;**;;;;;;;8.75
-;4;8.75;Nägeli Leandro;*;14;54.75;5;8.5;1;-0.25;8.75
-;8;17.5;Scherer Niklaus;**;27;34.5;10;17.0;2;-0.5;8.75
+;13;26.25;Wenger Marcel;*;28;34.25;15;25.75;2;-0.5;9.75
+;12;36.0;Ramseier Thomas;*;18;53.75;10;36.5;-2;0.5;9.75
-;11;45.75;Aellen Florian;*;15;54.5;11;45.75;0;0.0;8.75

15c;Steffen Valentin;*;;;;;;;;;54.5
o;;;Herger Fabian;*;;;;;;;8.5
+;5;8.5;Schärli Reto;*;28;34.25;5;8.5;0;0.0;9.75
+;6;18.25;Stöckli Damian;*;16;54.25;6;18.25;0;0.0;9.75
-;8;28.0;Doppmann Urs;**;10;55.75;8;28.0;0;0.0;9.0
-;8;37.0;Waser Dominik;**;16;54.25;8;37.0;0;0.0;8.75
-;11;45.75;Schwyzer Samuel;*;14;54.75;11;45.75;0;0.0;8.75

15d;Aellen Florian;*;;;;;;;;;54.5
-;;;Kenel Franz-Toni;*;;;;;;;8.75
+;4;8.75;Wyrsch Silvio;*;24;35.25;5;8.5;1;-0.25;10.0
+;4;18.75;Bieri Marcel;***;10;55.75;5;18.5;1;-0.25;9.75
o;6;28.5;Arnold Stefan;**;8;56.25;8;28.0;2;-0.5;8.5
-;8;37.0;Ettlin Stefan;**;9;56.0;7;37.25;-1;0.25;8.75
-;11;45.75;Durrer Nando;*;15;54.5;11;45.75;0;0.0;8.75

15e;Schenk Patrick;***;;;;;;;;;54.5
+;;;Steinauer Adrian;**;;;;;;;10.0
-;1;10.0;Waser Dominik;**;16;54.25;2;9.75;1;-0.25;8.75
o;4;18.75;Voggensperger Lars;*;6;56.75;1;20.0;-3;1.25;8.75
+;9;27.5;Roth Jan (2004);*;14;54.75;5;28.75;-4;1.25;9.75
-;7;37.25;Arnold Stefan;**;8;56.25;5;37.75;-2;0.5;8.75
o;10;46.0;Ettlin Stefan;**;9;56.0;10;46.0;0;0.0;8.5

16a;Erb Roger;**;;;;;;;;;54.25
+;;;Egli Damian;**;;;;;;;10.0
-;1;10.0;Schuler Alex;***;26;34.75;3;9.0;2;-1.0;8.75
o;4;18.75;Bühler Kilian;*;11;55.5;5;18.5;1;-0.25;8.5
o;10;27.25;Stöckli Damian;*;16;54.25;11;27.0;1;-0.25;8.5
+;13;35.75;Hegner Ueli;*;18;53.75;14;35.5;1;-0.25;10.0
o;11;45.75;Bieri Marcel;***;10;55.75;11;45.75;0;0.0;8.5

16b;Zurfluh Michael;*;;;;;;;;;54.25
+;;;Lemmenmeier Lukas;*;;;;;;;10.0
+;1;10.0;Hügli Kaj;**;13;55.0;2;9.75;1;-0.25;9.75
o;2;19.75;Staudenmann Fabian;***;3;57.5;3;19.0;1;-0.75;8.5
o;7;28.25;Wittwer Josias;**;1;58.5;6;28.5;-1;0.25;8.5
-;9;36.75;Roth Jan (2004);*;14;54.75;7;37.25;-2;0.5;9.0
o;11;45.75;Gasser Dominik;**;11;55.5;11;45.75;0;0.0;8.5

16c;Waser Dominik;**;;;;;;;;;54.25
+;;;Odermatt Adrian;**;;;;;;;9.75
-;2;9.75;Schenk Patrick;***;15;54.5;1;10.0;-1;0.25;8.75
-;5;18.5;Reichmuth Lukas;*;19;53.5;4;18.75;-1;0.25;8.75
+;10;27.25;Käslin Ruedi;*;22;52.5;11;27.0;1;-0.25;9.75
-;8;37.0;Steffen Valentin;*;15;54.5;8;37.0;0;0.0;8.75
o;11;45.75;Doppmann Urs;**;10;55.75;11;45.75;0;0.0;8.5

16d;Stöckli Damian;*;;;;;;;;;54.25
+;;;Betschart Marcel;*;;;;;;;9.75
o;2;9.75;Räbmatter Patrick;***;6;56.75;1;10.0;-1;0.25;8.5
o;6;18.25;Steffen Valentin;*;15;54.5;6;18.25;0;0.0;8.75
+;11;27.0;Erb Roger;**;16;54.25;10;27.25;-1;0.25;10.0
o;8;37.0;Steffen Gustav;**;7;56.5;4;38.0;-4;1.0;8.5
-;12;45.5;Klossner Adrian;**;20;53.25;16;44.5;4;-1.0;8.75

17a;Kenel Franz-Toni;*;;;;;;;;;54.0
-;;;Aellen Florian;*;;;;;;;8.75
o;4;8.75;Gobeli Patrick;**;10;55.75;3;9.0;-1;0.25;8.5
+;9;17.25;Gut Koni;*;26;34.75;9;17.25;0;0.0;9.75
o;11;27.0;Gasser Dominik;**;11;55.5;10;27.25;-1;0.25;8.5
-;14;35.5;Nägeli Leandro;*;14;54.75;12;36.0;-2;0.5;8.75
+;17;44.25;Schlüchter Colin;*;18;53.75;13;45.25;-4;1.0;9.75

17b;Bader Fabian;**;;;;;;;;;54.0
-;;;Lustenberger Josef;*;;;;;;;8.75
o;4;8.75;Doppmann Urs;**;10;55.75;5;8.5;1;-0.25;8.5
+;9;17.25;Betschart Marcel;*;28;34.25;10;17.0;1;-0.25;10.0
o;10;27.25;Fellmann Roman;**;12;55.25;11;27.0;1;-0.25;8.5
+;13;35.75;Käslin Ruedi;*;22;52.5;14;35.5;1;-0.25;9.75
o;12;45.5;Nägeli Leandro;*;14;54.75;14;45.0;2;-0.5;8.5

17c;Kohler Adrian;*;;;;;;;;;54.0
-;;;Heinzer Ronny;*;;;;;;;8.75
o;4;8.75;Egli Damian;**;10;55.75;5;8.5;1;-0.25;8.5
+;9;17.25;Arnold Marcel;*;29;34.0;10;17.0;1;-0.25;9.75
+;11;27.0;Hegner Ueli;*;18;53.75;11;27.0;0;0.0;10.0
o;8;37.0;Rohrer Ueli;**;10;55.75;7;37.25;-1;0.25;8.5
o;12;45.5;Bucher Christian;**;14;54.75;15;44.75;3;-0.75;8.5

17d;Döbeli Andreas;***;;;;;;;;;54.0
