5697-2022-07-10_Rigi_Schwinget-ST

1a;Wicki Joel;***;;;;;;;;;58.5
-;;;Orlik Armon;***;;;;;;;8.75
+;3;8.75;Lehmann Philipp;**;17;53.5;1;10.0;-2;1.25;10.0
+;4;18.75;Gapany Benjamin;***;5;56.75;1;20.0;-3;1.25;10.0
+;3;28.75;Schneider Mario;**;6;56.5;2;29.25;-1;0.5;10.0
+;2;38.75;Dändliker Shane;**;4;57.0;3;38.5;1;-0.25;9.75
+;1;48.5;Kramer Lario;***;4;57.0;2;48.25;1;-0.25;10.0

2a;Orlik Armon;***;;;;;;;;;58.0
-;;;Wicki Joel;***;;;;;;;8.75
+;3;8.75;Felder Martin;**;9;55.5;1;10.0;-2;1.25;9.75
+;5;18.5;Wandeler Roman;**;7;56.0;4;18.75;-1;0.25;10.0
+;4;28.5;Duplan Steve;***;8;55.75;3;28.75;-1;0.25;9.75
+;4;38.25;Matthey Mickaël;**;11;55.0;6;37.75;2;-0.5;10.0
+;2;48.25;Moser Steven;**;6;56.5;3;48.0;1;-0.25;9.75

3a;Bieri Marcel;***;;;;;;;;;57.25
-;;;Duplan Steve;***;;;;;;;8.75
o;3;8.75;Moser Steven;**;6;56.5;2;9.75;-1;1.0;8.5
+;8;17.25;Grossenbacher Simon;*;15;54.0;5;18.5;-3;1.25;10.0
+;8;27.25;Wey Nicola;**;22;37.25;3;28.75;-5;1.5;10.0
+;7;37.25;Balimann Sandro;*;13;54.5;7;37.25;0;0.0;10.0
+;6;47.25;Oettli Marco;**;10;55.25;8;46.75;2;-0.5;10.0

3b;Collaud Romain;**;;;;;;;;;57.25
-;;;Wandeler Roman;**;;;;;;;8.75
+;3;8.75;Scherer Niklaus;**;19;52.75;3;8.75;0;0.0;10.0
+;4;18.75;Heinzer Ronny;*;13;54.5;5;18.5;1;-0.25;10.0
o;3;28.75;Schlegel Werner;**;6;56.5;5;28.25;2;-0.5;8.5
+;7;37.25;Arnold Raphael;**;9;55.5;7;37.25;0;0.0;10.0
+;6;47.25;Ettlin Stefan;**;11;55.0;9;46.5;3;-0.75;10.0

3c;Rychen Roger;***;;;;;;;;;57.25
+;;;Arnold Stefan;**;;;;;;;9.75
+;2;9.75;Schuler Alex;*;15;54.0;1;10.0;-1;0.25;9.75
+;3;19.5;Odermatt Christian;**;9;55.5;3;19.5;0;0.0;9.75
+;2;29.25;Kramer Lario;***;4;57.0;1;29.75;-1;0.5;9.75
o;1;39.0;Moser Steven;**;6;56.5;4;38.25;3;-0.75;8.5
+;5;47.5;Kaufmann Reto;**;9;55.5;8;46.75;3;-0.75;9.75

4a;Burch Jonas;**;;;;;;;;;57.0
o;;;Dändliker Shane;**;;;;;;;8.5
+;4;8.5;Dousse Michel;**;26;34.5;3;8.75;-1;0.25;10.0
-;5;18.5;Rotach Lars;*;9;55.5;6;18.25;1;-0.25;8.75
+;8;27.25;Wyss Christian;*;24;35.25;10;26.75;2;-0.5;9.75
+;8;37.0;Reichmuth Roland;*;10;55.25;9;36.75;1;-0.25;10.0
+;7;47.0;Schlegel Werner;**;6;56.5;4;47.75;-3;0.75;10.0

4b;Kramer Lario;***;;;;;;;;;57.0
+;;;Müllestein Mike;***;;;;;;;10.0
+;1;10.0;Kurmann Toni;**;31;26.75;2;9.75;1;-0.25;10.0
+;1;20.0;Arnold Raphael;**;9;55.5;2;19.75;1;-0.25;9.75
o;1;29.75;Rychen Roger;***;3;57.25;2;29.25;1;-0.5;8.5
+;4;38.25;Geisser Lars;**;8;55.75;3;38.5;-1;0.25;10.0
o;2;48.25;Wicki Joel;***;1;58.5;1;48.5;-1;0.25;8.75

4c;Schurtenberger Sven;***;;;;;;;;;57.0
-;;;Schlegel Werner;**;;;;;;;8.75
-;3;8.75;Geisser Lars;**;8;55.75;1;10.0;-2;1.25;8.75
+;7;17.5;Hofer Sven;**;21;45.75;5;18.5;-2;1.0;9.75
+;8;27.25;Borcard Johann;**;9;55.5;4;28.5;-4;1.25;10.0
+;7;37.25;Räbsamen Marcel;**;5;56.75;4;38.25;-3;1.0;9.75
+;7;47.0;Burkhalter Stefan;***;12;54.75;10;46.25;3;-0.75;10.0

4d;Dändliker Shane;**;;;;;;;;;57.0
+;;;Burch Jonas;**;;;;;;;10.0
o;1;10.0;Odermatt Christian;**;9;55.5;2;9.75;1;-0.25;8.5
+;5;18.5;Schöpfer Ronny;**;13;54.5;5;18.5;0;0.0;10.0
+;4;28.5;Felder Martin;**;9;55.5;4;28.5;0;0.0;10.0
o;3;38.5;Wicki Joel;***;1;58.5;2;38.75;-1;0.25;8.5
+;7;47.0;Scherrer Fabian;*;10;55.25;8;46.75;1;-0.25;10.0

5a;Gapany Benjamin;***;;;;;;;;;56.75
+;;;Lustenberger Marc;**;;;;;;;10.0
+;1;10.0;Ettlin Stefan;**;11;55.0;2;9.75;1;-0.25;10.0
o;1;20.0;Wicki Joel;***;1;58.5;4;18.75;3;-1.25;8.5
-;4;28.5;Kolb This;**;11;55.0;4;28.5;0;0.0;8.75
+;7;37.25;Scherrer Fabian;*;10;55.25;4;38.25;-3;1.0;9.75
+;7;47.0;Riget Florian;**;10;55.25;8;46.75;1;-0.25;9.75

5b;Räbsamen Marcel;**;;;;;;;;;56.75
+;;;Nötzli Reto;***;;;;;;;10.0
o;1;10.0;Scherrer Fabian;*;10;55.25;1;10.0;0;0.0;8.5
+;5;18.5;Wiget Ueli;*;15;54.0;6;18.25;1;-0.25;9.75
+;5;28.25;Hegner Ueli;*;10;55.25;5;28.25;0;0.0;10.0
o;4;38.25;Schurtenberger Sven;***;4;57.0;7;37.25;3;-1.0;8.5
+;8;46.75;Wandeler Roman;**;7;56.0;6;47.25;-2;0.5;10.0

6a;Schlegel Werner;**;;;;;;;;;56.5
-;;;Schurtenberger Sven;***;;;;;;;8.75
+;3;8.75;Suter Pirmin;**;30;27.0;1;10.0;-2;1.25;9.75
+;5;18.5;Scherrer Fabian;*;10;55.25;2;19.75;-3;1.25;9.75
+;5;28.25;Collaud Romain;**;3;57.25;3;28.75;-2;0.5;9.75
+;5;38.0;Duplan Steve;***;8;55.75;7;37.25;2;-0.75;9.75
o;4;47.75;Burch Jonas;**;4;57.0;7;47.0;3;-0.75;8.75

6b;Moser Steven;**;;;;;;;;;56.5
+;;;Kaufmann Reto;**;;;;;;;9.75
+;2;9.75;Bieri Marcel;***;3;57.25;3;8.75;1;-1.0;9.75
-;3;19.5;Gwerder Dario;**;8;55.75;5;18.5;2;-1.0;8.75
+;5;28.25;Kessler Joel;*;7;56.0;3;28.75;-2;0.5;10.0
+;4;38.25;Rychen Roger;***;3;57.25;1;39.0;-3;0.75;9.75
o;3;48.0;Orlik Armon;***;2;58.0;2;48.25;-1;0.25;8.5

6c;Schneider Mario;**;;;;;;;;;56.5
+;;;Schöpfer Ronny;**;;;;;;;9.75
+;2;9.75;Hegner Ueli;*;10;55.25;1;10.0;-1;0.25;9.75
+;3;19.5;Kaufmann Reto;**;9;55.5;5;18.5;2;-1.0;9.75
o;2;29.25;Wicki Joel;***;1;58.5;3;28.75;1;-0.5;8.5
+;6;37.75;Lemmenmeier Lukas;*;15;54.0;8;37.0;2;-0.75;10.0
-;4;47.75;Gwerder Dario;**;8;55.75;7;47.0;3;-0.75;8.75

7a;Kessler Joel;*;;;;;;;;;56.0
+;;;Grossenbacher Simon;*;;;;;;;10.0
-;1;10.0;Burkhalter Stefan;***;12;54.75;1;10.0;0;0.0;8.75
+;4;18.75;Lehmann Philipp;**;17;53.5;5;18.5;1;-0.25;10.0
o;3;28.75;Moser Steven;**;6;56.5;5;28.25;2;-0.5;8.5
-;7;37.25;Kolb This;**;11;55.0;7;37.25;0;0.0;8.75
+;11;46.0;Odermatt Andreas;**;15;54.0;13;45.5;2;-0.5;10.0

7b;Wandeler Roman;**;;;;;;;;;56.0
-;;;Collaud Romain;**;;;;;;;8.75
+;3;8.75;Schnurrenberger Roman;**;25;34.75;4;8.5;1;-0.25;10.0
o;4;18.75;Orlik Armon;***;2;58.0;5;18.5;1;-0.25;8.5
+;8;27.25;Riedo Fredy;*;15;54.0;8;27.25;0;0.0;10.0
+;7;37.25;Balimann Sandro;*;13;54.5;7;37.25;0;0.0;10.0
o;6;47.25;Räbsamen Marcel;**;5;56.75;8;46.75;2;-0.5;8.75

8a;Gwerder Dario;**;;;;;;;;;55.75
-;;;Kolb This;**;;;;;;;8.75
+;3;8.75;Rotach Lars;*;9;55.5;2;9.75;-1;1.0;9.75
-;5;18.5;Moser Steven;**;6;56.5;3;19.5;-2;1.0;8.75
+;8;27.25;Colò Kilian;**;23;35.5;9;27.0;1;-0.25;9.75
+;8;37.0;Bernhard Lukas;**;10;55.25;8;37.0;0;0.0;10.0
-;7;47.0;Schneider Mario;**;6;56.5;4;47.75;-3;0.75;8.75

8b;Duplan Steve;***;;;;;;;;;55.75
-;;;Bieri Marcel;***;;;;;;;8.75
+;3;8.75;Elsener Marcel;*;24;35.25;2;9.75;-1;1.0;10.0
+;4;18.75;Thierstein Marco;*;15;54.0;3;19.5;-1;0.75;10.0
o;3;28.75;Orlik Armon;***;2;58.0;4;28.5;1;-0.25;8.5
o;7;37.25;Schlegel Werner;**;6;56.5;5;38.0;-2;0.75;8.5
+;12;45.75;Heinzer Ronny;*;13;54.5;11;46.0;-1;0.25;10.0

8c;Geisser Lars;**;;;;;;;;;55.75
+;;;Bernhard Lukas;**;;;;;;;10.0
-;1;10.0;Schurtenberger Sven;***;4;57.0;3;8.75;2;-1.25;8.75
+;4;18.75;Heinzer Lukas (2004);*;14;54.25;4;18.75;0;0.0;10.0
+;3;28.75;Lustenberger Marc;**;12;54.75;5;28.25;2;-0.5;9.75
o;3;38.5;Kramer Lario;***;4;57.0;4;38.25;1;-0.25;8.5
-;7;47.0;Matthey Mickaël;**;11;55.0;10;46.25;3;-0.75;8.75

8d;Ackermann Remo;*;;;;;;;;;55.75
+;;;Heinzer Ronny;*;;;;;;;9.75
o;2;9.75;Nötzli Reto;***;32;18.5;4;8.5;2;-1.25;8.5
+;6;18.25;Elsener Marcel;*;24;35.25;6;18.25;0;0.0;10.0
-;5;28.25;Odermatt Christian;**;9;55.5;6;28.0;1;-0.25;8.75
-;8;37.0;Lustenberger Marc;**;12;54.75;8;37.0;0;0.0;8.75
+;12;45.75;Schuler Alex;*;15;54.0;13;45.5;1;-0.25;10.0

9a;Borcard Johann;**;;;;;;;;;55.5
-;;;Zurfluh Roman;**;;;;;;;8.75
+;3;8.75;Wyss Christian;*;24;35.25;2;9.75;-1;1.0;9.75
+;5;18.5;Müller Luca (2004);*;16;53.75;6;18.25;1;-0.25;10.0
o;4;28.5;Schurtenberger Sven;***;4;57.0;8;27.25;4;-1.25;8.5
+;8;37.0;Odermatt Andreas;**;15;54.0;8;37.0;0;0.0;9.75
-;8;46.75;Odermatt Christian;**;9;55.5;8;46.75;0;0.0;8.75

9b;Odermatt Christian;**;;;;;;;;;55.5
+;;;Matthey Mickaël;**;;;;;;;9.75
+;2;9.75;Dändliker Shane;**;4;57.0;1;10.0;-1;0.25;9.75
o;3;19.5;Rychen Roger;***;3;57.25;3;19.5;0;0.0;8.5
-;6;28.0;Ackermann Remo;*;8;55.75;5;28.25;-1;0.25;8.75
+;9;36.75;Felder Martin;**;9;55.5;8;37.0;-1;0.25;10.0
-;8;46.75;Borcard Johann;**;9;55.5;8;46.75;0;0.0;8.75

9c;Felder Martin;**;;;;;;;;;55.5
+;;;Blaser Christian;**;;;;;;;10.0
o;1;10.0;Orlik Armon;***;2;58.0;3;8.75;2;-1.25;8.5
+;5;18.5;Murer Andy;**;10;55.25;5;18.5;0;0.0;10.0
o;4;28.5;Dändliker Shane;**;4;57.0;4;28.5;0;0.0;8.5
o;8;37.0;Odermatt Christian;**;9;55.5;9;36.75;1;-0.25;8.5
+;13;45.5;Riedo Fredy;*;15;54.0;13;45.5;0;0.0;10.0

9d;Arnold Raphael;**;;;;;;;;;55.5
+;;;Schnurrenberger Roman;**;;;;;;;10.0
+;1;10.0;Kenel Franz-Toni;*;13;54.5;2;9.75;1;-0.25;9.75
o;2;19.75;Kramer Lario;***;4;57.0;1;20.0;-1;0.25;8.5
-;5;28.25;Thierstein Marco;*;15;54.0;6;28.0;1;-0.25;9.0
o;7;37.25;Collaud Romain;**;3;57.25;7;37.25;0;0.0;8.5
+;12;45.75;Heinzer Lukas (2004);*;14;54.25;12;45.75;0;0.0;9.75

9e;Kaufmann Reto;**;;;;;;;;;55.5
o;;;Moser Steven;**;;;;;;;8.5
+;4;8.5;Droxler Jonathan;**;14;54.25;4;8.5;0;0.0;10.0
o;5;18.5;Schneider Mario;**;6;56.5;3;19.5;-2;1.0;8.5
+;9;27.0;Wiget Ueli;*;15;54.0;10;26.75;1;-0.25;10.0
+;8;37.0;Hegner Ueli;*;10;55.25;9;36.75;1;-0.25;9.75
o;8;46.75;Rychen Roger;***;3;57.25;5;47.5;-3;0.75;8.75

9f;Rotach Lars;*;;;;;;;;;55.5
+;;;Reichmuth Roland;*;;;;;;;9.75
o;2;9.75;Gwerder Dario;**;8;55.75;3;8.75;1;-1.0;8.5
-;6;18.25;Burch Jonas;**;4;57.0;5;18.5;-1;0.25;8.75
-;9;27.0;Betschart Patrick;*;13;54.5;9;27.0;0;0.0;8.75
+;12;35.75;Waser Reto;*;19;52.75;13;35.5;1;-0.25;9.75
+;13;45.5;Schöpfer Ronny;**;13;54.5;12;45.75;-1;0.25;10.0

10a;Bernhard Lukas;**;;;;;;;;;55.25
o;;;Geisser Lars;**;;;;;;;8.5
+;4;8.5;Emonet Frédéric;**;27;34.25;3;8.75;-1;0.25;9.75
+;6;18.25;Droxler Jonathan;**;14;54.25;9;17.0;3;-1.25;10.0
-;5;28.25;Burkhalter Stefan;***;12;54.75;7;27.5;2;-0.75;8.75
o;8;37.0;Gwerder Dario;**;8;55.75;8;37.0;0;0.0;8.5
+;13;45.5;Wiget Ueli;*;15;54.0;13;45.5;0;0.0;9.75

10b;Reichmuth Roland;*;;;;;;;;;55.25
o;;;Rotach Lars;*;;;;;;;8.5
+;4;8.5;Gottofrey Luc;*;19;52.75;3;8.75;-1;0.25;9.75
o;6;18.25;Riget Florian;**;10;55.25;6;18.25;0;0.0;8.5
+;10;26.75;Jund Matthias;*;19;52.75;9;27.0;-1;0.25;10.0
o;9;36.75;Burch Jonas;**;4;57.0;8;37.0;-1;0.25;8.75
+;13;45.5;Odermatt Andreas;**;15;54.0;13;45.5;0;0.0;9.75

10c;Hegner Ueli;*;;;;;;;;;55.25
+;;;Ammann Rico;*;;;;;;;10.0
o;1;10.0;Schneider Mario;**;6;56.5;2;9.75;1;-0.25;8.5
