4449-2019-05-05_100_Zuger_Kantonales_Schwingfest-ST

1a;Reichmuth Pirmin;***;;;;;;;;;59.75
+;;;Imhof Andi;***;;;;;;;10.0
+;1;10.0;Zimmermann Simon;**;12;55.25;1;10.0;0;0.0;10.0
+;1;20.0;Odermatt Christian;**;7;56.5;3;19.5;2;-0.5;10.0
+;1;30.0;Müllestein Mike;***;8;56.25;4;28.75;3;-1.25;10.0
+;1;40.0;Linggi Bruno;**;5;57.0;3;38.75;2;-1.25;9.75
+;1;49.75;Bieri Marcel;**;4;57.25;2;48.5;1;-1.25;10.0

2a;Suppiger Werner;**;;;;;;;;;57.75
-;;;Schuler Alex;***;;;;;;;8.75
+;4;8.75;Zurfluh Michael;*;11;55.5;2;9.75;-2;1.0;10.0
+;5;18.75;Gander Michael;;13;55.0;3;19.5;-2;0.75;10.0
-;4;28.75;Strebel Joel;**;8;56.25;5;28.5;1;-0.25;9.0
+;7;37.75;Betschart Daniel;;15;54.5;8;37.5;1;-0.25;10.0
+;5;47.75;Barmettler Peter;*;12;55.25;9;46.75;4;-1.0;10.0

2b;Imhof Andi;***;;;;;;;;;57.75
o;;;Reichmuth Pirmin;***;;;;;;;8.5
+;5;8.5;Reichmuth Armin;*;8;56.25;2;9.75;-3;1.25;9.75
+;7;18.25;Gwerder Andreas;*;16;54.25;5;18.75;-2;0.5;9.75
+;7;28.0;Ulrich Marco;*;11;55.5;5;28.5;-2;0.5;10.0
+;6;38.0;Reichmuth Marco;**;4;57.25;3;38.75;-3;0.75;10.0
+;4;48.0;Ulrich Andreas;***;6;56.75;3;48.25;-1;0.25;9.75

3a;Bernhard Lukas;*;;;;;;;;;57.5
-;;;Betschart Remo;**;;;;;;;8.75
+;4;8.75;Thierstein Marco;*;13;55.0;3;9.0;-1;0.25;10.0
+;5;18.75;Meier Andreas;;18;53.75;2;19.75;-3;1.0;9.75
-;5;28.5;Steinauer Adrian;**;9;56.0;5;28.5;0;0.0;9.0
+;8;37.5;Riebli Urs (2002);;10;55.75;5;38.25;-3;0.75;10.0
+;6;47.5;Ulrich Marco;*;11;55.5;8;47.0;2;-0.5;10.0

3b;Betschart Remo;**;;;;;;;;;57.5
-;;;Bernhard Lukas;*;;;;;;;8.75
+;4;8.75;Betschart Silvan;*;26;34.75;3;9.0;-1;0.25;10.0
+;5;18.75;Gloggner Philipp;***;29;27.25;5;18.75;0;0.0;9.75
+;5;28.5;Vogel Manuel;;11;55.5;5;28.5;0;0.0;10.0
-;4;38.5;Arnold Raphael;**;6;56.75;5;38.25;1;-0.25;9.0
+;6;47.5;Schnider Markus;*;12;55.25;9;46.75;3;-0.75;10.0

4a;Burch Jonas;*;;;;;;;;;57.25
+;;;Reichmuth Roland;*;;;;;;;10.0
o;1;10.0;Bieri Marcel;**;4;57.25;2;9.75;1;-0.25;8.75
+;5;18.75;Bucher André (2001);;13;55.0;3;19.5;-2;0.75;10.0
o;4;28.75;Reichmuth Marco;**;4;57.25;4;28.75;0;0.0;8.75
+;8;37.5;Suter Bruno (2002);;16;54.25;9;37.25;1;-0.25;9.75
+;7;47.25;Betschart Rainer;**;10;55.75;7;47.25;0;0.0;10.0

4b;Gloggner Reto;**;;;;;;;;;57.25
+;;;Strebel Joel;**;;;;;;;10.0
+;1;10.0;Bucher Roland;*;11;55.5;1;10.0;0;0.0;10.0
o;1;20.0;Bieri Marcel;**;4;57.25;2;19.75;1;-0.25;8.5
+;5;28.5;Beffa Mario;;15;54.5;4;28.75;-1;0.25;10.0
-;4;38.5;Mathis Marcel;***;8;56.25;8;37.5;4;-1.0;8.75
+;7;47.25;Ettlin Martin;;11;55.5;8;47.0;1;-0.25;10.0

4c;Reichmuth Marco;**;;;;;;;;;57.25
+;;;Kälin Roland;**;;;;;;;10.0
-;1;10.0;Vonlaufen Lukas;*;11;55.5;2;9.75;1;-0.25;8.75
+;5;18.75;Wicki Patrick;;10;55.75;1;20.0;-4;1.25;10.0
+;4;28.75;Burch Jonas;*;4;57.25;4;28.75;0;0.0;10.0
o;3;38.75;Imhof Andi;***;2;57.75;6;38.0;3;-0.75;8.5
+;7;47.25;Zimmermann Simon;**;12;55.25;9;46.75;2;-0.5;10.0

4d;Wicki Joel;**;;;;;;;;;57.25
-;;;Mathis Marcel;***;;;;;;;8.75
