4187-2018-07-29_Bruenig-Schwinget-ST

1a;Fankhauser Reto;**;;;;;;;;;92.0
+;;;Studinger Stephan;**;;;;;;;9.75
o;;;Muff André;*;;;;;;;8.5
+;1;18.25;Voggensperger Janic;**;9;56.0;2;10.0;1;-8.25;9.75
+;1;18.25;Ulrich Marco;*;31;17.0;6;8.5;5;-9.75;9.75
o;1;37.75;Wenger Kilian;***;5;57.0;4;19.5;3;-18.25;8.5
o;1;37.75;Doppmann Urs;**;11;55.5;8;18.25;7;-19.5;8.5
+;1;54.75;Aellen Philipp;*;17;54.0;7;28.25;6;-26.5;10.0
-;1;54.75;Egli Damian;**;24;35.5;13;26.75;12;-28.0;8.75
o;1;73.5;Stucki Christian;***;3;57.5;7;37.5;6;-36.0;8.5
+;1;82.0;Luginbühl Hanspeter;**;13;55.0;9;46.5;8;-35.5;10.0

2a;Fankhauser Erich;***;;;;;;;;;57.75
o;;;Anderegg Simon;***;;;;;;;8.5
+;6;8.5;Schenkel Remo;*;24;35.5;3;9.75;-3;1.25;10.0
+;7;18.5;Röthlisberger Simon;**;10;55.75;6;18.75;-1;0.25;9.75
+;7;28.25;Luginbühl Hanspeter;**;13;55.0;7;28.25;0;0.0;9.75
+;5;38.0;Weyermann Florian;*;10;55.75;3;38.5;-2;0.5;9.75
+;4;47.75;Roschi Ruedi;**;7;56.5;4;47.75;0;0.0;10.0

3a;Stucki Christian;***;;;;;;;;;57.5
-;;;Schuler Christian;***;;;;;;;8.75
+;5;8.75;Höﬂiger Andreas;**;17;54.0;3;9.75;-2;1.0;10.0
-;6;18.75;Fankhauser Marco;**;16;54.25;7;18.5;1;-0.25;8.75
+;10;27.5;Doppmann Urs;**;11;55.5;7;28.25;-3;0.75;10.0
+;7;37.5;Fankhauser Reto;**;1;92.0;1;73.5;-6;36.0;10.0
+;5;47.5;Imhof Andi;***;7;56.5;3;48.0;-2;0.5;10.0

4a;Wicki Joel;**;;;;;;;;;57.25
-;;;Käser Remo;***;;;;;;;9.0
+;4;9.0;Sommer Roman;*;13;55.0;3;9.75;-1;0.75;9.75
+;6;18.75;Schenk Patrick;***;15;54.5;6;18.75;0;0.0;9.75
+;6;28.5;Aeschbacher Matthias;**;8;56.25;5;28.75;-1;0.25;10.0
+;3;38.5;Gnägi Florian;***;6;56.75;4;38.25;1;-0.25;9.75
-;2;48.25;Wenger Kilian;***;5;57.0;3;48.0;1;-0.25;9.0

4b;Alpiger Nick;***;;;;;;;;;57.25
+;;;von Ah Benji;***;;;;;;;9.75
+;3;9.75;von Büren Stephan;*;25;35.25;3;9.75;0;0.0;9.75
+;4;19.5;Rohrer Ueli;*;15;54.5;3;19.75;-1;0.25;9.75
+;4;29.25;Wenger Kilian;***;5;57.0;3;29.5;-1;0.25;9.75
o;2;39.0;Schuler Christian;***;5;57.0;4;38.25;2;-0.75;8.5
+;5;47.5;Schwander Severin;*;12;55.25;8;46.75;3;-0.75;9.75

5a;Wenger Kilian;***;;;;;;;;;57.0
+;;;Schmid David;***;;;;;;;9.75
+;3;9.75;Müller Michael;**;16;54.25;2;10.0;-1;0.25;9.75
+;4;19.5;Fankhauser Reto;**;1;92.0;1;37.75;-3;18.25;10.0
o;3;29.5;Alpiger Nick;***;4;57.25;4;29.25;1;-0.25;8.5
+;5;38.0;Ettlin Stefan;**;9;56.0;6;37.75;1;-0.25;10.0
-;3;48.0;Wicki Joel;**;4;57.25;2;48.25;-1;0.25;9.0

5b;Käser Remo;***;;;;;;;;;57.0
-;;;Wicki Joel;**;;;;;;;9.0
+;4;9.0;Doppmann Urs;**;11;55.5;3;9.75;-1;0.75;9.75
+;6;18.75;Widmer Tobias;**;11;55.5;6;18.75;0;0.0;10.0
+;5;28.75;Räbmatter Patrick;***;5;57.0;6;28.5;1;-0.25;9.75
o;3;38.5;Imhof Andi;***;7;56.5;4;38.25;1;-0.25;8.75
+;6;47.25;Odermatt Christian;**;13;55.0;9;46.5;3;-0.75;9.75

5c;Räbmatter Patrick;***;;;;;;;;;57.0
o;;;Schurtenberger Sven;***;;;;;;;8.5
+;6;8.5;Zangger Dominik;*;24;35.5;2;10.0;-4;1.5;10.0
+;7;18.5;Nägeli Daniel;*;20;53.25;7;18.5;0;0.0;10.0
