3494-2017-05-28_Solothurner_Kantonalschwingfest-ST

1a;Gisler Bruno;***;;;;;;;;;59.5
+;;;Thürig Mario;***;;;;;;;9.75
+;2;9.75;Brand Christian;**;8;56.25;2;9.75;0;0.0;10.0
+;1;19.75;Döbeli Lukas (2000);*;5;57.0;1;19.75;0;0.0;9.75
+;1;29.5;Räbmatter Patrick;***;3;58.25;1;29.5;0;0.0;10.0
+;1;39.5;Schaffner Samuel;**;11;55.5;3;38.5;2;-1.0;10.0
+;1;49.5;Blatter Lorenz;**;4;57.5;2;48.75;1;-0.75;10.0

2a;Kropf Marcel;**;;;;;;;;;58.5
+;;;Döbeli Andreas;*;;;;;;;10.0
o;1;10.0;Räbmatter Patrick;***;3;58.25;2;9.75;1;-0.25;8.5
+;5;18.5;Regenass Beat;;17;54.0;5;18.5;0;0.0;10.0
+;4;28.5;Erb Roger;**;4;57.5;2;29.0;-2;0.5;10.0
+;3;38.5;Thoenen Henryc;**;6;56.75;4;38.25;1;-0.25;10.0
+;3;48.5;Hermann Oliver;*;10;55.75;6;47.25;3;-1.25;10.0

3a;Räbmatter Patrick;***;;;;;;;;;58.25
+;;;Stalder Remo;***;;;;;;;9.75
+;2;9.75;Kropf Marcel;**;2;58.5;1;10.0;-1;0.25;10.0
+;1;19.75;Schillig Willi;**;15;54.5;4;18.75;3;-1.0;9.75
o;1;29.5;Gisler Bruno;***;1;59.5;1;29.5;0;0.0;8.75
+;4;38.25;Zürcher Remo;*;9;56.0;7;37.5;3;-0.75;10.0
+;4;48.25;Mangold Michael;*;10;55.75;6;47.25;2;-1.0;10.0

4a;Erb Roger;**;;;;;;;;;57.5
+;;;Strebel Joel;**;;;;;;;10.0
-;1;10.0;Bieri Christoph;***;5;57.0;3;9.0;2;-1.0;9.0
+;3;19.0;Lisser Beat;;14;54.75;3;19.0;0;0.0;10.0
o;2;29.0;Kropf Marcel;**;2;58.5;4;28.5;2;-0.5;8.5
+;7;37.5;Steger Robert;;17;54.0;9;37.0;2;-0.5;10.0
+;5;47.5;Küng Marco;*;12;55.25;8;46.75;3;-0.75;10.0

4b;Blatter Lorenz;**;;;;;;;;;57.5
-;;;Klausner Yanick;**;;;;;;;9.0
+;3;9.0;Steger Robert;;17;54.0;1;10.0;-2;1.0;10.0
+;3;19.0;Anderegg David;*;15;54.5;3;19.0;0;0.0;10.0
+;2;29.0;Winiger Fabian;**;10;55.75;4;28.5;2;-0.5;9.75
+;2;38.75;Strebel Joel;**;8;56.25;6;37.75;4;-1.0;10.0
o;2;48.75;Gisler Bruno;***;1;59.5;1;49.5;-1;0.75;8.75

4c;Voggensperger Janic;**;;;;;;;;;57.5
-;;;Bieri Christoph;***;;;;;;;8.75
+;4;8.75;Jusufi Azret;;14;54.75;1;10.0;-3;1.25;10.0
+;4;18.75;Eggen Markus;;16;54.25;1;19.75;-3;1.0;10.0
-;3;28.75;Alpiger Nick;***;5;57.0;3;28.75;0;0.0;8.75
+;7;37.5;Reimann Marco;;11;55.5;9;37.0;2;-0.5;10.0
+;5;47.5;Schaffner Samuel;**;11;55.5;7;47.0;2;-0.5;10.0

5a;Bieri Christoph;***;;;;;;;;;57.0
-;;;Voggensperger Janic;**;;;;;;;9.0
-;3;9.0;Erb Roger;**;4;57.5;1;10.0;-2;1.0;9.0
+;7;18.0;Moser Matthias;*;15;54.5;4;18.75;-3;0.75;10.0
-;6;28.0;von Arx Christian;*;8;56.25;4;28.5;-2;0.5;9.0
+;9;37.0;Kohler Adrian;;14;54.75;6;37.75;-3;0.75;10.0
+;7;47.0;Probst Gabriel;**;11;55.5;7;47.0;0;0.0;10.0

5b;Stalder Remo;***;;;;;;;;;57.0
o;;;Räbmatter Patrick;***;;;;;;;8.5
+;5;8.5;Hermann Oliver;*;10;55.75;1;10.0;-4;1.5;10.0
+;5;18.5;Mangold Michael;*;10;55.75;4;18.75;-1;0.25;10.0
+;4;28.5;Widmer Tobias;**;7;56.5;4;28.5;0;0.0;10.0
+;3;38.5;Döbeli Andreas;*;7;56.5;5;38.0;2;-0.5;10.0
o;3;48.5;Schmid Samuel;**;5;57.0;7;47.0;4;-1.5;8.5

5c;Schmid Samuel;**;;;;;;;;;57.0
o;;;Döbeli Lukas (2000);*;;;;;;;8.5
+;5;8.5;Dobler Florian;;14;54.75;2;9.75;-3;1.25;9.75
+;6;18.25;Bader Fabian (2000);;15;54.5;5;18.5;-1;0.25;10.0
-;5;28.25;Jusufi Azret;;14;54.75;4;28.5;-1;0.25;8.75
+;9;37.0;Scherrer Johann;**;16;54.25;8;37.25;-1;0.25;10.0
+;7;47.0;Stalder Remo;***;5;57.0;3;48.5;-4;1.5;10.0

5d;Döbeli Lukas (2000);*;;;;;;;;;57.0
+;;;Schmid Samuel;**;;;;;;;10.0
+;1;10.0;Odermatt Adrian (2001);*;11;55.5;4;8.75;3;-1.25;9.75
o;1;19.75;Gisler Bruno;***;1;59.5;1;19.75;0;0.0;8.5
+;5;28.25;Aerni Lars;;13;55.0;4;28.5;-1;0.25;10.0
-;4;38.25;Hauri Urs;**;6;56.75;4;38.25;0;0.0;8.75
+;7;47.0;Rohrbach Jérôme (2000);;14;54.75;10;46.25;3;-0.75;10.0

5e;Alpiger Nick;***;;;;;;;;;57.0
+;;;Thoenen Henryc;**;;;;;;;9.75
-;2;9.75;Henzer Andreas;**;8;56.25;2;9.75;0;0.0;9.0
+;4;18.75;Bader Andreas;**;11;55.5;4;18.75;0;0.0;10.0
-;3;28.75;Voggensperger Janic;**;4;57.5;3;28.75;0;0.0;8.75
+;7;37.5;Brand Christian;**;8;56.25;5;38.0;-2;0.5;9.75
+;6;47.25;Voggensperger Lars (2001);;10;55.75;6;47.25;0;0.0;9.75

6a;Thoenen Henryc;**;;;;;;;;;56.75
o;;;Alpiger Nick;***;;;;;;;8.5
+;5;8.5;Probst Gabriel;**;11;55.5;1;10.0;-4;1.5;10.0
+;5;18.5;Widmer David;;15;54.5;4;18.75;-1;0.25;9.75
+;5;28.25;Eggen Markus;;16;54.25;5;28.25;0;0.0;10.0
o;4;38.25;Kropf Marcel;**;2;58.5;3;38.5;-1;0.25;8.75
+;7;47.0;Hügli Kaj;*;13;55.0;9;46.5;2;-0.5;9.75

6b;Thürig Mario;***;;;;;;;;;56.75
o;;;Gisler Bruno;***;;;;;;;8.5
