3077-2016-06-19_101_Basellandschaftliches_Kantonalschwingfest-ST

1a;Erb Roger;**;;;;;;;;;58.75
+;4;8.75;Döbeli Andreas (1998);*;9;55.75;1;10.0;-3;1.25;10.0
-;5;18.75;Strebel Joel;**;23;47.0;6;18.5;1;-0.25;9.0
+;6;27.75;Huber Cédric;**;4;57.0;2;28.75;-4;1.0;9.75
+;6;37.5;Leuthard Reto;*;5;56.75;3;38.25;-3;0.75;10.0
+;5;47.5;Voggensperger Janic (1998);*;5;56.75;3;48.25;-2;0.75;9.75

3c;Räbmatter Patrick;**;;;;;;;;;57.25
+;;;von Arx Christian;*;;;;;;;9.75
-;2;9.75;Thoenen Henryc;**;24;46.75;2;9.75;0;0.0;8.75
+;6;18.5;Allenbach Björn;;10;55.5;5;18.75;-1;0.25;10.0
-;3;28.5;Vieira Tiago;**;22;47.25;3;28.5;0;0.0;8.75
+;7;37.25;Schwyn Adrian;;17;53.75;9;36.75;2;-0.5;10.0
+;6;47.25;Schudel Simon;*;12;55.0;9;46.5;3;-0.75;10.0

3d;Alpiger Nick;**;;;;;;;;;57.25
-;;;Gisler Bruno;***;;;;;;;8.75
+;4;8.75;Scherrer Johann;**;10;55.5;4;8.75;0;0.0;10.0
+;5;18.75;Stoll Simon;;6;56.5;3;19.5;-2;0.75;10.0
+;2;28.75;Brun Samuel (1999);*;11;55.25;3;28.5;1;-0.25;10.0
+;1;38.75;Thoenen Henryc;**;24;46.75;3;38.25;2;-0.5;9.75
o;2;48.5;Bieri Christoph;***;21;47.5;5;47.5;3;-1.0;8.75

4a;Hügli Kaj;*;;;;;;;;;57.0
+;;;Schneider Markus;*;;;;;;;10.0
-;1;10.0;Hasler Manuel;*;4;57.0;2;9.75;1;-0.25;9.0
o;4;19.0;Huber Cédric;**;4;57.0;5;18.75;1;-0.25;8.5
+;7;27.5;Büttler Adrian (1999);;10;55.5;8;27.25;1;-0.25;9.75
+;7;37.25;Knutti Alexander (1999);;16;54.0;9;36.75;2;-0.5;10.0
+;6;47.25;Gschwind Michael;**;10;55.5;7;47.0;1;-0.25;9.75

4b;Huber Cédric;**;;;;;;;;;57.0
-;;;Schmid Samuel;**;;;;;;;9.0
+;3;9.0;Hügli Kaj;*;4;57.0;1;10.0;-2;1.0;9.75
+;5;18.75;Widmer David;;11;55.25;6;18.5;1;-0.25;10.0
o;2;28.75;Stalder Remo;***;3;57.25;6;27.75;4;-1.0;8.5
+;7;37.25;Gander Michael (1998);;15;54.25;8;37.0;1;-0.25;10.0
+;6;47.25;Bader Andreas;*;10;55.5;7;47.0;1;-0.25;9.75

4c;Hasler Manuel;*;;;;;;;;;57.0
+;;;Scherrer Johann;**;;;;;;;9.75
-;2;9.75;Hügli Kaj;*;4;57.0;1;10.0;-1;0.25;9.0
o;5;18.75;Bieri Christoph;***;21;47.5;10;17.5;5;-1.25;8.5
+;8;27.25;Müller Simon;;20;53.0;8;27.25;0;0.0;10.0
+;7;37.25;Bürgler Patrick;;11;55.25;8;37.0;1;-0.25;10.0
+;6;47.25;Widmer David;;11;55.25;8;46.75;2;-0.5;9.75
-;4;57.0;Schmid Samuel;**;8;56.0;8;56.0;4;-1.0;0.0

4d;Kocher Remo;**;;;;;;;;;57.0
+;;;Hermann Oliver;*;;;;;;;10.0
-;1;10.0;Bieri Christoph;***;21;47.5;4;8.75;3;-1.25;8.75
+;5;18.75;Gander Michael (1998);;15;54.25;3;19.5;-2;0.75;9.75
+;3;28.5;Knutti Alexander (1999);;16;54.0;4;28.25;1;-0.25;10.0
o;2;38.5;Gisler Bruno;***;2;57.5;1;38.75;-1;0.25;8.5
