3077-2016-06-19_101_Basellandschaftliches_Kantonalschwingfest-ST

1a;Erb Roger;**;;;;;;;;;58.75
o;9;46.5;Räbmatter Patrick;**;3;57.25;6;47.25;-3;0.75;8.5

12c;Burren Patrick (1999);;;;;;;;;;55.0
+;;;Tschan Raphael (2000);;;;;;;;9.75
+;2;9.75;Schmutz Simon (2000);;19;53.25;1;10.0;-1;0.25;10.0
o;2;19.75;Henzer Andreas;**;6;56.5;4;19.0;2;-0.75;8.5
o;4;28.25;Thoenen Henryc;**;24;46.75;4;28.25;0;0.0;8.5
+;9;36.75;Jusufi Ilber;;10;55.5;9;36.75;0;0.0;9.75
o;9;46.5;Waldner Patrick;**;6;56.5;8;46.75;-1;0.25;8.5

12d;Schneider Markus;*;;;;;;;;;55.0
o;;;Hügli Kaj;*;;;;;;;8.5
o;5;8.5;Hermann Oliver;*;11;55.25;5;8.5;0;0.0;8.5
+;12;17.0;Aellig Roland (2000);;27;35.5;6;18.5;-6;1.5;9.75
+;10;26.75;Steger Robert (1998);;19;53.25;7;27.5;-3;0.75;9.75
+;10;36.5;Seiser Kay (2000);;19;53.25;12;36.0;2;-0.5;10.0
o;9;46.5;Schmutz Adrian;*;5;56.75;8;46.75;-1;0.25;8.5

12e;Schaub Florent;;;;;;;;;;55.0
+;;;Schwyn Adrian;;;;;;;;10.0
-;1;10.0;Reimann Marco (1998);;14;54.5;1;10.0;0;0.0;8.75
o;5;18.75;Leuthard Reto;*;5;56.75;6;18.5;1;-0.25;8.5
-;8;27.25;Aerni Lars;;13;54.75;8;27.25;0;0.0;9.0
o;11;36.25;Graber Colin (1998);;15;54.25;13;35.75;2;-0.5;8.75
+;15;45.0;Imobersteg Tobias (1998);;18;53.5;15;45.0;0;0.0;10.0

13a;Gabathuler Björn (1998);;;;;;;;;;54.75
o;;;Jusufi Azret;;;;;;;;8.75
+;4;8.75;François Cederic;;15;54.25;2;9.75;-2;1.0;9.75
o;6;18.5;Arnold Kornel;*;25;46.25;6;18.5;0;0.0;8.75
+;8;27.25;Widmer Tobias;**;10;55.5;9;27.0;1;-0.25;10.0
-;7;37.25;Roth Christian;;15;54.25;9;36.75;2;-0.5;9.0
o;10;46.25;Döbeli Andreas (1998);*;9;55.75;12;45.75;2;-0.5;8.5

13b;Aerni Lars;;;;;;;;;;54.75
+;;;Gisin Yanic;;;;;;;;10.0
-;1;10.0;Widmer Cyrill (1998);;14;54.5;1;10.0;0;0.0;8.75
o;5;18.75;Bader Andreas;*;10;55.5;6;18.5;1;-0.25;8.5
-;8;27.25;Schaub Florent;;12;55.0;8;27.25;0;0.0;9.0
-;11;36.25;Bruder Adrian;;19;53.25;13;35.75;2;-0.5;8.75
+;15;45.0;Schwob Marco;;16;54.0;13;45.5;-2;0.5;9.75

14a;Bader Fabian (2000);;;;;;;;;;54.5
o;;;Mangold Michael;;;;;;;;8.75
+;4;8.75;Bonato Raphael;;31;34.25;5;8.5;1;-0.25;10.0
o;5;18.75;Vieira Tiago;**;22;47.25;6;18.5;1;-0.25;8.5
o;8;27.25;Klausner Yanick;**;5;56.75;8;27.25;0;0.0;8.5
+;13;35.75;Reimann Marco (1998);;14;54.5;12;36.0;-1;0.25;9.75
-;13;45.5;Bearda Samuel;;14;54.5;13;45.5;0;0.0;9.0

14b;Widmer Cyrill (1998);;;;;;;;;;54.5
+;;;Knutti Alexander (1999);;;;;;;;10.0
-;1;10.0;Aerni Lars;;13;54.75;1;10.0;0;0.0;8.75
o;5;18.75;Schmid Samuel;**;8;56.0;9;17.75;4;-1.0;8.5
-;8;27.25;Rüegger Aaron (1999);;9;55.75;8;27.25;0;0.0;8.75
+;12;36.0;Läuchli Janik (2000);;19;53.25;12;36.0;0;0.0;10.0
o;11;46.0;Widmer Tobias;**;10;55.5;12;45.75;1;-0.25;8.5

14c;Bearda Samuel;;;;;;;;;;54.5
+;;;Burtschi Michael;;;;;;;;9.75
-;2;9.75;Jusufi Azret;;9;55.75;1;10.0;-1;0.25;8.75
o;6;18.5;Stüdeli Thomas;**;7;56.25;9;17.75;3;-0.75;8.5
+;9;27.0;Bieli Andreas;;27;35.5;9;27.0;0;0.0;10.0
o;8;37.0;Stoffel Marc;**;10;55.5;7;37.25;-1;0.25;8.5
-;13;45.5;Bader Fabian (2000);;14;54.5;13;45.5;0;0.0;9.0

14d;Mangold Michael;;;;;;;;;;54.5
+;;;Bader Fabian (2000);;;;;;;;9.75
+;2;9.75;Schaub Reto (2000);;17;53.75;1;10.0;-1;0.25;10.0
o;2;19.75;Erb Roger;**;1;58.75;5;18.75;3;-1.0;8.5
-;4;28.25;Hauri Urs;**;8;56.0;4;28.25;0;0.0;8.75
-;8;37.0;Dobler Florian;;14;54.5;8;37.0;0;0.0;9.0
o;11;46.0;Stüdeli Thomas;**;7;56.25;10;46.25;-1;0.25;8.5

14e;Dobler Florian;;;;;;;;;;54.5
+;;;Widmer David;;;;;;;;10.0
+;1;10.0;Mangold Martin;;10;55.5;1;10.0;0;0.0;9.75
-;2;19.75;Döbeli Andreas (1998);*;9;55.75;6;18.5;4;-1.25;8.75
o;3;28.5;Schmid David;**;6;56.5;3;28.5;0;0.0;8.5
-;8;37.0;Mangold Michael;;14;54.5;8;37.0;0;0.0;9.0
o;11;46.0;von Arx Christian;*;11;55.25;13;45.5;2;-0.5;8.5

14f;Stegmüller Klemens;*;;;;;;;;;54.5
o;;;Waldner Patrick;**;;;;;;;8.5
o;5;8.5;Voggensperger Janic (1998);*;5;56.75;4;8.75;-1;0.25;8.5
+;12;17.0;Krebs Clemens;;10;55.5;7;18.25;-5;1.25;9.75
-;10;26.75;Brügger Joël (2000);;12;55.0;7;27.5;-3;0.75;9.0
+;13;35.75;Burkhardt Roy;;20;53.0;13;35.75;0;0.0;10.0
o;12;45.75;Mangold Martin;;10;55.5;12;45.75;0;0.0;8.75

14g;Reimann Marco (1998);;;;;;;;;;54.5
+;;;Herrmann Adrian (2000);;;;;;;;10.0
-;1;10.0;Schaub Florent;;12;55.0;1;10.0;0;0.0;8.75
o;5;18.75;Gschwind Michael;**;10;55.5;6;18.5;1;-0.25;8.5
-;8;27.25;Arnold Kornel;*;25;46.25;7;27.5;-1;0.25;8.75
o;12;36.0;Bader Fabian (2000);;14;54.5;13;35.75;1;-0.25;8.5
+;17;44.5;Schmutz Simon (2000);;19;53.25;17;44.5;0;0.0;10.0

15a;François Cederic;;;;;;;;;;54.25
+;;;Probst Stefan;;;;;;;;9.75
o;2;9.75;Gabathuler Björn (1998);;13;54.75;4;8.75;2;-1.0;8.75
+;6;18.5;Nussbaumer Gabriel;;27;35.5;11;17.25;5;-1.25;10.0
o;3;28.5;Voggensperger Janic (1998);*;5;56.75;3;28.5;0;0.0;8.5
-;8;37.0;Gerber Andrj (2000);;10;55.5;8;37.0;0;0.0;8.75
o;12;45.75;Bürgler Patrick;;11;55.25;13;45.5;1;-0.25;8.5

15b;Graber Colin (1998);;;;;;;;;;54.25
-;;;Bruder Adrian;;;;;;;;8.75
-;4;8.75;Gisin Yanic;;11;55.25;4;8.75;0;0.0;8.75
+;10;17.5;Mohler Fernando;;32;34.0;12;17.0;2;-0.5;9.75
o;8;27.25;von Arx Christian;*;11;55.25;9;27.0;1;-0.25;8.5
+;13;35.75;Schaub Florent;;12;55.0;11;36.25;-2;0.5;10.0
o;12;45.75;Brun Samuel (1999);*;11;55.25;13;45.5;1;-0.25;8.5

15c;Gander Michael (1998);;;;;;;;;;54.25
+;;;Abt Robin;;;;;;;;9.75
+;2;9.75;Fehlmann Silvan;;28;35.25;2;9.75;0;0.0;9.75
o;3;19.5;Kocher Remo;**;4;57.0;5;18.75;2;-0.75;8.5
-;5;28.0;Löw Christophe;**;11;55.25;6;27.75;1;-0.25;9.0
o;8;37.0;Huber Cédric;**;4;57.0;7;37.25;-1;0.25;8.5
o;13;45.5;Gerber Andrj (2000);;10;55.5;12;45.75;-1;0.25;8.75

15d;Roth Christian;;;;;;;;;;54.25
+;;;Burkart Simon;;;;;;;;10.0
o;1;10.0;Stoll Simon;;6;56.5;2;9.75;1;-0.25;8.5
o;6;18.5;Vollenweider Jeremy (1998);*;5;56.75;8;18.0;2;-0.5;8.5
+;9;27.0;Fehlmann Silvan;;28;35.25;10;26.75;1;-0.25;9.75
-;9;36.75;Gabathuler Björn (1998);;13;54.75;7;37.25;-2;0.5;9.0
o;12;45.75;Allenbach Björn;;10;55.5;12;45.75;0;0.0;8.5

15e;Burtschi Michael;;;;;;;;;;54.25
o;;;Bearda Samuel;;;;;;;;8.5
-;5;8.5;Hitz Florian (1999);;30;34.5;5;8.5;0;0.0;8.75
-;11;17.25;Bachmann Marco (1999);;18;53.5;10;17.5;-1;0.25;8.75
+;12;26.0;Büttler Gian (2000);;27;35.5;9;27.0;-3;1.0;9.75
o;13;35.75;Widmer Tobias;**;10;55.5;13;35.75;0;0.0;8.5
+;18;44.25;Schmutz Simon (2000);;19;53.25;17;44.5;-1;0.25;10.0

16a;Knutti Alexander (1999);;;;;;;;;;54.0
o;;;Widmer Cyrill (1998);;;;;;;;8.5
+;5;8.5;Regenass Reto (2000);;32;34.0;5;8.5;0;0.0;10.0
+;6;18.5;Schaub Reto (2000);;17;53.75;6;18.5;0;0.0;9.75
o;4;28.25;Kocher Remo;**;4;57.0;3;28.5;-1;0.25;8.5
o;9;36.75;Hügli Kaj;*;4;57.0;7;37.25;-2;0.5;8.5
-;14;45.25;Reinhard Adrian;;18;53.5;16;44.75;2;-0.5;8.75

16b;Lisser Beat;;;;;;;;;;54.0
+;;;Schär Jonas (1999);;;;;;;;9.75
+;2;9.75;Steger Robert (1998);;19;53.25;3;9.0;1;-0.75;9.75
o;3;19.5;Voggensperger Janic (1998);*;5;56.75;5;18.75;2;-0.75;8.5
o;5;28.0;Strebel Joel;**;23;47.0;3;28.5;-2;0.5;8.5
-;10;36.5;Schwob Marco;;16;54.0;10;36.5;0;0.0;9.0
o;13;45.5;Rüegger Aaron (1999);;9;55.75;12;45.75;-1;0.25;8.5

16c;Schwob Marco;;;;;;;;;;54.0
o;;;Büttler Adrian (1999);;;;;;;;8.5
+;5;8.5;Loosli Adrian;;32;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Schudel Simon;*;12;55.0;12;17.0;5;-1.25;8.5
+;10;26.75;Bachmann Marco (1999);;18;53.5;11;26.25;1;-0.5;9.75
-;10;36.5;Lisser Beat;;16;54.0;10;36.5;0;0.0;9.0
o;13;45.5;Aerni Lars;;13;54.75;15;45.0;2;-0.5;8.5

16d;Schär Jonas (1999);;;;;;;;;;54.0
o;;;Lisser Beat;;;;;;;;8.5
+;5;8.5;Stoll Thomas (1998);;18;53.5;4;8.75;-1;0.25;10.0
o;6;18.5;Hauri Urs;**;8;56.0;7;18.25;1;-0.25;8.5
+;9;27.0;Fritz Andreas;;27;35.5;9;27.0;0;0.0;10.0
o;8;37.0;Löw Christophe;**;11;55.25;9;36.75;1;-0.25;8.5
o;13;45.5;Büttler Adrian (1999);;10;55.5;12;45.75;-1;0.25;8.5

17a;Seiler Thomas;;;;;;;;;;53.75
+;;;Fritz Andreas;;;;;;;;9.75
-;2;9.75;Büttler Adrian (1999);;10;55.5;2;9.75;0;0.0;8.75
+;6;18.5;Schmutz Simon (2000);;19;53.25;6;18.5;0;0.0;9.75
o;4;28.25;Brand Christian;**;2;57.5;3;28.5;-1;0.25;8.5
o;9;36.75;Schmutz Adrian;*;5;56.75;8;37.0;-1;0.25;8.5
o;14;45.25;Jusufi Azret;;9;55.75;12;45.75;-2;0.5;8.5

17b;Schaub Reto (2000);;;;;;;;;;53.75
+;;;Schaub Adrian (1999);;;;;;;;10.0
o;1;10.0;Mangold Michael;;14;54.5;2;9.75;1;-0.25;8.5
o;6;18.5;Knutti Alexander (1999);;16;54.0;6;18.5;0;0.0;8.5
+;9;27.0;Grossmann Andreas;;28;35.25;10;26.75;1;-0.25;9.75
o;9;36.75;Hermann Oliver;*;11;55.25;8;37.0;-1;0.25;8.5
o;14;45.25;Gisin Yanic;;11;55.25;13;45.5;-1;0.25;8.5

17c;Körkel Yannik;;;;;;;;;;53.75
+;;;Wyss Cyrill;;;;;;;;9.75
o;2;9.75;Fritz Christian;;17;53.75;2;9.75;0;0.0;8.5
+;7;18.25;Burkart Simon;;27;35.5;12;17.0;5;-1.25;9.75
o;5;28.0;Vollenweider Jeremy (1998);*;5;56.75;5;28.0;0;0.0;8.5
o;10;36.5;Brügger Cyrill (1998);;24;46.75;3;38.25;-7;1.75;8.5
-;15;45.0;Schopferer Cyril (2000);;20;53.0;18;44.25;3;-0.75;8.75

17d;Fritz Christian;;;;;;;;;;53.75
+;;;Riesen Ruedi;;;;;;;;9.75
+;2;9.75;Körkel Yannik;;17;53.75;2;9.75;0;0.0;9.75
o;3;19.5;Schaffner Samuel;**;9;55.75;6;18.5;3;-1.0;8.5
o;5;28.0;Leuthard Reto;*;5;56.75;4;28.25;-1;0.25;8.5
o;10;36.5;Rüegger Aaron (1999);;9;55.75;12;36.0;2;-0.5;8.75
o;14;45.25;Schwander Kilian;;11;55.25;14;45.25;0;0.0;8.5

17e;Schwyn Adrian;;;;;;;;;;53.75
o;;;Schaub Florent;;;;;;;;8.5
+;5;8.5;Mohler Fernando;;32;34.0;5;8.5;0;0.0;9.75
+;7;18.25;Herrmann Adrian (2000);;32;34.0;12;17.0;5;-1.25;10.0
o;4;28.25;Waldner Patrick;**;6;56.5;4;28.25;0;0.0;8.5
o;9;36.75;Räbmatter Patrick;**;3;57.25;7;37.25;-2;0.5;8.5
o;14;45.25;Jusufi Ilber;;10;55.5;13;45.5;-1;0.25;8.5

17f;Meister Luc;;;;;;;;;;53.75
o;;;Brügger Cyrill (1998);;;;;;;;8.5
+;5;8.5;Zagarella Davide (1999);;32;34.0;5;8.5;0;0.0;9.75
+;7;18.25;Abt Robin;;28;35.25;12;17.0;5;-1.25;10.0
o;4;28.25;Gschwind Michael;**;10;55.5;4;28.25;0;0.0;8.5
o;9;36.75;Vieira Tiago;**;22;47.25;7;37.25;-2;0.5;8.5
o;14;45.25;Riesen Ruedi;;25;46.25;10;46.25;-4;1.0;8.5

18a;Bachmann Marco (1999);;;;;;;;;;53.5
-;;;Schopferer Cyril (2000);;;;;;;;8.75
-;4;8.75;Bruder Adrian;;19;53.25;4;8.75;0;0.0;8.75
-;10;17.5;Burtschi Michael;;15;54.25;11;17.25;1;-0.25;8.75
+;11;26.25;Herrmann Adrian (2000);;32;34.0;14;25.5;3;-0.75;10.0
o;11;36.25;Schwob Marco;;16;54.0;10;36.5;-1;0.25;8.5
-;16;44.75;Müller Simon;;20;53.0;18;44.25;2;-0.5;8.75

18b;Imobersteg Tobias (1998);;;;;;;;;;53.5
o;;;Mangold Martin;;;;;;;;8.5
o;5;8.5;Grossmann Andreas;;28;35.25;5;8.5;0;0.0;8.5
+;12;17.0;Regenass Reto (2000);;32;34.0;12;17.0;0;0.0;9.75
+;10;26.75;Zagarella Davide (1999);;32;34.0;14;25.5;4;-1.25;9.75
o;10;36.5;Schudel Simon;*;12;55.0;10;36.5;0;0.0;8.5
o;15;45.0;Schaub Florent;;12;55.0;15;45.0;0;0.0;8.5

18c;Stoll Thomas (1998);;;;;;;;;;53.5
-;;;Läuchli Janik (2000);;;;;;;;8.75
o;4;8.75;Schär Jonas (1999);;16;54.0;5;8.5;1;-0.25;8.5
o;11;17.25;Fritz Andreas;;27;35.5;12;17.0;1;-0.25;8.75
+;12;26.0;Regenass Reto (2000);;32;34.0;14;25.5;2;-0.5;10.0
o;12;36.0;Arnold Kornel;*;25;46.25;6;37.5;-6;1.5;8.5
-;17;44.5;Steger Robert (1998);;19;53.25;17;44.5;0;0.0;9.0

18d;Reinhard Adrian;;;;;;;;;;53.5
-;;;Nussbaumer Gabriel;;;;;;;;8.75
-;4;8.75;Regenass Beat;;29;35.0;4;8.75;0;0.0;8.75
+;10;17.5;Wyss Cyrill;;32;34.0;12;17.0;2;-0.5;10.0
o;7;27.5;Schudel Simon;*;12;55.0;10;26.75;3;-0.75;8.5
o;12;36.0;Brügger Joël (2000);;12;55.0;10;36.5;-2;0.5;8.75
-;16;44.75;Knutti Alexander (1999);;16;54.0;14;45.25;-2;0.5;8.75

19a;Schmutz Simon (2000);;;;;;;;;;53.25
+;;;Zagarella Davide (1999);;;;;;;;10.0
o;1;10.0;Burren Patrick (1999);;12;55.0;2;9.75;1;-0.25;8.5
o;6;18.5;Seiler Thomas;;17;53.75;6;18.5;0;0.0;8.75
o;8;27.25;Schmid Samuel;**;8;56.0;7;27.5;-1;0.25;8.5
o;13;35.75;Burtschi Michael;;15;54.25;13;35.75;0;0.0;8.75
o;17;44.5;Reimann Marco (1998);;14;54.5;17;44.5;0;0.0;8.75

19b;Läuchli Janik (2000);;;;;;;;;;53.25
-;;;Stoll Thomas (1998);;;;;;;;9.0
+;3;9.0;Burkart Simon;;27;35.5;5;8.5;2;-0.5;10.0
o;4;19.0;Brun Samuel (1999);*;11;55.25;6;18.5;2;-0.5;8.5
o;7;27.5;Stüdeli Thomas;**;7;56.25;6;27.75;-1;0.25;8.5
o;12;36.0;Widmer Cyrill (1998);;14;54.5;12;36.0;0;0.0;8.5
-;17;44.5;Bruder Adrian;;19;53.25;17;44.5;0;0.0;8.75

19c;Seiser Kay (2000);;;;;;;;;;53.25
-;;;Steger Robert (1998);;;;;;;;9.0
o;3;9.0;Schaub Adrian (1999);;27;35.5;4;8.75;1;-0.25;8.5
o;10;17.5;Gisin Yanic;;11;55.25;10;17.5;0;0.0;8.5
+;12;26.0;Wyss Cyrill;;32;34.0;14;25.5;2;-0.5;10.0
o;12;36.0;Schneider Markus;*;12;55.0;10;36.5;-2;0.5;8.5
-;17;44.5;Burkhardt Roy;;20;53.0;18;44.25;1;-0.25;8.75

19d;Bruder Adrian;;;;;;;;;;53.25
-;;;Graber Colin (1998);;;;;;;;8.75
-;4;8.75;Bachmann Marco (1999);;18;53.5;4;8.75;0;0.0;8.75
+;10;17.5;Müller Jan (1998);;27;35.5;6;18.5;-4;1.0;9.75
o;8;27.25;Schmutz Adrian;*;5;56.75;8;27.25;0;0.0;8.5
-;13;35.75;Aerni Lars;;13;54.75;11;36.25;-2;0.5;8.75
-;17;44.5;Läuchli Janik (2000);;19;53.25;17;44.5;0;0.0;8.75

19e;Steger Robert (1998);;;;;;;;;;53.25
-;;;Seiser Kay (2000);;;;;;;;9.0
o;3;9.0;Lisser Beat;;16;54.0;2;9.75;-1;0.75;8.5
+;10;17.5;Zagarella Davide (1999);;32;34.0;12;17.0;2;-0.5;10.0
o;7;27.5;Schneider Markus;*;12;55.0;10;26.75;3;-0.75;8.5
o;12;36.0;Gisin Yanic;;11;55.25;13;35.75;1;-0.25;8.5
-;17;44.5;Stoll Thomas (1998);;18;53.5;17;44.5;0;0.0;8.75

20a;Schopferer Cyril (2000);;;;;;;;;;53.0
-;;;Bachmann Marco (1999);;;;;;;;8.75
o;4;8.75;Müller Simon;;20;53.0;3;9.0;-1;0.25;8.5
+;11;17.25;Tschan Raphael (2000);;32;34.0;12;17.0;1;-0.25;10.0
o;8;27.25;Scherrer Johann;**;10;55.5;8;27.25;0;0.0;8.5
o;13;35.75;Allenbach Björn;;10;55.5;13;35.75;0;0.0;8.5
-;18;44.25;Körkel Yannik;;17;53.75;15;45.0;-3;0.75;8.75

20b;Müller Simon;;;;;;;;;;53.0
-;;;Büttler Gian (2000);;;;;;;;9.0
+;3;9.0;Schopferer Cyril (2000);;20;53.0;4;8.75;1;-0.25;9.75
o;5;18.75;Brand Christian;**;2;57.5;6;18.5;1;-0.25;8.5
o;8;27.25;Hasler Manuel;*;4;57.0;8;27.25;0;0.0;8.5
o;13;35.75;Büttler Adrian (1999);;10;55.5;13;35.75;0;0.0;8.5
-;18;44.25;Bachmann Marco (1999);;18;53.5;16;44.75;-2;0.5;8.75

20c;Burkhardt Roy;;;;;;;;;;53.0
o;;;Riesen Ruedi;;;;;;;;8.5
o;5;8.5;Widmer David;;11;55.25;5;8.5;0;0.0;8.5
-;12;17.0;Hitz Florian (1999);;30;34.5;11;17.25;-1;0.25;8.75
+;13;25.75;Tschan Raphael (2000);;32;34.0;14;25.5;1;-0.25;10.0
o;13;35.75;Stegmüller Klemens;*;14;54.5;13;35.75;0;0.0;8.5
-;18;44.25;Seiser Kay (2000);;19;53.25;17;44.5;-1;0.25;8.75

21a;Bieri Christoph;***;;;;;;;;;47.5
-;;;Schmid David;**;;;;;;;8.75
-;4;8.75;Kocher Remo;**;4;57.0;1;10.0;-3;1.25;8.75
+;10;17.5;Hasler Manuel;*;4;57.0;5;18.75;-5;1.25;10.0
+;7;27.5;Hermann Oliver;*;11;55.25;3;28.5;-4;1.0;10.0
+;6;37.5;Alpiger Nick;**;3;57.25;1;38.75;-5;1.25;10.0

22a;Vieira Tiago;**;;;;;;;;;47.25
o;;;Thoenen Henryc;**;;;;;;;8.5
+;5;8.5;Klausner Yanick;**;5;56.75;4;8.75;-1;0.25;10.0
+;6;18.5;Bader Fabian (2000);;14;54.5;5;18.75;-1;0.25;10.0
-;3;28.5;Räbmatter Patrick;**;3;57.25;3;28.5;0;0.0;8.75
+;7;37.25;Meister Luc;;17;53.75;9;36.75;2;-0.5;10.0

23a;Strebel Joel;**;;;;;;;;;47.0
+;;;Waldner Patrick;**;;;;;;;9.75
-;2;9.75;Stalder Remo;***;3;57.25;4;8.75;2;-1.0;8.75
+;6;18.5;Lisser Beat;;16;54.0;3;19.5;-3;1.0;10.0
-;3;28.5;Gschwind Michael;**;10;55.5;4;28.25;1;-0.25;8.75
+;7;37.25;Löw Christophe;**;11;55.25;9;36.75;2;-0.5;9.75

24a;Thoenen Henryc;**;;;;;;;;;46.75
+;;;Vieira Tiago;**;;;;;;;9.75
-;2;9.75;Räbmatter Patrick;**;3;57.25;2;9.75;0;0.0;8.75
+;6;18.5;Jusufi Azret;;9;55.75;5;18.75;-1;0.25;9.75
+;4;28.25;Burren Patrick (1999);;12;55.0;4;28.25;0;0.0;10.0
o;3;38.25;Alpiger Nick;**;3;57.25;1;38.75;-2;0.5;8.5

24b;Brügger Cyrill (1998);;;;;;;;;;46.75
+;;;Meister Luc;;;;;;;;10.0
+;1;10.0;Schwander Kilian;;11;55.25;1;10.0;0;0.0;10.0
o;1;20.0;Steinmann Yves;*;7;56.25;7;18.25;6;-1.75;8.5
+;3;28.5;Körkel Yannik;;17;53.75;5;28.0;2;-0.5;9.75
o;3;38.25;Schär Simon;*;9;55.75;8;37.0;5;-1.25;8.5

25a;Arnold Kornel;*;;;;;;;;;46.25
o;;;Kropf Marcel;**;;;;;;;8.5
+;5;8.5;Gabathuler Björn (1998);;13;54.75;4;8.75;-1;0.25;10.0
-;6;18.5;Reimann Marco (1998);;14;54.5;5;18.75;-1;0.25;9.0
+;7;27.5;Stoll Thomas (1998);;18;53.5;12;26.0;5;-1.5;10.0
o;6;37.5;Stoll Simon;;6;56.5;10;36.5;4;-1.0;8.75

25b;Riesen Ruedi;;;;;;;;;;46.25
o;;;Fritz Christian;;;;;;;;8.5
+;5;8.5;Burkhardt Roy;;20;53.0;5;8.5;0;0.0;9.75
+;7;18.25;Bonato Raphael;;31;34.25;12;17.0;5;-1.25;9.75
o;5;28.0;Stoll Simon;;6;56.5;5;28.0;0;0.0;8.5
+;10;36.5;Meister Luc;;17;53.75;9;36.75;-1;0.25;9.75

26a;Probst Gabriel;**;;;;;;;;;46.0
o;;;Leuthard Reto;*;;;;;;;8.5
o;5;8.5;Erb Roger;**;1;58.75;4;8.75;-1;0.25;8.5
+;12;17.0;Schaub Adrian (1999);;27;35.5;6;18.5;-6;1.5;10.0
+;9;27.0;Müller Jan (1998);;27;35.5;9;27.0;0;0.0;10.0
-;8;37.0;Schär Simon;*;9;55.75;8;37.0;0;0.0;9.0

27a;Burkart Simon;;;;;;;;;;35.5
o;;;Roth Christian;;;;;;;;8.5
o;5;8.5;Läuchli Janik (2000);;19;53.25;3;9.0;-2;0.5;8.5
o;12;17.0;Körkel Yannik;;17;53.75;7;18.25;-5;1.25;8.5
+;14;25.5;Loosli Adrian;;32;34.0;14;25.5;0;0.0;10.0

27b;Nussbaumer Gabriel;;;;;;;;;;35.5
-;;;Reinhard Adrian;;;;;;;;8.75
o;4;8.75;Rüegger Aaron (1999);;9;55.75;4;8.75;0;0.0;8.5
+;11;17.25;Loosli Adrian;;32;34.0;12;17.0;1;-0.25;9.75
o;9;27.0;François Cederic;;15;54.25;3;28.5;-6;1.5;8.5

27c;Schaub Adrian (1999);;;;;;;;;;35.5
o;;;Schaub Reto (2000);;;;;;;;8.75
+;4;8.75;Seiser Kay (2000);;19;53.25;3;9.0;-1;0.25;9.75
o;6;18.5;Probst Gabriel;**;26;46.0;12;17.0;6;-1.5;8.5
o;9;27.0;Mangold Martin;;10;55.5;9;27.0;0;0.0;8.5

27d;Probst Stefan;;;;;;;;;;35.5
o;;;François Cederic;;;;;;;;8.5
+;5;8.5;Fritz Andreas;;27;35.5;5;8.5;0;0.0;9.75
-;7;18.25;Regenass Beat;;29;35.0;10;17.5;3;-0.75;8.75
o;9;27.0;Jusufi Azret;;9;55.75;8;27.25;-1;0.25;8.5

27e;Fritz Andreas;;;;;;;;;;35.5
o;;;Seiler Thomas;;;;;;;;8.5
o;5;8.5;Probst Stefan;;27;35.5;5;8.5;0;0.0;8.5
+;12;17.0;Stoll Thomas (1998);;18;53.5;11;17.25;-1;0.25;10.0
o;9;27.0;Schär Jonas (1999);;16;54.0;9;27.0;0;0.0;8.5

27f;Bieli Andreas;;;;;;;;;;35.5
o;;;Jusufi Ilber;;;;;;;;8.5
+;5;8.5;Wyss Cyrill;;32;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Klausner Yanick;**;5;56.75;11;17.25;5;-1.25;8.5
o;9;27.0;Bearda Samuel;;14;54.5;9;27.0;0;0.0;8.5

27g;Müller Jan (1998);;;;;;;;;;35.5
+;;;Regenass Reto (2000);;;;;;;;10.0
o;1;10.0;Gerber Andrj (2000);;10;55.5;2;9.75;1;-0.25;8.5
o;6;18.5;Bruder Adrian;;19;53.25;10;17.5;4;-1.0;8.5
o;9;27.0;Probst Gabriel;**;26;46.0;9;27.0;0;0.0;8.5

27h;Aellig Roland (2000);;;;;;;;;;35.5
o;;;Gerber Andrj (2000);;;;;;;;8.5
+;5;8.5;Herrmann Adrian (2000);;32;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Schneider Markus;*;12;55.0;12;17.0;6;-1.5;8.5
o;9;27.0;Krebs Clemens;;10;55.5;9;27.0;0;0.0;8.5

27i;Büttler Gian (2000);;;;;;;;;;35.5
-;;;Müller Simon;;;;;;;;8.75
+;4;8.75;Abt Robin;;28;35.25;5;8.5;1;-0.25;9.75
o;6;18.5;Steinmann Yves;*;7;56.25;7;18.25;1;-0.25;8.5
o;9;27.0;Burtschi Michael;;15;54.25;12;26.0;3;-1.0;8.5

28a;Abt Robin;;;;;;;;;;35.25
o;;;Gander Michael (1998);;;;;;;;8.5
o;5;8.5;Büttler Gian (2000);;27;35.5;4;8.75;-1;0.25;8.5
o;12;17.0;Meister Luc;;17;53.75;7;18.25;-5;1.25;8.5
+;14;25.5;Hitz Florian (1999);;30;34.5;12;26.0;-2;0.5;9.75

28b;Fehlmann Silvan;;;;;;;;;;35.25
+;;;Loosli Adrian;;;;;;;;9.75
o;2;9.75;Gander Michael (1998);;15;54.25;2;9.75;0;0.0;8.5
o;7;18.25;Widmer Tobias;**;10;55.5;12;17.0;5;-1.25;8.5
o;10;26.75;Roth Christian;;15;54.25;9;27.0;-1;0.25;8.5

28c;Grossmann Andreas;;;;;;;;;;35.25
