2496-2015-06-28_120_Nordostschweizer_Schwingfest-ST

1a;Rhyner Michael;**;;;;;;;;;58.5
+;13;45.5;Koch Thomas (1997);;13;55.0;9;46.5;-4;1.0;10.0

11l;Bänziger Peter;;;;;;;;;;55.5
+;;;Biäsch Christian;;;;;;;;9.75
+;2;9.75;Manser Bruno;*;12;55.25;3;8.75;1;-1.0;9.75
o;3;19.5;Steiner Michael;**;10;55.75;5;18.5;2;-1.0;8.75
-;5;28.25;Schnurrenberger Roman;**;11;55.5;5;28.25;0;0.0;8.75
-;9;37.0;Ackermann Remo;*;11;55.5;9;37.0;0;0.0;8.75
+;12;45.75;Fässler Patrick;;15;54.5;11;46.0;-1;0.25;9.75

11m;Giger Urs;*;;;;;;;;;55.5
-;;;Riget Ivan;*;;;;;;;8.75
+;3;8.75;Elmer Adrian;;17;54.0;2;9.75;-1;1.0;9.75
o;5;18.5;Schmid David;**;10;55.75;6;18.25;1;-0.25;8.75
o;8;27.25;Wild Stefan;;18;53.75;9;27.0;1;-0.25;8.5
+;14;35.75;Keller Dominic;;12;55.25;9;37.0;-5;1.25;10.0
+;12;45.75;Notz Armin;*;16;54.25;12;45.75;0;0.0;9.75

11n;Scherer Christian;*;;;;;;;;;55.5
+;;;Wey Nicola;*;;;;;;;9.75
o;2;9.75;Nigg Lukas;**;16;54.25;4;8.5;2;-1.25;8.5
+;6;18.25;Castelberg Marius;;23;35.5;5;18.5;-1;0.25;10.0
o;5;28.25;Roth Martin;*;10;55.75;5;28.25;0;0.0;8.5
+;10;36.75;Kammermann Thomas;*;12;55.25;10;36.75;0;0.0;10.0
o;8;46.75;Hersche Martin;**;2;57.75;4;47.75;-4;1.0;8.75

12a;Morger Adrian;*;;;;;;;;;55.25
+;;;Hofstetter Manuel;*;;;;;;;9.75
o;2;9.75;Riget Tobias;**;6;56.75;3;8.75;1;-1.0;8.5
+;6;18.25;Koch Reto;;17;54.0;6;18.25;0;0.0;10.0
o;5;28.25;Kohler Fredi;**;5;57.0;4;28.5;-1;0.25;8.5
+;10;36.75;Rütsche Stefan;*;18;53.75;10;36.75;0;0.0;10.0
o;8;46.75;Forrer Arnold;***;4;57.25;6;47.25;-2;0.5;8.5

12b;Bickel Stefan;*;;;;;;;;;55.25
o;;;Holenstein Christian;*;;;;;;;8.5
o;4;8.5;Wittenwiler Roman (1998);;16;54.25;2;9.75;-2;1.25;8.5
+;9;17.0;Riedi Thomas;;23;35.5;5;18.5;-4;1.5;10.0
+;9;27.0;Jecklin Alexsandro (1998);;23;35.5;9;27.0;0;0.0;9.75
+;10;36.75;Gmür Pirmin;*;12;55.25;9;37.0;-1;0.25;10.0
o;8;46.75;Zwyssig Raphael;***;10;55.75;12;45.75;4;-1.0;8.5

12c;Oertle Daniel;;;;;;;;;;55.25
+;;;Ritzmann Bernhard;;;;;;;;9.75
-;2;9.75;Riget Ivan;*;25;35.0;3;8.75;1;-1.0;8.75
o;5;18.5;Odermatt Christoph;*;19;53.5;6;18.25;1;-0.25;8.75
+;8;27.25;Pfiffner Ivo;;23;35.5;9;27.0;1;-0.25;9.75
o;9;37.0;Streuli Martin;*;16;54.25;13;36.0;4;-1.0;8.5
+;13;45.5;Wicki Cédric;;16;54.25;13;45.5;0;0.0;9.75

12d;Rüegg Roman;*;;;;;;;;;55.25
+;;;Burkhard Patrick;*;;;;;;;9.75
o;2;9.75;Schneider Mario;**;11;55.5;4;8.5;2;-1.25;8.5
+;6;18.25;Fäh Tobias;;16;54.25;5;18.5;-1;0.25;10.0
o;5;28.25;Kuster Marcel;**;5;57.0;4;28.5;-1;0.25;8.5
+;10;36.75;Odermatt Christoph;*;19;53.5;11;36.5;1;-0.25;10.0
o;8;46.75;Notz Beni;***;10;55.75;12;45.75;4;-1.0;8.5

12e;Fejzaj Naim;*;;;;;;;;;55.25
+;;;Bäbler Dominik;*;;;;;;;9.75
o;2;9.75;Büsser Andy;***;5;57.0;3;8.75;1;-1.0;8.5
+;6;18.25;Breitenmoser Manuel;;23;35.5;5;18.5;-1;0.25;9.75
o;6;28.0;Vollenweider Jeremy (1998);*;13;55.0;6;28.0;0;0.0;8.75
+;10;36.75;Wild Stefan;;18;53.75;10;36.75;0;0.0;10.0
o;8;46.75;Eugster Ruedi;**;4;57.25;6;47.25;-2;0.5;8.5

12f;Kid Simon;**;;;;;;;;;55.25
o;;;Rychen Roger;**;;;;;;;8.5
+;4;8.5;Straub Robin;*;23;35.5;2;9.75;-2;1.25;9.75
-;6;18.25;Ammann Rico;*;20;53.25;6;18.25;0;0.0;8.75
+;9;27.0;Schudel Simon;;11;55.5;8;27.25;-1;0.25;10.0
+;9;37.0;Nägeli Marco;*;12;55.25;9;37.0;0;0.0;9.75
o;8;46.75;Schneider Domenic;**;5;57.0;6;47.25;-2;0.5;8.5

12g;Stahel Felix;*;;;;;;;;;55.25
o;;;Oertig Dominik;*;;;;;;;8.5
-;4;8.5;Oertig Simon;;21;53.0;2;9.75;-2;1.25;8.75
+;8;17.25;Raschle Adrian;;23;35.5;5;18.5;-3;1.25;10.0
+;8;27.25;Litscher Manuel;*;22;52.75;8;27.25;0;0.0;9.75
o;9;37.0;Clopath Beat;***;5;57.0;9;37.0;0;0.0;8.5
+;13;45.5;Elmer Adrian;;17;54.0;13;45.5;0;0.0;9.75

12h;Wey Nicola;*;;;;;;;;;55.25
o;;;Scherer Christian;*;;;;;;;8.5
+;4;8.5;Schmid Patrick (1997);;11;55.5;1;10.0;-3;1.5;9.75
+;6;18.25;Roth Ruedi (1997);;24;35.25;6;18.25;0;0.0;9.75
o;6;28.0;Battaglia Ursin;**;7;56.5;5;28.25;-1;0.25;8.5
-;11;36.5;Baumann Rico;*;16;54.25;10;36.75;-1;0.25;8.75
+;14;45.25;Güntensperger Marcel;*;18;53.75;14;45.25;0;0.0;10.0

12i;Oertig Dominik;*;;;;;;;;;55.25
+;;;Stahel Felix;*;;;;;;;9.75
o;2;9.75;Notz Beni;***;10;55.75;3;8.75;1;-1.0;8.5
+;6;18.25;Hari Michi;;23;35.5;5;18.5;-1;0.25;10.0
o;5;28.25;Oettli Marco (1997);;12;55.25;5;28.25;0;0.0;8.5
+;10;36.75;Fäh Tobias;;16;54.25;13;36.0;3;-0.75;10.0
o;8;46.75;Rychen Roger;**;7;56.5;8;46.75;0;0.0;8.5

12j;Brühlmann Martin;*;;;;;;;;;55.25
+;;;Güntensperger Marcel;*;;;;;;;9.75
-;2;9.75;Bäbler Sandro;**;27;34.25;4;8.5;2;-1.25;8.75
+;5;18.5;Schlegel Reto (1997);*;14;54.75;6;18.25;1;-0.25;9.75
o;5;28.25;Wickli Beat;*;6;56.75;4;28.5;-1;0.25;8.5
+;10;36.75;Wicki Cédric;;16;54.25;9;37.0;-1;0.25;9.75
o;9;46.5;Riget Tobias;**;6;56.75;8;46.75;-1;0.25;8.75

12k;Nägeli Marco;*;;;;;;;;;55.25
+;;;Reber Marcel;*;;;;;;;9.75
o;2;9.75;Schneider Domenic;**;5;57.0;3;8.75;1;-1.0;8.5
+;6;18.25;Lieberherr Michael (1999);;23;35.5;5;18.5;-1;0.25;10.0
o;5;28.25;Schneider Mario;**;11;55.5;5;28.25;0;0.0;8.75
o;9;37.0;Kid Simon;**;12;55.25;9;37.0;0;0.0;8.5
+;13;45.5;Jöhl Christian;*;16;54.25;13;45.5;0;0.0;9.75

12l;Gmür Pirmin;*;;;;;;;;;55.25
o;;;Odermatt Christoph;*;;;;;;;8.5
+;4;8.5;Koller Fabian;;14;54.75;2;9.75;-2;1.25;10.0
o;5;18.5;Guisolan Marc;**;11;55.5;5;18.5;0;0.0;8.5
+;9;27.0;Oetiker Ronny;;23;35.5;9;27.0;0;0.0;10.0
o;9;37.0;Bickel Stefan;*;12;55.25;10;36.75;1;-0.25;8.5
+;13;45.5;Koch Reto;;17;54.0;13;45.5;0;0.0;9.75

12m;Kammermann Thomas;*;;;;;;;;;55.25
+;;;Näf Bruno;*;;;;;;;9.75
o;2;9.75;Kohler Fredi;**;5;57.0;4;8.5;2;-1.25;8.5
-;6;18.25;Schmid Patrick (1997);;11;55.5;5;18.5;-1;0.25;8.75
+;9;27.0;Breitenmoser Manuel;;23;35.5;9;27.0;0;0.0;9.75
o;10;36.75;Scherer Christian;*;11;55.5;10;36.75;0;0.0;8.5
+;14;45.25;Rütsche Stefan;*;18;53.75;14;45.25;0;0.0;10.0

12n;Keller Dominic;;;;;;;;;;55.25
+;;;Roth Peter (1998);;;;;;;;10.0
o;1;10.0;Jöhl Christian;*;16;54.25;4;8.5;3;-1.5;8.5
o;5;18.5;Baumann Rico;*;16;54.25;6;18.25;1;-0.25;8.5
+;9;27.0;Fuster Sepp (1997);;21;53.0;9;27.0;0;0.0;10.0
o;9;37.0;Giger Urs;*;11;55.5;14;35.75;5;-1.25;8.5
+;13;45.5;Jud Pirmin;*;17;54.0;14;45.25;1;-0.25;9.75

12o;Oettli Marco (1997);;;;;;;;;;55.25
+;;;Schiess Christian;;;;;;;;10.0
+;1;10.0;Sprecher Sandro;*;17;54.0;4;8.5;3;-1.5;9.75
o;2;19.75;Eugster Ruedi;**;4;57.25;4;18.75;2;-1.0;8.5
+;5;28.25;Oertig Dominik;*;12;55.25;5;28.25;0;0.0;9.75
o;5;38.0;Fässler Andreas;**;7;56.5;7;37.5;2;-0.5;8.75
o;8;46.75;Horner Peter;**;5;57.0;7;47.0;-1;0.25;8.5

12p;Manser Bruno;*;;;;;;;;;55.25
-;;;Bernold Beat;*;;;;;;;8.75
o;3;8.75;Bänziger Peter;;11;55.5;2;9.75;-1;1.0;8.5
+;8;17.25;Schwyn Adrian;;19;53.5;6;18.25;-2;1.0;9.75
+;9;27.0;Bucher Roland;;23;35.5;9;27.0;0;0.0;9.75
o;10;36.75;Gapany Benjamin;**;11;55.5;9;37.0;-1;0.25;8.5
+;14;45.25;Wild Stefan;;18;53.75;14;45.25;0;0.0;10.0

12q;Kamer Hanspeter;*;;;;;;;;;55.25
+;;;Schmid Dominik;*;;;;;;;10.0
o;1;10.0;Orlik Armon;**;3;57.5;1;10.0;0;0.0;8.5
o;5;18.5;Roth Martin;*;10;55.75;5;18.5;0;0.0;8.5
+;9;27.0;Raschle Adrian;;23;35.5;9;27.0;0;0.0;9.75
+;10;36.75;Koller Fabian;;14;54.75;11;36.5;1;-0.25;10.0
o;8;46.75;Giger Samuel (1998);**;2;57.75;3;48.0;-5;1.25;8.5

13a;Coray Beda;*;;;;;;;;;55.0
+;;;Krähenbühl Lukas;*;;;;;;;9.75
+;2;9.75;Peng Mike;***;11;55.5;3;8.75;1;-1.0;9.75
o;3;19.5;Hersche Martin;**;2;57.75;1;20.0;-2;0.5;8.5
o;6;28.0;Koch Thomas (1997);;13;55.0;6;28.0;0;0.0;8.5
o;11;36.5;Dörig Erich;;10;55.75;8;37.25;-3;0.75;8.5
+;15;45.0;Odermatt Christoph;*;19;53.5;15;45.0;0;0.0;10.0

13b;Koch Thomas (1997);;;;;;;;;;55.0
+;;;Mathis Patrick;;;;;;;;9.75
+;2;9.75;Schlumpf Dominik;*;23;35.5;4;8.5;2;-1.25;9.75
o;3;19.5;Gapany Benjamin;**;11;55.5;6;18.25;3;-1.25;8.5
+;6;28.0;Coray Beda;*;13;55.0;6;28.0;0;0.0;10.0
o;5;38.0;Battaglia Ursin;**;7;56.5;5;38.0;0;0.0;8.5
o;9;46.5;Schnurrenberger Roman;**;11;55.5;13;45.5;4;-1.0;8.5

13c;Bernold Christian;*;;;;;;;;;55.0
+;;;Korrodi Paul;*;;;;;;;9.75
o;2;9.75;Gapany Benjamin;**;11;55.5;4;8.5;2;-1.25;8.5
+;6;18.25;Pianta Christian (1997);;23;35.5;5;18.5;-1;0.25;9.75
+;6;28.0;Notz Armin;*;16;54.25;7;27.5;1;-0.5;9.75
-;6;37.75;Zbinden Marc;*;10;55.75;9;37.0;3;-0.75;8.75
o;9;46.5;Krähenbühl Tobias;**;4;57.25;6;47.25;-3;0.75;8.5

13d;Bernold Edi;**;;;;;;;;;55.0
o;;;Ackermann Remo;*;;;;;;;8.5
o;4;8.5;Akeret Benno;*;18;53.75;2;9.75;-2;1.25;8.5
+;9;17.0;Gysel Hansruedi;;26;34.5;8;17.25;-1;0.25;9.75
+;10;26.75;Arnold Christian;;24;35.25;10;26.75;0;0.0;9.75
o;11;36.5;Kindlimann Fabian;***;9;56.0;12;36.25;1;-0.25;8.5
+;15;45.0;Schwyn Adrian;;19;53.5;15;45.0;0;0.0;10.0

13e;Elmer Daniel;*;;;;;;;;;55.0
+;;;Sprecher Sandro;*;;;;;;;9.75
-;2;9.75;Gwerder Andreas;**;10;55.75;4;8.5;2;-1.25;9.0
o;4;18.75;Burkhalter Stefan;***;5;57.0;5;18.5;1;-0.25;8.5
-;8;27.25;Fäh Tobias;;16;54.25;8;27.25;0;0.0;8.75
-;13;36.0;Wittenwiler Roman (1998);;16;54.25;10;36.75;-3;0.75;9.0
+;15;45.0;Akeret Benno;*;18;53.75;14;45.25;-1;0.25;10.0

13f;Vollenweider Jeremy (1998);*;;;;;;;;;55.0
+;;;Vestner Roman;*;;;;;;;9.75
+;2;9.75;Meier Remo;**;28;34.0;4;8.5;2;-1.25;9.75
o;3;19.5;Clopath Beat;***;5;57.0;6;18.25;3;-1.25;8.5
+;6;28.0;Fejzaj Naim;*;12;55.25;6;28.0;0;0.0;10.0
o;5;38.0;Schneider Domenic;**;5;57.0;7;37.5;2;-0.5;8.5
o;9;46.5;Burkhalter Stefan;***;5;57.0;7;47.0;-2;0.5;8.5

14a;Bernold Michael (1999);;;;;;;;;;54.75
o;;;Kammermann Dominik;;;;;;;;8.5
+;4;8.5;Langenegger Beat (1997);;27;34.25;4;8.5;0;0.0;9.75
o;6;18.25;Schlumpf Dominik;*;23;35.5;8;17.25;2;-1.0;8.5
+;10;26.75;Schäppi Urs;;24;35.25;10;26.75;0;0.0;9.75
+;11;36.5;Krähenbühl Lukas;*;16;54.25;13;36.0;2;-0.5;9.75
o;10;46.25;Korrodi Paul;*;9;56.0;11;46.0;1;-0.25;8.5

14b;Koller Fabian;;;;;;;;;;54.75
+;;;Bleiker Daniel;;;;;;;;9.75
o;2;9.75;Gmür Pirmin;*;12;55.25;4;8.5;2;-1.25;8.5
+;6;18.25;Nägeli Roman;*;23;35.5;6;18.25;0;0.0;9.75
o;6;28.0;Knechtle Martin;**;7;56.5;6;28.0;0;0.0;8.5
+;11;36.5;Güntensperger Marcel;*;18;53.75;10;36.75;-1;0.25;9.75
o;10;46.25;Kamer Hanspeter;*;12;55.25;8;46.75;-2;0.5;8.5

14c;Schlegel Reto (1997);*;;;;;;;;;54.75
+;;;Schlumpf Dominik;*;;;;;;;9.75
o;2;9.75;Clopath Beat;***;5;57.0;4;8.5;2;-1.25;8.5
o;6;18.25;Brühlmann Martin;*;12;55.25;5;18.5;-1;0.25;8.5
+;10;26.75;Bickel Roman (1998);;23;35.5;9;27.0;-1;0.25;9.75
+;11;36.5;Leuppi Karim;;20;53.25;13;36.0;2;-0.5;9.75
o;10;46.25;Schmid Dominik;*;8;56.25;10;46.25;0;0.0;8.5

15a;Landolt Reto;*;;;;;;;;;54.5
-;;;Rüegg Fabian;*;;;;;;;8.75
-;3;8.75;Scherrer Willi;;21;53.0;2;9.75;-1;1.0;8.75
+;7;17.5;Frauchiger Remo;;23;35.5;6;18.25;-1;0.75;9.75
-;8;27.25;Bösch Roman;**;10;55.75;8;27.25;0;0.0;8.75
-;13;36.0;Truniger Manuel;;16;54.25;9;37.0;-4;1.0;8.75
+;16;44.75;Ammann Rico;*;20;53.25;16;44.75;0;0.0;9.75

15b;Fässler Patrick;;;;;;;;;;54.5
+;;;Schwyn Adrian;;;;;;;;10.0
-;1;10.0;Vogel Beat;*;25;35.0;3;8.75;2;-1.25;8.75
-;4;18.75;Bösch Roman;**;10;55.75;5;18.5;1;-0.25;8.75
-;7;27.5;Holenstein Christian;*;11;55.5;8;27.25;1;-0.25;8.75
+;12;36.25;Raymann David;;20;53.25;13;36.0;1;-0.25;9.75
o;11;46.0;Bänziger Peter;;11;55.5;12;45.75;1;-0.25;8.5

15c;Bäbler Dominik;*;;;;;;;;;54.5
o;;;Fejzaj Naim;*;;;;;;;8.5
-;4;8.5;Pianta Christian (1997);;23;35.5;2;9.75;-2;1.25;8.75
-;8;17.25;Schudel Simon;;11;55.5;5;18.5;-3;1.25;8.75
+;12;26.0;Langenegger Beat (1997);;27;34.25;13;25.75;1;-0.25;10.0
+;13;36.0;Schwyn Adrian;;19;53.5;11;36.5;-2;0.5;10.0
o;11;46.0;Ackermann Remo;*;11;55.5;12;45.75;1;-0.25;8.5

16a;Fäh Tobias;;;;;;;;;;54.25
+;;;Bucher Roland;;;;;;;;10.0
o;1;10.0;Güntensperger Marcel;*;18;53.75;3;8.75;2;-1.25;8.5
o;5;18.5;Rüegg Roman;*;12;55.25;6;18.25;1;-0.25;8.75
-;8;27.25;Elmer Daniel;*;13;55.0;8;27.25;0;0.0;8.75
o;13;36.0;Oertig Dominik;*;12;55.25;10;36.75;-3;0.75;8.5
+;17;44.5;Oertig Simon;;21;53.0;17;44.5;0;0.0;9.75

16b;Rüegg Fabian;*;;;;;;;;;54.25
-;;;Landolt Reto;*;;;;;;;8.75
+;3;8.75;Wolfer Lukas;;23;35.5;2;9.75;-1;1.0;9.75
o;5;18.5;Kindlimann Fabian;***;9;56.0;7;17.5;2;-1.0;8.5
+;9;27.0;Frauchiger Remo;;23;35.5;9;27.0;0;0.0;10.0
o;9;37.0;Reber Marcel;*;11;55.5;9;37.0;0;0.0;8.5
-;13;45.5;Odermatt Martin;*;16;54.25;13;45.5;0;0.0;8.75

16c;Notz Armin;*;;;;;;;;;54.25
o;;;Roth Martin;*;;;;;;;8.5
+;4;8.5;Schmucki Ivo;;29;18.5;1;10.0;-3;1.5;10.0
-;5;18.5;Raymann David;;20;53.25;5;18.5;0;0.0;9.0
o;7;27.5;Bernold Christian;*;13;55.0;6;28.0;-1;0.5;8.5
+;13;36.0;Fuster Sepp (1997);;21;53.0;14;35.75;1;-0.25;9.75
o;12;45.75;Giger Urs;*;11;55.5;12;45.75;0;0.0;8.5

16d;Streuli Martin;*;;;;;;;;;54.25
-;;;Vestner Bruno;*;;;;;;;8.75
o;3;8.75;Schläpfer Markus;**;8;56.25;3;8.75;0;0.0;8.5
-;8;17.25;Schmid Dominik (1998);;23;35.5;6;18.25;-2;1.0;8.75
+;12;26.0;Schnyder Christian;;26;34.5;12;26.0;0;0.0;10.0
+;13;36.0;Oertle Daniel;;12;55.25;9;37.0;-4;1.0;9.75
o;12;45.75;Inauen Andreas;*;11;55.5;12;45.75;0;0.0;8.5

16e;Baumann Rico;*;;;;;;;;;54.25
+;;;Inauen Andreas;*;;;;;;;9.75
o;2;9.75;Horner Peter;**;5;57.0;2;9.75;0;0.0;8.5
+;6;18.25;Keller Dominic;;12;55.25;5;18.5;-1;0.25;10.0
o;5;28.25;Steiner Michael;**;10;55.75;4;28.5;-1;0.25;8.5
-;10;36.75;Wey Nicola;*;12;55.25;11;36.5;1;-0.25;8.75
-;13;45.5;Nigg Lukas;**;16;54.25;13;45.5;0;0.0;8.75

16f;Wicki Cédric;;;;;;;;;;54.25
o;;;Wolfer Lukas;;;;;;;;8.5
+;4;8.5;Jecklin Alexsandro (1998);;23;35.5;4;8.5;0;0.0;10.0
+;5;18.5;Hofstetter Manuel;*;17;54.0;6;18.25;1;-0.25;10.0
o;4;28.5;Horner Peter;**;5;57.0;4;28.5;0;0.0;8.5
o;9;37.0;Brühlmann Martin;*;12;55.25;10;36.75;1;-0.25;8.5
o;13;45.5;Oertle Daniel;;12;55.25;13;45.5;0;0.0;8.75

16g;Jöhl Christian;*;;;;;;;;;54.25
o;;;Ammann Rico;*;;;;;;;8.5
+;4;8.5;Keller Dominic;;12;55.25;1;10.0;-3;1.5;10.0
+;5;18.5;Wolfer Lukas;;23;35.5;6;18.25;1;-0.25;10.0
o;4;28.5;Giger Samuel (1998);**;2;57.75;5;28.25;1;-0.25;8.5
o;9;37.0;Thoenen Henryc;**;6;56.75;9;37.0;0;0.0;8.5
o;13;45.5;Nägeli Marco;*;12;55.25;13;45.5;0;0.0;8.75

16h;Wittenwiler Roman (1998);;;;;;;;;;54.25
+;;;Castelberg Andri;;;;;;;;9.75
+;2;9.75;Bickel Stefan;*;12;55.25;4;8.5;2;-1.25;9.75
o;3;19.5;Rychen Roger;**;7;56.5;6;18.25;3;-1.25;8.5
o;6;28.0;Korrodi Paul;*;9;56.0;7;27.5;1;-0.5;8.75
-;10;36.75;Elmer Daniel;*;13;55.0;13;36.0;3;-0.75;9.0
o;12;45.75;Holenstein Christian;*;11;55.5;12;45.75;0;0.0;8.5

16i;Nigg Lukas;**;;;;;;;;;54.25
o;;;Bösch Roman;**;;;;;;;8.5
+;4;8.5;Scherer Christian;*;11;55.5;2;9.75;-2;1.25;10.0
+;5;18.5;Litscher Manuel;*;22;52.75;4;18.75;-1;0.25;9.75
o;5;28.25;Rhyner Michael;**;1;58.5;4;28.5;-1;0.25;8.5
-;10;36.75;Vestner Roman;*;17;54.0;10;36.75;0;0.0;8.75
-;13;45.5;Baumann Rico;*;16;54.25;13;45.5;0;0.0;8.75

16j;Truniger Manuel;;;;;;;;;;54.25
+;;;Schnyder Christian;;;;;;;;10.0
o;1;10.0;Inauen Andreas;*;11;55.5;3;8.75;2;-1.25;8.5
o;5;18.5;Krähenbühl Tobias;**;4;57.25;5;18.5;0;0.0;8.5
+;9;27.0;Pianta Christian (1997);;23;35.5;9;27.0;0;0.0;10.0
-;9;37.0;Landolt Reto;*;15;54.5;13;36.0;4;-1.0;8.75
o;12;45.75;Schmid Patrick (1997);;11;55.5;12;45.75;0;0.0;8.5

16k;Odermatt Martin;*;;;;;;;;;54.25
o;;;Wickli Beat;*;;;;;;;8.5
+;4;8.5;Fuster Sepp (1997);;21;53.0;1;10.0;-3;1.5;10.0
o;5;18.5;Bösch Daniel;***;2;57.75;5;18.5;0;0.0;8.5
+;9;27.0;Riedi Thomas;;23;35.5;9;27.0;0;0.0;10.0
o;9;37.0;Bühler Ernst;**;10;55.75;8;37.25;-1;0.25;8.5
-;13;45.5;Rüegg Fabian;*;16;54.25;13;45.5;0;0.0;8.75

16l;Krähenbühl Lukas;*;;;;;;;;;54.25
o;;;Coray Beda;*;;;;;;;8.5
-;4;8.5;Bickel Roman (1998);;23;35.5;2;9.75;-2;1.25;8.75
-;8;17.25;Castelberg Andri;;25;35.0;8;17.25;0;0.0;8.75
+;12;26.0;Junker Nik;;26;34.5;12;26.0;0;0.0;10.0
o;13;36.0;Bernold Michael (1999);;14;54.75;11;36.5;-2;0.5;8.5
+;17;44.5;Litscher Manuel;*;22;52.75;18;44.25;1;-0.25;9.75

17a;Elmer Adrian;;;;;;;;;;54.0
+;;;Horner Sämi;;;;;;;;9.75
o;2;9.75;Giger Urs;*;11;55.5;3;8.75;1;-1.0;8.75
o;5;18.5;Kuster Marcel;**;5;57.0;5;18.5;0;0.0;8.5
+;9;27.0;Leuppi Karim;;20;53.25;8;27.25;-1;0.25;9.75
-;10;36.75;Ammann Rico;*;20;53.25;14;35.75;4;-1.0;8.75
o;13;45.5;Stahel Felix;*;12;55.25;13;45.5;0;0.0;8.5

17b;Jud Pirmin;*;;;;;;;;;54.0
+;;;Nägeli Roman;*;;;;;;;9.75
o;2;9.75;Fässler Andreas;**;7;56.5;3;8.75;1;-1.0;8.5
-;6;18.25;Dörig Erich;;10;55.75;5;18.5;-1;0.25;8.75
+;9;27.0;Arnold Christian;;24;35.25;10;26.75;1;-0.25;9.75
o;10;36.75;Schmid Dominik;*;8;56.25;11;36.5;1;-0.25;8.5
o;14;45.25;Keller Dominic;;12;55.25;13;45.5;-1;0.25;8.75

17c;Sprecher Sandro;*;;;;;;;;;54.0
o;;;Elmer Daniel;*;;;;;;;8.5
o;4;8.5;Oettli Marco (1997);;12;55.25;1;10.0;-3;1.5;8.5
+;9;17.0;Roth Peter (1998);;27;34.25;9;17.0;0;0.0;10.0
+;9;27.0;Meier Remo;**;28;34.0;14;25.5;5;-1.5;10.0
o;9;37.0;Gwerder Andreas;**;10;55.75;8;37.25;-1;0.25;8.5
o;13;45.5;Bösch Roman;**;10;55.75;11;46.0;-2;0.5;8.5

17d;Burkhard Patrick;*;;;;;;;;;54.0
o;;;Rüegg Roman;*;;;;;;;8.5
+;4;8.5;Schäppi Urs;;24;35.25;2;9.75;-2;1.25;10.0
o;5;18.5;Peng Mike;***;11;55.5;8;17.25;3;-1.25;8.5
+;9;27.0;Horner Sämi;;23;35.5;9;27.0;0;0.0;10.0
o;9;37.0;Schläpfer Markus;**;8;56.25;8;37.25;-1;0.25;8.5
o;13;45.5;Schudel Simon;;11;55.5;13;45.5;0;0.0;8.5

17e;Vestner Roman;*;;;;;;;;;54.0
o;;;Vollenweider Jeremy (1998);*;;;;;;;8.5
+;4;8.5;Dörig Erich;;10;55.75;1;10.0;-3;1.5;9.75
+;6;18.25;Fuster Sepp (1997);;21;53.0;5;18.5;-1;0.25;10.0
o;5;28.25;Krähenbühl Tobias;**;4;57.25;4;28.5;-1;0.25;8.5
-;10;36.75;Nigg Lukas;**;16;54.25;10;36.75;0;0.0;8.75
o;13;45.5;Guisolan Marc;**;11;55.5;12;45.75;-1;0.25;8.5

17f;Hofstetter Manuel;*;;;;;;;;;54.0
o;;;Morger Adrian;*;;;;;;;8.5
+;4;8.5;Braun Mathias;;23;35.5;2;9.75;-2;1.25;9.75
o;6;18.25;Wicki Cédric;;16;54.25;5;18.5;-1;0.25;8.75
+;9;27.0;Lieberherr Michael (1999);;23;35.5;9;27.0;0;0.0;10.0
o;9;37.0;Schmid David;**;10;55.75;10;36.75;1;-0.25;8.5
o;13;45.5;Zbinden Marc;*;10;55.75;12;45.75;-1;0.25;8.5

17g;Koch Reto;;;;;;;;;;54.0
+;;;Jecklin Alexsandro (1998);;;;;;;;9.75
o;2;9.75;Litscher Manuel;*;22;52.75;3;8.75;1;-1.0;8.5
o;6;18.25;Morger Adrian;*;12;55.25;6;18.25;0;0.0;8.5
+;10;26.75;Wolfer Lukas;;23;35.5;10;26.75;0;0.0;10.0
o;10;36.75;Holenstein Christian;*;11;55.5;13;36.0;3;-0.75;8.75
o;13;45.5;Gmür Pirmin;*;12;55.25;13;45.5;0;0.0;8.5

18a;Wild Stefan;;;;;;;;;;53.75
o;;;Schmid Patrick (1997);;;;;;;;8.5
+;4;8.5;Hersche Daniel;;23;35.5;4;8.5;0;0.0;10.0
o;5;18.5;Zbinden Marc;*;10;55.75;8;17.25;3;-1.25;8.5
+;9;27.0;Giger Urs;*;11;55.5;8;27.25;-1;0.25;9.75
o;10;36.75;Fejzaj Naim;*;12;55.25;10;36.75;0;0.0;8.5
o;14;45.25;Manser Bruno;*;12;55.25;14;45.25;0;0.0;8.5

18b;Güntensperger Marcel;*;;;;;;;;;53.75
o;;;Brühlmann Martin;*;;;;;;;8.75
+;3;8.75;Fäh Tobias;;16;54.25;1;10.0;-2;1.25;9.75
o;5;18.5;Schneider Mario;**;11;55.5;5;18.5;0;0.0;8.5
+;9;27.0;Schmid Dominik (1998);;23;35.5;9;27.0;0;0.0;9.75
o;10;36.75;Koller Fabian;;14;54.75;11;36.5;1;-0.25;8.5
o;14;45.25;Wey Nicola;*;12;55.25;14;45.25;0;0.0;8.5

18c;Akeret Benno;*;;;;;;;;;53.75
+;;;Tremp Remo (1999);;;;;;;;9.75
+;2;9.75;Bernold Edi;**;13;55.0;4;8.5;2;-1.25;9.75
o;3;19.5;Büsser Andy;***;5;57.0;4;18.75;1;-0.75;8.5
