2496-2015-06-28_120_Nordostschweizer_Schwingfest-ST

1a;Rhyner Michael;**;;;;;;;;;58.5
+;2;9.75;Baumann Rico;*;16;54.25;2;9.75;0;0.0;10.0
o;2;19.75;Käser Remo;**;10;55.75;5;18.5;3;-1.25;8.75
+;4;28.5;Wicki Cédric;;16;54.25;4;28.5;0;0.0;10.0
o;3;38.5;Giger Samuel (1998);**;2;57.75;5;38.0;2;-0.5;8.5
+;7;47.0;Oettli Marco (1997);;12;55.25;8;46.75;1;-0.25;10.0

5g;Burkhalter Stefan;***;;;;;;;;;57.0
+;;;Guisolan Marc;**;;;;;;;10.0
o;1;10.0;Stucki Christian;***;4;57.25;1;10.0;0;0.0;8.5
+;5;18.5;Elmer Daniel;*;13;55.0;4;18.75;-1;0.25;10.0
+;4;28.5;Thoenen Henryc;**;6;56.75;4;28.5;0;0.0;10.0
o;3;38.5;Kohler Fredi;**;5;57.0;3;38.5;0;0.0;8.5
+;7;47.0;Vollenweider Jeremy (1998);*;13;55.0;9;46.5;2;-0.5;10.0

5h;Leuppi Samir;**;;;;;;;;;57.0
+;;;Kohler Fredi;**;;;;;;;10.0
-;1;10.0;Forrer Arnold;***;4;57.25;1;10.0;0;0.0;8.75
+;4;18.75;Oertig Simon;;21;53.0;5;18.5;1;-0.25;10.0
-;3;28.75;Fässler Andreas;**;7;56.5;3;28.75;0;0.0;8.75
+;7;37.5;Riget Tobias;**;6;56.75;4;38.25;-3;0.75;9.75
+;6;47.25;Kammermann Dominik;;10;55.75;6;47.25;0;0.0;9.75

6a;Thoenen Henryc;**;;;;;;;;;56.75
-;;;Zwyssig Raphael;***;;;;;;;8.75
+;3;8.75;Steiner Michael;**;10;55.75;1;10.0;-2;1.25;9.75
+;5;18.5;Schläpfer Markus;**;8;56.25;4;18.75;-1;0.25;10.0
o;4;28.5;Burkhalter Stefan;***;5;57.0;4;28.5;0;0.0;8.5
+;9;37.0;Jöhl Christian;*;16;54.25;9;37.0;0;0.0;10.0
+;7;47.0;Bühler Ernst;**;10;55.75;7;47.0;0;0.0;9.75

6b;Scheuber Lutz;**;;;;;;;;;56.75
+;;;Büsser Andy;***;;;;;;;9.75
+;2;9.75;Krähenbühl Tobias;**;4;57.25;1;10.0;-1;0.25;10.0
+;2;19.75;Giger Samuel (1998);**;2;57.75;2;19.75;0;0.0;10.0
+;2;29.75;Zwyssig Raphael;***;10;55.75;3;28.75;1;-1.0;9.75
o;1;39.5;Bösch Daniel;***;2;57.75;4;38.25;3;-1.25;8.5
-;3;48.0;Kohler Fredi;**;5;57.0;2;48.25;-1;0.25;8.75

6c;Riget Tobias;**;;;;;;;;;56.75
o;;;Krähenbühl Tobias;**;;;;;;;8.75
+;3;8.75;Morger Adrian;*;12;55.25;2;9.75;-1;1.0;9.75
+;5;18.5;Braun Mathias;;23;35.5;6;18.25;1;-0.25;10.0
+;4;28.5;Odermatt Christoph;*;19;53.5;6;28.0;2;-0.5;9.75
o;4;38.25;Leuppi Samir;**;5;57.0;7;37.5;3;-0.75;8.5
+;8;46.75;Brühlmann Martin;*;12;55.25;9;46.5;1;-0.25;10.0

6d;Wickli Beat;*;;;;;;;;;56.75
+;;;Odermatt Martin;*;;;;;;;10.0
-;1;10.0;Kindlimann Fabian;***;9;56.0;3;8.75;2;-1.25;8.75
+;4;18.75;Inauen Andreas;*;11;55.5;4;18.75;0;0.0;9.75
+;4;28.5;Brühlmann Martin;*;12;55.25;5;28.25;1;-0.25;9.75
+;4;38.25;Notz Beni;***;10;55.75;8;37.25;4;-1.0;10.0
o;2;48.25;Clopath Beat;***;5;57.0;7;47.0;5;-1.25;8.5

7a;Knechtle Martin;**;;;;;;;;;56.5
+;;;Gwerder Andreas;**;;;;;;;9.75
+;2;9.75;Rychen Roger;**;7;56.5;2;9.75;0;0.0;9.75
o;3;19.5;Notz Beni;***;10;55.75;4;18.75;1;-0.75;8.5
+;6;28.0;Koller Fabian;;14;54.75;6;28.0;0;0.0;10.0
+;5;38.0;Roth Martin;*;10;55.75;4;38.25;-1;0.25;10.0
o;3;48.0;Stucki Christian;***;4;57.25;6;47.25;3;-0.75;8.5

7b;Battaglia Ursin;**;;;;;;;;;56.5
+;;;Bäbler Sandro;**;;;;;;;9.75
-;2;9.75;Kuster Marcel;**;5;57.0;2;9.75;0;0.0;8.75
+;5;18.5;Scherrer Willi;;21;53.0;5;18.5;0;0.0;9.75
+;5;28.25;Wey Nicola;*;12;55.25;6;28.0;1;-0.25;9.75
+;5;38.0;Koch Thomas (1997);;13;55.0;5;38.0;0;0.0;9.75
-;4;47.75;Steiner Michael;**;10;55.75;8;46.75;4;-1.0;8.75

7c;Rychen Roger;**;;;;;;;;;56.5
+;;;Kid Simon;**;;;;;;;9.75
o;2;9.75;Knechtle Martin;**;7;56.5;2;9.75;0;0.0;8.5
+;6;18.25;Wittenwiler Roman (1998);;16;54.25;3;19.5;-3;1.25;10.0
+;5;28.25;Schmid Dominik;*;8;56.25;6;28.0;1;-0.25;10.0
o;4;38.25;Forrer Arnold;***;4;57.25;7;37.5;3;-0.75;8.5
+;8;46.75;Oertig Dominik;*;12;55.25;8;46.75;0;0.0;9.75

7d;Fässler Andreas;**;;;;;;;;;56.5
-;;;Eugster Ruedi;**;;;;;;;8.75
+;3;8.75;Jud Pirmin;*;17;54.0;2;9.75;-1;1.0;10.0
+;4;18.75;Rütsche Stefan;*;18;53.75;5;18.5;1;-0.25;10.0
-;3;28.75;Leuppi Samir;**;5;57.0;3;28.75;0;0.0;8.75
+;7;37.5;Oettli Marco (1997);;12;55.25;5;38.0;-2;0.5;10.0
-;5;47.5;Gwerder Andreas;**;10;55.75;7;47.0;2;-0.5;9.0

8a;Schmid Dominik;*;;;;;;;;;56.25
o;;;Kamer Hanspeter;*;;;;;;;8.5
+;4;8.5;Roth Ruedi (1997);;24;35.25;2;9.75;-2;1.25;9.75
+;6;18.25;Schäppi Urs;;24;35.25;6;18.25;0;0.0;9.75
o;6;28.0;Rychen Roger;**;7;56.5;5;28.25;-1;0.25;8.5
+;11;36.5;Jud Pirmin;*;17;54.0;10;36.75;-1;0.25;9.75
+;10;46.25;Schlegel Reto (1997);*;14;54.75;10;46.25;0;0.0;10.0

8b;Schläpfer Markus;**;;;;;;;;;56.25
-;;;Bühler Ernst;**;;;;;;;8.75
