2805-2015-04-26_Fete_cantonale_Fribourgeoise-ST

1a;Sempach Matthias;***;;;;;;;;;59.5
-;2;9.75;Brodard Augustin;**;9;56.0;2;9.75;0;0.0;9.0
+;5;18.75;Brand Andreas;*;16;54.25;5;18.75;0;0.0;9.75
-;4;28.5;Niederberger Joel;**;25;45.75;9;27.25;5;-1.25;8.75
+;9;37.25;Casarico Fabio;;3;57.5;2;39.0;-7;1.75;9.75
+;7;47.0;Berset Julien;*;10;55.75;6;47.25;-1;0.25;9.75

6f;Kropf Rolf;**;;;;;;;;;56.75
-;;;Giroud Jonathan;**;;;;;;;8.75
+;4;8.75;Chèvre Bernard;;16;54.25;1;10.0;-3;1.25;9.75
+;6;18.5;Hayoz Paul (1998);;12;55.25;6;18.5;0;0.0;10.0
+;4;28.5;Dind Samuel;**;7;56.5;5;28.25;1;-0.25;9.75
-;5;38.25;Cropt Harald;**;10;55.75;5;38.25;0;0.0;8.75
+;7;47.0;Derron Julien (1997);;12;55.25;8;46.75;1;-0.25;9.75

7a;Pellet Michael;**;;;;;;;;;56.5
-;;;Studer Stefan;**;;;;;;;8.75
+;4;8.75;Forster Sämi (1997);;18;53.75;1;10.0;-3;1.25;10.0
+;5;18.75;Mosimann Vincent;*;17;54.0;6;18.5;1;-0.25;9.75
o;4;28.5;Käser Remo;**;2;57.75;4;28.5;0;0.0;8.5
+;10;37.0;Boschung Michaël;;27;45.25;11;36.75;1;-0.25;9.75
+;8;46.75;Droxler Jonathan;*;12;55.25;8;46.75;0;0.0;9.75

7b;Dind Samuel;**;;;;;;;;;56.5
+;;;Niederberger Joel;**;;;;;;;9.75
o;2;9.75;Käser Remo;**;2;57.75;2;9.75;0;0.0;8.5
+;7;18.25;Lützelschwab Luc (1999);;15;54.5;6;18.5;-1;0.25;10.0
o;5;28.25;Kropf Rolf;**;6;56.75;4;28.5;-1;0.25;8.5
+;11;36.75;Hayoz Quentin;;11;55.5;9;37.25;-2;0.5;9.75
+;9;46.5;Gothuey Jean-Pierre;*;12;55.25;8;46.75;-1;0.25;10.0

