2805-2015-04-26_Fete_cantonale_Fribourgeoise-ST

1a;Sempach Matthias;***;;;;;;;;;59.5
o;6;18.5;Derron Cédric;*;11;55.5;7;18.25;1;-0.25;8.5
+;10;27.0;Tenthorey Matthieu;;30;35.5;10;27.0;0;0.0;9.75
o;11;36.75;Oppliger Adrian;;12;55.25;10;37.0;-1;0.25;8.5
+;14;45.25;Wicky Jonathan;;27;45.25;14;45.25;0;0.0;9.75

14a;Balimann Fabian (1998);;;;;;;;;;54.75
+;;;Reymond Jessy (1998);;;;;;;;9.75
+;2;9.75;Quiot Didier;;26;45.5;1;10.0;-1;0.25;9.75
o;3;19.5;Remy Guillaume;**;16;54.25;7;18.25;4;-1.25;8.5
+;6;28.0;Rappo Yann (1998);;27;45.25;5;28.25;-1;0.25;9.75
o;7;37.75;Giroud Jonathan;**;16;54.25;14;36.0;7;-1.75;8.5
o;10;46.25;Barras André;;9;56.0;11;46.0;1;-0.25;8.5

14b;Burgy Frank (1997);;;;;;;;;;54.75
-;;;Curty Alexandre;;;;;;;;8.75
-;4;8.75;Menoud Timothée (1999);;33;34.5;4;8.75;0;0.0;8.75
-;9;17.5;Egger Pierre (1999);;12;55.25;8;17.75;-1;0.25;8.75
+;12;26.25;Berger Dilan (1998);;33;34.5;13;26.0;1;-0.25;10.0
o;13;36.25;Gauch Bastien;;14;54.75;15;35.75;2;-0.5;8.5
+;16;44.75;Blanchard Benjamin (1997);;22;52.75;18;44.25;2;-0.5;10.0

14c;Riedo Fredy;;;;;;;;;;54.75
+;;;Rohrbach Sylvain (1997);;;;;;;;10.0
o;1;10.0;Heiniger Vincent;*;11;55.5;5;8.5;4;-1.5;8.5
+;6;18.5;Kolly Gaëtan (1998);;14;54.75;7;18.25;1;-0.25;10.0
o;4;28.5;Casarico Fabio;;3;57.5;2;29.0;-2;0.5;8.5
-;10;37.0;Lützelschwab Luc (1999);;15;54.5;11;36.75;1;-0.25;8.75
-;12;45.75;Berset Cyril;;14;54.75;12;45.75;0;0.0;9.0

14d;Kolly Gaëtan (1998);;;;;;;;;;54.75
o;;;Lützelschwab Luc (1999);;;;;;;;8.5
+;5;8.5;Goy Sébastien;;35;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Riedo Fredy;;14;54.75;6;18.5;-1;0.25;8.5
+;11;26.75;Ruch Florian (1997);;22;52.75;9;27.25;-2;0.5;9.75
+;12;36.5;Vaucher Rémy (1999);;13;55.0;11;36.75;-1;0.25;9.75
o;10;46.25;Schafer Claudio;*;16;54.25;17;44.5;7;-1.75;8.5

14e;Berset Cyril;;;;;;;;;;54.75
+;;;Roulet Denis;;;;;;;;10.0
-;1;10.0;Schafer Claudio;*;16;54.25;5;8.5;4;-1.5;8.75
-;5;18.75;Zimmermann Mario;;8;56.25;5;18.75;0;0.0;8.75
+;8;27.5;Mariéthoz Grégory (1999);;20;53.25;8;27.5;0;0.0;9.75
o;9;37.25;Roch Vincent;*;13;55.0;11;36.75;2;-0.5;8.5
-;12;45.75;Riedo Fredy;;14;54.75;12;45.75;0;0.0;9.0

14f;Leuenberger Marc;;;;;;;;;;54.75
-;;;Derron Julien (1997);;;;;;;;8.75
o;4;8.75;Kilchoer Alain;;11;55.5;5;8.5;1;-0.25;8.5
+;10;17.25;Crettaz Olivier;;30;35.5;11;17.0;1;-0.25;9.75
+;10;27.0;Curty Alexandre;;30;35.5;10;27.0;0;0.0;10.0
-;10;37.0;Schafer Claudio;*;16;54.25;15;35.75;5;-1.25;8.75
-;12;45.75;Gauch Bastien;;14;54.75;12;45.75;0;0.0;9.0

14g;Gauch Bastien;;;;;;;;;;54.75
+;;;Tenthorey Matthieu;;;;;;;;9.75
o;2;9.75;Gothuey Jean-Pierre;*;12;55.25;5;8.5;3;-1.25;8.5
o;7;18.25;Schwander Severin;;12;55.25;7;18.25;0;0.0;8.5
-;11;26.75;Dind Clément;;15;54.5;10;27.0;-1;0.25;9.0
+;15;35.75;Burgy Frank (1997);;14;54.75;13;36.25;-2;0.5;10.0
-;12;45.75;Leuenberger Marc;;14;54.75;12;45.75;0;0.0;9.0

15a;Lützelschwab Luc (1999);;;;;;;;;;54.5
+;;;Kolly Gaëtan (1998);;;;;;;;9.75
-;2;9.75;Barras François (1998);;30;35.5;2;9.75;0;0.0;8.75
o;6;18.5;Dind Samuel;**;7;56.5;7;18.25;1;-0.25;8.5
+;10;27.0;Martin Jérémy (1998);;30;35.5;10;27.0;0;0.0;9.75
-;11;36.75;Riedo Fredy;;14;54.75;10;37.0;-1;0.25;8.75
-;13;45.5;Boschung Markus;;15;54.5;13;45.5;0;0.0;9.0

15b;Von Niederhäusern Martin;;;;;;;;;;54.5
-;;;Capt Stéphane;;;;;;;;8.75
o;4;8.75;Dind Clément;;15;54.5;5;8.5;1;-0.25;8.75
o;9;17.5;Rohrbach Sylvain (1997);;16;54.25;11;17.0;2;-0.5;8.75
+;12;26.25;Burgy Matt (1999);;33;34.5;13;26.0;1;-0.25;9.75
+;14;36.0;Cotting Florian;;17;54.0;15;35.75;1;-0.25;10.0
o;11;46.0;Liaudat Rudy;*;12;55.25;14;45.25;3;-0.75;8.5

15c;Pharisa Loic;;;;;;;;;;54.5
-;;;Mariéthoz Grégory (1999);;;;;;;;9.0
-;3;9.0;Vonlanthen Alexandre;;15;54.5;4;8.75;1;-0.25;8.75
+;8;17.75;Dufey Gil (1997);;30;35.5;10;17.25;2;-0.5;9.75
-;8;27.5;Vieux Sylvain;*;32;34.75;13;26.0;5;-1.5;8.75
+;13;36.25;Pellet Adrian (1997);;21;53.0;15;35.75;2;-0.5;9.75
o;11;46.0;Parvex Yannick;;10;55.75;11;46.0;0;0.0;8.5

15d;Vonlanthen Alexandre;;;;;;;;;;54.5
-;;;Skryapnik Oleg;;;;;;;;8.75
-;4;8.75;Pharisa Loic;;15;54.5;3;9.0;-1;0.25;8.75
+;9;17.5;Burgy Matt (1999);;33;34.5;9;17.5;0;0.0;10.0
o;8;27.5;Heiniger Vincent;*;11;55.5;10;27.0;2;-0.5;8.5
o;14;36.0;Parvex Yannick;;10;55.75;14;36.0;0;0.0;8.5
+;17;44.5;Zosso Fabian (1998);;22;52.75;18;44.25;1;-0.25;10.0

15e;Dind Clément;;;;;;;;;;54.5
o;;;Delabays Alexandre;;;;;;;;8.5
+;5;8.5;Von Niederhäusern Martin;;15;54.5;4;8.75;-1;0.25;10.0
o;6;18.5;Mauron Olivier;*;7;56.5;7;18.25;1;-0.25;8.5
-;10;27.0;Gauch Bastien;;14;54.75;11;26.75;1;-0.25;9.0
+;14;36.0;Zosso Fabian (1998);;22;52.75;15;35.75;1;-0.25;10.0
o;11;46.0;Zimmermann Mario;;8;56.25;10;46.25;-1;0.25;8.5

15f;Boschung Markus;;;;;;;;;;54.5
o;;;Cressier Gaetan;;;;;;;;8.5
+;5;8.5;Roulet Denis;;31;35.25;5;8.5;0;0.0;10.0
+;6;18.5;Arnold Christian;;30;35.5;11;17.0;5;-1.5;10.0
o;4;28.5;Guisolan Marc;**;5;57.0;5;28.25;1;-0.25;8.5
o;10;37.0;Hayoz Paul (1998);;12;55.25;10;37.0;0;0.0;8.5
-;13;45.5;Lützelschwab Luc (1999);;15;54.5;13;45.5;0;0.0;9.0

16a;Schafer Claudio;*;;;;;;;;;54.25
o;;;Emonet Frédéric;*;;;;;;;8.5
-;5;8.5;Berset Cyril;;14;54.75;1;10.0;-4;1.5;8.75
-;10;17.25;Kilchoer Alain;;11;55.5;6;18.5;-4;1.25;8.75
+;13;26.0;Loup Alexandre (1997);;26;45.5;5;28.25;-8;2.25;9.75
-;15;35.75;Leuenberger Marc;;14;54.75;10;37.0;-5;1.25;8.75
+;17;44.5;Kolly Gaëtan (1998);;14;54.75;10;46.25;-7;1.75;9.75

16b;Chèvre Bernard;;;;;;;;;;54.25
+;;;Oppliger Adrian;;;;;;;;10.0
o;1;10.0;Kropf Rolf;**;6;56.75;4;8.75;3;-1.25;8.5
-;6;18.5;Ruch Florian (1997);;22;52.75;6;18.5;0;0.0;8.75
+;9;27.25;Ducrest Etienne (1998);;29;36.5;6;28.0;-3;0.75;10.0
o;9;37.25;Brodard Simon;**;4;57.25;9;37.25;0;0.0;8.5
o;12;45.75;Hayoz Quentin;;11;55.5;12;45.75;0;0.0;8.5

16c;Remy Guillaume;**;;;;;;;;;54.25
o;;;Pasche Bernard;**;;;;;;;8.5
+;5;8.5;Buchs Julien (1999);;17;54.0;1;10.0;-4;1.5;9.75
+;7;18.25;Balimann Fabian (1998);;14;54.75;3;19.5;-4;1.25;10.0
o;5;28.25;Derron Cédric;*;11;55.5;6;28.0;1;-0.25;8.5
-;11;36.75;Kramer Lario (1998);;8;56.25;9;37.25;-2;0.5;9.0
o;12;45.75;Cardinaux Victor;;8;56.25;9;46.5;-3;0.75;8.5

16d;Giroud Jonathan;**;;;;;;;;;54.25
-;;;Kropf Rolf;**;;;;;;;8.75
-;4;8.75;Zimmermann Mario;;8;56.25;1;10.0;-3;1.25;8.75
+;9;17.5;Emonet Fabien;;26;45.5;6;18.5;-3;1.0;10.0
o;8;27.5;Roch Vincent;*;13;55.0;10;27.0;2;-0.5;8.5
+;14;36.0;Balimann Fabian (1998);;14;54.75;7;37.75;-7;1.75;9.75
o;12;45.75;Gassmann Simon;;9;56.0;10;46.25;-2;0.5;8.5

16e;Brand Andreas;*;;;;;;;;;54.25
-;;;Liaudat Rudy;*;;;;;;;8.75
+;4;8.75;Cardinaux Victor;;8;56.25;2;9.75;-2;1.0;10.0
o;5;18.75;von Büren Stephan;*;6;56.75;5;18.75;0;0.0;8.5
o;9;27.25;Duplan Steve (1997);;4;57.25;2;29.0;-7;1.75;8.5
+;15;35.75;Schöpfer Dio (1997);;12;55.25;10;37.0;-5;1.25;9.75
-;13;45.5;Loup Alexandre (1997);;26;45.5;13;45.5;0;0.0;8.75

16f;Rohrbach Sylvain (1997);;;;;;;;;;54.25
o;;;Riedo Fredy;;;;;;;;8.5
o;5;8.5;Oppliger Adrian;;12;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Von Niederhäusern Martin;;15;54.5;9;17.5;-2;0.5;10.0
o;10;27.0;Schöpfer Dio (1997);;12;55.25;10;27.0;0;0.0;8.75
+;15;35.75;Blanchard Benjamin (1997);;22;52.75;15;35.75;0;0.0;9.75
o;13;45.5;Kilchoer Alain;;11;55.5;13;45.5;0;0.0;8.5
+;17;54.0;Pürro Tobias (1997);;26;45.5;26;45.5;9;-8.5;0.25

17a;Mosimann Vincent;*;;;;;;;;;54.0
o;;;Casarico Fabio;;;;;;;;8.5
+;5;8.5;Schöpfer Dio (1997);;12;55.25;1;10.0;-4;1.5;10.0
o;6;18.5;Pellet Michael;**;7;56.5;5;18.75;-1;0.25;8.5
+;10;27.0;Vonlanthen Marc;;24;46.25;6;28.0;-4;1.0;9.75
o;11;36.75;Kropf Thomas;*;6;56.75;10;37.0;-1;0.25;8.5
-;14;45.25;Minder Florian;;12;55.25;9;46.5;-5;1.25;8.75

17b;Dubey Gaël;;;;;;;;;;54.0
-;;;Parvex Yannick;;;;;;;;8.75
+;4;8.75;Zosso Fabian (1998);;22;52.75;4;8.75;0;0.0;9.75
o;6;18.5;Niederberger Joel;**;25;45.75;6;18.5;0;0.0;8.5
+;10;27.0;Duc Grégory;;30;35.5;10;27.0;0;0.0;10.0
o;10;37.0;Studer Stefan;**;7;56.5;12;36.5;2;-0.5;8.5
o;13;45.5;Ducrest Romain;;11;55.5;13;45.5;0;0.0;8.5

17c;Burri Flemming;;;;;;;;;;54.0
+;;;Daves Maxime (1997);;;;;;;;9.75
-;2;9.75;Vieux Sylvain;*;32;34.75;5;8.5;3;-1.25;8.75
+;6;18.5;Pürro Fabrice (1999);;30;35.5;6;18.5;0;0.0;10.0
o;4;28.5;Parvex François;**;12;55.25;10;27.0;6;-1.5;8.5
o;10;37.0;Rossy Yannick;;13;55.0;11;36.75;1;-0.25;8.5
o;13;45.5;Schafer Damien;;12;55.25;14;45.25;1;-0.25;8.5

17d;Cotting Florian;;;;;;;;;;54.0
+;;;Martin Jérémy (1998);;;;;;;;9.75
o;2;9.75;Minder Florian;;12;55.25;3;9.0;1;-0.75;8.5
-;7;18.25;Vieux Sylvain;*;32;34.75;10;17.25;3;-1.0;8.75
-;10;27.0;Cressier Gaetan;;30;35.5;11;26.75;1;-0.25;8.75
o;15;35.75;Von Niederhäusern Martin;;15;54.5;14;36.0;-1;0.25;8.5
+;18;44.25;Ruch Florian (1997);;22;52.75;18;44.25;0;0.0;9.75

17e;Buchs Julien (1999);;;;;;;;;;54.0
+;;;Cotting Fabien (1999);;;;;;;;10.0
o;1;10.0;Remy Guillaume;**;16;54.25;5;8.5;4;-1.5;8.5
o;6;18.5;Schafer Damien;;12;55.25;7;18.25;1;-0.25;8.5
+;10;27.0;Borcard Clovis (1999);;30;35.5;10;27.0;0;0.0;10.0
o;10;37.0;Derron Julien (1997);;12;55.25;10;37.0;0;0.0;8.5
o;13;45.5;Ducry Antoine;;11;55.5;12;45.75;-1;0.25;8.5

18a;Forster Sämi (1997);;;;;;;;;;53.75
+;;;Bongard Jérôme;;;;;;;;10.0
o;1;10.0;Pellet Michael;**;7;56.5;4;8.75;3;-1.25;8.5
+;6;18.5;Daves Maxime (1997);;31;35.25;7;18.25;1;-0.25;9.75
o;5;28.25;Gothuey Jean-Pierre;*;12;55.25;10;27.0;5;-1.25;8.5
o;11;36.75;Cardinaux Victor;;8;56.25;11;36.75;0;0.0;8.5
o;14;45.25;Schöpfer Dio (1997);;12;55.25;13;45.5;-1;0.25;8.5

19a;Kramer Dorian (1999);;;;;;;;;;53.5
+;;;Berger Alan (1998);;;;;;;;9.75
o;2;9.75;Ducrest Etienne (1998);;29;36.5;2;9.75;0;0.0;8.5
+;7;18.25;Bongard Jérôme;;30;35.5;7;18.25;0;0.0;9.75
o;6;28.0;Droxler Jonathan;*;12;55.25;10;27.0;4;-1.0;8.5
o;12;36.5;Gassmann Simon;;9;56.0;12;36.5;0;0.0;8.5
o;15;45.0;Vaucher Rémy (1999);;13;55.0;14;45.25;-1;0.25;8.5

20a;Mariéthoz Grégory (1999);;;;;;;;;;53.25
-;;;Pharisa Loic;;;;;;;;9.0
o;3;9.0;Hayoz Paul (1998);;12;55.25;4;8.75;1;-0.25;8.5
+;9;17.5;Menoud Timothée (1999);;33;34.5;9;17.5;0;0.0;10.0
o;8;27.5;Berset Cyril;;14;54.75;8;27.5;0;0.0;8.5
o;14;36.0;Barras André;;9;56.0;14;36.0;0;0.0;8.5
-;17;44.5;Pellet Adrian (1997);;21;53.0;18;44.25;1;-0.25;8.75

21a;Pellet Adrian (1997);;;;;;;;;;53.0
-;;;Berger Dilan (1998);;;;;;;;8.75
o;4;8.75;Barras André;;9;56.0;4;8.75;0;0.0;8.5
+;10;17.25;Délitroz Lucien (1999);;30;35.5;11;17.0;1;-0.25;10.0
o;9;27.25;Emonet Fabien;;26;45.5;4;28.5;-5;1.25;8.5
o;15;35.75;Pharisa Loic;;15;54.5;13;36.25;-2;0.5;8.5
-;18;44.25;Mariéthoz Grégory (1999);;20;53.25;17;44.5;-1;0.25;8.75

22a;Blanchard Benjamin (1997);;;;;;;;;;52.75
-;;;Zimmermann Joël (1997);;;;;;;;8.75
o;4;8.75;Kramer Lario (1998);;8;56.25;4;8.75;0;0.0;8.5
+;10;17.25;Reichenbach Ryan (1999);;35;34.0;11;17.0;1;-0.25;10.0
o;9;27.25;Hayoz Quentin;;11;55.5;9;27.25;0;0.0;8.5
o;15;35.75;Rohrbach Sylvain (1997);;16;54.25;15;35.75;0;0.0;8.5
o;18;44.25;Burgy Frank (1997);;14;54.75;16;44.75;-2;0.5;8.5

22b;Ruch Florian (1997);;;;;;;;;;52.75
o;;;Rossy Yannick;;;;;;;;8.5
+;5;8.5;Crettaz Olivier;;30;35.5;5;8.5;0;0.0;10.0
-;6;18.5;Chèvre Bernard;;16;54.25;6;18.5;0;0.0;8.75
o;9;27.25;Kilchoer Alain;;11;55.5;9;27.25;0;0.0;8.5
o;15;35.75;Kolly Gaëtan (1998);;14;54.75;12;36.5;-3;0.75;8.5
o;18;44.25;Cotting Florian;;17;54.0;18;44.25;0;0.0;8.5

22c;Zosso Fabian (1998);;;;;;;;;;52.75
-;;;Menoud Timothée (1999);;;;;;;;8.75
o;4;8.75;Dubey Gaël;;17;54.0;4;8.75;0;0.0;8.5
+;10;17.25;Goy Sébastien;;35;34.0;11;17.0;1;-0.25;10.0
o;9;27.25;Kramer Lario (1998);;8;56.25;9;27.25;0;0.0;8.5
o;15;35.75;Dind Clément;;15;54.5;14;36.0;-1;0.25;8.5
o;18;44.25;Vonlanthen Alexandre;;15;54.5;17;44.5;-1;0.25;8.5

23a;Emonet Frédéric;*;;;;;;;;;46.75
+;;;Schafer Claudio;*;;;;;;;9.75
o;2;9.75;Sonnay Thomas;**;36;28.0;2;9.75;0;0.0;8.5
+;7;18.25;Borcard Clovis (1999);;30;35.5;6;18.5;-1;0.25;10.0
o;5;28.25;Gottofrey Marc;*;5;57.0;8;27.5;3;-0.75;8.5
+;11;36.75;Rossy Yannick;;13;55.0;11;36.75;0;0.0;10.0

24a;Vonlanthen Marc;;;;;;;;;;46.25
+;;;Délitroz Lucien (1999);;;;;;;;9.75
+;2;9.75;Pürro Tobias (1997);;26;45.5;1;10.0;-1;0.25;9.75
o;3;19.5;Mosimann Vincent;*;17;54.0;6;18.5;3;-1.0;8.5
+;6;28.0;Rappo Yann (1998);;27;45.25;5;28.25;-1;0.25;9.75
o;7;37.75;Parvex François;**;12;55.25;10;37.0;3;-0.75;8.5

25a;Niederberger Joel;**;;;;;;;;;45.75
o;;;Dind Samuel;**;;;;;;;8.5
+;5;8.5;Dubey Gaël;;17;54.0;4;8.75;-1;0.25;10.0
-;6;18.5;von Büren Stephan;*;6;56.75;5;18.75;-1;0.25;8.75
+;9;27.25;Borcard Johann;*;9;56.0;4;28.5;-5;1.25;9.75
-;10;37.0;Cropt Harald;**;10;55.75;5;38.25;-5;1.25;8.75

26a;Pürro Tobias (1997);;;;;;;;;;45.5
+;;;Goy Sébastien;;;;;;;;10.0
o;1;10.0;Vonlanthen Marc;;24;46.25;2;9.75;1;-0.25;8.5
+;6;18.5;Daves Maxime (1997);;31;35.25;7;18.25;1;-0.25;10.0
o;4;28.5;Matthey Mickaël;**;28;44.75;13;26.0;9;-2.5;8.5
o;10;37.0;Rohrbach Sylvain (1997);;16;54.25;15;35.75;5;-1.25;8.5

26b;Emonet Fabien;;;;;;;;;;45.5
+;;;Croisier Anthony;;;;;;;;10.0
o;1;10.0;Giroud Jonathan;**;16;54.25;4;8.75;3;-1.25;8.5
+;6;18.5;Pellet Adrian (1997);;21;53.0;10;17.25;4;-1.25;10.0
o;4;28.5;Pasche Bernard;**;13;55.0;6;28.0;2;-0.5;8.5
o;10;37.0;Kramer Lario (1998);;8;56.25;9;37.25;-1;0.25;8.5

26c;Delabays Alexandre;;;;;;;;;;45.5
+;;;Dind Clément;;;;;;;;9.75
o;2;9.75;Liaudat Rudy;*;12;55.25;4;8.75;2;-1.0;8.5
+;7;18.25;Taillard Virgile (1998);;31;35.25;7;18.25;0;0.0;10.0
o;5;28.25;Overney Olivier;*;6;56.75;5;28.25;0;0.0;8.5
o;11;36.75;Casarico Fabio;;3;57.5;2;39.0;-9;2.25;8.75

26d;Loup Alexandre (1997);;;;;;;;;;45.5
+;;;Ducrest Romain;;;;;;;;9.75
o;2;9.75;Gottofrey Marc;*;5;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Berger Dilan (1998);;33;34.5;9;17.5;2;-0.75;10.0
o;5;28.25;Schafer Claudio;*;16;54.25;13;26.0;8;-2.25;8.5
-;11;36.75;Brand Andreas;*;16;54.25;15;35.75;4;-1.0;8.75

26e;Quiot Didier;;;;;;;;;;45.5
+;;;Gassmann Simon;;;;;;;;10.0
o;1;10.0;Balimann Fabian (1998);;14;54.75;2;9.75;1;-0.25;8.5
o;6;18.5;Cropt Harald;**;10;55.75;6;18.5;0;0.0;8.5
+;10;27.0;Dorsaz Théo (1998);;31;35.25;11;26.75;1;-0.25;10.0
o;10;37.0;Egger Pierre (1999);;12;55.25;11;36.75;1;-0.25;8.5

27a;Wicky Jonathan;;;;;;;;;;45.25
+;;;Croisier Anthony;;;;;;;;9.75
o;2;9.75;Gapany Benjamin;**;6;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Taillard Virgile (1998);;31;35.25;7;18.25;0;0.0;10.0
o;5;28.25;Berset Julien;*;10;55.75;3;28.75;-2;0.5;8.5
o;11;36.75;Skryapnik Oleg;;13;55.0;11;36.75;0;0.0;8.5

27b;Rappo Yann (1998);;;;;;;;;;45.25
+;;;Taillard Virgile (1998);;;;;;;;9.75
+;2;9.75;Vaucher Rémy (1999);;13;55.0;1;10.0;-1;0.25;10.0
o;2;19.75;Parvex François;**;12;55.25;10;17.25;8;-2.5;8.5
o;5;28.25;Balimann Fabian (1998);;14;54.75;6;28.0;1;-0.25;8.5
o;11;36.75;Vonlanthen Marc;;24;46.25;7;37.75;-4;1.0;8.5

27c;Boschung Michaël;;;;;;;;;;45.25
+;;;Aladenise Jonathan;;;;;;;;9.75
o;2;9.75;Brodard Simon;**;4;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Martin Jérémy (1998);;30;35.5;6;18.5;-1;0.25;10.0
o;5;28.25;Pellet Michael;**;7;56.5;4;28.5;-1;0.25;8.5
o;11;36.75;Duplan Steve (1997);;4;57.25;3;38.75;-8;2.0;8.5

28a;Matthey Mickaël;**;;;;;;;;;44.75
o;;;Käser Remo;**;;;;;;;8.5
-;5;8.5;Ducry Antoine;;11;55.5;2;9.75;-3;1.25;8.75
-;10;17.25;Studer Stefan;**;7;56.5;8;17.75;-2;0.5;8.75
+;13;26.0;Pürro Tobias (1997);;26;45.5;4;28.5;-9;2.5;9.75
-;15;35.75;Derron Cédric;*;11;55.5;6;38.0;-9;2.25;9.0

29a;Ducrest Etienne (1998);;;;;;;;;;36.5
+;;;Pouye Diey;;;;;;;;9.75
o;2;9.75;Piemontesi Pascal;**;11;55.5;4;8.75;2;-1.0;8.5
+;7;18.25;Kramer Dorian (1999);;19;53.5;7;18.25;0;0.0;9.75
o;6;28.0;Chèvre Bernard;;16;54.25;9;27.25;3;-0.75;8.5

30a;Dufey Gil (1997);;;;;;;;;;35.5
-;;;Hayoz Paul (1998);;;;;;;;8.75
o;4;8.75;Derron Julien (1997);;12;55.25;4;8.75;0;0.0;8.5
o;10;17.25;Pharisa Loic;;15;54.5;8;17.75;-2;0.5;8.5
+;14;25.75;Zimmermann Joël (1997);;33;34.5;13;26.0;-1;0.25;9.75

30b;Martin Jérémy (1998);;;;;;;;;;35.5
o;;;Cotting Florian;;;;;;;;8.5
+;5;8.5;Chautems Mike;;35;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Boschung Michaël;;27;45.25;7;18.25;1;-0.25;8.5
o;10;27.0;Lützelschwab Luc (1999);;15;54.5;10;27.0;0;0.0;8.5

30c;Crettaz Olivier;;;;;;;;;;35.5
o;;;Ducry Antoine;;;;;;;;8.5
o;5;8.5;Ruch Florian (1997);;22;52.75;5;8.5;0;0.0;8.5
o;11;17.0;Leuenberger Marc;;14;54.75;10;17.25;-1;0.25;8.5
+;15;25.5;Chautems Mike;;35;34.0;15;25.5;0;0.0;10.0

30d;Aladenise Jonathan;;;;;;;;;;35.5
o;;;Boschung Michaël;;;;;;;;8.5
+;5;8.5;Reichenbach Ryan (1999);;35;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Gapany Benjamin;**;6;56.75;7;18.25;0;0.0;8.5
-;11;26.75;Bongard Jérôme;;30;35.5;11;26.75;0;0.0;8.75

30e;Pouye Diey;;;;;;;;;;35.5
o;;;Ducrest Etienne (1998);;;;;;;;8.5
o;5;8.5;Gassmann Simon;;9;56.0;5;8.5;0;0.0;8.5
o;11;17.0;Tenthorey Matthieu;;30;35.5;10;17.25;-1;0.25;8.5
+;15;25.5;Goy Sébastien;;35;34.0;15;25.5;0;0.0;10.0

30f;Duc Grégory;;;;;;;;;;35.5
o;;;Barras François (1998);;;;;;;;8.5
o;5;8.5;Pürro Fabrice (1999);;30;35.5;5;8.5;0;0.0;8.5
+;11;17.0;Egger Fabio (1999);;35;34.0;11;17.0;0;0.0;10.0
o;10;27.0;Dubey Gaël;;17;54.0;10;27.0;0;0.0;8.5

30g;Barras François (1998);;;;;;;;;;35.5
+;;;Duc Grégory;;;;;;;;9.75
-;2;9.75;Lützelschwab Luc (1999);;15;54.5;2;9.75;0;0.0;8.75
o;6;18.5;Overney Olivier;*;6;56.75;6;18.5;0;0.0;8.5
o;10;27.0;Gassmann Simon;;9;56.0;11;26.75;1;-0.25;8.5

30h;Croisier Anthony;;;;;;;;;;35.5
o;;;Wicky Jonathan;;;;;;;;8.5
o;5;8.5;Emonet Fabien;;26;45.5;1;10.0;-4;1.5;8.5
o;11;17.0;Roch Vincent;*;13;55.0;11;17.0;0;0.0;8.5
+;15;25.5;Fuchs Yannick (1998);;34;34.25;14;25.75;-1;0.25;10.0

30i;Délitroz Lucien (1999);;;;;;;;;;35.5
o;;;Pürro Christian (1999);;;;;;;;8.5
o;5;8.5;Vonlanthen Marc;;24;46.25;2;9.75;-3;1.25;8.5
o;11;17.0;Pellet Adrian (1997);;21;53.0;10;17.25;-1;0.25;8.5
+;15;25.5;Egger Fabio (1999);;35;34.0;15;25.5;0;0.0;10.0

30j;Borcard Clovis (1999);;;;;;;;;;35.5
+;;;Egger Fabio (1999);;;;;;;;9.75
-;2;9.75;Pürro Christian (1999);;30;35.5;2;9.75;0;0.0;8.75
o;6;18.5;Emonet Frédéric;*;23;46.75;7;18.25;1;-0.25;8.5
o;10;27.0;Buchs Julien (1999);;17;54.0;10;27.0;0;0.0;8.5

30k;Capt Stéphane;;;;;;;;;;35.5
-;;;Von Niederhäusern Martin;;;;;;;;8.75
o;4;8.75;Schafer Damien;;12;55.25;5;8.5;1;-0.25;8.5
+;10;17.25;Zimmermann Joël (1997);;33;34.5;9;17.5;-1;0.25;9.75
o;10;27.0;Hayoz Paul (1998);;12;55.25;10;27.0;0;0.0;8.5

30l;Arnold Christian;;;;;;;;;;35.5
o;;;Zimmermann Mario;;;;;;;;8.5
o;5;8.5;Hayoz Quentin;;11;55.5;4;8.75;-1;0.25;8.5
+;11;17.0;Cotting Fabien (1999);;30;35.5;11;17.0;0;0.0;10.0
o;10;27.0;Boschung Markus;;15;54.5;4;28.5;-6;1.5;8.5

30m;Pürro Christian (1999);;;;;;;;;;35.5
+;;;Délitroz Lucien (1999);;;;;;;;9.75
-;2;9.75;Borcard Clovis (1999);;30;35.5;2;9.75;0;0.0;8.75
o;6;18.5;Brodard Augustin;**;9;56.0;5;18.75;-1;0.25;8.5
o;10;27.0;Egger Pierre (1999);;12;55.25;11;26.75;1;-0.25;8.5

30n;Curty Alexandre;;;;;;;;;;35.5
-;;;Burgy Frank (1997);;;;;;;;8.75
o;4;8.75;Skryapnik Oleg;;13;55.0;4;8.75;0;0.0;8.5
+;10;17.25;Parvex Yannick;;10;55.75;9;17.5;-1;0.25;9.75
o;10;27.0;Leuenberger Marc;;14;54.75;10;27.0;0;0.0;8.5

30o;Berger Alan (1998);;;;;;;;;;35.5
o;;;Kramer Dorian (1999);;;;;;;;8.5
+;5;8.5;Cotting Fabien (1999);;30;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Berset Julien;*;10;55.75;5;18.75;-1;0.25;8.5
o;10;27.0;Oppliger Adrian;;12;55.25;10;27.0;0;0.0;8.5

