3261-2016-05-08_93_Schwyzer_Kant_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;*;;;;;;;;;113.0
+;;;Gwerder Andreas;*;;;;;;;9.75
+;;;Baumann Roger;*;;;;;;;9.75
o;1;19.5;Nötzli Reto;***;6;56.75;5;9.0;4;-10.5;8.5
o;1;19.5;Reichmuth Pirmin;**;7;56.5;6;8.75;5;-10.75;8.5
+;1;36.5;Meier Marcel;;11;55.5;8;18.5;7;-18.0;10.0
+;1;36.5;Inderbitzin Urs;;18;53.75;8;18.5;7;-18.0;10.0
-;1;56.5;Theiler Beat;*;12;55.25;7;28.25;6;-28.25;8.75
o;1;56.5;Zgraggen Fabian;;12;55.25;6;28.5;5;-28.0;8.5
+;2;73.75;Ulrich Pascal (1999);;12;55.25;10;37.0;8;-36.75;9.75
+;2;73.75;Schindler Roland;;16;54.25;10;37.0;8;-36.75;9.75
+;2;93.25;Corvi Dominik;;13;55.0;11;46.5;9;-46.75;10.0
+;2;93.25;Reichmuth Marco;*;12;55.25;10;46.75;8;-46.5;9.75

2a;Zimmermann Martin;*;;;;;;;;;111.5
-;;;Lüönd Andreas;**;;;;;;;8.75
-;;;Schuler Alex;**;;;;;;;8.75
+;2;17.5;Diethelm Albert;*;11;55.5;7;8.5;5;-9.0;9.75
-;2;17.5;Fässler Cornel;*;8;56.25;4;9.75;2;-7.75;9.0
+;2;36.25;Suter Samuel (1999);;14;54.75;6;19.0;4;-17.25;10.0
+;2;36.25;Beffa Mario;;14;54.75;7;18.75;5;-17.5;10.0
-;2;56.25;Villiger Cyrill;*;10;55.75;7;28.25;5;-28.0;8.75
-;2;56.25;Schürpf Bruno;;11;55.5;7;28.25;5;-28.0;9.0
+;1;74.0;Heinzer Ronny;;11;55.5;10;37.0;9;-37.0;10.0
+;1;74.0;Suter Pirmin;;17;54.0;10;37.0;9;-37.0;10.0
o;1;94.0;Schelbert Ralf;**;4;57.5;7;47.5;6;-46.5;8.5
-;1;94.0;Linggi Bruno;**;7;56.5;7;47.5;6;-46.5;9.0

3a;Steinauer Adrian;**;;;;;;;;;58.5
+;;;Waser Dominik;**;;;;;;;10.0
+;3;10.0;Gasser Stefan;**;5;57.0;3;10.0;0;0.0;9.75
+;4;19.75;Moos Christoph;;9;56.0;4;19.75;0;0.0;9.75
-;3;29.5;Fankhauser Erich;***;5;57.0;4;29.0;1;-0.5;9.0
+;4;38.5;Rychen Roger;**;8;56.25;6;38.0;2;-0.5;10.0
+;4;48.5;Reichmuth Pirmin;**;7;56.5;5;48.0;1;-0.5;10.0

