4942-2021-07-25_Bruenigschwinget-ST

1a;Wenger Kilian;***;;;;;;;;;58.25
+;;;Nötzli Reto;***;;;;;;;9.75
+;2;9.75;Burch Jonas;**;11;55.0;1;10.0;-1;0.25;10.0
+;2;19.75;Doppmann Urs;**;6;56.5;3;19.5;1;-0.25;9.75
-;2;29.5;Aeschbacher Matthias;***;4;57.0;5;28.5;3;-1.0;8.75
+;3;38.25;Gäumann Stefan;*;5;56.75;2;38.5;-1;0.25;10.0
+;1;48.25;Roschi Ruedi;**;4;57.0;1;48.25;0;0.0;10.0

2a;Kämpf Bernhard;***;;;;;;;;;57.5
-;;;Fankhauser Erich;***;;;;;;;9.0
+;3;9.0;Kurmann Toni;*;11;55.0;2;9.75;-1;0.75;10.0
+;4;19.0;Ambühl Joel;**;15;54.0;6;18.5;2;-0.5;10.0
o;3;29.0;Strebel Joel;***;6;56.5;6;28.25;3;-0.75;8.5
+;5;37.5;Suter Beat;*;11;55.0;4;38.0;-1;0.5;10.0
+;3;47.5;Suppiger Werner;**;10;55.25;6;46.75;3;-0.75;10.0

3a;Walther Adrian;*;;;;;;;;;57.25
o;;;Burch Jonas;**;;;;;;;8.75
+;4;8.75;Bucher Roland;*;12;54.75;2;9.75;-2;1.0;10.0
+;5;18.75;Schurtenberger Sven;***;6;56.5;6;18.5;1;-0.25;9.75
+;5;28.5;Odermatt Remo;*;15;54.0;5;28.5;0;0.0;10.0
-;2;38.5;Gnägi Florian;***;6;56.5;5;37.5;3;-1.0;8.75
+;4;47.25;Reichmuth Roland;*;12;54.75;8;46.25;4;-1.0;10.0

4a;Roschi Ruedi;**;;;;;;;;;57.0
+;;;Felder Martin;*;;;;;;;10.0
+;1;10.0;Betschart Marcel;*;17;53.5;2;9.75;1;-0.25;10.0
+;1;20.0;Suppiger Werner;**;10;55.25;5;18.75;4;-1.25;9.75
+;1;29.75;Döbeli Andreas;***;6;56.5;6;28.25;5;-1.5;10.0
o;1;39.75;Strebel Joel;***;6;56.5;4;38.0;3;-1.75;8.5
o;1;48.25;Wenger Kilian;***;1;58.25;1;48.25;0;0.0;8.75

4b;Staudenmann Fabian;***;;;;;;;;;57.0
-;;;Suppiger Werner;**;;;;;;;8.75
+;4;8.75;Schöpfer Ronny;**;13;54.5;2;9.75;-2;1.0;9.75
+;6;18.5;Odermatt Adrian;*;11;55.0;3;19.5;-3;1.0;9.75
+;6;28.25;Orlik Curdin;***;6;56.5;2;29.5;-4;1.25;10.0
-;3;38.25;von Weissenfluh Kilian;***;5;56.75;3;38.25;0;0.0;8.75
+;5;47.0;Burch Jonas;**;11;55.0;7;46.5;2;-0.5;10.0

4c;Räbmatter Patrick;***;;;;;;;;;57.0
o;;;Aeschbacher Matthias;***;;;;;;;8.5
+;5;8.5;Iseli Marco;**;13;54.5;2;9.75;-3;1.25;9.75
+;7;18.25;Steffen Konrad;*;18;53.25;6;18.5;-1;0.25;10.0
-;6;28.25;Schwander Severin;**;7;56.25;4;28.75;-2;0.5;8.75
+;7;37.0;Gerber Ueli;*;8;55.75;6;37.25;-1;0.25;10.0
+;5;47.0;Schlüchter Colin;*;12;54.75;8;46.25;3;-0.75;10.0

4d;Reichmuth Marco;**;;;;;;;;;57.0
+;;;Ledermann Michael;**;;;;;;;9.75
-;2;9.75;Aeschbacher Matthias;***;4;57.0;2;9.75;0;0.0;8.75
-;6;18.5;Kämpf Alexander;**;17;53.5;5;18.75;-1;0.25;8.75
+;10;27.25;Wyss Kaspar;*;17;53.5;10;27.25;0;0.0;9.75
+;7;37.0;Zangger Dominik;*;13;54.5;7;37.0;0;0.0;10.0
+;5;47.0;Gäggeler Adrian;*;10;55.25;6;46.75;1;-0.25;10.0

4e;Klossner Adrian;*;;;;;;;;;57.0
+;;;Odermatt Andreas;**;;;;;;;9.75
o;2;9.75;Schurtenberger Sven;***;6;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Lustenberger Josef;*;13;54.5;7;18.25;0;0.0;10.0
-;6;28.25;Nötzli Reto;***;26;36.0;10;27.25;4;-1.0;8.75
+;7;37.0;Bucher Roland;*;12;54.75;9;36.5;2;-0.5;10.0
+;5;47.0;Odermatt Adrian;*;11;55.0;7;46.5;2;-0.5;10.0

4f;Aeschbacher Matthias;***;;;;;;;;;57.0
+;;;Räbmatter Patrick;***;;;;;;;9.75
-;2;9.75;Reichmuth Marco;**;4;57.0;2;9.75;0;0.0;8.75
+;6;18.5;Lemmenmeier Lukas;*;18;53.25;5;18.75;-1;0.25;10.0
-;5;28.5;Wenger Kilian;***;1;58.25;2;29.5;-3;1.0;8.75
+;6;37.25;Odermatt Remo;*;15;54.0;7;37.0;1;-0.25;10.0
+;4;47.25;Schmid Simon;*;9;55.5;5;47.0;1;-0.25;9.75

4g;Fankhauser Erich;***;;;;;;;;;57.0
