5663-2022-05-22_Solothurner_Kantonalschwingfest-ST

1a;Alpiger Nick;***;;;;;;;;;58.5
+;6;18.5;Lüscher Sinisha (2006);*;10;55.5;5;18.75;-1;0.25;9.75
+;5;28.25;Widmer Dino;;16;54.0;4;28.5;-1;0.25;10.0
o;3;38.25;Alpiger Nick;***;1;58.5;2;38.5;-1;0.25;8.5
+;7;46.75;Schmutz Adrian;*;15;54.25;11;45.75;4;-1.0;10.0

5b;Strebel Joel;***;;;;;;;;;56.75
-;;;Alpiger Nick;***;;;;;;;8.75
+;4;8.75;Bader Fabian;**;5;56.75;1;10.0;-3;1.25;10.0
+;5;18.75;Hermann Oliver;**;8;56.0;6;18.5;1;-0.25;9.75
o;4;28.5;Bucher Christian;**;3;57.25;5;28.25;1;-0.25;8.75
+;6;37.25;Gerber Manuel;*;9;55.75;6;37.25;0;0.0;9.75
+;6;47.0;Schmid Samuel;**;12;55.0;8;46.5;2;-0.5;9.75

5c;Döbeli Lukas;**;;;;;;;;;56.75
+;;;Erb Roger;**;;;;;;;9.75
o;2;9.75;Roschi Ruedi;**;7;56.25;2;9.75;0;0.0;8.5
-;7;18.25;Streich Sascha;;6;56.5;1;20.0;-6;1.75;9.0
+;9;27.25;Kohler Adrian;*;14;54.5;8;27.5;-1;0.25;9.75
+;7;37.0;Widmer Dino;;16;54.0;7;37.0;0;0.0;10.0
+;6;47.0;Gerber Andrj;*;14;54.5;10;46.0;4;-1.0;9.75

5d;Bader Fabian;**;;;;;;;;;56.75
+;;;Brand Christian;**;;;;;;;10.0
o;1;10.0;Strebel Joel;***;5;56.75;4;8.75;3;-1.25;8.5
+;6;18.5;Böni Ralf (2004);;16;54.0;6;18.5;0;0.0;10.0
o;4;28.5;Anderegg David;*;11;55.25;4;28.5;0;0.0;8.5
+;7;37.0;Stocker Niklas (2005);;12;55.0;9;36.5;2;-0.5;10.0
+;6;47.0;Bucher Thomas;*;14;54.5;10;46.0;4;-1.0;9.75

6a;Bucher Roland;*;;;;;;;;;56.5
o;;;Hügli Kaj;**;;;;;;;8.5
+;5;8.5;Vogt Sandro (2004);;15;54.25;2;9.75;-3;1.25;9.75
+;7;18.25;Fricker Ivo;;15;54.25;5;18.75;-2;0.5;9.75
-;6;28.0;Erb Roger;**;14;54.5;9;27.25;3;-0.75;8.75
+;8;36.75;Stadler Kevin;*;14;54.5;11;36.0;3;-0.75;10.0
+;7;46.75;Lüscher Sinisha (2006);*;10;55.5;6;47.0;-1;0.25;9.75

6b;Streich Sascha;;;;;;;;;;56.5
+;;;Buchmann Moritz (2005);;;;;;;;10.0
+;1;10.0;Betschart Marcel;*;6;56.5;5;8.5;4;-1.5;10.0
-;1;20.0;Döbeli Lukas;**;5;56.75;7;18.25;6;-1.75;9.0
-;2;29.0;Widmer Tobias;**;6;56.5;3;28.75;1;-0.25;8.75
+;4;37.75;Rüegg Daniel;;14;54.5;5;37.5;1;-0.25;9.75
-;4;47.5;Bieli Andreas;;7;56.25;5;47.25;1;-0.25;9.0

6c;Frank Marius (2004);*;;;;;;;;;56.5
+;;;Beer Peter;*;;;;;;;9.75
o;2;9.75;Döbeli Andreas;***;3;57.25;5;8.5;3;-1.25;8.5
+;7;18.25;Müller Simon;;20;35.75;5;18.75;-2;0.5;9.75
+;6;28.0;Voggensperger Til (2004);;17;53.75;7;27.75;1;-0.25;9.75
o;4;37.75;Burren Patrick;*;9;55.75;5;37.5;1;-0.25;8.75
+;8;46.5;Burren Dominik;;13;54.75;9;46.25;1;-0.25;10.0

6d;Widmer Tobias;**;;;;;;;;;56.5
-;;;Henzer Andreas;**;;;;;;;9.0
+;3;9.0;Schaub Reto;;17;53.75;2;9.75;-1;0.75;9.75
+;5;18.75;Roschi Ruedi;**;7;56.25;3;19.5;-2;0.75;10.0
-;3;28.75;Streich Sascha;;6;56.5;2;29.0;-1;0.25;9.0
+;4;37.75;Bucher Thomas;*;14;54.5;6;37.25;2;-0.5;10.0
-;3;47.75;Räbmatter Patrick;***;4;57.0;2;48.25;-1;0.5;8.75

6e;Betschart Marcel;*;;;;;;;;;56.5
o;;;Joho Philip;*;;;;;;;8.5
o;5;8.5;Streich Sascha;;6;56.5;1;10.0;-4;1.5;8.5
+;11;17.0;Jehle Aaron (2005);;18;53.5;7;18.25;-4;1.25;10.0
+;10;27.0;Caviezel Nicolas;;20;35.75;9;27.25;-1;0.25;10.0
+;7;37.0;Studer Remo;*;11;55.25;7;37.0;0;0.0;9.75
+;7;46.75;Stegmüller Klemens;*;8;56.0;5;47.25;-2;0.5;9.75

7a;Roschi Ruedi;**;;;;;;;;;56.25
+;;;Döbeli Andreas;***;;;;;;;9.75
+;2;9.75;Döbeli Lukas;**;5;56.75;2;9.75;0;0.0;9.75
o;3;19.5;Widmer Tobias;**;6;56.5;5;18.75;2;-0.75;8.5
-;6;28.0;Odermatt Jonas (2004);;3;57.25;4;28.5;-2;0.5;8.75
+;8;36.75;Rüegger Aaron;*;18;53.5;10;36.25;2;-0.5;9.75
+;8;46.5;Kohler Adrian;*;14;54.5;10;46.0;2;-0.5;9.75

7b;Bieli Andreas;;;;;;;;;;56.25
-;;;Graf Gian;;;;;;;;8.75
+;4;8.75;Herrmann Daniel;;22;35.25;2;9.75;-2;1.0;10.0
-;5;18.75;Stadler Kevin;*;14;54.5;9;17.5;4;-1.25;8.75
+;8;27.5;Bearda Samuel;**;21;35.5;10;27.0;2;-0.5;10.0
+;5;37.5;Suter Jonas;;11;55.25;7;37.0;2;-0.5;9.75
-;5;47.25;Streich Sascha;;6;56.5;4;47.5;-1;0.25;9.0

8a;Hermann Oliver;**;;;;;;;;;56.0
+;;;Probst Gabriel;**;;;;;;;9.75
-;2;9.75;Joho Philip;*;12;55.0;1;10.0;-1;0.25;8.75
o;6;18.5;Strebel Joel;***;5;56.75;5;18.75;-1;0.25;8.5
+;10;27.0;Stampfli Simon (2004);;15;54.25;5;28.25;-5;1.25;10.0
-;7;37.0;Büttler Gian;;9;55.75;8;36.75;1;-0.25;9.0
+;10;46.0;Wenger Marcel;*;15;54.25;11;45.75;1;-0.25;10.0

8b;Späti Jan;;;;;;;;;;56.0
+;;;Kulmer Nick (2004);;;;;;;;9.75
o;2;9.75;Bucher Thomas;*;14;54.5;5;8.5;3;-1.25;8.5
+;7;18.25;Studinger Robin (2006);;20;35.75;6;18.5;-1;0.25;10.0
-;5;28.25;Rüegger Aaron;*;18;53.5;9;27.25;4;-1.0;9.0
+;6;37.25;Böni Ralf (2004);;16;54.0;7;37.0;1;-0.25;10.0
o;5;47.25;Roth Jan (2004);*;3;57.25;5;47.25;0;0.0;8.75

8c;Stegmüller Klemens;*;;;;;;;;;56.0
-;;;Widmer David;**;;;;;;;9.0
+;3;9.0;Roth Leon (2006);;20;35.75;1;10.0;-2;1.0;10.0
o;4;19.0;Alpiger Nick;***;1;58.5;5;18.75;1;-0.25;8.5
+;8;27.5;Graf Gian;;13;54.75;8;27.5;0;0.0;10.0
+;5;37.5;Mangold Martin;*;16;54.0;7;37.0;2;-0.5;9.75
o;5;47.25;Betschart Marcel;*;6;56.5;7;46.75;2;-0.5;8.75

8d;Stüdeli Thomas;**;;;;;;;;;56.0
-;;;Bearda Samuel;**;;;;;;;9.0
+;3;9.0;Gehrig Nils (2006);;22;35.25;2;9.75;-1;0.75;10.0
o;4;19.0;Schmid David;***;2;57.75;5;18.75;1;-0.25;8.5
+;8;27.5;Burren Dominik;;13;54.75;6;28.0;-2;0.5;10.0
+;5;37.5;Dobler Florian;;9;55.75;6;37.25;1;-0.25;10.0
o;4;47.5;Beer Peter;*;4;57.0;6;47.0;2;-0.5;8.5

9a;Burren Patrick;*;;;;;;;;;55.75
-;;;Scherrer Johann;**;;;;;;;8.75
+;4;8.75;Antenen Remo (2004);;16;54.0;1;10.0;-3;1.25;10.0
-;5;18.75;Schmutz Adrian;*;15;54.25;6;18.5;1;-0.25;8.75
+;8;27.5;Rüegg Daniel;;14;54.5;3;28.75;-5;1.25;10.0
+;5;37.5;Frank Marius (2004);*;6;56.5;4;37.75;-1;0.25;9.75
o;5;47.25;Schmid David;***;2;57.75;3;47.75;-2;0.5;8.5

9b;Räber Lukas;*;;;;;;;;;55.75
-;;;Gerber Manuel;*;;;;;;;9.0
+;3;9.0;Stocker Niklas (2005);;12;55.0;2;9.75;-1;0.75;9.75
-;5;18.75;Erb Roger;**;14;54.5;7;18.25;2;-0.5;8.75
o;8;27.5;Stoll Simon;**;9;55.75;9;27.25;1;-0.25;8.5
+;11;36.0;Ris Jörn;*;16;54.0;8;36.75;-3;0.75;9.75
+;11;45.75;Vogt Sandro (2004);;15;54.25;11;45.75;0;0.0;10.0

9c;Gerber Manuel;*;;;;;;;;;55.75
-;;;Räber Lukas;*;;;;;;;9.0
o;3;9.0;Roth Jan (2004);*;3;57.25;4;8.75;1;-0.25;8.5
+;9;17.5;Buchmann Moritz (2005);;21;35.5;6;18.5;-3;1.0;9.75
+;9;27.25;Dünner Tobias (2005);;20;35.75;9;27.25;0;0.0;10.0
o;6;37.25;Strebel Joel;***;5;56.75;6;37.25;0;0.0;8.5
+;11;45.75;Béguelin Elias (2006);;16;54.0;12;45.5;1;-0.25;10.0

9d;Büttler Gian;;;;;;;;;;55.75
+;;;Hasler Luis;;;;;;;;10.0
o;1;10.0;Beer Peter;*;4;57.0;4;8.75;3;-1.25;8.5
+;6;18.5;Meier Dario (2005);;21;35.5;6;18.5;0;0.0;9.75
o;5;28.25;Roth Jan (2004);*;3;57.25;8;27.5;3;-0.75;8.5
-;8;36.75;Hermann Oliver;**;8;56.0;7;37.0;-1;0.25;9.0
+;11;45.75;Mangold Martin;*;16;54.0;12;45.5;1;-0.25;10.0

9e;Schwegler Dominik;;;;;;;;;;55.75
+;;;Rohrbach Jérôme;;;;;;;;10.0
+;1;10.0;Imobersteg Matthias;**;20;35.75;5;8.5;4;-1.5;10.0
-;1;20.0;Henzer Andreas;**;18;53.5;6;18.5;5;-1.5;8.75
o;3;28.75;Voggensperger Lars;*;3;57.25;7;27.75;4;-1.0;8.5
+;6;37.25;Regenass Beat;;16;54.0;7;37.0;1;-0.25;10.0
o;5;47.25;Odermatt Jonas (2004);;3;57.25;5;47.25;0;0.0;8.5

9f;Vieira Tiago;**;;;;;;;;;55.75
o;;;Odermatt Adrian;**;;;;;;;8.5
-;5;8.5;Schmid Samuel;**;12;55.0;4;8.75;-1;0.25;9.0
+;9;17.5;Regenass Beat;;16;54.0;6;18.5;-3;1.0;9.75
+;9;27.25;Wenger Marcel;*;15;54.25;8;27.5;-1;0.25;10.0
+;6;37.25;Antenen Remo (2004);;16;54.0;7;37.0;1;-0.25;10.0
o;5;47.25;Döbeli Andreas;***;3;57.25;4;47.5;-1;0.25;8.5

9g;Dobler Florian;;;;;;;;;;55.75
+;;;Stalder Jonas;;;;;;;;10.0
o;1;10.0;Lüscher Sinisha (2006);*;10;55.5;4;8.75;3;-1.25;8.5
-;6;18.5;Dünner Tobias (2005);;20;35.75;6;18.5;0;0.0;8.75
+;9;27.25;Buchmann Moritz (2005);;21;35.5;10;27.0;1;-0.25;10.0
o;6;37.25;Stüdeli Thomas;**;8;56.0;5;37.5;-1;0.25;8.5
+;11;45.75;Probst Gabriel;**;15;54.25;11;45.75;0;0.0;10.0

9h;Stoll Simon;**;;;;;;;;;55.75
+;;;Bucher Thomas;*;;;;;;;10.0
o;1;10.0;Alpiger Nick;***;1;58.5;4;8.75;3;-1.25;8.5
-;6;18.5;Odermatt Jonas (2004);;3;57.25;2;19.75;-4;1.25;8.75
+;9;27.25;Räber Lukas;*;9;55.75;8;27.5;-1;0.25;10.0
+;6;37.25;Fricker Ivo;;15;54.25;7;37.0;1;-0.25;9.75
-;6;47.0;Joho Philip;*;12;55.0;9;46.25;3;-0.75;8.75

10a;Lüscher Sinisha (2006);*;;;;;;;;;55.5
-;;;Roth Jan (2004);*;;;;;;;8.75
+;4;8.75;Dobler Florian;;9;55.75;1;10.0;-3;1.25;10.0
o;5;18.75;Hügli Kaj;**;5;56.75;6;18.5;1;-0.25;8.5
+;9;27.25;Nussbaumer Gabriel;;20;35.75;9;27.25;0;0.0;9.75
+;7;37.0;Hasler Luis;;11;55.25;8;36.75;1;-0.25;10.0
o;6;47.0;Bucher Roland;*;6;56.5;7;46.75;1;-0.25;8.5

10b;Rohrbach Jérôme;;;;;;;;;;55.5
o;;;Schwegler Dominik;;;;;;;;8.5
+;5;8.5;Loosli Adrian;;22;35.25;5;8.5;0;0.0;10.0
-;6;18.5;Leuthard Reto;**;10;55.5;10;17.25;4;-1.25;8.75
+;9;27.25;Strebel Dominic (2005);;21;35.5;10;27.0;1;-0.25;10.0
o;6;37.25;Beer Peter;*;4;57.0;6;37.25;0;0.0;8.5
+;11;45.75;Mangold Martin;*;16;54.0;12;45.5;1;-0.25;9.75

10c;Leuthard Reto;**;;;;;;;;;55.5
-;;;Voggensperger Lars;*;;;;;;;8.75
o;4;8.75;Mangold Michael;**;4;57.0;1;10.0;-3;1.25;8.5
-;10;17.25;Rohrbach Jérôme;;10;55.5;6;18.5;-4;1.25;8.75
+;14;26.0;Büttler Adrian;;20;35.75;9;27.25;-5;1.25;10.0
+;11;36.0;Meier Urs;;13;54.75;10;36.25;-1;0.25;9.75
+;11;45.75;Erb Roger;**;14;54.5;10;46.0;-1;0.25;9.75

11a;Studer Remo;*;;;;;;;;;55.25
-;;;Wenger Marcel;*;;;;;;;8.75
+;4;8.75;Meier Dario (2005);;21;35.5;1;10.0;-3;1.25;9.75
+;6;18.5;Rickenbacher Remo (2006);;20;35.75;6;18.5;0;0.0;10.0
o;4;28.5;Döbeli Andreas;***;3;57.25;8;27.5;4;-1.0;8.5
o;7;37.0;Betschart Marcel;*;6;56.5;7;37.0;0;0.0;8.5
+;12;45.5;Böni Ralf (2004);;16;54.0;12;45.5;0;0.0;9.75

11b;Reinhard Pirmin;;;;;;;;;;55.25
+;;;Steger Robert;;;;;;;;9.75
o;2;9.75;Erb Roger;**;14;54.5;5;8.5;3;-1.25;8.5
+;7;18.25;Huser Roman;;21;35.5;7;18.25;0;0.0;10.0
-;5;28.25;Henzer Andreas;**;18;53.5;9;27.25;4;-1.0;8.75
o;7;37.0;Odermatt Adrian;**;4;57.0;7;37.0;0;0.0;8.5
+;12;45.5;Antenen Remo (2004);;16;54.0;12;45.5;0;0.0;9.75

11c;Suter Jonas;;;;;;;;;;55.25
+;;;Béguelin Elias (2006);;;;;;;;9.75
o;2;9.75;Gerber Andrj;*;14;54.5;4;8.75;2;-1.0;8.5
+;7;18.25;Wohlgemuth Corsin;;17;53.75;7;18.25;0;0.0;10.0
o;5;28.25;Schmutz Adrian;*;15;54.25;9;27.25;4;-1.0;8.75
o;7;37.0;Bieli Andreas;;7;56.25;5;37.5;-2;0.5;8.5
+;12;45.5;Bachmann Sämi;;19;53.25;15;44.75;3;-0.75;9.75

11d;Hasler Luis;;;;;;;;;;55.25
o;;;Büttler Gian;;;;;;;;8.5
+;5;8.5;Gisin Yanic;;21;35.5;5;8.5;0;0.0;10.0
+;6;18.5;Ris Jörn;*;16;54.0;6;18.5;0;0.0;9.75
o;5;28.25;Gerber Andrj;*;14;54.5;9;27.25;4;-1.0;8.5
o;8;36.75;Lüscher Sinisha (2006);*;10;55.5;7;37.0;-1;0.25;8.5
+;13;45.25;Wohlgemuth Corsin;;17;53.75;13;45.25;0;0.0;10.0

11e;Anderegg David;*;;;;;;;;;55.25
+;;;Imobersteg Matthias;**;;;;;;;10.0
o;1;10.0;Bucher Christian;**;3;57.25;5;8.5;4;-1.5;8.5
+;6;18.5;Hengartner Jonas (2005);;19;53.25;5;18.75;-1;0.25;10.0
+;4;28.5;Bader Fabian;**;5;56.75;4;28.5;0;0.0;9.75
o;3;38.25;Räbmatter Patrick;***;4;57.0;3;38.25;0;0.0;8.5
o;7;46.75;Voggensperger Lars;*;3;57.25;5;47.25;-2;0.5;8.5

12a;Kirchmeier Christof;;;;;;;;;;55.0
o;;;Huser Roman;;;;;;;;8.5
+;5;8.5;Christ Marino (2005);;30;17.0;5;8.5;0;0.0;10.0
o;6;18.5;Wenger Marcel;*;15;54.25;8;17.75;2;-0.75;8.5
+;10;27.0;Rickenbacher Remo (2006);;20;35.75;10;27.0;0;0.0;9.75
o;8;36.75;Odermatt Jonas (2004);;3;57.25;6;37.25;-2;0.5;8.5
+;13;45.25;Schaub Reto;;17;53.75;13;45.25;0;0.0;9.75

12b;Joho Pascal (2004);;;;;;;;;;55.0
+;;;Nussbaumer Gabriel;;;;;;;;9.75
-;2;9.75;Wenger Marcel;*;15;54.25;4;8.75;2;-1.0;9.0
-;5;18.75;Gerber Andrj;*;14;54.5;6;18.5;1;-0.25;8.75
-;8;27.5;Vogt Sandro (2004);;15;54.25;5;28.25;-3;0.75;9.0
+;9;36.5;Schaub Reto;;17;53.75;8;36.75;-1;0.25;10.0
o;8;46.5;Bucher Christian;**;3;57.25;5;47.25;-3;0.75;8.5

12c;Joho Philip;*;;;;;;;;;55.0
+;;;Betschart Marcel;*;;;;;;;10.0
-;1;10.0;Hermann Oliver;**;8;56.0;2;9.75;1;-0.25;8.75
+;5;18.75;Roth Leon (2006);;20;35.75;5;18.75;0;0.0;10.0
o;3;28.75;Kropf Marcel;**;3;57.25;4;28.5;1;-0.25;8.75
-;5;37.5;Gerber Andrj;*;14;54.5;6;37.25;1;-0.25;8.75
-;9;46.25;Stoll Simon;**;9;55.75;6;47.0;-3;0.75;8.75

12d;Stocker Niklas (2005);;;;;;;;;;55.0
+;;;Büttler Adrian;;;;;;;;9.75
o;2;9.75;Räber Lukas;*;9;55.75;3;9.0;1;-0.75;8.5
+;7;18.25;Antenen Remo (2004);;16;54.0;6;18.5;-1;0.25;9.75
o;6;28.0;Probst Gabriel;**;15;54.25;9;27.25;3;-0.75;8.5
o;9;36.5;Bader Fabian;**;5;56.75;7;37.0;-2;0.5;8.5
+;14;45.0;Widmer Dino;;16;54.0;12;45.5;-2;0.5;10.0

12e;Schmid Samuel;**;;;;;;;;;55.0
-;;;Gerber Andrj;*;;;;;;;8.75
-;4;8.75;Vieira Tiago;**;9;55.75;5;8.5;1;-0.25;9.0
-;8;17.75;Bachmann Sämi;;19;53.25;6;18.5;-2;0.75;9.0
+;11;26.75;Meier Urs;;13;54.75;8;27.5;-3;0.75;9.75
+;9;36.5;Voggensperger Til (2004);;17;53.75;10;36.25;1;-0.25;10.0
o;8;46.5;Strebel Joel;***;5;56.75;6;47.0;-2;0.5;8.5

13a;Graf Gian;;;;;;;;;;54.75
-;;;Bieli Andreas;;;;;;;;8.75
+;4;8.75;Halbeisen Florian (2005);;26;34.25;5;8.5;1;-0.25;10.0
-;5;18.75;Probst Gabriel;**;15;54.25;7;18.25;2;-0.5;8.75
o;8;27.5;Stegmüller Klemens;*;8;56.0;8;27.5;0;0.0;8.5
-;11;36.0;Bachmann Sämi;;19;53.25;11;36.0;0;0.0;8.75
+;15;44.75;Hengartner Jonas (2005);;19;53.25;15;44.75;0;0.0;10.0

13b;Burren Dominik;;;;;;;;;;54.75
o;;;Odermatt Jonas (2004);;;;;;;;8.25
+;6;8.25;Jüngling Pascal (2006);;22;35.25;5;8.5;-1;0.25;10.0
+;7;18.25;Imobersteg Matthias;**;20;35.75;11;17.0;4;-1.25;9.75
o;6;28.0;Stüdeli Thomas;**;8;56.0;8;27.5;2;-0.5;8.5
+;9;36.5;Aerni Lars;;17;53.75;10;36.25;1;-0.25;9.75
o;9;46.25;Frank Marius (2004);*;6;56.5;8;46.5;-1;0.25;8.5

13c;Meier Urs;;;;;;;;;;54.75
-;;;Bachmann Sämi;;;;;;;;8.75
-;4;8.75;Graber Colin;;17;53.75;4;8.75;0;0.0;8.75
+;9;17.5;Abt Robin;;23;35.0;9;17.5;0;0.0;10.0
o;8;27.5;Schmid Samuel;**;12;55.0;11;26.75;3;-0.75;8.75
o;10;36.25;Leuthard Reto;**;10;55.5;11;36.0;1;-0.25;8.5
+;15;44.75;Jehle Aaron (2005);;18;53.5;14;45.0;-1;0.25;10.0

14a;Erb Roger;**;;;;;;;;;54.5
o;;;Döbeli Lukas;**;;;;;;;8.5
+;5;8.5;Reinhard Pirmin;;11;55.25;2;9.75;-3;1.25;9.75
-;7;18.25;Räber Lukas;*;9;55.75;5;18.75;-2;0.5;9.0
-;9;27.25;Bucher Roland;*;6;56.5;6;28.0;-3;0.75;8.75
+;11;36.0;Vogt Marco;;17;53.75;10;36.25;-1;0.25;10.0
o;10;46.0;Leuthard Reto;**;10;55.5;11;45.75;1;-0.25;8.5

14b;Kohler Adrian;*;;;;;;;;;54.5
-;;;Stadler Kevin;*;;;;;;;8.75
-;4;8.75;Aerni Lars;;17;53.75;2;9.75;-2;1.0;8.75
+;9;17.5;Buob Mike (2005);;25;34.5;9;17.5;0;0.0;10.0
o;8;27.5;Döbeli Lukas;**;5;56.75;9;27.25;1;-0.25;8.5
+;11;36.0;Jehle Aaron (2005);;18;53.5;9;36.5;-2;0.5;10.0
o;10;46.0;Roschi Ruedi;**;7;56.25;8;46.5;-2;0.5;8.5

14c;Bucher Thomas;*;;;;;;;;;54.5
o;;;Stoll Simon;**;;;;;;;8.5
