2952-2018-08-19_19_Schwaegalp-Schwinget-ST

1a;Giger Samuel;***;;;;;;;;;58.75
-;;;Wicki Joel;**;;;;;;;9.0
+;3;9.0;Röthlisberger Simon;**;29;27.0;1;10.0;-2;1.0;9.75
+;5;18.75;von Ah Benji;***;9;55.5;2;19.75;-3;1.0;10.0
+;3;28.75;Gerber Christian;**;2;57.5;1;30.0;-2;1.25;10.0
+;1;38.75;Stucki Christian;***;4;57.0;2;38.5;1;-0.25;10.0
+;1;48.75;Bösch Daniel;***;5;56.75;2;48.0;1;-0.75;10.0

2a;Wicki Joel;**;;;;;;;;;57.5
-;;;Giger Samuel;***;;;;;;;9.0
+;3;9.0;Rhyner Michael;**;10;55.25;1;10.0;-2;1.0;10.0
+;4;19.0;Luginbühl Hanspeter;**;10;55.25;3;19.5;-1;0.5;9.75
+;3;28.75;Krähenbühl Tobias;***;9;55.5;5;28.25;2;-0.5;9.75
-;2;38.5;Wenger Kilian;***;4;57.0;4;38.0;2;-0.5;9.0
+;3;47.5;Steffen Gustav;**;11;55.0;7;46.5;4;-1.0;10.0

2b;Gerber Christian;**;;;;;;;;;57.5
+;;;Schnurrenberger Roman;**;;;;;;;10.0
+;1;10.0;Koch Reto;*;11;55.0;2;9.75;1;-0.25;10.0
+;1;20.0;Zwyssig Raphael;***;20;44.75;5;18.75;4;-1.25;10.0
o;1;30.0;Giger Samuel;***;1;58.75;3;28.75;2;-1.25;8.5
-;2;38.5;Schuler Christian;***;3;57.25;3;38.25;1;-0.25;9.0
+;3;47.5;Koch Thomas;*;10;55.25;6;46.75;3;-0.75;10.0

3a;Schneider Domenic;***;;;;;;;;;57.25
+;;;Schenk Patrick;***;;;;;;;9.75
o;2;9.75;Schuler Christian;***;3;57.25;1;10.0;-1;0.25;8.5
+;7;18.25;Battaglia Ursin;**;14;54.25;6;18.5;-1;0.25;9.75
+;6;28.0;Koch Thomas;*;10;55.25;4;28.5;-2;0.5;9.75
+;5;37.75;Bernhard Lukas;*;10;55.25;3;38.25;-2;0.5;9.75
+;3;47.5;Kennel Stefan;**;10;55.25;6;46.75;3;-0.75;9.75

3b;Schuler Christian;***;;;;;;;;;57.25
+;;;Aeschbacher Matthias;**;;;;;;;10.0
+;1;10.0;Schneider Domenic;***;3;57.25;2;9.75;1;-0.25;10.0
