4396-2019-07-07_Appenzeller_Kantonalschwingfest-ST

1a;Bless Michael;***;;;;;;;;;58.5
o;5;28.0;Notz Beni;***;11;55.25;9;27.0;4;-1.0;8.5
+;10;36.5;Ruppanner Philipp;;14;54.5;12;36.0;2;-0.5;10.0
-;8;46.5;Marty Jaime;*;8;56.0;6;47.0;-2;0.5;8.75

11h;Inauen Marco;;;;;;;;;;55.25
+;;;Räss Lukas (2003);;;;;;;;10.0
o;1;10.0;Leuppi Karim;*;13;54.75;5;8.5;4;-1.5;8.5
o;4;18.5;Ammann Rico;*;12;55.0;5;18.25;1;-0.25;8.5
+;9;27.0;Stauffacher Martin;;24;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Hugelshofer Lars (2001);*;6;56.5;9;36.75;0;0.0;8.5
+;13;45.25;Sonderegger Max (2002);;20;53.0;16;44.5;3;-0.75;10.0

11i;Rütsche Stefan;*;;;;;;;;;55.25
o;;;Keller Werner;*;;;;;;;8.5
+;5;8.5;Signer Walter;;16;54.0;2;9.75;-3;1.25;10.0
o;4;18.5;Schmid Patrick;*;5;56.75;5;18.25;1;-0.25;8.5
+;9;27.0;Schiess Daniel (2002);;16;54.0;9;27.0;0;0.0;10.0
o;8;37.0;Giger Urs;*;4;57.0;7;37.25;-1;0.25;8.5
+;12;45.5;Lanter Christian;*;15;54.25;12;45.5;0;0.0;9.75

12a;Schlegel Werner (2002);**;;;;;;;;;55.0
-;;;Gartmann Mauro;**;;;;;;;8.75
+;4;8.75;Dörig Erich;*;10;55.5;2;9.75;-2;1.0;9.75
-;4;18.5;Steiner Michael;**;10;55.5;3;18.75;-1;0.25;9.0
-;7;27.5;Marty Jaime;*;8;56.0;4;28.25;-3;0.75;8.75
+;11;36.25;Koller Fabian;*;11;55.25;9;36.75;-2;0.5;10.0
o;9;46.25;Oettli Silvio;*;7;56.25;9;46.25;0;0.0;8.75

12b;Aerne Christian;*;;;;;;;;;55.0
o;;;Giger Urs;*;;;;;;;8.5
+;5;8.5;Thoma Luca;;10;55.5;1;10.0;-4;1.5;9.75
+;5;18.25;Knellwolf Sebastian (2001);;24;35.5;4;18.5;-1;0.25;9.75
o;5;28.0;Kuster Thomas;*;6;56.5;4;28.25;-1;0.25;8.5
o;10;36.5;Gartmann Mauro;**;16;54.0;13;35.75;3;-0.75;8.75
+;13;45.25;Rotach Lars;*;16;54.0;12;45.5;-1;0.25;9.75

12c;Kuhn Roman;*;;;;;;;;;55.0
o;;;Jörger Marc;*;;;;;;;8.5
+;5;8.5;Fässler Michael;;17;53.75;2;9.75;-3;1.25;9.75
o;5;18.25;Bühler Hannes;*;15;54.25;9;17.25;4;-1.0;8.5
+;10;26.75;Knup Stephan;;24;35.5;9;27.0;-1;0.25;9.75
o;10;36.5;Kammermann Thomas;*;10;55.5;9;36.75;-1;0.25;8.5
+;14;45.0;Mösli Marcel;;19;53.25;15;44.75;1;-0.25;10.0

12d;Riget Florian;*;;;;;;;;;55.0
+;;;Oertle Daniel;*;;;;;;;9.75
o;2;9.75;Kindlimann Fabian;***;7;56.25;4;8.75;2;-1.0;8.5
+;5;18.25;Salnajs Leo;;13;54.75;4;18.5;-1;0.25;9.75
-;5;28.0;Gartmann Mauro;**;16;54.0;9;27.0;4;-1.0;8.75
+;9;36.75;Keller Lukas;;16;54.0;9;36.75;0;0.0;9.75
o;8;46.5;Giger Urs;*;4;57.0;5;47.25;-3;0.75;8.5

12e;Brülisauer Dominik (2001);;;;;;;;;;55.0
-;;;Stauffacher Martin;;;;;;;;9.0
-;3;9.0;Bischof Martin;;18;53.5;5;8.5;2;-0.5;8.75
+;7;17.75;Brand Andreas (2003);;28;34.0;10;17.0;3;-0.75;9.75
-;7;27.5;Leuppi Karim;*;13;54.75;9;27.0;2;-0.5;9.0
+;10;36.5;Bosshard Dario;;22;45.0;10;36.5;0;0.0;10.0
o;8;46.5;Kuster Thomas;*;6;56.5;8;46.5;0;0.0;8.5

12f;Büchler Livio (2001);;;;;;;;;;55.0
o;;;Niederer Andreas (2002);;;;;;;;8.5
+;5;8.5;Plüer Fabian (2003);;23;44.25;4;8.75;-1;0.25;9.75
o;5;18.25;Castelli Fabio;;15;54.25;9;17.25;4;-1.0;8.5
+;10;26.75;Bernhard Thomas (2002);;25;35.25;10;26.75;0;0.0;9.75
+;10;36.5;Kirchmeier Christof;;13;54.75;10;36.5;0;0.0;10.0
o;8;46.5;Wickli Beat;**;6;56.5;8;46.5;0;0.0;8.5

12g;Bickel Roman;*;;;;;;;;;55.0
+;;;Schläpfer Matthias;*;;;;;;;9.75
o;2;9.75;Kuster Marcel;***;5;56.75;4;8.75;2;-1.0;8.5
+;5;18.25;Signer Patrick;;17;53.75;4;18.5;-1;0.25;10.0
o;4;28.25;Schmid Patrick;*;5;56.75;4;28.25;0;0.0;8.5
+;9;36.75;Langenegger Beat;;10;55.5;8;37.0;-1;0.25;9.75
o;8;46.5;Wittenwiler Roman;*;5;56.75;6;47.0;-2;0.5;8.5

12h;Ammann Rico;*;;;;;;;;;55.0
+;;;Schmid Patrick;*;;;;;;;9.75
o;2;9.75;Zwyssig Raphael;***;5;56.75;3;9.0;1;-0.75;8.5
+;5;18.25;Inauen Marco;;11;55.25;4;18.5;-1;0.25;10.0
o;4;28.25;Oertig Dominik;**;10;55.5;7;27.5;3;-0.75;8.5
+;9;36.75;Tanner Adrian;;17;53.75;10;36.5;1;-0.25;9.75
o;8;46.5;Koch Thomas;*;5;56.75;7;46.75;-1;0.25;8.5

12i;Fausch Kjetil;*;;;;;;;;;55.0
o;;;Koch Reto;*;;;;;;;8.5
+;5;8.5;Knellwolf Sebastian (2001);;24;35.5;1;10.0;-4;1.5;10.0
+;4;18.5;Schäppi Urs;*;11;55.25;4;18.5;0;0.0;9.75
o;4;28.25;Koch Thomas;*;5;56.75;3;28.5;-1;0.25;8.5
+;9;36.75;Fässler Michael;;17;53.75;10;36.5;1;-0.25;9.75
o;8;46.5;Zwyssig Raphael;***;5;56.75;7;46.75;-1;0.25;8.5

13a;Kirchmeier Christof;;;;;;;;;;54.75
+;;;Mösli Reto;;;;;;;;9.75
o;2;9.75;Oertle Daniel;*;9;55.75;5;8.5;3;-1.25;8.5
+;5;18.25;Schoch Cornel;;24;35.5;5;18.25;0;0.0;9.75
o;5;28.0;Oettli Silvio;*;7;56.25;7;27.5;2;-0.5;8.5
o;10;36.5;Büchler Livio (2001);;12;55.0;10;36.5;0;0.0;8.5
+;14;45.0;Ackermann Rico (2003);;18;53.5;14;45.0;0;0.0;9.75

13b;Kiser Aron (2001);;;;;;;;;;54.75
+;;;Signer Ramon (2002);;;;;;;;10.0
-;1;10.0;Inauen Andreas;*;10;55.5;4;8.75;3;-1.25;8.75
+;3;18.75;Oertle Daniel;*;9;55.75;4;18.5;1;-0.25;9.75
o;3;28.5;Bernold Christian;**;8;56.0;7;27.5;4;-1.0;8.5
-;8;37.0;Inauen Aurel;;9;55.75;8;37.0;0;0.0;8.75
-;11;45.75;Salnajs Leo;;13;54.75;11;45.75;0;0.0;9.0

13c;Niederer Andreas (2002);;;;;;;;;;54.75
+;;;Büchler Livio (2001);;;;;;;;10.0
o;1;10.0;Wey Nicola;*;11;55.25;5;8.5;4;-1.5;8.5
o;4;18.5;Hugelshofer Lars (2001);*;6;56.5;4;18.5;0;0.0;8.5
+;9;27.0;Knellwolf Sebastian (2001);;24;35.5;9;27.0;0;0.0;10.0
-;8;37.0;Schläpfer Matthias;*;9;55.75;8;37.0;0;0.0;8.75
-;11;45.75;Funk Nicola;*;14;54.5;12;45.5;1;-0.25;9.0

13d;Leuppi Karim;*;;;;;;;;;54.75
o;;;Poltera Andrin;*;;;;;;;8.5
+;5;8.5;Inauen Marco;;11;55.25;1;10.0;-4;1.5;10.0
o;4;18.5;Marty Jaime;*;8;56.0;4;18.5;0;0.0;8.5
-;9;27.0;Brülisauer Dominik (2001);;12;55.0;7;27.5;-2;0.5;9.0
+;12;36.0;Sonderegger Max (2002);;20;53.0;12;36.0;0;0.0;10.0
o;10;46.0;Neff Florian;*;8;56.0;9;46.25;-1;0.25;8.75

13e;Bollhalder Manuel (2001);*;;;;;;;;;54.75
-;;;Keller Manuel;*;;;;;;;8.75
+;4;8.75;Streule Marco;;24;35.5;1;10.0;-3;1.25;10.0
o;3;18.75;Kuster Marcel;***;5;56.75;3;18.75;0;0.0;8.75
+;7;27.5;Tanner Adrian;;17;53.75;5;28.0;-2;0.5;9.75
-;7;37.25;Neff Florian;*;8;56.0;7;37.25;0;0.0;9.0
o;9;46.25;Oettli Marco;**;10;55.5;12;45.5;3;-0.75;8.5

13f;Salnajs Leo;;;;;;;;;;54.75
+;;;Wehrli Jan (2002);;;;;;;;10.0
o;1;10.0;Koller Fabian;*;11;55.25;5;8.5;4;-1.5;8.5
o;4;18.5;Riget Florian;*;12;55.0;5;18.25;1;-0.25;8.75
+;8;27.25;Koller Andreas;;24;35.5;9;27.0;1;-0.25;10.0
o;7;37.25;Jörger Marc;*;4;57.0;8;37.0;1;-0.25;8.5
-;11;45.75;Kiser Aron (2001);;13;54.75;11;45.75;0;0.0;9.0

13g;Bärtsch Fabian;*;;;;;;;;;54.75
-;;;Schäppi Urs;*;;;;;;;8.75
+;4;8.75;Dobler Lorenz;;15;54.25;2;9.75;-2;1.0;10.0
o;3;18.75;Dändliker Shane;**;5;56.75;4;18.5;1;-0.25;8.75
+;7;27.5;Hollenstein Mathias (2002);;24;35.5;9;27.0;2;-0.5;10.0
o;6;37.5;Kindlimann Fabian;***;7;56.25;6;37.5;0;0.0;8.5
-;10;46.0;Bühler Hannes;*;15;54.25;12;45.5;2;-0.5;8.75

14a;Ackermann Roman;;;;;;;;;;54.5
+;;;Inauen Severin (2002);;;;;;;;10.0
o;1;10.0;Blaser Niklas;*;16;54.0;5;8.5;4;-1.5;8.5
o;4;18.5;Koller Fabian;*;11;55.25;5;18.25;1;-0.25;8.5
-;9;27.0;Schrepfer Roy;;14;54.5;8;27.25;-1;0.25;8.75
+;13;35.75;Tanner Markus (2002);;21;52.75;13;35.75;0;0.0;10.0
-;11;45.75;Dobler Lorenz;;15;54.25;12;45.5;1;-0.25;8.75

14b;Ruppanner Philipp;;;;;;;;;;54.5
+;;;Koch Robin (2002);;;;;;;;10.0
o;1;10.0;Ott Damian;**;8;56.0;5;8.5;4;-1.5;8.5
o;4;18.5;Wehrli Jan (2002);;16;54.0;9;17.25;5;-1.25;8.5
-;9;27.0;Ackermann Rico (2003);;18;53.5;9;27.0;0;0.0;9.0
o;12;36.0;Breitenmoser Manuel;*;11;55.25;10;36.5;-2;0.5;8.5
+;16;44.5;Schiess Daniel (2002);;16;54.0;12;45.5;-4;1.0;10.0

14c;Roth Peter;;;;;;;;;;54.5
+;;;Willi Romeo;;;;;;;;10.0
-;1;10.0;Neff Florian;*;8;56.0;4;8.75;3;-1.25;8.75
o;3;18.75;Koch Reto;*;3;57.25;3;18.75;0;0.0;8.5
+;8;27.25;Tschudi Mario (2001);;19;53.25;8;27.25;0;0.0;10.0
o;7;37.25;Roth Martin;**;2;57.5;5;37.75;-2;0.5;8.5
-;11;45.75;Blaser Niklas;*;16;54.0;13;45.25;2;-0.5;8.75

14d;Funk Nicola;*;;;;;;;;;54.5
o;;;Wittenwiler Roman;*;;;;;;;8.5
+;5;8.5;Nüesch Remo (2001);;17;53.75;2;9.75;-3;1.25;10.0
-;4;18.5;Ott Damian;**;8;56.0;4;18.5;0;0.0;8.75
+;8;27.25;Dudli Gallus;;24;35.5;9;27.0;1;-0.25;9.75
o;8;37.0;Forrer Arnold;***;9;55.75;7;37.25;-1;0.25;8.5
-;12;45.5;Niederer Andreas (2002);;13;54.75;11;45.75;-1;0.25;9.0

14e;Schrepfer Roy;;;;;;;;;;54.5
+;;;Junker Nik;;;;;;;;10.0
o;1;10.0;Schäppi Urs;*;11;55.25;4;8.75;3;-1.25;8.5
-;4;18.5;Nock Benjamin (2001);*;15;54.25;4;18.5;0;0.0;8.75
-;8;27.25;Ackermann Roman;;14;54.5;9;27.0;1;-0.25;8.75
+;12;36.0;Nüesch Remo (2001);;17;53.75;10;36.5;-2;0.5;9.75
o;11;45.75;Thoma Luca;;10;55.5;12;45.5;1;-0.25;8.75

14f;Schmid Reto;;;;;;;;;;54.5
+;;;Hollenstein Mathias (2002);;;;;;;;10.0
-;1;10.0;Heierli Pascal;*;11;55.25;5;8.5;4;-1.5;9.0
o;2;19.0;Schlegel Sandro;**;7;56.25;8;17.5;6;-1.5;8.5
+;7;27.5;Rhyner Beni;;24;35.5;9;27.0;2;-0.5;9.75
o;7;37.25;Bernold Michael;*;9;55.75;8;37.0;1;-0.25;8.5
-;11;45.75;Naef Sandro;;16;54.0;13;45.25;2;-0.5;8.75

14g;Keller Andreas;*;;;;;;;;;54.5
-;;;Vestner Bruno;*;;;;;;;8.75
+;4;8.75;Signer Patrick;;17;53.75;1;10.0;-3;1.25;10.0
o;3;18.75;Schläpfer Matthias;*;9;55.75;4;18.5;1;-0.25;8.5
-;8;27.25;Götti Samuel;;16;54.0;5;28.0;-3;0.75;8.75
o;12;36.0;Inauen Andreas;*;10;55.5;12;36.0;0;0.0;8.5
+;16;44.5;Dobler Mathias;;20;53.0;16;44.5;0;0.0;10.0

15a;Keller Manuel;*;;;;;;;;;54.25
-;;;Bollhalder Manuel (2001);*;;;;;;;8.75
-;4;8.75;Inauen Aurel;;9;55.75;1;10.0;-3;1.25;8.75
+;8;17.5;Willi Renato;;24;35.5;4;18.5;-4;1.0;10.0
o;7;27.5;Schlegel Sandro;**;7;56.25;7;27.5;0;0.0;8.5
o;12;36.0;Wey Nicola;*;11;55.25;9;36.75;-3;0.75;8.5
+;16;44.5;Tschudi Mario (2001);;19;53.25;15;44.75;-1;0.25;9.75

15b;Fuster Arjuna (2003);;;;;;;;;;54.25
+;;;Zeller Kevin (2003);;;;;;;;10.0
o;1;10.0;Vestner Bruno;*;11;55.25;4;8.75;3;-1.25;8.5
o;4;18.5;Dörig Erich;*;10;55.5;5;18.25;1;-0.25;8.5
-;9;27.0;Schoch Cornel;;24;35.5;10;26.75;1;-0.25;8.75
+;13;35.75;Dobler Mathias;;20;53.0;12;36.0;-1;0.25;9.75
-;12;45.5;Manser Adrian;;16;54.0;13;45.25;1;-0.25;8.75

15c;Laager Michael (2001);;;;;;;;;;54.25
o;;;Götti Samuel;;;;;;;;8.5
o;5;8.5;Keller Lukas;;16;54.0;4;8.75;-1;0.25;8.5
-;10;17.0;Schmid Michael;;26;35.0;9;17.25;-1;0.25;9.0
+;12;26.0;Koch Robin (2002);;28;34.0;14;25.5;2;-0.5;10.0
+;12;36.0;Signer Ramon (2002);;18;53.5;10;36.5;-2;0.5;9.75
o;11;45.75;Koller Fabian;*;11;55.25;13;45.25;2;-0.5;8.5

15d;Castelli Fabio;;;;;;;;;;54.25
-;;;Schmid Michael;;;;;;;;8.75
o;4;8.75;Junker Nik;;24;35.5;4;8.75;0;0.0;8.5
+;9;17.25;Büchler Livio (2001);;12;55.0;5;18.25;-4;1.0;10.0
o;8;27.25;Rotach Lars;*;16;54.0;9;27.0;1;-0.25;8.5
+;13;35.75;Peter Philipp (2002);;20;53.0;13;35.75;0;0.0;10.0
o;11;45.75;Inauen Aurel;;9;55.75;11;45.75;0;0.0;8.5

15e;Brügger Stefan;*;;;;;;;;;54.25
-;;;Inauen Andreas;*;;;;;;;8.75
+;4;8.75;Tanner Adrian;;17;53.75;2;9.75;-2;1.0;10.0
o;3;18.75;Zwyssig Raphael;***;5;56.75;2;19.0;-1;0.25;8.5
+;8;27.25;Nüesch Remo (2001);;17;53.75;5;28.0;-3;0.75;10.0
o;7;37.25;Koch Reto;*;3;57.25;6;37.5;-1;0.25;8.5
o;11;45.75;Ott Damian;**;8;56.0;10;46.0;-1;0.25;8.5

15f;Nock Benjamin (2001);*;;;;;;;;;54.25
-;;;Neff Florian;*;;;;;;;8.75
+;4;8.75;Langenegger Beat;;10;55.5;1;10.0;-3;1.25;9.75
-;4;18.5;Schrepfer Roy;;14;54.5;4;18.5;0;0.0;8.75
+;8;27.25;Dobler Lorenz;;15;54.25;8;27.25;0;0.0;9.75
o;8;37.0;Notz Beni;***;11;55.25;9;36.75;1;-0.25;8.5
-;12;45.5;Keller Lukas;;16;54.0;13;45.25;1;-0.25;8.75

15g;Lanter Christian;*;;;;;;;;;54.25
o;;;Bernold Michael;*;;;;;;;8.5
+;5;8.5;Manser Adrian;;16;54.0;5;8.5;0;0.0;10.0
o;4;18.5;Forrer Arnold;***;9;55.75;8;17.5;4;-1.0;8.5
+;9;27.0;Fässler Michael;;17;53.75;5;28.0;-4;1.0;10.0
o;8;37.0;Oertig Dominik;**;10;55.5;7;37.25;-1;0.25;8.5
o;12;45.5;Rütsche Stefan;*;11;55.25;12;45.5;0;0.0;8.75

15h;Dobler Lorenz;;;;;;;;;;54.25
+;;;Lüönd Remo (2003);;;;;;;;9.75
o;2;9.75;Bärtsch Fabian;*;13;54.75;4;8.75;2;-1.0;8.5
-;5;18.25;Tschudi Mario (2001);;19;53.25;5;18.25;0;0.0;9.0
o;8;27.25;Nock Benjamin (2001);*;15;54.25;8;27.25;0;0.0;8.5
+;13;35.75;Plüer Fabian (2003);;23;44.25;13;35.75;0;0.0;9.75
-;12;45.5;Ackermann Roman;;14;54.5;11;45.75;-1;0.25;8.75

15i;Bühler Hannes;*;;;;;;;;;54.25
-;;;Rüegg Fabian;*;;;;;;;8.75
o;4;8.75;Koch Thomas;*;5;56.75;1;10.0;-3;1.25;8.5
+;9;17.25;Kuhn Roman;*;12;55.0;5;18.25;-4;1.0;9.75
+;9;27.0;Bosshard Dario;;22;45.0;5;28.0;-4;1.0;9.75
-;9;36.75;Rotach Lars;*;16;54.0;9;36.75;0;0.0;8.75
-;12;45.5;Bärtsch Fabian;*;13;54.75;10;46.0;-2;0.5;8.75

16a;Götti Samuel;;;;;;;;;;54.0
+;;;Laager Michael (2001);;;;;;;;9.75
o;2;9.75;Gmür Pirmin;**;7;56.25;4;8.75;2;-1.0;8.5
+;5;18.25;Ackermann Rico (2003);;18;53.5;5;18.25;0;0.0;9.75
-;5;28.0;Keller Andreas;*;14;54.5;8;27.25;3;-0.75;8.75
o;9;36.75;Dörig Erich;*;10;55.5;7;37.25;-2;0.5;8.5
o;13;45.25;Inauen Andreas;*;10;55.5;11;45.75;-2;0.5;8.5
+;17;53.75;Tanner Adrian;;17;53.75;17;53.75;0;0.0;0.25

16b;Wehrli Jan (2002);;;;;;;;;;54.0
o;;;Salnajs Leo;;;;;;;;8.5
-;5;8.5;Bischof Martin;;18;53.5;5;8.5;0;0.0;8.75
+;9;17.25;Ruppanner Philipp;;14;54.5;4;18.5;-5;1.25;10.0
o;8;27.25;Wey Nicola;*;11;55.25;9;27.0;1;-0.25;8.5
+;13;35.75;Signer Patrick;;17;53.75;9;36.75;-4;1.0;9.75
o;12;45.5;Schläpfer Matthias;*;9;55.75;11;45.75;-1;0.25;8.5

16c;Signer Walter;;;;;;;;;;54.0
+;;;Peter Philipp (2002);;;;;;;;9.75
o;2;9.75;Rütsche Stefan;*;11;55.25;5;8.5;3;-1.25;8.5
-;5;18.25;Knup Stephan;;24;35.5;5;18.25;0;0.0;8.75
+;9;27.0;Zeller Kevin (2003);;25;35.25;10;26.75;1;-0.25;10.0
o;8;37.0;Steiner Michael;**;10;55.5;9;36.75;1;-0.25;8.5
o;12;45.5;Langenegger Beat;;10;55.5;12;45.5;0;0.0;8.5

16d;Manser Adrian;;;;;;;;;;54.0
o;;;Naef Sandro;;;;;;;;8.5
o;5;8.5;Lanter Christian;*;15;54.25;5;8.5;0;0.0;8.5
+;10;17.0;Zeller Kevin (2003);;25;35.25;5;18.25;-5;1.25;9.75
+;10;26.75;Lüönd Remo (2003);;24;35.5;10;26.75;0;0.0;9.75
-;10;36.5;Bischof Martin;;18;53.5;12;36.0;2;-0.5;8.75
-;13;45.25;Fuster Arjuna (2003);;15;54.25;12;45.5;-1;0.25;8.75

16e;Blaser Niklas;*;;;;;;;;;54.0
o;;;Thoma Christoph;;;;;;;;8.5
+;5;8.5;Ackermann Roman;;14;54.5;1;10.0;-4;1.5;9.75
+;5;18.25;Tobler Marco;;24;35.5;4;18.5;-1;0.25;10.0
o;4;28.25;Wittenwiler Roman;*;5;56.75;3;28.5;-1;0.25;8.5
o;9;36.75;Marty Jaime;*;8;56.0;8;37.0;-1;0.25;8.5
-;13;45.25;Roth Peter;;14;54.5;11;45.75;-2;0.5;8.75

16f;Schiess Daniel (2002);;;;;;;;;;54.0
+;;;Brand Andreas (2003);;;;;;;;10.0
o;1;10.0;Dändliker Shane;**;5;56.75;5;8.5;4;-1.5;8.5
o;4;18.5;Rütsche Stefan;*;11;55.25;4;18.5;0;0.0;8.5
+;9;27.0;Streule Marco;;24;35.5;9;27.0;0;0.0;10.0
o;8;37.0;Schneider Mario;**;4;57.0;7;37.25;-1;0.25;8.5
o;12;45.5;Ruppanner Philipp;;14;54.5;16;44.5;4;-1.0;8.5

16g;Rotach Lars;*;;;;;;;;;54.0
-;;;Marty Jaime;*;;;;;;;8.75
o;4;8.75;Schneider Mario;**;4;57.0;4;8.75;0;0.0;8.5
+;9;17.25;Willi Romeo;;25;35.25;5;18.25;-4;1.0;9.75
+;9;27.0;Castelli Fabio;;15;54.25;8;27.25;-1;0.25;9.75
-;9;36.75;Bühler Hannes;*;15;54.25;9;36.75;0;0.0;8.75
o;12;45.5;Aerne Christian;*;12;55.0;13;45.25;1;-0.25;8.5

16h;Keller Lukas;;;;;;;;;;54.0
-;;;Breitenmoser Simon;;;;;;;;8.75
+;4;8.75;Laager Michael (2001);;15;54.25;5;8.5;1;-0.25;9.75
o;4;18.5;Wickli Beat;**;6;56.5;4;18.5;0;0.0;8.5
+;9;27.0;Tobler Marco;;24;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Riget Florian;*;12;55.0;9;36.75;0;0.0;8.5
-;13;45.25;Nock Benjamin (2001);*;15;54.25;12;45.5;-1;0.25;8.75

16i;Gartmann Mauro;**;;;;;;;;;54.0
-;;;Schlegel Werner (2002);**;;;;;;;8.75
o;4;8.75;Bernold Michael;*;9;55.75;2;9.75;-2;1.0;8.5
+;9;17.25;Langenegger Beat;;10;55.5;4;18.5;-5;1.25;9.75
-;9;27.0;Riget Florian;*;12;55.0;5;28.0;-4;1.0;8.75
+;13;35.75;Aerne Christian;*;12;55.0;10;36.5;-3;0.75;9.75
o;12;45.5;Geisser Lars;**;9;55.75;11;45.75;-1;0.25;8.5

16j;Naef Sandro;;;;;;;;;;54.0
+;;;Manser Adrian;;;;;;;;9.75
+;2;9.75;Sonderegger Max (2002);;20;53.0;4;8.75;2;-1.0;10.0
o;1;19.75;Schläpfer Markus;**;2;57.5;3;18.75;2;-1.0;8.5
o;4;28.25;Poltera Andrin;*;3;57.25;3;28.5;-1;0.25;8.5
o;9;36.75;Mettler Valentin;*;10;55.5;8;37.0;-1;0.25;8.5
-;13;45.25;Schmid Reto;;14;54.5;11;45.75;-2;0.5;8.75

17a;Signer Patrick;;;;;;;;;;53.75
+;;;Bischof Martin;;;;;;;;10.0
o;1;10.0;Keller Andreas;*;14;54.5;4;8.75;3;-1.25;8.5
o;4;18.5;Bickel Roman;*;12;55.0;5;18.25;1;-0.25;8.5
+;9;27.0;Rust Emanuel;;24;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Wehrli Jan (2002);;16;54.0;13;35.75;4;-1.0;8.5
o;13;45.25;Heierli Pascal;*;11;55.25;13;45.25;0;0.0;8.5

17b;Tanner Adrian;;;;;;;;;;53.75
+;;;Furrer Damian;;;;;;;;9.75
o;2;9.75;Brügger Stefan;*;15;54.25;4;8.75;2;-1.0;8.5
+;5;18.25;Tanner Markus (2002);;21;52.75;9;17.25;4;-1.0;9.75
o;5;28.0;Bollhalder Manuel (2001);*;13;54.75;7;27.5;2;-0.5;8.5
o;10;36.5;Ammann Rico;*;12;55.0;9;36.75;-1;0.25;8.5
o;14;45.0;Götti Samuel;;16;54.0;13;45.25;-1;0.25;8.75

17c;Nüesch Remo (2001);;;;;;;;;;53.75
+;;;Bucher Roman (2003);;;;;;;;9.75
o;2;9.75;Funk Nicola;*;14;54.5;5;8.5;3;-1.25;8.5
+;5;18.25;Spörndli Cyril (2003);;25;35.25;5;18.25;0;0.0;9.75
o;5;28.0;Brügger Stefan;*;15;54.25;8;27.25;3;-0.75;8.5
o;10;36.5;Schrepfer Roy;;14;54.5;12;36.0;2;-0.5;8.5
-;14;45.0;Bischof Martin;;18;53.5;15;44.75;1;-0.25;8.75

17d;Fässler Michael;;;;;;;;;;53.75
+;;;Baumann Simon;;;;;;;;9.75
o;2;9.75;Kuhn Roman;*;12;55.0;5;8.5;3;-1.25;8.5
+;5;18.25;Lüönd Remo (2003);;24;35.5;5;18.25;0;0.0;9.75
o;5;28.0;Lanter Christian;*;15;54.25;9;27.0;4;-1.0;8.5
o;10;36.5;Fausch Kjetil;*;12;55.0;9;36.75;-1;0.25;8.5
-;14;45.0;Peter Philipp (2002);;20;53.0;17;44.25;3;-0.75;8.75

17e;Schegg Daniel;;;;;;;;;;53.75
+;;;Ackermann Rico (2003);;;;;;;;9.75
o;2;9.75;Steiner Michael;**;10;55.5;4;8.75;2;-1.0;8.5
o;5;18.25;Thoma Luca;;10;55.5;4;18.5;-1;0.25;8.75
+;9;27.0;Mösli Reto;;24;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Keller Werner;*;9;55.75;8;37.0;-1;0.25;8.5
o;13;45.25;Oertle Daniel;*;9;55.75;11;45.75;-2;0.5;8.5

18a;Ackermann Rico (2003);;;;;;;;;;53.5
o;;;Schegg Daniel;;;;;;;;8.5
+;5;8.5;Hollenstein Mathias (2002);;24;35.5;5;8.5;0;0.0;9.75
o;5;18.25;Götti Samuel;;16;54.0;5;18.25;0;0.0;8.75
-;9;27.0;Mösli Marcel;;19;53.25;10;26.75;1;-0.25;9.0
-;12;36.0;Ruppanner Philipp;;14;54.5;12;36.0;0;0.0;9.0
o;14;45.0;Kirchmeier Christof;;13;54.75;14;45.0;0;0.0;8.5

18b;Signer Ramon (2002);;;;;;;;;;53.5
o;;;Kiser Aron (2001);;;;;;;;8.5
o;5;8.5;Knup Stephan;;24;35.5;5;8.5;0;0.0;8.5
+;10;17.0;Baumann Simon;;24;35.5;10;17.0;0;0.0;9.75
+;10;26.75;Sprecher Martin;;25;35.25;10;26.75;0;0.0;9.75
o;10;36.5;Laager Michael (2001);;15;54.25;12;36.0;2;-0.5;8.5
o;14;45.0;Vestner Bruno;*;11;55.25;13;45.25;-1;0.25;8.5

18c;Bischof Martin;;;;;;;;;;53.5
o;;;Signer Patrick;;;;;;;;8.5
-;5;8.5;Brülisauer Dominik (2001);;12;55.0;3;9.0;-2;0.5;8.75
-;9;17.25;Wehrli Jan (2002);;16;54.0;9;17.25;0;0.0;8.75
+;12;26.0;Willi Romeo;;25;35.25;10;26.75;-2;0.75;10.0
-;12;36.0;Manser Adrian;;16;54.0;10;36.5;-2;0.5;8.75
-;15;44.75;Nüesch Remo (2001);;17;53.75;14;45.0;-1;0.25;8.75

19a;Mösli Marcel;;;;;;;;;;53.25
+;;;Brülisauer Thomas (2003);;;;;;;;9.75
o;2;9.75;Stauffacher Martin;;24;35.5;4;8.75;2;-1.0;8.5
o;5;18.25;Heierli Pascal;*;11;55.25;8;17.5;3;-0.75;8.5
-;10;26.75;Ackermann Rico (2003);;18;53.5;9;27.0;-1;0.25;9.0
-;13;35.75;Tschudi Mario (2001);;19;53.25;13;35.75;0;0.0;9.0
